PHII,PHI,NASDAQ
16.24,16.58,16.91,16.24
17.04,16.78,17.10,16.28
16.44,16.21,18.38,15.46
16.11,16.50,16.50,16.09
16.98,16.98,17.22,16.85
16.85,16.85,16.85,16.85
16.85,16.92,16.95,16.85
16.96,16.82,16.96,16.82
16.82,16.82,16.82,16.82
16.96,16.96,16.96,16.96
16.96,16.96,16.96,16.96
16.93,17.31,17.31,16.93
17.74,18.19,18.94,17.74
18.19,18.19,18.19,18.19
18.19,18.19,18.19,18.19
18.34,18.34,18.34,18.31
18.05,18.00,18.05,18.00
17.57,17.57,17.57,17.57
17.26,17.25,17.26,17.25
17.25,16.75,18.21,16.27
16.84,17.23,17.23,16.80
17.23,17.23,17.23,17.23
17.23,17.23,17.23,17.23
16.91,17.04,17.04,16.55
17.04,17.04,17.04,17.04
16.20,16.54,16.54,16.20
16.54,16.54,16.54,16.54
16.54,16.54,16.54,16.54
16.54,16.54,16.54,16.54
16.54,16.54,16.54,16.54
16.50,17.71,17.71,16.50
17.70,16.75,17.70,16.75
16.60,16.69,17.30,16.60
16.59,17.18,17.30,16.50
17.37,18.00,18.09,16.50
18.00,18.00,18.00,18.00
18.47,19.00,19.00,18.47
19.00,19.10,19.34,18.80
18.50,19.09,19.35,18.50
19.10,19.49,19.52,19.10
19.93,20.37,20.51,19.39
20.35,20.65,20.65,20.10
20.76,21.30,21.30,20.75
21.27,21.64,21.69,20.87
21.70,22.00,22.22,21.50
22.26,21.61,22.32,21.61
21.50,21.50,21.50,21.50
21.35,21.29,21.35,21.25
21.30,20.89,21.35,20.35
21.26,21.44,21.48,21.26
21.20,21.19,21.20,21.19
20.66,21.13,21.17,20.65
21.10,21.01,21.12,21.01
21.10,21.17,21.50,20.51
20.40,20.07,21.00,20.06
20.27,20.53,20.53,20.27
21.39,21.50,21.98,21.39
21.50,21.50,21.50,21.50
22.31,22.74,22.74,22.31
22.85,22.85,22.85,22.85
23.45,22.52,23.45,21.56
21.52,21.87,21.96,20.88
20.95,21.47,21.80,20.93
20.81,20.56,20.81,20.56
19.86,20.48,20.48,19.86
21.28,21.28,21.28,21.26
21.28,21.28,21.28,21.28
21.66,21.77,21.90,21.66
22.72,23.00,23.55,22.72
22.29,23.00,23.00,22.28
22.14,22.60,22.60,22.14
23.00,23.00,23.00,22.25
22.99,22.96,23.00,22.80
22.35,22.25,22.36,22.03
21.33,22.88,22.88,21.26
21.29,21.97,22.06,21.29
21.97,21.97,21.97,21.97
22.15,22.00,22.15,22.00
21.97,22.05,22.10,21.96
22.03,22.78,22.93,21.71
21.80,21.80,21.80,21.80
21.81,21.81,21.81,21.81
22.45,22.44,22.49,22.44
22.05,22.50,22.50,22.04
22.95,22.90,23.00,22.58
22.74,23.00,23.00,22.72
23.00,21.97,23.00,21.90
21.49,21.12,21.49,20.83
21.54,22.72,22.72,21.37
22.97,23.00,23.00,22.97
23.00,23.10,23.10,22.68
23.00,22.43,23.00,22.42
22.25,21.43,22.78,21.43
22.00,22.21,22.21,21.83
22.00,21.10,22.00,21.10
22.09,21.00,22.09,21.00
21.00,21.00,21.00,21.00
22.47,22.49,22.50,22.47
22.28,21.81,22.28,21.03
21.81,21.81,21.81,21.81
21.91,21.91,21.91,21.91
21.85,21.20,22.17,20.48
21.63,21.78,21.78,21.63
21.89,22.77,23.05,21.89
22.72,23.00,23.25,22.72
23.00,23.10,23.43,22.82
23.03,22.85,23.03,22.85
23.25,23.00,23.25,23.00
23.00,23.00,23.00,23.00
23.00,23.35,23.35,23.00
23.35,23.35,23.35,23.35
22.38,22.79,22.79,22.33
22.48,23.00,23.00,22.48
22.65,22.65,22.65,22.65
23.00,23.00,23.10,23.00
23.03,23.00,23.25,23.00
22.97,22.96,23.00,22.96
23.50,23.50,23.50,23.50
23.50,23.50,23.50,23.50
23.17,23.45,23.47,23.07
23.08,23.40,23.40,23.04
22.52,22.85,23.25,22.48
22.00,22.55,22.55,22.00
22.47,22.47,22.47,22.47
22.47,22.47,22.47,22.47
22.47,22.47,22.47,22.47
22.47,22.47,22.47,22.47
23.10,22.50,23.10,22.50
22.63,22.66,22.66,22.63
22.53,22.89,22.89,22.35
22.59,22.67,22.67,22.59
21.91,22.13,22.13,21.61
22.06,21.91,22.06,21.91
21.56,21.85,21.85,21.56
21.75,21.36,21.75,21.36
21.36,21.36,21.36,21.36
19.51,20.50,20.50,19.51
20.23,20.23,20.23,20.23
20.23,20.23,20.23,20.23
20.26,21.10,21.10,20.26
21.10,21.10,21.10,21.10
20.29,19.96,20.29,19.96
19.77,20.58,20.65,19.76
20.58,20.58,20.58,20.58
19.38,19.32,19.38,19.28
19.29,19.01,19.29,19.01
19.50,20.00,20.00,19.50
20.18,20.18,20.18,20.18
20.18,20.18,20.18,20.18
18.86,19.47,19.47,18.86
19.30,19.28,19.30,19.28
19.60,19.75,19.75,19.60
19.75,19.75,19.75,19.75
20.50,20.55,20.55,19.65
21.09,20.97,21.10,20.22
20.93,20.82,20.98,20.31
19.48,20.23,20.23,19.48
20.57,20.60,20.60,20.57
20.29,20.58,20.58,20.29
20.58,20.58,20.58,20.58
20.50,20.59,20.59,20.11
20.11,20.60,20.60,19.56
19.46,20.32,20.60,19.46
20.09,19.74,20.09,19.74
20.57,20.57,20.57,20.57
20.57,20.57,20.57,20.57
20.60,21.00,21.01,20.60
21.54,21.59,21.59,19.96
21.38,21.23,21.59,21.23
21.48,21.65,21.65,21.22
20.63,20.91,21.85,20.63
20.81,20.85,20.85,20.81
21.09,20.05,21.16,20.05
20.52,20.32,20.61,19.60
20.80,21.17,21.17,20.80
21.17,21.17,21.17,21.17
21.17,21.64,21.64,20.91
22.25,22.25,22.25,22.25
22.25,22.47,22.47,21.95
22.11,22.11,22.11,22.11
22.67,22.70,22.70,22.67
22.40,23.04,23.04,22.40
22.52,22.52,22.52,22.52
22.19,22.72,22.72,22.19
22.42,23.01,23.15,22.42
22.13,22.22,22.30,21.89
22.22,22.22,22.22,22.22
22.22,22.22,22.22,22.22
22.22,22.22,22.22,22.22
22.01,22.00,22.03,21.99
22.18,22.80,22.80,22.18
22.62,22.65,22.73,22.02
22.20,22.73,22.80,22.15
22.55,22.02,22.55,22.02
22.02,22.02,22.02,22.02
22.02,22.02,22.02,22.02
22.02,22.02,22.02,22.02
20.24,21.05,21.05,19.23
19.15,21.20,21.20,19.15
21.20,21.20,21.20,21.20
20.36,19.80,21.00,19.51
19.27,20.09,20.09,19.27
19.00,19.50,19.50,19.00
19.50,19.50,19.50,19.50
18.44,18.40,18.95,18.40
17.35,19.60,19.80,17.31
19.53,19.52,19.79,18.96
20.29,20.29,20.29,20.29
20.29,20.29,20.29,20.29
20.73,20.63,20.83,20.63
19.65,20.40,20.40,19.65
19.74,20.00,20.42,19.74
20.59,20.59,20.59,20.59
20.95,22.00,22.00,19.79
22.06,22.50,22.50,22.04
22.50,20.67,22.50,20.67
21.05,21.64,21.64,21.05
22.25,22.35,22.35,22.25
26.36,22.94,26.36,22.50
22.90,22.90,22.90,22.90
22.10,21.94,22.10,21.94
21.94,21.94,21.94,21.94
20.65,20.60,20.65,19.90
21.24,22.15,22.15,21.22
22.25,21.77,22.25,21.77
21.26,20.64,21.27,20.64
20.64,20.64,20.64,20.64
20.91,20.97,20.99,20.91
21.67,22.40,22.40,21.65
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
21.88,21.76,21.88,21.76
21.76,21.76,21.76,21.76
21.76,21.76,21.76,21.76
20.12,20.10,20.36,20.10
20.45,20.48,20.48,20.45
20.48,20.48,20.48,20.48
20.48,20.48,20.48,20.48
18.56,19.44,19.55,18.56
19.44,19.44,19.44,19.44
17.97,16.95,17.97,16.95
17.01,19.00,19.00,17.01
19.51,19.51,19.51,19.51
19.51,19.51,19.51,19.51
19.51,19.51,19.51,19.51
19.47,19.51,19.51,19.47
19.49,20.87,20.87,19.49
21.25,21.25,21.25,21.25
21.25,21.25,21.25,21.25
22.99,22.99,22.99,22.99
22.53,21.24,22.53,20.94
21.24,21.24,21.24,21.24
21.05,21.00,21.05,21.00
20.71,20.65,20.71,20.65
21.11,21.14,21.14,21.11
21.40,21.98,22.09,21.40
21.53,21.53,21.53,21.53
21.53,21.53,21.53,21.53
22.00,23.00,23.25,22.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
20.50,20.00,20.67,20.00
20.40,20.80,20.80,20.40
20.86,20.86,20.86,20.86
20.42,20.42,20.42,20.42
20.19,20.21,20.23,20.19
19.95,20.00,20.01,19.95
19.38,19.65,19.65,19.38
19.18,19.19,19.19,19.18
18.96,19.50,19.50,18.96
19.37,19.60,19.60,19.37
19.10,20.12,20.12,19.10
20.03,20.78,20.78,20.03
20.78,20.78,20.78,20.78
20.56,20.57,20.57,20.56
20.57,20.57,20.57,20.57
20.57,20.57,20.57,20.57
20.56,20.20,20.74,20.20
20.20,20.20,20.20,20.20
20.50,20.52,20.61,20.50
20.52,20.52,20.52,20.52
21.29,22.00,22.29,21.29
22.25,22.25,22.25,22.25
22.25,22.40,22.40,22.25
22.50,22.75,22.75,22.50
22.49,22.49,22.49,22.49
22.49,22.49,22.49,22.49
22.49,22.49,22.49,22.49
21.55,22.00,22.00,21.50
22.00,22.00,22.00,22.00
22.00,22.00,22.00,22.00
19.50,20.20,20.50,19.09
21.03,21.47,21.47,20.99
21.67,21.85,21.85,21.60
21.78,21.99,22.03,21.78
21.68,21.93,22.35,21.65
21.78,21.78,21.78,21.78
22.39,22.38,22.39,22.06
22.97,22.76,22.97,22.76
22.76,23.31,23.31,22.76
23.10,23.00,23.10,23.00
23.08,23.31,23.31,23.08
23.24,23.32,23.32,23.03
23.88,23.50,23.89,23.50
23.18,23.18,23.18,23.18
23.01,22.67,23.01,22.46
22.23,22.14,22.45,22.14
22.29,23.31,23.31,21.69
23.49,23.50,23.82,23.24
24.30,23.81,24.30,23.31
23.49,23.49,23.49,23.49
22.89,22.89,22.89,22.89
22.98,22.98,22.98,22.98
23.34,23.50,23.50,23.23
23.50,23.50,23.59,23.40
23.54,23.52,23.54,23.52
23.56,23.50,23.56,23.43
23.50,23.50,23.54,23.49
23.50,23.50,23.50,23.50
23.50,23.50,23.50,23.50
23.48,23.50,23.50,23.48
23.49,23.50,23.50,23.49
23.75,24.01,24.38,23.75
24.11,24.00,24.23,23.68
24.00,24.00,24.00,24.00
24.00,24.25,24.50,24.00
24.19,24.33,24.33,24.19
24.40,24.18,24.62,24.18
24.00,24.00,24.02,24.00
23.67,23.71,23.88,23.67
23.71,23.71,23.71,23.71
23.71,23.71,23.71,23.71
23.71,23.71,23.71,23.71
22.36,21.72,22.36,21.72
23.23,23.50,23.50,23.21
23.50,23.50,23.50,23.50
24.47,24.17,24.91,24.17
24.17,24.17,24.17,24.17
23.18,22.80,23.18,22.80
22.80,22.80,22.80,22.80
22.91,22.90,23.09,22.90
22.90,22.82,22.90,22.82
22.75,21.54,22.75,21.35
21.91,21.91,21.91,21.91
21.97,21.97,22.43,21.97
21.84,21.98,21.98,21.84
21.98,21.98,21.98,21.98
20.85,20.85,20.85,20.85
21.60,21.60,21.60,21.60
21.42,21.42,21.42,21.42
21.42,21.42,21.42,21.42
22.68,23.30,23.30,22.68
23.33,23.16,23.33,23.16
23.16,23.16,23.16,23.16
22.55,22.11,22.55,22.11
22.15,22.48,23.10,22.00
22.48,22.48,22.48,22.48
22.48,22.48,22.48,22.48
21.31,21.40,21.40,21.09
21.40,21.66,21.66,21.31
21.75,23.14,23.22,21.75
23.14,23.14,23.14,23.14
23.14,23.14,23.14,23.14
23.14,23.14,23.14,23.14
22.16,22.36,22.67,22.05
22.13,23.15,23.15,22.13
23.00,22.90,23.20,22.90
22.63,21.88,22.63,21.71
21.92,22.67,22.67,21.92
21.87,21.87,21.87,21.87
21.87,21.87,21.87,21.87
22.40,22.38,22.53,21.51
22.71,22.71,22.71,22.71
23.05,22.50,23.05,22.20
22.50,22.50,22.50,22.50
22.38,24.00,24.00,22.38
22.47,22.47,22.47,22.47
21.80,21.95,21.95,21.80
22.39,23.58,23.58,22.39
23.58,23.58,23.58,23.58
22.90,23.58,23.58,22.90
23.68,24.58,24.60,23.68
24.58,24.58,24.58,24.58
24.58,24.58,24.58,24.58
24.58,24.58,24.58,24.58
24.75,24.75,24.75,24.75
24.22,23.76,24.32,23.76
22.82,22.81,22.82,22.78
23.01,23.01,23.01,23.01
22.21,23.09,23.09,21.99
23.00,23.00,23.00,22.93
23.00,23.00,23.00,22.45
22.96,23.34,23.77,22.96
23.09,23.78,23.82,23.09
23.46,23.54,23.54,23.46
23.69,23.37,23.82,23.37
23.37,23.37,23.37,23.37
23.17,23.18,23.18,23.17
22.75,23.30,23.30,22.66
23.30,23.30,23.30,23.30
24.26,22.75,24.26,22.75
22.47,22.47,22.47,22.47
23.15,23.15,23.15,23.15
22.83,23.01,23.58,22.58
23.59,23.59,23.59,23.59
22.76,22.76,22.76,22.76
22.43,22.43,22.43,22.43
22.43,22.43,22.43,22.43
22.43,22.43,22.43,22.43
23.00,23.00,23.00,23.00
23.99,24.00,24.00,23.54
24.80,24.01,24.80,24.01
24.25,24.25,24.25,24.25
23.99,23.96,23.99,23.96
23.80,23.83,24.25,23.29
23.25,23.77,23.77,23.25
23.43,24.20,24.25,23.43
23.81,24.31,24.31,23.34
23.70,23.80,23.81,23.70
22.83,25.20,25.20,22.83
25.32,25.32,25.32,25.32
24.97,24.21,24.99,24.01
23.89,23.89,23.89,23.89
23.89,23.89,23.89,23.89
23.93,24.86,24.86,23.93
24.86,24.86,24.86,24.86
24.92,24.91,24.92,24.91
26.10,26.60,26.60,26.10
26.60,26.60,26.60,26.60
27.33,27.09,27.33,27.09
26.66,26.15,26.66,26.15
26.15,26.15,26.15,26.15
26.15,26.15,26.15,26.15
26.15,26.15,26.15,26.15
26.15,26.15,26.15,26.15
26.15,26.15,26.15,26.15
26.15,26.15,26.15,26.15
26.15,26.15,26.15,26.15
26.15,26.15,26.15,26.15
26.75,26.75,26.75,26.64
26.75,26.75,26.75,26.75
25.84,25.25,25.84,25.25
25.25,25.25,25.25,25.25
24.70,24.25,24.91,24.21
24.05,23.85,24.08,23.46
24.08,24.62,24.67,24.08
24.66,26.15,26.67,24.66
25.67,25.30,25.70,24.80
25.75,25.68,25.75,25.65
25.68,25.68,25.68,25.68
24.88,24.49,24.88,24.49
24.55,26.49,26.64,24.55
26.03,25.74,26.07,25.66
25.70,25.85,25.85,25.70
25.65,25.65,25.65,25.65
25.65,25.65,25.65,25.65
25.65,25.65,25.65,25.65
25.53,25.59,25.60,25.53
26.17,25.81,26.18,25.60
25.94,26.36,26.47,25.89
26.39,26.67,26.67,26.29
26.65,26.98,26.98,26.65
26.95,26.90,27.92,26.58
27.35,28.82,29.00,27.35
28.39,29.80,29.80,28.07
28.65,29.00,29.65,28.60
29.00,29.00,29.00,29.00
29.20,29.20,29.20,29.20
29.20,29.20,29.20,29.20
28.82,29.46,29.65,28.70
29.46,29.46,29.46,29.46
29.46,29.46,29.46,29.46
30.08,28.63,30.08,27.53
29.70,29.70,29.70,29.70
30.62,30.63,30.90,30.47
32.33,31.00,32.33,31.00
31.55,31.55,31.55,31.55
31.55,31.55,31.55,31.55
31.95,31.97,32.00,31.95
31.97,32.00,32.21,31.78
32.50,32.50,32.50,32.50
32.50,32.50,32.50,32.50
32.50,32.50,32.50,32.50
32.50,32.50,32.50,32.50
32.05,31.55,32.05,30.96
31.79,31.25,31.79,31.25
32.05,31.65,32.05,30.56
32.65,33.14,33.14,32.00
32.22,32.22,32.22,32.22
32.86,32.60,32.86,32.59
32.60,32.60,32.60,32.60
32.75,31.60,32.75,31.60
31.60,31.60,31.60,31.60
32.43,32.43,32.43,32.43
32.51,32.51,32.51,32.51
32.50,31.56,32.50,31.56
31.85,31.85,31.85,31.85
31.85,31.85,31.85,31.85
31.29,31.29,31.29,31.29
31.29,31.29,31.29,31.29
31.29,31.29,31.29,31.29
31.29,31.29,31.29,31.29
31.11,29.43,31.11,29.14
30.47,31.00,31.00,30.47
32.05,31.29,32.05,31.14
31.29,31.29,31.29,31.29
31.29,31.29,31.29,31.29
31.29,31.29,31.29,31.29
31.29,31.29,31.29,31.29
30.97,31.00,31.00,30.97
30.38,30.95,30.95,30.30
29.95,30.11,30.11,29.95
29.87,29.87,29.87,29.87
30.03,30.03,30.03,30.03
30.03,30.03,30.03,30.03
30.03,30.03,30.03,30.03
30.30,29.11,30.46,29.11
29.10,29.10,29.10,29.10
29.10,29.10,29.10,29.10
28.49,29.63,29.63,28.49
28.56,28.47,28.56,28.47
28.74,27.41,28.74,27.41
27.79,27.26,27.81,27.25
27.26,27.26,27.26,27.26
27.94,27.94,27.94,27.94
27.94,27.94,27.94,27.94
27.25,27.25,27.25,27.25
28.79,28.79,28.79,28.79
28.73,28.73,28.73,28.73
29.80,29.98,29.99,29.80
29.98,29.98,29.98,29.98
29.98,29.98,29.98,29.98
29.99,30.05,30.05,29.78
31.78,31.99,32.01,31.14
31.99,31.99,31.99,31.99
31.72,31.99,31.99,31.72
32.00,32.03,32.03,32.00
32.03,31.39,32.20,30.94
31.51,31.51,31.51,31.51
31.80,31.92,31.92,31.80
32.04,32.00,32.04,32.00
31.97,31.80,31.97,31.80
31.50,31.50,31.50,31.50
31.16,32.05,32.05,31.16
31.91,31.90,31.92,31.90
31.90,31.90,31.90,31.90
31.90,31.90,31.90,31.90
31.90,31.90,31.90,31.90
31.90,31.90,31.90,31.90
31.94,31.94,31.94,31.94
32.47,32.47,32.47,32.47
32.47,32.47,32.47,32.47
31.99,32.05,32.05,31.50
32.45,33.75,33.75,32.45
33.75,33.75,33.75,33.75
33.75,33.75,33.75,33.75
33.75,33.75,33.75,33.75
33.32,33.32,33.32,33.32
33.32,33.32,33.32,33.32
33.32,33.32,33.32,33.32
32.11,32.20,32.20,32.11
32.20,32.20,32.20,32.20
32.39,32.78,32.78,32.39
32.78,32.78,32.78,32.78
32.76,32.81,32.81,32.73
32.81,32.81,32.81,32.81
32.61,32.61,32.61,32.61
33.00,32.68,33.03,32.68
32.33,32.79,32.85,32.33
32.90,32.54,32.90,32.54
32.54,32.54,32.54,32.54
33.22,33.25,33.25,33.22
33.25,33.25,33.25,33.25
33.25,33.25,33.25,33.25
33.25,33.25,33.25,33.25
32.60,32.88,32.88,32.59
32.72,32.72,32.72,32.72
32.72,32.72,32.72,32.72
32.38,32.59,32.59,32.38
32.53,32.53,32.53,32.53
32.06,32.86,32.86,31.77
32.86,32.86,32.86,32.86
32.51,32.51,32.51,32.50
32.50,31.94,32.50,31.94
32.05,31.99,32.10,31.90
32.00,32.00,32.00,32.00
32.00,32.00,32.00,32.00
32.00,32.00,32.00,32.00
31.90,31.90,31.90,31.90
31.29,31.06,31.29,31.06
30.71,31.40,31.40,30.71
31.04,30.66,31.04,30.66
30.73,31.62,31.62,30.73
31.62,31.62,31.62,31.62
31.16,30.84,31.19,30.81
31.57,31.52,31.57,31.50
31.52,31.52,31.52,31.52
31.52,31.52,31.52,31.52
31.27,31.27,31.27,31.27
31.72,31.72,31.72,31.72
30.53,30.54,30.54,30.53
30.54,30.54,30.54,30.54
30.90,31.15,31.25,30.90
31.26,32.26,32.50,30.56
32.26,32.26,32.26,32.26
32.26,32.26,32.26,32.26
32.26,32.26,32.26,32.26
32.26,32.26,32.26,32.26
32.26,32.26,32.26,32.26
32.16,32.16,32.16,32.16
33.58,33.50,33.58,33.50
33.50,33.50,33.50,33.50
33.50,33.50,33.50,33.50
33.50,33.50,33.50,33.50
33.50,33.50,33.50,33.50
32.01,32.01,32.39,32.00
32.01,32.01,32.01,32.01
31.58,31.58,31.58,31.58
31.98,32.70,32.70,31.98
32.70,32.70,32.70,32.70
32.79,33.50,33.93,32.79
33.50,33.50,33.50,33.50
32.52,32.52,32.54,32.52
32.46,29.93,32.46,29.70
30.00,29.37,30.29,29.30
29.95,27.75,30.03,27.75
28.50,29.00,29.00,28.40
28.65,28.50,28.92,28.13
28.18,28.40,28.55,28.15
28.50,28.50,28.50,28.50
28.50,28.50,28.50,28.50
28.50,28.50,28.50,28.50
27.60,27.00,27.60,26.12
27.00,26.50,27.00,26.50
27.02,27.00,27.06,27.00
26.91,24.25,26.91,23.43
24.50,25.46,25.46,23.85
26.40,28.22,28.58,26.06
33.34,32.40,33.34,28.50
32.39,32.37,32.55,32.00
32.31,33.29,34.50,32.31
33.13,32.66,33.17,32.55
32.49,33.00,33.93,32.49
33.03,33.74,33.74,33.00
33.74,33.74,33.74,33.74
33.74,33.74,33.74,33.74
33.25,33.98,34.45,33.25
34.44,34.43,34.48,34.11
33.28,33.91,33.91,33.20
34.15,34.14,34.15,33.84
34.14,34.14,34.14,34.14
33.04,33.80,34.18,33.04
33.27,33.53,33.54,32.88
34.36,35.40,35.40,34.36
34.83,34.82,35.50,34.61
35.20,35.20,35.50,34.73
35.08,35.19,35.22,35.08
35.50,35.75,35.77,34.92
35.57,34.40,35.57,34.07
34.11,34.06,34.31,33.78
33.87,33.89,34.87,33.00
33.75,34.07,34.07,33.10
33.75,34.35,34.48,33.75
33.52,33.23,33.65,33.23
34.40,34.18,34.40,34.18
34.67,34.91,34.91,34.67
35.00,33.95,35.00,33.60
33.49,33.49,33.49,33.49
33.57,33.99,34.37,33.57
33.72,33.54,34.37,33.03
32.75,32.98,32.98,32.05
32.46,32.33,32.72,32.33
