FFIV,F5 Networks,NASDAQ
111.73,109.97,113.82,109.66
108.86,106.56,110.46,104.80
104.75,107.53,107.95,102.66
108.78,108.81,110.00,107.06
109.59,110.94,112.50,109.49
112.82,109.58,113.18,107.80
110.24,108.38,110.75,107.91
109.56,109.96,111.00,108.75
107.81,113.51,113.74,107.81
113.85,118.21,118.65,113.85
120.15,123.64,123.90,119.50
124.43,124.23,127.96,123.41
124.00,123.52,125.35,122.25
123.14,123.66,124.45,121.07
121.44,127.00,127.95,121.00
127.10,126.62,128.90,126.11
126.74,128.42,129.00,126.70
129.48,126.37,129.92,125.72
127.21,125.68,127.36,124.76
124.93,122.93,125.00,122.75
123.66,120.85,123.69,120.28
118.59,115.11,118.74,115.00
114.52,111.99,116.47,110.69
112.06,117.06,117.30,110.74
121.00,120.18,122.65,118.64
120.66,118.01,120.96,116.58
118.58,113.38,118.60,112.46
112.68,113.20,116.50,112.63
115.35,114.35,116.48,113.75
114.61,113.82,115.50,112.55
114.16,108.70,114.53,108.00
108.44,110.61,112.43,108.27
109.44,108.17,109.62,106.86
106.39,110.06,111.33,105.13
109.30,111.00,111.41,108.12
110.09,108.97,112.20,108.00
105.21,110.67,111.02,104.90
111.22,106.65,112.88,106.56
108.63,103.36,108.87,103.00
104.85,96.92,105.22,96.91
98.66,95.60,98.66,95.21
95.17,91.67,96.60,91.10
91.86,95.67,96.42,91.86
96.12,94.88,96.71,93.45
95.00,95.67,96.96,95.00
96.60,93.76,96.85,93.69
93.79,97.40,98.13,93.41
98.51,100.70,101.85,98.51
101.00,102.57,103.00,100.02
100.58,93.56,100.72,93.41
94.24,94.15,95.54,93.60
94.33,93.35,94.67,93.23
93.95,94.39,95.37,93.04
94.20,94.61,95.20,93.00
96.08,95.18,96.45,94.48
94.92,94.50,95.98,93.76
93.59,93.77,94.29,92.03
96.73,96.70,97.73,95.38
95.80,96.17,96.45,94.30
96.23,94.69,96.23,94.57
94.03,93.53,94.03,92.20
93.30,92.92,94.37,92.33
95.73,99.74,99.80,94.41
110.89,106.87,111.63,105.29
106.39,105.71,109.15,105.52
105.99,103.97,106.00,102.64
104.03,105.38,106.24,103.89
105.36,102.78,106.45,102.23
102.98,101.36,102.98,100.66
100.42,100.19,101.85,99.72
99.81,100.55,101.36,99.12
100.66,99.72,101.98,97.26
99.79,100.49,102.77,99.50
101.95,100.90,102.99,100.25
101.26,103.37,103.54,100.26
103.91,104.39,104.87,102.35
104.11,103.81,106.29,102.94
103.48,105.76,106.12,102.16
105.60,104.64,107.89,104.62
103.99,105.03,106.98,103.75
104.55,103.84,106.45,102.60
103.82,108.52,109.51,103.82
109.27,108.18,109.35,106.54
108.48,106.96,109.22,106.76
105.47,104.76,106.52,104.12
105.41,102.38,105.50,102.27
102.41,104.29,104.91,101.75
104.00,107.17,107.48,103.62
107.75,112.85,113.22,107.25
114.24,113.58,114.54,112.11
112.10,109.40,114.90,108.93
109.53,111.56,113.45,109.49
109.86,109.70,111.66,109.03
109.60,107.06,110.58,106.97
108.99,112.01,112.61,106.99
111.04,111.04,112.00,110.07
110.87,108.93,111.40,108.17
108.73,105.39,109.62,104.79
105.53,104.29,107.50,104.03
106.32,106.64,107.55,105.24
105.14,103.61,107.22,103.00
103.87,100.09,104.84,98.75
101.93,97.20,102.32,96.93
96.65,98.18,98.65,96.21
99.17,103.00,103.27,98.50
105.65,104.81,108.40,104.68
101.41,107.62,107.66,101.03
107.10,106.10,107.59,105.01
106.66,109.54,110.25,105.73
110.50,108.78,111.97,107.90
109.12,111.15,111.90,107.50
110.95,110.25,111.80,110.00
110.83,113.16,113.33,110.13
113.01,113.51,113.83,111.37
113.29,115.82,116.75,113.29
117.00,117.64,119.69,116.90
114.76,116.42,117.00,114.20
115.54,112.78,117.17,112.24
112.26,110.40,112.49,108.05
111.78,112.72,115.08,111.78
113.65,110.96,115.50,109.92
112.41,113.94,113.99,110.66
113.44,111.82,115.20,111.29
113.33,118.65,118.69,113.00
116.00,111.44,116.00,110.45
102.81,98.87,104.00,98.10
99.76,101.20,102.45,99.57
99.80,97.50,100.98,97.25
98.69,99.31,100.20,98.16
98.00,94.90,98.00,94.62
95.34,94.27,96.50,93.84
93.35,93.48,95.58,92.30
95.52,93.49,96.39,91.92
92.01,90.19,94.99,90.05
90.52,93.36,93.70,89.11
91.72,86.52,93.27,86.45
88.34,82.94,88.50,81.67
77.97,75.26,81.28,74.95
77.08,76.52,78.38,70.99
74.70,72.93,76.48,72.57
73.87,76.12,77.55,73.87
79.55,81.90,83.08,78.21
84.00,83.65,85.16,82.68
82.61,81.27,83.23,79.58
81.61,78.72,81.73,77.50
74.00,71.30,74.06,70.06
70.25,69.32,72.81,69.20
71.66,69.25,71.98,69.04
69.42,73.94,73.95,69.01
73.66,73.46,74.74,70.64
75.97,71.72,76.27,71.40
71.40,75.49,75.74,71.20
78.29,78.72,78.81,76.33
77.91,79.33,79.85,77.02
80.00,81.57,82.31,80.00
81.50,79.13,82.44,78.64
77.10,76.31,78.49,75.55
73.57,76.03,76.39,72.31
77.62,79.92,80.10,77.42
79.77,78.44,80.60,77.66
77.71,74.60,77.85,73.30
73.03,77.52,77.60,72.81
78.10,80.30,80.48,77.61
80.70,83.22,84.50,80.23
84.05,84.53,85.10,83.10
84.60,83.72,86.16,82.35
82.24,82.89,83.61,80.50
83.20,78.17,83.92,78.09
78.31,76.68,80.49,76.65
74.13,74.20,75.32,70.83
73.13,74.38,74.87,72.76
74.60,77.38,77.50,72.50
78.79,77.89,80.60,77.12
78.02,75.85,78.68,75.63
77.34,74.75,77.75,72.40
73.26,71.05,74.12,71.05
70.61,70.43,72.35,69.60
70.36,77.63,77.80,70.21
75.93,82.57,83.17,75.11
82.45,85.75,85.81,81.74
85.76,85.01,86.78,83.40
86.70,87.31,88.44,85.00
86.92,87.06,87.64,85.56
88.54,87.80,88.90,86.45
87.00,87.45,88.10,85.90
88.45,90.07,90.22,87.86
89.79,87.04,89.80,86.56
87.48,88.50,89.39,85.36
88.19,86.46,88.88,86.06
87.60,86.72,87.60,84.79
87.42,88.92,89.00,86.30
89.13,93.42,93.99,89.13
92.77,88.76,92.92,88.40
97.25,101.26,103.00,96.56
103.03,105.72,107.00,100.79
104.41,107.63,107.95,103.76
105.68,103.95,107.65,103.95
100.28,100.56,101.98,97.71
101.01,104.63,105.42,101.00
106.04,106.94,107.69,102.59
105.65,109.62,110.33,105.65
109.52,108.56,109.76,106.74
109.44,109.61,110.49,107.59
106.33,105.77,108.59,104.05
107.73,106.99,108.85,106.28
108.33,111.19,111.68,108.04
111.37,110.62,113.10,110.49
110.41,112.61,113.60,109.60
111.29,110.46,113.24,110.32
110.50,107.10,110.72,104.75
107.34,106.19,107.95,105.48
104.03,102.73,104.06,100.82
102.53,103.14,104.43,101.16
102.06,99.53,102.34,98.21
98.70,97.62,101.31,97.59
100.80,104.66,104.74,100.79
104.69,103.41,105.42,102.51
107.30,113.03,113.23,107.00
111.50,111.07,113.21,108.46
112.00,112.42,113.51,111.26
115.00,115.66,117.30,114.09
115.79,114.32,116.21,113.00
114.16,114.51,115.16,112.50
113.43,111.09,113.55,110.67
111.79,114.74,115.18,111.14
112.93,112.36,113.34,111.10
113.44,109.94,114.78,108.69
109.36,104.65,109.50,103.60
106.25,105.29,107.05,104.23
106.01,104.83,108.75,104.77
105.67,102.48,106.52,102.20
107.07,109.39,110.72,106.04
108.08,102.13,108.43,99.59
102.79,104.48,105.81,102.65
104.82,106.39,106.45,103.37
105.91,106.54,107.16,105.31
106.22,105.73,106.54,104.71
106.21,107.00,107.13,105.11
106.61,106.12,107.55,105.99
108.48,105.94,109.95,105.11
102.15,104.32,105.05,99.60
104.02,105.23,105.38,102.75
106.43,106.72,107.12,105.25
107.60,110.49,112.26,107.60
111.99,109.61,112.85,108.41
109.91,110.72,111.85,109.65
110.92,110.81,111.75,108.03
109.69,106.78,110.06,106.01
108.76,106.31,108.76,105.45
106.61,108.46,109.24,106.19
118.47,120.00,122.63,116.49
119.00,120.27,121.50,118.60
120.10,121.02,122.23,119.62
120.65,123.10,124.29,119.94
123.40,122.48,123.50,121.14
123.45,120.82,124.02,119.85
117.00,120.16,120.60,116.84
119.00,120.10,121.00,117.75
121.18,119.74,121.20,119.12
121.17,122.42,123.45,119.50
121.75,120.52,122.82,120.05
121.90,124.77,125.00,121.58
124.76,125.00,125.00,123.55
124.92,126.40,127.81,124.18
127.06,125.40,127.37,124.35
126.00,125.75,126.00,123.52
124.30,124.01,125.76,123.53
125.16,125.00,125.94,123.50
124.86,125.78,125.89,124.02
126.00,126.72,129.66,126.00
126.97,127.45,127.83,125.28
127.41,124.92,127.98,124.59
125.45,125.42,127.64,124.31
125.00,126.58,126.79,123.57
126.13,128.70,128.82,125.60
129.98,127.48,130.27,126.96
126.63,128.29,129.27,125.61
128.51,127.02,128.67,125.71
127.50,124.96,128.25,124.79
125.74,127.33,127.60,125.03
126.96,127.01,128.51,126.01
126.97,124.49,127.40,123.70
121.03,121.26,122.97,119.50
122.50,124.75,125.57,122.50
125.96,124.26,126.80,124.18
124.60,125.61,126.36,123.50
126.34,125.85,126.34,124.59
126.85,132.72,132.75,126.70
133.21,131.86,133.60,130.82
132.00,132.31,134.00,130.70
132.10,131.91,133.06,130.99
132.64,132.73,135.84,132.15
131.10,129.51,131.31,128.37
130.20,131.36,132.40,129.37
131.14,132.47,132.87,129.50
132.38,132.13,132.50,130.47
133.75,134.80,135.57,133.01
134.94,134.11,135.93,134.00
133.00,134.05,135.28,132.31
132.81,134.86,135.15,132.20
135.67,134.96,136.46,132.64
135.05,136.66,137.59,134.11
136.78,138.06,139.46,136.64
136.90,136.11,137.88,134.24
135.33,135.93,136.11,133.42
132.56,132.88,133.81,131.19
133.00,128.30,134.67,127.66
122.90,122.65,125.16,120.01
123.19,124.15,126.25,121.37
124.38,122.12,124.73,121.77
123.45,122.04,124.51,120.71
123.44,123.75,124.99,122.93
124.77,124.21,125.08,122.15
133.79,133.98,139.20,131.30
134.04,131.63,134.65,131.51
130.24,130.85,131.88,128.50
130.75,129.28,131.12,127.38
129.70,130.72,130.85,127.07
130.60,133.41,133.67,130.01
133.43,136.11,136.94,132.66
136.09,133.93,136.10,133.33
132.94,133.68,135.78,132.70
131.46,136.26,136.69,131.22
136.00,136.23,138.67,135.39
135.04,131.90,135.82,130.78
131.00,131.61,133.40,130.71
130.19,128.87,130.70,125.02
127.41,129.39,130.50,125.60
129.09,124.08,129.20,123.27
123.00,125.91,127.47,122.35
124.29,125.53,126.27,123.20
125.81,123.88,126.58,123.29
124.90,118.26,124.90,118.09
118.35,116.47,119.19,116.32
116.65,112.71,116.99,112.34
112.04,117.43,117.88,111.30
117.39,116.54,118.41,115.46
115.20,117.84,118.30,113.92
116.12,108.56,116.80,106.79
108.70,109.04,110.75,107.90
110.06,108.44,110.68,107.31
107.24,107.54,108.09,105.15
103.74,103.48,103.95,99.47
100.00,97.31,101.88,96.95
98.24,97.51,98.45,95.66
96.77,100.89,101.20,96.45
101.52,103.27,103.78,100.65
105.18,101.55,107.19,101.30
101.28,102.40,102.64,99.75
104.10,100.12,104.97,99.83
101.20,101.56,102.17,99.42
101.43,101.10,102.47,100.32
101.27,100.51,101.57,99.25
101.17,102.16,102.97,100.07
101.35,102.71,103.22,99.13
101.85,100.39,103.35,99.95
100.39,101.25,102.11,99.53
100.84,95.49,101.12,95.25
96.45,99.30,99.60,96.12
97.63,95.97,97.78,95.50
96.51,95.77,97.21,95.09
96.70,97.80,98.07,96.57
96.63,93.36,99.40,92.09
96.58,99.56,99.65,96.41
98.45,98.01,99.51,96.69
98.26,100.64,101.88,98.07
100.49,101.44,102.56,99.01
97.21,94.49,97.66,93.04
93.85,92.62,94.30,92.20
93.85,91.36,94.99,90.82
91.44,92.46,94.14,90.96
91.13,93.47,94.04,88.37
93.51,91.39,94.35,90.27
90.99,92.11,93.23,90.51
92.40,91.76,92.95,89.35
93.26,98.59,99.54,93.26
94.94,102.75,103.13,93.20
101.51,96.10,102.05,95.94
93.49,93.59,94.59,90.55
93.10,89.44,93.27,88.30
90.64,91.98,92.89,89.79
93.92,94.55,96.76,93.11
95.42,97.75,98.45,93.85
97.70,95.28,98.50,94.71
94.75,93.38,95.32,92.73
94.44,93.91,94.47,92.90
92.00,90.53,93.93,90.29
92.83,92.78,93.80,91.90
93.68,97.13,97.88,92.81
97.85,101.62,103.87,97.68
100.79,101.10,102.69,100.52
101.66,103.21,103.90,101.52
102.50,102.23,103.37,101.43
101.89,100.72,102.07,99.79
101.00,96.99,101.28,96.80
97.62,99.29,99.74,97.00
100.00,104.05,104.50,99.89
104.37,103.56,104.88,102.40
103.19,101.68,103.77,101.03
102.44,102.31,103.37,101.08
101.00,100.23,101.00,98.71
99.71,99.02,100.98,98.26
98.92,98.65,99.49,98.12
99.48,100.49,100.93,98.05
100.21,100.83,101.77,99.73
101.00,102.09,102.63,100.53
101.04,97.39,101.08,97.34
98.76,97.49,99.00,95.91
97.27,94.47,97.48,93.62
94.30,94.49,95.77,93.77
95.21,99.05,99.36,95.14
99.05,100.27,102.00,98.70
99.84,96.63,100.44,96.45
96.53,95.31,96.84,94.52
95.82,96.97,97.80,95.74
97.39,100.39,101.19,97.10
101.05,103.67,103.96,101.01
103.35,104.46,105.95,102.41
106.71,108.62,111.58,106.64
109.38,110.57,110.93,108.11
109.89,109.36,110.27,108.15
110.00,107.88,110.95,107.46
106.43,109.03,109.21,105.19
109.78,107.06,111.00,106.72
107.25,105.08,107.38,103.76
106.00,106.50,107.63,105.25
106.41,104.64,107.26,104.21
105.72,104.69,106.60,104.01
105.50,106.97,107.02,104.49
107.22,107.00,108.37,106.22
106.81,107.43,107.75,105.15
105.54,103.43,107.08,102.82
102.78,103.88,106.98,102.03
103.52,102.08,103.75,100.50
101.56,98.77,101.59,98.25
100.29,98.79,101.47,97.80
99.05,97.27,99.98,97.05
97.71,98.31,98.39,96.40
99.00,101.19,101.27,98.63
98.75,97.33,99.69,97.07
97.71,97.05,98.25,96.13
98.58,95.84,99.42,95.78
96.24,95.97,97.71,95.08
94.77,95.54,96.72,93.65
97.94,93.32,97.94,93.02
82.80,83.00,83.95,81.07
83.50,81.78,84.44,81.52
82.00,82.59,83.13,81.61
82.32,86.10,86.86,82.03
85.28,82.59,86.18,82.16
82.09,85.13,85.38,81.57
85.56,87.67,88.15,85.28
87.24,88.35,90.41,86.90
88.74,86.76,89.78,86.50
86.80,87.93,89.14,86.42
88.15,86.14,88.57,85.17
88.17,86.54,89.87,86.49
88.20,87.50,90.82,86.98
88.02,87.71,88.50,84.71
88.11,86.64,88.42,85.21
88.16,88.08,88.64,86.58
88.32,87.48,88.32,86.62
87.63,90.05,90.20,87.51
89.97,92.16,92.44,89.97
91.69,92.61,92.65,91.36
92.03,91.83,93.44,91.75
91.02,92.37,92.46,90.04
93.24,93.97,94.57,92.82
94.12,93.68,95.20,93.00
94.18,93.94,95.36,93.52
94.27,92.98,94.45,92.56
92.73,92.96,93.68,91.50
92.55,92.52,93.50,91.19
92.91,92.37,93.13,90.92
92.27,93.77,94.84,92.07
94.41,94.92,95.45,94.24
95.27,94.20,96.12,93.80
93.95,93.73,93.95,91.48
93.53,90.41,93.76,89.61
90.70,92.60,92.66,90.00
93.08,97.29,97.42,93.00
97.03,96.44,98.45,96.12
96.71,97.33,97.64,95.50
95.83,97.46,98.51,94.76
97.17,96.19,97.50,95.23
96.25,97.35,99.39,96.03
97.41,97.13,97.60,94.91
96.17,96.14,97.01,95.39
96.13,97.15,97.52,95.45
100.03,101.11,101.89,99.58
100.43,97.25,101.03,96.92
97.74,97.53,99.36,96.77
97.77,96.24,97.90,95.60
96.24,95.01,96.95,93.20
95.14,95.66,95.98,94.47
96.33,95.71,97.13,94.89
96.50,97.89,99.38,96.33
97.73,97.19,98.92,96.93
96.49,97.44,98.00,95.38
97.44,97.32,98.15,96.52
97.79,98.52,99.05,97.65
98.18,96.89,98.55,96.84
95.01,96.69,96.99,94.02
97.33,98.81,99.05,96.07
103.00,103.22,107.37,102.05
103.54,105.43,106.17,103.54
105.69,105.66,106.87,105.01
103.57,104.81,105.12,101.40
104.85,104.95,105.70,103.98
105.79,104.88,106.24,103.55
106.35,105.96,107.10,104.34
105.48,105.70,107.82,104.65
106.20,106.25,107.17,106.15
105.75,107.66,107.75,105.68
107.54,105.00,107.99,104.13
105.16,105.25,106.66,104.54
104.52,103.52,105.89,103.31
103.29,102.15,103.74,101.88
102.26,102.28,103.60,100.38
101.83,100.89,102.03,100.31
100.81,101.72,101.76,100.37
101.77,103.62,103.84,101.51
103.75,102.20,105.30,102.18
102.12,100.73,102.47,99.28
101.36,101.06,102.00,99.79
99.15,93.90,99.50,93.79
94.16,94.64,96.65,93.66
94.68,93.04,94.89,92.87
92.69,94.43,95.13,92.01
94.22,93.58,94.46,92.80
93.07,92.65,93.56,92.18
93.27,93.43,93.94,92.57
94.02,93.11,94.40,92.71
94.03,94.23,95.67,93.08
94.68,94.01,95.40,93.79
93.90,94.74,94.87,93.40
94.43,93.46,95.22,92.85
93.55,92.79,95.00,92.12
93.00,91.31,93.10,91.07
91.14,90.91,92.54,90.65
89.53,90.24,90.44,87.97
90.34,89.70,90.36,88.10
90.63,90.95,91.10,89.89
90.00,89.03,91.20,88.66
89.11,87.01,89.70,86.33
87.44,87.48,88.15,86.97
87.84,87.57,88.00,87.03
88.45,88.72,89.05,87.51
88.43,89.08,89.81,87.83
88.84,87.91,89.39,87.61
89.88,89.83,90.00,88.92
90.75,90.52,92.57,89.88
90.11,90.42,91.00,89.69
73.33,73.21,75.79,71.95
73.37,72.77,73.40,71.65
72.75,72.45,73.43,72.07
72.93,73.40,73.79,72.12
73.38,75.90,76.76,72.96
75.61,74.98,75.85,73.86
74.57,73.00,75.13,72.80
73.44,73.94,74.56,73.09
73.45,73.49,74.64,72.98
73.74,72.54,74.18,72.20
72.47,71.38,72.48,71.14
71.73,71.43,71.99,70.60
71.71,72.33,72.98,71.71
72.20,72.35,72.74,71.21
76.68,74.89,81.30,74.31
73.74,74.20,75.20,73.23
74.27,75.96,77.03,73.65
75.31,76.43,77.25,74.28
76.10,74.12,76.32,73.77
73.31,74.50,76.12,73.00
75.65,75.37,76.04,75.04
75.50,77.52,77.55,75.10
78.22,76.96,79.00,76.71
76.64,78.70,78.71,76.57
78.78,79.17,79.87,78.22
79.39,79.99,80.03,79.16
80.24,78.34,80.41,78.22
78.50,78.86,79.13,77.52
78.60,79.91,80.08,77.60
82.57,82.60,86.22,82.00
82.55,82.63,83.18,81.72
82.18,82.88,83.55,81.40
83.21,82.66,83.48,82.50
83.09,82.02,84.50,81.65
81.19,81.22,81.59,80.13
80.72,81.56,81.78,80.08
82.51,83.67,83.72,82.50
83.31,83.29,83.72,82.37
83.14,84.12,84.69,83.04
83.64,83.21,84.33,82.90
80.60,79.16,80.95,77.22
79.31,77.32,80.00,76.74
77.25,76.83,78.18,75.75
78.12,79.00,79.05,77.47
79.18,78.07,79.20,77.11
78.18,77.47,78.61,76.67
76.57,75.34,77.82,75.25
75.92,74.10,76.07,73.67
73.86,74.97,75.27,73.42
74.92,73.99,75.46,73.66
74.60,74.53,75.31,74.05
74.51,76.06,76.74,74.51
76.33,74.45,76.62,74.40
73.95,72.32,74.12,72.03
