MTB,M&T Bank Corporation Common Stock,NASDAQ
85.38,85.35,86.08,84.81
84.94,85.45,85.65,84.49
88.33,90.43,92.36,88.00
90.00,90.05,91.15,88.93
90.12,89.31,90.32,88.07
88.47,89.76,89.90,88.05
89.71,88.78,90.90,88.71
87.49,87.37,88.40,87.03
87.00,86.81,87.86,85.64
87.04,86.65,88.44,86.45
87.15,87.78,88.05,85.98
87.16,84.95,87.16,84.95
84.81,85.64,86.53,84.38
86.15,87.49,87.88,86.09
88.08,87.28,88.29,86.90
88.34,88.93,88.94,87.68
88.09,84.70,88.40,84.67
84.72,85.46,86.99,84.72
86.99,87.21,88.40,86.43
87.92,86.57,87.92,85.69
88.28,88.39,88.49,87.12
88.30,87.90,88.44,86.50
87.50,87.40,87.71,86.20
87.22,86.92,87.22,86.07
87.37,86.70,87.83,86.50
87.06,91.00,95.00,86.58
91.30,88.69,92.19,88.59
88.37,88.94,90.93,87.40
87.54,88.17,90.75,87.54
89.62,90.62,90.67,87.78
86.11,84.24,86.87,84.00
83.96,82.50,84.38,81.08
81.88,81.81,82.71,81.28
82.36,81.81,82.63,81.31
83.06,81.91,83.99,81.00
81.86,82.15,82.61,81.15
83.34,83.09,85.26,82.35
79.83,78.91,80.20,77.14
78.58,76.87,78.94,76.16
76.84,76.84,77.42,76.22
76.82,77.22,77.83,76.71
77.42,77.55,77.75,76.51
78.04,76.78,78.18,76.58
76.76,75.66,76.94,73.66
76.43,75.22,76.43,73.51
75.14,76.79,76.79,75.00
75.93,75.73,77.18,75.43
75.55,74.07,76.39,73.69
74.73,72.96,74.73,72.03
73.37,74.44,74.68,72.99
74.63,74.58,74.98,73.89
74.28,75.17,75.66,74.28
74.62,74.95,76.12,74.55
75.57,74.66,75.57,74.01
74.37,74.75,74.82,73.49
76.02,77.47,78.36,75.98
78.25,77.65,78.25,76.85
78.22,80.68,80.74,77.91
81.74,82.49,83.20,80.58
82.60,82.70,84.49,82.26
82.24,82.22,82.61,81.54
82.87,80.32,82.87,79.95
80.87,82.26,82.73,80.37
81.72,82.09,83.00,81.19
81.50,80.98,81.99,80.55
82.20,81.29,82.35,81.06
80.72,79.76,81.17,78.78
80.16,79.54,80.28,79.17
80.42,77.78,80.68,77.68
77.53,77.80,78.70,77.23
76.94,76.86,78.05,76.48
76.22,77.11,77.44,75.87
77.51,77.32,77.93,76.48
76.66,76.45,77.59,76.26
75.66,76.99,77.38,75.35
76.62,76.96,77.20,75.97
78.02,78.50,78.99,77.25
78.64,80.64,80.75,78.48
80.28,80.86,81.07,79.22
80.57,79.64,80.84,79.45
80.00,79.47,80.85,79.14
79.60,81.34,81.98,79.45
81.31,83.24,83.41,81.31
83.87,85.02,86.20,83.82
85.08,85.33,85.76,83.02
85.27,83.86,85.93,83.47
83.50,82.13,84.10,81.86
82.19,82.49,83.41,81.11
82.50,82.75,83.38,82.29
82.95,84.36,84.69,82.71
84.63,85.74,86.25,84.33
85.76,86.16,86.84,85.32
85.98,85.15,86.29,85.01
84.94,86.07,86.23,84.47
86.32,86.78,87.17,85.89
87.14,87.38,87.87,86.51
87.30,86.43,87.47,86.20
86.44,87.05,87.39,85.81
87.67,87.90,88.88,87.56
88.43,87.00,89.33,86.45
86.82,88.03,88.32,86.70
87.93,87.54,88.46,87.48
87.79,86.82,88.19,85.62
86.70,86.10,86.70,84.63
86.56,86.72,87.87,86.13
87.51,87.36,88.48,87.09
87.25,86.26,87.64,85.76
86.07,86.38,87.43,84.84
86.30,86.20,86.79,85.14
85.88,86.49,87.48,85.88
86.45,85.73,86.54,85.10
87.04,86.77,87.71,86.12
86.64,86.37,86.91,85.79
86.28,86.98,87.00,85.90
87.29,86.08,87.29,85.19
86.08,86.92,87.03,85.33
86.83,86.35,87.82,86.31
86.47,86.47,86.92,86.08
86.80,87.27,87.75,86.10
86.94,86.72,87.65,86.23
86.41,86.70,87.20,86.10
86.68,87.49,87.50,85.99
87.32,87.99,88.40,87.24
88.22,89.12,89.16,87.75
88.62,88.77,89.93,88.11
88.30,88.11,88.37,87.27
87.54,89.86,90.88,87.54
89.82,89.21,90.06,89.00
89.00,89.44,89.78,88.90
89.63,90.00,90.39,89.60
89.85,89.99,90.17,89.35
89.95,91.01,91.05,89.68
89.88,89.60,90.44,88.75
89.61,89.09,90.21,88.54
88.87,87.63,88.87,87.00
87.95,88.56,88.88,87.83
89.04,88.05,89.49,87.97
88.54,86.20,88.54,86.18
86.17,85.71,86.74,85.33
86.55,87.42,87.54,86.09
87.18,88.01,88.24,86.99
88.17,87.08,88.58,86.58
87.39,89.79,89.98,87.39
89.61,89.49,89.73,88.73
88.69,87.66,88.92,87.25
86.98,87.70,88.49,86.98
87.20,87.58,87.78,86.66
85.73,86.53,87.15,85.53
86.49,84.99,86.73,84.69
86.32,87.34,87.71,85.84
88.48,87.57,89.18,86.83
88.38,86.82,88.38,86.53
86.77,86.35,87.46,86.21
86.00,86.45,86.79,85.08
86.75,86.98,87.23,86.00
87.03,87.54,88.08,86.63
87.93,87.22,88.05,87.11
87.07,87.52,87.62,86.74
87.95,88.51,88.92,87.63
88.60,88.47,88.96,87.16
89.10,89.69,89.97,88.74
89.77,89.32,89.85,89.04
89.03,88.69,89.42,88.61
89.05,89.79,89.95,88.76
89.72,88.25,89.72,88.07
88.75,87.70,88.75,87.57
87.75,87.75,88.21,87.62
87.35,87.16,87.69,86.82
87.40,85.94,87.54,85.93
85.71,85.20,85.71,85.05
85.49,85.35,85.72,84.62
84.53,87.21,88.00,84.53
87.61,85.42,87.87,85.39
86.37,85.82,86.53,85.21
85.94,85.83,86.43,85.00
85.78,86.12,86.56,85.65
86.41,87.22,87.59,86.35
87.62,89.65,90.76,87.39
89.34,88.91,89.56,88.24
88.89,88.37,89.00,88.25
88.52,87.74,88.52,87.62
87.54,88.50,88.59,87.02
88.49,86.97,88.51,86.81
86.59,86.15,86.88,85.89
86.95,86.43,87.17,86.02
86.50,86.49,86.61,85.88
86.69,87.77,87.77,86.43
87.38,87.35,87.80,87.07
87.34,87.72,87.99,86.84
87.80,86.39,88.00,85.91
86.31,86.41,86.94,86.10
86.25,87.97,88.04,86.23
87.84,89.38,89.39,87.60
89.68,89.17,89.90,88.75
88.97,88.04,89.19,87.87
87.14,87.29,88.44,87.08
87.80,87.41,87.84,86.30
87.00,86.94,87.47,86.53
86.94,86.86,87.40,86.13
86.56,87.62,87.65,86.43
88.50,88.30,88.65,87.42
88.13,85.88,88.16,85.80
85.94,86.43,86.90,85.57
85.46,85.79,86.38,85.15
85.57,84.78,85.80,84.61
85.17,85.42,86.31,84.88
85.17,85.01,85.81,84.76
85.29,85.43,86.06,84.56
85.18,84.41,85.18,83.31
84.62,85.17,85.51,83.83
85.99,86.89,87.57,85.91
86.16,86.04,86.67,85.48
86.04,87.64,87.77,85.79
88.37,88.02,88.46,87.06
87.68,87.80,88.32,87.28
88.24,88.10,88.40,87.13
87.90,87.32,88.23,87.24
86.40,86.28,86.91,85.81
86.47,85.32,86.72,85.28
85.23,86.72,87.61,85.23
86.91,86.42,86.91,85.68
86.93,87.62,87.77,85.85
87.74,87.95,88.30,87.18
88.00,89.03,89.13,87.78
88.75,88.00,88.75,87.38
87.72,88.44,88.81,87.22
89.09,89.24,90.00,89.03
88.09,87.56,88.45,87.25
86.56,86.17,87.32,85.93
87.16,87.45,88.29,86.76
87.94,87.08,88.21,86.96
87.46,86.00,87.46,85.54
86.34,85.56,86.48,85.24
85.28,84.85,85.65,84.35
85.13,86.80,86.94,84.86
87.32,87.14,88.00,85.93
87.76,88.57,88.66,87.46
88.68,89.08,89.17,87.20
88.19,88.55,89.13,88.07
88.65,88.25,89.38,88.13
87.97,87.14,88.51,87.05
87.24,86.32,87.89,86.22
85.71,86.24,86.55,85.22
87.13,87.50,87.80,85.65
86.93,85.61,87.19,85.56
85.67,84.32,86.09,83.56
83.75,81.08,83.97,80.79
81.89,78.65,81.98,78.29
77.07,72.56,78.62,72.36
73.83,75.51,75.72,70.62
73.78,70.39,73.78,70.30
70.91,74.52,75.42,70.91
74.99,73.04,75.99,72.78
73.78,74.80,74.82,73.68
73.93,73.65,74.81,73.02
73.99,74.33,75.24,73.85
72.25,71.56,72.66,71.02
70.03,69.86,72.41,69.81
71.20,69.97,71.47,69.77
70.29,72.58,72.59,69.23
72.37,74.17,74.46,72.00
75.66,73.16,77.00,72.55
72.73,74.39,74.84,71.53
75.12,76.83,76.89,74.94
75.75,75.50,76.18,74.42
76.13,76.07,76.84,75.30
76.09,74.37,76.37,74.31
72.75,72.29,73.97,72.17
70.31,71.61,71.64,69.77
72.83,75.59,76.12,72.26
74.76,73.27,75.15,72.98
72.33,70.50,73.17,70.45
69.49,72.35,72.97,69.49
72.66,72.69,74.04,72.06
73.17,72.94,73.92,71.66
73.80,74.63,74.64,73.45
74.90,74.15,75.00,72.92
72.89,72.02,72.93,71.50
72.48,71.83,73.24,71.70
72.08,68.29,72.32,68.28
66.89,67.90,68.64,66.41
67.65,69.01,69.08,67.65
69.81,73.39,73.56,69.79
74.80,72.75,75.04,72.23
72.80,70.28,73.14,70.18
71.84,72.05,72.90,70.07
71.27,69.90,72.18,69.90
69.66,68.52,71.00,68.50
67.59,69.84,70.03,66.40
69.81,70.07,70.34,68.25
69.98,72.88,72.96,69.25
73.38,70.82,73.45,70.72
72.55,73.95,73.95,71.84
72.82,73.91,74.19,72.02
74.69,75.90,76.78,74.67
75.09,75.89,76.72,73.27
76.96,75.72,77.38,74.75
75.06,73.75,75.36,73.53
74.04,77.07,77.82,73.80
75.22,72.79,75.24,70.21
73.64,73.48,74.27,71.41
74.15,74.94,75.04,73.57
75.23,76.49,76.69,74.75
76.01,74.96,76.26,74.77
76.25,76.53,76.91,75.28
79.22,79.24,80.02,77.21
79.10,78.30,79.33,77.87
77.27,76.11,78.00,76.09
73.67,72.31,74.35,72.14
73.54,73.13,74.14,72.51
74.23,73.13,74.28,71.50
72.53,72.10,72.64,71.58
72.10,71.75,72.63,71.41
72.55,73.83,74.04,71.84
71.92,70.57,72.31,70.29
71.63,72.37,72.57,71.01
73.38,73.91,74.33,73.21
73.28,72.01,73.36,71.56
71.67,72.76,73.02,71.62
71.93,71.94,73.82,71.71
71.86,71.08,73.17,70.75
71.65,71.76,71.99,71.14
70.78,70.09,71.14,69.56
69.83,69.58,70.51,69.39
69.06,67.43,69.10,67.37
67.43,67.70,68.69,67.23
70.16,68.86,70.28,68.23
68.39,68.35,69.09,67.91
70.96,72.98,73.14,70.01
72.86,72.91,73.32,71.93
73.74,73.88,74.99,73.60
75.02,75.54,75.74,74.64
75.17,75.09,75.89,74.46
74.40,74.64,75.11,73.46
74.02,71.96,74.21,71.73
72.70,73.01,73.47,72.48
71.83,71.85,72.30,71.20
72.58,70.97,73.02,70.39
70.64,71.22,72.14,70.50
72.40,71.74,72.44,71.38
72.44,72.75,73.86,72.17
73.05,71.30,73.10,71.01
72.59,75.10,75.29,72.54
75.00,75.83,76.07,74.60
75.84,76.54,76.89,75.64
76.67,76.89,77.08,75.99
76.48,76.59,77.34,76.27
76.89,75.80,76.94,75.64
76.19,76.94,76.98,75.91
77.13,76.34,77.13,76.25
77.85,78.04,78.72,77.32
77.52,78.03,78.51,76.82
77.62,79.23,79.44,77.14
79.00,79.45,79.92,78.21
77.84,79.63,79.70,77.66
79.98,80.14,80.95,79.58
80.01,80.61,80.68,78.99
80.95,81.45,81.60,79.75
80.79,82.34,82.79,80.08
80.68,81.04,82.51,78.12
81.20,81.72,81.90,80.18
81.52,81.79,81.90,80.54
81.71,81.72,81.97,80.88
81.79,82.03,82.97,81.42
81.46,81.69,81.84,80.90
81.45,82.00,82.28,80.66
82.50,80.14,82.50,79.16
79.79,80.11,80.62,79.52
79.43,79.88,80.18,79.32
80.34,79.74,80.92,79.49
80.11,80.21,81.15,79.81
80.45,80.55,80.98,79.93
81.82,82.45,82.80,81.55
81.97,80.99,82.25,80.72
80.65,81.37,81.83,80.60
81.50,81.71,81.92,80.92
81.94,80.81,82.04,80.56
79.52,79.80,80.10,79.39
80.59,80.66,81.05,80.24
80.40,81.03,81.16,79.57
81.35,80.98,81.70,80.84
81.00,81.87,82.00,80.67
82.28,82.92,83.29,81.72
83.09,82.65,83.25,82.04
82.69,80.86,82.69,80.74
80.79,82.11,82.23,80.45
82.15,81.77,82.25,81.11
81.29,82.33,82.54,80.78
82.32,81.85,82.32,81.27
82.00,81.62,82.53,81.42
81.23,81.23,81.69,80.78
81.41,80.59,81.41,80.42
80.21,80.12,80.45,79.64
79.72,78.72,79.82,78.61
78.86,79.84,80.06,78.72
80.47,80.67,80.86,79.86
80.73,81.35,81.75,80.44
81.19,81.15,81.35,80.40
81.77,83.75,83.94,81.56
83.80,83.16,84.33,82.18
83.40,84.95,85.00,82.95
85.37,85.69,86.19,84.67
85.67,86.63,87.13,84.90
86.13,86.26,86.97,85.46
85.87,85.48,86.40,85.11
84.82,84.99,85.35,84.34
85.17,85.86,85.93,84.63
86.19,86.62,86.92,85.87
86.80,85.97,86.81,85.91
86.11,87.27,87.37,85.75
86.62,86.57,86.78,85.59
87.15,86.88,87.15,86.23
86.52,87.00,87.83,86.10
86.92,87.03,87.15,86.36
86.23,86.33,87.00,85.86
85.91,86.88,86.99,85.89
85.41,85.29,85.99,84.90
85.29,83.95,85.59,83.86
84.94,85.10,85.50,84.61
85.20,86.33,86.38,85.08
86.22,84.43,86.48,84.43
85.26,85.62,86.80,84.50
86.48,87.33,87.56,86.09
86.82,87.09,87.75,86.79
87.25,86.95,87.67,86.33
87.35,87.39,87.72,87.06
86.36,85.79,86.77,85.39
85.80,86.61,87.13,85.60
87.20,87.11,87.69,86.29
86.91,87.36,87.50,86.49
87.79,87.38,88.00,86.80
87.20,86.27,87.47,86.08
86.40,86.85,87.51,85.90
86.41,86.65,86.98,85.73
86.69,85.98,87.02,85.66
85.63,85.56,85.98,85.00
85.27,86.56,87.00,85.27
86.24,86.26,86.66,85.39
85.29,84.54,85.49,84.23
85.64,85.23,86.24,84.92
84.38,84.80,85.62,83.19
83.76,83.84,84.62,83.57
83.70,83.02,84.29,82.94
83.49,82.53,84.14,82.51
82.50,81.23,82.57,81.22
81.49,80.71,81.96,80.44
80.98,81.54,81.67,80.46
81.68,81.60,82.80,81.34
81.11,81.49,81.96,80.64
81.89,81.25,81.91,80.86
81.28,81.82,82.29,81.11
82.53,82.90,82.98,81.61
81.78,80.92,81.78,80.67
80.92,81.32,82.08,80.31
79.82,78.57,79.99,78.05
78.81,77.35,78.81,77.19
77.00,76.98,78.33,76.92
77.50,78.41,78.41,77.06
79.67,79.10,80.32,78.90
78.70,79.93,79.93,78.41
80.71,78.20,80.77,78.15
78.27,79.45,79.49,77.68
79.01,78.94,80.14,78.60
79.15,80.27,80.31,78.98
80.51,81.04,81.18,79.91
80.68,80.76,81.23,80.28
81.04,81.42,81.67,80.58
81.42,81.71,81.92,80.52
81.97,79.99,82.42,79.90
80.66,80.96,81.28,80.17
79.76,79.49,80.12,79.06
79.76,79.81,80.24,79.08
79.96,80.96,81.14,79.50
80.50,80.84,81.01,79.44
82.32,82.57,83.11,81.64
83.04,83.44,83.53,82.40
83.15,84.40,84.46,83.10
84.12,83.83,84.74,83.46
83.10,83.88,84.00,82.71
83.91,83.68,84.14,83.11
84.00,82.63,84.34,82.30
82.47,83.68,84.04,82.47
83.33,82.37,83.33,82.29
82.70,83.98,83.99,82.46
83.90,83.55,84.50,83.18
83.80,85.73,85.80,83.80
85.73,86.92,87.56,85.35
86.93,86.62,87.25,85.98
86.07,84.97,86.49,84.85
83.77,84.19,84.56,83.64
84.06,84.46,84.65,83.42
84.86,84.40,85.04,83.79
85.80,85.62,86.11,85.14
86.02,86.45,86.98,85.51
86.19,86.17,86.80,85.86
86.05,85.84,86.41,85.59
86.12,85.50,86.34,85.44
84.87,84.51,84.98,83.54
85.87,87.42,87.85,85.67
87.98,86.67,88.00,86.55
87.13,87.06,87.77,86.76
86.62,86.76,87.00,86.31
86.59,86.80,87.08,86.28
86.49,86.66,86.72,86.06
86.64,86.36,86.66,85.76
86.60,86.21,86.79,86.04
86.02,86.67,86.90,85.99
86.64,86.84,86.97,86.37
87.00,87.28,87.34,86.64
86.88,87.69,87.70,86.88
87.90,87.03,88.02,86.68
86.98,86.63,87.20,86.28
86.45,85.50,86.61,85.38
85.44,85.87,86.04,85.09
88.12,89.82,90.50,88.07
89.53,88.42,89.95,88.10
88.42,88.52,88.73,88.26
87.70,87.00,87.85,86.63
87.73,86.90,87.73,86.76
86.81,87.44,87.50,86.34
87.57,88.35,88.70,87.49
88.68,89.85,90.02,88.67
90.05,90.74,90.90,89.83
89.35,90.44,90.69,89.35
90.68,91.76,92.23,90.47
91.85,92.11,92.44,91.64
92.48,93.72,94.38,91.49
93.83,94.80,95.24,93.60
94.46,94.08,94.73,93.87
94.20,93.92,94.31,93.65
93.90,94.27,94.53,93.58
93.35,94.34,94.42,93.03
95.62,94.99,95.72,94.64
94.25,95.33,95.79,94.18
95.54,94.66,95.98,94.66
94.69,94.03,94.84,93.62
94.67,94.43,94.84,93.71
94.28,95.16,95.63,93.84
95.57,95.65,96.94,95.40
96.07,95.63,96.08,95.02
95.75,96.90,97.21,95.52
97.03,98.08,98.14,96.88
98.60,98.51,98.99,97.98
97.98,97.98,98.20,97.56
97.74,96.98,97.89,96.90
98.07,98.63,98.88,97.35
99.02,98.39,99.15,98.24
97.98,96.32,98.02,95.72
96.89,97.48,97.97,96.50
97.89,97.39,98.24,96.83
99.05,103.07,103.83,98.97
102.55,104.88,105.33,101.53
104.51,103.70,104.60,102.94
103.82,104.57,104.60,103.65
103.32,103.89,104.10,102.96
103.46,104.38,105.11,103.45
105.01,104.21,105.20,103.80
104.20,103.44,104.63,103.04
103.90,104.10,104.50,102.35
104.26,104.51,104.71,103.27
104.89,103.55,104.95,103.29
102.98,103.22,103.51,101.72
103.43,104.70,104.75,103.18
103.41,100.97,103.41,100.28
101.15,100.18,101.68,100.18
99.43,99.09,100.16,99.00
99.40,99.96,100.22,98.92
99.77,98.12,99.77,97.90
98.47,96.16,98.54,95.90
96.25,96.41,96.89,95.77
96.46,97.10,97.38,95.71
98.13,98.18,98.69,97.44
98.00,98.48,98.89,97.26
98.40,98.29,98.48,97.45
98.75,99.67,99.67,98.60
99.15,98.91,99.44,98.39
98.88,98.65,99.20,97.88
98.22,98.28,98.47,97.07
98.44,97.26,98.44,97.02
97.41,97.73,97.93,96.94
97.90,97.18,98.15,96.93
97.21,96.15,97.64,96.03
96.53,96.32,97.00,95.68
96.33,97.34,97.47,96.15
97.35,97.64,97.74,96.85
97.35,97.99,99.40,97.04
98.22,97.80,98.49,97.51
97.94,98.11,98.87,97.61
98.66,98.25,99.18,97.76
97.71,97.91,98.14,97.65
98.22,99.89,100.15,97.81
100.03,101.23,101.23,99.57
100.81,100.62,101.63,100.35
100.62,101.13,101.42,100.47
99.96,99.86,100.58,99.47
99.57,99.15,99.64,98.91
99.54,98.87,99.70,98.32
99.04,98.26,99.12,97.00
97.51,97.55,98.43,97.49
97.46,98.47,98.50,97.10
100.33,101.03,101.03,99.59
100.95,101.13,101.27,100.18
101.20,102.80,102.86,101.00
102.49,102.46,102.53,101.47
102.19,102.35,102.42,101.39
102.49,102.80,103.16,102.28
103.44,103.54,103.83,102.79
103.25,103.24,103.81,102.28
103.04,102.79,103.31,102.02
102.31,103.45,103.72,101.96
104.25,102.90,104.25,102.57
103.11,103.33,103.51,102.64
103.75,103.29,103.83,102.70
103.06,104.76,104.82,103.06
104.60,104.11,104.82,103.88
104.20,104.02,104.92,103.74
104.36,103.99,104.43,103.25
104.00,103.13,104.01,103.09
103.11,103.42,103.50,102.73
103.33,103.31,103.52,102.35
102.86,102.69,102.98,101.83
103.23,103.92,104.14,102.67
103.33,102.70,103.48,102.44
103.08,104.46,104.63,102.66
103.68,104.05,104.14,103.39
103.66,103.79,104.33,102.98
103.85,104.39,104.54,103.61
103.93,104.24,104.36,103.74
104.36,105.45,105.68,104.21
105.69,104.67,105.86,104.41
104.51,104.60,104.92,104.03
104.98,104.83,105.10,104.00
104.99,105.78,105.89,104.87
105.41,104.65,105.52,104.54
104.44,103.09,104.79,102.97
103.65,104.73,104.73,103.22
105.23,101.86,105.61,101.79
102.25,102.05,102.54,100.88
102.00,102.65,102.88,101.30
101.77,102.09,102.77,101.55
101.59,102.66,102.88,100.82
102.17,103.27,103.36,102.17
103.65,103.66,104.18,103.44
104.10,103.83,104.19,103.36
103.95,103.96,104.12,103.45
104.57,103.96,104.60,103.63
103.98,104.18,104.22,103.75
103.81,104.09,104.20,103.80
104.15,104.22,104.31,103.68
104.42,104.67,104.77,104.24
104.65,104.35,104.87,104.02
104.10,103.31,104.60,102.50
103.64,102.85,104.03,102.63
103.46,103.29,103.49,102.69
102.80,102.68,103.26,102.49
102.97,103.12,103.17,102.54
103.58,102.80,103.64,102.60
103.30,102.57,103.32,102.34
102.00,103.14,103.22,101.79
103.42,103.16,103.69,100.76
103.18,102.50,103.18,102.07
102.84,102.08,103.03,101.79
102.16,100.82,102.16,100.62
101.13,101.61,102.00,100.95
100.11,101.20,101.31,99.89
101.12,101.09,101.18,100.42
101.01,102.79,102.94,100.93
103.12,104.49,104.59,102.84
104.47,104.92,105.25,104.35
101.50,100.24,103.52,99.94
100.00,98.36,100.47,98.36
98.09,98.48,98.65,97.66
97.55,96.55,97.81,96.43
96.62,97.57,97.96,95.68
97.94,98.75,98.94,97.48
98.89,98.68,98.97,98.02
99.18,99.56,99.70,98.56
99.84,99.92,100.03,99.36
100.18,100.09,100.50,99.84
100.16,99.82,100.38,99.68
100.13,99.81,100.45,99.48
99.75,100.20,100.38,99.04
99.87,99.54,100.14,99.34
99.71,100.42,101.15,99.46
101.07,100.77,101.41,100.50
100.76,101.23,101.44,100.68
101.50,102.30,102.36,101.27
102.34,103.19,103.34,102.00
103.17,103.07,103.49,102.73
103.31,103.52,103.69,102.83
103.17,103.34,103.90,103.02
103.42,103.99,104.00,103.25
103.49,105.37,105.84,103.49
105.03,104.69,105.64,104.34
104.76,105.94,106.08,104.76
105.78,106.03,106.32,105.44
106.00,106.25,106.68,105.79
106.14,104.67,107.41,104.49
103.89,104.26,104.89,103.76
103.80,104.71,104.74,103.24
105.62,106.08,106.58,105.50
105.66,105.99,106.53,105.51
105.80,106.01,106.47,105.11
105.80,104.90,106.29,104.90
105.16,105.60,105.72,104.43
105.58,104.29,106.26,104.00
103.83,102.79,104.38,102.66
102.30,102.68,102.78,100.67
103.15,103.74,103.83,102.73
104.04,103.99,104.42,103.61
103.16,102.90,103.68,102.46
103.39,102.06,103.74,102.06
102.08,103.56,103.65,101.57
104.50,102.51,104.50,102.32
103.35,103.04,103.41,102.54
103.03,104.13,104.70,102.36
104.12,103.51,104.42,103.32
