SBNY,Signature Bank - Common Stock,NASDAQ
63.72,64.32,64.45,63.66
64.23,64.33,64.44,63.89
64.18,64.56,64.59,64.00
64.44,64.47,64.57,64.19
64.47,63.66,64.81,63.50
63.67,63.62,64.00,63.15
63.65,63.53,64.24,63.44
63.39,63.41,63.89,63.30
63.66,63.49,64.90,63.24
63.60,64.34,64.40,63.46
64.40,64.45,64.82,64.26
64.15,64.36,64.56,63.95
64.70,64.63,64.76,64.02
64.52,65.39,65.63,63.94
65.63,64.54,65.66,64.25
65.04,64.62,65.32,64.38
64.70,65.40,65.46,64.64
65.22,65.42,65.58,65.14
65.31,65.67,65.85,65.25
65.82,66.16,66.30,65.36
66.17,66.75,66.97,65.70
66.78,69.01,69.28,65.87
68.84,67.45,68.92,67.34
67.40,67.12,67.40,66.75
67.26,66.78,67.27,66.58
66.17,66.36,67.21,65.22
66.30,65.87,67.16,65.49
65.70,66.98,67.01,65.52
67.33,66.50,67.44,66.48
66.41,66.50,66.93,66.00
66.69,67.20,67.32,66.37
67.10,67.08,67.20,66.49
67.53,66.59,67.53,66.14
66.61,67.14,67.20,66.14
67.17,67.19,67.48,66.99
67.67,67.51,67.84,67.07
67.74,67.53,68.21,67.17
67.31,68.07,68.10,67.00
68.07,67.24,68.71,67.09
67.27,67.88,68.33,67.27
68.50,68.34,68.70,67.62
68.01,66.93,68.43,66.92
67.20,66.53,67.64,66.02
66.89,66.13,67.09,65.57
66.22,66.13,67.02,65.61
66.09,66.08,66.56,65.78
66.24,66.18,66.59,65.78
66.05,66.33,66.51,65.61
67.60,69.85,70.25,66.83
70.38,71.63,72.80,70.20
71.96,71.85,72.31,71.35
71.66,71.74,72.00,71.26
71.86,71.24,71.86,70.50
71.01,72.12,72.61,70.33
72.37,71.01,72.47,70.95
71.10,71.48,71.53,70.02
71.71,72.09,72.34,71.52
71.42,69.59,71.67,69.48
69.72,69.27,70.09,69.26
69.08,68.97,69.82,68.82
69.21,69.31,69.51,68.26
69.02,68.48,69.54,68.41
68.73,68.29,68.88,68.05
68.25,68.85,68.95,67.83
69.36,68.50,69.65,67.88
68.97,68.98,68.99,68.34
68.93,70.58,70.60,68.93
70.65,70.34,70.80,70.01
70.38,72.00,72.02,70.17
71.72,71.32,72.15,70.86
71.30,71.23,71.68,70.92
70.73,70.94,71.10,69.70
70.90,70.26,72.05,68.99
70.18,70.16,70.45,69.69
70.50,70.54,70.90,69.84
70.41,70.22,70.55,69.30
70.25,70.77,70.80,70.06
70.61,70.87,71.33,70.33
71.15,70.24,71.15,70.01
70.46,70.26,70.85,70.03
70.75,70.83,71.08,69.58
70.94,70.81,71.39,70.77
70.81,69.45,70.93,69.29
69.33,68.58,69.47,68.36
68.69,69.20,69.32,68.58
69.56,71.25,71.31,69.56
71.10,71.55,72.18,70.81
71.80,72.59,72.63,71.65
71.05,72.05,72.27,71.05
71.99,71.74,72.48,71.39
72.02,71.35,72.12,71.24
71.38,70.74,71.44,69.64
70.35,71.00,71.50,70.16
71.03,71.34,71.58,70.55
72.68,72.46,72.75,71.81
72.66,72.40,72.84,71.91
72.43,73.80,73.88,72.06
73.95,74.30,74.45,73.31
74.57,73.34,74.71,73.15
73.08,73.56,73.57,73.08
74.12,74.36,74.45,73.27
74.15,73.05,74.28,72.81
72.76,73.30,73.62,72.45
73.22,74.00,74.10,72.87
74.36,74.30,74.66,73.80
74.39,75.00,75.24,74.39
74.89,74.38,75.18,74.06
74.16,75.11,75.49,73.50
75.34,75.71,75.80,74.63
75.50,75.18,75.94,74.67
75.26,74.93,75.39,74.46
75.14,74.89,75.40,74.14
74.82,74.35,75.15,74.15
74.02,73.99,74.76,73.60
74.05,73.93,74.32,73.35
74.10,75.00,75.04,73.86
74.63,74.18,74.68,73.98
74.36,75.57,75.86,74.25
75.38,75.26,75.59,75.13
75.15,74.99,75.46,74.48
74.96,75.52,75.84,74.74
75.50,75.53,75.75,75.23
75.43,76.38,76.39,75.43
76.58,76.15,76.58,75.57
76.13,75.40,76.50,75.39
75.25,75.02,75.50,74.69
75.26,75.46,75.57,74.84
75.36,74.82,75.66,74.75
74.80,74.09,75.38,74.06
74.24,74.82,74.82,73.74
75.01,72.73,75.38,72.73
73.15,73.07,73.58,72.32
72.90,73.93,74.24,72.90
73.99,74.27,74.62,73.69
74.10,73.72,74.16,72.59
73.69,74.51,74.82,73.63
74.93,75.10,75.48,74.53
75.35,75.58,75.69,75.05
75.53,75.79,76.14,75.33
76.40,75.42,76.45,75.17
75.20,75.80,75.90,75.09
75.58,75.44,75.78,75.05
75.42,75.86,76.19,75.42
75.88,76.35,76.49,75.88
76.39,77.28,77.29,76.18
76.70,76.85,77.69,76.46
76.80,77.41,77.60,76.68
77.86,77.81,78.23,77.19
77.46,77.37,77.83,77.10
77.48,78.19,78.26,77.38
78.49,78.71,79.02,77.75
79.25,78.66,79.25,78.30
78.20,78.98,79.16,77.92
79.22,78.76,79.22,78.00
78.80,79.11,79.12,78.17
79.68,78.94,79.68,78.65
79.17,77.49,79.34,77.24
77.80,77.07,77.80,76.59
76.19,77.14,77.29,75.86
77.34,77.69,77.69,76.30
77.78,77.53,78.20,77.10
77.47,78.38,78.42,77.47
77.87,78.43,78.64,77.74
78.33,78.32,78.63,77.93
78.12,76.53,78.48,76.52
77.14,77.96,78.06,76.79
77.55,77.00,77.67,76.24
77.03,76.18,77.24,76.09
76.38,76.86,77.20,76.15
77.02,76.33,77.02,75.94
76.52,73.42,77.99,71.23
73.26,73.00,75.02,72.96
72.85,72.56,73.17,72.45
72.66,72.32,72.75,71.94
72.62,71.21,72.92,70.95
71.25,71.61,71.61,70.58
71.49,71.21,71.59,70.68
71.27,71.62,72.40,71.21
72.22,72.59,72.88,71.93
72.77,73.70,73.74,72.49
73.66,75.28,75.41,73.65
75.23,76.51,76.64,74.91
76.32,76.59,77.06,76.20
76.59,76.61,76.97,76.47
76.50,76.66,77.22,76.31
76.53,77.00,77.18,76.53
76.87,77.14,77.38,76.73
77.21,77.06,77.46,76.91
77.17,78.54,79.03,76.96
78.28,78.26,78.74,77.86
78.16,78.20,78.42,77.97
78.10,77.35,78.38,76.79
77.10,77.14,77.47,76.29
76.83,77.69,77.74,76.75
78.00,77.43,78.08,76.84
76.85,76.91,77.55,76.46
76.91,77.48,77.67,76.30
77.19,77.18,77.96,77.04
77.16,76.98,77.47,75.95
76.84,77.01,77.89,76.53
77.00,75.86,77.14,75.84
76.18,76.71,76.72,75.59
77.42,77.85,78.05,76.81
78.00,78.90,79.17,77.63
78.04,77.42,78.41,77.30
77.72,76.94,77.87,76.88
76.75,77.99,78.00,76.50
78.78,79.05,79.48,78.12
79.33,79.05,79.78,78.60
79.24,79.26,79.95,78.95
79.15,78.72,79.44,78.30
