FXC,Guggenheim CurrencyShares Canadian Dollar Trust,NASDAQ
96.79,97.04,97.10,96.52
96.70,97.10,97.29,96.62
96.99,96.89,97.07,96.24
96.95,97.42,97.42,96.89
97.90,97.11,98.11,96.97
97.58,96.68,97.70,96.63
95.50,95.81,96.01,95.12
95.38,95.33,95.87,95.03
95.89,96.07,96.20,95.55
96.12,96.07,96.32,95.95
94.86,94.28,94.87,94.08
93.92,93.44,94.18,93.40
93.88,93.83,94.01,93.29
93.72,93.62,93.86,93.22
94.40,94.23,94.80,94.14
94.16,94.90,94.91,94.13
95.60,95.29,95.83,95.07
96.47,96.24,96.59,96.21
96.03,95.85,96.26,95.76
96.53,96.22,96.77,95.93
96.17,96.19,96.68,96.02
96.29,95.75,96.30,95.25
94.98,94.30,94.98,94.20
94.35,94.29,94.61,94.14
94.05,95.17,95.28,93.94
95.77,94.89,95.81,94.70
95.38,95.66,96.01,95.36
95.49,95.97,96.00,95.38
96.19,96.32,96.51,96.10
96.72,95.95,96.72,95.65
96.23,95.77,96.34,95.71
96.23,95.97,96.41,95.73
95.95,96.73,96.88,95.86
97.15,97.16,97.45,97.02
97.20,97.13,97.27,96.82
97.37,97.71,97.84,97.23
98.02,97.80,98.17,97.71
97.07,96.77,97.44,96.47
96.83,96.86,96.93,96.63
95.98,96.33,96.54,95.73
95.44,95.14,95.48,94.93
94.92,95.35,95.41,94.92
95.68,95.51,96.07,95.40
95.15,95.21,95.39,95.03
96.22,96.27,96.46,96.10
96.51,96.66,96.81,96.28
96.36,95.70,96.48,95.48
94.91,94.82,94.92,94.59
94.92,94.52,95.06,94.43
93.46,93.76,94.17,93.24
93.39,93.75,93.85,93.30
94.18,94.12,94.50,93.99
93.91,94.48,94.53,93.39
94.44,93.79,94.53,93.79
93.34,93.24,93.55,93.16
94.10,94.50,94.81,94.07
94.54,94.40,94.62,94.19
95.37,95.68,95.73,95.12
95.49,94.88,95.50,94.87
95.49,95.83,96.09,95.46
96.43,96.18,96.51,96.03
96.19,96.03,96.35,95.85
96.66,96.80,96.85,96.55
96.96,96.76,97.32,96.76
96.60,96.87,96.98,96.42
96.88,96.85,96.96,96.64
96.69,96.42,96.70,96.08
96.32,96.59,96.87,96.28
96.51,96.83,97.31,96.29
96.93,96.57,97.15,96.00
96.04,96.17,96.56,95.96
97.06,96.92,97.19,96.74
97.22,96.70,97.22,96.65
96.37,96.52,96.63,95.98
96.88,96.19,96.99,96.16
96.92,96.64,97.17,96.30
96.90,97.48,97.60,96.62
97.35,97.28,97.44,97.08
97.64,97.73,97.92,97.52
97.96,98.39,98.80,97.92
98.21,97.62,98.22,97.40
97.73,98.34,98.39,97.49
98.26,98.10,98.39,97.98
98.25,98.40,98.55,97.95
99.08,98.97,99.31,98.94
99.16,98.86,99.27,98.69
98.96,98.27,99.00,98.06
97.62,98.05,98.11,97.54
96.05,96.36,96.65,95.96
96.55,97.30,97.38,96.48
97.48,96.88,97.69,96.52
97.08,96.81,97.19,96.75
97.68,97.45,97.82,97.41
97.01,97.11,97.35,96.85
96.51,96.66,96.68,96.19
96.98,97.36,97.63,96.76
97.60,97.50,97.78,97.46
97.87,97.87,98.15,97.64
98.50,98.48,98.58,98.38
98.49,98.75,98.92,97.95
99.21,99.19,99.32,98.96
99.44,99.41,99.52,99.26
98.96,99.08,99.33,98.92
99.51,98.71,99.61,98.51
99.40,99.42,99.50,98.72
99.23,99.13,99.27,98.73
98.59,98.55,98.99,98.20
98.73,98.54,98.87,98.53
97.57,97.30,97.72,96.97
97.37,97.08,97.68,97.06
97.68,97.34,97.84,97.27
97.30,97.69,97.73,97.19
97.84,97.72,97.90,97.32
97.33,97.19,97.43,96.88
97.97,98.32,98.54,97.94
97.41,97.54,97.66,97.36
97.29,97.63,97.73,96.95
96.76,96.87,97.17,96.72
97.63,97.75,98.03,97.35
98.56,99.03,99.14,98.56
99.02,99.09,99.17,98.81
98.71,98.94,99.06,98.66
99.08,98.30,99.08,98.30
98.53,98.36,98.79,98.21
98.61,98.41,98.62,98.29
98.54,98.53,98.60,98.41
99.04,98.66,99.08,98.64
98.46,98.79,99.15,98.41
98.93,99.03,99.43,98.89
99.06,98.86,99.06,98.69
98.38,98.17,98.48,98.00
97.99,97.83,98.02,97.44
97.64,97.72,97.78,97.49
97.81,98.06,98.20,97.78
98.11,98.53,98.72,98.09
98.69,98.76,98.77,98.55
99.55,99.43,99.68,99.24
99.37,99.36,99.48,99.34
99.44,99.43,99.48,99.29
99.54,99.54,100.34,99.54
100.36,100.05,100.54,100.03
100.08,99.58,100.08,99.09
99.65,99.79,100.09,99.64
100.02,99.76,100.02,99.50
100.40,100.28,100.40,99.82
99.81,100.13,100.21,99.59
100.25,100.45,100.51,100.10
100.94,100.77,100.94,100.51
100.55,100.51,100.84,100.37
100.15,100.50,100.56,99.98
100.58,100.16,100.74,100.11
100.27,99.89,100.32,99.78
99.31,99.74,99.81,99.12
100.22,99.90,100.34,99.86
99.79,100.00,100.24,99.75
99.51,99.68,99.77,99.44
99.87,99.91,99.97,99.68
100.02,100.13,100.19,99.81
99.92,99.35,99.97,99.29
99.68,99.31,99.71,98.87
99.79,100.34,100.44,99.73
100.59,100.62,100.83,100.43
100.58,100.36,100.62,100.22
100.93,100.61,100.94,100.29
100.53,100.44,100.84,100.38
100.49,100.00,100.52,99.72
100.13,100.04,100.28,99.88
99.89,99.87,99.97,99.72
99.99,100.77,100.79,99.98
100.66,100.60,100.69,100.44
100.70,100.46,100.75,100.41
100.75,100.94,100.99,100.68
101.11,100.97,101.13,100.88
101.20,100.86,101.25,100.71
100.91,100.39,101.05,100.26
100.09,100.60,100.61,99.86
101.22,101.14,101.29,100.99
101.31,101.62,101.66,101.25
102.16,102.38,102.42,101.90
102.23,102.03,102.29,101.94
102.22,102.25,102.41,102.13
102.16,102.30,102.37,101.96
102.29,102.33,102.54,102.18
102.52,102.20,102.60,102.07
102.13,102.37,102.44,102.09
102.62,102.66,102.70,102.47
102.17,101.94,102.21,101.81
101.58,102.40,102.41,101.56
102.06,102.26,102.28,101.83
100.38,101.05,101.36,100.31
100.83,100.31,101.06,99.77
100.87,100.83,101.10,100.58
101.13,100.83,101.16,100.83
101.87,101.52,101.90,101.45
101.64,101.50,101.81,101.39
101.16,101.40,101.54,101.01
101.82,101.88,102.18,101.72
101.95,101.26,101.98,101.20
101.74,101.84,102.08,101.71
101.76,102.04,102.04,101.67
102.45,102.39,102.46,102.25
102.42,102.59,102.69,102.22
103.07,103.12,103.31,102.80
102.92,102.78,102.94,102.66
103.00,103.17,103.28,102.93
103.64,103.55,103.92,103.55
103.65,103.78,103.89,103.38
104.18,103.85,104.18,103.70
103.88,103.97,104.19,103.85
103.64,103.25,103.64,102.98
103.56,103.32,103.58,103.00
103.05,103.61,103.62,102.98
103.17,103.57,103.68,103.06
103.15,103.17,103.19,102.30
103.94,103.99,104.11,103.79
104.37,104.33,104.49,104.07
104.72,104.30,104.73,104.29
104.46,104.19,104.50,104.00
104.29,104.45,104.69,104.20
104.52,104.68,104.68,103.86
104.59,104.60,104.85,104.48
104.28,105.11,105.25,104.16
104.73,104.56,104.90,104.52
104.39,104.37,104.85,104.24
104.38,103.75,104.38,103.57
103.01,102.67,103.25,102.37
103.52,102.83,103.79,102.50
102.80,103.21,103.24,102.58
103.40,103.84,103.86,103.22
104.17,103.44,104.24,103.17
103.15,103.35,103.44,102.55
103.06,102.62,103.14,102.06
102.18,102.06,102.60,102.05
101.80,102.24,102.24,101.50
102.08,102.47,102.48,101.90
102.77,102.70,102.92,102.38
102.34,102.20,102.58,101.78
101.50,101.77,101.87,101.37
101.68,101.88,101.88,101.56
101.61,101.72,102.05,101.59
101.53,101.63,101.72,101.32
101.75,101.76,101.95,101.68
102.83,102.67,102.99,102.59
102.57,101.90,102.57,101.83
101.65,101.93,102.00,101.36
101.09,101.65,101.97,101.08
101.58,101.36,101.68,101.31
102.02,101.93,102.15,101.91
101.61,101.48,101.83,101.43
101.74,102.19,102.25,101.62
102.22,101.64,102.24,101.50
101.72,101.81,101.89,101.50
102.45,102.64,102.79,102.35
102.38,101.58,102.45,101.18
100.85,101.18,101.27,100.72
101.51,101.48,101.58,101.27
101.40,101.46,101.63,101.39
102.04,102.26,102.38,101.96
102.00,102.18,102.54,101.98
101.50,101.69,101.70,101.24
101.39,100.76,101.39,100.60
100.46,100.81,100.86,100.35
100.94,101.22,101.26,100.82
102.13,102.44,102.61,102.08
102.87,103.11,103.29,102.81
103.17,103.75,103.76,103.02
103.47,103.22,103.54,103.16
102.94,102.99,103.06,102.57
103.63,103.68,103.89,103.56
103.32,103.49,103.52,103.09
102.69,102.60,102.95,102.60
102.61,102.93,103.30,102.54
103.28,103.59,103.82,103.16
103.86,103.44,103.93,103.40
103.86,104.23,104.45,103.60
103.63,103.71,103.71,103.20
104.66,104.59,104.85,104.47
104.84,104.95,105.10,104.76
105.26,105.18,105.51,105.09
104.78,104.77,104.81,104.35
105.05,105.15,105.40,105.00
105.46,105.46,105.52,105.17
105.57,104.81,105.59,104.63
104.85,104.52,105.02,104.44
103.90,104.08,104.38,103.82
104.50,103.97,104.50,103.52
103.65,103.60,103.88,103.48
103.78,103.32,103.81,103.08
102.47,101.51,102.52,101.51
101.97,101.67,102.04,100.91
100.67,100.36,100.79,100.13
100.26,101.61,101.65,99.88
100.67,99.93,100.81,99.89
100.10,100.64,100.94,99.97
100.83,100.40,100.94,100.27
100.88,101.50,101.51,100.74
101.18,101.28,101.40,100.90
101.54,101.50,101.72,101.23
100.53,100.64,100.64,100.05
100.59,100.60,101.21,100.46
101.00,100.42,101.00,100.38
100.62,100.68,100.73,100.35
100.73,100.79,100.96,100.55
101.28,100.74,101.55,100.62
100.41,101.19,101.19,100.21
101.87,101.74,101.93,101.48
101.57,101.68,101.77,101.29
101.91,101.55,102.23,101.49
101.82,101.89,102.13,101.72
101.17,101.06,101.46,100.98
99.98,100.48,100.61,99.98
100.56,100.89,100.90,100.46
100.89,100.62,101.10,100.48
99.92,99.83,99.95,99.65
99.72,100.25,100.25,99.60
100.33,100.92,100.95,100.19
100.43,100.39,100.61,100.05
100.90,101.06,101.08,100.63
101.19,101.55,101.58,100.92
100.54,100.47,100.59,100.20
100.18,100.06,100.40,99.96
99.59,98.86,99.71,98.86
96.52,96.77,96.96,96.17
96.80,96.61,97.10,96.33
96.47,96.71,96.72,95.93
97.49,97.43,98.02,97.30
97.29,96.29,97.44,96.22
96.65,95.96,96.81,95.59
95.10,94.88,95.86,94.87
94.60,94.58,95.29,94.45
94.03,94.27,94.27,93.29
94.53,95.64,95.65,94.40
95.00,95.84,95.84,94.89
96.59,95.75,96.72,95.50
96.67,96.92,97.00,96.64
96.37,96.76,96.76,96.33
97.87,97.73,98.11,97.67
97.41,97.52,97.64,96.80
98.22,98.45,98.45,97.87
98.17,97.26,98.17,97.21
97.31,98.03,98.28,97.09
98.40,97.47,98.50,97.35
97.66,97.98,98.14,97.14
98.51,98.57,98.77,98.28
98.76,99.16,99.21,98.75
98.64,97.87,98.64,97.42
98.59,99.00,99.02,97.84
100.11,100.33,100.52,99.71
99.88,100.26,100.29,99.77
99.94,99.77,100.15,99.49
97.79,97.61,98.29,97.43
98.19,98.13,98.37,97.75
98.37,98.63,98.73,97.64
97.62,97.81,97.89,97.24
97.88,98.21,98.21,97.58
98.09,98.64,98.66,97.81
97.48,97.30,97.81,97.19
97.63,97.70,97.80,97.16
97.79,98.31,98.37,97.75
97.70,97.76,97.88,97.60
97.26,97.44,97.53,97.09
96.98,97.18,97.74,96.96
97.19,96.68,97.31,96.58
97.01,96.79,97.16,96.74
96.18,95.83,96.18,95.47
95.85,95.82,96.09,95.74
95.40,94.82,95.40,94.73
94.80,94.72,95.26,94.72
96.43,96.04,96.47,95.87
96.44,96.52,96.67,96.36
97.93,97.45,98.16,97.43
97.61,98.02,98.08,97.55
98.15,97.62,98.15,97.56
98.06,97.79,98.26,97.56
98.08,98.51,98.61,98.04
98.28,98.44,98.62,98.15
98.21,97.23,98.22,97.17
97.02,97.66,97.68,97.02
96.88,96.92,97.03,96.69
96.87,96.13,97.11,96.09
95.55,95.64,95.82,95.40
96.29,95.99,96.33,95.92
95.96,95.86,96.08,95.57
96.05,95.72,96.12,95.70
96.64,96.54,96.88,96.44
96.78,96.94,96.96,96.50
96.96,97.41,97.48,96.96
97.57,97.54,97.65,97.37
97.45,97.58,97.66,97.35
97.96,97.08,97.96,97.01
97.16,97.42,97.44,97.09
97.49,97.62,97.89,97.44
98.37,98.36,98.67,98.30
98.06,98.24,98.32,97.95
97.79,97.58,97.81,97.25
97.43,96.80,97.43,96.80
96.94,97.22,97.26,96.64
97.74,97.77,97.92,97.55
97.63,97.56,97.64,97.41
97.76,97.67,97.82,97.41
97.13,97.25,97.25,96.74
98.00,97.93,98.15,97.80
97.79,98.35,98.35,97.70
98.63,98.34,98.65,98.25
98.05,98.16,98.16,97.96
98.63,98.69,98.92,98.49
98.17,98.49,98.59,98.14
98.25,99.09,99.13,98.08
99.41,99.26,99.60,99.22
99.12,99.37,99.44,99.12
98.85,99.17,99.20,98.79
99.62,99.19,99.65,98.95
99.63,99.54,99.77,99.50
99.61,99.46,99.69,99.44
99.69,100.09,100.14,99.63
99.62,99.87,99.96,99.62
99.78,99.96,100.01,99.63
99.98,99.82,100.06,99.54
100.12,99.88,100.13,99.84
99.31,99.15,99.37,99.13
99.58,99.50,99.60,99.34
99.46,99.48,99.56,99.24
99.87,99.50,99.87,99.46
99.32,99.78,99.86,99.31
99.99,99.85,100.00,99.61
99.81,99.77,99.95,99.70
99.39,99.44,99.53,99.26
99.63,99.69,99.73,99.46
99.53,99.46,99.70,99.41
99.09,99.53,99.67,99.07
99.69,99.91,99.92,99.59
100.56,100.52,101.01,100.36
100.91,100.86,101.01,100.79
100.78,100.57,100.78,100.51
100.13,100.00,100.15,99.88
99.27,99.36,99.45,99.16
99.24,99.64,99.67,99.20
100.14,100.32,100.48,100.02
100.55,100.33,100.68,100.33
100.17,100.14,100.21,99.97
100.28,100.54,100.60,100.18
100.41,100.11,100.57,99.99
100.06,100.22,100.36,99.96
100.39,100.24,100.41,100.19
100.33,100.68,100.83,100.27
100.15,100.26,100.35,99.77
100.39,100.23,100.43,100.10
99.39,99.45,99.53,99.35
99.34,99.58,99.60,99.10
100.08,100.33,100.35,100.05
100.26,99.94,100.28,99.93
99.89,99.62,99.97,99.46
99.40,99.74,99.79,99.26
99.71,99.69,99.74,99.50
99.65,100.39,100.55,99.61
100.40,100.38,100.50,100.14
99.87,99.76,99.94,99.71
100.16,100.06,100.36,100.01
99.44,99.78,99.82,99.42
99.47,99.02,99.58,98.99
99.23,99.04,99.30,98.95
99.49,100.00,100.02,99.45
99.99,99.59,99.99,99.55
99.61,99.44,99.61,99.11
100.49,100.44,100.80,100.41
100.43,100.29,100.57,100.20
100.16,99.90,100.30,99.81
100.28,100.19,100.48,100.10
99.78,100.35,100.35,99.66
100.42,100.64,100.66,100.42
101.02,101.10,101.20,100.89
101.09,101.06,101.19,100.98
101.41,101.37,101.45,101.24
100.86,100.67,100.86,100.54
100.62,100.87,101.10,100.48
100.53,100.80,100.84,100.38
100.90,100.52,100.93,100.52
100.26,99.87,100.34,99.80
99.97,100.14,100.16,99.83
99.66,99.61,99.66,99.20
98.96,99.35,99.40,98.89
99.59,99.25,99.62,99.19
99.58,99.33,99.88,99.30
99.11,99.13,99.28,98.96
99.14,98.75,99.20,98.69
98.68,98.17,98.80,98.17
98.01,97.54,98.04,97.54
97.86,97.39,97.91,97.27
97.22,97.78,97.82,97.07
97.70,97.30,97.86,97.18
97.20,97.11,97.23,96.59
97.14,96.80,97.14,96.59
96.65,96.58,96.84,96.50
97.22,97.21,97.35,96.85
96.59,96.63,96.75,96.43
96.63,96.27,96.66,95.92
95.72,95.64,96.02,95.48
95.79,95.62,95.89,95.30
95.71,95.82,95.93,95.48
96.10,96.76,96.76,96.10
97.33,96.72,97.39,96.70
96.20,96.84,96.84,96.15
97.11,96.39,97.11,96.38
96.76,96.86,96.93,96.49
96.77,96.60,97.08,96.55
96.91,97.14,97.17,96.85
97.00,97.30,97.30,96.92
96.83,97.11,97.12,96.81
97.61,97.65,97.79,97.56
97.72,97.55,97.77,97.20
97.44,96.61,97.44,96.58
96.85,97.05,97.08,96.74
96.49,96.61,96.66,96.44
96.78,97.09,97.16,96.61
97.02,96.95,97.04,96.89
96.45,96.28,96.47,95.97
97.62,97.67,97.77,97.44
97.83,97.80,97.85,97.48
97.96,98.15,98.23,97.96
98.14,98.01,98.23,97.88
97.73,97.61,97.78,97.42
97.39,97.56,97.59,97.29
97.64,97.22,97.67,97.20
97.50,97.50,97.64,97.32
97.08,97.63,97.69,97.01
97.69,98.00,98.16,97.69
97.94,98.01,98.04,97.77
98.03,98.21,98.21,97.78
98.10,98.37,98.44,98.07
98.63,98.65,98.76,98.58
98.27,98.19,98.42,98.16
97.52,97.80,97.83,97.47
97.85,97.44,97.85,97.25
97.68,97.92,98.05,97.47
98.65,98.50,98.75,98.38
98.73,98.99,99.09,98.69
98.99,99.27,99.30,98.99
99.08,99.14,99.34,99.08
99.31,98.92,99.33,98.92
98.88,98.72,99.13,98.62
99.37,99.23,99.62,99.20
99.27,99.45,99.59,99.27
99.72,99.65,99.78,99.65
99.72,99.96,100.05,99.71
99.99,100.25,100.28,99.99
99.90,100.33,100.36,99.84
100.11,100.17,100.22,100.03
100.31,100.23,100.32,100.13
100.33,100.51,100.55,100.29
100.53,100.79,100.84,100.46
100.59,100.52,100.62,100.44
100.52,100.62,100.62,100.42
100.84,100.48,101.01,100.45
100.06,100.30,100.34,100.03
100.30,100.05,100.30,99.94
100.09,100.27,100.38,100.04
100.39,100.37,100.52,100.34
100.84,100.64,101.00,100.62
100.73,100.50,100.75,100.48
100.35,100.19,100.38,100.11
100.66,100.88,100.91,100.56
100.94,100.87,100.94,100.71
100.51,100.34,100.52,100.27
100.86,101.18,101.36,100.86
101.45,101.67,101.81,101.45
101.67,101.71,101.92,101.66
102.20,102.19,102.35,102.14
102.08,101.82,102.08,101.77
101.83,102.70,102.87,101.73
102.77,102.39,102.96,102.32
102.34,101.97,102.40,101.87
101.99,102.02,102.10,101.88
101.99,102.06,102.14,101.87
101.40,101.84,101.86,101.33
102.01,101.82,102.04,101.67
101.45,101.58,101.62,101.38
101.69,101.38,101.89,101.38
101.20,100.92,101.21,100.86
101.07,101.38,101.53,101.02
101.27,101.13,101.27,100.95
101.23,101.17,101.46,101.06
101.25,101.02,101.25,101.01
100.70,100.65,100.82,100.61
101.04,101.41,101.45,101.00
102.05,101.58,102.07,101.45
101.68,101.77,101.96,101.64
101.87,101.61,101.89,101.42
101.64,101.37,101.68,101.29
101.71,101.58,101.81,101.56
101.52,101.55,101.57,101.38
101.64,101.46,101.68,101.36
100.85,100.76,100.99,100.71
101.11,101.68,101.74,101.08
101.42,100.97,101.42,100.86
100.56,100.11,100.56,100.05
99.88,100.17,100.20,99.87
100.37,100.19,100.42,100.05
100.45,99.97,100.50,99.90
100.29,100.03,100.29,99.97
99.94,99.66,100.00,99.50
99.35,99.57,99.59,99.33
99.46,99.77,99.84,99.46
100.04,99.86,100.19,99.78
99.74,99.76,99.87,99.68
100.01,100.25,100.33,99.93
100.10,99.84,100.10,99.61
99.76,99.41,99.95,99.40
99.34,99.31,99.50,99.27
99.51,99.51,99.53,99.39
99.13,99.26,99.36,99.10
99.32,99.04,99.37,99.04
99.26,99.31,99.36,99.14
99.37,99.35,99.40,98.88
99.76,99.76,99.86,99.72
99.73,99.73,99.82,99.55
99.74,99.79,99.81,99.59
99.84,100.26,100.28,99.81
99.97,100.09,100.09,99.84
100.29,99.96,100.30,99.95
99.88,100.25,100.26,99.84
100.15,100.17,100.25,100.10
100.02,100.07,100.22,99.99
100.13,99.95,100.16,99.94
100.16,100.11,100.28,100.11
100.12,100.28,100.34,100.05
100.29,100.31,100.50,100.23
100.59,100.34,100.63,100.33
100.70,100.76,100.76,100.60
100.77,100.81,100.83,100.68
100.90,100.96,101.18,100.85
101.10,100.98,101.13,100.88
100.98,100.82,101.04,100.79
100.97,101.08,101.09,100.94
100.98,100.88,101.01,100.87
100.71,100.65,100.81,100.63
100.58,100.70,100.74,100.46
100.14,100.11,100.19,99.91
100.14,100.33,100.34,100.14
100.27,100.04,100.27,99.93
100.17,99.96,100.24,99.85
99.97,99.79,99.99,99.75
99.86,100.14,100.45,99.74
101.06,100.92,101.06,100.72
100.92,100.64,100.99,100.62
100.80,100.74,100.90,100.72
100.81,100.88,100.90,100.72
100.74,100.78,100.81,100.63
100.75,100.70,100.90,100.66
100.81,101.00,101.07,100.72
101.18,101.02,101.29,101.00
100.92,101.08,101.10,100.81
100.94,101.03,101.08,100.85
100.76,100.84,100.93,100.76
100.94,100.89,101.00,100.85
100.33,100.27,100.34,99.99
100.10,100.17,100.19,99.99
100.22,99.54,100.22,99.42
99.25,99.16,99.30,99.09
98.72,98.80,98.80,98.47
98.53,98.79,98.84,98.48
98.92,99.21,99.24,98.90
99.05,99.29,99.35,98.93
99.27,99.70,99.86,99.26
99.53,99.69,99.75,99.40
99.70,99.58,99.70,99.53
99.55,99.79,99.86,99.51
99.64,99.87,99.88,99.58
99.80,99.63,99.85,99.48
99.18,99.15,99.35,99.11
98.70,99.00,99.02,98.62
98.95,99.16,99.21,98.95
99.11,99.24,99.27,99.11
99.29,99.32,99.41,99.23
98.86,98.82,98.86,98.63
98.10,98.27,98.29,98.09
97.94,97.74,97.94,97.64
97.57,97.61,97.64,97.41
97.02,97.41,97.42,96.96
97.10,96.77,97.13,96.77
96.82,96.88,96.96,96.55
96.77,97.18,97.21,96.77
96.73,96.41,96.83,96.41
96.36,96.79,96.86,96.32
96.64,96.75,96.77,96.47
96.79,96.74,96.86,96.61
96.73,96.40,96.74,96.15
96.52,96.61,96.67,96.49
97.01,96.64,97.03,96.58
96.73,96.88,96.95,96.68
96.88,96.91,96.96,96.85
96.90,96.81,96.95,96.58
96.89,97.25,97.35,96.81
97.43,97.56,97.59,97.30
97.28,97.29,97.43,97.23
96.94,96.82,96.98,96.70
97.02,96.97,97.09,96.83
97.15,97.08,97.15,97.01
97.11,97.18,97.29,97.09
97.50,97.35,97.54,97.24
97.75,97.83,97.85,97.65
97.88,97.84,97.88,97.71
97.84,97.90,97.97,97.76
97.66,97.81,97.84,97.60
98.05,97.97,98.15,97.86
98.13,97.98,98.20,97.96
97.91,98.22,98.42,97.91
97.35,97.83,97.87,97.19
97.55,97.74,97.77,97.36
97.93,97.83,97.96,97.78
97.92,98.00,98.05,97.89
98.36,98.41,98.43,98.27
98.28,98.09,98.37,98.01
97.50,96.97,97.51,96.95
97.34,97.42,97.45,97.09
96.87,96.87,96.95,96.61
96.92,96.93,97.05,96.80
96.96,96.90,97.00,96.82
96.77,96.93,96.99,96.69
96.91,96.91,97.03,96.82
96.92,96.97,97.03,96.76
97.40,97.43,97.61,97.38
97.50,97.81,97.87,97.49
98.01,98.31,98.38,97.96
98.46,98.71,98.91,98.39
98.60,98.61,98.85,98.45
98.66,98.59,98.83,98.57
98.54,98.66,98.67,98.41
98.57,98.75,98.79,98.52
98.85,99.01,99.04,98.85
98.95,99.11,99.24,98.95
99.11,98.66,99.22,98.55
98.19,98.33,98.34,97.95
98.56,98.34,98.56,98.29
97.80,97.74,98.07,97.71
97.61,97.74,97.77,97.51
97.63,97.57,97.97,97.48
96.51,96.63,96.88,96.48
96.63,97.12,97.30,96.63
96.62,96.83,97.01,96.35
96.34,95.86,97.00,95.71
96.20,96.60,96.62,96.09
96.14,96.33,96.41,96.14
96.17,95.65,96.26,95.64
95.84,96.06,96.07,95.62
95.99,96.53,96.58,95.99
96.39,95.90,96.42,95.82
96.02,96.75,96.88,95.92
96.24,96.13,96.38,96.00
96.17,96.10,96.17,95.81
96.07,96.92,97.47,96.02
97.41,97.51,97.59,97.18
97.49,97.57,97.77,97.33
97.26,97.58,97.70,97.26
97.79,97.35,97.79,97.32
97.79,97.79,97.90,97.61
97.75,97.77,98.11,97.65
97.80,97.71,97.88,97.46
97.42,97.43,97.52,97.35
