JW.B,John Wiley & Sons,NASDAQ
38.24,38.26,38.26,37.64
38.66,38.63,38.86,38.26
38.66,38.49,38.77,38.49
38.25,38.35,38.35,38.01
38.65,39.40,39.65,38.65
39.80,40.40,40.40,39.42
40.25,40.39,40.39,39.80
40.69,40.59,40.70,39.96
40.25,40.71,40.83,40.25
40.79,40.60,40.80,40.40
40.46,39.73,40.46,39.46
39.33,39.46,39.46,39.01
39.06,39.05,39.06,38.69
38.65,38.65,38.77,38.45
38.95,39.35,39.95,38.95
39.65,39.69,39.85,39.48
40.15,40.36,40.47,40.15
40.65,40.53,40.65,40.45
40.31,40.15,40.31,40.15
40.00,39.81,40.35,39.61
39.51,39.48,39.71,39.31
39.76,40.57,40.60,39.76
40.27,40.51,40.77,40.27
40.81,40.36,40.81,40.32
40.42,39.77,40.42,39.77
39.84,39.47,39.84,38.90
39.49,39.76,39.79,39.49
39.53,39.43,39.53,39.04
39.05,37.85,39.05,37.82
37.55,37.23,37.55,37.20
37.05,37.05,37.25,37.01
36.75,37.07,37.07,36.75
37.25,37.45,37.45,37.25
37.53,37.95,37.95,37.39
37.75,36.51,37.75,36.51
36.31,36.31,36.31,35.80
36.51,36.51,36.71,36.32
36.31,35.81,36.31,35.81
35.75,35.75,35.75,35.35
35.95,36.33,36.36,35.87
36.35,36.87,36.94,36.15
36.87,36.25,36.87,36.25
36.45,35.74,36.45,35.74
35.61,36.45,36.50,35.61
36.65,38.45,38.45,36.65
38.64,38.84,38.84,38.39
38.69,38.53,38.69,38.53
38.54,38.11,38.54,38.11
38.11,38.52,38.67,38.11
38.87,38.97,38.97,38.87
39.07,40.20,40.20,39.07
39.77,40.06,40.20,39.77
39.89,39.85,40.10,39.81
39.55,39.45,39.56,39.39
39.37,40.32,40.46,39.37
40.48,40.74,40.74,40.48
40.78,40.98,40.98,40.18
40.68,40.68,40.68,40.68
40.56,40.18,40.56,40.18
40.43,40.88,40.88,40.43
40.53,40.36,40.53,40.11
40.66,41.09,41.09,40.66
40.93,40.93,40.93,40.93
41.22,41.23,41.37,40.83
37.36,37.36,37.36,37.36
41.52,41.73,41.73,41.52
42.02,42.37,42.75,42.02
42.15,42.18,42.38,41.98
42.48,42.33,42.48,42.17
42.62,42.62,42.62,42.22
42.92,43.12,43.12,42.92
43.42,43.24,43.44,43.24
43.52,43.72,43.72,43.12
43.58,43.42,43.58,43.42
43.47,43.28,43.47,42.83
42.96,43.10,43.30,42.90
42.80,42.60,42.80,42.60
41.96,43.33,43.33,41.96
43.63,43.63,43.63,43.63
43.46,43.35,43.63,43.35
43.31,43.63,43.71,43.31
43.33,43.11,43.33,43.11
42.81,42.41,42.81,42.00
42.71,42.53,42.91,42.34
42.83,42.96,43.03,42.83
43.26,42.60,43.32,42.52
42.90,43.29,43.38,42.71
43.17,43.25,43.25,42.79
43.51,43.74,43.80,43.40
43.52,43.51,43.65,43.51
43.44,43.33,43.44,43.24
39.43,39.43,39.43,39.43
43.03,43.31,43.31,42.83
42.93,42.83,43.13,42.73
42.53,42.36,42.53,41.93
42.63,42.83,42.83,42.63
42.53,41.79,42.73,41.79
41.61,41.57,41.69,41.49
41.87,41.90,42.07,41.87
41.86,41.93,42.13,41.86
42.05,41.90,42.05,41.85
41.83,41.15,42.06,40.93
41.45,41.76,41.76,41.45
42.06,42.24,42.24,42.06
41.94,41.95,41.95,41.55
41.65,41.66,41.85,41.45
42.01,42.31,42.31,42.01
42.61,42.79,42.81,42.61
40.28,40.28,40.28,40.28
43.09,43.38,43.38,42.29
43.66,44.26,44.26,43.66
44.56,45.24,45.47,44.56
44.91,45.26,45.26,44.49
45.56,45.78,45.78,45.56
46.02,46.04,46.04,45.93
46.34,46.04,46.34,46.04
45.74,45.52,45.74,45.50
45.84,46.04,46.04,45.84
45.74,45.54,45.74,45.53
45.67,45.77,45.77,45.67
45.47,44.89,45.47,44.89
45.37,45.89,45.89,45.28
46.19,46.19,46.19,46.19
42.03,42.03,42.03,42.03
45.77,45.37,45.77,45.37
45.67,46.05,46.05,45.67
41.91,41.91,41.91,41.91
45.75,45.55,45.75,45.55
45.39,45.69,45.69,45.39
45.39,45.74,45.74,45.19
45.44,46.27,46.27,45.10
45.97,45.55,45.97,45.55
43.19,43.19,43.19,43.19
45.47,46.10,46.10,45.03
46.38,46.20,46.38,46.20
45.90,45.73,45.90,45.70
45.42,46.29,46.36,45.42
46.59,46.85,46.85,46.59
46.55,46.60,46.80,46.35
46.60,46.51,46.60,46.51
46.26,45.86,46.26,45.86
46.00,45.25,46.00,45.05
45.55,46.20,46.20,45.55
N/A,N/A,N/A,N/A
46.50,46.58,46.70,46.50
46.39,46.60,46.60,46.39
46.90,46.14,46.90,46.14
46.18,46.04,46.47,46.04
45.80,46.93,46.93,45.80
47.23,47.01,47.81,47.01
46.88,46.86,46.88,46.40
46.90,46.95,46.95,46.73
47.25,47.37,47.45,47.25
46.01,46.01,46.01,46.01
47.67,47.63,47.87,47.43
47.74,46.94,47.74,46.94
46.82,47.85,47.85,46.82
48.15,48.35,48.35,48.15
48.05,47.84,48.05,47.84
47.84,47.97,48.04,47.84
45.02,45.02,45.02,45.02
48.27,48.58,48.58,48.27
48.28,48.08,48.28,48.08
47.93,47.13,47.93,47.13
46.83,46.83,46.83,46.63
46.53,47.29,47.33,46.53
47.63,48.04,48.23,47.63
48.00,46.67,48.00,46.67
45.90,46.55,46.55,45.90
46.55,47.05,47.05,46.55
47.19,47.13,47.28,46.93
47.39,47.48,47.59,46.83
47.51,48.44,48.45,47.28
48.75,48.47,48.93,48.25
48.17,48.78,48.86,47.97
49.08,50.03,50.13,49.08
49.73,49.30,49.73,49.19
48.64,48.70,48.70,48.19
48.40,48.80,49.20,48.40
49.10,48.90,49.33,48.90
49.25,49.65,49.65,49.25
49.95,50.55,50.94,49.95
50.99,50.05,51.08,50.05
49.75,49.65,49.75,49.55
45.18,45.18,45.18,45.18
49.94,50.61,50.77,49.94
50.45,50.90,51.00,50.45
50.55,50.75,50.89,50.55
50.89,50.89,50.89,50.89
50.75,50.75,50.75,50.75
51.14,50.94,51.14,50.74
47.99,47.99,47.99,47.99
51.11,52.31,52.31,51.11
52.61,52.81,52.81,52.61
52.51,52.64,52.65,52.31
52.38,52.22,52.65,52.22
51.92,51.00,51.92,51.00
50.73,50.53,50.73,50.50
50.75,50.98,51.05,50.75
48.02,48.02,48.02,48.02
51.23,50.83,51.24,50.63
50.53,50.33,50.53,50.33
50.63,50.63,50.63,50.63
50.25,51.28,51.28,50.25
51.00,51.40,51.40,50.85
51.10,50.75,51.10,50.75
50.80,50.80,50.80,50.80
51.05,51.30,51.30,50.90
51.60,51.40,51.80,51.40
51.70,51.70,51.70,51.50
51.40,51.35,51.40,51.15
51.27,51.27,51.27,51.27
51.05,51.05,51.05,51.05
50.75,50.75,50.75,50.75
51.35,51.15,51.35,51.15
51.45,51.45,51.45,51.45
51.23,51.41,51.63,51.23
51.11,50.80,51.84,50.80
51.10,51.45,51.45,51.04
51.15,51.17,51.21,51.15
50.87,51.07,51.07,50.87
48.11,48.11,48.11,48.11
51.37,52.00,52.00,51.37
52.27,52.27,52.27,52.27
52.27,52.51,52.65,52.27
52.21,51.61,52.21,51.61
51.34,51.34,51.34,51.34
51.31,51.05,51.31,50.84
50.75,51.35,51.35,50.75
51.65,51.85,51.85,51.65
52.15,52.90,52.90,52.15
52.60,51.96,52.79,51.76
48.95,48.95,48.95,48.95
51.70,51.12,51.70,51.12
50.25,50.25,50.25,50.25
47.34,47.34,47.34,47.34
51.10,49.99,51.10,49.99
49.13,50.28,50.28,49.13
50.12,49.64,50.43,49.64
49.09,49.09,49.09,49.09
49.76,50.06,50.50,49.76
47.16,47.16,47.16,47.16
50.25,49.28,50.60,49.28
50.03,49.88,50.14,49.88
45.39,45.39,45.39,45.39
50.42,51.11,51.11,50.37
50.42,50.42,50.42,50.42
50.63,50.16,50.63,50.16
47.14,47.14,47.14,47.14
50.39,50.81,50.81,50.17
51.34,51.68,51.68,51.34
48.68,48.68,48.68,48.68
51.81,51.81,51.81,51.81
52.36,52.93,53.26,52.36
52.75,52.69,52.75,52.69
52.69,53.09,54.02,52.12
53.48,52.97,54.00,52.97
52.17,52.26,52.26,52.17
51.84,52.05,52.65,51.84
51.98,52.00,52.00,51.39
52.09,52.15,52.55,51.90
52.35,51.35,52.39,51.29
51.17,52.12,52.23,51.06
51.47,51.73,51.73,51.47
52.03,52.03,52.03,52.03
52.23,52.23,52.23,52.23
52.94,53.32,53.32,52.93
52.74,53.00,53.00,52.74
49.93,49.93,49.93,49.93
52.09,52.09,52.09,52.09
52.34,51.37,52.38,51.37
48.39,48.39,48.39,48.39
50.02,50.02,50.02,50.02
47.12,47.12,47.12,47.12
47.12,47.12,47.12,47.12
47.12,47.12,47.12,47.12
49.90,48.80,49.90,48.80
48.06,46.88,48.21,46.83
46.00,44.66,46.00,44.66
45.27,44.36,45.36,44.36
43.69,43.21,43.72,43.21
43.46,44.14,44.14,43.22
40.17,40.17,40.17,40.17
44.25,46.81,46.81,44.25
46.68,47.28,47.28,46.60
47.39,47.39,47.39,47.39
45.68,44.40,45.68,44.40
44.23,43.72,45.06,43.72
39.79,39.79,39.79,39.79
44.82,44.91,44.91,44.27
46.43,46.13,46.55,46.11
45.94,45.25,45.94,45.25
45.48,46.45,46.45,45.48
46.26,47.54,47.54,46.26
47.16,47.56,47.56,46.92
48.85,48.99,48.99,48.85
49.42,49.18,49.66,49.18
44.15,44.15,44.15,44.15
47.90,47.23,47.90,46.64
47.54,48.41,48.41,47.54
48.26,46.13,48.26,46.13
45.18,44.25,45.18,44.07
44.24,45.28,45.28,43.98
46.15,46.15,46.15,46.15
47.74,48.09,48.26,47.74
48.32,48.21,48.40,47.89
43.87,43.87,43.87,43.87
48.05,48.38,48.38,48.05
48.59,47.70,48.59,47.70
46.16,46.16,46.16,46.16
44.41,44.41,44.41,43.94
44.47,44.47,44.47,44.47
44.86,45.87,45.87,44.76
46.25,46.30,46.89,46.25
46.14,45.98,46.14,45.95
45.97,45.10,46.37,45.00
45.20,44.91,45.20,44.23
45.02,43.06,45.02,43.06
43.74,44.99,44.99,43.74
44.77,45.49,45.61,44.77
45.77,46.10,46.73,45.77
46.73,46.50,46.73,46.02
47.00,48.16,48.16,47.00
48.18,48.49,48.75,48.18
48.90,49.47,49.67,48.86
48.99,49.37,49.54,48.98
44.93,44.93,44.93,44.93
49.28,48.56,49.28,47.55
48.69,49.20,49.48,48.69
49.13,49.13,49.13,49.13
48.22,49.22,49.22,48.22
48.33,49.61,49.61,48.33
45.15,45.15,45.15,45.15
48.97,49.59,50.33,48.97
49.25,49.38,49.38,48.64
49.62,50.90,50.92,49.62
50.45,49.30,50.45,49.30
48.20,47.97,48.20,47.97
40.21,40.21,40.21,40.21
46.80,46.48,46.80,46.48
46.94,47.53,47.53,46.94
43.25,43.25,43.25,43.25
47.35,48.16,48.16,47.35
48.52,49.16,49.16,48.52
47.87,47.87,47.87,47.87
43.56,43.56,43.56,43.56
48.71,48.89,48.89,48.71
48.30,48.85,48.85,48.30
48.85,49.66,49.88,48.85
49.04,49.37,49.38,49.04
48.81,48.23,48.81,48.23
48.04,47.55,48.04,47.45
42.49,42.49,42.49,42.49
47.63,46.62,47.63,46.45
45.44,45.24,45.44,44.85
44.70,44.52,44.74,44.52
45.65,45.37,45.90,45.37
45.39,45.29,45.66,45.27
46.67,47.85,47.85,46.67
48.64,47.16,48.64,47.16
47.67,47.06,48.08,47.06
47.71,47.00,47.71,47.00
47.67,47.67,47.67,47.67
46.64,46.64,46.64,46.64
46.30,45.71,46.30,45.57
45.92,45.92,45.92,45.92
45.69,45.69,45.69,45.69
46.54,45.00,46.54,44.93
43.50,44.03,44.60,43.50
43.96,43.96,43.96,43.96
43.94,43.94,43.94,43.94
43.96,43.96,43.96,43.96
45.00,44.98,45.00,44.98
44.30,44.10,44.30,43.59
43.68,43.68,43.68,43.68
43.94,43.94,43.94,43.94
44.20,44.20,44.20,44.20
44.15,44.00,44.46,43.97
43.65,44.42,44.49,43.65
44.54,44.40,44.54,44.40
45.27,45.44,45.44,45.27
45.63,44.40,45.63,44.32
43.68,44.80,44.82,43.00
44.90,44.90,44.90,44.90
45.43,44.79,45.43,44.79
45.04,44.89,45.04,44.82
43.56,43.56,43.56,43.56
43.56,43.56,43.56,43.56
43.01,43.01,43.01,43.01
44.21,43.57,44.21,43.57
44.44,44.28,44.44,43.62
44.17,43.86,44.17,43.86
45.45,45.32,45.45,45.32
45.63,45.88,45.88,45.49
45.53,45.67,45.67,45.49
41.41,41.41,41.41,41.41
46.32,46.50,46.50,46.31
46.50,46.50,46.50,46.50
N/A,N/A,N/A,N/A
46.28,45.64,46.28,45.64
45.54,46.18,46.26,45.00
46.48,46.63,46.63,46.48
46.78,47.01,47.05,46.65
46.70,46.75,46.75,46.70
46.52,45.77,46.52,45.77
41.50,41.50,41.50,41.50
45.36,45.36,45.36,45.36
45.22,45.22,45.22,45.22
45.80,45.80,45.80,45.80
41.75,41.75,41.75,41.75
45.16,45.64,45.64,45.16
45.92,46.00,46.00,45.92
43.61,43.61,43.61,43.61
41.43,41.43,41.43,41.43
40.83,40.83,40.83,40.83
33.08,33.08,33.08,33.08
41.82,41.82,41.82,41.82
41.81,41.81,41.81,41.81
41.59,41.59,41.59,41.59
45.82,45.42,45.82,45.42
46.00,46.00,46.00,46.00
45.21,45.21,45.21,45.21
41.14,41.14,41.14,41.14
32.81,32.81,32.81,32.81
44.40,44.30,44.44,44.20
45.00,46.30,46.30,45.00
46.98,47.38,48.00,46.98
47.35,47.42,47.42,47.35
47.26,47.05,47.35,47.05
47.26,47.42,47.42,47.26
47.69,47.83,49.07,47.25
43.53,43.53,43.53,43.53
47.63,47.62,47.63,47.23
47.98,47.80,48.00,47.80
48.00,48.00,48.00,48.00
47.48,47.48,47.48,47.48
43.21,43.21,43.21,43.21
43.21,43.21,43.21,43.21
47.93,47.93,47.93,47.93
43.21,43.21,43.21,43.21
47.61,47.34,47.61,47.34
47.70,47.70,47.70,47.70
43.08,43.08,43.08,43.08
43.41,43.41,43.41,43.41
47.00,47.00,47.00,47.00
46.98,46.98,46.98,46.98
46.51,46.71,46.71,46.47
46.44,46.44,46.44,46.44
46.91,46.91,46.91,46.91
46.92,46.92,46.92,46.92
46.88,46.88,46.88,46.88
46.68,46.68,46.68,46.68
47.00,47.00,47.00,47.00
46.00,46.00,46.00,46.00
46.03,45.34,46.16,45.34
45.52,45.82,45.82,45.52
32.42,32.42,32.42,32.42
33.45,33.45,33.45,33.45
33.45,33.45,33.45,33.45
45.33,45.31,45.33,45.31
45.39,45.39,45.39,45.39
45.17,45.24,45.24,45.17
45.61,45.85,45.85,45.61
45.56,45.56,45.56,45.50
45.67,45.62,45.67,45.62
45.19,45.19,45.19,45.19
45.09,45.10,45.10,45.03
45.11,45.16,45.16,45.11
45.18,45.18,45.18,45.18
45.10,45.10,45.10,45.10
45.08,45.08,45.08,45.08
45.09,45.08,45.09,45.08
32.91,32.91,32.91,32.91
32.91,32.91,32.91,32.91
32.91,32.91,32.91,32.91
32.91,32.91,32.91,32.91
32.91,32.91,32.91,32.91
40.27,40.27,40.27,40.27
44.85,45.11,45.11,44.26
45.54,45.53,45.54,45.20
45.06,45.06,45.06,45.06
45.48,45.70,45.70,45.48
45.25,45.25,45.25,45.25
45.37,45.37,45.37,45.37
40.51,40.51,40.51,40.51
44.52,44.28,44.52,44.28
32.32,32.32,32.32,32.32
45.49,45.25,45.49,45.25
45.20,45.49,45.49,45.20
33.21,33.21,33.21,33.21
45.06,45.07,45.07,44.61
44.89,45.07,45.07,44.89
44.81,45.17,45.35,44.81
44.42,44.82,44.93,44.31
45.13,44.94,45.13,44.94
44.60,44.79,45.01,44.60
45.97,46.10,46.30,45.86
46.50,47.85,47.85,46.50
47.93,47.00,48.00,47.00
47.98,48.00,48.00,47.98
47.34,47.42,47.69,47.16
47.63,47.95,47.95,47.63
48.50,48.44,48.50,48.44
47.86,48.49,48.49,47.86
48.85,48.85,48.85,48.85
48.19,49.04,49.04,48.19
49.29,49.29,49.29,49.29
49.83,49.83,49.83,49.83
49.50,49.43,49.59,49.22
48.90,48.90,48.90,48.90
49.04,48.56,49.04,48.56
nan,48.56,nan,nan
48.13,48.13,48.13,48.13
48.82,49.05,49.05,48.82
49.09,48.99,49.09,48.65
49.36,49.36,49.36,48.81
49.26,49.26,49.26,49.26
49.30,49.30,49.30,49.30
48.25,48.23,48.25,48.23
35.21,35.21,35.21,35.21
47.64,46.52,47.64,46.52
46.71,47.17,47.17,46.70
47.41,47.41,47.41,47.41
47.71,47.71,47.71,47.69
48.13,48.33,48.33,48.13
47.58,47.58,47.58,47.58
47.26,47.22,47.26,47.22
46.49,46.49,46.49,45.92
47.39,47.39,47.39,47.39
47.44,47.44,47.44,47.44
47.78,47.78,47.78,47.78
47.74,47.74,47.74,47.74
47.17,47.17,47.17,47.17
47.83,47.66,47.83,47.66
47.33,47.41,47.41,47.33
47.79,47.79,47.79,47.79
47.50,47.72,47.75,47.50
48.00,48.00,48.00,48.00
48.11,48.11,48.11,48.11
48.21,48.21,48.21,48.21
48.20,48.20,48.20,48.20
48.09,48.13,48.13,48.09
47.95,47.95,47.95,47.95
47.94,47.94,47.94,47.94
48.72,47.74,48.72,47.68
47.50,47.96,47.96,47.42
49.13,49.13,49.13,48.05
49.26,48.93,49.26,48.93
49.22,49.26,49.51,48.97
49.27,49.27,49.27,49.27
50.03,50.37,50.37,49.69
50.43,50.56,50.56,50.43
51.52,51.18,51.52,51.18
51.10,48.98,51.10,48.30
48.72,48.07,48.72,47.37
48.05,47.35,48.05,47.35
46.95,46.95,46.95,46.95
46.91,47.03,47.03,46.91
46.94,47.09,47.09,46.92
47.24,47.14,47.24,47.14
47.03,47.17,47.17,47.02
47.00,46.80,47.04,46.47
47.00,46.80,47.01,46.80
47.24,47.22,47.24,47.22
46.92,46.92,46.92,46.92
46.49,46.49,46.49,46.49
46.17,46.17,46.17,46.17
45.76,45.76,45.76,45.76
46.04,45.39,46.25,45.39
45.55,45.65,45.65,45.48
45.78,45.78,45.78,45.78
45.71,45.71,45.71,45.71
45.95,45.95,45.95,45.95
45.81,45.81,45.81,45.81
45.66,45.50,45.66,45.50
45.23,45.23,45.23,45.23
45.19,45.19,45.19,45.19
44.97,44.97,44.97,44.97
44.91,44.88,44.97,44.85
45.28,45.28,45.28,45.28
44.89,44.89,44.89,44.89
45.03,44.21,45.03,44.21
43.84,43.84,43.84,43.84
43.96,43.96,43.96,43.96
42.91,42.91,42.91,42.91
42.75,42.75,42.75,42.75
42.98,43.00,43.00,42.98
43.09,43.09,43.09,43.09
43.28,43.28,43.28,43.28
43.34,44.26,44.26,43.34
44.68,43.98,44.68,43.98
43.17,43.17,43.17,43.17
44.08,44.16,44.16,44.08
42.91,42.91,42.91,42.91
42.88,42.88,42.88,42.88
42.21,42.21,42.21,42.21
43.17,43.00,43.18,43.00
42.28,42.28,42.28,42.28
41.52,41.52,41.52,41.52
41.18,41.18,41.18,41.18
40.69,40.69,40.69,40.69
41.12,41.17,41.17,41.06
41.50,41.43,41.50,41.43
41.20,41.20,41.20,41.20
41.56,41.56,41.56,41.56
41.95,41.95,41.95,41.95
42.01,42.01,42.01,42.01
41.54,41.54,41.54,41.54
42.13,42.12,42.13,41.75
42.34,42.34,42.34,42.34
41.92,42.01,42.01,41.92
41.58,41.92,41.92,41.54
42.00,42.00,42.00,42.00
42.14,42.61,42.70,42.14
42.37,42.37,42.37,42.37
40.64,40.64,40.64,40.64
38.65,36.91,38.65,36.91
37.29,37.29,37.58,37.29
37.37,37.08,37.37,37.08
36.45,36.45,36.45,36.45
36.52,37.05,37.05,36.52
37.15,37.09,37.18,37.04
37.19,37.35,37.35,37.19
37.21,37.50,37.51,37.21
37.50,38.25,38.62,37.50
38.06,37.99,38.06,37.99
38.26,38.26,38.26,38.26
38.17,38.51,38.51,37.12
38.82,38.82,38.82,38.82
38.89,38.82,38.89,38.89
39.76,39.76,39.76,39.76
39.79,39.76,39.79,39.79
40.03,39.76,40.03,40.03
39.70,39.76,39.70,39.70
40.06,39.76,40.06,40.06
39.99,40.44,40.49,39.99
40.63,40.44,40.63,40.63
40.32,40.37,40.37,40.32
40.36,40.37,40.36,40.36
40.57,40.69,41.23,40.57
40.37,40.69,40.37,40.37
40.19,40.20,40.24,39.25
40.53,40.32,40.53,40.32
38.95,38.53,38.95,38.53
38.24,38.53,38.24,38.24
38.60,38.53,38.60,38.60
38.10,38.53,38.10,38.10
38.20,38.18,38.20,38.18
38.13,38.12,38.13,38.12
38.12,38.12,38.12,38.12
38.26,38.26,38.26,38.26
38.36,38.36,38.36,38.36
38.23,38.36,38.23,38.23
38.32,38.32,38.32,38.32
nan,38.32,nan,nan
nan,38.32,nan,nan
38.99,39.03,39.06,38.99
38.96,38.96,38.96,38.96
nan,38.96,nan,nan
38.60,38.60,38.60,38.60
39.43,39.43,39.43,39.43
39.68,39.59,39.71,39.59
nan,39.59,nan,nan
39.56,39.56,39.56,39.56
nan,39.56,nan,nan
37.83,37.96,37.96,37.50
38.07,38.07,38.07,38.07
nan,38.07,nan,nan
nan,38.07,nan,nan
nan,38.07,nan,nan
nan,38.07,nan,nan
35.73,35.89,35.94,35.53
36.50,36.50,36.50,36.50
nan,36.50,nan,nan
36.26,39.46,39.46,36.26
38.83,38.67,38.83,38.67
38.61,38.61,38.61,38.61
38.43,39.61,39.61,38.43
nan,39.61,nan,nan
40.40,40.50,40.50,40.35
40.16,39.72,40.17,39.72
39.64,39.75,39.75,39.64
39.36,39.41,39.41,39.36
39.26,39.04,39.26,39.04
nan,39.04,nan,nan
nan,39.04,nan,nan
38.67,38.67,38.67,38.67
39.01,39.01,39.01,39.01
nan,39.01,nan,nan
nan,39.01,nan,nan
nan,39.01,nan,nan
nan,39.01,nan,nan
nan,39.01,nan,nan
nan,39.01,nan,nan
nan,39.01,nan,nan
39.00,39.00,39.00,39.00
nan,39.00,nan,nan
nan,39.00,nan,nan
nan,39.00,nan,nan
38.57,38.57,38.57,38.57
37.86,37.27,37.86,37.27
37.45,37.45,37.45,37.45
36.91,36.91,36.91,36.91
nan,36.91,nan,nan
nan,36.91,nan,nan
nan,36.91,nan,nan
nan,36.91,nan,nan
37.41,37.41,37.41,37.41
nan,37.41,nan,nan
nan,37.41,nan,nan
nan,37.41,nan,nan
nan,37.41,nan,nan
36.93,36.93,36.93,36.93
nan,36.93,nan,nan
38.53,38.53,38.53,38.53
38.26,38.25,38.26,38.25
nan,38.25,nan,nan
nan,38.25,nan,nan
nan,38.25,nan,nan
38.96,38.96,38.96,38.96
nan,38.96,nan,nan
nan,38.96,nan,nan
nan,38.96,nan,nan
nan,38.96,nan,nan
39.14,39.08,39.15,39.08
nan,39.08,nan,nan
nan,39.08,nan,nan
38.92,38.85,39.27,38.85
nan,38.85,nan,nan
39.25,39.41,39.41,39.25
39.71,39.55,40.03,39.55
39.46,39.46,39.46,39.46
39.46,39.69,39.69,39.43
39.83,39.86,39.86,39.80
nan,39.86,nan,nan
nan,39.86,nan,nan
nan,39.86,nan,nan
nan,39.86,nan,nan
40.00,40.17,40.17,39.92
nan,40.17,nan,nan
40.53,40.51,40.53,40.51
40.47,40.19,40.97,40.19
40.20,41.07,41.07,40.20
nan,41.07,nan,nan
41.10,41.12,41.12,41.04
40.08,39.56,40.08,37.93
40.32,40.32,40.84,40.32
nan,40.32,nan,nan
39.35,40.33,40.33,39.35
nan,40.33,nan,nan
nan,40.33,nan,nan
39.56,39.51,39.56,39.51
40.17,40.17,40.17,40.17
40.01,40.03,40.03,40.00
40.01,40.58,40.58,40.01
40.59,40.59,40.59,40.59
nan,40.59,nan,nan
41.15,41.19,41.20,41.12
