JJP,iPath Bloomberg Precious Metals Subindex Total Return SM Index ETN,NASDAQ
78.61,78.99,78.99,78.61
78.87,79.16,79.48,78.62
79.49,77.81,79.49,77.69
78.33,77.11,78.33,76.79
77.52,77.65,77.93,77.52
78.09,77.67,78.34,77.60
77.12,75.80,77.12,75.61
75.50,75.49,75.70,75.31
75.49,75.11,75.75,75.11
73.86,74.87,75.38,73.86
74.73,75.67,75.67,74.65
75.47,73.99,75.47,73.82
73.97,75.69,75.95,73.97
75.54,75.40,75.60,75.36
75.67,76.24,76.27,75.17
75.91,75.87,75.92,75.40
75.87,77.11,77.16,75.13
77.06,76.93,77.44,76.71
76.94,77.16,77.20,76.89
78.20,78.46,78.54,78.20
78.53,78.26,78.59,78.10
77.76,78.08,78.28,77.67
78.08,77.76,78.08,77.67
78.51,78.43,78.51,78.40
79.00,78.89,79.12,78.79
78.76,78.95,79.23,78.56
79.42,80.04,80.08,79.24
80.41,80.77,80.85,80.41
82.62,81.58,82.62,81.31
81.97,82.29,82.62,81.97
82.29,80.73,82.35,80.44
81.78,82.12,82.19,81.78
82.21,82.54,82.80,82.20
83.44,84.07,84.07,83.44
84.38,84.21,84.61,84.07
83.45,82.80,83.82,82.80
83.79,84.69,84.75,83.79
86.00,85.35,86.00,85.17
84.65,84.75,84.94,84.57
85.24,84.94,85.24,84.84
83.37,83.75,83.75,83.09
83.75,84.30,84.71,83.75
84.72,84.56,84.72,84.56
81.40,82.41,82.91,81.40
81.84,82.37,82.37,81.84
82.98,82.70,82.98,82.57
84.12,83.79,84.12,83.78
84.82,84.91,84.91,84.82
84.78,84.78,84.78,84.78
85.47,86.26,86.26,85.47
86.67,85.70,86.91,85.70
85.91,85.63,86.11,85.33
84.59,85.16,85.16,84.47
84.89,84.96,84.96,84.89
85.44,85.43,85.53,85.37
86.33,86.28,86.37,86.17
84.80,85.89,85.94,84.80
86.70,86.29,86.71,86.29
86.47,87.93,87.93,86.47
88.50,88.44,88.61,88.17
89.14,88.48,90.00,88.41
89.37,89.81,89.87,89.28
90.10,88.91,90.10,88.70
88.59,88.35,88.59,88.04
88.98,88.97,89.04,88.93
89.74,90.59,90.59,89.74
91.02,91.72,91.72,91.02
91.33,92.51,92.51,91.33
92.31,92.97,92.98,92.00
93.50,93.89,94.13,93.11
94.47,95.04,95.31,94.08
99.95,95.24,108.42,94.55
94.19,93.79,94.19,93.34
94.72,97.01,97.08,93.93
97.28,97.69,98.09,96.31
97.80,98.27,99.05,97.60
96.30,94.97,98.68,94.56
94.83,93.07,95.04,92.33
92.61,90.65,93.00,90.00
89.03,85.62,89.50,85.27
87.42,86.84,90.99,77.09
88.49,89.35,89.53,84.31
89.34,90.12,90.33,89.34
89.50,87.39,89.51,86.97
85.42,86.47,87.62,84.96
87.38,86.54,87.87,85.75
86.72,85.65,87.25,85.56
84.96,85.34,85.53,84.35
86.57,86.64,87.04,86.46
86.76,86.83,86.86,86.10
86.77,87.69,87.91,85.98
87.18,87.81,87.91,87.18
88.85,89.09,89.16,88.50
89.89,89.85,90.14,89.70
89.61,89.53,89.68,88.98
90.50,90.54,90.62,90.22
90.87,90.78,91.07,90.44
90.57,89.79,91.29,89.49
90.06,89.20,90.12,88.54
89.62,89.55,89.76,89.00
90.32,89.91,90.65,89.78
90.51,90.41,90.51,89.64
89.59,89.63,89.85,89.29
90.18,90.63,90.67,89.97
89.41,89.03,89.62,88.88
88.52,87.43,88.52,87.00
87.39,88.32,88.36,87.39
89.03,88.98,89.03,88.17
88.33,88.56,88.58,88.07
88.46,89.05,89.20,88.46
89.47,89.28,89.51,89.02
89.43,89.95,90.07,89.43
90.13,89.95,90.58,89.95
88.38,88.24,88.45,87.49
87.72,86.54,87.72,86.49
86.05,85.69,86.44,85.68
86.06,86.25,86.40,86.00
86.63,87.08,87.25,86.44
87.47,86.81,87.47,86.62
85.26,85.50,85.71,85.16
87.20,87.87,87.95,87.20
88.58,88.84,88.88,88.53
89.03,89.33,89.49,88.82
89.92,90.01,90.08,89.63
90.31,89.54,90.89,89.41
89.22,90.62,91.02,89.22
91.72,92.64,92.85,91.72
93.49,93.04,93.78,92.78
93.39,93.72,93.72,92.97
94.75,95.05,95.27,94.55
94.47,93.38,94.91,93.00
92.20,94.68,94.68,92.20
94.61,93.41,94.61,93.29
94.55,94.74,94.83,94.55
95.70,95.32,95.70,95.22
95.21,95.93,95.93,95.08
96.57,95.26,96.57,95.15
