PSDV,pSivida Corp. - Common Stock,NASDAQ
4.86,4.82,4.90,4.71
4.79,4.76,4.82,4.70
4.76,4.70,4.79,4.70
4.61,4.85,5.10,4.60
4.87,4.86,5.01,4.85
4.92,4.87,4.95,4.86
4.96,4.99,5.08,4.89
4.99,4.81,5.00,4.80
4.75,4.78,4.95,4.57
4.73,4.47,4.85,4.47
4.48,4.49,4.59,4.08
4.84,4.40,4.84,4.25
4.30,4.57,4.59,4.28
4.67,4.61,4.67,4.51
4.57,4.60,4.65,4.20
4.65,4.42,4.65,4.36
4.44,4.11,4.49,4.08
4.24,4.08,4.27,4.00
4.01,3.79,4.01,3.60
3.70,3.50,3.75,3.50
3.50,3.87,4.60,3.50
3.84,3.73,3.98,3.70
3.79,3.68,3.79,3.53
3.67,3.56,3.84,3.50
3.60,3.60,3.60,3.51
3.59,3.69,3.69,3.49
3.70,3.65,3.70,3.61
3.62,3.96,4.04,3.60
4.00,3.89,4.04,3.70
3.89,3.85,3.89,3.75
3.89,3.74,3.96,3.56
3.72,3.54,3.79,3.54
3.65,3.65,3.68,3.54
3.54,3.65,3.70,3.54
3.54,3.65,3.70,3.50
3.69,3.68,3.78,3.64
3.76,3.68,3.76,3.64
3.62,3.66,3.68,3.54
3.63,3.68,3.68,3.61
3.60,3.60,3.65,3.53
3.67,3.59,3.67,3.50
3.60,3.60,3.60,3.55
3.60,3.60,3.60,3.53
3.55,3.58,3.58,3.50
3.52,3.45,3.66,3.40
3.46,3.37,3.46,3.26
3.39,3.30,3.74,3.29
3.30,3.61,3.75,3.26
3.67,3.30,3.67,3.26
3.33,3.27,3.38,3.24
3.25,3.22,3.30,3.22
3.30,3.24,3.30,3.18
3.22,3.35,3.35,3.17
3.56,3.50,3.56,3.30
3.54,3.48,3.54,3.37
3.32,3.35,3.55,3.16
3.30,3.53,3.53,3.30
3.27,3.27,3.27,3.27
3.44,3.55,3.66,3.40
3.55,3.55,3.55,3.42
3.44,3.55,3.66,3.44
3.60,3.51,3.60,3.48
3.51,3.45,3.51,3.41
3.42,3.48,3.51,3.41
3.48,3.55,3.65,3.45
3.49,3.41,3.65,3.41
3.64,3.50,3.64,3.40
3.49,3.40,3.49,3.40
3.59,3.60,3.60,3.34
3.60,3.30,3.61,3.27
3.34,3.21,3.41,3.21
3.25,3.46,3.60,3.25
3.55,3.45,3.55,3.31
3.40,3.60,3.64,3.38
3.54,3.41,3.59,3.33
3.41,3.36,3.50,3.35
3.35,3.35,3.50,3.32
3.32,3.25,3.40,3.24
3.23,3.48,3.48,3.21
3.40,3.29,3.40,3.25
3.27,3.32,3.47,3.27
3.45,3.42,3.50,3.38
3.40,3.28,3.49,3.27
3.28,3.34,3.40,3.28
3.37,3.26,3.48,3.26
3.25,3.35,3.47,3.24
3.30,3.34,3.35,3.24
3.29,3.31,3.45,3.26
3.31,3.31,3.33,3.17
3.26,3.26,3.29,3.26
3.57,3.43,3.75,3.38
3.58,3.46,3.59,3.40
3.52,3.45,3.55,3.43
3.59,3.51,3.59,3.47
3.59,3.53,3.59,3.50
3.59,3.53,3.68,3.46
3.59,3.51,3.65,3.49
3.55,3.43,3.60,3.43
3.47,3.47,3.48,3.45
3.49,3.50,3.50,3.43
3.51,3.72,3.85,3.51
3.65,3.90,4.05,3.65
3.98,4.25,4.46,3.92
4.23,4.16,4.45,4.08
4.19,4.20,4.37,4.15
4.28,4.28,4.33,3.91
4.37,4.35,4.54,4.25
4.35,4.42,4.48,4.28
4.44,4.43,4.50,4.25
4.38,4.48,4.48,4.36
4.50,4.45,4.52,4.32
4.46,4.38,4.47,4.36
4.44,4.46,4.46,4.28
4.50,4.54,4.60,4.49
4.60,4.60,4.63,4.55
4.62,4.60,4.64,4.50
4.65,4.60,4.65,4.51
4.64,4.65,4.65,4.57
4.65,4.72,4.78,4.63
4.76,4.85,4.97,4.75
4.96,4.94,5.02,4.89
4.98,5.21,5.29,4.98
5.21,5.55,5.78,5.21
5.88,5.97,6.08,5.61
6.00,5.61,6.02,5.60
5.60,5.89,5.90,5.60
5.99,5.89,6.11,5.71
5.96,5.60,5.96,5.30
5.79,5.81,6.00,5.53
5.94,5.76,5.94,5.68
5.76,5.75,5.81,5.72
5.80,5.89,6.00,5.77
5.97,5.81,5.97,5.79
5.89,5.72,5.90,5.72
5.80,5.78,5.86,5.69
5.78,5.80,5.90,5.75
5.75,5.85,5.90,5.70
5.90,5.98,6.00,5.66
5.98,5.88,6.13,5.84
5.80,5.76,5.83,5.68
5.81,5.78,5.85,5.70
5.79,5.53,5.82,5.53
5.56,5.38,5.56,5.12
5.40,5.39,5.50,5.25
5.34,5.38,5.39,5.28
5.42,5.25,5.42,5.22
5.25,5.18,5.30,5.13
5.11,5.44,5.45,5.01
5.32,5.18,5.32,5.13
5.18,5.58,5.58,5.12
5.75,5.48,5.75,5.47
5.45,5.47,5.65,5.30
5.36,5.21,5.60,5.15
5.23,5.15,5.30,5.15
5.43,5.39,5.43,5.29
5.45,5.32,5.58,5.30
5.30,5.30,5.35,5.20
5.40,5.87,6.07,5.35
5.93,5.86,5.97,5.80
5.88,5.53,5.88,5.49
5.37,5.24,5.42,5.11
5.28,5.62,5.64,5.25
5.60,5.59,5.78,5.51
5.64,5.53,5.64,5.39
5.49,5.57,5.58,5.48
5.57,5.78,5.78,5.41
5.72,5.70,5.90,5.70
5.79,5.88,5.94,5.65
5.94,6.73,6.77,5.89
6.80,6.47,7.22,6.36
6.50,6.36,6.60,6.21
4.85,5.19,5.20,4.26
5.15,5.18,5.29,5.01
5.14,5.08,5.19,5.05
5.05,5.05,5.14,5.02
5.05,5.11,5.14,5.02
5.08,5.05,5.11,5.00
5.03,5.02,5.15,5.00
5.01,5.06,5.08,5.00
5.08,5.05,5.08,5.00
5.06,4.99,5.08,4.90
5.07,5.09,5.10,4.99
5.10,5.05,5.10,4.91
5.08,5.04,5.10,5.02
5.08,5.02,5.15,4.98
5.02,5.00,5.02,4.95
4.95,4.91,4.99,4.67
4.76,4.85,4.92,4.58
4.91,4.69,4.91,4.62
4.63,4.53,4.68,4.30
4.50,4.50,4.63,4.47
4.50,4.50,4.55,4.46
4.60,4.55,4.68,4.55
4.59,4.76,4.83,4.58
4.83,4.88,4.90,4.68
4.90,5.00,5.04,4.73
4.99,4.81,5.00,4.66
4.65,4.73,4.80,4.50
4.71,4.83,5.00,4.71
4.76,4.42,4.80,4.40
4.45,4.10,4.51,4.03
4.20,4.25,4.25,4.03
4.14,4.10,4.23,4.10
4.01,4.10,4.18,4.00
4.11,4.01,4.12,3.90
4.00,4.07,4.09,3.86
4.03,4.08,4.12,3.96
4.08,3.85,4.08,3.75
3.87,3.86,3.91,3.79
3.83,3.84,3.90,3.80
3.80,3.80,3.86,3.76
3.80,3.81,4.00,3.75
3.79,3.81,3.88,3.78
3.81,3.84,3.88,3.80
3.89,3.95,4.05,3.85
3.96,3.94,3.96,3.88
3.95,3.87,3.96,3.78
3.88,3.85,3.94,3.82
3.90,3.87,3.90,3.81
3.86,3.85,3.90,3.85
3.87,3.98,4.08,3.79
4.00,3.90,4.03,3.90
3.90,3.90,3.94,3.78
3.85,4.00,4.00,3.85
3.99,4.06,4.09,3.99
3.97,4.07,4.08,3.79
4.07,3.91,4.07,3.87
3.96,3.90,3.96,3.90
3.89,3.98,3.99,3.89
3.97,3.91,3.97,3.88
3.94,3.91,4.00,3.91
3.90,3.95,3.96,3.88
3.95,4.06,4.09,3.90
4.08,3.92,4.08,3.90
3.92,3.91,3.94,3.87
3.90,3.86,3.91,3.80
3.91,3.92,3.93,3.86
3.89,3.92,3.93,3.86
3.92,3.97,4.03,3.88
4.00,4.00,4.05,3.94
3.97,3.95,4.04,3.90
3.95,3.94,4.01,3.93
3.95,3.96,4.00,3.94
3.95,3.95,4.00,3.93
3.95,4.16,4.17,3.92
4.20,4.35,4.43,4.20
4.38,4.35,4.41,4.28
4.31,4.50,4.50,4.31
4.53,4.38,4.56,4.33
4.36,4.36,4.38,4.10
4.36,4.38,4.45,4.31
4.37,4.38,4.41,4.28
4.35,4.38,4.44,4.34
4.36,4.35,4.38,4.29
4.33,4.36,4.38,4.25
4.39,4.34,4.39,4.25
4.34,4.36,4.39,4.27
4.34,4.36,4.39,4.31
4.35,4.40,4.47,4.32
4.45,4.37,4.68,4.35
4.35,4.25,4.45,4.16
4.22,4.12,4.22,4.04
4.18,4.20,4.25,4.02
4.23,4.02,4.23,4.01
4.02,3.82,4.02,3.78
3.85,3.93,4.04,3.80
3.92,3.88,3.95,3.84
3.94,3.85,3.94,3.83
3.87,3.78,3.96,3.78
3.80,3.52,3.95,3.52
3.52,3.54,3.62,3.50
3.57,3.90,3.98,3.57
3.94,4.05,4.17,3.90
4.10,3.93,4.10,3.86
3.89,4.05,4.11,3.77
4.10,4.15,4.31,4.10
4.17,4.20,4.31,4.17
4.23,4.32,4.40,4.23
4.39,4.47,4.54,4.15
4.53,4.50,4.55,4.35
4.44,4.30,4.50,4.30
4.31,4.35,4.53,4.30
4.33,4.33,4.40,4.25
4.35,4.30,4.39,4.27
4.30,4.25,4.46,4.21
4.25,4.24,4.29,4.12
4.24,4.06,4.29,4.06
4.18,3.90,4.18,3.90
4.15,4.00,4.16,3.90
3.97,4.02,4.17,3.97
4.05,4.00,4.12,4.00
4.05,4.03,4.05,3.97
4.05,4.00,4.05,3.98
3.99,4.10,4.10,3.97
4.10,4.21,4.25,4.08
4.15,4.25,4.25,4.10
4.23,4.31,4.33,4.18
4.29,4.22,4.37,4.19
4.15,4.09,4.18,4.01
4.12,4.23,4.27,4.10
4.27,4.28,4.28,4.21
4.28,4.30,4.33,4.25
4.27,4.47,4.48,4.27
4.48,4.53,4.61,4.37
4.57,4.78,4.78,4.55
4.89,4.87,4.89,4.55
4.84,4.82,4.87,4.76
4.82,4.95,4.99,4.82
4.96,5.02,5.05,4.96
5.05,5.16,5.23,5.04
5.16,5.05,5.16,4.96
5.02,4.90,5.04,4.80
4.95,5.03,5.07,4.85
5.08,5.02,5.09,5.02
5.04,5.05,5.10,4.82
5.07,5.09,5.09,5.02
4.97,4.91,4.98,4.77
4.93,4.88,4.93,4.77
4.79,4.69,4.85,4.56
4.73,4.70,4.76,4.69
4.70,4.70,4.73,4.65
4.76,4.84,4.94,4.74
4.83,4.71,4.87,4.69
4.72,4.76,4.78,4.59
4.73,4.38,4.73,4.32
4.38,4.27,4.38,4.00
4.00,4.13,4.20,4.00
4.14,4.18,4.27,4.07
4.12,4.15,4.18,4.06
4.15,4.21,4.27,4.10
4.25,4.21,4.31,4.19
4.24,4.26,4.38,4.23
4.26,4.43,4.46,4.26
4.51,4.41,4.56,4.29
4.34,4.41,4.46,4.31
4.40,4.36,4.48,4.35
4.39,4.34,4.44,4.25
4.31,4.33,4.33,4.17
4.29,4.41,4.45,4.29
4.42,4.34,4.42,4.30
4.29,4.43,4.48,4.29
4.48,4.62,4.69,4.45
4.61,4.54,4.74,4.50
4.57,4.45,4.57,4.38
4.35,4.43,4.49,4.31
4.33,4.44,4.45,4.33
4.40,4.41,4.45,4.34
4.45,4.51,4.58,4.38
4.51,4.53,4.57,4.50
4.51,4.43,4.64,4.39
4.38,4.31,4.39,4.31
4.31,4.31,4.36,4.30
4.27,4.36,4.40,4.20
4.36,4.40,4.58,4.36
4.40,4.44,4.46,4.32
4.36,4.43,4.48,4.31
4.44,4.50,4.50,4.35
4.55,4.44,4.56,4.40
4.36,4.27,4.39,4.27
4.29,4.13,4.34,4.10
4.15,4.19,4.19,4.14
4.23,4.35,4.40,4.16
4.43,4.40,4.48,4.30
4.47,4.36,4.61,4.35
4.37,4.27,4.43,4.20
4.21,3.95,4.32,3.91
3.95,3.79,3.95,3.66
3.80,3.73,4.03,3.66
3.78,3.97,3.97,3.77
3.96,3.93,4.08,3.84
4.02,4.10,4.25,3.97
4.14,4.24,4.31,4.03
4.27,4.12,4.36,4.05
4.09,4.11,4.15,4.00
4.13,4.12,4.17,4.00
4.10,4.09,4.10,4.00
4.05,3.93,4.07,3.90
3.94,3.98,4.05,3.85
3.99,4.12,4.12,3.86
4.25,4.15,4.25,4.05
4.16,4.15,4.20,4.12
4.15,4.01,4.15,4.01
4.09,4.12,4.14,4.03
4.20,4.11,4.20,4.08
4.09,4.61,4.70,4.08
4.66,4.59,4.75,4.45
4.48,4.66,4.71,4.35
4.76,4.63,4.81,4.56
4.72,4.59,4.79,4.49
4.54,4.14,4.60,4.02
4.10,4.40,4.50,4.03
4.35,4.22,4.50,4.06
4.13,4.16,4.16,3.90
4.19,3.93,4.20,3.92
3.90,2.03,3.94,1.40
1.82,1.59,2.09,1.52
1.58,1.40,1.58,1.36
1.40,1.34,1.46,1.33
1.46,1.34,1.46,1.30
1.31,1.26,1.35,1.26
1.25,1.08,1.25,1.02
1.15,1.18,1.26,1.14
1.20,1.18,1.20,1.10
1.20,1.20,1.23,1.18
1.21,1.21,1.24,1.19
1.24,1.34,1.39,1.19
1.39,1.44,1.44,1.28
1.41,1.41,1.44,1.37
1.49,1.40,1.56,1.37
1.40,1.32,1.40,1.24
1.30,1.32,1.37,1.25
1.31,1.32,1.34,1.29
1.31,1.28,1.35,1.28
1.25,1.26,1.31,1.18
1.25,1.35,1.39,1.20
1.36,1.20,1.36,1.19
1.16,1.17,1.19,1.10
1.17,1.18,1.20,1.17
1.15,1.15,1.20,1.15
1.13,1.10,1.20,1.10
1.10,1.18,1.19,1.10
1.15,1.19,1.20,1.15
1.20,1.23,1.32,1.19
1.27,1.23,1.27,1.20
1.23,1.21,1.27,1.20
1.20,1.14,1.20,1.12
1.12,1.10,1.15,1.08
1.10,1.11,1.11,1.03
1.13,1.15,1.19,1.11
1.18,1.19,1.19,1.14
1.20,1.17,1.21,1.15
1.18,1.21,1.23,1.16
1.20,1.24,1.24,1.20
1.24,1.23,1.24,1.18
1.25,1.18,1.25,1.17
1.17,1.20,1.21,1.15
1.20,1.20,1.22,1.18
1.21,1.17,1.21,1.17
1.18,1.19,1.21,1.17
1.18,1.19,1.22,1.15
1.19,1.18,1.20,1.16
1.16,1.20,1.21,1.16
1.20,1.20,1.22,1.19
1.22,1.21,1.22,1.16
1.19,1.16,1.19,1.12
1.15,1.21,1.23,1.13
1.20,1.18,1.20,1.13
1.17,1.20,1.20,1.15
1.20,1.17,1.23,1.14
1.20,1.24,1.24,1.19
1.19,1.27,1.36,1.19
1.26,1.30,1.34,1.26
1.32,1.28,1.36,1.25
1.28,1.24,1.28,1.14
1.16,1.24,1.30,1.16
1.23,1.23,1.25,1.21
1.22,1.20,1.33,1.16
1.18,1.16,1.19,1.15
1.19,1.16,1.19,1.14
1.16,1.15,1.17,1.12
1.15,1.16,1.20,1.15
1.18,1.15,1.18,1.12
1.13,1.17,1.20,1.12
1.18,1.17,1.19,1.16
1.18,1.74,1.74,1.18
2.25,2.15,2.43,2.00
2.80,2.42,2.85,2.31
2.43,2.14,2.44,2.05
2.17,2.04,2.19,2.01
2.01,1.95,2.13,1.95
1.95,2.10,2.20,1.83
2.06,1.92,2.21,1.88
1.90,1.81,1.95,1.75
1.84,1.79,1.85,1.77
1.79,1.71,1.83,1.70
1.76,1.75,1.79,1.72
1.77,1.78,1.84,1.76
1.78,1.80,1.92,1.71
1.78,1.69,1.78,1.66
1.70,1.74,1.85,1.70
1.76,1.65,1.76,1.59
1.66,1.57,1.66,1.57
1.60,1.56,1.63,1.53
1.56,1.58,1.59,1.51
1.58,1.61,1.62,1.56
1.63,1.83,1.87,1.61
2.05,2.50,2.60,1.96
2.35,2.05,2.38,1.97
2.05,1.97,2.07,1.92
1.97,1.86,2.04,1.83
1.92,1.85,1.92,1.80
1.88,1.76,1.88,1.76
1.78,1.70,1.80,1.66
1.66,1.60,1.73,1.60
1.60,1.57,1.61,1.47
1.57,1.62,1.70,1.57
1.62,1.68,1.70,1.60
1.69,1.68,1.71,1.62
1.68,1.83,1.88,1.68
1.90,1.95,2.00,1.85
2.00,2.13,2.20,2.00
2.14,2.04,2.14,2.01
2.03,2.11,2.15,2.03
2.14,2.17,2.18,2.14
2.15,2.30,2.34,2.15
2.42,2.46,2.55,2.31
2.49,2.42,2.50,2.29
2.48,2.44,2.49,2.35
2.49,2.40,2.49,2.38
2.39,2.30,2.40,2.30
2.28,2.25,2.43,2.18
2.17,2.25,2.36,2.16
2.20,2.22,2.29,2.17
2.21,2.12,2.21,2.12
2.15,2.22,2.28,2.14
2.30,2.29,2.45,2.26
2.28,2.17,2.30,2.11
2.16,2.16,2.18,2.12
2.15,2.19,2.21,2.12
2.19,2.13,2.20,2.11
2.12,2.14,2.19,2.03
2.18,2.17,2.24,2.13
2.18,2.13,2.20,2.10
2.15,2.00,2.15,1.99
2.01,2.03,2.09,1.90
2.05,2.09,2.14,2.00
2.07,2.06,2.10,2.04
2.07,2.05,2.10,1.95
2.06,2.11,2.12,2.02
2.11,2.05,2.15,2.03
2.02,2.04,2.07,2.00
2.07,1.98,2.07,1.98
1.99,1.89,2.10,1.87
1.83,1.79,1.96,1.76
1.82,1.88,1.96,1.82
1.90,1.93,1.95,1.90
1.94,2.07,2.14,1.94
2.05,1.99,2.06,1.93
1.99,1.93,1.99,1.93
1.93,1.89,1.93,1.84
1.81,1.87,1.94,1.81
1.89,1.86,1.90,1.85
1.84,1.81,1.87,1.80
1.80,1.88,1.89,1.80
1.85,1.92,1.95,1.85
1.91,1.95,1.96,1.91
1.95,1.78,1.95,1.78
1.81,1.89,1.89,1.80
1.87,1.88,1.88,1.78
1.88,2.25,2.35,1.88
2.40,2.35,2.80,2.30
2.49,2.33,2.70,2.20
2.33,2.31,2.60,2.22
2.31,2.24,2.31,2.10
2.20,2.19,2.24,2.16
2.21,2.24,2.27,2.13
2.24,2.22,2.26,2.11
2.20,2.25,2.32,2.20
2.31,2.20,2.31,2.20
2.23,2.19,2.24,2.16
2.16,2.16,2.21,2.16
2.16,2.12,2.20,2.10
2.10,2.14,2.20,2.07
2.12,2.05,2.21,1.99
2.05,2.14,2.21,2.03
2.44,2.74,3.50,2.39
2.62,2.41,2.64,2.36
2.36,2.31,2.36,2.21
2.35,2.48,2.59,2.34
2.46,2.30,2.47,2.30
2.61,2.39,2.70,2.39
2.45,2.76,3.08,2.45
2.96,2.94,3.24,2.81
2.95,2.76,2.95,2.76
2.77,2.40,2.96,2.29
2.27,2.08,2.27,2.00
2.12,2.07,2.33,2.04
2.08,2.09,2.17,2.08
2.10,2.09,2.18,2.09
2.03,1.70,2.03,1.62
1.73,1.81,1.90,1.73
1.82,1.80,1.85,1.75
1.82,1.76,1.82,1.75
1.76,1.76,1.80,1.70
1.73,1.70,1.73,1.68
1.70,1.67,1.72,1.65
1.69,1.70,1.70,1.67
1.70,1.67,1.70,1.63
1.65,1.68,1.70,1.65
1.66,1.69,1.70,1.65
1.68,1.72,1.78,1.68
1.72,1.80,1.84,1.72
1.80,1.80,1.84,1.76
1.79,1.79,1.82,1.77
1.80,1.78,1.81,1.76
1.77,1.76,1.80,1.74
1.80,1.74,1.80,1.71
1.77,1.71,1.77,1.69
1.68,1.70,1.71,1.68
1.70,1.75,1.78,1.69
1.72,1.76,1.79,1.72
1.74,1.79,1.84,1.74
1.79,1.77,1.81,1.73
1.75,1.77,1.78,1.75
1.78,1.76,1.78,1.76
1.79,1.76,1.81,1.75
1.72,1.68,1.77,1.67
1.68,1.69,1.70,1.45
1.68,1.69,1.71,1.61
1.65,1.68,1.70,1.63
1.68,1.62,1.70,1.62
1.60,1.69,1.70,1.60
1.69,1.67,1.75,1.62
1.67,1.64,1.75,1.63
1.64,1.64,1.66,1.60
1.64,1.63,1.66,1.62
1.64,1.62,1.69,1.61
1.61,1.64,1.67,1.61
1.64,1.62,1.65,1.60
1.61,1.65,1.65,1.60
1.65,1.63,1.65,1.60
1.65,1.59,1.65,1.55
1.57,1.59,1.61,1.57
1.57,1.55,1.60,1.53
1.57,1.55,1.57,1.51
1.57,1.56,1.64,1.50
1.56,1.54,1.57,1.53
1.57,1.58,1.62,1.54
1.57,1.63,1.66,1.57
1.62,1.58,1.62,1.55
1.57,1.58,1.62,1.55
1.57,1.57,1.63,1.56
1.56,1.54,1.56,1.51
1.53,1.53,1.55,1.52
1.54,1.54,1.55,1.52
1.54,1.54,1.58,1.52
1.56,1.56,1.59,1.53
1.58,1.55,1.58,1.53
1.56,1.55,1.60,1.52
1.54,1.55,1.55,1.52
1.56,1.56,1.58,1.52
1.53,1.53,1.58,1.50
1.43,1.42,1.50,1.29
1.45,1.43,1.51,1.42
1.42,1.45,1.45,1.40
1.42,1.38,1.42,1.36
1.41,1.37,1.42,1.35
1.35,1.30,1.35,1.25
1.32,1.25,1.32,1.24
1.26,1.31,1.32,1.24
1.34,1.33,1.34,1.28
1.35,1.39,1.46,1.35
1.43,1.41,1.44,1.40
1.39,1.36,1.40,1.33
1.35,1.33,1.41,1.31
1.35,1.35,1.36,1.31
1.36,1.37,1.41,1.36
1.36,1.30,1.37,1.28
1.29,1.29,1.30,1.25
1.33,1.30,1.34,1.25
1.33,1.30,1.33,1.28
1.30,1.30,1.33,1.27
1.32,1.28,1.32,1.25
1.30,1.29,1.32,1.25
1.27,1.30,1.31,1.27
1.28,1.30,1.31,1.26
1.27,1.26,1.30,1.20
1.28,1.33,1.46,1.26
1.40,1.35,1.42,1.32
1.44,1.45,1.45,1.38
1.46,1.32,1.51,1.26
1.32,1.27,1.32,1.25
1.27,1.25,1.27,1.20
1.23,1.23,1.26,1.23
1.22,1.28,1.29,1.22
1.30,1.30,1.35,1.25
1.30,1.25,1.33,1.25
1.25,1.21,1.25,1.17
1.23,1.26,1.30,1.18
1.24,1.23,1.25,1.23
1.22,1.29,1.30,1.22
1.26,1.35,1.39,1.23
1.37,1.35,1.37,1.31
1.31,1.40,1.42,1.31
1.44,1.48,1.49,1.40
1.44,1.44,1.48,1.40
1.45,1.44,1.47,1.39
1.40,1.40,1.41,1.36
1.37,1.40,1.40,1.37
1.47,1.45,1.52,1.42
1.47,1.46,1.48,1.42
1.44,1.42,1.48,1.41
1.38,1.42,1.45,1.33
1.39,1.40,1.45,1.35
1.33,1.36,1.40,1.33
1.38,1.41,1.41,1.33
1.41,1.40,1.41,1.36
1.41,1.39,1.41,1.35
1.37,1.37,1.41,1.37
1.38,1.61,1.68,1.38
1.61,1.55,1.70,1.55
1.58,1.61,1.67,1.58
1.61,1.56,1.62,1.52
1.53,1.54,1.56,1.48
1.54,1.53,1.54,1.49
1.57,1.58,1.59,1.54
1.55,1.61,1.66,1.53
1.61,1.61,1.62,1.58
1.58,1.60,1.63,1.58
1.60,1.67,1.69,1.60
1.65,1.76,1.82,1.64
1.78,1.76,1.84,1.75
1.74,1.80,1.83,1.73
1.79,2.13,2.58,1.79
2.15,2.01,2.27,1.91
1.97,2.00,2.05,1.94
1.99,2.01,2.07,1.96
2.02,2.15,2.19,2.01
2.09,2.12,2.25,2.09
2.10,2.15,2.19,2.08
2.14,2.16,2.22,2.10
2.17,2.24,2.35,2.17
2.24,2.23,2.29,2.23
2.23,2.18,2.23,2.17
2.17,2.13,2.23,2.13
2.14,2.12,2.14,2.10
2.09,2.13,2.15,2.01
2.08,2.09,2.15,2.03
2.05,2.10,2.13,2.05
2.09,2.03,2.09,2.01
2.00,1.99,2.05,1.95
2.00,2.05,2.09,1.99
2.09,2.08,2.25,2.02
2.20,2.12,2.20,2.10
2.12,2.19,2.21,2.12
2.23,2.28,2.43,2.18
2.30,2.35,2.37,2.24
2.31,2.29,2.35,2.25
2.34,2.38,2.39,2.30
2.38,2.29,2.40,2.29
2.32,2.26,2.33,2.25
2.50,2.27,2.50,2.20
2.22,2.26,2.30,2.21
2.24,2.24,2.28,2.21
2.22,2.23,2.30,2.22
2.30,2.33,2.34,2.29
2.34,2.38,2.40,2.33
2.39,2.35,2.39,2.31
2.36,2.26,2.36,2.24
2.27,2.28,2.32,2.25
2.30,2.25,2.33,2.25
2.23,2.27,2.28,2.09
2.25,2.25,2.33,2.21
2.28,2.28,2.31,2.20
2.33,2.24,2.33,2.21
2.21,2.20,2.27,2.16
2.24,2.18,2.24,2.15
2.24,2.17,2.24,2.12
2.22,2.27,2.31,2.16
2.27,2.27,2.30,2.23
2.29,2.35,2.40,2.28
2.32,2.57,2.70,2.32
2.75,2.77,2.87,2.62
2.80,2.71,2.81,2.60
2.78,2.74,2.88,2.74
2.77,2.82,2.82,2.70
2.85,2.73,2.85,2.72
2.76,2.82,2.82,2.75
2.86,2.89,2.98,2.75
2.98,2.82,2.98,2.77
2.82,2.85,2.87,2.77
2.82,2.79,2.89,2.78
2.86,2.83,2.88,2.80
2.80,3.00,3.06,2.80
3.03,2.97,3.07,2.91
2.97,3.00,3.06,2.96
3.01,3.08,3.18,3.00
3.09,3.20,3.20,3.05
3.24,3.16,3.24,3.13
3.16,3.35,3.39,3.15
3.33,3.44,3.50,3.32
3.46,3.25,3.46,3.22
3.29,3.36,3.40,3.22
3.39,3.30,3.45,3.28
3.32,3.30,3.39,3.22
3.30,3.37,3.39,3.30
3.38,3.40,3.43,3.32
3.44,3.54,3.63,3.40
3.53,3.58,3.62,3.31
3.60,3.47,3.60,3.43
3.44,3.37,3.51,3.24
3.45,3.43,3.59,3.35
3.50,3.72,3.77,3.46
3.79,3.84,3.96,3.76
3.90,3.94,4.03,3.81
