IYT,iShares Transportation AverageETF,NASDAQ
81.63,82.09,82.25,81.20
82.61,81.65,83.27,81.37
82.24,81.46,82.41,80.97
81.33,80.47,81.95,79.75
81.45,82.43,83.08,81.21
82.51,82.77,83.01,82.20
83.00,82.67,83.00,81.96
82.83,83.52,83.82,82.21
83.66,83.70,83.97,83.36
83.37,83.35,83.46,82.09
84.09,85.39,86.06,84.09
85.38,84.90,85.38,84.38
85.45,84.68,85.82,84.23
84.64,84.98,85.07,84.22
84.09,83.85,84.68,83.33
84.18,85.69,86.00,84.18
86.00,85.51,86.10,84.55
85.50,85.83,85.84,85.05
86.63,86.18,87.02,86.09
85.82,86.27,86.90,85.38
85.75,85.52,85.77,84.47
86.25,85.44,86.25,84.76
85.34,85.77,86.13,85.13
86.10,85.78,87.10,85.41
86.73,86.94,87.05,86.11
87.16,87.79,87.80,86.55
88.63,88.86,89.31,88.00
89.07,88.92,89.57,88.60
88.89,88.98,89.17,88.34
89.21,87.43,89.26,87.15
87.47,87.81,87.84,86.80
87.08,87.87,88.04,86.72
87.35,86.93,87.81,86.45
87.38,87.16,88.26,87.13
86.64,85.85,86.85,85.39
86.10,86.10,86.34,85.42
87.12,87.58,88.23,87.09
87.36,88.13,88.16,87.17
87.71,87.93,88.43,87.01
87.00,86.47,87.00,86.09
87.05,88.87,88.95,87.05
88.47,88.34,88.78,87.73
87.74,88.66,88.83,87.31
87.68,87.86,88.52,87.66
89.12,89.96,90.51,89.12
90.19,91.17,91.42,90.10
90.92,91.77,91.89,90.67
91.68,91.39,91.68,91.15
92.18,91.65,92.48,91.50
91.74,91.23,91.80,90.99
91.80,92.01,92.10,91.34
92.10,92.29,92.35,91.45
92.70,91.55,92.72,91.45
91.75,91.19,91.92,90.78
90.96,90.87,91.94,90.80
90.88,92.07,92.14,90.69
92.12,91.40,92.13,91.22
91.62,91.23,91.85,90.80
91.62,92.22,92.40,91.57
92.13,92.05,92.21,91.41
91.94,91.70,92.30,91.54
91.72,91.99,92.22,91.32
92.42,91.95,92.42,91.50
92.22,92.18,92.41,91.89
92.27,92.23,92.53,92.02
92.16,92.32,92.52,92.09
93.28,93.45,94.24,93.07
93.81,92.76,93.89,92.04
92.46,93.18,93.24,92.12
93.06,92.81,93.20,92.56
92.92,93.53,94.10,92.60
93.28,93.98,94.21,92.74
94.48,93.34,94.66,92.87
94.00,94.09,94.10,93.54
94.26,94.46,94.70,93.65
94.35,94.31,94.69,94.17
94.34,94.14,94.89,93.81
94.18,92.44,94.18,92.03
92.08,91.65,92.14,91.04
92.26,91.01,92.40,90.85
90.98,91.68,91.68,90.77
91.23,91.07,91.65,90.46
91.52,92.15,92.47,91.20
92.18,92.82,92.96,92.09
92.99,90.20,92.99,90.06
90.22,90.73,91.04,90.22
91.21,92.54,92.85,91.21
92.28,90.68,92.28,90.67
90.59,91.12,91.86,90.59
91.46,91.32,91.46,90.56
91.45,91.60,92.18,91.29
91.57,91.79,91.94,91.19
91.40,92.02,92.21,91.40
91.60,93.44,93.64,91.56
93.14,94.68,94.87,93.00
94.80,94.25,94.88,94.16
94.07,94.58,94.62,93.86
95.19,95.59,95.93,94.68
95.51,95.87,95.91,95.03
96.04,95.80,96.30,95.33
93.99,92.06,94.47,91.92
91.87,90.18,92.16,89.03
90.01,90.81,91.42,89.74
91.38,91.70,91.82,90.82
91.90,92.22,92.67,91.85
92.72,89.70,92.72,89.41
89.71,90.47,90.83,89.46
91.47,92.71,92.84,91.35
92.79,91.56,92.79,91.00
91.49,90.83,92.18,89.98
90.85,93.39,93.63,90.85
93.20,93.42,93.83,92.42
92.04,92.16,93.25,91.15
91.87,93.06,93.40,91.81
92.50,91.45,92.55,90.82
88.92,91.10,91.60,88.90
90.73,89.70,91.51,89.54
91.46,91.07,92.25,90.62
92.19,91.69,92.44,91.17
92.87,93.70,93.82,92.65
93.63,92.41,93.63,92.36
92.32,92.39,92.56,91.46
93.01,93.67,93.79,92.52
93.67,94.17,94.51,93.32
94.73,94.55,95.18,94.34
94.71,95.13,95.15,94.01
95.77,95.35,95.97,95.35
95.15,95.89,96.36,95.15
97.20,97.17,97.82,96.79
97.35,97.32,97.61,96.95
97.30,96.75,97.61,96.58
97.24,96.79,97.47,96.08
96.66,96.24,97.12,95.91
96.72,94.65,96.73,94.04
94.79,94.48,94.85,94.13
94.03,94.90,95.36,93.97
95.31,94.71,95.50,94.26
94.21,95.02,95.37,93.98
95.39,95.62,95.79,94.91
94.55,94.27,94.74,93.63
94.68,94.81,94.90,94.36
96.10,95.21,96.32,94.19
95.67,95.70,96.13,95.63
95.59,95.95,96.12,95.22
96.36,97.72,97.98,96.36
97.90,98.45,98.52,97.44
98.67,99.53,99.92,98.67
99.69,99.82,100.37,99.51
100.30,99.62,100.67,99.37
99.43,99.10,99.68,98.39
99.04,97.64,99.20,97.35
97.39,98.92,99.96,97.35
99.99,99.25,100.08,98.84
99.08,99.16,99.53,98.73
99.63,100.35,100.53,99.63
100.15,99.00,100.41,98.80
98.82,99.01,99.27,98.01
99.18,97.72,99.27,97.41
97.46,97.42,98.41,97.28
97.16,96.94,97.51,96.44
97.07,98.47,98.54,96.47
98.81,99.55,99.86,98.68
99.39,98.90,99.61,98.43
97.69,97.76,97.99,97.02
97.89,97.06,97.89,96.72
96.78,97.79,98.07,96.55
97.79,98.18,98.32,97.17
98.41,98.13,98.95,97.93
99.02,99.19,99.25,98.24
99.14,95.89,99.42,95.82
96.09,96.36,97.05,95.70
94.92,94.71,95.55,94.44
94.47,93.51,95.17,93.40
93.92,93.50,94.13,93.45
93.25,92.41,93.37,92.24
92.51,93.19,93.60,92.43
92.85,91.96,93.15,91.85
92.08,92.23,92.77,91.67
93.13,93.89,94.32,93.13
93.18,92.78,93.62,92.53
92.78,92.77,93.65,92.32
93.75,93.79,94.20,93.18
93.48,94.52,94.91,93.48
95.19,96.34,96.49,95.19
96.51,96.12,97.32,96.03
95.07,96.26,96.46,94.90
95.97,94.41,95.97,94.15
94.46,95.21,95.38,94.05
95.40,96.38,96.53,95.18
97.15,96.83,98.15,96.37
97.10,97.96,98.40,97.00
98.19,100.19,100.38,98.06
100.26,99.32,100.26,99.05
99.32,100.42,100.70,99.17
101.35,101.40,101.60,100.63
100.00,100.27,100.29,99.54
99.00,98.38,99.25,97.81
98.07,97.32,98.22,97.23
97.84,97.77,98.99,97.45
98.06,96.61,98.26,96.06
97.08,96.51,97.08,95.31
96.16,95.41,96.16,94.83
95.94,96.43,96.60,95.37
96.75,96.26,96.91,95.76
96.77,97.83,98.93,96.77
97.81,97.77,98.17,97.15
96.70,97.48,98.07,96.60
97.02,96.19,97.02,95.18
95.80,93.78,95.80,93.36
93.78,93.46,95.26,93.40
92.33,93.30,94.10,91.59
94.57,92.36,94.64,91.62
91.77,89.06,92.02,88.88
89.24,89.45,89.59,87.26
88.00,84.92,88.61,84.88
86.14,84.53,86.66,81.98
81.99,78.72,82.85,78.39
79.82,82.19,82.29,77.44
80.77,78.87,81.58,78.63
79.45,82.23,83.47,78.81
82.83,83.30,84.01,82.11
83.79,84.27,84.39,83.07
83.39,82.75,84.12,82.23
82.95,82.29,83.82,81.47
80.22,77.59,80.22,76.87
76.64,76.26,78.91,75.92
77.90,76.13,78.16,75.98
76.50,78.66,78.74,75.81
78.55,79.86,79.95,78.06
80.26,78.36,80.65,78.01
77.74,80.36,80.47,76.37
81.48,83.25,83.39,81.40
82.69,84.39,85.00,82.67
85.53,84.11,86.22,83.53
84.37,82.89,85.20,82.76
81.31,80.22,81.43,79.83
77.76,79.08,79.20,77.24
80.48,81.62,81.79,80.23
80.98,80.73,82.07,80.45
79.74,78.90,80.63,78.33
77.52,78.68,78.79,76.63
79.35,81.45,81.70,79.09
81.99,83.03,84.16,80.09
84.12,84.16,84.53,82.94
84.17,84.23,84.93,83.29
82.67,82.75,83.32,81.72
82.84,81.68,83.95,81.60
81.75,77.33,81.75,77.28
74.89,74.99,76.48,73.99
74.11,75.74,76.19,74.05
76.45,77.49,77.59,75.16
79.58,78.72,80.29,78.26
78.88,76.45,79.25,76.35
78.03,78.00,78.41,76.28
76.66,75.24,77.01,75.15
74.53,72.40,76.07,72.35
71.51,75.62,75.69,70.82
75.77,77.64,77.95,75.36
77.36,79.23,79.26,76.74
79.59,78.15,79.67,77.48
79.67,81.09,81.09,79.06
80.50,81.68,82.00,80.25
82.33,82.75,83.65,82.00
82.13,82.20,82.64,81.12
83.36,84.02,84.13,82.93
83.67,81.79,83.74,81.41
81.89,84.19,85.07,81.34
83.88,83.08,84.44,82.70
83.48,84.39,84.66,82.83
85.33,86.22,86.31,85.15
86.61,87.68,88.02,86.53
86.85,85.75,86.85,84.87
86.11,86.14,86.50,84.52
88.77,89.86,90.69,88.28
88.77,89.62,90.26,88.77
88.35,87.53,88.99,87.50
84.64,85.29,86.53,83.85
86.58,86.27,87.04,85.16
87.25,88.07,88.29,85.90
87.25,87.65,87.88,85.59
87.68,87.69,88.28,86.02
88.16,88.74,88.94,86.66
86.66,85.30,86.89,85.03
86.73,86.59,87.11,85.57
87.79,88.96,89.15,87.70
88.45,88.48,89.12,87.93
88.05,89.09,89.57,87.73
88.10,87.14,89.06,87.14
86.99,85.93,87.63,85.41
86.37,86.32,86.88,85.81
84.97,84.37,85.26,83.35
84.20,83.42,84.40,83.22
82.61,81.41,82.61,81.37
80.99,80.84,81.82,80.84
83.39,83.85,84.43,83.02
83.99,84.19,85.14,83.73
87.61,88.33,88.47,86.74
88.38,87.68,88.45,87.63
88.84,88.42,89.50,88.25
89.59,89.83,90.55,89.11
89.93,89.08,89.95,88.54
88.65,89.14,89.67,88.06
88.34,86.96,88.55,86.72
87.19,88.56,88.93,87.02
87.75,87.79,87.89,86.83
88.25,86.42,88.81,85.91
86.08,85.26,86.39,85.02
86.38,86.48,86.82,85.68
86.87,87.86,88.55,86.87
88.29,85.89,88.59,85.60
87.43,88.76,88.92,87.29
88.86,89.29,89.31,87.73
89.22,89.69,89.81,88.92
89.92,90.13,90.13,89.27
89.84,90.18,90.53,89.65
90.14,88.72,90.14,88.36
88.84,89.86,89.97,88.84
89.97,89.47,90.28,89.47
91.20,90.34,91.81,90.30
89.88,90.64,90.84,89.50
89.81,90.42,90.45,89.18
90.68,90.31,91.13,90.11
90.74,90.90,91.02,90.12
91.96,92.21,92.75,91.76
92.00,92.60,92.75,91.95
92.95,92.90,93.17,92.22
92.17,92.24,92.34,90.84
92.93,92.06,92.94,91.71
91.97,92.99,93.20,91.81
93.84,94.52,94.77,93.73
94.50,94.08,94.50,93.90
94.30,93.40,94.51,92.90
92.31,92.88,93.04,91.66
92.60,94.13,94.39,92.56
94.60,94.59,95.65,94.31
94.11,95.38,95.58,94.11
94.51,94.92,95.11,94.13
95.42,94.84,95.42,93.78
95.39,95.38,95.93,95.03
95.30,94.75,95.59,94.39
95.44,95.82,96.13,95.41
95.58,95.19,95.80,95.01
94.84,94.97,95.32,94.27
95.10,94.56,95.10,94.08
94.76,94.81,95.09,94.06
93.75,93.76,94.10,93.06
94.60,95.06,95.06,93.87
94.68,94.23,94.70,93.78
94.46,92.39,94.60,92.03
92.52,94.17,94.18,92.52
94.34,93.53,94.86,93.23
93.66,92.16,93.67,91.75
92.16,91.45,92.61,90.97
91.52,92.21,92.22,90.89
92.25,91.65,92.94,91.59
91.11,92.40,92.98,91.11
92.58,92.26,92.74,91.86
92.41,91.93,92.81,91.77
92.17,93.16,93.70,91.98
92.82,92.16,93.18,91.95
91.92,91.52,92.19,91.13
90.54,90.14,90.54,89.88
90.63,90.66,90.87,90.06
91.57,91.98,92.20,90.58
92.20,92.21,92.71,91.40
92.30,91.91,92.39,91.50
92.67,93.81,93.89,92.14
93.74,92.52,93.74,92.24
92.60,95.60,95.98,92.60
96.02,95.50,96.13,95.11
95.47,95.72,96.22,95.30
95.00,94.39,95.00,94.05
94.50,95.22,95.43,94.00
94.19,93.15,94.19,92.68
93.05,93.19,93.31,92.14
93.64,94.29,94.29,93.47
94.32,94.08,94.35,93.77
93.95,93.80,94.36,93.01
93.28,93.79,93.89,92.09
94.14,93.69,94.18,93.51
93.44,94.58,95.04,93.30
94.54,94.30,94.73,93.59
93.66,94.03,94.49,93.52
93.77,94.16,94.41,93.65
92.66,92.52,92.91,92.29
92.29,90.69,92.37,90.45
91.54,91.51,91.98,91.36
91.65,93.56,93.77,91.65
93.24,92.53,93.24,92.53
92.84,93.26,93.89,92.51
93.55,94.66,95.01,93.55
94.72,94.49,95.09,94.08
94.24,93.15,94.81,92.60
93.12,93.36,93.69,92.88
92.05,92.47,92.48,91.40
92.81,93.43,93.55,92.72
94.05,94.28,94.51,93.53
93.82,93.30,93.88,92.56
93.96,93.84,94.02,92.90
93.81,93.20,94.03,92.98
93.14,94.15,94.82,92.83
93.71,95.10,95.30,93.71
95.45,94.24,95.57,94.17
93.84,93.17,93.84,93.00
92.87,93.53,94.00,92.52
93.04,93.40,93.52,92.21
92.38,92.05,92.76,91.84
92.70,91.76,93.06,91.52
91.24,91.92,92.63,91.14
91.00,91.22,91.83,90.87
91.13,91.29,92.07,91.08
91.60,91.20,92.54,91.20
91.36,88.37,91.47,88.30
88.54,87.27,88.96,87.01
87.34,89.59,89.59,87.34
89.79,89.62,90.50,89.01
88.84,90.67,90.89,88.06
90.81,91.44,91.88,90.45
91.58,91.03,91.68,90.76
91.79,92.28,92.57,91.58
91.45,90.35,91.50,90.21
90.35,91.24,91.82,89.47
88.77,88.34,89.86,88.05
88.40,86.91,88.45,86.09
86.64,87.44,87.89,86.59
88.25,90.06,90.08,88.19
91.30,89.89,91.93,89.78
89.54,90.94,90.99,89.18
91.90,89.61,91.92,89.49
89.80,90.40,90.57,89.43
90.09,90.03,91.09,89.61
90.17,90.93,91.41,89.64
91.40,91.44,91.55,91.02
90.63,93.20,93.40,90.63
93.07,94.00,94.66,92.91
93.93,93.70,94.00,92.91
93.83,91.84,94.08,91.79
91.08,91.11,91.36,90.44
90.00,89.37,90.00,88.41
89.67,89.68,90.04,88.67
90.04,90.17,90.45,89.37
89.62,90.78,90.87,89.01
92.04,93.33,93.33,91.60
93.23,93.23,93.82,91.96
93.30,93.82,93.83,92.84
92.98,94.03,94.28,92.98
92.99,93.19,93.81,92.71
93.18,92.79,93.26,92.50
93.36,91.56,93.57,91.19
91.69,91.38,92.18,90.92
90.71,90.95,91.31,90.00
91.21,92.93,93.08,91.21
92.65,92.27,92.81,91.95
91.96,91.67,91.99,90.35
91.40,92.10,92.63,91.40
92.49,92.77,93.44,92.49
92.07,90.68,92.07,90.60
89.29,89.54,89.80,88.46
89.32,88.57,89.58,87.77
88.82,88.05,88.82,87.76
89.44,89.33,89.85,88.88
89.51,91.56,92.08,89.51
91.38,91.28,92.17,90.85
91.34,90.87,91.83,90.87
91.01,89.01,91.01,88.80
88.41,88.88,89.15,88.00
90.65,90.84,91.19,90.10
90.92,90.76,91.42,90.70
91.15,90.87,91.46,90.83
90.50,90.54,90.90,90.32
90.33,90.16,90.74,90.06
89.99,90.34,90.52,89.55
90.22,90.43,90.43,89.71
90.85,90.80,91.22,90.51
90.46,91.84,91.90,90.46
91.84,92.38,92.50,91.65
92.58,92.77,92.82,92.29
92.64,92.76,93.13,92.42
92.93,92.85,93.42,92.59
92.54,92.36,92.81,92.07
92.14,91.34,92.14,90.95
91.17,91.33,91.68,90.85
91.50,90.43,91.66,90.35
90.52,90.22,90.67,89.95
90.22,90.06,90.30,89.84
89.55,89.09,89.60,89.03
89.75,89.32,89.86,88.90
89.21,89.31,89.62,88.34
88.96,88.38,89.18,88.17
88.68,90.06,90.24,88.68
90.31,90.72,90.72,90.08
90.67,91.12,91.37,90.31
91.12,91.77,91.95,91.12
92.07,92.50,92.53,91.67
92.28,92.96,93.48,91.67
92.96,93.25,93.49,92.68
93.13,91.81,93.13,91.64
91.42,90.85,91.42,90.55
90.74,91.23,91.70,90.04
89.79,88.66,89.79,88.37
89.03,87.68,89.22,87.61
87.07,88.55,88.71,87.07
88.50,87.44,89.00,87.40
87.08,87.42,87.68,87.05
87.75,87.90,88.19,87.22
87.49,87.09,87.57,86.63
87.09,87.06,87.84,86.70
87.66,87.30,87.71,86.91
87.71,88.36,88.51,87.20
88.64,89.20,89.30,88.60
90.00,89.73,90.42,89.49
89.40,89.92,90.14,89.33
89.88,88.89,90.13,88.80
89.21,88.90,89.71,88.61
89.24,88.80,89.81,88.78
89.37,89.51,90.12,89.16
89.53,89.87,89.94,89.08
90.10,90.76,91.02,90.09
90.76,91.34,91.45,90.17
91.15,91.42,92.00,91.13
91.04,89.99,91.40,89.66
89.58,89.62,90.07,88.84
89.38,90.44,90.66,89.07
90.22,88.64,90.29,88.52
89.07,89.13,89.22,88.37
89.29,89.33,89.70,88.78
89.35,90.00,90.57,89.35
89.95,91.37,91.37,89.72
91.93,90.46,91.93,90.46
90.26,90.64,90.81,90.13
91.00,92.24,92.38,90.83
91.27,90.39,91.42,89.88
90.64,89.77,90.97,89.70
89.37,89.16,89.91,89.07
89.16,89.84,90.25,89.16
89.16,89.74,90.79,89.00
89.81,87.37,89.84,87.18
87.35,87.25,87.86,86.63
87.28,86.80,87.43,85.83
87.83,88.37,88.39,87.35
88.35,88.45,88.75,87.91
88.48,88.71,88.76,88.19
89.15,89.66,89.66,88.63
89.47,90.27,90.31,89.31
90.22,90.21,90.83,90.12
90.00,90.98,90.98,89.33
91.34,91.50,91.71,90.94
91.50,91.00,91.50,90.67
91.40,90.06,91.41,89.81
89.91,90.34,90.71,89.75
90.54,91.10,91.53,90.17
91.08,91.09,91.40,90.68
91.91,91.36,91.91,90.84
91.35,92.34,92.40,91.31
92.78,92.50,93.18,92.26
92.77,92.27,93.22,92.18
92.36,92.68,93.32,92.25
92.60,92.71,93.55,92.35
93.02,93.39,93.48,92.79
93.08,94.83,94.91,93.08
94.85,94.84,95.34,94.48
94.61,95.50,95.50,94.53
94.10,95.21,95.25,93.08
94.84,94.72,94.94,94.50
94.91,94.11,95.08,94.09
94.35,93.69,94.53,92.91
93.13,92.83,93.90,92.80
92.72,94.35,94.38,92.57
96.44,96.65,97.16,95.83
96.00,97.36,98.16,96.00
97.69,98.56,98.66,97.41
98.00,98.21,98.55,97.70
97.83,97.87,98.39,97.24
98.20,98.84,99.02,98.20
99.11,99.40,99.46,98.78
99.36,99.38,99.76,99.09
99.50,99.89,99.89,99.39
99.39,100.58,100.68,99.28
100.49,100.62,100.76,100.27
101.09,101.24,101.34,100.60
101.49,101.39,101.49,100.45
101.40,102.50,102.60,101.39
102.38,102.52,103.03,102.07
102.68,104.13,104.35,102.39
104.41,104.38,104.49,103.24
104.48,104.46,104.65,103.76
104.44,104.33,104.45,103.75
103.96,102.79,104.15,102.55
102.78,103.05,103.49,102.48
103.95,103.93,105.53,103.52
103.25,103.21,104.12,102.90
103.70,104.40,104.56,103.50
103.48,104.31,104.37,103.35
104.40,104.64,104.81,103.93
104.80,105.12,105.35,104.54
105.27,105.02,105.45,104.77
105.20,105.03,105.35,104.80
105.14,105.49,105.78,104.93
105.15,105.74,105.78,105.02
105.90,105.77,106.37,105.56
105.78,107.08,107.09,105.78
107.16,105.24,107.16,105.17
105.14,104.49,105.26,103.84
105.08,105.72,105.85,104.78
105.55,103.39,106.46,103.39
103.93,103.59,103.93,103.03
103.25,106.64,107.12,103.24
106.61,106.67,107.46,106.42
106.16,106.51,106.95,105.42
105.71,107.77,107.77,105.71
108.54,109.40,109.93,108.32
109.98,108.98,110.31,108.79
109.50,108.48,109.50,108.03
109.44,109.66,109.80,108.72
109.56,109.79,110.00,109.41
109.70,109.46,110.18,108.79
109.55,111.14,111.32,109.54
111.36,111.98,112.02,110.98
112.06,111.86,112.06,111.16
110.50,111.54,112.20,110.50
111.87,111.31,112.30,110.30
110.99,110.99,111.20,110.50
110.63,109.23,110.79,108.72
109.80,110.40,110.49,109.69
110.54,109.26,110.97,108.69
109.60,110.10,110.26,109.30
109.34,110.26,110.37,108.86
110.58,111.30,111.59,110.25
111.62,109.67,111.62,109.37
109.95,108.14,110.09,107.81
108.12,106.60,108.51,106.26
106.53,106.86,106.95,106.03
105.58,107.34,107.48,104.40
107.13,108.34,108.36,107.06
108.51,107.96,108.72,107.63
108.11,109.88,109.95,108.11
108.90,109.57,110.54,108.90
108.61,109.33,109.64,108.61
108.84,105.02,108.84,104.87
106.85,107.49,107.59,105.53
106.58,105.87,106.90,105.25
105.96,105.79,106.62,105.38
105.81,107.44,107.65,105.39
107.62,107.57,108.10,106.08
107.59,108.03,108.65,107.35
108.01,108.70,109.03,107.94
109.26,108.82,109.31,108.51
108.81,108.84,109.13,108.33
108.84,109.48,109.80,108.62
109.59,110.03,110.03,108.69
109.54,107.51,110.01,107.45
107.45,108.65,109.29,107.45
109.43,110.98,111.90,109.43
111.00,112.49,112.80,111.00
112.92,114.29,114.33,112.92
114.15,114.62,114.73,113.42
114.70,113.35,114.80,113.11
113.48,113.98,114.16,113.48
113.88,113.40,113.99,113.07
113.70,115.50,115.50,113.59
115.78,116.36,116.75,115.08
116.29,115.53,116.82,115.20
116.20,116.92,116.98,115.84
116.87,116.14,117.30,116.02
116.36,116.21,117.04,115.75
116.15,114.47,117.07,114.00
113.00,114.61,114.71,112.84
114.50,114.21,114.50,112.88
115.25,114.21,116.10,113.87
113.52,113.07,113.85,112.70
113.46,113.42,114.02,113.19
112.96,112.40,114.33,112.39
112.65,112.34,113.03,110.98
112.33,111.78,113.51,111.36
111.55,109.74,111.55,109.35
109.63,110.76,110.84,109.25
111.89,113.50,113.79,111.15
113.80,113.20,114.02,112.84
112.42,111.98,113.11,111.46
113.02,111.30,113.23,111.13
111.25,113.43,113.65,110.94
113.35,112.78,114.41,112.60
113.25,112.50,113.75,111.59
112.31,113.57,113.78,112.31
113.84,112.18,113.84,112.18
110.99,109.82,111.13,109.55
