IEO,iShares U.S. Oil & Gas Exploration & Production ETF,NASDAQ
57.57,57.96,58.03,56.94
57.94,57.95,58.24,56.95
58.44,59.78,59.82,58.44
59.51,58.75,59.62,58.56
57.74,57.99,58.44,57.41
57.85,57.93,58.41,57.44
58.31,56.47,58.39,56.11
56.91,57.27,57.66,56.61
56.58,56.84,57.19,55.78
57.17,58.04,58.12,57.17
57.84,58.50,58.74,57.57
58.85,59.53,59.61,57.87
59.26,59.98,60.39,59.25
60.17,60.11,60.61,59.81
59.63,59.86,59.88,59.19
58.63,58.76,58.92,57.94
58.79,57.68,59.04,56.96
58.01,57.69,58.06,57.00
58.90,59.21,59.31,58.26
59.28,60.53,60.79,59.01
60.38,60.92,61.25,60.38
60.76,60.01,61.27,60.01
60.34,60.20,60.52,59.35
59.45,58.54,59.45,57.94
59.83,60.30,60.69,59.83
60.55,60.63,61.00,60.55
61.16,62.18,62.71,61.16
62.00,62.26,62.77,62.00
62.23,62.69,63.11,62.10
62.15,62.65,62.68,61.75
62.60,62.00,62.83,61.80
62.50,62.22,62.50,61.95
62.10,62.22,62.36,61.79
62.42,62.98,63.08,62.19
63.08,62.96,63.15,62.67
62.79,62.72,63.13,62.42
63.08,62.41,63.42,62.27
62.18,62.69,62.74,61.86
62.55,61.53,62.75,61.52
61.38,62.01,62.22,61.07
62.23,62.01,62.61,61.90
61.91,62.23,62.41,61.89
62.26,61.78,62.26,61.73
61.45,60.98,61.45,60.85
61.53,61.73,62.02,61.08
61.73,61.32,61.78,60.71
61.22,61.14,61.50,61.03
61.61,62.67,63.20,61.61
62.93,64.12,64.15,62.79
63.97,63.71,64.54,63.69
63.87,64.74,64.78,63.86
65.12,65.21,65.52,64.89
65.28,66.50,66.81,64.72
66.85,67.78,68.59,66.85
67.48,66.61,67.78,66.45
66.55,65.64,66.55,65.11
65.64,65.07,65.64,64.89
64.59,65.05,65.20,64.00
65.68,65.32,65.78,65.13
64.77,64.47,64.79,64.25
65.03,63.45,65.03,63.40
63.19,62.84,63.38,62.38
63.36,64.19,64.36,63.31
63.84,64.06,64.22,63.50
64.48,64.52,65.15,64.41
64.82,64.50,64.82,64.20
64.40,63.26,64.40,62.95
63.75,64.11,64.16,63.44
64.34,63.51,64.55,63.39
63.31,63.64,63.72,63.11
63.91,64.08,64.52,63.74
63.96,62.89,64.17,62.81
63.51,63.53,64.24,63.51
63.43,63.05,63.64,62.45
62.83,63.09,63.13,62.12
63.48,64.37,64.37,63.48
64.39,65.21,65.30,64.39
64.88,65.10,65.29,64.67
64.96,64.06,65.34,63.71
64.05,63.31,64.17,62.74
62.19,61.86,62.37,61.19
62.18,61.23,62.48,61.10
62.15,61.88,62.15,60.87
61.75,62.21,62.46,61.75
62.46,62.19,62.53,61.86
61.93,62.51,62.84,61.89
62.89,61.71,62.97,60.51
61.55,62.18,62.28,61.55
62.76,63.74,63.86,62.62
62.77,61.93,62.77,61.46
61.80,60.79,62.43,60.79
60.48,60.75,61.50,60.20
60.93,60.70,60.99,60.49
60.13,60.43,61.35,59.85
60.77,59.69,60.79,59.62
59.72,59.70,60.35,59.31
59.84,59.93,60.05,58.94
61.00,61.64,61.64,60.84
61.39,61.47,61.79,61.04
61.73,61.91,61.98,61.39
62.16,62.78,62.78,62.11
62.15,61.89,62.35,61.50
61.79,61.64,61.96,61.45
61.18,62.13,62.13,60.79
62.47,62.27,62.82,62.04
62.29,61.98,62.53,61.81
62.41,61.68,62.52,61.64
61.49,61.43,62.00,61.33
61.94,62.39,62.75,61.87
62.28,62.55,62.55,61.97
62.85,63.05,63.10,62.55
63.01,62.95,63.10,62.81
63.34,63.20,63.51,63.04
63.49,63.55,64.12,63.28
63.54,62.68,63.54,62.38
62.50,63.00,63.07,62.50
63.17,63.55,63.55,63.09
63.70,64.83,65.02,63.61
64.67,64.07,64.71,64.07
64.10,64.68,64.69,64.10
63.50,64.29,64.43,63.50
64.16,63.66,64.16,63.59
64.05,63.25,64.05,63.22
63.31,63.09,63.32,62.28
62.84,62.00,62.84,61.97
61.85,63.54,63.63,61.72
64.91,64.79,64.91,63.86
63.89,64.79,65.55,63.89
64.93,65.78,65.86,64.93
65.41,65.11,65.41,64.87
65.02,65.18,65.26,64.74
65.20,64.90,65.42,64.67
65.36,65.49,65.56,65.03
65.51,65.46,65.58,65.07
65.50,65.54,65.59,65.28
65.26,66.05,66.06,65.26
65.88,66.30,66.35,65.68
66.60,66.74,67.06,66.51
66.78,66.91,66.93,66.22
66.84,67.68,67.79,66.56
67.76,67.36,67.76,67.07
67.51,67.79,68.31,67.51
68.00,68.42,68.49,67.84
68.47,67.95,68.47,67.46
68.22,69.75,69.87,68.22
70.35,69.91,71.00,69.80
69.89,70.14,70.46,69.36
70.68,71.09,71.16,70.30
70.60,70.48,70.78,70.39
70.93,71.55,71.76,70.86
71.26,72.02,72.02,71.17
72.12,72.10,72.26,71.47
72.25,73.05,73.05,72.25
73.12,72.47,73.12,72.38
72.64,72.37,72.64,72.06
72.51,72.70,72.70,72.31
72.60,72.67,73.13,72.39
72.74,71.37,72.74,71.07
71.65,72.47,72.51,71.65
72.45,70.13,72.55,70.03
70.01,69.71,70.07,68.88
70.21,70.86,70.86,69.86
71.39,68.70,71.57,68.70
68.94,69.17,69.27,67.92
69.53,70.44,70.66,69.53
70.32,70.49,70.99,70.29
70.01,70.55,70.64,69.51
70.39,70.77,70.79,69.88
71.26,71.31,71.52,71.01
71.63,71.54,71.81,71.25
71.65,72.45,72.54,71.31
72.91,72.80,73.03,72.42
72.41,72.74,72.92,72.28
72.84,73.15,73.36,72.69
72.96,72.64,73.15,72.59
72.77,73.93,74.08,72.77
74.04,73.81,74.43,73.60
72.94,73.56,74.10,72.71
73.63,72.50,73.69,71.89
73.31,73.17,73.43,72.64
72.74,72.27,73.19,72.27
72.70,72.78,73.11,72.57
72.87,72.39,73.48,72.15
72.77,73.33,73.36,72.47
72.94,73.37,73.44,72.67
73.48,73.32,73.64,73.14
73.59,72.85,73.59,72.23
73.11,71.87,73.11,71.68
71.97,70.00,71.98,69.63
69.89,70.02,70.31,69.42
68.99,70.64,70.68,68.75
71.00,71.59,71.59,70.65
71.71,72.39,72.69,71.22
72.57,72.34,72.71,72.23
72.71,72.31,73.00,72.17
71.69,70.83,71.69,70.33
69.71,67.20,69.71,67.20
68.29,68.55,68.59,67.27
68.03,66.90,68.09,66.22
67.02,67.38,67.83,66.15
68.02,67.08,68.02,66.64
67.39,67.87,68.16,66.47
68.02,68.70,68.75,67.81
68.88,70.02,70.36,68.88
70.37,70.60,71.85,70.09
70.62,70.17,70.62,69.37
70.59,71.11,71.40,70.45
71.23,70.90,71.23,70.36
70.42,69.28,70.50,69.15
69.82,70.25,70.45,69.10
70.74,71.99,72.20,70.74
72.15,72.74,73.03,72.10
73.44,73.49,74.12,72.91
73.36,73.36,73.96,72.83
73.24,73.06,73.55,72.56
72.81,73.01,73.03,71.97
72.75,73.07,73.09,72.51
73.20,74.24,74.27,73.20
74.12,74.23,74.51,73.68
74.14,73.75,74.46,73.64
74.32,75.55,75.62,74.27
75.74,76.78,77.13,75.74
76.79,76.31,77.18,76.15
76.50,75.29,77.12,74.81
74.13,75.25,75.29,73.68
74.80,74.93,74.94,74.00
75.98,76.06,76.65,75.52
75.90,76.38,76.66,75.55
76.26,76.32,76.69,75.70
76.07,74.63,76.36,74.63
74.96,75.26,75.41,74.35
75.13,74.83,75.56,74.10
74.54,73.75,74.88,73.75
73.76,74.56,74.56,73.34
75.02,75.54,75.76,74.66
75.70,75.24,75.72,74.90
74.26,73.82,74.50,73.80
74.48,73.36,74.51,73.21
73.26,74.64,74.84,73.20
74.76,73.83,74.76,73.64
74.43,74.85,75.16,74.33
75.02,75.38,75.74,74.89
