IWR,iShares Russell Mid-Cap ETF,NASDAQ
105.63,106.11,106.71,105.46
107.22,108.09,108.27,107.15
108.26,107.52,108.26,106.78
107.90,106.31,108.06,105.65
106.45,107.39,107.74,105.91
107.12,107.06,107.45,106.45
105.72,105.10,105.93,104.90
104.46,105.96,106.30,104.45
105.21,105.40,105.89,104.56
102.88,104.47,105.10,102.13
103.99,103.08,104.95,102.37
104.82,104.03,104.82,103.65
105.41,104.54,105.48,104.33
105.97,106.33,106.50,105.82
106.46,105.80,106.55,105.66
105.56,105.96,106.30,104.82
106.36,106.74,106.95,105.49
107.17,107.39,107.98,106.81
107.57,106.91,107.86,106.87
106.66,107.76,107.84,106.37
108.37,108.86,109.04,108.28
108.73,108.99,109.15,108.54
109.70,109.70,110.11,109.36
110.04,109.74,110.16,109.40
109.52,109.90,110.48,109.51
110.59,110.00,110.74,109.53
110.01,109.61,110.25,109.12
110.26,109.00,110.29,108.47
109.05,108.44,109.33,108.09
107.73,107.55,108.11,107.18
108.10,107.93,108.31,107.34
107.10,107.98,108.08,106.85
108.18,108.82,108.94,107.88
107.16,107.39,107.55,106.55
107.58,107.89,107.95,107.21
109.64,109.73,109.89,109.34
110.27,110.34,110.39,109.79
110.32,110.25,110.49,109.79
110.64,111.07,111.46,110.52
111.30,111.75,111.82,110.70
111.50,111.81,112.27,111.34
112.14,112.24,112.41,111.81
112.61,111.95,112.92,111.79
111.62,111.03,111.83,110.41
111.00,110.14,111.07,109.53
109.25,109.69,110.75,109.09
110.90,110.20,111.46,109.77
110.16,111.02,111.21,110.10
111.45,112.15,112.38,111.27
111.92,111.04,112.12,110.47
110.42,111.52,111.80,110.08
111.48,110.65,111.77,110.29
109.99,109.90,111.21,109.69
109.06,109.39,109.75,108.62
109.32,110.86,111.00,109.32
111.60,111.15,111.60,110.46
110.89,110.51,111.08,109.99
108.95,108.94,109.32,108.63
109.11,108.71,109.58,108.43
108.29,109.25,109.66,108.22
109.00,110.14,110.32,108.90
110.51,110.75,111.05,110.45
111.91,111.73,111.98,110.84
111.76,109.15,111.76,109.00
109.05,109.04,109.76,108.47
107.44,107.68,108.67,107.37
107.37,106.20,107.65,106.12
106.71,106.43,107.28,106.41
106.21,105.53,106.32,105.38
105.69,106.19,106.59,105.42
105.64,104.57,105.77,104.39
104.62,104.33,105.17,103.74
105.38,106.02,106.37,105.20
105.01,104.35,105.66,104.01
104.25,104.20,104.84,103.23
105.25,104.44,105.27,104.19
104.12,105.16,105.39,104.12
105.87,107.04,107.23,105.68
106.57,106.54,107.59,106.54
105.44,106.51,106.59,104.50
106.52,105.47,106.75,105.31
105.46,106.04,106.38,105.03
106.34,107.63,107.66,106.29
108.40,108.48,108.86,107.64
108.77,109.34,109.69,108.72
109.55,111.13,111.27,109.28
110.94,110.66,110.99,110.22
110.53,110.91,111.07,110.06
111.95,112.09,112.40,111.78
110.61,111.27,111.29,110.29
110.07,108.84,110.12,108.56
108.40,108.34,109.24,108.24
108.81,108.62,109.90,108.46
108.92,107.47,109.39,107.17
107.79,108.24,108.24,107.31
107.80,106.89,107.82,106.15
107.56,108.78,108.89,107.44
108.93,108.67,109.03,108.27
109.01,109.82,110.11,108.91
109.73,110.08,110.24,109.32
108.75,109.31,109.93,108.75
109.15,108.74,109.22,108.48
108.16,106.01,108.16,105.84
105.96,105.43,106.94,105.35
104.09,105.15,105.89,103.59
106.42,104.33,106.50,103.45
103.63,101.10,104.21,101.00
101.17,101.61,101.67,98.93
100.15,95.78,100.16,95.72
96.96,94.78,97.18,92.30
91.73,87.42,92.77,87.17
89.44,92.32,92.41,86.54
90.40,89.00,92.14,88.88
89.40,93.35,94.57,89.27
94.29,94.07,94.85,93.28
94.95,96.45,96.51,94.88
95.19,95.32,96.29,94.33
95.88,94.95,96.47,94.18
91.96,90.13,92.11,89.24
88.70,88.55,91.34,88.37
90.91,88.63,90.91,88.09
88.84,91.70,91.84,88.27
91.53,93.10,93.28,91.23
93.83,91.40,94.20,91.06
90.69,93.31,93.68,89.46
94.64,96.70,96.77,94.59
96.20,97.18,97.92,95.63
97.93,97.83,99.11,97.09
98.14,96.48,98.76,96.34
94.25,93.85,95.04,93.40
90.64,93.15,93.20,90.56
94.65,96.25,96.38,94.39
95.71,95.13,96.73,94.77
94.01,92.52,94.55,91.87
91.01,92.99,92.99,90.84
93.52,94.25,94.56,92.63
94.82,95.75,96.93,93.39
97.13,97.19,97.32,95.70
97.50,97.35,98.04,96.63
95.47,96.25,96.89,94.92
96.68,95.62,97.59,95.50
95.53,92.19,95.77,92.19
89.18,89.16,90.49,87.86
88.53,89.41,89.91,88.15
90.34,91.48,91.61,88.59
93.36,92.79,94.62,92.29
93.09,90.21,93.42,90.10
91.99,90.77,92.12,88.91
89.16,88.25,90.00,88.13
87.50,84.69,88.63,84.56
83.88,87.18,87.30,82.76
87.40,88.97,89.39,86.49
88.89,91.10,91.29,88.44
91.77,89.92,91.77,89.55
91.66,93.15,93.19,91.64
92.50,93.24,93.67,92.28
93.95,94.23,95.38,93.81
93.69,94.35,94.67,92.81
95.42,95.86,96.03,94.71
95.34,93.83,95.51,93.59
93.94,95.98,96.54,92.72
95.59,94.54,96.32,94.38
95.13,95.07,95.31,93.28
96.16,97.07,97.33,96.07
97.61,99.36,99.62,97.55
98.81,97.25,98.86,97.01
98.59,98.20,98.77,96.37
101.50,102.07,102.88,100.29
101.88,102.11,102.35,101.41
101.11,99.58,101.11,99.57
96.57,96.69,98.00,95.99
98.13,98.52,98.95,97.31
99.60,100.44,100.71,97.80
99.52,100.44,100.64,98.76
100.28,100.49,100.72,98.78
101.18,101.49,101.60,99.52
99.08,97.47,99.34,97.22
98.80,98.00,98.80,97.10
99.22,100.13,100.48,99.12
99.74,99.18,100.03,98.75
98.83,99.80,100.26,98.36
98.79,98.38,100.16,98.23
98.13,96.40,98.34,95.89
96.76,96.36,97.00,95.86
94.93,94.76,95.19,93.79
94.45,94.31,95.08,93.70
93.36,91.94,93.36,91.92
91.57,91.77,92.77,91.55
94.47,94.62,95.16,93.96
94.87,94.77,95.47,94.41
98.05,99.09,99.14,97.64
98.83,98.80,99.68,98.47
99.80,98.87,100.35,98.71
100.59,100.02,100.98,99.46
100.00,99.89,100.34,99.34
99.07,99.65,100.03,98.27
98.90,97.19,99.14,97.02
97.70,99.05,99.30,97.55
98.10,97.55,98.11,96.67
98.40,96.06,98.47,95.52
95.25,94.79,95.75,94.51
96.04,95.31,96.10,94.94
95.88,95.86,96.93,95.47
96.34,94.42,96.59,94.26
96.30,97.63,97.71,96.16
97.33,97.87,97.99,96.53
97.66,98.42,98.52,97.53
98.67,99.01,99.02,98.32
98.81,99.17,99.47,98.64
99.12,97.73,99.31,97.64
98.11,98.75,98.88,97.87
98.77,98.42,99.01,98.37
100.47,99.56,100.72,99.32
99.04,99.31,99.58,98.72
98.90,100.04,100.18,98.23
100.02,99.87,100.39,99.52
100.23,100.23,100.45,99.60
101.37,101.52,101.66,101.19
101.23,101.69,101.79,101.06
101.93,102.07,102.17,101.09
101.26,101.54,101.58,100.65
102.50,101.86,102.72,101.59
101.90,103.31,103.33,101.65
103.71,104.09,104.33,103.45
104.01,103.74,104.01,103.45
103.79,103.92,104.55,103.31
103.33,104.19,104.23,103.06
104.06,105.39,105.60,103.67
106.24,104.73,106.24,104.36
104.34,105.05,105.32,104.27
104.09,104.45,104.65,103.53
105.19,104.33,105.19,103.91
105.15,105.83,106.17,105.14
105.95,106.07,106.40,105.70
107.41,107.76,107.79,107.08
107.22,107.59,107.64,107.06
107.35,107.72,107.95,106.86
107.94,108.03,108.36,107.37
108.36,108.33,108.42,107.40
107.21,107.36,107.57,106.85
108.38,108.26,108.49,107.51
107.65,108.09,108.16,107.42
108.62,107.83,108.76,107.55
107.87,109.18,109.29,107.78
109.75,109.26,109.75,109.09
109.60,108.82,109.64,108.50
108.70,108.46,109.13,108.26
108.55,109.18,109.25,108.03
109.36,109.34,109.73,109.13
108.56,109.42,109.69,108.14
109.37,109.32,109.69,108.84
109.39,108.62,109.75,108.52
109.02,109.46,109.73,108.94
109.29,108.88,109.68,108.59
108.64,108.23,108.71,107.84
107.01,106.41,107.14,106.09
106.57,107.30,107.45,106.50
108.11,108.53,108.71,107.59
108.67,109.33,109.60,108.53
109.26,109.07,109.58,108.79
109.80,111.09,111.09,109.47
110.91,110.52,111.26,110.22
110.58,111.36,111.39,110.25
111.32,111.37,111.54,111.12
111.10,111.67,112.08,111.09
110.96,110.98,111.11,110.40
111.13,110.96,111.33,110.64
110.02,110.01,110.39,109.42
109.72,110.16,110.25,108.88
110.94,111.58,111.61,110.92
111.57,111.24,111.83,111.23
111.29,110.53,111.33,109.75
109.84,110.45,110.59,109.32
111.13,110.72,111.17,110.12
110.52,111.59,112.01,110.36
111.37,111.41,111.79,110.65
110.32,110.07,110.60,109.69
109.80,109.87,110.34,109.66
108.24,108.48,108.76,108.00
108.29,106.18,108.50,106.06
107.18,107.33,107.66,107.10
107.42,109.11,109.17,107.42
108.71,107.90,108.87,107.89
108.57,107.82,108.73,107.30
108.66,109.37,109.70,108.49
108.78,108.99,109.33,108.62
109.03,108.74,109.88,108.16
109.15,108.73,109.43,108.73
107.39,107.68,107.75,106.73
107.86,107.84,108.23,107.42
109.08,109.46,109.50,108.68
109.30,110.41,110.61,109.21
110.74,110.86,111.11,110.00
110.76,110.30,110.86,110.02
110.26,110.97,111.85,110.12
110.29,110.87,111.10,110.08
110.78,109.64,110.94,109.42
109.09,107.98,109.10,107.75
107.67,108.06,108.36,107.63
107.25,107.47,107.57,105.80
106.22,106.93,107.63,105.62
107.79,107.19,107.93,106.93
106.44,107.25,108.06,106.41
106.17,105.89,106.66,105.66
105.82,105.21,106.31,104.95
105.57,104.43,106.04,104.41
104.35,101.93,104.47,101.93
102.25,100.76,102.54,100.61
101.03,103.10,103.16,100.84
103.35,103.33,104.19,102.81
102.41,103.79,104.01,101.73
104.07,103.94,104.27,103.04
104.02,103.99,104.34,103.69
104.72,105.31,105.49,104.41
104.36,103.30,104.40,103.20
103.20,103.03,103.55,101.80
100.96,99.93,101.32,99.85
100.08,99.52,100.34,98.48
99.05,100.70,100.88,99.01
101.52,102.99,103.02,101.42
104.25,102.68,104.42,102.56
102.57,103.43,103.56,101.87
104.36,101.79,104.56,101.60
102.06,102.82,102.90,101.44
102.50,101.75,103.04,101.40
101.83,102.54,102.96,101.58
102.82,103.60,103.73,102.70
103.13,104.29,104.46,102.91
104.94,105.46,105.90,104.72
105.40,105.32,105.92,104.64
105.35,102.68,105.48,102.58
103.12,103.27,103.56,102.64
101.90,101.52,102.10,101.04
101.48,101.73,102.06,100.73
102.10,102.60,102.81,101.73
101.85,102.64,102.65,101.28
104.91,105.36,105.36,104.32
106.00,105.81,106.01,104.93
105.79,106.77,106.88,105.79
106.67,106.55,107.00,106.05
105.61,105.40,105.70,104.84
105.35,104.86,105.39,104.43
105.59,103.69,105.66,103.26
103.81,103.53,104.07,102.95
102.75,103.09,103.52,101.97
103.35,104.63,104.78,103.35
104.46,104.25,104.63,103.68
104.73,104.97,105.12,103.45
104.63,105.78,106.14,104.61
106.09,106.04,106.36,105.47
105.28,104.84,105.55,104.78
103.04,103.65,103.96,102.61
103.84,102.44,103.84,101.80
102.71,102.62,103.26,102.14
104.23,104.36,104.63,103.48
105.00,106.49,106.81,104.76
106.47,106.22,106.91,105.84
106.13,105.62,106.53,105.61
106.08,104.97,106.24,104.90
104.04,104.37,105.07,103.54
106.09,106.50,106.76,105.94
106.81,106.81,107.23,106.68
107.52,107.86,108.36,107.43
107.43,108.10,108.17,107.43
108.02,108.24,108.48,107.88
107.85,108.28,108.34,107.55
108.37,108.19,108.37,107.46
108.77,108.03,108.83,107.74
107.85,108.49,108.60,107.84
108.49,109.36,109.51,108.29
109.51,109.70,109.73,109.32
109.52,109.36,109.61,108.88
109.80,109.32,110.25,109.07
109.12,109.17,109.47,108.61
109.01,108.43,109.01,108.19
108.19,108.96,109.15,108.07
109.51,108.85,109.52,108.70
108.53,108.94,109.20,108.49
109.11,109.13,109.32,108.66
108.59,108.39,108.69,107.99
109.21,108.97,109.27,108.12
108.97,109.26,109.52,108.13
109.27,109.11,109.43,108.80
109.79,111.35,111.47,109.79
111.44,112.06,112.19,111.38
111.95,111.56,112.25,111.51
111.58,111.88,112.15,111.50
112.14,112.31,112.42,111.90
112.37,113.66,114.00,111.81
114.09,114.65,115.32,113.92
114.27,113.78,114.47,113.45
113.42,113.14,113.44,112.89
113.38,113.48,113.70,113.02
112.91,112.98,113.06,112.27
113.69,113.06,113.74,113.01
112.22,112.19,112.46,111.93
112.65,110.62,112.65,110.58
110.76,109.94,110.76,109.40
110.42,111.08,111.33,110.05
110.55,110.75,111.07,110.18
111.46,110.75,111.81,110.50
111.20,111.05,111.46,110.59
111.39,111.40,111.72,110.83
111.83,112.36,112.36,111.53
113.00,112.38,113.28,112.09
111.72,112.02,112.34,111.72
111.86,110.94,112.11,110.86
111.08,110.24,111.08,109.98
110.72,110.73,111.48,110.65
110.64,110.17,110.95,109.89
110.50,110.93,111.01,109.87
111.48,112.13,112.14,111.37
112.09,112.63,112.79,111.99
112.51,112.73,113.06,112.29
112.26,111.01,112.42,110.74
110.94,110.89,111.18,110.12
109.47,109.74,110.06,108.68
110.16,109.21,110.30,109.02
109.90,109.52,110.24,108.75
109.53,109.36,109.90,108.62
109.59,109.49,109.96,109.10
109.72,111.57,111.59,109.44
112.08,110.41,112.08,110.38
110.32,110.88,111.03,110.00
111.24,111.87,112.10,111.08
110.44,109.67,110.72,108.98
109.63,108.10,109.83,108.10
107.44,108.32,109.20,107.44
108.66,108.24,108.68,107.99
107.68,107.98,108.94,107.55
108.34,106.37,108.46,106.14
106.25,106.25,106.78,105.60
106.40,107.01,107.12,105.68
108.27,108.89,108.89,108.02
108.65,109.09,109.23,108.36
109.10,109.39,109.42,108.94
109.94,110.73,110.73,109.78
110.30,110.45,110.61,109.87
110.30,110.06,110.63,109.90
109.51,110.73,110.79,108.97
111.47,111.33,111.47,110.69
111.47,111.45,111.60,111.07
112.32,110.99,112.46,110.87
110.81,110.92,111.29,110.50
111.27,111.19,111.51,110.29
110.95,111.61,111.67,110.94
111.83,111.97,112.12,111.47
111.82,112.34,112.46,111.82
112.74,112.85,113.19,112.57
113.28,112.92,113.58,112.74
112.91,112.27,113.21,111.96
112.19,112.08,112.47,111.95
112.34,113.20,113.23,112.30
113.34,114.76,114.76,113.33
114.13,113.51,114.16,113.51
113.68,114.12,114.23,113.31
112.66,113.29,113.43,112.52
113.05,113.01,113.16,112.65
113.35,112.19,113.35,112.19
112.31,112.21,112.58,110.97
111.54,111.18,112.13,111.18
111.06,113.10,113.21,110.91
115.57,115.97,115.97,114.91
115.93,115.86,116.47,115.51
116.15,116.74,116.85,115.82
116.27,116.32,116.43,115.95
116.05,115.89,116.26,115.44
116.24,116.40,116.58,116.09
117.20,116.91,117.20,116.21
116.91,116.83,117.02,116.46
116.67,117.06,117.17,116.56
116.55,117.57,117.64,116.44
117.35,117.38,117.56,117.10
117.83,118.44,118.71,117.76
118.64,118.71,118.85,118.13
118.94,119.64,119.67,118.67
119.67,119.59,119.75,119.27
119.80,120.17,120.67,119.59
120.57,121.16,121.17,120.37
121.32,120.85,121.62,120.45
120.77,121.20,121.20,120.39
121.12,120.70,121.35,120.58
120.68,120.86,121.18,120.46
121.73,122.02,122.16,121.24
121.36,120.78,121.75,120.68
121.34,121.76,122.07,121.24
121.50,122.23,122.27,121.39
122.16,121.97,122.38,121.13
122.11,122.79,122.79,122.08
122.81,122.64,122.81,122.35
122.59,122.93,123.14,122.50
123.35,123.21,123.51,122.85
122.90,123.42,123.52,122.80
123.52,123.31,123.72,122.98
123.53,124.08,124.11,123.39
124.08,122.07,124.08,122.01
121.79,120.99,121.88,120.44
121.54,122.28,122.28,121.50
123.00,119.89,123.00,119.89
120.45,120.65,120.83,119.46
120.62,122.42,122.78,120.58
122.47,122.44,123.27,122.31
121.82,122.64,122.78,121.16
122.46,123.23,123.27,121.98
123.88,124.58,124.76,123.69
125.05,124.67,125.15,124.54
124.72,124.98,125.17,124.72
125.70,125.92,125.99,124.98
125.67,126.17,126.19,125.49
126.15,125.99,126.21,125.61
126.08,126.42,126.51,125.79
126.69,127.20,127.23,126.58
126.93,126.85,127.10,126.58
125.56,126.20,126.71,125.40
126.49,125.70,126.60,124.85
126.50,126.85,127.07,126.24
125.87,125.77,126.67,125.48
126.20,126.33,126.42,126.04
126.25,125.53,126.63,125.02
126.13,126.44,126.44,125.79
125.57,126.48,126.62,125.27
126.54,127.29,127.42,126.29
127.33,126.28,127.40,125.93
126.87,126.14,127.06,125.91
126.23,124.43,126.36,124.06
124.36,125.19,125.20,124.35
123.51,124.78,124.99,123.20
125.08,125.92,125.95,124.52
126.00,126.20,126.66,125.65
126.59,127.75,127.80,126.43
127.87,128.41,128.84,127.77
127.75,127.96,128.16,127.20
127.23,124.29,127.32,124.18
125.40,126.27,126.30,124.96
125.55,124.31,125.55,123.51
124.70,123.71,124.72,123.17
124.24,124.96,125.08,123.69
125.35,125.43,125.77,124.05
126.07,126.85,126.89,125.59
126.75,127.24,127.50,126.75
127.59,127.99,128.61,127.59
127.71,127.41,128.00,127.02
127.99,128.29,128.48,127.69
128.34,128.97,128.97,127.71
128.60,127.43,128.79,127.37
128.08,128.53,128.72,127.70
129.95,130.03,130.52,129.48
130.09,130.60,130.72,130.00
131.03,131.55,131.55,130.58
131.27,132.16,132.17,131.27
132.03,131.71,132.30,131.49
131.93,132.59,132.59,131.56
132.31,132.36,132.57,131.89
132.53,133.93,133.94,132.53
133.65,134.68,134.88,133.65
134.34,133.85,134.85,133.70
134.35,135.29,135.30,134.33
134.98,135.27,135.77,134.98
135.41,135.44,135.88,135.01
135.81,133.64,136.63,133.12
131.86,133.31,133.53,131.86
132.49,132.85,132.86,131.70
134.45,133.67,134.92,133.17
132.85,132.59,133.11,131.81
132.66,133.38,133.84,132.66
132.82,131.75,133.72,131.67
131.87,131.62,132.07,130.31
131.54,130.77,132.23,130.10
130.29,129.00,130.54,128.88
128.90,130.37,130.37,128.46
131.22,132.10,132.16,130.47
132.58,131.99,132.61,131.51
130.87,130.43,131.71,130.02
131.53,129.30,131.53,129.10
129.12,131.58,131.80,129.10
131.62,131.02,132.18,130.77
132.10,131.99,132.50,131.38
132.21,133.08,133.27,132.17
133.14,131.19,133.14,131.13
