RFG,Guggenheim S&P Midcap 400 Pure Growth ETF,NASDAQ
62.21,62.96,62.96,61.96
63.30,62.28,63.36,62.01
62.34,61.35,62.34,61.29
61.80,61.06,61.99,60.29
60.30,61.47,61.52,60.03
62.85,62.50,62.85,62.12
62.28,62.12,62.50,61.52
62.32,62.95,62.96,62.20
62.57,62.66,62.76,62.10
61.98,62.77,62.81,61.86
63.15,63.46,63.57,62.96
62.87,62.80,63.20,62.31
61.56,60.63,61.56,60.53
59.44,60.52,60.72,58.67
60.18,59.97,60.51,59.97
59.57,60.27,60.50,59.38
60.84,61.28,61.81,60.77
61.23,61.57,61.93,60.72
61.15,60.49,61.51,60.29
60.25,60.50,60.53,59.80
60.82,59.84,61.15,59.84
58.96,58.70,59.36,58.21
58.26,59.19,59.32,57.49
59.21,58.69,59.59,58.62
59.18,60.01,60.07,58.11
59.78,59.02,60.06,59.02
58.72,59.03,59.46,58.47
60.35,61.15,61.19,59.94
61.15,62.18,62.22,61.15
63.26,63.20,63.47,62.75
62.80,62.38,63.01,62.34
62.65,63.09,63.36,62.65
63.88,63.10,63.88,62.80
63.36,63.31,63.51,63.04
64.14,64.75,64.83,64.09
64.69,64.74,65.10,64.36
64.64,65.07,65.15,64.21
65.00,64.88,65.07,64.61
65.48,65.13,65.48,64.55
65.68,67.00,67.00,65.20
66.57,66.06,66.58,65.86
65.99,65.58,66.42,65.25
65.01,65.41,66.30,64.92
66.47,67.00,67.08,66.44
67.03,67.24,67.56,66.84
67.52,67.69,67.77,66.42
67.18,67.49,67.67,67.01
68.06,67.26,68.18,66.83
67.77,67.06,67.77,66.66
67.01,66.21,67.08,65.83
67.34,67.86,68.00,67.00
67.59,66.68,69.99,66.32
67.18,66.67,67.18,66.17
66.90,67.40,67.62,66.38
67.60,67.58,68.03,67.50
67.51,68.14,68.33,66.83
68.86,68.86,69.21,68.49
68.85,68.51,69.02,68.32
69.37,68.58,69.37,67.97
68.61,68.80,68.94,68.50
67.86,67.29,68.25,66.83
67.39,68.10,68.39,67.39
68.69,68.08,69.04,67.34
68.48,69.15,69.25,68.41
69.79,69.98,70.41,69.78
69.63,70.26,70.72,69.23
69.89,70.34,70.37,69.58
70.95,70.18,70.95,69.80
70.15,70.47,70.68,69.93
71.06,70.27,71.21,69.88
70.93,71.35,71.49,70.76
71.46,71.54,71.58,70.79
72.81,72.76,72.85,72.45
72.90,73.24,73.50,72.77
73.18,73.43,73.52,72.87
73.75,72.92,73.92,72.73
73.09,73.68,73.70,72.41
73.06,73.68,73.83,72.52
72.97,72.39,73.47,71.94
73.00,72.84,73.51,72.80
72.25,71.70,72.36,71.14
72.03,72.56,72.70,71.87
73.50,73.48,74.01,73.37
73.31,74.03,74.03,73.16
73.95,75.23,75.26,73.85
74.35,74.54,74.76,74.00
75.33,76.22,76.22,75.33
75.81,76.19,76.36,75.66
75.80,75.99,76.16,74.90
75.61,76.33,76.78,75.49
77.72,77.56,77.84,77.23
77.70,77.99,78.04,77.42
77.90,78.49,78.62,77.70
78.50,78.67,78.74,78.31
79.74,78.78,79.85,78.71
79.05,78.43,79.13,78.27
79.28,78.71,79.28,78.20
78.94,79.37,79.39,78.55
79.96,78.57,79.96,78.49
78.76,78.22,78.76,78.02
78.16,77.93,78.94,77.75
78.14,78.90,78.90,77.86
78.97,79.16,79.47,78.73
79.49,78.99,79.50,78.53
79.26,79.32,79.37,79.03
79.56,79.02,79.56,78.94
79.16,78.99,79.22,78.88
79.02,78.88,79.02,78.19
78.94,78.52,79.21,78.44
78.70,78.82,78.95,78.64
78.98,78.92,79.18,78.80
78.73,78.35,78.75,78.27
78.87,79.21,79.69,78.83
79.58,78.39,79.61,77.80
78.25,78.94,79.04,78.10
79.29,78.66,79.29,78.54
78.66,78.31,78.90,77.33
78.08,79.05,79.21,77.52
79.59,79.02,79.59,78.84
79.77,79.33,79.77,79.18
79.50,79.40,79.54,79.10
79.43,79.90,79.90,79.23
79.80,80.11,80.11,79.46
80.21,78.80,80.21,78.56
78.43,77.72,78.43,77.37
78.36,77.59,78.36,77.51
77.71,77.92,78.09,77.33
77.72,77.77,77.79,77.13
78.14,78.67,78.88,77.82
78.89,79.33,79.48,78.80
79.41,77.92,79.63,77.65
78.05,78.54,78.96,77.86
79.25,79.75,79.92,78.99
79.66,79.82,80.19,79.55
79.80,80.50,80.54,79.43
80.54,81.32,81.41,80.26
81.53,82.02,82.46,81.53
82.29,82.61,82.61,81.90
82.57,82.45,82.90,82.30
82.15,83.07,83.18,81.88
82.84,84.18,84.31,82.84
84.44,84.68,84.70,84.16
84.53,83.86,84.54,83.76
84.52,84.30,84.58,83.89
84.18,84.56,84.76,83.87
85.02,84.52,85.02,84.20
83.91,82.46,84.12,82.33
82.35,80.79,82.52,79.77
81.03,81.42,81.76,80.30
82.04,82.96,82.96,82.00
83.72,83.06,83.75,82.50
83.55,81.70,83.55,81.37
81.44,82.18,82.51,81.44
83.01,83.96,84.14,83.00
84.05,83.62,84.05,83.05
83.86,82.49,84.10,81.64
82.50,83.16,83.67,82.00
83.12,83.05,83.33,82.62
82.17,82.51,83.16,81.76
81.48,82.88,83.24,81.48
82.15,82.81,83.40,82.11
80.32,82.34,82.90,80.16
82.09,81.80,83.07,81.31
82.72,81.52,82.72,81.49
82.66,81.60,82.66,81.41
83.03,83.09,83.20,82.56
83.18,82.40,83.22,82.29
82.16,82.46,82.77,81.46
83.20,83.53,83.69,82.39
83.84,84.29,84.98,83.72
84.59,83.81,84.61,83.75
83.96,84.87,84.98,83.52
85.50,86.16,86.17,85.45
85.96,86.39,86.42,85.76
87.02,86.83,87.18,86.40
87.21,86.87,87.21,86.54
86.80,87.52,87.89,86.80
88.24,87.13,88.25,86.80
87.08,86.83,87.50,86.45
87.17,86.27,87.27,85.73
86.40,85.86,86.57,85.59
85.28,85.21,85.90,85.06
86.26,86.03,86.26,85.39
85.49,85.83,85.95,85.20
85.98,86.31,86.52,85.54
85.42,85.07,85.42,84.36
85.57,85.55,85.66,85.00
87.19,87.50,87.50,86.76
88.01,88.11,88.11,87.52
88.03,88.20,88.36,87.62
88.35,88.48,88.82,88.14
88.83,89.06,89.11,88.07
89.11,89.19,89.53,88.92
89.36,89.35,89.70,88.90
89.54,88.65,89.79,88.49
88.26,87.47,88.46,87.00
87.88,87.16,88.75,86.51
86.52,86.80,87.86,86.20
87.75,87.11,88.22,86.67
87.26,87.89,88.15,87.17
88.48,89.22,89.40,88.20
89.21,88.57,89.33,88.00
88.37,89.38,89.51,87.64
89.51,88.62,89.54,88.51
88.34,87.34,88.91,87.30
86.88,86.86,87.24,86.20
86.96,88.49,88.57,86.96
88.96,88.62,89.02,87.87
88.39,87.74,88.39,87.00
86.02,86.43,86.88,86.01
86.75,86.22,86.85,85.86
85.83,87.02,87.18,85.79
87.10,88.43,88.47,87.09
88.98,88.77,89.14,88.56
89.63,89.31,89.66,88.55
89.21,87.36,89.36,87.20
87.42,87.31,87.92,86.81
86.35,85.99,87.10,85.91
85.74,84.36,85.91,84.33
84.75,84.79,85.25,84.45
84.46,83.61,84.46,83.51
83.68,84.45,84.78,83.65
83.94,83.12,84.05,82.75
83.15,82.92,83.90,82.45
83.64,84.44,84.70,83.64
83.88,83.32,84.41,83.10
83.39,82.97,83.56,82.13
83.66,82.97,83.74,82.86
82.80,83.84,83.95,82.48
84.25,85.92,86.01,84.25
85.54,85.38,86.32,85.30
84.57,86.14,86.17,83.98
86.19,85.45,86.37,85.21
85.57,86.12,86.36,84.88
86.39,87.79,87.81,86.32
88.39,88.12,88.62,87.58
88.49,88.71,89.08,88.40
88.89,90.03,91.06,88.58
90.44,90.50,90.56,89.66
90.63,91.33,91.42,90.20
92.33,92.50,92.67,92.12
91.27,92.02,92.03,90.66
91.49,89.91,91.49,89.65
89.44,89.29,90.00,89.17
90.04,89.88,91.02,89.80
90.07,88.76,90.62,88.34
89.29,89.17,89.29,88.28
88.82,88.03,88.84,87.55
88.76,90.36,90.39,88.41
90.37,89.39,90.47,88.93
89.80,89.93,90.49,89.33
90.01,90.56,90.75,89.80
89.52,89.59,90.28,89.16
89.51,89.16,89.92,89.06
88.81,86.33,88.81,86.30
86.94,86.74,88.22,86.73
85.62,86.46,87.12,84.90
88.22,86.23,88.22,85.00
85.41,83.65,86.54,83.55
83.72,84.73,84.75,81.67
83.49,79.23,83.49,79.23
79.89,77.63,80.25,75.56
74.76,70.77,75.53,70.77
71.58,75.81,75.83,70.51
73.99,73.63,76.26,73.43
73.81,77.68,78.62,73.81
78.17,78.59,78.87,77.21
79.68,80.02,80.03,78.66
78.92,78.56,79.30,77.58
79.00,77.48,79.42,76.84
74.51,72.64,75.00,72.07
71.53,71.29,74.00,71.17
73.63,71.68,73.63,71.38
72.05,75.36,75.36,71.54
75.00,76.03,76.18,74.56
76.65,74.24,76.75,74.10
73.95,76.75,76.94,72.86
77.94,80.03,80.06,77.94
79.52,80.59,81.23,79.27
81.59,80.67,82.47,80.01
81.10,79.32,81.81,79.20
77.63,76.94,78.31,76.43
74.47,76.47,76.63,74.00
78.24,79.27,79.30,77.78
78.63,78.30,79.77,77.93
77.41,76.22,78.11,75.56
75.10,77.01,77.01,74.85
77.39,78.37,78.70,76.98
78.97,79.92,80.89,77.72
80.87,80.88,81.04,79.66
81.08,81.11,81.50,80.42
79.66,80.62,81.13,79.00
80.94,79.49,81.69,79.49
79.68,77.39,80.09,77.39
75.90,74.37,75.90,73.21
74.06,75.58,75.69,74.04
76.27,77.12,77.12,74.23
78.71,78.14,79.89,77.75
78.40,75.78,78.80,75.70
77.45,75.50,77.45,73.43
74.19,73.19,75.27,73.12
73.14,69.35,73.45,69.35
68.43,72.17,72.32,67.99
72.27,73.81,74.13,71.18
73.46,75.61,75.61,73.44
76.00,74.66,76.29,74.31
75.95,77.31,77.50,75.80
76.76,77.66,78.35,76.48
78.27,78.66,79.44,78.27
78.03,78.99,79.31,77.53
80.02,80.51,80.67,79.40
79.76,78.04,80.20,77.89
78.16,79.28,79.69,76.64
79.15,77.62,79.68,77.42
77.84,77.60,77.87,76.06
78.48,79.08,79.42,78.29
79.58,81.85,82.05,79.28
81.36,79.91,81.53,79.75
81.26,80.67,81.26,78.50
82.60,84.05,84.80,82.09
83.79,84.34,84.64,83.60
83.58,82.13,83.59,82.13
78.56,79.51,80.69,78.56
80.93,80.79,81.10,79.62
82.13,82.90,83.08,80.21
82.14,83.34,83.44,81.63
83.17,83.13,83.68,81.71
84.02,84.04,84.14,82.17
81.87,80.34,82.01,80.11
81.05,79.65,81.05,78.97
80.29,81.74,82.08,80.29
81.47,81.11,82.00,80.77
80.79,82.17,82.51,80.50
81.22,80.89,82.67,80.84
80.62,79.13,80.87,78.73
79.70,78.50,79.70,78.23
77.17,77.05,77.55,76.10
76.97,76.59,77.40,76.00
75.99,74.82,75.99,74.67
74.23,74.14,75.17,74.13
76.19,77.12,77.50,76.19
77.28,76.96,77.61,76.62
79.99,80.56,80.56,79.57
80.47,80.55,81.33,80.16
80.92,80.56,81.81,80.53
82.03,82.08,82.80,81.58
81.93,81.57,82.15,81.25
80.79,80.91,81.36,79.90
80.07,79.04,80.81,78.93
79.26,81.19,81.39,79.10
79.76,79.91,79.92,79.14
80.60,77.76,80.97,77.26
77.03,76.21,77.14,75.72
77.21,76.32,77.30,75.94
76.97,76.94,78.10,76.81
77.24,75.85,77.54,75.75
77.22,78.44,78.55,76.81
78.23,78.26,78.42,77.06
78.49,78.85,78.99,78.36
78.96,79.46,79.46,78.79
79.11,79.74,80.06,79.11
79.73,78.21,79.73,78.15
78.53,79.06,79.21,78.28
78.83,78.48,79.21,78.48
79.57,78.86,80.42,78.76
78.26,78.81,79.00,78.21
78.18,79.54,79.63,77.91
79.27,79.72,80.24,79.19
79.97,80.23,80.37,79.46
81.29,81.60,81.66,81.14
81.17,81.91,81.99,81.17
82.01,82.26,82.37,81.57
81.49,81.89,82.12,81.23
82.63,82.37,82.92,82.12
82.22,83.45,83.45,82.10
83.59,84.10,84.56,83.52
84.09,83.84,84.19,83.58
83.87,83.87,84.50,83.11
83.45,84.52,84.54,83.35
84.20,85.39,85.45,83.96
85.73,84.20,85.73,83.89
83.87,84.95,85.14,83.71
84.34,84.47,84.82,83.67
85.04,84.58,85.20,84.25
85.24,86.17,86.25,85.09
86.58,86.36,86.87,86.25
87.45,87.66,87.85,86.71
87.14,87.78,87.99,87.08
87.52,87.92,88.07,87.20
88.17,88.03,88.34,87.39
88.45,88.35,88.47,87.61
87.51,87.38,87.75,87.08
88.42,88.65,88.67,87.77
88.15,88.89,88.90,88.15
89.29,88.59,89.44,88.29
88.87,89.67,89.76,88.59
90.02,89.38,90.07,89.20
89.41,88.93,89.56,88.54
88.82,88.85,89.23,88.50
88.88,89.40,89.68,88.50
89.63,89.66,89.85,89.35
89.01,89.62,89.93,88.46
89.62,89.33,89.87,88.77
89.49,88.87,89.76,88.85
89.21,89.75,90.07,89.05
89.54,88.91,89.82,88.46
88.72,88.20,88.80,87.95
87.20,86.42,87.20,86.22
86.71,87.17,87.33,86.50
87.81,88.20,88.50,87.36
88.24,88.83,89.26,88.24
88.92,88.47,89.02,88.29
88.94,89.93,89.93,88.69
89.94,89.38,90.06,89.10
89.43,90.00,90.09,89.18
90.00,89.76,90.07,89.70
89.64,90.07,90.60,89.56
89.34,89.53,89.81,89.25
89.71,89.74,90.25,89.48
89.03,89.17,89.27,88.50
89.11,89.53,89.56,88.38
90.31,91.06,91.15,90.31
91.12,90.52,91.13,90.51
90.49,89.84,90.54,89.25
89.16,89.70,89.84,88.73
90.29,89.64,90.36,89.46
89.46,90.31,90.79,89.29
90.08,90.71,91.05,90.08
89.80,89.17,89.87,88.92
89.01,89.32,89.49,89.01
88.11,88.14,88.37,87.56
88.10,85.97,88.13,85.82
86.75,86.99,87.22,86.73
87.24,88.43,88.71,87.24
88.23,87.54,88.40,87.53
88.15,87.22,88.15,86.64
87.92,88.64,88.97,87.92
88.53,88.93,89.13,88.52
88.85,88.64,89.63,88.16
89.18,88.81,89.50,88.76
87.56,87.74,87.75,86.75
87.74,87.21,87.76,86.99
88.33,88.77,88.95,88.33
88.99,90.61,90.86,88.99
90.78,90.63,90.83,90.00
90.76,89.91,90.76,89.75
89.92,90.45,91.14,89.71
89.83,90.69,90.83,89.80
90.43,88.91,90.43,88.57
88.23,87.27,88.23,87.11
86.98,87.16,87.47,86.76
86.61,86.81,86.85,85.00
85.70,86.66,86.89,85.42
87.34,86.61,87.50,86.41
86.21,87.09,87.60,86.21
86.32,85.91,86.57,85.63
85.85,85.84,86.52,85.58
86.05,85.33,86.58,85.33
85.23,83.09,85.27,83.08
83.09,81.91,83.54,78.98
81.91,83.90,83.94,81.63
84.11,84.02,84.79,83.53
83.31,84.69,84.78,82.92
84.80,85.07,85.24,84.16
85.08,85.10,85.35,84.83
85.96,86.10,86.50,85.31
85.38,84.74,85.38,84.50
84.68,84.24,84.68,83.09
82.53,81.37,82.82,81.21
81.38,81.29,81.85,80.20
80.88,82.18,82.29,80.72
82.92,83.39,83.62,82.60
84.65,82.86,84.65,82.70
82.62,83.50,83.53,82.11
85.15,81.94,85.15,81.84
82.18,82.51,82.54,81.51
82.23,80.90,82.32,80.70
81.18,81.46,81.94,80.79
81.78,82.48,82.63,81.58
82.36,83.44,83.50,82.16
83.98,84.27,84.57,83.73
84.16,84.07,84.57,83.62
83.98,81.85,84.16,81.81
82.20,82.34,82.45,81.78
81.40,81.04,81.40,80.68
81.35,81.69,81.95,81.00
82.02,82.03,82.21,81.77
81.50,81.97,81.97,80.89
83.30,84.31,84.38,83.30
84.70,84.69,84.71,84.09
84.81,85.64,85.85,84.81
85.67,85.79,86.01,85.21
84.95,84.55,84.95,84.00
84.51,84.67,85.02,84.30
85.16,83.64,85.33,83.32
83.72,83.21,83.84,82.65
82.57,83.00,83.31,81.95
83.23,84.12,84.24,83.23
83.95,83.73,83.96,83.27
84.17,84.33,84.38,83.00
83.91,84.80,85.06,83.88
85.10,85.31,85.56,84.97
84.78,84.34,84.78,84.28
82.96,83.24,83.40,82.24
83.15,81.90,83.15,81.53
82.50,82.46,82.82,81.95
83.51,83.45,83.51,82.87
84.15,84.98,85.34,83.75
84.98,84.50,85.33,84.24
84.18,83.73,84.58,83.67
83.99,82.82,84.41,82.81
82.25,82.57,82.99,82.03
83.06,84.15,84.44,83.06
84.41,84.84,85.12,84.39
85.24,86.01,86.40,85.24
85.65,85.96,86.32,85.65
85.95,86.06,86.27,85.82
85.68,86.10,86.12,85.54
85.94,85.98,86.12,85.24
86.48,85.95,86.48,85.77
85.78,86.56,86.57,85.78
86.54,87.38,87.57,86.54
87.40,87.91,88.00,87.40
87.63,87.42,87.76,87.19
87.85,87.54,88.32,87.37
87.40,87.56,87.75,87.06
87.50,87.20,87.60,86.93
87.00,87.33,87.55,86.86
87.68,87.41,87.80,87.27
87.37,87.87,88.07,87.31
87.92,87.94,88.12,87.67
87.46,87.21,87.59,86.88
87.86,87.83,87.86,86.76
88.12,88.95,89.16,87.55
89.01,88.91,89.15,88.57
89.33,90.60,90.85,89.33
90.77,91.08,91.30,90.44
90.80,90.70,91.18,90.36
90.70,90.73,90.99,90.61
90.98,90.81,91.13,90.57
91.02,91.46,92.00,90.50
91.96,92.34,92.76,91.96
92.05,91.63,92.10,91.52
91.45,91.09,91.45,90.89
91.43,91.19,91.43,91.01
90.69,90.61,90.70,90.24
91.16,90.43,91.17,90.43
90.03,90.32,90.60,89.23
90.77,89.13,90.77,89.03
89.16,88.50,89.24,88.05
88.96,89.80,89.89,88.82
89.41,89.84,89.85,89.09
89.94,89.34,90.13,88.78
89.52,89.57,89.63,89.12
89.81,89.54,89.81,89.24
89.70,90.07,90.07,89.35
90.54,89.86,90.83,89.67
89.47,89.53,89.87,89.39
89.47,88.36,89.47,88.33
88.42,87.91,88.60,87.76
88.11,88.29,88.56,88.11
88.42,87.86,88.57,87.69
88.11,88.39,88.39,87.65
88.83,89.36,89.42,88.83
89.41,89.67,89.87,89.18
89.46,89.35,89.56,88.99
88.81,87.98,88.85,87.70
87.85,87.81,88.03,87.12
87.00,87.48,87.81,86.65
87.80,87.24,87.80,87.00
87.66,87.01,87.99,86.57
87.03,87.06,87.63,86.56
87.44,88.19,88.20,87.30
88.19,90.27,90.27,88.19
90.46,88.92,90.46,88.92
88.84,89.42,89.46,88.68
89.74,90.42,90.52,89.74
89.34,88.74,89.50,88.16
88.61,87.61,88.71,87.57
86.97,87.56,88.18,86.82
87.95,87.66,88.00,87.42
87.17,87.43,88.03,87.01
87.82,86.32,87.85,86.19
86.22,86.12,86.32,85.63
86.13,86.94,87.03,85.82
87.92,88.73,88.73,87.23
88.62,89.00,89.00,88.62
89.24,89.22,89.36,88.87
89.65,90.23,90.29,89.60
90.14,90.27,90.49,89.77
90.29,90.15,90.69,90.12
89.87,90.94,90.94,89.27
91.40,91.72,91.79,91.06
91.86,91.31,91.86,91.07
91.91,91.06,91.91,90.93
91.17,91.18,91.30,90.62
91.32,91.48,91.68,90.63
91.44,91.56,91.83,91.25
91.44,91.40,91.45,91.09
91.50,91.84,92.06,91.40
92.49,92.39,92.65,92.28
92.66,92.22,92.99,92.17
92.23,91.64,92.56,91.42
91.50,91.29,91.75,91.15
91.59,91.93,91.93,91.40
92.09,92.99,93.15,91.96
93.26,92.63,93.37,92.63
92.88,92.91,92.95,92.13
91.32,91.73,92.12,91.00
91.41,91.12,91.46,90.90
91.30,90.12,91.47,90.12
90.30,90.17,90.42,88.91
89.40,89.48,90.16,89.35
89.50,91.26,91.40,89.31
93.92,93.65,93.92,92.65
93.60,93.49,94.13,93.25
93.85,94.22,94.37,93.55
94.01,93.98,94.21,93.61
94.01,93.99,94.17,93.42
94.27,94.40,94.65,94.27
94.83,94.35,95.72,93.92
94.55,94.19,94.55,93.92
94.13,94.05,94.46,93.89
93.69,94.67,94.69,93.51
94.70,94.67,95.40,94.25
95.13,95.36,95.58,94.88
95.32,95.31,95.32,94.69
95.40,95.74,95.74,95.11
95.80,95.82,95.99,95.50
95.83,96.17,96.71,95.78
96.73,97.14,97.24,96.35
97.42,96.71,97.45,96.58
96.96,96.70,96.96,96.30
96.70,95.93,96.70,95.73
95.92,96.69,96.79,95.92
97.15,97.32,97.64,96.88
96.80,96.29,97.24,96.01
97.09,97.22,97.40,96.69
96.80,97.64,97.73,96.80
97.49,97.25,97.66,96.51
97.53,97.84,97.99,97.30
97.99,97.71,98.04,97.50
97.64,97.92,98.18,97.64
97.87,97.86,98.16,97.40
97.73,98.19,98.32,97.73
98.18,98.06,98.57,97.86
98.15,98.43,98.58,98.05
98.38,96.47,98.38,96.47
96.31,95.17,96.31,94.83
95.71,96.23,96.23,95.50
96.68,94.07,96.75,94.07
94.42,94.70,94.81,93.64
94.67,96.20,96.52,94.67
96.37,96.36,97.11,96.36
95.71,96.21,96.41,94.79
95.88,96.52,96.68,95.70
97.39,98.27,98.32,97.39
98.41,98.48,98.78,98.22
98.74,98.85,98.96,98.44
99.30,99.64,99.70,98.72
99.37,99.30,99.50,99.07
99.37,99.30,99.54,99.10
99.35,99.78,100.00,99.16
100.06,100.67,100.67,100.06
100.28,99.93,100.42,99.90
99.19,99.76,100.25,99.05
99.97,99.10,100.21,98.51
99.98,100.74,100.94,99.95
100.17,99.67,100.62,99.43
100.07,99.87,100.19,99.79
100.30,99.59,100.63,99.15
100.09,100.23,100.29,99.66
99.59,100.45,100.48,99.09
100.73,101.08,101.14,100.30
101.07,99.54,101.16,99.31
100.02,98.95,100.15,98.75
99.25,97.37,99.31,96.96
97.57,97.98,98.01,97.33
96.62,97.80,97.80,96.08
97.92,98.48,98.48,97.45
98.64,98.47,98.95,97.98
98.79,99.95,100.01,98.79
100.29,100.39,100.76,100.14
100.07,100.00,100.15,99.45
99.58,96.75,99.58,96.41
97.57,98.19,98.24,97.04
97.72,96.50,97.72,95.67
96.62,95.52,96.96,95.23
96.76,97.54,97.63,96.21
97.51,97.79,98.02,96.58
98.40,99.14,99.32,98.18
99.12,99.54,99.70,98.80
100.00,100.73,101.39,100.00
100.71,100.38,100.89,100.03
100.90,101.16,101.36,100.45
101.10,101.68,101.68,100.66
101.34,99.83,101.50,99.83
100.29,100.95,101.13,100.14
102.08,102.58,103.17,102.08
102.56,103.27,103.47,102.56
103.62,104.35,104.40,103.62
104.00,104.42,104.45,103.92
104.09,104.13,104.31,103.70
104.01,104.77,104.77,103.86
104.64,104.71,104.93,104.10
105.01,106.00,106.03,105.00
105.80,106.48,106.74,105.80
106.34,105.76,106.72,105.51
106.19,107.03,107.12,106.09
106.75,106.93,107.39,106.75
107.10,107.11,107.36,106.63
107.31,105.16,108.03,104.68
103.77,105.24,105.29,102.45
104.63,104.64,104.71,103.69
106.14,105.82,106.69,105.20
105.05,104.87,105.25,104.00
105.06,106.09,106.28,105.06
105.56,104.98,106.67,104.98
105.15,104.29,105.15,102.93
104.34,103.48,104.95,102.97
103.08,101.44,103.42,101.39
101.52,102.86,102.86,101.24
103.46,103.90,104.07,102.83
104.42,104.21,104.42,103.60
103.12,102.86,103.97,102.29
103.57,101.84,103.57,101.57
101.77,103.67,103.77,101.50
103.58,103.11,103.88,102.85
103.60,103.48,103.86,103.00
103.76,104.42,104.63,103.74
