GD,General Dynamics Corporation Common Stock,NASDAQ
77.53,77.91,78.33,77.37
78.47,78.23,78.96,77.74
77.70,77.41,77.97,76.74
76.97,76.47,77.19,76.32
76.20,76.81,77.13,75.94
77.08,77.54,77.58,76.68
77.54,77.30,78.18,77.14
77.35,76.85,77.35,76.07
76.87,76.71,76.97,76.30
76.43,76.46,77.06,76.19
76.22,76.04,76.95,75.53
75.94,76.14,76.32,75.61
76.34,76.94,77.06,76.19
77.02,78.05,78.24,76.75
77.56,78.21,78.30,76.60
78.28,78.60,78.64,77.57
78.38,78.67,79.00,78.26
78.50,76.56,78.70,76.52
76.72,76.98,77.35,75.95
77.55,77.96,78.10,76.58
78.12,76.36,78.33,76.33
76.83,77.55,77.58,76.36
76.81,75.28,76.81,74.72
74.65,74.96,75.61,74.32
74.52,72.06,75.23,64.58
72.10,70.50,72.10,69.46
73.00,73.11,74.25,71.43
72.68,72.65,73.54,72.13
72.97,74.09,74.47,72.78
74.03,72.96,74.39,72.88
72.30,71.71,72.67,70.90
72.04,71.77,72.32,70.34
71.81,70.55,72.34,70.44
70.14,69.68,70.35,68.55
68.22,66.30,68.26,66.30
65.39,67.45,67.68,64.90
67.28,65.96,67.28,65.88
64.06,66.04,66.16,64.00
66.52,66.38,67.45,66.18
67.20,68.48,68.48,67.17
68.49,67.90,68.69,67.52
67.00,66.74,68.42,66.73
67.17,67.92,67.99,65.95
68.20,68.07,69.10,67.65
67.06,65.18,67.06,64.95
65.32,62.08,65.32,61.97
62.10,62.65,62.93,61.79
62.79,62.55,63.84,62.33
63.30,64.07,64.24,63.24
63.41,64.58,64.70,62.95
65.13,64.31,65.41,64.15
64.89,66.62,66.67,64.65
66.10,66.29,66.61,65.87
66.22,66.31,66.55,65.44
66.42,66.90,67.09,66.42
67.98,66.78,68.08,66.45
67.11,65.45,67.35,65.31
65.55,64.89,65.63,64.01
64.67,63.25,65.10,63.14
63.35,63.22,63.68,62.31
63.42,62.26,63.42,62.16
61.33,59.43,61.57,59.20
58.92,58.56,59.69,58.47
58.61,58.50,58.84,57.68
58.79,58.70,59.25,58.30
59.08,58.64,59.71,58.12
58.87,60.22,60.27,58.58
60.58,60.97,61.08,60.31
60.78,60.84,60.86,60.00
60.34,59.87,60.43,59.52
60.42,60.56,60.83,60.07
60.26,61.61,61.61,60.16
61.60,61.47,61.83,60.45
60.97,58.90,61.29,58.75
58.84,58.60,59.04,58.20
57.91,59.21,59.22,56.93
59.53,59.28,60.44,59.00
59.90,61.03,61.40,59.90
60.98,61.29,61.87,60.48
61.31,62.49,63.08,61.29
62.57,61.77,62.74,61.70
61.52,61.80,62.57,61.22
62.30,61.73,62.69,61.03
60.99,61.25,61.52,60.58
62.06,62.91,63.15,61.74
62.61,62.67,63.20,62.44
62.93,63.34,63.46,62.72
63.07,63.77,63.79,62.89
63.28,63.78,64.02,62.97
64.05,64.32,64.40,63.87
63.63,64.09,64.44,63.09
63.17,61.32,63.18,61.02
60.28,60.72,61.02,60.21
60.52,60.67,61.16,60.40
60.27,60.42,60.70,59.75
61.10,62.34,62.79,61.03
62.55,62.49,62.67,62.00
62.31,60.62,62.35,60.39
60.17,60.23,60.51,59.71
60.14,59.33,60.36,59.24
58.45,57.87,58.79,57.62
57.51,56.99,57.71,56.27
57.15,56.83,57.72,56.65
56.59,57.37,57.41,55.46
57.13,56.57,57.53,56.52
56.26,55.87,56.43,55.68
56.70,57.78,58.00,56.23
58.14,58.95,58.96,57.81
59.54,59.72,59.99,59.25
59.24,58.49,59.30,57.72
58.80,59.49,59.85,58.59
60.00,59.82,60.42,59.26
60.11,61.13,61.25,59.85
61.76,62.18,62.88,61.76
61.94,61.46,62.07,61.15
61.02,61.27,61.30,60.53
61.17,61.31,61.37,60.87
61.52,62.69,62.81,61.44
63.11,63.63,63.73,62.35
63.61,63.61,64.21,63.25
63.63,62.87,63.92,62.58
62.34,61.98,62.85,61.86
62.55,63.68,63.75,62.55
63.83,63.13,63.96,63.02
63.25,63.27,63.35,62.23
62.97,63.06,63.19,62.35
63.49,62.81,64.60,62.62
63.33,62.46,63.43,62.38
62.42,61.75,62.73,61.51
62.39,63.41,63.48,61.89
63.14,63.64,63.77,63.02
63.81,63.13,64.03,62.80
63.14,63.37,63.65,62.69
63.48,63.13,63.53,62.99
62.97,63.37,63.57,62.13
63.58,64.06,64.52,63.58
64.12,63.17,64.20,62.92
63.50,63.93,64.05,62.90
63.94,64.37,64.48,63.55
63.45,62.96,63.67,62.17
63.26,63.83,64.35,63.23
64.17,64.55,65.16,64.17
64.54,64.50,64.73,64.04
65.11,64.06,65.13,63.99
63.83,64.09,64.43,63.43
64.24,65.42,65.53,63.48
66.32,67.78,67.88,66.02
67.39,68.12,68.13,67.29
68.33,67.86,68.85,67.31
68.54,67.99,69.10,67.98
68.21,67.95,68.77,67.27
68.81,69.17,69.30,68.25
69.10,69.66,69.97,68.90
69.14,69.40,69.80,68.96
69.53,69.20,69.61,68.90
69.06,68.21,69.10,67.98
67.72,67.42,68.00,67.08
67.06,66.50,67.18,66.25
66.59,66.55,67.19,66.22
66.04,65.54,66.38,65.08
65.59,65.39,65.73,64.83
65.92,67.05,67.06,65.44
67.09,66.60,67.22,66.24
66.30,66.26,66.60,65.57
65.63,66.48,66.62,65.48
66.78,68.02,68.47,66.78
67.40,67.12,67.70,66.84
66.51,66.31,66.52,65.05
65.82,66.09,66.59,65.44
67.03,67.62,67.81,67.03
67.85,67.80,68.40,67.38
67.56,67.58,67.87,67.28
67.59,67.63,67.80,66.96
68.33,68.73,69.13,68.13
68.72,68.47,68.77,67.92
68.91,68.89,69.18,67.96
68.91,69.56,69.73,68.78
69.71,69.40,69.84,68.53
69.18,69.98,70.39,69.18
69.70,69.35,69.98,69.26
69.76,70.42,70.49,69.31
70.32,70.28,70.50,69.73
70.39,70.01,70.47,69.63
70.18,70.19,70.72,70.01
70.51,70.53,70.53,70.10
70.37,71.02,71.34,70.31
70.83,71.10,71.33,70.52
71.11,71.02,71.24,70.44
71.11,70.83,71.44,70.77
70.54,70.77,71.11,70.32
70.60,70.96,71.33,70.24
70.26,69.97,70.57,69.87
70.23,70.29,70.42,69.45
69.96,70.61,70.82,69.84
70.44,71.39,71.99,70.20
71.74,72.01,72.30,71.40
71.75,71.18,71.75,70.86
71.45,71.25,71.78,71.02
71.52,71.16,71.90,71.06
71.85,71.78,72.15,71.44
71.67,72.18,72.28,71.22
72.38,72.73,73.04,71.61
72.16,72.67,72.67,71.86
72.49,73.45,73.47,72.47
73.70,72.97,73.86,72.88
72.46,72.74,73.09,72.27
72.68,74.17,74.28,72.58
74.20,74.64,75.19,72.92
74.60,76.20,76.50,74.60
76.05,74.13,76.20,73.85
74.25,75.40,75.41,74.16
75.49,76.03,76.13,75.06
75.83,76.08,76.75,75.77
76.44,75.66,76.44,75.32
75.86,75.62,75.98,75.29
75.93,76.44,76.49,75.72
77.04,77.85,77.96,76.64
77.58,77.90,78.21,77.18
77.89,77.26,77.90,77.05
77.08,77.45,77.72,76.59
77.59,76.87,77.65,76.50
76.41,77.62,77.72,76.08
77.70,77.05,77.80,76.22
76.77,77.30,77.51,76.57
77.85,78.11,78.27,77.69
77.30,76.22,77.34,75.95
76.04,75.45,76.73,74.89
75.54,76.11,76.45,75.13
76.29,75.94,76.80,75.56
76.27,76.12,76.79,75.93
76.35,75.07,76.87,74.90
74.74,75.11,75.44,74.18
75.86,77.66,78.12,75.86
76.13,76.32,76.60,74.88
76.42,75.45,77.00,75.07
75.54,76.56,76.88,75.48
76.32,76.98,77.01,75.81
76.16,75.35,76.29,75.16
75.55,76.13,76.66,74.37
75.43,75.48,75.93,74.65
73.51,74.83,75.28,73.31
74.77,73.75,74.83,73.22
75.00,73.96,75.39,73.57
75.15,74.38,75.28,73.74
75.03,75.71,76.44,74.96
75.83,76.04,76.28,75.67
76.03,76.23,76.62,75.64
76.56,76.85,76.98,76.01
76.93,76.51,77.14,76.34
76.59,75.93,76.74,75.72
75.91,76.27,76.50,75.56
76.71,76.00,76.71,75.52
75.83,76.56,76.99,75.70
76.83,77.42,78.00,76.73
74.70,73.37,74.70,72.12
73.25,74.60,74.89,73.02
74.68,74.74,74.88,74.10
74.66,74.95,75.20,74.27
75.24,74.51,75.37,74.27
74.44,73.75,74.76,73.56
73.47,72.92,73.59,72.63
73.32,71.81,73.44,70.98
71.44,71.46,71.80,70.93
71.81,71.88,72.38,71.14
71.01,70.79,71.19,70.47
71.00,71.06,71.43,70.85
71.83,72.37,72.73,71.28
72.86,72.25,72.86,72.15
72.35,72.14,72.51,71.95
72.56,72.64,73.15,72.25
72.92,72.72,73.64,72.26
72.42,71.55,72.55,70.54
71.76,72.82,72.95,71.73
73.15,73.59,74.25,73.06
73.42,74.31,74.45,73.17
74.40,73.71,74.86,73.64
73.36,73.69,74.59,73.04
74.51,74.44,74.80,73.93
74.33,74.57,75.07,74.06
74.17,74.49,74.80,73.78
74.32,74.74,74.97,74.16
74.61,74.81,75.29,74.33
74.74,74.37,74.99,73.73
74.22,74.24,74.63,73.66
73.98,73.50,74.34,72.86
73.74,74.00,74.30,73.27
74.53,73.88,74.98,73.76
73.80,73.03,73.89,72.86
72.22,71.39,72.77,71.38
71.54,70.95,71.96,70.80
70.80,70.53,70.80,70.17
70.29,70.20,70.61,69.83
70.53,71.26,71.54,70.46
73.19,74.22,74.68,72.77
73.83,71.80,74.14,71.79
71.97,71.42,72.50,71.35
70.53,70.60,70.86,70.04
70.41,70.70,71.11,70.32
71.05,70.66,71.15,70.59
70.63,70.40,70.85,70.04
70.68,70.49,70.94,70.06
70.17,69.37,70.64,69.20
69.69,69.64,69.88,69.23
70.33,70.44,70.82,70.30
69.98,70.85,71.07,69.95
71.08,71.28,72.05,70.85
71.88,71.67,72.55,71.48
71.27,72.77,72.88,71.22
73.02,73.40,73.74,73.02
73.08,73.36,74.05,73.01
72.46,72.90,73.00,72.00
72.88,72.29,73.20,72.06
72.47,73.26,73.48,72.20
73.46,73.74,74.04,73.30
73.82,73.90,73.99,73.46
74.09,74.52,74.98,73.83
74.44,75.81,75.93,74.34
75.54,74.90,75.81,74.42
75.03,74.63,75.33,74.49
75.43,75.60,75.64,74.50
75.05,74.66,75.05,74.30
73.90,73.74,74.38,73.58
73.52,72.98,73.88,72.90
73.40,72.65,73.68,72.41
72.73,71.37,72.74,71.20
71.48,70.36,71.48,69.70
69.95,69.46,70.13,69.03
69.85,69.93,70.03,69.39
70.62,69.94,70.85,69.66
70.26,71.57,71.92,70.07
71.61,70.80,71.61,70.72
70.48,71.15,71.50,70.08
70.92,70.32,71.09,70.27
71.02,68.63,71.04,68.16
68.54,67.75,69.67,67.66
67.37,68.14,68.63,66.56
68.45,67.51,68.45,66.34
67.14,66.16,68.05,66.16
66.09,65.90,66.50,64.73
64.62,63.22,65.13,63.17
64.06,64.44,64.88,62.66
62.88,60.80,63.72,60.78
60.78,62.42,62.56,58.12
61.17,58.38,61.17,58.21
58.65,61.51,62.34,58.58
62.12,61.18,62.24,60.82
61.84,62.77,62.83,61.63
61.47,62.04,62.50,61.23
62.30,61.88,62.58,61.04
59.89,58.23,60.09,57.75
57.46,57.47,58.86,57.39
58.57,58.20,58.90,57.90
58.39,59.51,59.51,58.00
59.48,61.00,61.12,59.34
61.32,60.00,61.69,59.79
59.62,61.28,61.49,58.71
61.95,63.01,63.05,61.88
62.96,63.95,64.29,62.30
64.43,64.08,64.89,63.46
64.08,63.10,64.66,62.92
62.06,60.94,62.06,60.74
59.27,60.30,60.41,58.72
61.12,61.35,61.85,60.61
60.65,60.40,61.63,60.30
59.56,59.00,59.79,58.40
58.59,58.90,58.95,57.77
58.97,58.99,60.01,58.45
59.33,59.86,60.66,57.94
60.23,61.22,61.44,60.21
61.75,60.60,61.75,60.20
59.67,60.17,60.40,59.30
60.43,59.55,60.65,59.50
59.80,57.27,59.92,57.22
56.08,55.87,56.20,55.27
53.97,55.92,56.69,53.95
56.49,56.85,57.45,56.05
57.59,58.29,59.16,57.59
58.37,57.44,58.95,57.35
58.38,58.18,59.24,57.09
57.45,56.89,58.36,56.88
56.85,55.67,57.72,55.60
55.02,57.11,57.20,54.72
56.78,57.71,57.84,56.40
57.85,58.95,58.97,57.57
59.44,59.55,60.29,58.96
60.56,61.68,61.68,60.56
61.19,61.48,61.79,61.14
62.04,62.52,63.22,61.74
61.90,61.81,62.05,60.91
62.58,62.04,62.74,61.59
61.86,60.93,62.31,60.79
61.02,62.64,63.28,60.35
62.70,62.47,63.25,62.35
62.63,63.15,63.46,61.81
63.60,65.32,65.33,63.58
65.28,65.63,65.91,64.95
65.24,65.26,66.08,64.60
66.42,63.89,66.42,63.56
65.56,65.61,66.17,64.32
65.53,65.47,66.25,65.03
64.97,64.19,65.53,64.19
62.79,61.43,63.20,60.79
62.44,61.95,62.62,61.77
62.47,63.63,63.97,62.47
63.15,63.45,63.53,62.47
63.25,64.20,64.28,62.85
64.69,65.13,65.17,63.84
63.65,62.96,63.89,62.72
63.90,63.38,63.97,62.94
64.30,65.72,65.88,64.30
65.50,65.31,66.38,65.12
65.30,65.99,66.35,64.84
65.36,65.02,65.59,64.76
64.83,63.42,64.83,62.89
64.13,63.84,64.13,63.01
62.84,63.07,63.31,61.28
63.13,63.62,63.82,62.15
62.72,60.64,62.75,60.60
60.77,61.13,62.15,60.75
63.90,64.06,64.35,63.24
64.35,63.89,64.55,63.75
65.85,66.06,66.38,65.52
66.07,66.50,66.95,65.98
66.87,65.72,67.36,65.63
66.83,65.65,66.88,65.33
65.71,65.86,66.34,65.53
65.20,65.66,66.04,64.70
65.41,64.15,65.77,63.98
64.63,65.07,65.28,64.52
64.59,64.01,64.97,63.55
64.51,63.50,64.95,63.19
63.39,63.21,63.76,63.11
63.92,63.30,64.11,63.15
63.38,63.20,64.39,62.60
63.05,62.46,63.89,62.31
63.43,64.84,65.13,63.42
64.80,64.78,64.98,64.06
64.98,66.14,66.36,64.71
66.22,66.36,66.57,65.57
66.39,66.56,66.79,66.00
66.58,65.95,66.88,65.70
66.22,66.92,67.02,66.01
67.01,66.41,67.29,66.40
67.97,68.00,68.57,67.84
68.57,68.12,68.99,67.89
67.75,67.40,67.81,66.76
67.60,67.62,67.76,67.18
67.83,68.37,68.48,67.29
69.70,69.93,70.44,68.99
69.54,70.09,70.19,69.45
70.27,70.94,71.09,70.05
70.24,70.60,70.97,70.01
71.30,71.45,71.83,71.30
70.98,71.62,71.69,70.79
71.84,72.21,72.44,71.55
72.33,72.47,72.66,71.77
72.35,71.74,72.89,71.67
71.34,71.34,71.84,70.94
70.49,71.57,71.76,69.47
70.58,71.51,71.87,70.39
71.26,70.35,71.26,70.25
69.62,69.17,69.82,69.03
69.63,69.16,69.84,68.87
69.82,69.71,69.91,69.39
69.91,69.74,70.00,69.25
70.16,70.51,70.93,69.97
70.12,71.15,71.20,70.03
70.82,71.30,71.46,70.67
71.39,71.59,71.73,71.02
71.77,70.85,71.82,70.75
70.36,70.30,70.57,70.16
70.69,70.12,70.77,70.07
70.00,70.16,70.23,69.10
70.22,70.05,70.30,69.56
70.16,70.42,70.42,69.75
70.80,70.88,71.04,70.38
71.22,71.13,71.81,70.90
70.96,70.40,71.18,70.24
70.53,70.60,70.78,70.09
70.80,72.40,73.05,70.80
72.26,72.49,73.01,71.74
72.58,72.74,73.15,72.41
73.00,73.23,73.67,72.74
72.76,72.93,73.36,72.58
72.82,72.65,73.00,72.43
72.41,72.50,72.61,71.80
71.64,70.85,71.97,70.69
70.95,71.25,71.32,70.70
71.86,72.01,72.29,71.48
72.07,71.78,72.29,71.54
71.92,71.74,71.92,71.29
72.21,73.08,73.12,71.75
73.08,73.10,73.29,72.77
73.09,73.34,73.62,73.00
73.24,72.90,73.63,72.80
72.72,72.98,73.23,72.50
72.61,72.34,72.68,72.00
72.38,72.28,72.57,72.08
71.80,72.25,72.36,71.71
72.44,72.78,72.89,72.33
73.09,73.91,74.15,72.97
73.98,73.55,74.05,73.43
73.55,73.12,73.55,72.62
73.00,72.65,73.00,71.88
73.07,73.38,73.58,72.76
73.39,74.09,74.54,73.11
74.00,73.10,74.05,72.65
72.56,72.63,72.71,71.82
72.32,71.80,72.47,71.75
70.78,70.82,71.10,70.44
70.60,69.48,70.67,69.26
68.32,69.35,69.88,68.07
69.57,69.66,70.03,69.18
69.22,68.88,69.50,68.86
69.24,69.20,69.74,68.95
69.58,69.88,70.19,69.08
69.68,69.55,69.89,69.48
69.83,68.93,69.86,68.73
69.27,69.76,69.91,68.97
68.96,69.27,69.44,68.55
69.46,70.06,70.20,69.34
69.88,67.56,70.47,67.21
66.79,67.05,67.51,66.44
67.38,67.58,67.86,67.07
67.53,67.50,67.74,67.01
67.57,67.98,68.68,67.34
67.75,68.24,68.24,67.55
68.50,68.15,68.59,67.98
67.84,67.05,68.01,66.81
66.96,67.42,67.89,66.96
67.20,67.53,67.57,66.70
66.90,66.40,67.00,66.34
66.75,66.54,67.06,66.39
66.33,66.53,67.43,66.16
66.09,66.30,66.82,65.80
66.28,65.73,66.69,65.64
65.94,65.20,66.34,65.18
65.26,63.72,65.41,63.70
64.17,63.34,64.42,63.17
63.62,64.55,64.65,63.44
64.63,64.47,64.98,64.14
64.15,64.61,64.74,63.29
64.12,63.34,64.62,62.77
62.88,63.58,64.13,62.88
64.06,64.35,64.40,63.72
63.92,63.83,64.14,63.50
63.82,64.01,64.54,63.28
63.14,62.72,63.33,62.68
62.88,61.96,63.01,61.54
61.76,61.98,62.18,61.55
62.03,63.62,63.63,62.03
64.12,63.69,64.85,63.54
63.61,64.06,64.07,63.60
64.38,63.74,64.66,63.66
63.84,64.13,64.15,63.24
63.99,63.49,64.11,63.23
63.55,64.01,64.28,63.37
64.37,64.86,65.11,64.37
64.48,64.76,65.22,64.14
65.00,65.19,65.51,64.94
65.10,64.65,65.16,64.06
65.03,63.25,65.11,63.20
63.54,63.26,63.57,62.62
62.77,62.22,62.77,62.10
62.32,61.97,62.58,61.78
62.13,63.22,63.34,62.08
62.84,63.16,63.25,62.22
64.65,65.96,65.96,64.41
66.09,66.06,66.54,65.49
65.54,66.17,66.34,65.54
66.22,66.24,66.59,65.90
65.79,65.24,65.80,64.89
65.26,65.05,65.53,64.67
63.89,64.43,65.69,63.89
64.55,63.91,64.81,63.61
63.50,63.52,63.95,62.99
63.75,64.86,65.04,63.60
64.55,64.04,64.91,63.53
64.13,64.69,64.71,63.57
64.19,65.80,65.94,64.14
65.92,65.99,66.34,65.55
65.27,64.97,65.38,64.65
64.10,63.92,64.24,63.37
63.85,63.40,64.13,62.90
63.75,62.00,63.99,61.30
62.85,62.90,63.72,62.44
63.05,63.83,64.21,62.74
63.67,63.47,64.14,63.25
63.29,63.44,63.95,63.09
63.70,63.05,63.95,62.95
62.89,61.99,62.94,61.09
62.78,63.10,63.47,62.78
63.43,62.98,63.71,62.77
63.07,63.90,64.24,63.00
63.73,63.93,64.08,63.23
63.67,63.43,63.82,62.98
63.38,63.58,63.68,63.13
63.45,63.34,63.77,62.88
63.63,63.79,63.98,63.28
63.68,64.20,64.45,63.54
64.19,65.36,65.71,64.19
64.80,65.70,65.77,64.75
65.45,66.13,66.26,65.22
66.15,66.53,66.58,65.72
66.25,66.30,66.48,65.85
66.01,65.61,66.24,65.41
65.43,66.09,66.16,65.12
66.25,65.62,66.39,65.59
65.35,65.76,65.94,65.25
65.87,65.85,66.19,65.34
65.45,65.32,65.69,64.78
65.84,65.51,66.12,65.35
65.55,64.65,65.86,64.47
64.87,64.78,65.15,64.29
65.30,66.72,66.73,65.10
66.89,67.20,67.29,66.75
66.95,66.32,67.08,66.30
66.30,65.98,66.35,65.90
66.21,65.87,66.28,65.60
65.68,66.12,66.31,65.02
66.24,66.78,67.20,66.20
66.57,66.62,67.10,66.42
66.58,66.65,66.85,66.41
66.55,66.51,66.75,66.00
66.14,66.28,66.38,65.85
66.48,66.15,66.83,66.05
65.72,66.37,66.46,65.24
66.50,66.47,66.93,66.17
66.59,66.61,67.19,66.53
66.77,66.46,66.89,66.11
66.11,66.12,66.47,65.67
66.03,67.42,67.70,66.00
67.45,67.30,67.74,66.93
67.17,66.46,67.17,66.31
66.74,66.82,67.27,66.65
67.18,67.29,67.88,67.11
67.00,66.45,67.06,66.41
66.52,65.94,66.89,65.94
65.92,65.16,66.06,65.06
65.57,65.59,66.04,65.53
65.83,66.10,66.64,65.78
66.25,66.16,66.36,65.90
66.54,67.22,67.38,66.34
67.41,67.66,67.91,66.91
67.51,68.58,68.73,67.27
68.26,67.17,68.35,67.06
67.10,67.15,67.68,66.54
66.39,66.21,66.48,65.03
65.58,67.79,68.75,65.48
68.23,67.61,68.56,66.96
67.56,67.32,67.68,66.75
67.79,68.08,68.50,67.52
68.29,69.42,69.74,68.02
69.74,68.81,69.88,68.65
68.81,68.37,68.81,67.97
68.60,69.26,69.95,68.30
68.07,66.59,68.10,65.77
66.45,64.33,66.58,64.14
64.31,64.45,65.16,64.14
64.48,64.18,64.56,63.87
63.65,63.75,64.64,63.60
63.92,62.20,63.94,62.02
62.10,62.14,62.55,61.84
62.18,62.13,62.59,61.70
62.81,63.91,63.91,62.64
63.83,63.75,63.85,63.12
63.80,64.36,64.57,63.59
64.59,65.41,65.41,64.34
65.00,65.06,65.19,64.64
64.97,64.96,65.50,64.73
64.48,65.71,65.72,64.41
66.00,66.53,66.61,65.50
66.50,66.50,66.61,66.10
66.78,65.69,66.98,65.29
65.68,66.44,66.52,65.58
66.45,66.88,67.15,65.74
66.80,66.70,66.85,65.87
67.08,67.19,67.22,66.40
67.19,68.25,68.30,66.91
68.50,68.97,69.20,68.30
69.13,68.90,69.57,68.79
68.90,68.00,68.99,67.90
67.66,67.49,67.97,67.36
67.63,68.00,68.38,67.50
68.08,69.01,69.05,67.82
68.94,69.52,69.77,68.77
69.61,70.28,70.28,69.17
69.34,70.40,70.43,69.31
70.59,69.47,70.59,68.94
69.61,69.04,70.18,69.00
69.14,69.02,69.47,68.21
68.42,67.88,68.79,67.84
67.54,69.27,69.31,67.14
70.67,71.21,71.21,70.24
71.12,71.49,71.75,70.59
71.65,71.07,71.66,71.00
70.78,71.86,72.01,70.76
71.50,70.41,71.68,70.28
70.53,70.68,70.96,70.21
71.03,71.65,71.65,70.92
71.93,70.74,71.93,70.74
70.60,70.35,70.82,70.14
70.18,70.58,70.76,69.91
70.61,69.80,70.79,69.51
70.09,71.02,71.20,69.61
70.89,70.66,71.15,70.41
70.47,70.71,70.77,70.41
68.37,71.45,71.69,67.20
71.36,70.64,71.45,70.03
70.75,70.96,71.09,70.20
70.67,70.01,70.85,69.93
69.85,69.25,69.91,69.03
69.33,68.43,69.35,68.24
68.22,66.30,68.37,66.13
66.46,65.88,66.84,64.95
65.16,64.57,65.64,64.47
65.02,65.14,66.02,64.90
65.00,66.27,66.32,65.00
66.29,66.77,67.12,65.98
66.74,66.82,66.88,66.47
66.82,66.66,67.09,66.30
66.93,66.68,66.99,66.50
66.71,66.11,66.90,65.72
65.81,66.22,66.75,65.63
66.18,66.40,66.49,65.90
66.52,67.03,67.03,66.21
67.04,66.61,67.11,66.58
66.60,66.49,66.75,66.04
66.71,67.32,67.77,66.71
67.71,66.69,67.89,66.67
67.01,66.91,67.19,66.50
66.75,68.55,68.74,66.60
68.45,67.97,69.04,67.96
67.54,67.73,68.14,66.91
67.42,67.04,67.64,66.47
67.30,67.67,67.87,67.28
67.88,67.68,68.00,67.40
67.90,67.74,68.32,67.57
68.05,68.89,68.96,68.05
68.85,69.16,69.30,68.58
69.11,68.77,69.34,68.38
68.90,70.11,70.18,68.88
70.13,69.65,70.38,69.60
69.32,69.91,69.91,69.12
69.20,69.69,70.10,69.13
70.00,69.92,70.49,69.68
70.21,69.74,70.48,69.68
69.37,68.89,69.69,68.86
69.14,69.29,69.44,69.00
69.53,69.53,69.92,69.16
69.78,70.30,70.36,69.73
69.81,70.26,70.61,69.68
70.29,70.51,70.80,70.18
70.14,68.16,70.24,68.12
68.54,67.00,68.66,66.65
67.16,68.39,68.63,66.87
68.49,67.69,68.72,67.19
67.37,69.56,69.64,67.17
69.55,69.08,69.56,68.63
69.37,69.33,69.68,68.79
68.85,69.46,69.71,68.74
69.70,71.33,71.38,69.60
70.78,70.60,70.91,69.99
69.67,68.19,70.00,68.10
68.55,68.39,68.84,67.97
67.74,66.43,67.97,65.77
66.50,65.99,66.66,65.37
66.35,67.00,67.13,66.27
67.16,66.37,67.16,66.05
66.94,67.10,67.18,66.23
68.52,71.73,72.18,68.50
71.56,73.53,73.96,71.12
73.36,73.30,73.90,73.01
73.48,73.28,73.48,72.97
73.30,73.96,74.09,72.68
73.68,73.78,74.54,73.67
73.84,74.46,74.47,73.69
74.50,75.24,75.38,74.48
75.07,75.25,75.50,74.90
75.29,75.20,75.60,74.89
75.10,75.42,75.63,74.74
75.44,75.25,75.87,75.02
75.25,75.70,75.77,75.15
75.42,75.20,75.70,74.76
75.32,76.64,77.00,75.32
76.33,76.61,76.72,75.71
76.55,76.14,77.05,76.04
76.39,78.29,78.29,76.38
78.15,78.60,78.67,77.89
78.47,77.98,78.69,77.82
78.12,77.42,78.60,77.14
76.44,76.94,77.27,76.16
76.65,77.34,77.70,76.37
78.12,77.87,78.52,77.49
77.46,77.53,78.09,77.09
77.79,78.35,78.76,77.77
78.00,77.10,78.38,77.10
77.23,77.57,77.92,76.81
77.41,77.21,77.81,76.35
76.87,76.68,77.16,76.46
76.69,77.85,77.88,76.38
78.30,79.12,79.46,78.08
79.02,78.58,79.25,78.36
77.95,78.17,79.11,77.80
78.66,78.30,79.00,77.91
78.15,78.07,78.59,77.69
78.11,78.00,79.00,77.90
78.63,78.38,79.13,77.96
78.58,78.85,79.48,78.53
78.94,77.50,78.96,77.48
