ZBH,Zimmer Biomet Holdings,NASDAQ
58.99,59.55,59.56,58.80
59.55,59.34,59.81,59.29
59.27,60.09,60.15,59.06
60.02,61.03,61.12,59.73
61.48,61.00,62.34,60.77
60.85,60.48,61.11,59.80
60.23,60.37,60.53,59.66
60.66,61.18,61.29,60.66
61.09,60.22,61.09,59.86
59.29,60.62,60.64,58.50
60.66,60.97,61.12,60.31
62.16,61.14,62.50,61.02
60.95,60.82,61.68,60.63
61.13,61.45,61.93,60.73
61.87,61.61,61.97,61.38
61.52,60.91,61.97,60.50
60.96,61.33,61.49,60.58
60.68,60.24,61.08,60.00
59.84,60.31,60.34,59.48
60.00,59.74,61.07,57.67
59.42,58.50,59.60,57.72
60.42,60.88,61.44,59.91
60.62,60.70,61.24,60.06
60.93,61.10,61.23,60.45
60.97,60.65,61.20,60.65
60.35,59.56,60.58,59.27
59.66,59.04,60.01,58.15
59.17,58.70,59.88,58.62
58.58,58.37,58.81,58.00
57.45,56.07,57.46,56.07
55.28,55.83,56.57,54.71
55.34,55.61,56.67,55.32
54.66,54.85,54.88,53.58
55.18,54.23,55.37,54.12
54.92,55.32,55.35,54.48
55.25,55.93,56.45,55.09
55.36,54.17,55.36,54.10
54.17,55.10,55.10,53.89
55.59,55.23,55.67,54.80
54.32,53.18,54.69,53.01
53.44,52.66,53.59,52.63
52.75,52.99,53.25,52.26
53.28,53.22,54.17,53.00
53.85,54.06,54.23,53.63
53.40,54.01,54.23,53.27
54.03,53.66,54.58,53.58
53.88,54.36,54.56,53.80
54.47,55.16,55.35,53.23
55.20,55.01,55.22,54.57
55.07,55.05,55.29,54.64
55.68,55.00,56.03,54.77
55.11,54.58,55.43,54.53
54.55,54.18,54.55,53.52
53.89,53.21,53.89,53.03
53.36,53.27,53.45,52.90
53.18,54.57,54.96,53.04
55.17,54.60,56.47,54.18
54.68,54.05,55.09,53.84
54.07,53.88,54.07,52.73
53.93,54.32,54.73,53.80
54.67,55.04,55.65,54.61
55.05,56.22,56.31,54.52
56.45,56.33,56.85,55.75
56.08,56.22,56.39,55.87
56.09,56.01,56.20,55.76
56.38,56.92,57.57,56.38
56.75,57.49,57.49,56.63
57.44,57.92,58.08,57.21
57.76,55.91,57.91,55.74
56.07,55.99,56.38,55.60
54.78,55.15,55.26,53.82
52.79,52.97,53.64,52.15
54.77,52.51,55.30,52.27
52.58,52.94,53.38,52.32
53.20,53.32,53.78,52.86
53.62,53.87,54.04,53.30
53.70,53.48,53.95,53.12
53.79,52.16,53.79,51.99
51.64,52.99,53.20,51.50
53.46,53.83,54.19,53.41
53.79,54.19,54.41,53.78
54.19,54.83,54.95,54.01
54.51,54.50,54.65,54.16
54.08,53.98,54.30,53.26
54.39,53.99,54.49,53.72
53.61,53.90,54.40,53.29
53.21,52.01,53.21,51.89
51.45,52.00,52.32,51.31
51.72,51.44,51.90,51.38
51.13,51.00,51.47,50.60
51.14,51.21,51.60,50.89
51.23,51.87,52.18,51.05
51.63,50.22,51.63,50.17
50.03,49.82,50.55,49.48
50.15,49.37,50.59,49.36
48.85,46.97,48.85,46.86
46.38,47.72,47.97,46.27
47.76,47.28,47.85,47.12
47.34,48.01,48.08,47.12
47.87,47.53,48.07,47.53
47.42,47.17,47.56,46.96
47.72,47.70,48.60,47.55
48.13,48.55,48.76,47.90
48.88,49.28,49.43,48.82
49.10,49.00,49.45,48.85
48.71,48.70,48.98,48.27
49.08,48.95,49.24,48.71
48.92,48.99,49.42,48.60
49.47,49.30,49.66,49.09
49.12,49.87,49.95,48.66
49.75,50.57,50.58,49.49
50.36,50.57,50.58,49.60
50.73,50.68,50.98,50.35
50.87,51.60,51.69,50.54
51.43,51.53,51.89,51.08
51.45,50.60,51.75,50.49
50.28,50.33,50.79,50.01
50.68,51.81,51.81,50.67
51.20,50.11,51.20,49.99
50.17,51.69,51.79,49.50
51.48,52.15,52.40,51.23
52.28,52.33,52.74,51.80
52.51,52.65,52.81,52.28
52.33,51.23,52.67,51.06
51.69,52.42,52.72,51.62
52.44,52.75,52.75,52.33
52.87,52.10,52.89,51.77
52.23,51.96,52.56,51.58
51.95,51.62,52.02,51.41
51.47,50.98,51.52,49.73
51.34,50.50,51.46,49.57
50.50,50.31,50.92,49.98
50.70,51.22,51.31,50.29
51.30,52.23,52.33,51.18
51.39,50.66,51.50,50.50
51.66,50.68,51.73,50.55
50.95,51.38,51.80,50.83
51.34,51.29,51.47,51.12
51.58,51.56,52.05,51.52
51.36,51.89,52.00,51.15
51.52,51.89,52.08,50.98
50.26,49.41,50.76,47.60
48.67,47.44,49.00,47.09
47.74,48.10,48.28,47.52
48.36,48.99,49.18,48.11
49.00,49.60,49.78,48.74
50.11,50.76,50.90,49.95
50.81,51.81,52.49,50.81
51.90,51.58,51.92,51.38
51.90,52.07,52.22,51.53
52.01,51.69,52.25,51.09
51.15,51.29,51.38,50.71
50.97,50.95,51.22,50.75
51.10,50.70,51.25,50.69
50.50,50.22,50.61,50.21
50.12,50.00,50.59,50.00
50.45,50.59,51.08,50.28
50.50,50.51,50.88,50.43
50.26,50.22,50.73,49.97
49.64,50.02,50.31,49.57
50.48,50.44,50.65,50.22
50.07,50.11,50.53,49.91
49.84,49.94,50.10,49.65
49.41,49.26,49.76,49.20
49.75,50.13,50.46,49.75
50.01,50.14,50.35,49.99
49.90,50.02,50.38,49.81
49.84,49.92,50.24,49.60
50.39,50.27,50.56,50.02
50.27,51.41,51.50,50.27
51.58,51.86,51.91,51.30
52.00,53.11,53.21,51.83
53.27,52.36,53.32,52.30
52.32,53.62,53.85,52.32
53.46,53.70,54.50,53.36
53.67,54.13,54.19,53.12
53.98,54.50,54.73,53.86
54.70,54.49,54.70,54.13
54.34,54.10,54.74,54.00
54.12,54.97,54.97,53.90
54.79,54.42,54.99,54.32
54.20,54.45,54.53,54.02
54.47,54.16,54.54,54.14
54.30,53.97,54.54,53.97
53.92,53.90,54.16,53.69
53.90,53.68,54.16,53.59
54.10,54.97,55.05,53.84
54.96,54.24,55.11,54.10
53.98,54.28,54.28,53.91
54.02,52.60,54.04,52.16
52.75,52.59,52.78,52.15
52.77,53.00,53.09,52.51
53.85,54.89,55.49,53.81
55.14,55.70,55.70,54.80
55.60,55.44,55.68,55.24
55.13,55.77,55.87,55.02
55.81,56.16,56.34,55.58
56.27,55.93,56.60,55.71
55.96,55.84,56.34,55.57
56.31,56.36,57.26,55.94
56.24,55.43,56.48,55.17
55.06,56.38,56.50,54.83
56.45,55.28,56.57,54.90
58.01,59.08,60.68,57.60
58.98,58.58,59.20,58.43
58.67,59.16,59.43,58.50
59.35,60.21,60.40,59.32
59.92,60.52,60.66,59.53
60.22,60.50,60.62,60.02
60.50,60.65,60.74,59.98
60.63,59.99,60.68,59.94
60.07,59.96,60.50,59.76
59.80,59.37,60.08,58.83
59.03,60.05,60.35,59.03
59.73,60.63,60.76,59.51
60.58,60.78,60.97,60.50
60.48,60.67,60.85,60.34
60.79,61.31,61.44,60.62
60.95,62.25,62.30,60.80
63.11,63.73,65.22,62.56
62.70,62.00,63.18,61.94
63.20,61.46,63.46,61.45
61.56,61.01,61.97,60.74
61.34,62.00,62.33,61.33
62.13,62.34,62.86,61.78
63.33,61.22,63.33,61.21
61.06,62.21,62.27,60.60
62.61,63.22,63.40,62.47
63.06,62.75,63.35,62.38
62.91,61.87,62.99,61.60
61.98,62.78,63.00,61.69
62.70,63.01,63.27,62.63
62.32,61.27,62.40,61.27
61.42,61.68,61.90,60.69
61.23,61.02,61.48,60.37
59.75,60.67,60.85,59.36
60.36,59.41,60.89,59.12
60.23,59.71,60.39,59.50
60.45,60.31,61.00,60.03
60.91,61.36,61.66,60.91
61.35,60.75,61.38,60.75
60.54,60.10,60.80,59.71
60.27,60.00,60.38,59.63
60.16,60.74,61.07,60.11
60.77,60.57,60.94,60.51
60.68,60.96,61.05,60.26
61.02,60.95,61.27,60.89
60.70,60.53,60.92,60.40
60.87,61.28,61.72,60.83
61.27,60.82,61.42,60.54
60.61,60.38,60.68,60.13
60.64,60.70,61.26,60.51
60.55,60.70,61.43,60.44
61.00,59.91,61.05,59.78
60.05,60.42,60.61,59.92
59.72,59.66,60.41,59.49
59.77,59.87,60.15,59.52
59.65,60.17,60.88,59.51
60.33,62.00,62.43,60.33
61.56,61.41,61.68,61.09
61.51,63.32,63.32,61.40
62.77,61.54,62.81,61.18
61.86,62.24,62.37,61.61
62.12,61.44,62.43,61.40
61.57,62.79,62.93,61.44
62.76,62.91,63.32,62.19
64.10,65.76,66.67,64.02
66.29,65.25,66.75,65.22
65.66,65.89,66.67,65.57
65.62,66.14,66.28,65.45
66.16,66.17,66.29,65.52
65.78,66.32,67.36,65.71
67.14,67.50,68.14,66.58
67.37,67.94,68.03,67.03
68.15,69.69,69.74,68.08
69.28,69.15,69.93,68.90
69.01,69.54,69.75,68.78
69.50,68.89,69.87,68.48
68.74,68.88,69.00,68.61
68.54,68.80,68.89,68.22
68.68,68.87,69.11,68.60
68.98,68.28,69.00,68.04
68.24,67.70,68.42,67.24
67.12,67.00,67.31,66.57
67.04,66.97,67.27,66.79
66.64,67.17,67.28,66.42
67.17,68.03,68.03,66.85
68.04,68.18,68.38,67.81
68.47,67.76,68.64,67.61
67.68,66.53,68.06,66.53
66.50,66.33,66.62,65.91
65.56,65.82,65.90,65.30
65.74,65.11,65.74,65.11
65.34,64.47,65.45,64.46
64.28,63.43,64.45,63.26
63.73,64.05,64.42,63.51
63.91,62.86,64.04,62.84
63.05,63.40,63.65,62.94
63.93,63.79,64.24,63.63
63.50,62.79,63.99,62.60
62.91,62.51,63.14,62.18
62.62,62.05,63.12,61.76
61.86,62.24,62.40,61.79
62.75,63.48,63.69,62.59
63.17,62.15,63.24,62.11
61.52,62.01,62.07,60.73
61.99,61.50,62.12,61.42
61.52,62.12,62.31,61.49
62.12,62.86,63.02,62.02
63.02,62.65,63.10,62.35
62.65,63.20,63.28,62.62
62.97,65.09,65.25,62.94
64.90,64.42,64.97,64.23
64.50,64.55,64.88,64.16
64.97,65.73,66.03,64.55
65.14,64.52,65.14,64.22
63.62,62.77,63.82,62.19
62.77,63.57,63.95,62.70
63.81,63.91,64.88,63.62
64.01,63.86,64.56,63.57
64.00,63.68,64.12,63.22
63.44,63.22,63.50,62.40
63.46,63.51,63.61,62.49
63.58,63.86,64.18,62.93
64.33,64.74,65.24,64.17
64.62,63.29,64.63,63.10
62.61,62.24,62.67,61.88
62.19,61.58,62.21,61.16
60.99,60.84,62.19,60.45
60.85,60.24,61.10,60.10
59.64,60.02,60.57,59.25
60.41,58.54,60.44,58.14
57.58,57.29,58.40,57.27
57.32,57.54,57.73,56.61
56.84,56.50,58.17,56.46
57.23,57.56,58.16,55.65
55.66,53.90,56.58,53.74
51.80,54.35,54.73,51.80
53.29,51.48,53.85,51.34
51.76,52.75,53.29,51.15
53.18,53.23,53.47,51.50
53.70,53.38,53.82,52.59
53.06,53.05,53.46,52.32
53.31,52.80,53.81,52.08
51.58,50.47,51.67,50.02
50.01,50.98,51.87,49.92
51.89,51.06,52.05,50.89
51.11,52.81,53.00,50.72
52.41,53.48,53.62,52.18
53.79,53.08,54.00,52.39
52.89,54.18,54.35,52.05
54.91,55.58,55.62,54.78
55.43,55.77,56.12,54.90
56.15,56.89,57.25,56.09
56.87,56.40,57.58,56.24
55.28,54.92,55.64,54.72
53.75,54.78,54.96,53.47
55.70,57.35,57.36,55.54
56.70,56.90,57.72,56.07
56.23,53.82,56.30,53.73
52.94,53.72,53.72,52.29
53.97,55.03,55.16,53.44
55.27,55.86,56.43,54.82
56.63,56.72,57.06,55.55
57.04,56.94,57.35,56.26
56.16,56.50,56.78,55.63
56.78,57.29,58.17,56.59
57.42,55.46,57.45,55.45
52.54,53.46,53.71,52.23
53.19,53.52,53.65,52.70
54.05,55.45,55.54,53.71
56.10,56.53,57.42,56.00
56.54,54.98,56.56,54.84
55.77,55.66,55.77,54.73
55.06,53.48,55.34,53.47
53.01,51.10,53.51,51.01
50.46,51.52,51.64,49.67
51.53,52.04,52.23,51.07
52.04,53.05,53.05,51.65
53.65,52.75,53.65,52.49
53.49,53.79,54.13,52.96
53.49,53.80,54.13,53.41
54.09,53.80,54.75,53.76
53.53,52.99,53.59,52.25
53.64,52.96,54.00,52.81
52.36,51.96,52.86,51.82
51.73,52.56,53.10,51.18
52.63,53.02,53.70,52.40
53.02,53.13,53.40,52.10
53.64,54.64,54.65,53.57
54.32,55.00,55.43,54.32
54.64,53.58,54.79,53.47
54.26,54.02,54.42,52.86
53.97,54.17,55.06,51.37
54.11,54.30,54.85,54.04
53.84,52.63,54.08,52.63
51.62,50.81,52.43,50.62
51.38,51.84,52.33,51.22
52.37,52.69,52.79,51.86
52.28,51.30,52.37,51.17
51.27,52.86,52.90,51.27
53.15,54.05,54.12,52.95
52.73,51.67,53.27,51.46
52.09,51.67,52.35,51.58
51.95,52.50,52.77,51.77
52.20,52.50,52.55,51.69
52.26,52.21,52.49,51.53
51.65,51.16,51.81,51.00
51.12,50.00,51.12,49.86
50.38,48.44,50.48,48.35
47.96,48.14,48.45,47.66
48.25,47.86,48.68,47.52
47.57,47.57,48.02,47.25
47.61,47.41,48.05,47.41
48.45,48.43,48.89,48.09
48.56,48.03,48.74,47.91
49.36,50.55,50.59,49.13
50.47,50.86,51.65,50.29
51.24,48.92,51.59,48.08
50.02,49.61,50.61,49.42
49.72,49.69,50.03,49.42
49.40,49.08,49.49,48.58
48.69,48.08,48.86,47.82
48.27,49.26,49.48,48.17
48.78,48.27,48.94,48.02
48.50,47.72,48.85,47.36
47.57,47.47,47.72,47.00
48.00,47.74,48.48,47.60
48.15,47.52,48.41,47.38
48.74,47.70,49.30,47.55
49.87,50.70,50.94,49.85
50.65,51.83,52.06,50.52
52.48,53.04,53.10,52.34
53.10,53.21,53.44,52.80
53.17,53.28,53.72,52.97
53.41,53.16,53.60,53.09
53.12,53.44,53.50,52.86
53.26,53.42,54.06,53.23
54.48,53.94,54.84,53.89
53.66,53.21,53.92,52.99
52.97,53.84,53.97,52.70
53.86,53.98,54.31,53.64
53.94,54.38,54.50,53.89
54.83,55.52,55.79,54.54
55.19,55.30,55.50,54.87
55.42,55.06,55.42,54.62
54.85,55.04,55.19,54.61
55.53,55.19,56.22,55.05
55.30,55.55,55.70,54.79
55.29,56.14,56.47,55.00
56.11,56.05,56.24,55.67
55.91,56.06,56.42,55.72
55.58,56.55,56.70,54.96
56.31,57.75,58.07,55.98
60.91,59.61,61.89,59.05
59.57,60.50,60.92,59.38
60.05,60.95,61.20,59.64
61.12,60.75,61.60,60.42
60.64,60.85,61.58,60.32
60.90,61.36,61.57,60.80
61.95,62.51,62.68,61.76
62.41,62.59,62.78,61.98
62.31,62.36,62.50,61.77
62.46,62.47,63.02,62.09
62.44,61.03,62.44,60.45
60.71,60.84,60.86,59.76
60.90,61.25,61.74,60.90
61.41,61.79,61.80,61.15
61.88,61.56,62.00,61.19
61.53,61.54,61.66,61.00
61.87,61.53,62.00,61.32
61.55,61.25,61.97,61.05
60.49,61.01,61.44,60.49
61.13,61.40,61.55,60.82
61.41,62.21,62.36,61.38
61.77,62.01,62.29,61.17
61.96,61.42,62.02,61.11
61.50,60.75,61.50,60.49
60.87,60.37,60.93,60.14
60.30,60.24,60.50,60.07
60.08,60.44,60.53,59.96
59.86,59.84,60.05,59.67
60.00,60.33,60.54,59.89
60.67,60.95,61.22,60.27
60.98,61.56,61.80,60.83
61.59,61.46,61.73,61.16
61.84,62.99,63.12,61.58
62.99,62.73,63.48,62.43
62.97,63.87,63.90,62.72
63.77,64.10,64.29,63.59
63.99,64.32,64.53,63.73
63.85,63.85,64.14,63.71
63.98,63.62,64.01,63.44
63.24,63.16,63.48,62.79
63.20,63.49,63.69,63.10
63.89,64.43,64.65,63.81
64.59,64.25,64.81,64.11
64.06,63.62,64.33,63.43
63.31,63.29,63.52,62.59
63.43,64.28,64.33,63.43
64.50,65.25,65.77,64.22
65.12,65.12,65.78,64.66
64.67,64.57,65.14,64.34
64.32,64.72,64.81,64.07
63.91,64.15,64.31,63.35
63.98,63.15,64.24,63.15
63.60,63.19,63.96,63.09
63.15,64.22,64.56,63.02
64.24,63.37,64.76,63.28
63.75,63.21,63.75,62.67
63.50,64.65,64.83,63.50
65.00,64.29,66.41,64.22
64.35,63.06,64.44,62.83
63.07,63.08,63.28,62.71
62.40,62.13,62.49,61.65
62.20,62.39,62.39,61.90
63.08,63.43,63.89,62.94
61.15,62.07,62.54,60.28
63.01,63.02,64.49,62.51
63.00,62.93,63.12,62.57
62.99,64.49,64.84,62.63
63.99,63.77,64.06,63.38
63.79,64.02,64.78,63.46
63.56,63.15,63.85,63.13
62.79,63.49,63.74,62.74
63.03,62.76,63.09,62.00
61.90,62.08,62.59,61.62
62.41,62.13,63.03,61.95
61.79,61.90,62.35,61.49
61.45,61.36,61.71,61.01
61.26,60.81,61.56,60.69
61.17,60.76,61.18,60.66
60.64,59.50,60.83,59.50
59.76,58.86,59.86,58.57
59.38,60.17,60.22,58.95
60.18,60.14,60.50,59.71
59.73,60.00,60.31,59.28
60.32,61.90,61.98,60.32
61.64,62.04,62.32,61.64
62.40,62.28,62.70,61.93
61.75,61.08,61.95,60.93
61.10,60.65,61.19,60.43
59.76,58.93,59.97,58.93
58.65,58.74,59.09,58.23
58.45,59.54,59.72,58.36
59.84,59.95,60.05,59.59
60.39,60.17,60.69,60.06
59.89,60.96,60.96,59.89
61.29,60.02,61.34,59.98
60.26,60.47,60.48,59.65
60.34,59.96,60.71,59.77
60.01,60.63,60.94,60.01
60.75,63.20,63.58,60.72
62.77,62.75,63.68,62.61
63.18,63.30,63.66,62.97
63.22,63.07,63.54,62.52
63.18,61.74,63.46,61.67
61.79,63.17,63.42,61.65
62.54,61.87,63.09,61.85
61.61,61.66,62.01,61.31
61.84,62.56,62.80,61.84
62.20,62.37,62.55,60.89
63.36,64.36,64.41,63.24
64.27,64.49,64.50,63.78
64.60,64.69,64.71,63.93
64.50,63.79,64.59,63.78
63.10,62.72,63.33,62.64
62.96,63.82,63.89,62.55
64.20,63.33,64.66,63.12
63.40,63.26,63.50,62.79
62.85,62.81,63.14,62.49
62.84,63.35,63.48,62.78
63.16,62.98,63.35,62.74
63.46,64.48,64.67,63.46
64.12,64.69,65.56,63.91
64.65,64.32,64.65,63.60
63.93,62.64,64.25,62.55
62.07,61.91,62.45,61.30
61.79,60.84,61.93,60.47
61.00,61.00,61.72,60.77
59.58,58.72,60.00,57.46
58.74,58.84,59.03,57.95
58.86,58.70,59.05,58.31
58.62,58.93,59.43,58.62
59.21,59.16,59.67,59.00
58.68,57.95,58.75,57.60
58.77,59.02,59.69,58.66
59.22,59.78,60.43,59.16
60.22,61.03,61.47,60.14
60.98,61.09,61.37,60.55
60.91,60.90,61.29,60.76
60.81,61.37,61.42,60.63
61.12,61.38,61.39,60.82
61.74,61.48,61.74,61.06
61.33,61.85,61.98,61.10
61.91,61.86,62.02,61.49
61.87,61.93,62.10,61.68
61.75,62.50,62.50,61.75
62.51,62.12,62.99,61.99
61.89,61.63,62.12,61.26
61.61,61.03,61.61,60.93
60.87,61.27,61.51,60.43
61.26,61.06,61.59,60.96
61.06,61.28,61.84,60.96
61.43,62.02,62.09,61.43
61.61,61.91,62.11,61.37
62.16,61.78,62.49,61.58
61.86,63.00,63.22,61.83
63.04,62.60,63.15,62.15
62.80,64.05,64.14,62.80
64.73,65.22,66.31,64.70
65.33,64.97,65.33,64.73
65.03,65.51,65.76,64.83
65.57,65.47,66.06,65.36
65.47,66.63,66.80,65.04
66.54,66.90,67.17,66.32
66.69,66.93,67.14,66.59
66.79,67.19,67.20,66.68
67.14,67.14,67.75,67.02
66.92,66.76,67.16,66.41
67.08,67.45,67.71,66.90
67.22,67.54,67.65,66.94
67.62,66.85,67.90,66.85
66.89,66.48,67.00,66.33
66.68,67.16,67.35,66.50
66.57,67.62,67.76,66.50
67.77,67.87,69.00,67.57
67.87,67.32,68.11,67.06
67.55,67.29,67.81,67.22
67.49,67.27,67.58,66.94
67.62,66.88,67.78,66.73
66.76,66.82,67.22,66.38
66.45,63.75,66.45,63.75
63.47,62.61,63.51,62.23
62.99,62.90,63.63,62.89
62.98,62.26,63.51,61.97
62.44,63.17,63.25,62.31
63.86,63.76,64.54,63.42
63.66,63.90,63.99,63.14
63.02,63.92,64.01,63.02
63.72,62.69,63.72,62.51
62.58,63.47,63.48,62.54
62.68,62.14,62.75,62.14
62.52,62.28,62.80,62.07
62.92,63.98,64.58,62.28
64.11,63.55,64.41,63.44
63.50,64.21,64.47,63.20
64.12,65.55,65.64,64.06
65.58,65.05,65.99,65.00
65.05,65.68,65.80,64.66
65.73,66.01,66.22,65.46
65.40,64.83,65.40,64.26
64.79,64.67,65.04,64.35
64.85,64.69,65.08,64.34
64.86,64.70,65.10,64.44
64.53,64.44,65.31,64.41
64.55,64.34,64.85,64.13
64.29,64.25,64.42,63.56
64.21,64.44,66.75,63.80
64.81,65.82,65.82,64.58
65.51,66.30,66.73,65.36
66.25,66.03,66.54,65.81
66.24,66.84,66.87,66.02
66.63,66.15,66.63,65.24
66.06,66.02,67.28,65.73
65.77,66.10,66.18,64.98
66.51,66.36,66.67,65.71
66.45,65.97,66.47,65.36
66.22,65.45,66.31,65.33
65.53,65.84,66.06,65.26
65.84,65.63,66.14,65.35
65.52,65.71,65.94,65.41
65.76,65.49,65.96,65.32
65.25,65.50,65.82,65.14
66.03,67.06,67.26,66.01
67.27,67.55,68.39,66.81
67.43,67.35,67.65,67.26
67.07,67.26,67.68,66.75
67.42,68.12,68.19,67.14
68.17,68.72,69.09,68.06
68.85,68.24,68.90,68.19
68.46,68.80,68.86,67.91
68.46,67.64,68.46,67.47
67.19,67.10,67.91,66.96
67.17,66.58,67.36,66.28
66.58,66.73,66.83,65.75
66.30,65.54,66.65,65.52
65.42,66.66,66.66,65.15
67.60,67.70,67.89,67.34
67.73,68.67,68.88,67.57
68.72,69.02,69.14,68.55
68.76,69.19,69.33,68.71
69.17,69.29,69.39,68.61
69.50,70.57,71.14,69.44
70.91,70.71,71.17,70.46
70.86,71.17,71.44,70.70
70.49,71.05,71.28,70.20
70.74,71.06,71.18,70.61
70.91,71.91,72.11,70.82
72.29,73.00,73.38,72.09
73.32,73.61,73.61,72.72
73.67,74.25,74.25,73.49
74.05,74.11,74.36,73.68
74.00,74.43,75.00,73.85
74.78,75.12,75.20,74.38
75.03,75.03,75.29,74.82
75.08,75.42,75.91,74.88
74.97,74.43,75.05,74.26
73.93,74.60,74.74,72.22
74.66,73.47,74.94,73.36
72.53,73.46,74.01,72.53
73.77,74.06,74.33,73.73
73.71,75.11,75.11,73.53
75.24,75.06,75.31,74.22
75.02,75.85,75.99,74.96
75.75,75.65,75.98,75.35
75.65,75.44,75.82,75.35
75.74,76.00,76.75,75.66
75.86,76.34,76.40,75.75
76.22,75.90,76.40,75.35
75.74,76.11,76.31,74.82
75.87,75.31,76.18,75.23
75.15,73.87,75.27,73.54
74.23,74.14,74.39,73.74
74.50,73.07,74.87,73.07
73.51,73.53,73.93,72.54
73.52,74.45,74.60,73.31
74.45,74.96,75.33,74.40
74.57,74.99,75.05,73.95
74.76,74.86,74.97,74.13
75.06,75.83,75.87,74.97
76.00,75.29,76.42,75.21
75.34,74.89,75.69,74.61
75.21,75.40,75.52,74.74
75.13,75.74,75.98,74.98
75.53,76.20,76.25,75.09
76.04,76.06,76.32,75.63
75.71,74.85,75.71,73.66
74.54,73.97,74.55,73.09
73.15,73.24,73.68,72.62
73.42,73.00,73.62,72.49
73.65,73.21,73.87,73.10
72.91,72.38,73.35,72.24
72.59,73.45,73.45,72.35
73.66,72.92,73.83,72.61
73.11,74.21,74.23,72.98
73.77,74.22,74.22,73.29
74.05,75.22,75.46,73.42
75.03,75.13,75.36,74.44
75.45,75.33,75.93,75.06
75.39,74.46,75.42,74.17
74.71,75.25,75.43,74.41
74.32,74.03,74.37,73.43
73.77,74.31,74.42,73.46
74.93,75.37,75.58,74.58
75.49,75.85,76.17,74.97
75.97,76.30,77.53,75.81
75.94,75.46,76.16,74.83
75.18,73.69,75.38,73.69
73.19,73.50,73.61,72.31
73.14,73.18,73.61,72.65
73.43,72.97,73.60,72.65
73.14,73.93,73.95,72.67
73.88,73.36,73.93,73.21
73.54,74.46,74.52,73.40
74.33,74.53,75.24,74.15
74.90,75.49,76.13,74.82
75.47,74.97,75.96,74.97
74.99,76.17,76.40,74.94
75.93,76.45,76.56,75.50
76.05,75.30,76.41,75.20
75.61,75.68,76.33,75.12
76.30,77.00,77.10,76.08
76.69,76.96,77.51,76.52
76.87,77.30,77.30,76.55
77.04,78.19,78.25,76.91
77.91,78.28,78.74,77.58
78.19,79.39,79.58,77.79
79.00,79.97,80.28,78.80
79.86,80.89,80.99,79.86
80.49,80.99,81.37,80.40
80.29,80.62,81.36,80.25
80.18,80.34,80.52,79.65
80.16,80.81,81.18,79.97
81.05,81.01,81.72,80.76
81.02,79.86,81.92,79.41
79.35,79.95,80.00,79.26
79.42,79.87,80.17,78.94
80.47,80.78,81.27,80.27
80.17,79.01,80.17,78.44
79.25,79.94,80.37,79.00
79.59,78.51,80.09,78.51
78.77,78.83,79.13,78.09
78.66,77.60,78.77,76.83
77.48,77.17,78.18,77.15
77.27,78.30,78.30,76.80
78.68,78.73,79.09,78.13
78.72,78.50,78.98,77.85
77.85,77.39,78.50,77.04
78.05,77.01,78.05,76.87
76.95,78.44,78.60,76.02
78.35,77.86,78.83,77.65
78.53,79.65,80.48,78.53
79.58,79.79,80.55,79.52
79.91,77.94,79.91,77.84
