URE,ProShares Ultra Real Estate,NASDAQ
61.19,61.79,62.04,61.17
61.78,62.62,62.75,61.55
62.44,62.04,62.72,61.63
61.06,60.82,61.29,60.29
60.42,60.21,60.88,59.93
58.77,59.12,59.60,58.40
58.90,56.82,59.44,56.62
57.77,58.20,58.23,57.32
58.30,59.85,59.85,58.00
59.38,59.05,59.83,58.90
59.79,60.54,61.24,59.52
61.50,61.63,62.04,60.34
61.11,60.86,61.55,60.86
60.94,60.80,61.51,60.29
61.27,62.19,62.65,61.27
61.04,60.89,61.26,60.10
60.85,62.53,62.60,60.85
63.23,63.93,64.00,63.16
63.44,64.42,64.60,63.36
64.78,65.15,65.32,64.07
64.89,64.92,65.15,63.99
64.88,66.03,66.82,64.71
65.27,65.91,66.13,64.70
66.12,65.41,66.70,65.41
64.95,64.40,65.11,64.04
63.93,65.02,65.45,63.82
64.57,65.02,65.10,63.77
63.89,64.57,65.44,63.55
65.57,64.66,65.60,64.01
64.02,65.01,65.48,63.78
63.77,63.44,64.57,63.39
63.17,62.89,63.62,62.56
63.30,61.35,63.39,61.34
61.25,57.93,61.65,57.93
58.26,56.72,58.81,56.43
56.90,59.11,59.38,56.80
59.58,59.40,60.09,58.89
58.59,59.73,59.93,57.65
60.02,60.15,60.81,58.97
60.26,59.73,60.62,59.46
60.66,61.41,61.50,60.23
60.59,58.60,60.65,58.60
58.58,59.28,60.24,57.63
57.42,56.43,57.94,56.24
56.47,55.64,56.65,54.90
55.19,57.70,58.00,55.17
58.40,60.20,60.29,58.25
61.47,59.67,61.62,59.35
59.37,61.09,61.10,59.26
62.15,58.66,62.28,58.62
59.00,59.85,59.99,58.21
59.49,59.25,60.60,58.81
59.53,60.90,61.31,59.25
61.17,61.62,61.78,60.68
60.93,62.54,63.11,60.91
63.20,63.15,63.89,62.31
63.40,62.89,63.47,62.25
63.11,60.93,63.20,60.83
61.45,60.98,61.71,60.30
59.52,60.30,60.67,59.52
60.58,60.95,61.42,60.04
61.12,61.61,61.77,60.69
61.08,62.76,62.84,60.48
64.69,65.75,65.76,64.42
66.26,67.04,67.04,65.52
67.25,67.75,68.15,66.93
67.60,67.03,67.99,66.74
66.11,67.27,67.50,65.71
67.12,67.62,67.64,66.75
67.97,65.98,68.14,65.28
66.32,66.19,66.47,65.34
65.19,66.67,67.23,65.00
66.82,68.28,68.41,66.82
68.15,68.69,68.95,68.04
69.00,69.94,70.28,68.21
69.58,68.76,69.60,68.30
68.94,67.63,69.11,66.74
66.72,67.06,67.45,66.47
65.59,66.33,66.56,65.43
66.47,65.89,66.78,65.00
66.10,65.88,66.44,65.11
67.24,66.86,67.87,66.26
67.25,68.37,69.14,67.25
68.45,68.70,69.20,68.20
68.76,68.69,69.02,68.15
69.08,68.19,69.98,68.12
67.25,68.26,68.29,67.02
69.46,69.33,69.95,69.12
69.63,68.94,70.03,68.91
69.19,67.50,69.22,67.32
67.00,66.60,67.25,66.20
66.60,66.32,67.11,66.15
66.08,66.52,66.66,66.02
66.45,66.61,66.70,65.96
67.00,66.48,67.17,66.31
66.28,66.89,67.25,66.28
66.90,67.79,67.82,66.38
67.78,67.83,68.02,67.40
67.76,67.59,68.06,66.80
67.96,67.62,68.20,67.48
67.35,67.56,67.65,66.30
67.47,67.13,67.70,66.86
66.95,67.69,67.92,66.69
67.94,67.97,68.22,67.45
67.77,68.46,68.61,67.01
68.59,68.50,68.83,68.22
67.92,68.37,68.46,67.79
68.83,68.75,69.00,67.70
68.65,69.69,69.74,67.80
69.81,69.50,69.82,68.82
70.10,70.62,70.63,70.00
70.86,70.82,71.12,70.44
70.64,69.90,70.69,69.82
69.82,70.49,70.53,69.70
70.70,71.02,71.05,70.26
71.03,72.84,72.98,70.92
73.09,73.52,74.57,73.09
73.47,72.87,74.00,72.68
72.43,71.60,72.51,71.20
71.85,70.96,71.85,70.96
70.18,69.24,70.22,68.76
69.63,69.22,69.76,69.16
68.57,68.94,69.72,68.50
69.16,66.88,69.27,66.81
66.84,66.74,67.47,66.51
67.10,67.33,68.09,66.87
67.01,67.18,67.70,66.38
67.42,66.26,67.61,65.13
66.50,67.19,67.26,66.32
67.37,67.69,68.63,67.22
68.00,67.34,68.46,66.95
67.80,67.71,68.34,67.23
67.08,67.31,67.35,66.77
67.34,66.56,67.87,66.54
66.63,66.71,67.16,66.29
67.23,66.78,67.59,66.72
66.80,66.22,67.30,66.08
66.38,67.15,67.18,65.38
67.62,67.77,67.96,67.45
67.33,67.92,68.10,66.94
67.85,69.25,69.29,67.85
69.26,67.99,69.63,67.86
67.96,67.50,67.96,66.74
66.41,66.14,66.72,65.18
66.29,66.19,66.79,65.69
66.78,65.63,67.20,64.43
65.48,64.83,65.52,63.97
65.16,66.28,66.28,64.85
66.24,66.49,67.00,65.73
67.18,67.27,68.09,67.12
67.29,66.33,67.29,65.50
66.70,66.50,66.86,65.87
65.67,65.92,66.45,65.17
65.90,64.56,65.97,64.49
63.98,64.25,65.08,63.50
64.48,63.88,64.48,63.60
63.45,63.54,64.13,63.04
63.72,60.89,63.72,60.59
60.95,60.49,61.69,59.78
60.71,61.80,61.97,60.31
63.21,63.02,63.64,62.50
63.20,63.75,63.76,62.49
63.86,63.69,64.12,63.05
64.40,64.77,64.77,63.88
64.07,64.92,65.58,63.94
63.64,64.23,65.26,63.18
63.64,64.16,64.24,62.88
64.75,64.79,64.90,63.88
64.87,65.29,65.66,64.87
65.76,65.68,66.35,65.33
65.41,65.62,66.44,65.41
65.63,65.22,65.91,64.57
65.12,66.29,66.33,65.12
66.54,66.88,66.93,66.36
67.10,66.95,67.39,66.67
67.38,67.09,67.57,66.94
67.48,67.01,67.55,66.39
66.90,66.00,66.95,65.58
66.08,65.88,66.08,65.61
66.41,66.70,66.71,65.91
67.16,68.06,68.15,66.71
68.62,67.88,68.68,67.79
67.59,69.48,69.49,67.59
67.93,68.91,69.30,67.80
68.75,69.11,69.40,68.46
68.95,68.37,69.21,68.09
68.20,68.54,69.00,67.14
68.18,67.75,68.82,67.54
67.59,69.09,69.09,67.34
71.81,71.24,72.34,70.37
71.18,71.06,71.80,70.93
70.66,71.99,72.10,70.66
71.99,72.20,72.35,71.68
72.25,72.05,72.26,71.63
72.37,72.63,72.78,72.12
73.11,72.98,73.38,72.45
73.05,72.99,73.25,72.45
73.13,73.10,73.16,72.81
72.67,73.71,73.95,72.67
73.42,73.63,73.70,73.18
73.86,74.10,74.37,73.86
74.61,74.91,74.92,73.87
74.85,75.58,75.60,74.83
75.69,75.57,75.79,75.21
75.90,75.80,76.28,75.42
76.39,76.51,76.54,75.77
76.86,76.63,76.94,75.99
76.59,76.90,76.92,76.47
76.88,75.62,76.88,75.28
75.33,74.71,75.33,74.39
75.07,75.57,75.91,74.92
75.01,75.38,75.70,74.74
75.71,75.15,75.80,74.93
74.68,75.39,75.54,74.36
75.54,74.75,75.91,74.43
75.00,76.06,76.14,74.89
75.90,76.20,76.35,75.90
76.50,77.15,77.19,76.15
77.30,77.14,77.60,76.69
76.84,76.55,76.91,76.37
76.48,76.72,76.73,76.08
76.67,77.68,77.70,76.67
77.71,76.48,78.11,76.43
76.10,75.20,76.33,74.83
75.90,76.46,76.52,75.71
76.91,74.00,77.20,73.97
74.45,75.22,75.34,74.03
75.18,76.33,77.03,74.87
76.39,76.29,77.05,76.11
75.79,76.68,76.85,75.24
76.73,77.83,78.19,76.69
78.70,79.00,79.27,77.91
79.53,78.47,79.53,78.00
78.30,77.92,78.80,77.68
78.37,77.93,78.65,77.11
78.42,78.39,78.44,77.59
78.28,77.96,78.41,77.69
77.96,77.99,78.36,77.40
78.07,78.94,79.06,78.01
78.72,78.95,79.02,78.11
77.49,78.40,78.55,77.49
78.54,77.47,78.67,76.64
77.74,78.22,78.22,77.45
77.48,77.80,78.76,77.48
78.24,78.71,78.84,77.98
78.84,78.52,79.39,78.33
78.87,79.76,79.85,78.87
79.18,80.06,80.08,78.85
80.15,80.74,80.83,79.71
80.38,81.08,81.09,79.96
81.76,81.69,82.18,81.28
82.08,80.81,82.21,80.24
80.92,83.12,83.29,80.87
81.35,83.59,83.59,81.30
83.73,85.23,85.34,82.97
85.64,85.12,85.78,84.41
85.58,86.15,86.43,85.30
86.17,87.12,87.90,86.17
86.79,87.55,87.55,86.60
86.89,83.69,87.11,83.69
84.65,86.39,86.49,83.81
85.18,84.31,85.50,83.21
84.41,84.36,84.54,83.31
85.00,86.33,86.47,84.25
86.87,86.35,86.90,85.39
87.00,87.39,87.78,86.33
87.85,87.80,88.05,87.08
87.80,87.75,88.45,86.55
87.36,87.09,88.22,86.92
87.44,88.24,88.35,87.05
88.32,90.05,90.06,87.98
89.89,88.85,90.11,88.35
89.36,89.62,90.19,88.88
90.79,89.66,90.79,89.33
89.70,90.43,90.54,89.70
91.18,91.47,91.47,90.20
91.21,91.86,92.15,90.88
91.83,90.75,91.88,90.42
91.00,90.93,91.32,90.55
90.66,91.27,91.46,90.50
91.45,92.21,92.55,91.45
92.62,93.77,93.80,91.30
93.58,93.25,94.26,92.58
93.80,94.48,94.48,93.19
94.25,94.32,94.65,93.87
94.55,95.07,95.55,94.55
95.36,90.52,96.88,89.57
88.65,88.04,88.89,86.45
87.42,87.30,87.46,85.44
89.16,85.49,89.30,84.46
84.31,82.13,84.40,79.86
81.93,80.62,83.29,80.40
79.95,78.62,81.72,78.54
78.70,79.00,80.07,77.20
79.00,77.24,79.50,77.16
77.01,75.63,77.65,75.25
75.31,78.35,78.40,74.77
78.79,78.13,78.90,76.17
78.73,76.82,78.73,76.46
75.58,74.52,76.12,74.46
75.48,72.35,75.53,72.00
72.01,76.73,77.10,72.01
76.83,77.03,79.05,76.30
78.31,77.30,78.73,76.39
77.47,77.80,78.82,76.66
