WPPGY,WPP plc - American Depositary Shares each representing five Ordinary Shares,NASDAQ
47.46,46.95,47.95,46.47
50.60,50.37,51.10,50.08
49.57,50.35,51.00,49.54
51.66,52.03,52.29,51.51
51.38,50.82,51.58,50.61
49.77,48.66,49.84,48.00
48.50,48.57,48.66,47.38
48.93,47.35,49.02,46.97
47.02,46.94,47.43,46.31
44.96,44.51,45.46,44.24
44.14,45.72,45.79,44.03
45.26,45.40,45.96,44.96
43.56,44.48,44.50,43.19
45.45,45.22,46.18,45.10
46.67,47.75,47.81,46.50
47.95,46.98,48.10,46.89
46.96,46.57,47.93,46.57
47.12,47.92,47.92,46.82
49.00,48.88,49.15,48.18
47.89,46.91,48.17,46.64
48.04,46.95,48.23,46.92
46.74,46.76,46.98,46.14
48.04,47.65,48.66,47.41
49.87,50.44,50.67,49.74
48.90,49.65,49.76,48.87
50.68,50.11,51.06,50.05
51.48,52.22,52.33,51.10
51.50,51.88,52.29,51.40
51.92,51.89,52.00,51.38
52.09,51.72,52.09,51.65
52.30,51.43,52.39,51.22
51.82,51.15,52.53,51.11
51.66,51.82,52.01,51.14
50.91,50.20,50.99,49.95
50.00,50.11,50.38,49.48
50.12,49.52,50.12,49.27
48.54,47.41,48.54,47.08
47.33,46.81,47.64,46.75
47.09,46.97,47.17,46.32
47.24,47.22,47.58,46.95
48.15,47.51,48.20,46.95
47.33,48.85,48.85,47.22
48.69,49.43,49.60,48.51
49.22,49.02,49.22,48.82
48.67,49.27,49.45,48.66
50.13,50.48,50.69,49.91
50.11,50.64,50.64,49.97
50.52,50.75,50.85,49.86
49.74,48.89,49.74,48.71
48.86,48.86,48.92,48.29
48.02,49.24,49.27,47.84
49.87,49.21,49.98,49.07
50.65,51.45,51.70,50.65
52.06,52.80,52.83,51.92
53.01,53.05,53.21,52.67
53.56,53.10,53.59,52.85
52.44,52.22,52.78,52.19
53.94,53.27,54.15,53.01
52.65,53.32,53.50,52.56
54.53,55.49,55.64,54.41
54.47,54.50,54.63,54.10
54.23,54.44,54.68,54.04
54.77,54.96,55.04,54.44
54.96,55.13,55.48,54.40
55.68,55.80,55.91,55.49
54.35,55.21,55.67,53.95
53.28,52.92,53.28,52.75
51.99,52.15,52.35,51.97
52.18,52.16,52.59,52.01
52.12,52.39,52.74,51.99
53.11,52.69,53.11,52.59
53.43,52.95,53.46,52.86
53.42,52.22,53.45,52.14
51.72,51.86,51.97,51.49
52.21,51.86,52.74,51.85
49.95,49.70,50.14,49.36
48.92,49.27,49.36,48.64
49.62,49.42,49.80,49.29
49.59,49.92,49.99,48.99
49.73,49.15,49.90,49.07
49.03,49.56,49.69,48.97
51.27,51.91,52.21,51.03
51.91,52.27,52.27,51.59
52.80,53.18,53.18,52.42
51.72,51.44,51.75,51.25
52.43,52.94,53.49,52.43
53.39,53.17,53.39,53.06
53.51,53.38,53.62,53.16
53.84,53.88,54.00,53.56
54.10,54.55,54.81,54.01
55.21,55.70,55.71,55.03
55.77,55.81,55.96,55.38
56.20,55.69,56.47,55.47
56.30,56.71,56.81,56.22
56.98,56.97,57.23,56.41
55.99,55.63,56.18,55.38
54.70,55.13,55.58,54.70
56.22,57.07,57.24,56.22
56.97,56.90,57.39,56.79
56.16,56.89,56.91,55.60
55.95,56.00,56.18,55.68
56.30,55.67,56.49,55.35
56.19,56.11,56.31,55.65
55.28,55.23,55.60,54.94
54.75,55.85,55.96,54.68
55.75,55.75,55.91,55.59
55.59,55.36,55.63,55.11
55.12,55.72,55.86,55.07
55.71,55.72,55.90,55.59
55.67,56.00,56.07,55.26
56.55,56.64,56.89,56.35
56.85,57.34,57.34,56.60
57.67,57.65,57.90,57.40
57.99,58.51,58.56,57.88
57.49,57.28,57.94,57.14
57.14,57.57,57.80,57.13
58.06,57.82,58.60,57.50
57.59,57.58,57.66,57.34
58.50,58.36,58.70,58.30
57.84,58.06,58.25,57.67
57.23,56.93,57.25,56.45
57.08,57.37,57.47,56.62
58.10,58.04,58.31,57.82
58.85,58.72,59.20,58.35
59.05,58.74,59.21,58.55
59.71,60.36,60.37,59.64
61.21,61.33,61.43,60.99
61.25,61.07,61.29,60.90
60.23,60.32,60.48,60.05
60.47,59.59,60.88,59.35
59.88,60.04,60.17,59.37
59.03,59.11,59.23,58.90
59.13,59.08,59.61,58.85
58.96,58.68,59.15,58.63
57.82,57.26,57.92,56.95
57.90,58.00,58.27,57.79
59.26,59.14,59.47,59.01
59.16,59.27,59.38,58.79
58.68,58.61,58.86,57.98
57.49,56.86,57.55,56.62
57.11,57.61,57.61,56.97
56.16,56.73,56.84,56.12
55.73,56.06,56.08,55.34
55.51,55.56,55.99,55.47
57.09,57.02,57.16,56.50
57.40,58.78,58.79,57.40
58.78,59.76,59.78,58.78
58.73,59.00,59.08,58.64
60.35,59.91,60.43,59.88
60.29,60.50,60.60,60.05
61.29,61.32,61.50,60.99
60.74,60.91,61.00,60.50
61.29,61.25,61.65,61.08
60.53,60.56,60.76,60.19
60.11,60.02,60.48,59.74
60.72,60.61,60.80,60.29
60.82,61.00,61.01,60.47
61.15,61.02,61.29,60.84
61.35,61.47,61.58,61.28
61.09,61.05,61.12,60.84
61.11,61.26,61.44,61.10
60.82,60.99,61.06,60.46
60.94,60.76,61.08,60.65
61.29,61.60,61.70,61.29
61.12,61.57,61.59,61.07
61.83,61.97,62.12,61.56
62.13,62.27,62.47,61.97
62.33,62.13,62.35,61.89
60.79,60.65,60.80,60.29
60.70,61.25,61.51,60.69
61.76,62.32,62.40,61.55
60.87,60.98,61.05,60.41
60.73,60.83,60.85,60.49
60.57,61.03,61.03,60.39
60.91,61.12,61.54,60.91
60.92,61.71,61.78,60.85
63.93,63.91,64.17,63.75
64.30,62.95,64.44,62.81
63.07,62.78,63.08,62.18
63.32,63.52,63.71,63.26
63.03,63.79,63.79,62.96
61.70,61.96,61.96,61.10
63.01,62.91,63.15,62.52
62.95,62.78,63.19,62.43
62.15,61.68,62.34,61.29
61.35,61.98,62.12,61.23
62.72,62.84,62.97,62.47
62.93,62.93,63.13,62.67
63.15,63.21,63.21,62.51
63.39,64.34,64.49,63.32
64.83,65.53,65.64,64.78
65.34,65.94,65.94,64.90
65.27,65.57,65.80,65.20
65.96,66.52,66.77,65.78
66.53,66.77,67.11,66.50
66.56,67.03,67.06,66.42
67.68,66.82,67.75,66.76
67.08,68.27,68.36,67.08
67.69,67.97,67.97,67.50
68.07,68.72,68.72,67.98
67.57,66.93,67.92,66.79
67.56,66.99,67.77,66.58
66.24,66.39,66.43,65.88
66.47,67.27,67.29,66.40
69.03,68.78,69.50,68.51
68.03,66.83,68.25,66.74
67.93,67.76,68.26,67.55
68.51,68.17,68.68,68.03
66.11,66.34,66.37,65.57
67.14,66.40,67.32,66.18
65.32,65.43,65.68,65.04
65.48,65.71,65.78,65.11
63.24,62.17,63.24,61.97
62.79,62.83,63.18,62.49
62.77,62.64,62.94,62.26
59.71,60.90,61.20,59.56
60.48,58.74,60.57,58.20
60.96,60.35,61.00,60.35
61.75,61.40,61.88,61.27
62.65,62.66,63.02,62.40
62.22,61.87,62.30,61.63
60.52,61.07,61.07,60.27
61.20,61.38,61.51,60.86
61.47,60.91,61.70,60.79
61.04,60.89,61.19,60.84
60.94,61.66,61.75,60.87
63.04,62.87,63.28,62.57
61.94,61.76,62.04,61.70
63.03,63.21,63.50,62.92
63.76,63.42,63.90,63.35
63.66,63.89,64.25,63.61
64.02,64.23,64.38,63.97
63.36,63.10,63.60,62.59
63.06,62.20,63.14,61.93
61.49,61.31,61.69,61.02
60.10,60.00,60.22,59.66
60.35,59.81,60.41,59.54
59.28,59.37,59.55,59.07
59.74,59.10,59.75,58.79
58.65,59.16,59.16,58.26
59.38,59.43,59.76,59.24
61.15,61.83,62.26,61.14
62.43,61.81,62.46,61.55
61.61,61.82,61.87,61.32
61.23,61.19,61.68,61.08
62.69,63.56,63.76,62.55
64.96,64.93,65.23,64.59
64.96,65.29,65.35,64.91
65.30,64.82,65.63,64.74
63.79,63.71,64.09,63.41
63.66,63.15,63.68,62.86
62.61,62.44,62.85,61.87
62.65,62.48,63.07,62.09
61.92,62.61,62.63,61.74
63.16,63.49,63.50,63.01
63.98,62.96,64.08,62.74
62.71,62.94,63.18,62.31
62.79,62.11,62.90,61.63
61.87,61.86,62.40,61.65
61.52,61.77,61.81,61.12
60.93,61.43,61.43,60.90
61.89,62.00,62.13,61.46
62.01,61.77,62.21,61.43
60.01,60.40,60.41,59.87
60.28,60.20,60.56,60.02
59.59,60.55,60.76,59.53
60.28,60.85,61.04,60.21
60.87,61.38,61.69,60.87
62.60,62.37,62.74,61.88
61.29,59.63,61.31,59.53
59.90,59.92,60.53,59.55
59.99,60.47,60.85,59.88
60.10,59.62,60.23,59.58
60.33,59.87,60.52,59.87
59.18,59.16,59.48,59.05
60.06,60.41,60.43,59.88
59.89,58.95,59.92,58.72
60.02,59.91,60.28,59.59
60.96,61.03,61.24,60.83
60.01,59.39,60.41,59.30
59.43,59.38,59.74,58.94
59.81,59.73,60.07,59.50
59.63,59.90,60.16,59.63
60.00,60.49,60.56,59.94
60.44,60.37,60.95,60.33
59.02,59.44,59.44,58.49
59.92,59.33,60.04,59.14
59.07,59.61,59.90,58.90
59.69,60.23,60.23,59.53
61.28,61.88,62.11,60.95
62.20,62.75,62.77,62.20
61.87,62.54,62.65,61.71
63.26,62.87,63.54,62.66
60.99,61.22,61.27,60.65
61.20,61.68,61.88,61.12
60.92,60.80,61.14,60.45
58.66,58.66,58.97,58.30
57.77,57.84,58.38,57.77
58.42,58.87,59.57,58.32
58.62,57.68,58.69,57.46
57.43,57.07,57.55,56.83
56.24,55.65,56.40,55.11
57.04,57.50,57.68,56.96
58.10,58.15,58.39,57.74
58.79,59.14,59.36,58.54
59.84,59.43,59.97,59.30
59.18,59.18,59.42,59.07
58.98,59.10,59.36,58.69
58.68,57.69,58.71,57.56
57.52,57.09,57.86,56.96
56.67,56.59,57.33,56.36
57.54,56.02,57.65,55.65
54.93,54.08,55.19,54.05
54.19,54.46,54.53,53.46
52.41,50.23,52.75,50.18
51.34,50.78,51.55,49.68
49.22,47.29,49.83,47.21
49.53,50.87,50.88,47.99
50.05,48.46,50.06,48.35
48.23,50.21,50.81,47.90
50.64,51.65,52.14,50.63
52.61,52.80,53.06,52.37
51.49,51.77,52.11,51.00
51.96,51.52,52.36,51.28
49.85,49.27,49.86,48.51
48.43,48.24,49.74,48.09
49.02,47.50,49.02,47.29
47.63,49.16,49.16,47.26
51.11,51.17,51.78,50.60
50.50,49.40,50.78,49.39
49.33,50.50,50.53,48.94
51.24,51.48,51.56,51.01
51.30,51.40,51.56,50.59
52.78,52.37,53.17,51.99
52.39,51.66,52.54,51.57
50.24,49.53,51.04,49.53
47.13,47.53,47.56,46.55
49.11,49.65,49.76,48.83
49.34,49.30,50.42,49.29
48.41,47.79,48.56,47.57
46.28,47.15,47.17,46.20
47.70,48.08,48.19,47.41
48.33,48.98,49.20,47.46
49.52,49.66,49.80,49.29
49.71,49.59,49.89,49.33
47.94,48.38,48.78,47.94
48.67,48.63,49.01,48.31
48.70,47.26,48.88,47.26
45.62,45.40,46.07,44.91
45.50,46.53,46.60,45.49
47.72,47.78,47.86,46.77
49.57,49.49,50.36,49.34
49.57,48.31,49.89,48.19
49.75,49.03,50.13,48.20
47.18,46.05,47.27,46.01
45.89,45.04,46.39,44.88
44.21,45.90,45.90,43.98
45.51,45.97,45.99,45.19
45.56,47.54,47.58,45.44
48.41,48.26,49.09,48.24
48.86,49.29,49.29,48.85
48.97,49.11,49.32,48.81
50.28,50.65,51.22,50.17
49.89,49.89,50.08,49.28
51.59,51.45,51.81,51.06
51.35,49.91,51.37,49.87
50.90,50.59,50.97,49.28
50.09,49.22,50.21,49.14
48.79,49.10,49.25,48.26
50.02,50.44,50.53,49.95
50.78,51.70,51.91,50.78
52.19,51.53,52.29,51.46
52.55,52.30,52.72,51.37
54.76,54.98,55.23,53.79
55.07,55.38,56.00,54.93
53.37,51.83,53.50,51.82
50.49,50.90,51.49,50.14
51.90,52.16,52.49,51.65
54.04,54.17,54.43,52.81
53.12,53.26,53.63,52.90
53.08,53.71,53.84,52.95
53.75,54.15,54.26,53.13
52.11,51.30,52.29,51.23
52.25,51.88,52.25,51.02
52.84,53.65,53.80,52.82
52.62,52.37,52.87,52.08
51.98,52.13,52.42,51.66
51.91,51.64,52.52,51.59
51.98,51.00,52.05,50.84
51.13,50.87,51.22,50.52
49.66,49.28,49.77,48.95
49.00,49.22,49.50,48.96
48.75,47.92,48.93,47.92
47.69,47.32,48.03,47.32
49.75,49.74,50.05,49.51
50.57,50.37,50.91,50.26
51.93,52.47,52.59,51.82
52.28,51.96,52.70,51.83
52.84,52.20,52.95,52.12
53.09,52.44,53.22,52.07
52.58,52.52,52.93,52.33
52.00,52.52,52.77,51.68
52.18,51.34,52.42,51.24
51.69,52.39,52.40,51.69
51.53,50.87,51.53,50.50
51.16,49.74,51.45,49.05
49.91,49.30,50.00,49.16
50.09,49.58,50.12,49.49
49.76,49.51,50.00,49.31
49.60,49.01,49.86,49.00
50.91,50.94,51.31,50.79
51.23,51.04,51.23,50.63
50.98,51.17,51.21,50.70
51.26,51.10,51.69,50.92
51.23,51.45,51.64,51.16
51.87,51.17,51.90,51.17
51.31,51.67,51.78,50.89
52.31,52.23,52.54,51.94
52.69,53.15,53.36,52.69
52.98,53.04,53.23,52.65
52.21,52.14,52.27,51.70
53.38,52.96,53.39,52.69
54.18,54.33,54.33,53.88
56.19,55.78,56.42,55.73
54.90,55.51,55.51,54.61
55.96,56.35,56.43,55.59
55.28,55.91,56.00,54.97
56.99,56.65,57.17,56.56
57.05,57.72,57.79,56.96
57.26,58.01,58.01,57.02
57.83,58.02,58.08,57.61
58.23,58.66,58.99,58.18
58.06,58.37,58.55,57.84
58.40,58.92,59.02,57.93
59.47,59.04,59.47,58.57
58.76,58.66,59.04,58.38
57.70,57.84,58.00,57.42
58.85,58.62,58.91,58.43
59.76,59.92,60.24,59.74
60.11,60.18,60.63,60.11
60.73,61.52,61.56,60.72
61.07,63.20,65.33,60.94
62.26,63.01,63.14,61.89
62.68,62.53,62.84,62.07
62.08,62.09,62.34,61.53
61.38,61.47,61.69,61.04
62.42,62.84,62.94,62.34
62.63,62.84,62.91,62.11
63.46,63.09,63.85,62.98
63.11,64.27,64.45,63.09
64.55,64.46,64.59,64.01
63.41,63.32,63.47,63.05
62.32,63.18,63.24,62.30
62.97,63.82,63.85,62.55
64.03,63.95,64.12,63.59
62.85,63.15,63.27,62.59
63.49,64.64,64.74,63.42
64.64,64.17,64.72,63.90
66.45,65.99,66.65,65.87
66.13,65.59,66.16,65.29
65.34,64.75,65.34,64.24
63.11,62.60,63.34,62.52
63.56,63.96,64.07,63.33
64.79,65.40,65.63,64.79
65.06,64.58,65.16,64.42
64.54,64.38,64.58,64.09
65.21,66.09,66.09,65.08
65.99,65.59,66.22,65.30
65.48,65.97,66.02,65.08
66.77,67.81,68.10,66.76
68.26,68.60,68.99,68.25
67.49,67.25,67.77,67.11
67.44,67.51,67.95,67.09
68.07,68.06,68.26,67.75
68.42,68.37,68.56,67.72
69.91,70.03,70.16,69.76
69.62,68.92,69.70,68.92
68.92,68.16,69.02,67.88
67.60,68.04,68.07,67.37
68.01,68.37,68.48,67.45
68.66,69.98,70.30,68.34
69.37,68.60,69.44,68.09
66.24,66.01,66.62,65.57
66.24,67.02,67.16,66.24
66.00,66.68,66.87,65.94
65.84,64.55,65.97,64.50
66.09,66.27,66.35,65.84
66.95,68.66,68.79,66.93
67.24,66.89,67.27,66.43
67.07,67.25,67.49,66.43
68.48,68.67,68.88,68.14
68.60,68.70,68.98,68.56
68.33,68.48,69.17,68.08
68.02,67.87,68.42,67.59
66.41,66.97,67.04,65.94
67.22,67.22,67.44,66.93
67.79,68.45,68.59,67.73
66.93,68.60,68.62,66.93
68.42,68.74,69.00,67.98
68.16,67.82,68.22,67.28
67.99,68.78,69.11,67.99
68.08,68.66,68.66,67.77
68.86,68.37,69.02,68.13
67.14,66.79,67.42,66.34
66.63,67.21,67.42,66.23
66.26,66.28,66.57,65.32
64.47,65.47,65.73,64.17
65.34,65.66,65.95,65.26
65.32,65.73,66.38,65.25
64.46,64.47,64.96,63.99
64.05,64.25,64.72,63.98
63.82,63.19,63.91,63.19
62.84,62.03,62.96,62.00
61.45,60.48,61.52,60.40
61.35,61.92,62.00,61.03
62.19,61.88,62.59,61.64
61.06,61.59,61.59,60.50
61.47,61.92,62.19,61.17
60.89,61.00,61.33,60.60
62.39,62.50,62.74,62.01
61.28,60.72,61.31,60.72
60.40,59.83,60.41,58.92
57.68,57.56,58.28,57.02
57.58,57.71,58.04,57.17
57.36,58.11,58.16,57.32
57.64,59.17,59.26,57.56
60.20,59.54,60.22,59.38
58.49,59.27,59.37,58.32
60.27,58.75,60.33,58.64
59.32,60.07,60.22,58.74
58.53,58.18,58.87,57.98
57.33,58.14,58.26,57.13
58.09,58.89,58.98,58.09
59.12,59.03,59.50,58.86
59.57,60.40,60.71,59.42
60.97,61.16,61.52,60.69
60.83,59.86,61.05,59.77
60.29,59.79,60.29,59.34
58.32,58.00,58.32,57.79
58.19,58.56,58.66,58.02
58.35,59.04,59.12,58.27
58.18,58.80,58.82,57.99
60.82,60.86,61.37,60.50
62.20,62.73,62.83,61.98
63.13,63.37,63.63,63.13
62.21,62.14,62.35,61.70
61.85,61.97,62.13,61.69
61.87,61.87,61.91,61.42
62.93,62.30,63.01,62.15
61.24,61.00,61.36,60.54
60.30,60.98,61.08,60.01
61.21,62.06,62.34,61.21
61.59,61.64,61.69,61.06
62.22,62.76,62.76,61.51
62.37,63.63,63.68,62.29
64.20,64.31,64.64,64.01
64.42,64.11,64.58,64.06
61.48,61.95,62.02,61.23
62.08,61.53,62.08,60.89
62.59,62.68,63.12,62.26
64.47,64.22,64.87,63.87
64.94,66.32,66.58,64.88
64.87,64.91,65.08,64.56
64.27,63.57,64.34,63.30
63.49,63.65,64.16,63.31
62.41,62.26,62.63,61.68
64.20,65.01,65.19,64.14
65.56,65.87,66.24,65.54
66.39,66.26,66.73,66.19
66.31,66.51,66.68,66.10
67.03,67.13,67.21,66.74
66.80,67.80,67.90,66.72
67.19,67.09,67.32,66.78
66.80,67.04,67.13,66.65
67.11,67.22,67.40,67.01
66.90,67.42,67.50,66.76
67.52,67.93,67.96,67.09
67.53,67.69,67.80,67.22
67.92,67.87,68.29,67.62
67.00,67.57,67.73,66.89
67.56,67.20,67.78,67.16
66.09,66.72,66.84,65.83
66.87,66.78,67.18,66.61
66.01,66.21,66.53,65.95
66.58,66.07,66.58,65.93
64.18,64.66,65.01,64.13
64.85,64.89,65.17,64.39
64.75,64.76,64.89,64.18
64.90,64.95,65.21,64.63
65.14,66.08,66.28,65.06
67.26,67.09,67.34,66.41
67.19,67.29,67.62,67.19
67.18,67.36,67.55,67.18
67.48,67.78,67.85,67.41
68.08,69.23,69.61,67.95
70.00,69.78,70.22,69.68
69.48,69.32,69.77,69.13
68.85,68.80,69.32,68.66
69.67,69.73,70.00,69.46
69.67,70.26,70.47,69.26
70.94,70.29,70.94,70.25
70.17,70.37,70.54,70.10
70.57,69.71,71.03,69.71
69.14,68.81,69.40,68.75
69.00,69.36,69.61,68.75
68.80,68.13,68.80,67.76
68.28,67.93,68.75,67.81
69.25,69.15,69.48,68.95
69.03,68.73,69.11,68.55
69.32,69.86,69.86,69.08
70.77,70.42,71.15,70.31
69.83,69.70,69.84,69.52
69.80,69.42,69.89,69.41
68.76,68.46,68.91,68.43
69.62,69.16,69.85,69.13
69.03,68.70,69.21,68.51
68.62,69.30,69.32,68.57
69.09,68.95,69.17,68.62
68.67,68.54,68.77,68.43
68.15,68.34,68.80,68.12
67.52,67.07,67.55,66.95
67.40,67.46,67.48,66.98
66.25,65.76,66.27,65.31
65.56,64.85,65.69,64.65
63.79,63.90,64.14,63.56
64.37,64.52,64.90,64.18
64.50,64.64,64.97,64.40
65.39,65.71,65.87,65.28
65.34,65.02,65.56,64.91
64.86,65.11,65.24,64.78
65.73,66.46,66.46,65.64
65.16,65.55,65.76,64.81
64.41,64.37,64.69,64.25
64.21,64.41,64.67,64.13
65.07,63.27,65.15,62.66
63.54,63.97,64.49,63.42
64.12,63.40,64.32,63.18
63.39,63.45,63.84,63.22
63.94,64.08,64.18,63.49
64.59,64.83,64.87,64.32
65.03,64.73,65.15,64.43
65.36,65.74,65.92,65.25
67.55,67.93,67.99,67.50
67.63,67.73,67.85,67.44
67.66,67.49,67.94,67.47
66.80,67.87,67.96,66.76
68.44,68.66,68.82,68.28
68.56,68.70,68.88,68.39
69.08,68.64,69.08,68.57
69.02,68.82,69.13,68.67
69.34,69.33,69.84,69.10
70.38,69.86,70.39,69.63
69.70,69.60,69.82,69.27
69.10,69.25,69.30,68.92
69.93,70.22,70.27,69.92
69.80,69.73,70.26,69.41
69.76,69.78,70.13,69.59
70.29,70.33,70.67,70.23
70.40,70.53,70.53,70.24
71.11,71.96,72.12,71.06
72.12,71.79,72.19,71.65
72.13,72.60,72.74,72.02
71.98,71.84,72.45,71.68
71.99,72.21,72.23,71.95
72.25,71.52,72.41,71.35
72.45,71.90,72.49,71.47
71.71,71.35,72.03,71.31
71.89,72.90,72.96,71.89
74.72,75.40,75.41,74.48
74.06,73.88,74.41,73.71
73.56,74.37,74.56,73.50
73.87,74.14,74.15,73.68
73.55,73.02,73.69,72.68
72.63,72.81,72.87,72.50
73.87,74.48,74.56,73.87
75.40,75.79,75.90,75.06
75.22,76.28,76.31,75.10
76.63,77.18,77.35,76.56
76.47,76.15,76.50,76.12
76.54,76.90,77.15,76.49
77.18,77.31,77.45,77.02
76.75,76.84,76.89,76.49
76.11,76.10,76.15,75.78
76.60,76.94,77.23,76.60
77.27,77.50,77.59,77.01
76.67,76.53,76.67,76.07
76.65,77.17,77.24,76.64
78.61,78.28,78.88,78.09
78.30,78.43,78.94,78.25
79.87,79.32,79.91,78.81
78.72,78.19,78.79,78.09
78.49,78.35,78.74,78.17
78.81,79.01,79.08,78.69
78.38,78.91,78.96,77.92
79.92,80.21,80.54,79.80
79.31,79.25,79.38,78.88
78.30,79.24,79.36,78.30
79.17,79.62,79.87,79.17
79.04,79.15,79.53,78.85
80.51,81.14,81.60,80.47
81.79,81.69,82.21,81.45
81.56,80.68,81.71,80.68
78.98,78.84,79.04,78.43
79.38,79.37,79.38,78.64
78.68,77.67,79.36,77.59
78.01,77.93,78.27,77.30
77.59,78.89,78.99,77.46
79.19,79.74,80.45,79.18
79.25,79.61,79.84,78.88
80.92,81.28,81.34,80.60
82.15,81.53,82.32,81.39
81.74,81.14,81.74,80.74
81.53,81.78,81.94,81.46
81.29,81.25,81.35,80.77
80.07,80.44,80.46,79.82
81.27,81.20,81.55,81.07
81.07,81.20,81.32,80.76
80.80,81.60,81.70,80.68
81.88,81.31,81.96,81.28
81.05,81.19,81.81,81.05
81.58,81.34,81.86,81.07
82.06,81.25,82.20,81.09
80.50,80.58,81.07,80.42
80.65,80.96,81.34,80.49
80.95,79.80,80.95,79.36
79.40,79.55,79.55,79.08
78.07,78.96,79.04,77.60
79.36,80.12,80.22,79.29
80.00,79.71,80.04,79.60
80.88,80.39,81.16,80.36
81.44,80.32,81.53,80.32
80.34,80.56,80.56,80.08
78.28,79.13,79.13,78.17
79.50,79.40,79.62,78.72
79.48,79.16,79.53,78.57
79.86,80.31,80.67,79.66
81.84,82.66,83.32,81.83
82.87,82.90,83.07,81.98
79.44,78.87,79.59,78.62
80.20,80.87,80.99,80.00
79.51,78.57,79.51,77.94
78.70,78.25,78.88,78.14
79.14,79.64,79.97,79.14
79.53,79.30,79.62,78.39
80.93,81.61,82.27,80.89
80.97,81.16,81.51,80.82
82.90,82.22,83.21,82.10
81.58,82.34,82.38,81.56
81.57,82.14,82.32,81.32
82.15,82.54,82.72,81.17
82.92,82.32,83.23,82.12
83.04,83.93,84.46,82.59
84.19,84.24,84.49,83.80
84.22,84.16,84.53,83.95
84.68,84.89,84.93,84.10
86.66,87.18,87.26,85.15
85.27,85.96,86.01,85.02
86.02,86.65,86.65,85.76
86.09,86.41,86.42,85.84
86.37,87.35,87.50,86.37
87.27,88.08,88.21,87.26
88.48,87.68,88.68,87.67
87.69,87.98,88.14,87.62
88.25,88.61,88.79,87.97
88.09,88.59,88.97,88.09
88.81,87.53,89.19,87.53
87.05,87.75,88.06,86.56
86.30,87.28,87.28,86.07
89.31,89.12,89.64,88.91
87.35,87.27,87.53,86.69
87.60,88.31,88.75,87.60
85.77,85.07,86.26,84.98
85.32,85.70,85.84,85.03
85.75,85.27,86.20,85.01
84.53,84.47,85.24,84.33
84.81,85.73,85.76,84.67
85.49,86.60,86.70,85.12
86.93,86.21,86.93,86.08
85.45,85.64,86.31,85.37
87.98,86.42,87.99,86.33
86.55,89.09,89.19,86.20
87.62,87.91,88.29,87.48
88.13,88.36,88.66,87.68
88.01,88.89,89.05,87.85
