ISRL,Isramco,NASDAQ
67.76,67.75,70.33,67.75
65.68,65.55,66.05,65.55
65.55,64.80,65.55,64.01
66.83,66.83,66.83,66.83
68.00,65.91,68.00,65.91
65.91,65.91,65.91,65.91
65.00,66.37,66.37,65.00
65.57,65.63,67.01,65.57
66.28,65.55,67.00,65.55
68.00,68.70,70.24,65.65
68.70,68.70,68.70,68.70
66.08,66.08,66.08,66.08
64.72,67.70,68.72,64.72
65.20,65.25,66.00,65.20
65.00,65.00,65.00,65.00
62.96,62.96,62.96,62.96
62.96,62.96,62.96,62.96
63.97,63.97,63.97,63.97
61.97,61.97,61.97,61.97
62.50,62.50,62.50,62.50
59.00,59.00,59.10,59.00
59.20,59.20,59.20,59.20
52.36,51.51,59.00,50.40
52.00,51.01,52.20,51.01
52.05,53.98,53.98,52.00
56.48,57.15,58.99,56.48
59.01,59.01,59.01,59.01
58.99,58.74,58.99,57.16
55.22,55.22,55.22,55.22
57.01,57.01,57.01,57.01
55.01,55.01,55.01,55.01
53.47,52.41,53.47,52.41
51.10,50.34,51.10,50.34
49.95,49.92,50.36,49.31
48.81,50.13,52.39,48.81
49.13,49.13,49.13,49.13
49.14,49.30,54.98,49.14
49.52,53.22,53.22,49.52
51.42,51.01,52.00,49.80
49.36,45.05,49.36,45.05
47.69,51.44,51.44,47.69
52.90,54.87,58.48,52.90
56.50,51.53,57.00,51.53
47.77,51.60,52.00,47.00
50.09,51.96,51.96,50.09
54.68,55.85,56.50,54.68
56.00,57.58,57.58,56.00
56.55,57.14,57.14,56.55
57.14,57.14,57.14,57.14
54.21,58.28,58.28,54.21
61.50,58.30,61.90,58.12
61.13,61.13,61.13,61.13
63.59,59.34,63.59,59.03
63.00,60.30,63.00,60.30
60.41,58.51,62.12,58.51
59.45,59.45,59.45,59.45
57.00,57.01,58.33,57.00
55.57,49.50,59.00,49.50
50.01,47.75,50.11,43.41
44.94,46.21,46.21,44.94
46.30,47.18,47.68,46.30
49.25,45.56,55.00,45.56
50.99,50.20,52.40,49.00
50.83,50.52,54.37,49.62
53.49,53.06,53.53,50.51
54.99,53.58,56.00,53.58
54.03,56.29,56.29,51.77
56.95,54.45,56.95,54.45
55.74,57.62,58.31,55.74
54.19,56.47,58.95,54.18
59.38,55.36,59.38,54.59
54.74,53.82,57.80,52.76
55.90,52.55,55.90,52.40
54.90,51.51,54.90,49.71
51.80,48.90,53.50,48.90
52.21,54.42,54.48,50.93
53.40,53.41,53.65,52.02
52.83,56.45,56.45,52.56
55.22,52.43,55.22,51.88
52.43,52.43,52.43,52.43
54.05,53.98,54.05,52.25
53.68,56.10,56.10,53.28
55.00,56.03,56.50,55.00
54.01,54.29,54.29,54.01
58.55,58.55,58.55,58.55
58.99,57.91,58.99,57.91
55.74,55.74,55.74,55.74
54.72,55.86,55.97,54.72
55.03,54.96,56.17,54.61
54.50,57.02,58.80,54.49
57.02,57.02,57.02,57.02
53.51,53.59,53.75,53.50
58.50,56.60,58.50,55.15
59.99,59.99,59.99,59.99
58.97,58.97,58.97,58.97
54.27,54.27,54.27,54.27
54.41,54.65,55.05,54.41
53.59,53.59,53.59,53.59
53.59,53.06,53.59,53.05
54.26,54.98,54.98,54.26
54.70,54.70,54.70,54.70
53.74,53.73,53.74,52.49
50.46,50.53,50.53,50.46
48.08,50.90,50.90,47.66
49.63,52.86,52.98,49.63
52.85,55.98,55.98,52.85
55.97,55.97,55.97,55.97
56.29,53.83,58.34,53.83
57.94,56.97,57.94,56.52
52.21,53.77,57.38,52.21
56.85,57.32,57.32,56.37
57.99,60.41,60.41,57.50
61.49,58.93,61.49,58.93
55.13,56.92,56.92,55.13
55.28,56.80,56.80,55.07
58.52,56.53,61.34,56.53
57.58,59.47,59.47,57.56
59.46,59.91,60.61,59.46
59.89,58.51,59.89,58.51
59.80,58.65,59.90,58.65
60.05,60.05,60.05,60.05
60.29,60.29,60.29,60.29
60.29,61.13,61.13,60.29
61.99,60.75,61.99,60.53
60.20,60.20,60.20,60.20
60.20,60.20,60.20,60.20
59.00,57.44,59.20,57.44
60.93,60.70,60.93,60.20
59.08,59.89,59.89,59.08
58.45,58.45,58.45,58.45
58.57,60.40,60.82,58.57
59.34,59.45,59.45,58.74
59.20,59.11,59.20,58.60
59.90,59.90,59.90,59.90
60.00,56.63,60.00,56.63
59.85,57.47,59.85,57.47
60.00,58.50,60.24,58.00
58.96,58.96,58.96,58.96
58.96,58.85,58.96,58.85
58.90,58.35,58.90,56.58
57.72,57.60,58.09,57.60
56.05,55.96,57.00,55.96
55.93,57.50,57.50,55.00
59.97,57.98,59.97,57.98
57.63,56.53,57.63,56.53
56.52,57.30,57.30,56.52
57.65,57.12,59.60,57.12
59.02,59.02,59.02,59.02
58.67,58.67,58.67,58.67
59.20,60.06,60.06,58.70
60.30,59.51,60.30,59.51
58.71,57.44,59.80,56.36
59.84,57.11,60.02,57.11
58.16,58.49,58.49,58.16
58.52,58.30,59.90,58.30
58.14,57.06,58.14,57.06
57.06,57.78,57.78,57.06
57.75,56.54,57.75,54.42
56.71,58.40,58.40,56.71
60.00,60.00,60.00,60.00
61.00,57.84,61.00,57.84
57.01,57.01,57.01,57.01
57.07,57.07,57.07,57.07
60.05,59.99,60.97,59.99
57.53,57.53,57.53,57.53
57.75,57.55,58.01,54.32
57.53,57.32,60.32,57.00
59.94,58.87,59.94,57.24
59.93,59.90,59.93,58.87
59.89,60.99,60.99,59.47
60.20,60.92,60.97,60.20
61.00,62.50,62.50,60.50
63.50,62.18,66.10,62.18
62.01,61.52,62.01,61.52
62.00,62.39,62.39,61.67
62.89,61.37,62.89,61.37
65.89,63.99,65.89,58.87
62.26,67.62,68.49,62.26
67.67,66.29,67.67,66.29
67.59,80.79,85.41,63.51
79.85,82.27,85.00,79.03
82.65,86.00,86.00,82.65
86.05,86.05,86.05,86.05
84.90,87.64,91.30,83.00
88.31,87.80,88.31,87.80
91.43,90.36,91.43,90.36
91.43,90.00,91.43,90.00
86.60,85.75,86.60,84.50
84.30,84.30,84.30,84.30
89.19,82.75,90.00,81.60
81.47,81.38,81.47,81.38
81.21,82.95,82.97,81.21
86.50,86.50,86.50,86.50
82.60,84.30,84.30,82.60
83.92,83.92,83.92,83.92
83.17,81.85,83.17,81.85
82.87,82.55,82.87,82.55
82.55,82.55,82.55,82.55
81.53,81.29,81.53,80.86
80.17,75.01,80.17,74.00
77.35,74.01,77.35,74.01
76.35,73.24,76.35,73.00
74.58,73.90,74.58,71.70
71.73,70.83,72.39,70.82
71.80,71.80,71.80,71.80
72.55,73.84,73.84,71.94
74.00,71.89,74.00,71.89
71.81,69.82,71.81,66.27
68.37,66.42,68.37,66.42
66.75,72.64,72.64,66.75
68.50,68.50,68.50,68.50
68.50,68.50,68.50,68.50
68.76,69.50,69.61,68.51
69.71,70.00,70.01,69.71
70.00,70.00,70.00,70.00
68.89,67.60,68.89,67.60
67.84,64.17,67.84,63.86
63.81,64.33,64.48,63.81
64.33,64.33,64.33,64.33
62.23,63.50,65.50,61.60
63.50,63.50,63.50,63.50
65.06,64.93,65.06,64.93
65.11,63.44,65.11,63.44
60.68,61.26,62.86,60.68
61.98,61.36,63.80,61.35
64.40,64.29,64.40,62.40
62.76,63.99,64.00,61.32
65.04,64.00,65.04,64.00
64.73,62.50,65.20,62.50
64.97,65.75,65.75,64.97
66.06,72.80,72.80,66.06
73.25,73.77,73.77,70.50
78.30,71.00,78.30,71.00
71.36,74.43,74.43,71.36
71.54,70.12,71.80,70.12
69.11,64.22,69.64,64.22
64.06,63.82,64.06,63.82
66.00,65.00,66.00,65.00
61.89,61.64,66.00,61.00
61.25,56.14,61.25,55.76
57.70,58.36,58.36,56.69
59.04,59.10,59.10,57.42
60.59,61.44,61.50,59.90
61.47,61.14,61.60,61.14
61.61,61.61,61.61,61.61
64.06,64.06,64.06,64.06
62.23,63.98,63.98,62.23
67.02,67.02,67.02,67.02
64.10,64.42,64.42,64.10
65.00,65.02,65.02,65.00
64.99,65.00,65.00,64.99
65.01,65.01,65.01,65.01
65.01,65.01,65.01,65.01
65.01,65.01,65.01,65.01
65.47,66.00,66.00,65.34
67.90,67.90,67.90,67.90
66.54,65.30,66.69,63.79
65.50,64.07,65.55,64.07
64.55,64.55,64.55,64.55
66.86,64.04,66.86,64.01
64.04,64.04,64.04,64.04
64.34,63.00,64.34,62.28
62.08,61.99,63.67,61.99
63.03,63.03,63.03,63.03
62.05,63.19,63.19,62.05
63.19,63.19,63.19,63.19
63.19,63.19,63.19,63.19
63.93,65.48,65.48,63.93
65.48,65.48,65.48,65.48
67.88,67.88,67.88,67.88
66.80,66.80,66.80,66.80
66.80,66.80,66.80,66.80
64.33,65.21,68.99,63.74
63.20,63.20,63.20,63.20
64.24,64.24,64.24,64.24
64.24,64.24,64.24,64.24
64.97,65.85,65.85,64.34
64.42,64.47,64.47,63.00
62.36,62.02,62.36,62.02
62.00,62.00,62.00,62.00
62.00,61.56,63.00,61.56
61.66,61.48,61.75,61.48
63.00,61.00,63.00,61.00
61.20,63.34,63.34,61.00
64.19,61.89,64.19,61.89
61.31,61.62,61.62,61.31
61.00,60.90,61.20,60.90
61.69,61.69,61.69,61.69
60.27,63.28,63.28,60.27
65.80,65.80,65.80,65.80
63.26,63.26,63.26,63.26
65.64,66.23,66.23,65.64
63.60,63.24,65.80,63.24
63.28,63.28,63.28,63.28
63.43,59.55,66.52,59.50
59.64,59.64,59.64,59.64
63.98,62.21,65.58,61.46
64.76,60.60,65.21,60.60
60.88,60.21,60.98,60.21
59.74,60.03,61.46,59.74
60.28,60.34,63.51,60.28
61.65,60.95,61.65,60.56
60.09,59.50,60.67,59.50
59.50,61.71,62.81,58.67
62.77,59.72,62.77,59.02
59.24,60.04,60.04,59.05
60.18,61.47,61.47,60.18
59.55,60.32,64.00,59.55
59.23,58.99,59.23,58.20
59.05,62.66,62.66,58.35
61.79,62.89,62.89,59.52
63.98,68.29,69.56,63.48
64.87,65.80,66.80,64.87
66.00,66.08,66.30,66.00
65.29,66.10,66.10,65.24
66.13,66.60,66.60,65.47
65.15,68.00,70.00,64.36
67.19,68.99,70.34,67.19
68.98,67.21,69.39,67.21
66.19,65.29,66.20,65.13
66.00,65.49,67.40,65.49
66.20,66.35,67.14,66.00
65.49,66.59,68.26,65.24
66.96,66.61,66.96,65.30
66.47,67.29,69.11,66.25
68.37,66.41,68.37,66.35
65.81,66.18,67.04,65.81
66.50,67.02,67.02,66.50
65.70,66.01,67.73,65.70
65.05,65.05,65.05,65.05
65.14,64.38,65.95,62.10
62.09,61.37,62.09,61.37
60.07,61.64,61.86,60.07
60.91,61.20,61.43,60.90
61.35,61.19,61.83,61.19
58.91,58.91,58.91,58.91
60.11,60.68,63.51,59.01
59.12,57.72,61.00,57.72
59.46,55.40,62.91,55.40
56.86,55.51,59.64,55.50
56.79,61.70,61.87,56.79
60.29,57.31,60.29,57.31
58.25,64.35,64.35,58.25
64.36,64.26,64.36,62.85
64.50,65.36,65.51,64.12
59.94,57.73,59.94,57.73
57.73,59.47,61.75,57.73
59.29,58.52,60.71,58.40
58.40,58.58,59.40,58.40
60.20,61.65,62.59,60.20
62.18,66.24,66.24,62.18
64.94,66.14,66.14,64.94
67.03,64.01,67.03,63.40
61.76,67.80,67.80,61.76
67.50,68.40,68.40,67.50
66.11,69.00,69.00,66.11
67.90,65.01,68.00,65.01
65.03,64.49,65.52,64.49
61.15,61.16,62.51,61.10
58.13,58.52,61.00,58.12
60.03,62.85,63.20,58.63
62.40,60.41,62.40,59.84
59.47,59.02,59.90,59.00
59.00,59.55,59.55,58.25
59.56,63.10,63.10,59.56
61.02,65.00,65.00,61.02
65.09,64.14,65.09,63.03
64.43,65.54,65.54,61.25
62.14,61.77,62.26,61.77
62.30,60.63,64.10,60.63
58.50,58.00,58.50,58.00
55.28,53.40,57.18,53.40
55.88,55.88,55.88,55.88
53.69,56.75,63.61,53.66
58.00,59.30,59.30,58.00
59.00,55.86,60.30,55.86
56.35,55.36,56.35,55.36
55.22,57.79,58.20,55.22
55.28,55.05,55.28,55.05
55.20,56.87,56.87,55.20
63.85,63.70,63.85,59.53
63.70,65.80,65.80,63.70
63.91,65.51,66.15,63.91
65.51,65.51,65.51,63.10
68.79,68.79,68.79,68.79
68.99,71.79,71.79,68.99
71.04,71.04,71.04,71.04
71.31,81.92,82.00,71.31
74.66,72.06,74.66,72.05
71.95,76.29,76.29,71.95
77.00,69.01,77.00,67.31
69.14,69.14,69.14,69.14
71.79,72.07,72.07,71.00
72.50,81.50,83.01,72.50
82.00,76.52,82.00,76.52
72.88,79.00,79.00,67.00
80.00,93.40,93.40,80.00
85.23,88.90,88.90,84.35
78.00,84.83,84.83,78.00
84.00,80.71,84.00,80.01
78.05,78.05,78.05,78.05
79.60,84.00,84.00,79.60
81.97,84.20,84.20,81.97
80.00,80.00,80.00,80.00
79.28,86.45,86.45,76.05
77.57,77.57,77.57,77.57
81.70,81.70,81.70,81.70
82.73,83.99,83.99,80.30
85.01,78.96,85.01,78.25
79.35,81.90,82.25,77.00
81.00,80.56,88.90,77.65
82.00,77.20,85.38,77.20
78.58,77.07,78.85,77.07
74.90,72.71,80.56,72.28
75.50,74.25,78.34,72.56
71.52,69.32,71.52,69.32
71.60,69.90,71.60,69.90
72.20,72.85,78.76,71.86
78.00,72.15,78.00,72.15
79.93,81.74,81.74,79.93
82.05,82.01,82.05,81.80
83.05,86.10,86.10,83.05
86.25,86.75,87.06,85.97
86.00,84.25,86.99,82.15
84.25,84.25,84.25,84.25
88.00,83.57,88.00,83.57
86.99,88.00,88.00,86.99
88.05,85.67,88.08,85.67
87.00,82.60,89.00,82.36
85.50,84.83,85.50,84.83
83.56,85.53,85.53,83.56
91.00,85.91,91.00,85.32
83.75,84.00,84.90,83.75
84.87,90.66,90.66,84.73
91.00,91.00,91.00,91.00
92.00,91.86,92.00,89.35
92.00,88.01,92.70,88.01
88.06,87.99,97.20,86.88
86.55,86.55,86.55,86.55
86.67,91.00,91.00,86.67
89.56,89.56,89.56,89.56
92.34,88.60,92.34,87.34
87.53,86.16,87.53,86.16
86.11,87.20,87.20,86.11
87.82,86.70,88.39,86.70
85.51,85.92,85.92,85.51
88.10,87.67,89.70,86.12
85.85,85.85,85.85,85.85
86.09,86.39,86.39,84.84
84.42,84.65,84.65,84.42
76.97,83.05,84.20,76.97
82.83,83.99,83.99,82.83
83.95,83.95,83.95,83.95
83.89,84.00,86.50,83.89
84.00,84.00,84.00,84.00
83.75,83.75,83.75,83.75
83.79,83.79,83.79,83.79
84.00,82.30,84.00,82.30
82.15,82.84,82.84,81.20
81.25,81.49,83.98,81.25
81.84,80.00,81.84,79.20
85.01,83.57,87.00,80.15
85.80,85.80,85.80,85.80
97.00,97.00,97.00,97.00
94.01,97.82,97.84,94.01
94.01,92.15,97.33,92.15
91.53,89.75,91.53,86.01
89.75,89.75,89.75,89.75
86.80,85.61,90.05,85.00
86.80,88.43,88.43,86.80
87.10,85.05,89.80,85.05
88.01,81.35,88.01,81.35
82.45,82.83,83.75,82.45
82.69,82.78,85.50,81.88
83.33,81.87,84.43,80.43
81.87,81.87,81.87,81.87
81.87,83.00,83.00,81.87
83.00,80.81,83.00,79.94
80.81,80.81,80.81,80.81
80.02,80.06,80.06,80.02
81.10,82.60,82.60,81.10
81.15,79.72,81.15,79.72
79.70,73.80,79.70,70.01
73.14,74.62,77.72,71.97
74.30,74.00,77.70,74.00
74.38,75.05,75.40,73.84
74.98,74.20,74.98,72.20
74.90,74.68,75.76,74.26
73.29,72.94,73.55,72.94
73.83,74.29,74.40,73.65
74.59,75.59,77.35,73.61
76.01,76.25,77.75,76.00
75.89,77.85,77.85,75.60
77.25,79.05,79.99,77.25
79.21,83.70,90.80,79.21
84.19,85.85,85.85,84.19
84.17,83.38,84.17,83.38
83.40,95.00,95.00,81.73
92.41,92.25,92.41,92.25
88.01,95.00,95.00,88.01
93.74,88.15,93.74,88.15
88.00,88.07,93.89,86.88
89.22,87.36,89.22,86.21
87.39,92.81,95.00,87.39
89.77,87.75,89.77,87.01
89.99,85.41,89.99,85.00
86.25,85.64,88.00,85.64
85.00,85.00,85.00,85.00
86.44,78.99,86.44,76.90
82.88,82.88,82.88,82.88
83.03,86.94,86.94,83.03
82.44,82.44,82.44,82.44
82.20,82.20,82.20,82.20
89.95,91.02,95.00,87.03
86.50,88.85,91.84,86.50
86.15,87.33,87.33,86.00
89.99,90.35,91.00,89.99
90.18,91.20,95.98,90.18
95.29,94.97,95.95,94.00
96.30,94.87,96.30,92.70
92.39,96.30,96.30,92.39
90.23,95.19,96.30,90.23
96.30,92.79,96.30,92.00
96.06,91.50,96.06,91.50
91.91,92.01,92.01,91.67
93.60,91.38,94.76,91.38
88.11,86.71,88.11,86.71
87.12,87.20,87.50,86.00
85.59,83.57,85.59,81.01
82.00,84.00,84.74,81.65
82.04,84.27,89.36,82.04
88.72,88.72,88.72,88.72
87.93,90.02,90.02,85.11
90.00,91.35,93.50,86.21
88.98,88.60,88.98,88.60
89.57,84.48,89.57,84.48
84.83,81.61,84.83,81.61
84.87,85.78,85.78,84.87
85.41,82.62,85.41,82.62
82.75,79.40,82.75,79.22
79.41,79.00,79.41,78.60
79.81,78.05,79.81,78.00
79.70,81.65,81.85,79.70
81.11,79.75,81.11,79.75
78.83,78.83,78.83,78.83
76.00,71.20,76.00,70.01
71.20,77.35,79.00,63.91
74.00,85.85,90.00,74.00
83.90,88.31,89.85,83.90
90.88,91.79,91.79,84.87
88.86,90.21,90.55,88.80
88.91,87.55,88.91,82.99
88.15,88.73,88.73,88.15
95.90,91.80,95.90,91.80
93.61,93.59,93.61,88.40
92.05,90.75,92.05,89.28
91.90,96.00,96.00,91.90
97.00,100.32,100.32,97.00
100.39,107.00,107.00,100.39
103.00,97.00,103.00,97.00
99.29,113.21,113.21,99.29
101.12,103.95,104.13,101.12
104.01,107.00,107.95,104.01
108.00,108.00,108.00,105.35
106.75,102.52,106.75,98.73
109.90,110.00,110.00,109.90
113.18,108.85,115.00,99.20
108.85,106.45,108.85,102.02
100.03,101.85,104.93,98.11
99.08,100.00,100.00,99.08
90.62,96.23,101.00,90.62
99.00,94.60,99.00,93.25
94.72,94.72,94.72,94.72
101.35,98.01,101.35,98.01
98.50,108.99,108.99,98.50
109.00,109.50,109.50,109.00
110.83,105.14,110.83,105.14
107.38,113.70,113.70,107.38
105.00,106.00,111.85,105.00
103.21,104.00,104.00,103.21
101.88,101.46,101.88,101.46
101.90,99.54,103.99,99.54
103.00,106.87,108.00,101.34
110.42,105.65,110.42,105.03
105.88,105.75,105.93,105.54
102.50,102.50,102.50,102.50
103.00,106.99,106.99,103.00
106.54,101.00,106.54,101.00
101.00,98.26,101.00,98.26
105.49,103.95,105.49,103.95
107.33,107.05,107.33,107.05
107.68,109.34,109.97,107.68
109.00,109.00,109.00,109.00
110.00,112.00,112.00,110.00
112.00,112.00,112.00,112.00
113.28,110.00,113.96,110.00
99.69,99.69,99.69,99.69
102.51,108.97,108.97,102.51
107.47,107.46,107.47,107.46
105.56,107.99,107.99,105.56
110.00,110.00,110.00,110.00
112.00,107.40,112.00,107.40
105.50,105.50,105.53,105.50
102.10,102.10,102.10,102.10
102.10,102.10,102.10,102.10
106.94,106.94,106.94,106.94
106.94,106.94,106.94,106.94
108.34,108.34,108.34,108.34
104.30,104.30,104.30,104.30
102.60,102.60,102.60,102.60
106.80,107.00,107.00,106.80
104.01,103.66,104.01,103.66
104.00,108.14,108.14,104.00
106.01,107.10,108.00,106.01
108.99,108.99,108.99,108.99
108.01,114.99,114.99,108.01
115.50,115.60,115.65,115.50
116.02,119.94,120.00,116.00
119.95,119.95,119.95,119.95
118.48,116.00,118.48,116.00
116.17,117.00,119.96,116.05
115.17,109.27,115.17,101.38
108.70,112.73,117.98,108.70
116.45,115.87,116.45,90.00
107.80,120.00,120.00,107.80
120.00,116.30,120.00,116.30
119.70,116.22,119.70,116.22
113.40,120.40,120.69,113.40
119.71,116.00,119.71,116.00
116.00,116.00,116.00,116.00
116.00,116.00,116.00,116.00
118.00,114.45,118.00,114.45
116.27,115.90,117.75,115.90
115.90,115.90,115.90,115.90
115.43,111.50,115.43,111.50
112.49,107.15,112.49,105.54
106.40,106.40,106.40,106.40
106.31,106.01,106.31,106.01
108.00,107.00,110.00,106.65
107.45,109.24,109.24,107.45
105.07,105.07,105.07,105.07
107.00,107.48,109.24,106.31
105.00,106.65,106.65,105.00
105.52,101.00,105.52,101.00
100.75,100.52,102.79,100.52
99.75,98.60,99.75,98.60
102.00,100.50,102.00,99.02
100.50,100.50,100.50,100.50
100.84,99.50,100.84,99.50
98.01,100.72,100.72,98.01
104.35,114.70,114.70,104.35
115.43,115.77,117.43,112.81
114.39,115.74,115.75,113.51
114.70,114.70,114.70,114.70
113.75,108.23,114.44,108.23
108.94,98.30,108.94,98.05
99.90,95.55,99.90,93.31
95.55,95.55,95.55,95.55
95.55,95.55,95.55,95.55
94.02,78.00,97.62,76.21
75.78,76.55,78.32,73.05
76.46,74.85,76.47,74.61
76.72,85.06,86.99,76.72
82.05,88.30,90.00,82.05
88.50,97.18,97.20,88.50
104.78,92.28,104.78,92.28
98.64,106.75,106.75,98.64
103.11,103.53,103.53,102.37
104.00,109.50,109.50,104.00
107.00,107.00,107.00,107.00
105.78,107.00,107.00,105.78
108.00,106.00,110.85,106.00
101.76,105.01,105.60,101.76
105.61,97.00,105.61,97.00
98.19,96.80,98.19,96.80
93.06,95.88,95.88,93.06
96.35,97.89,97.89,96.00
100.00,100.40,100.40,100.00
100.36,100.02,100.36,100.02
100.02,100.02,100.02,100.02
100.02,100.02,100.02,100.02
96.02,95.59,96.15,95.59
95.01,99.60,99.60,95.01
99.60,99.60,99.60,99.60
99.01,101.25,101.25,99.01
103.27,101.00,103.27,92.24
101.00,101.00,101.00,101.00
101.00,105.06,105.06,101.00
97.45,97.45,97.45,97.45
97.45,97.45,97.45,97.45
96.01,103.99,103.99,96.01
110.00,103.75,110.00,101.04
103.05,105.50,105.50,103.05
107.47,106.75,107.47,102.00
101.02,101.02,101.02,101.02
101.05,100.83,101.05,100.00
100.24,96.08,100.24,96.08
96.08,96.08,96.08,96.08
98.35,98.35,98.35,98.35
95.28,98.64,98.64,95.28
97.07,100.46,100.46,97.00
100.50,98.16,100.50,95.79
100.38,100.49,100.49,97.67
98.66,99.47,99.47,98.66
99.99,99.99,99.99,99.99
100.40,96.99,100.40,96.99
100.39,100.25,100.39,95.32
101.54,99.60,101.54,96.91
106.99,101.85,106.99,101.70
101.85,100.52,101.85,100.00
95.05,101.69,101.69,95.05
95.11,101.74,101.74,95.11
98.30,102.00,102.00,98.30
97.49,98.71,98.71,97.49
106.75,105.70,106.75,102.44
103.00,97.70,103.00,97.70
99.80,99.82,99.82,97.57
96.72,99.20,103.98,96.72
97.27,95.46,98.66,95.46
97.28,98.72,99.00,97.28
98.72,98.72,98.72,98.72
99.80,99.80,99.80,99.80
99.47,98.46,99.47,98.46
99.41,100.94,100.94,98.20
99.98,96.22,99.98,96.22
96.22,96.22,96.22,96.22
96.30,99.84,99.84,96.30
97.29,97.29,97.29,97.29
97.29,97.29,97.29,97.29
98.78,98.78,98.78,98.78
98.78,98.78,98.78,98.78
101.00,101.00,101.00,101.00
97.05,100.10,100.10,97.05
100.00,101.40,101.40,100.00
101.40,101.40,101.40,101.40
100.80,100.80,100.80,100.80
103.00,103.00,103.00,103.00
101.27,101.27,101.27,101.27
101.27,101.27,101.27,101.27
101.20,103.50,103.50,101.20
103.50,100.15,103.50,98.15
100.00,100.21,100.21,100.00
100.00,101.00,101.00,100.00
101.00,101.00,101.00,101.00
100.97,100.97,100.97,100.97
100.97,100.97,100.97,100.97
100.97,100.97,100.97,100.97
100.97,100.97,100.97,100.97
100.97,100.97,100.97,100.97
100.97,100.97,100.97,100.97
103.12,99.14,103.12,99.14
100.49,101.91,102.55,100.49
102.75,102.75,102.75,102.75
100.51,100.51,100.51,100.51
101.21,101.04,101.21,99.88
99.70,99.70,99.70,99.70
100.67,99.00,100.67,99.00
99.61,98.35,99.61,96.15
96.84,98.38,98.38,96.84
98.38,98.38,98.38,98.38
98.56,98.56,98.56,98.56
96.26,93.55,96.26,93.55
95.00,95.56,95.70,95.00
93.66,91.00,93.66,89.90
88.65,88.65,88.65,88.65
92.20,92.20,92.20,92.20
92.20,92.20,92.20,92.20
92.04,94.70,94.70,92.04
96.20,96.20,96.20,96.20
89.15,93.87,93.87,89.15
88.88,95.65,95.65,88.88
92.68,92.68,92.68,92.68
93.57,91.35,93.57,88.91
94.10,85.10,94.10,85.10
86.80,87.89,87.89,86.32
89.06,89.19,89.19,89.06
89.19,89.19,89.19,89.19
95.50,94.15,95.50,94.15
94.15,94.15,94.15,94.15
94.15,94.15,94.15,94.15
94.15,94.15,94.15,94.15
93.00,87.00,93.00,87.00
91.69,89.99,91.69,88.75
88.56,93.80,95.03,88.56
93.25,92.10,93.25,92.10
92.36,92.54,94.23,89.60
94.48,96.70,96.70,93.50
96.70,96.70,96.70,96.70
98.52,96.48,98.54,96.48
97.89,97.89,97.89,97.89
98.50,96.90,98.50,96.90
97.50,98.00,98.54,97.50
94.20,95.99,95.99,94.20
95.99,99.48,99.48,95.97
99.37,97.75,99.37,97.75
98.00,94.21,98.00,94.21
97.06,93.45,99.96,93.45
93.70,93.70,93.70,93.70
91.28,90.99,91.34,90.01
90.99,90.99,90.99,90.99
88.24,91.47,91.47,88.24
91.47,91.47,91.47,91.47
92.62,90.97,92.62,90.97
90.88,95.10,95.10,90.88
95.10,95.10,95.10,95.10
94.74,93.70,94.74,92.12
92.20,94.75,94.75,91.16
93.60,92.01,94.35,90.01
90.65,88.50,90.65,88.50
