BLV,Vanguard Long-Term Bond ETF,NASDAQ
75.66,76.46,76.52,75.56
76.52,76.26,76.62,76.22
76.55,76.66,76.74,76.23
76.51,76.83,77.04,76.51
77.08,77.17,77.22,76.90
77.11,76.82,77.33,76.80
76.59,77.06,77.23,76.59
77.29,77.42,77.44,77.18
77.47,77.21,77.56,77.13
77.50,77.39,77.50,77.27
77.53,77.93,77.94,77.53
77.86,77.73,78.19,77.58
77.65,77.48,77.65,77.26
77.67,77.48,77.88,77.36
77.98,78.23,78.54,77.79
78.15,77.93,78.15,77.75
77.74,78.10,78.16,77.70
78.16,78.79,78.81,78.10
78.30,78.33,78.33,77.96
78.83,79.00,79.10,78.56
79.18,78.96,79.78,78.71
79.25,80.16,81.00,78.21
78.88,79.09,80.56,78.60
78.50,78.62,78.85,78.00
78.59,78.58,78.82,78.22
78.58,78.34,78.76,78.25
78.44,78.56,78.80,78.11
79.24,78.97,79.56,78.96
79.45,79.13,80.01,79.13
79.21,80.05,80.17,79.21
79.94,80.07,80.52,79.75
81.22,80.50,81.22,80.36
81.26,81.15,81.48,80.51
81.46,81.00,81.46,80.93
81.58,80.96,81.58,80.81
80.92,80.73,80.93,80.16
79.97,79.55,79.98,79.28
nan,79.67,nan,nan
79.93,79.59,79.93,79.22
79.45,79.08,79.66,78.91
79.90,78.94,79.90,78.65
79.71,79.89,80.00,79.51
88.22,80.49,80.56,79.83
80.11,80.22,80.46,80.00
80.25,80.22,80.31,79.73
79.69,78.96,79.71,78.96
79.38,79.80,79.92,79.26
79.25,79.66,79.66,79.11
79.80,79.20,79.80,79.12
79.55,79.52,79.69,79.26
79.90,80.31,80.40,79.87
80.36,80.21,80.41,80.03
79.79,80.29,80.32,79.35
80.38,80.74,80.74,80.28
81.02,81.25,81.50,80.61
80.83,80.88,81.44,80.71
80.61,81.05,81.22,80.54
81.50,81.73,81.77,81.28
82.09,82.24,82.24,81.73
82.50,82.69,82.75,82.07
82.55,81.67,82.55,81.61
nan,81.60,nan,nan
81.81,82.22,82.28,81.55
81.91,81.77,82.23,81.60
81.30,81.21,81.49,81.05
80.92,81.00,81.26,80.92
80.95,80.87,81.37,80.85
80.97,80.50,80.97,80.44
81.01,81.35,81.37,80.64
81.54,81.84,82.06,81.54
82.04,82.23,82.48,81.80
82.49,82.01,82.49,81.89
82.16,82.13,82.52,82.09
82.31,83.16,83.30,82.20
82.93,82.51,82.98,82.37
82.57,82.19,82.61,82.02
82.20,82.10,82.23,81.66
81.94,81.64,82.06,81.53
82.31,82.08,82.31,81.64
81.98,82.16,82.16,81.64
82.78,83.22,83.22,82.70
82.49,82.25,82.53,82.10
82.40,82.40,82.67,82.16
82.62,82.06,82.84,82.06
82.55,82.48,82.64,82.21
82.86,83.02,83.08,82.68
82.96,82.95,83.06,82.76
82.98,83.12,83.72,82.66
83.17,83.61,83.68,83.01
83.82,83.47,83.89,83.36
83.53,84.43,84.47,83.53
85.58,85.81,85.84,85.27
85.88,85.56,85.88,85.23
86.02,85.69,86.27,85.61
85.87,86.58,86.89,85.70
86.68,86.34,86.90,86.15
85.97,86.42,86.45,85.75
86.96,87.43,87.52,86.71
88.10,87.00,88.13,86.88
86.83,87.57,87.70,86.83
87.26,85.71,88.00,85.51
86.24,86.76,86.83,85.92
87.63,87.54,87.63,87.00
86.22,85.92,86.55,85.36
85.26,85.11,85.34,84.78
nan,84.40,nan,nan
85.25,85.73,85.78,85.09
85.55,85.30,85.59,85.10
84.83,84.14,84.83,84.04
83.71,83.99,84.12,83.68
83.74,84.26,84.40,83.66
84.34,84.90,84.90,84.34
84.41,84.08,84.65,84.00
83.63,83.39,83.68,83.13
83.64,83.58,83.89,83.40
83.92,83.90,84.02,83.71
84.11,84.76,85.09,83.99
85.41,85.27,85.51,84.97
85.80,85.42,85.82,85.08
85.02,84.71,85.07,84.67
85.31,85.72,85.88,85.31
85.87,86.13,86.51,85.83
86.20,86.08,86.45,85.80
85.99,85.95,86.06,85.22
84.98,85.05,85.52,84.78
85.30,85.51,85.55,85.15
85.63,85.26,85.63,85.05
85.96,86.18,86.48,85.84
86.22,85.84,86.22,85.78
86.00,85.37,86.27,85.37
85.35,85.54,85.62,85.34
85.82,85.12,85.90,85.12
84.70,84.97,85.12,84.45
85.26,83.96,85.43,83.96
83.66,83.10,83.66,82.84
83.88,83.88,84.00,83.61
83.67,84.11,84.37,83.46
83.86,84.27,84.65,83.86
84.51,83.75,84.51,83.64
83.71,83.95,84.08,83.52
84.51,84.45,84.75,84.33
83.99,83.44,83.99,83.39
83.33,82.97,83.34,82.87
83.07,83.13,83.40,83.00
83.26,83.54,83.71,83.26
84.04,83.17,84.04,83.02
83.45,83.94,83.99,83.45
84.38,82.92,84.75,82.47
83.53,83.72,83.89,83.05
82.84,82.62,83.22,82.62
82.92,82.71,83.16,82.52
82.91,81.48,82.91,81.40
81.42,81.46,81.68,80.50
81.49,81.48,81.62,81.27
81.48,80.86,81.54,80.86
80.64,79.65,80.75,79.54
80.14,80.87,80.94,79.51
80.93,80.65,81.34,80.53
80.65,80.72,80.72,80.10
80.87,81.06,81.19,80.80
81.57,81.53,81.86,81.14
81.94,81.77,82.06,81.62
nan,80.62,nan,nan
81.06,81.34,81.37,80.92
81.65,81.59,81.80,81.25
82.38,81.82,82.47,81.82
80.64,80.53,81.13,80.35
80.34,80.30,80.89,80.21
80.81,79.86,80.81,79.78
80.02,80.78,80.78,80.02
79.94,79.50,80.14,78.86
79.46,78.88,79.46,78.06
79.20,79.35,79.69,78.75
79.10,78.93,79.34,78.86
78.68,79.08,79.38,78.48
78.31,77.96,78.77,77.73
78.10,77.43,78.31,77.10
77.26,77.96,77.96,77.19
78.15,79.01,79.35,78.11
79.48,79.06,79.66,78.74
79.01,79.38,79.38,78.64
79.23,79.26,79.41,78.97
nan,79.25,nan,nan
78.16,78.60,78.60,77.72
78.65,77.43,78.65,77.25
77.53,78.73,78.84,77.43
78.45,78.55,78.61,78.09
78.91,79.09,79.60,78.82
78.50,79.17,79.40,78.49
78.87,78.96,79.19,78.65
78.43,77.89,78.50,77.63
77.86,78.07,78.22,77.75
77.87,78.45,78.68,77.70
78.46,78.65,78.73,78.22
78.68,78.41,78.68,78.10
78.19,78.18,78.54,78.00
78.13,78.83,78.93,78.01
nan,78.27,nan,nan
77.89,77.99,78.16,77.51
77.98,78.30,78.40,77.98
77.84,77.49,77.95,77.25
77.43,78.02,78.04,77.43
78.37,78.05,78.37,78.02
78.14,78.60,78.86,77.85
78.62,77.84,78.62,77.68
77.84,78.05,78.19,77.59
77.59,78.38,78.51,77.59
78.12,78.02,78.34,77.82
77.34,77.27,77.55,77.05
77.51,77.21,77.51,77.05
76.83,76.95,77.23,76.83
76.74,76.39,76.74,76.35
76.11,76.69,76.69,76.11
76.58,76.35,76.80,76.34
76.48,76.81,77.00,76.07
76.32,76.00,76.32,76.00
76.45,76.80,76.80,76.45
76.56,76.95,77.07,76.56
76.78,77.00,77.01,76.78
76.97,77.00,77.27,76.91
77.19,77.14,77.33,77.05
nan,76.99,nan,nan
77.23,77.76,77.81,77.18
77.92,77.82,78.03,77.78
78.03,78.20,78.42,78.03
78.44,78.65,78.65,78.32
78.75,78.82,78.91,78.75
78.17,78.55,78.55,78.12
78.39,78.17,78.47,78.17
77.54,77.41,77.70,77.21
77.35,77.82,77.87,77.35
77.61,77.88,77.88,77.58
77.31,77.24,77.52,77.16
77.43,77.82,78.00,77.43
77.91,78.40,78.49,77.25
78.45,78.29,78.57,78.08
78.21,78.37,78.50,78.18
78.83,78.60,78.83,78.44
79.08,79.45,80.00,78.93
79.07,79.04,79.15,78.99
78.90,79.10,79.16,78.90
78.47,78.88,78.89,78.47
78.66,79.00,79.00,78.66
79.32,78.89,79.32,78.89
78.74,78.59,78.78,78.49
78.69,78.40,78.86,78.28
78.22,78.41,78.56,78.22
78.23,78.08,78.47,78.08
78.01,78.59,78.61,78.00
78.58,78.22,78.62,78.11
77.88,78.29,78.29,77.78
78.22,78.42,78.54,78.22
78.19,78.41,78.49,78.17
78.39,77.67,78.39,77.67
77.55,77.25,77.61,77.24
77.16,77.34,77.36,77.16
77.03,77.35,77.35,77.00
77.60,77.63,77.80,77.52
77.43,78.10,78.10,77.43
78.20,78.00,78.26,77.97
78.56,78.86,78.86,78.49
78.24,78.97,78.98,78.07
78.97,79.21,79.30,78.97
79.07,79.21,79.21,79.07
nan,78.98,nan,nan
79.09,79.14,79.23,79.02
79.32,79.90,79.90,79.32
79.43,79.45,79.63,79.35
79.34,79.84,79.84,79.34
79.83,80.05,80.06,79.83
79.60,79.78,79.82,79.60
79.89,79.99,80.02,79.78
80.09,80.50,80.50,80.09
80.60,81.08,81.08,80.60
80.54,80.78,81.12,80.42
80.55,80.74,80.89,80.55
80.46,80.46,80.67,80.34
80.29,80.72,80.86,80.27
80.59,80.27,80.70,80.07
80.63,80.91,81.20,80.63
80.79,81.40,81.40,80.79
81.44,81.84,81.88,81.44
81.79,81.34,81.97,81.34
80.80,81.09,81.31,80.80
81.16,81.43,81.43,80.99
81.59,81.55,81.74,81.53
81.76,81.69,81.76,81.40
81.72,81.43,81.79,81.32
81.70,81.99,82.00,81.70
nan,81.89,nan,nan
81.79,82.09,82.09,81.79
82.19,82.65,82.65,82.19
81.94,81.43,81.98,81.36
81.73,81.46,81.73,81.08
81.07,81.31,81.44,80.94
81.09,81.54,81.54,80.88
81.74,81.95,81.95,81.66
82.09,81.71,82.24,81.50
82.01,82.05,82.40,81.83
81.88,81.78,82.06,81.78
81.31,80.99,81.36,80.90
81.05,81.72,81.85,80.83
81.93,82.01,82.14,81.75
81.81,81.81,81.81,81.68
81.98,81.59,81.98,81.59
81.61,81.58,81.73,81.50
81.62,81.52,81.85,81.48
81.89,82.00,82.01,81.89
81.79,81.90,82.06,81.79
81.79,81.00,81.79,80.89
80.88,80.30,80.92,80.17
80.36,80.03,80.49,79.93
80.04,79.96,80.11,79.66
nan,79.62,nan,nan
79.78,79.80,79.96,79.68
80.04,80.07,80.15,79.81
79.76,80.00,80.06,79.68
80.57,80.88,80.88,80.57
81.04,81.57,81.59,81.04
82.01,81.84,82.01,81.55
81.74,82.36,82.38,81.60
81.78,81.28,81.98,81.22
80.82,81.24,81.24,80.82
81.21,80.75,81.27,80.68
80.90,82.08,82.08,80.81
81.81,81.47,81.81,81.45
80.85,81.07,81.07,80.85
81.30,81.39,81.39,81.23
80.69,80.84,81.11,80.63
80.98,81.35,81.35,80.98
81.17,81.19,81.24,81.08
81.62,81.59,81.75,81.57
82.06,83.08,83.08,82.05
82.85,83.59,83.73,82.76
83.81,85.17,85.22,83.81
85.42,85.47,86.32,85.25
85.70,87.23,87.26,85.70
86.27,85.23,87.39,85.02
85.39,86.02,86.65,84.97
86.68,87.37,88.81,86.22
88.24,88.67,88.68,87.41
87.32,84.87,87.50,84.79
85.76,86.26,86.44,85.13
86.23,85.65,86.25,85.65
85.71,86.53,86.75,85.56
86.94,87.80,87.80,86.54
88.85,88.57,89.58,88.26
88.80,89.09,89.30,88.71
88.77,88.77,89.04,88.63
87.91,87.58,88.28,87.49
87.73,85.70,87.73,85.70
86.18,86.67,86.83,86.11
87.17,87.03,87.45,86.56
85.88,86.53,86.53,85.88
86.93,87.41,87.50,86.93
87.57,86.95,87.90,86.90
86.70,87.78,87.78,86.00
89.10,89.44,89.55,88.60
90.59,90.13,90.74,89.97
89.37,89.12,89.45,89.00
89.53,89.64,89.68,89.00
89.41,89.75,89.87,89.07
89.70,89.83,90.05,89.54
89.61,88.94,89.61,88.01
88.97,89.29,89.29,88.90
88.84,88.40,88.91,88.40
88.27,88.75,88.87,88.05
89.71,89.71,90.13,89.66
89.95,90.23,90.23,89.72
90.15,91.93,92.11,90.00
93.24,93.99,93.99,93.03
93.29,92.36,93.61,92.36
91.87,91.06,91.96,90.96
90.14,90.31,90.33,89.92
90.25,90.12,90.33,89.82
90.45,90.32,90.94,90.16
91.53,91.77,91.90,91.00
92.23,93.26,93.31,91.78
93.53,92.10,93.53,92.05
91.94,91.71,91.94,91.30
91.45,90.69,91.66,90.69
89.93,90.41,90.69,89.58
90.22,89.59,90.22,89.00
90.08,89.50,90.08,89.27
88.95,89.02,89.14,88.35
89.16,89.45,89.70,89.16
88.55,88.71,89.10,88.41
88.88,89.70,89.86,88.88
89.99,89.74,90.41,89.16
89.59,89.89,90.04,89.59
89.59,89.50,90.10,89.50
89.50,89.13,89.50,89.08
89.68,89.43,89.68,89.34
89.43,91.27,91.27,89.43
90.77,90.21,90.84,90.16
89.35,89.62,89.62,87.75
88.75,89.09,89.21,88.63
90.21,91.27,91.32,90.12
92.22,92.27,92.28,91.30
91.21,91.96,92.07,90.92
91.16,91.29,91.59,90.94
90.86,91.37,91.63,90.71
91.40,91.80,92.34,91.21
91.38,90.68,91.78,90.58
92.11,91.99,92.12,91.57
91.24,90.93,91.66,90.39
90.53,90.53,90.72,90.38
91.07,91.28,91.44,91.07
91.25,91.07,91.56,90.72
91.40,91.44,91.50,90.86
91.14,91.78,92.14,91.08
91.53,91.62,91.71,91.23
91.98,91.65,92.09,91.64
91.90,92.25,92.25,91.69
nan,92.71,nan,nan
92.61,91.61,92.61,91.61
90.68,91.72,91.88,90.49
91.29,90.85,91.76,90.80
90.41,90.16,90.41,89.73
89.43,89.35,89.61,88.87
89.64,90.59,90.68,89.47
90.05,90.74,90.97,89.93
90.44,90.22,90.71,89.93
90.41,90.57,90.72,90.04
90.55,91.06,91.22,90.38
91.15,89.78,91.15,89.78
90.32,90.19,90.37,90.09
89.98,91.15,91.23,89.95
91.56,92.13,92.17,91.51
92.00,92.09,92.25,91.76
92.25,92.67,92.93,92.25
93.00,93.78,93.82,92.86
93.15,92.12,93.15,92.11
92.15,91.31,92.15,91.28
91.80,91.60,91.90,91.52
nan,90.14,nan,nan
90.13,90.36,90.36,90.06
90.45,91.68,91.74,90.45
91.61,91.95,92.07,91.56
nan,91.90,nan,nan
91.24,91.51,91.73,91.07
91.22,90.64,91.22,90.52
90.69,90.51,90.91,90.47
90.70,91.23,91.23,90.70
91.05,90.97,91.50,90.89
90.68,91.11,91.22,90.68
91.24,91.38,91.50,91.23
91.71,91.40,91.80,91.40
nan,92.23,nan,nan
92.48,92.23,92.78,92.23
92.43,91.98,92.52,91.98
91.85,91.01,91.85,90.97
90.90,90.48,90.90,90.45
90.10,90.03,90.20,89.62
90.28,90.07,90.28,89.57
89.81,90.33,91.27,89.81
90.50,91.07,91.08,90.48
91.28,91.58,91.58,90.90
92.49,92.07,92.60,92.07
92.21,92.85,92.88,92.18
92.17,91.71,92.25,91.71
91.74,91.79,91.90,91.51
90.47,90.67,90.68,90.40
90.68,91.38,91.38,90.67
90.91,90.46,90.91,90.21
90.71,90.75,90.80,90.42
90.58,90.34,90.58,89.90
90.68,90.79,91.00,90.50
90.82,90.84,91.09,90.50
90.99,91.35,91.62,90.99
91.40,91.31,91.60,91.31
91.01,90.74,91.20,90.36
90.38,90.72,90.72,90.38
90.54,90.26,90.62,90.09
90.46,90.97,90.99,90.44
90.68,91.26,91.26,90.60
91.39,91.44,91.51,91.14
92.09,92.26,92.33,92.06
92.41,92.15,92.50,92.08
92.35,91.86,92.38,91.56
90.87,90.90,91.07,90.49
91.26,91.49,91.74,91.26
91.59,91.06,91.75,91.03
91.60,91.51,91.82,91.47
91.49,91.23,91.49,91.13
90.94,90.63,91.03,90.61
90.50,90.37,90.51,90.15
90.95,90.75,91.07,90.69
90.34,89.73,90.37,89.71
89.00,88.03,89.00,87.98
88.03,88.23,88.39,88.01
87.92,88.23,88.32,87.66
88.29,87.50,88.32,87.25
87.47,87.62,87.81,87.39
87.91,88.60,88.60,87.88
88.67,88.64,88.78,88.58
88.80,89.09,89.15,88.80
89.05,89.02,89.14,88.52
88.95,89.36,89.46,88.95
89.17,89.38,89.69,89.10
89.72,89.86,89.86,89.52
89.84,88.91,89.90,88.81
89.02,88.78,89.06,88.56
89.05,87.71,89.15,87.67
88.15,88.25,88.32,87.92
88.92,88.83,88.92,88.55
90.25,90.04,90.28,89.99
90.49,90.68,91.00,90.34
90.00,90.17,90.31,90.00
90.21,89.86,90.27,89.77
90.38,90.85,90.93,90.38
90.96,91.12,91.32,90.84
90.78,90.90,90.90,90.63
91.14,91.01,91.16,90.93
91.17,91.25,91.33,91.14
90.96,91.30,91.36,90.75
91.63,91.19,91.88,91.15
91.10,91.14,91.20,91.01
90.79,90.80,91.20,90.41
91.47,91.34,91.47,91.10
91.18,91.53,91.54,91.18
91.64,91.49,91.71,91.47
91.50,91.07,91.56,90.82
91.31,91.25,91.36,91.11
91.10,91.29,91.35,91.04
91.50,91.83,91.84,91.48
92.05,91.97,92.10,91.93
92.07,92.17,92.46,92.07
92.55,91.90,92.59,91.88
91.79,92.04,92.06,91.44
92.33,92.48,92.48,92.09
93.14,93.17,93.35,92.86
93.36,93.60,93.66,93.30
92.95,93.81,93.87,92.95
93.42,94.43,94.43,93.40
93.83,94.19,94.29,93.64
94.00,94.09,94.32,93.89
93.32,93.27,93.36,92.97
93.87,93.60,94.22,93.60
93.59,93.42,93.59,93.39
93.69,93.83,93.83,93.64
93.77,93.53,93.96,93.53
94.63,94.85,94.96,94.63
95.29,95.67,96.18,95.16
95.94,96.73,96.98,95.78
95.98,96.14,96.37,95.77
95.68,95.25,95.68,95.23
95.19,94.12,95.19,94.07
94.03,94.31,94.40,93.78
95.20,94.39,95.33,94.12
94.05,94.82,94.83,94.05
94.21,93.92,94.31,93.87
94.12,94.73,94.87,93.97
94.71,94.67,94.78,94.37
95.09,95.07,95.22,95.04
95.31,95.31,95.44,95.01
94.98,94.73,95.12,94.68
94.30,95.10,95.27,94.27
95.09,95.55,95.70,95.09
95.17,94.76,95.38,94.60
95.34,95.56,95.75,95.34
95.01,95.26,95.54,95.00
95.27,95.56,95.56,95.27
95.84,95.73,96.02,95.73
94.69,94.95,95.10,94.64
94.94,95.52,95.88,94.91
95.36,95.21,95.37,95.11
94.99,95.33,95.51,94.99
95.53,95.96,96.00,95.53
96.22,96.62,96.72,96.15
96.38,96.95,96.98,96.38
97.02,96.87,97.21,96.79
97.28,97.57,97.61,97.19
97.46,97.50,97.50,97.14
98.05,97.79,98.16,97.78
97.74,97.51,97.90,97.40
98.12,98.00,98.12,97.73
98.10,98.04,98.29,97.94
98.53,98.78,98.87,98.44
99.14,98.79,99.24,98.72
98.50,99.37,99.38,98.34
99.26,99.50,99.66,99.24
99.38,99.26,99.54,99.26
98.65,97.64,98.65,97.21
97.98,98.32,98.46,97.98
98.82,98.72,98.82,98.30
98.04,98.18,98.61,97.84
98.41,98.37,99.00,98.28
97.67,97.33,97.67,96.92
97.52,97.70,97.96,97.52
96.80,96.59,96.80,96.47
96.80,96.15,96.80,96.15
95.98,96.08,96.17,95.46
96.82,96.51,96.82,96.45
96.82,96.54,96.89,96.54
95.54,95.41,95.71,95.38
95.08,94.42,95.08,94.28
94.51,93.81,94.54,93.68
93.96,94.18,94.35,93.96
94.24,94.22,94.45,94.17
94.21,94.53,94.58,93.84
95.45,95.85,95.85,95.24
96.07,96.24,96.26,96.01
96.55,96.06,96.55,95.97
96.60,96.52,96.66,96.47
96.55,96.71,96.92,96.52
96.82,96.51,96.82,96.35
96.73,96.70,96.90,96.64
96.79,97.72,97.80,96.75
97.31,97.09,97.53,96.95
97.13,96.92,97.25,96.82
96.47,95.86,96.47,95.83
96.84,95.77,96.88,95.77
95.65,95.72,95.90,95.42
95.87,95.55,95.90,95.53
95.01,94.89,95.10,94.73
95.07,94.85,95.73,94.11
93.90,93.08,93.95,92.86
93.46,93.93,94.23,93.46
94.69,94.40,94.91,94.23
95.08,94.83,95.12,94.58
95.53,94.82,95.55,94.82
94.75,95.19,95.27,94.50
95.49,95.64,95.85,95.49
95.87,96.21,96.22,95.53
96.65,96.80,96.81,96.52
96.75,96.59,96.75,96.31
96.93,96.67,97.00,96.52
96.35,96.67,96.73,96.12
N/A,N/A,N/A,N/A
96.59,96.71,96.71,96.30
96.29,96.00,96.50,96.00
95.61,95.32,95.63,95.32
95.84,95.77,95.86,95.63
95.61,95.92,96.04,95.61
95.50,96.30,96.34,95.48
95.86,96.89,96.93,95.86
97.07,97.08,97.40,96.92
97.03,97.06,97.21,96.84
96.65,96.23,96.65,96.23
96.11,95.77,96.11,95.72
95.82,95.31,95.98,95.25
95.25,96.10,96.18,95.25
95.83,95.59,95.98,95.55
96.06,96.24,96.24,95.96
95.86,95.82,96.10,95.82
95.40,95.40,95.78,95.19
95.81,96.19,96.19,95.72
96.38,96.84,96.95,96.38
96.38,96.32,96.38,96.05
95.59,96.20,96.23,95.59
96.42,96.42,96.60,96.39
96.30,95.95,96.40,95.95
97.04,96.86,97.10,96.86
96.69,97.53,97.56,96.53
97.42,97.51,97.51,96.97
97.59,97.57,97.59,97.34
97.88,97.88,97.92,97.62
97.41,97.65,97.73,97.41
97.46,97.56,97.76,97.44
97.60,97.60,97.89,97.59
97.29,97.20,97.35,97.12
97.11,96.69,97.22,96.69
96.41,96.61,96.73,96.41
96.60,96.58,96.71,96.40
97.00,96.75,97.22,96.66
97.02,97.19,97.19,96.84
97.55,97.00,97.61,97.00
96.99,97.08,97.21,96.76
97.29,96.89,97.29,96.81
96.11,96.63,96.75,96.09
96.82,97.09,97.20,96.79
97.16,97.17,97.39,97.06
97.34,97.36,97.54,97.23
96.82,96.68,97.10,96.46
96.91,96.80,97.08,96.70
96.65,96.51,96.73,96.39
96.30,95.72,96.65,95.72
95.38,95.55,95.73,95.30
95.70,96.04,96.16,95.70
96.12,95.25,96.12,95.17
95.00,94.48,95.08,94.24
94.69,94.76,95.09,94.58
95.05,94.83,95.08,94.63
95.30,95.28,95.41,95.18
93.26,93.33,93.37,93.13
93.33,93.88,93.99,93.33
93.79,94.26,94.50,93.62
94.45,94.72,94.75,94.30
94.50,93.87,94.60,93.68
92.93,92.99,93.18,92.76
92.86,92.04,92.88,92.00
91.95,92.46,92.46,91.76
92.26,92.46,92.50,92.18
92.72,92.85,92.99,92.66
93.01,92.99,93.25,92.73
92.63,92.81,93.09,92.36
92.47,93.36,93.36,92.47
93.25,93.17,93.55,93.00
93.38,93.37,93.68,93.33
93.81,93.42,93.81,93.33
92.94,93.05,93.17,92.78
92.92,93.36,93.46,92.92
93.10,93.48,93.49,93.10
93.60,93.51,93.80,93.42
93.40,93.35,93.45,92.98
92.57,92.42,92.88,92.28
91.70,92.16,92.22,91.53
92.03,91.43,92.27,91.43
91.17,91.19,91.30,90.96
91.39,91.14,91.39,91.03
91.59,90.46,91.59,90.33
90.81,90.82,90.99,90.42
90.40,90.51,90.58,90.34
90.76,91.07,91.08,90.58
91.09,91.04,91.41,90.89
91.20,91.20,91.20,90.67
91.11,91.26,91.40,91.07
91.00,91.11,91.22,90.94
90.67,90.61,90.82,90.50
90.97,91.15,91.25,90.75
91.21,91.20,91.23,90.87
91.08,90.88,91.30,90.87
90.65,91.06,91.06,90.52
91.39,91.46,91.70,91.33
91.29,91.38,91.63,91.29
90.96,92.74,92.75,90.96
92.45,92.65,93.07,92.45
93.10,92.44,93.10,92.27
92.44,92.46,92.57,92.21
92.40,92.45,92.46,92.10
92.53,92.25,92.57,92.15
91.99,92.06,92.15,91.90
91.75,91.61,91.85,91.50
91.29,90.97,91.41,90.90
90.27,90.25,90.58,90.17
90.43,90.11,90.44,90.11
90.59,90.68,90.71,90.47
90.68,90.59,90.71,90.31
90.49,90.25,90.59,90.11
90.44,90.51,90.63,90.38
91.33,90.95,91.35,90.72
91.32,91.40,91.63,91.03
91.26,90.72,91.26,90.72
90.91,91.02,91.05,90.69
91.30,91.23,91.30,90.88
91.14,91.12,91.45,91.03
91.10,91.35,91.54,90.97
91.71,91.77,92.00,91.70
91.85,91.65,91.96,91.60
91.23,91.40,91.52,91.02
91.39,91.19,91.41,91.10
91.62,91.88,92.00,91.45
92.23,92.61,92.67,92.10
94.00,93.84,94.30,93.84
94.04,93.81,94.22,93.60
93.96,93.71,94.00,93.56
93.29,92.96,93.29,92.86
93.15,92.99,93.15,92.88
93.71,93.92,93.94,93.46
94.08,94.37,94.46,93.89
94.00,94.11,94.21,93.90
94.18,94.34,94.60,94.07
94.29,94.55,94.63,94.29
94.48,94.42,94.48,94.27
94.42,94.48,94.60,94.32
94.76,94.30,94.76,94.26
94.35,94.42,94.50,94.15
94.00,94.29,94.34,94.00
94.76,94.88,94.96,94.68
95.03,94.66,95.09,94.63
95.07,94.74,95.09,94.54
94.66,94.93,95.21,94.63
95.25,95.18,95.25,94.81
94.34,93.88,94.35,93.80
93.70,93.43,93.95,93.19
93.12,93.21,93.38,93.05
93.10,93.25,93.49,93.07
93.49,93.21,93.79,93.20
92.98,92.43,93.13,92.00
91.92,91.78,92.16,91.72
92.17,91.28,92.36,91.28
91.61,91.57,91.99,91.04
92.14,92.31,92.60,91.82
91.95,91.67,92.10,91.43
91.59,91.30,91.71,91.29
91.27,91.90,91.90,91.05
91.89,90.87,92.39,90.85
91.32,91.02,91.32,90.60
91.09,90.98,91.56,90.98
90.84,89.56,90.89,89.54
89.48,89.75,89.87,89.41
89.85,89.68,90.18,89.60
89.65,89.01,89.65,88.63
88.63,88.95,89.63,88.20
88.88,88.47,88.88,88.27
88.48,88.83,88.98,88.39
88.86,89.14,89.72,88.47
88.69,88.42,89.09,88.39
87.73,87.61,88.13,87.48
87.04,87.85,87.93,86.85
87.70,87.14,88.02,87.14
87.46,87.90,88.22,87.30
88.30,88.33,88.55,88.24
88.28,87.75,88.65,87.65
87.45,87.62,87.93,87.38
87.79,86.43,88.00,86.36
85.46,84.87,85.46,84.11
84.81,83.72,85.06,83.72
82.94,83.23,83.50,82.50
