UYG,ProShares Ultra Financials,NASDAQ
75.68,76.08,76.41,74.82
76.01,73.72,76.04,73.60
72.45,69.19,73.91,68.90
70.87,70.70,71.80,69.69
72.23,73.96,74.56,71.88
73.17,70.29,73.73,70.24
71.57,72.68,73.10,71.06
70.91,69.07,71.11,68.17
66.67,68.30,70.27,66.33
67.55,62.41,69.80,55.13
62.60,60.86,64.66,59.18
67.14,67.51,67.88,65.50
65.39,67.00,68.93,65.39
67.87,68.71,68.82,67.00
68.49,66.69,68.79,66.67
65.01,63.01,65.02,61.64
62.82,62.93,64.08,60.05
64.26,59.38,64.28,58.53
58.26,59.36,60.77,57.20
57.23,54.02,57.64,53.95
52.01,57.43,57.81,52.00
58.16,54.63,58.17,54.50
51.63,55.28,55.38,50.97
57.18,54.75,57.42,54.22
57.22,59.58,59.59,56.49
59.36,57.28,59.36,56.78
56.07,54.79,57.51,54.63
55.87,57.80,57.84,54.76
58.33,57.42,58.53,56.33
55.29,52.74,55.77,52.34
53.20,51.02,53.93,50.81
51.55,52.65,52.86,49.59
53.61,52.01,54.45,51.51
53.41,55.34,55.51,53.12
54.39,55.78,56.08,54.10
56.79,55.40,57.20,55.17
56.12,57.96,58.11,55.52
57.13,57.93,58.54,56.99
58.22,57.80,58.42,56.65
58.09,58.25,58.45,57.45
59.58,58.05,59.79,57.50
58.00,56.17,58.68,56.10
56.19,55.75,56.72,54.95
55.06,53.53,55.22,53.27
54.74,56.17,56.48,53.83
56.30,55.18,56.56,54.97
53.59,51.16,53.75,50.36
50.96,49.90,52.19,49.63
49.75,49.23,50.54,46.80
49.82,48.19,50.03,47.41
50.08,48.38,50.62,47.39
48.93,52.55,52.75,48.85
53.75,53.37,54.02,51.85
53.15,55.13,55.25,53.12
54.99,55.11,55.46,53.92
56.55,57.89,58.33,56.52
57.32,57.01,57.41,55.88
57.14,56.68,57.25,54.40
55.10,51.89,55.37,51.65
52.01,51.90,52.55,50.32
50.00,53.13,53.33,49.95
54.85,51.33,54.86,51.14
52.61,54.40,54.80,52.54
54.15,55.32,55.56,53.28
55.48,57.14,57.27,55.02
58.32,57.36,59.00,57.11
56.92,56.40,57.64,55.96
57.28,56.45,57.64,55.19
55.17,56.43,57.14,55.10
57.96,59.01,59.16,57.51
58.50,57.92,58.79,57.61
58.17,58.20,58.58,57.55
57.44,57.60,57.89,57.07
56.58,56.93,57.15,55.37
57.35,57.59,57.88,56.47
56.63,56.58,57.57,55.82
54.99,52.79,54.99,52.61
51.59,52.01,52.62,51.40
52.00,51.70,52.77,51.65
51.34,51.56,51.96,50.95
52.54,52.43,53.34,51.81
52.47,52.77,53.49,51.96
52.22,50.44,52.55,50.20
50.13,50.04,50.27,49.13
50.66,49.40,50.75,49.40
48.37,47.92,48.81,47.50
47.32,48.32,48.68,46.57
48.91,47.59,49.42,47.35
48.00,49.47,49.55,46.92
49.15,47.57,49.26,47.47
47.39,48.22,48.57,46.76
49.43,51.72,52.00,49.34
51.70,52.67,52.76,51.57
54.09,54.79,54.87,53.70
53.86,52.52,53.87,52.37
52.79,53.28,53.98,52.75
54.84,54.18,55.23,53.64
54.32,54.43,54.85,54.08
56.00,56.62,56.83,55.98
56.19,55.85,56.63,55.25
55.08,56.34,56.55,54.89
55.99,55.95,56.09,55.42
56.46,55.59,56.64,55.43
55.86,57.81,58.11,55.67
58.11,56.72,58.29,56.42
56.02,55.05,56.96,54.82
53.94,53.05,54.95,52.86
54.37,55.87,55.88,54.29
55.90,54.72,55.92,54.58
55.12,55.03,55.34,53.77
54.71,54.39,55.27,53.95
55.02,54.36,56.24,54.30
55.37,55.30,55.63,54.19
55.00,54.68,55.89,54.10
55.54,57.06,57.35,54.80
57.01,56.86,57.38,56.58
57.40,56.45,57.72,55.95
56.59,56.67,56.93,56.09
57.03,56.62,57.04,56.26
56.08,57.73,57.95,55.85
58.49,58.21,59.09,57.67
57.46,56.60,57.51,55.54
56.83,54.87,57.22,54.28
54.65,56.98,57.16,54.54
56.28,55.72,57.86,55.27
55.68,57.03,57.39,55.13
57.42,56.74,58.09,56.06
57.01,56.80,57.41,56.40
57.62,56.47,57.79,56.32
56.05,56.63,56.78,55.73
56.09,56.67,56.95,55.88
57.13,56.32,57.34,55.72
56.07,56.19,56.48,55.86
56.44,56.23,57.19,55.26
56.86,56.65,57.03,56.35
56.80,57.69,57.69,56.00
58.58,61.19,61.42,58.58
61.53,63.54,64.43,61.23
63.49,62.67,63.50,61.65
63.05,60.28,63.05,59.65
60.43,61.62,61.65,59.50
60.62,60.56,61.22,60.05
59.89,58.72,60.38,58.38
59.24,58.96,60.45,58.92
58.39,56.84,58.42,55.94
56.81,56.29,57.14,56.03
57.69,57.69,58.43,57.39
57.16,57.72,57.77,56.67
57.17,56.40,57.19,55.66
55.14,54.71,55.55,54.61
55.45,56.39,56.48,55.25
55.49,55.08,56.03,55.08
54.85,55.82,56.08,54.45
54.77,55.00,55.77,54.67
56.51,57.21,57.28,56.25
57.67,59.97,60.05,57.57
59.18,60.34,60.58,58.68
60.03,60.28,60.60,59.65
61.85,60.23,61.87,60.12
60.34,61.82,61.98,60.28
62.69,63.19,63.49,62.12
63.51,64.39,64.52,63.02
65.06,64.34,65.29,64.07
64.45,63.35,64.95,62.96
62.82,62.36,63.91,62.16
62.70,62.18,63.39,61.75
62.21,62.55,62.81,61.77
62.96,62.91,63.32,62.51
63.39,64.88,64.88,63.39
65.26,66.26,66.61,65.07
66.11,65.41,66.17,65.08
64.88,66.56,66.62,64.75
66.65,66.67,66.94,66.37
66.85,66.50,66.89,66.32
66.50,66.11,66.52,65.81
65.86,66.38,66.51,65.84
67.79,68.83,69.12,67.68
69.32,68.48,69.40,67.36
67.90,69.92,70.11,67.88
70.15,69.21,70.37,69.11
69.57,68.16,69.83,66.58
67.29,67.69,68.12,66.59
68.68,68.31,69.14,67.70
69.61,70.27,70.30,69.53
70.35,69.82,70.60,69.43
69.72,71.93,72.12,69.65
71.41,71.28,71.72,70.55
70.21,68.21,70.67,67.90
68.00,68.62,69.25,67.59
69.59,69.58,70.23,69.13
69.72,69.51,69.94,69.15
69.02,69.58,69.70,68.03
69.97,69.48,70.30,69.27
69.58,70.64,70.71,69.46
70.87,68.10,71.53,68.07
68.60,69.30,69.62,68.46
70.16,71.84,72.10,70.07
71.42,71.00,72.01,70.92
70.88,70.98,71.28,69.74
70.96,71.02,71.09,70.06
71.48,72.92,73.20,71.47
72.86,73.82,73.99,72.61
73.04,73.02,73.67,72.08
72.21,72.98,73.18,72.10
72.60,74.90,75.29,72.34
74.78,74.96,75.24,74.31
74.74,74.71,75.46,74.43
75.26,75.54,75.79,74.87
75.16,75.46,75.75,74.86
75.80,75.79,75.87,75.29
73.82,71.76,74.47,71.27
71.55,70.89,72.51,69.33
70.48,70.43,71.02,68.78
71.36,72.30,72.57,71.22
73.26,73.04,73.75,72.48
73.28,70.10,73.41,70.10
70.01,69.34,70.58,68.94
70.87,71.98,72.33,70.87
71.83,70.53,71.99,69.52
70.81,69.45,71.36,68.88
70.01,72.13,72.49,69.92
72.04,72.11,72.86,71.17
70.60,69.29,70.60,69.01
68.40,70.03,70.35,68.40
69.01,68.87,69.29,67.75
65.58,67.30,67.98,65.00
67.51,64.95,67.52,64.31
66.60,66.40,66.92,65.06
68.17,67.94,68.91,67.56
69.45,68.92,69.57,68.32
68.83,68.18,69.01,68.13
67.71,67.71,68.12,66.33
68.16,68.36,68.47,66.89
68.67,68.69,69.38,68.16
68.92,68.48,69.32,68.42
68.26,68.70,68.76,67.54
69.48,69.93,70.46,69.19
69.50,69.93,70.13,69.29
70.69,70.88,71.55,70.48
71.07,70.94,71.57,70.54
70.71,70.93,71.29,70.48
71.59,72.51,72.65,71.23
72.50,71.77,72.93,71.42
72.41,70.50,72.65,70.17
70.52,70.42,71.47,70.16
69.67,69.88,70.63,69.17
70.90,68.96,70.93,68.62
68.15,68.19,68.48,66.89
68.70,68.41,68.98,67.94
67.06,66.63,67.11,65.93
67.24,67.03,67.34,66.21
68.04,67.58,68.16,67.16
68.05,68.28,68.46,67.32
68.07,68.23,68.57,68.00
68.62,69.08,69.38,68.37
69.30,69.94,70.13,68.79
69.76,70.91,71.18,69.71
70.85,70.70,70.92,70.13
71.26,70.28,71.39,70.02
69.92,70.71,71.10,69.74
70.75,69.58,70.79,69.20
68.84,68.10,69.20,67.56
69.47,68.39,69.71,68.05
68.21,68.37,68.54,67.62
68.58,69.69,69.83,68.54
69.48,67.92,69.54,67.68
67.58,67.96,68.10,66.43
67.93,66.14,68.14,66.00
65.55,66.04,67.36,65.35
65.50,66.76,66.82,65.40
66.73,67.43,67.50,66.26
67.87,67.63,67.98,67.04
67.18,65.83,67.68,65.70
64.34,64.04,64.82,64.02
64.39,63.90,64.51,63.21
63.31,64.02,64.65,63.20
63.80,64.83,65.19,63.47
65.17,65.84,66.13,65.13
66.97,67.21,67.27,66.26
66.68,62.80,66.70,62.72
63.11,63.04,63.76,62.17
61.55,62.10,63.39,61.42
61.55,59.88,61.85,59.71
60.71,59.87,61.08,59.83
59.48,58.68,60.17,58.59
59.09,59.78,60.20,58.62
59.10,58.65,59.63,57.28
59.04,59.66,60.00,58.53
60.74,60.52,61.27,60.33
59.47,58.10,59.80,57.46
58.00,58.64,59.37,57.43
59.88,59.57,60.04,59.01
58.99,59.64,60.27,58.77
60.31,61.13,61.35,59.74
60.71,60.47,61.91,60.39
59.24,59.26,59.59,57.94
59.42,58.56,59.60,58.07
58.36,59.64,59.92,58.36
60.03,60.21,60.26,59.49
61.32,63.02,63.16,61.00
63.34,63.26,63.76,62.51
63.32,65.62,65.88,63.29
65.37,64.79,65.40,64.16
64.02,64.48,64.50,63.37
65.76,66.34,66.66,65.72
64.36,64.87,64.92,64.06
63.11,61.40,63.26,61.11
61.03,61.16,62.74,60.93
61.90,61.31,62.89,61.15
62.25,60.26,62.25,60.11
61.05,60.17,61.08,59.27
59.60,58.53,59.64,57.37
59.01,60.10,60.29,58.73
60.60,61.21,61.67,60.54
62.30,63.75,64.08,62.26
63.82,63.59,63.93,62.89
62.27,62.51,63.07,61.65
62.48,62.50,63.14,61.85
61.84,59.50,61.90,59.31
59.75,59.50,60.85,59.19
58.30,59.11,60.10,57.67
60.92,58.69,61.04,57.88
58.13,55.57,58.41,55.50
55.82,56.32,56.46,53.85
55.12,50.75,55.25,50.61
51.74,48.85,52.18,47.01
45.66,39.68,47.44,39.02
41.95,45.61,45.70,39.00
43.75,40.03,44.07,40.00
41.26,44.48,45.95,40.40
46.18,43.78,47.14,43.26
44.99,46.53,46.60,44.84
45.00,45.06,46.36,44.28
45.72,45.39,46.59,44.70
42.28,41.01,42.39,40.30
39.59,39.50,42.17,39.29
41.44,38.70,41.67,38.54
38.94,41.14,41.23,37.84
41.11,43.19,43.38,40.83
45.69,42.58,46.80,41.62
41.62,43.50,44.07,40.50
44.99,46.89,46.99,44.92
46.18,46.47,47.17,45.06
47.28,47.43,48.15,46.58
47.34,45.51,47.78,45.33
42.93,42.03,43.47,41.83
39.31,40.79,40.94,39.09
42.47,44.44,44.55,41.76
43.34,42.76,44.40,42.50
41.85,40.18,42.33,39.80
38.63,40.97,40.98,38.63
41.42,41.49,42.23,40.55
42.22,42.53,43.44,40.56
43.55,44.50,44.54,42.82
44.78,44.67,45.46,43.27
42.90,42.49,43.21,41.74
42.81,42.28,43.63,42.27
42.31,38.20,42.46,38.12
36.53,36.01,37.04,34.80
35.63,36.77,36.99,35.49
37.66,39.35,39.53,36.85
40.99,39.86,41.76,39.27
40.06,37.60,40.35,37.50
39.52,39.47,39.91,37.56
38.08,36.90,38.75,36.89
36.46,33.58,37.62,33.54
32.76,36.23,36.38,31.66
35.92,37.02,37.46,34.56
36.72,39.24,39.39,35.89
39.63,36.71,39.69,36.53
38.26,40.19,40.26,38.23
39.21,40.11,40.81,39.03
40.99,41.91,43.25,40.85
40.78,40.46,41.08,39.20
41.53,41.47,41.93,40.17
40.85,38.98,40.95,38.81
39.42,42.47,43.30,39.03
42.41,41.16,43.61,40.95
41.13,42.36,42.60,40.19
43.47,44.50,44.53,43.22
44.86,46.48,46.67,44.61
45.48,43.85,45.50,43.49
45.40,45.27,45.74,43.54
49.17,50.27,51.07,47.98
49.63,50.14,50.62,49.10
48.20,46.84,48.81,46.75
42.75,42.79,44.91,42.51
44.62,45.00,45.38,43.68
46.26,46.64,46.89,43.62
45.69,45.57,45.89,44.43
45.29,45.98,46.19,44.47
46.81,47.65,47.90,45.65
45.12,42.79,45.29,42.65
44.34,43.27,44.38,40.25
44.43,45.19,45.58,44.41
44.56,43.47,44.68,42.94
42.74,43.90,44.54,42.66
43.08,42.04,43.84,41.85
42.13,40.35,42.25,39.94
40.84,40.77,41.12,40.17
39.20,38.80,39.40,38.20
38.80,38.18,39.13,38.00
37.35,36.06,37.36,36.00
36.06,36.34,37.29,35.99
38.94,38.42,39.03,37.66
38.28,38.02,38.77,37.80
40.67,42.50,42.68,40.32
41.91,41.92,42.35,41.11
42.75,42.87,44.41,42.70
44.51,44.41,45.45,43.78
43.90,44.41,44.91,43.55
43.72,45.39,45.71,43.16
44.51,42.30,44.60,42.01
43.16,44.12,44.48,42.86
42.71,42.20,42.79,41.58
43.01,40.99,43.23,40.24
40.22,40.87,41.69,40.22
42.07,41.03,42.11,40.92
41.66,41.55,42.54,41.19
41.61,39.85,41.81,39.64
41.27,42.76,42.99,41.21
42.65,43.25,43.40,42.08
43.63,44.80,44.96,43.46
45.33,45.41,45.41,44.65
44.84,44.99,45.65,44.84
45.05,43.65,45.07,43.60
43.94,44.88,44.95,43.88
44.64,44.37,44.92,44.37
46.31,46.30,47.28,46.10
45.60,45.90,46.16,45.01
45.13,46.99,47.47,44.71
47.10,46.51,47.17,45.95
46.97,46.90,47.29,46.42
48.34,48.53,48.73,47.95
48.02,49.26,49.37,47.72
49.73,49.61,49.99,48.49
47.80,48.98,49.01,47.53
49.15,48.50,49.95,48.14
48.36,49.76,49.84,47.93
50.72,50.59,50.80,50.10
50.11,51.09,51.14,49.90
51.16,51.37,52.05,50.77
50.33,51.34,51.44,49.95
50.76,51.59,51.83,50.56
52.21,50.95,52.59,50.46
50.48,51.25,51.53,50.34
50.26,50.36,50.55,49.61
51.05,50.77,51.17,50.14
51.55,52.36,52.87,51.55
52.72,53.05,53.40,52.35
54.73,55.57,55.64,54.55
55.03,55.13,55.22,54.56
54.67,55.04,55.42,54.42
55.32,55.68,55.75,54.80
56.26,55.50,56.52,54.95
54.30,54.53,54.70,54.00
55.80,55.41,55.81,55.11
54.99,54.49,54.99,53.63
54.85,53.93,55.20,53.70
53.64,55.35,55.44,53.52
55.68,55.97,56.11,55.49
56.04,55.77,56.42,55.35
55.37,54.53,55.71,54.49
54.65,55.56,55.59,54.29
55.81,55.32,55.92,55.10
54.46,56.05,56.24,54.05
56.13,56.22,56.54,55.57
56.46,55.69,57.22,55.58
56.23,56.96,57.20,56.13
56.90,56.38,57.10,56.24
56.06,56.07,56.19,55.50
54.61,53.64,54.84,53.36
54.20,54.83,54.98,53.82
55.57,55.87,55.98,54.99
56.10,56.70,57.22,55.91
56.70,56.51,56.72,55.82
57.36,60.40,60.46,57.20
60.38,60.44,60.93,59.36
60.83,62.25,62.40,59.98
62.64,62.54,62.83,61.97
62.43,63.26,64.37,62.09
62.61,63.45,63.78,62.21
63.83,62.85,63.90,62.64
61.79,61.24,62.09,60.85
61.18,62.28,62.41,60.81
63.51,64.16,64.19,63.06
64.20,63.17,64.41,63.09
63.16,63.48,63.77,62.19
62.51,62.43,62.80,61.28
63.05,62.82,63.12,61.92
62.57,63.82,64.30,62.28
63.56,63.40,63.83,62.38
62.02,61.55,62.36,61.00
60.96,61.27,61.92,60.77
59.21,59.50,60.11,58.88
59.44,56.97,59.89,56.96
58.49,58.67,59.05,58.19
58.86,60.78,60.89,58.70
60.60,58.37,60.60,58.30
59.36,59.16,59.86,58.24
60.02,60.76,61.11,59.67
60.01,59.90,60.81,59.77
60.45,59.47,60.55,58.70
60.00,59.13,60.16,59.13
57.44,58.13,58.22,57.10
58.27,59.34,59.44,58.27
60.32,60.66,60.85,59.64
60.29,61.70,61.83,60.25
62.12,61.79,62.18,60.94
61.50,61.01,61.58,60.43
61.00,62.22,63.23,60.98
61.43,61.34,61.66,60.40
61.45,60.22,61.55,59.98
59.53,58.53,59.70,58.26
57.87,59.07,59.50,57.87
58.44,58.51,58.94,57.49
57.09,57.33,58.19,56.50
58.59,57.83,58.84,57.58
55.68,56.83,57.70,55.60
55.50,54.76,55.83,54.69
54.80,54.20,55.40,54.01
54.75,52.79,55.24,52.74
52.65,50.48,52.74,50.48
50.86,49.33,50.87,49.10
49.66,50.53,50.91,48.98
51.05,51.33,52.58,50.65
50.34,51.71,51.82,49.55
52.08,51.89,52.29,50.76
51.80,51.52,52.23,51.22
52.36,52.88,52.90,51.97
51.72,50.59,51.81,50.55
50.67,51.16,51.91,49.69
49.28,47.59,49.45,47.49
47.72,46.77,47.90,46.29
46.59,48.20,48.39,46.54
49.17,50.87,50.91,48.86
52.32,50.69,52.54,50.50
50.32,51.79,51.81,49.81
53.07,49.99,53.12,49.90
50.23,51.38,51.44,49.56
50.95,50.89,52.22,50.50
51.11,52.12,52.60,50.90
52.60,53.35,53.48,52.03
52.81,53.11,53.85,52.48
53.81,54.67,55.18,53.60
54.90,54.90,55.48,53.85
54.98,52.55,55.47,52.38
53.19,53.49,53.80,52.87
52.14,51.44,52.14,51.01
51.87,52.06,52.52,51.25
52.40,53.14,53.44,51.94
52.03,53.12,53.21,51.45
55.50,55.73,55.77,54.89
56.17,56.55,56.64,55.33
56.44,57.23,57.50,56.33
56.73,55.90,56.77,55.74
54.62,55.19,55.43,54.54
54.76,54.81,55.19,54.28
55.55,53.92,55.79,53.46
53.93,54.49,54.74,53.72
53.67,53.74,54.27,53.03
54.17,56.26,56.43,54.17
56.43,56.16,56.75,55.87
56.96,56.88,57.00,55.25
56.46,56.43,57.01,56.07
56.50,55.46,56.76,55.14
54.72,54.05,54.84,53.94
52.21,53.18,53.43,52.03
53.38,52.71,53.40,51.88
53.20,52.98,53.61,52.46
54.61,54.44,54.86,53.96
55.12,56.49,56.99,54.71
56.23,56.33,57.03,56.13
56.05,55.86,56.33,55.61
56.22,55.25,56.51,55.19
54.42,54.52,55.03,53.54
56.04,56.85,57.18,55.84
57.21,56.96,57.77,56.88
57.26,57.41,58.16,57.26
56.94,57.46,57.80,56.84
57.12,57.32,57.84,57.05
56.94,57.35,57.50,56.70
57.13,57.35,57.45,56.60
57.96,57.41,58.18,57.12
57.18,57.72,57.97,57.14
57.87,58.41,58.63,57.39
58.65,58.78,58.80,58.34
58.56,58.99,59.02,58.40
59.24,59.28,60.35,58.89
58.82,59.01,59.37,58.39
58.73,58.04,58.93,57.92
57.64,58.58,58.87,57.51
58.92,58.61,59.05,58.31
58.26,58.58,59.11,58.12
58.78,58.89,59.11,58.47
58.41,58.30,58.60,57.73
58.87,58.97,59.22,58.14
58.86,59.23,59.53,58.43
59.22,59.15,59.54,58.82
59.71,61.63,61.73,59.71
62.00,62.80,62.92,62.00
62.65,61.83,62.91,61.78
61.85,62.81,62.89,61.70
63.36,63.47,63.76,63.05
63.34,66.17,66.55,62.99
67.08,67.32,68.25,66.77
66.75,65.98,67.21,65.74
65.48,65.35,65.79,64.98
65.68,65.17,66.00,65.17
64.19,64.45,64.53,63.62
65.51,64.19,65.51,64.13
63.49,64.14,64.70,63.36
64.53,62.28,64.75,62.23
61.89,61.47,62.21,61.28
62.08,62.58,63.07,61.78
62.10,62.18,62.76,61.63
62.93,62.58,63.91,62.28
63.20,62.93,63.25,62.37
63.22,63.94,64.30,62.66
64.57,65.56,65.65,64.37
66.45,65.68,66.65,65.17
65.00,65.43,65.62,64.83
65.47,64.40,65.89,64.24
64.38,64.49,64.93,63.83
65.64,65.14,65.88,65.02
64.30,63.52,64.87,63.23
63.97,64.79,64.82,63.28
65.26,65.52,65.96,65.13
65.91,66.99,67.13,65.74
66.83,67.27,67.73,66.66
66.84,65.54,66.84,65.00
65.52,65.47,65.86,64.43
63.81,63.64,64.04,62.96
64.30,63.60,64.47,63.38
64.66,63.86,64.85,62.97
63.58,63.17,63.79,62.40
63.19,63.74,63.80,62.84
63.99,65.29,65.34,63.80
66.08,64.52,66.12,64.38
64.24,64.23,64.50,63.10
64.65,65.57,65.87,64.53
63.89,61.71,63.90,61.41
62.24,60.71,62.96,60.71
60.31,60.88,61.96,60.07
61.48,60.98,61.48,60.67
60.23,60.23,61.70,60.00
60.53,58.14,60.76,57.76
57.90,58.27,59.05,57.73
58.50,59.15,59.29,57.55
60.55,61.22,61.33,60.44
61.00,61.89,62.12,60.69
61.98,61.98,62.08,61.33
62.50,63.42,63.42,62.40
62.65,63.01,63.08,62.30
62.76,62.05,63.22,61.94
61.23,62.54,62.56,60.50
63.08,63.13,63.47,62.55
62.86,63.12,63.52,62.70
63.70,62.82,63.92,62.68
62.50,62.46,63.06,61.95
62.88,63.65,64.15,62.35
63.73,64.06,64.07,63.37
64.66,64.79,64.83,64.11
64.37,64.62,64.94,64.14
65.12,65.13,65.76,64.79
65.56,65.56,66.56,65.36
65.45,64.87,65.82,64.64
64.83,64.46,64.95,64.32
65.02,66.81,66.81,65.02
67.28,68.51,68.58,67.00
68.78,67.83,68.90,67.80
68.09,69.57,69.58,67.73
67.30,68.15,68.66,67.30
67.76,67.98,68.24,67.60
68.23,67.46,68.23,67.25
67.64,67.15,67.95,65.50
65.97,66.16,67.09,65.97
65.71,67.81,67.83,65.32
70.07,71.48,71.55,70.07
70.32,71.51,71.91,70.32
71.58,73.18,73.29,71.50
72.91,72.80,72.95,72.15
72.57,72.48,72.73,71.86
72.94,72.53,73.52,72.24
73.07,74.08,74.11,72.95
73.72,73.73,73.94,72.93
73.71,73.49,73.97,72.70
72.84,74.05,74.14,72.67
73.84,74.09,74.27,73.38
74.04,74.10,74.48,73.50
74.19,74.20,74.31,73.27
73.93,75.55,75.57,73.93
75.38,75.46,75.61,74.86
75.71,76.08,76.81,75.52
76.70,76.67,76.71,75.83
76.72,76.13,76.83,75.63
76.02,76.79,76.87,75.83
76.60,76.09,76.71,75.80
75.86,76.08,76.32,75.51
76.85,77.97,78.22,76.83
77.00,76.28,77.36,76.16
77.19,77.96,78.28,76.97
77.37,78.38,78.39,77.06
78.28,77.69,78.71,76.77
77.86,78.28,78.33,77.81
78.23,78.74,78.99,78.01
78.85,79.90,80.00,78.54
80.17,79.60,80.36,79.10
79.03,80.06,80.17,78.89
80.25,79.60,80.25,79.05
79.81,80.81,80.91,79.81
80.71,78.56,80.94,78.53
78.20,77.46,78.28,76.98
78.42,79.23,79.26,78.25
80.38,75.31,80.38,75.31
76.18,76.16,76.50,74.73
76.05,78.34,78.60,75.92
78.13,78.05,79.27,77.80
76.94,78.47,78.79,76.24
78.01,79.74,79.80,77.96
80.53,81.09,81.89,80.37
81.98,81.98,82.42,81.31
82.14,82.87,83.01,82.14
83.58,83.42,83.90,82.41
83.31,84.49,84.60,83.12
84.41,83.54,84.41,83.18
83.62,84.08,84.25,83.19
84.52,85.14,85.23,84.38
84.96,85.46,85.66,84.42
83.50,83.98,84.74,83.12
84.56,83.24,84.84,82.32
83.96,84.26,84.58,83.82
83.52,82.62,84.12,82.54
83.33,83.51,83.75,82.81
84.26,83.35,84.52,82.66
83.72,84.44,84.49,83.47
83.40,83.96,84.14,82.93
83.90,84.38,84.58,83.54
84.11,83.60,85.00,83.14
83.99,84.32,84.71,83.99
84.49,81.74,84.51,81.29
81.74,83.22,83.31,81.74
81.00,82.77,83.00,80.64
82.64,84.41,84.44,82.05
84.72,84.76,85.57,84.13
85.35,86.70,86.87,85.35
86.59,87.30,88.00,86.48
86.36,86.53,86.93,85.70
86.10,82.53,86.64,82.53
84.84,85.15,85.30,83.33
83.68,82.16,83.77,80.99
82.16,80.74,82.46,80.10
81.41,82.90,82.94,81.00
83.00,83.00,83.26,81.52
83.91,85.60,85.70,83.91
85.61,86.67,86.89,85.61
87.22,87.52,88.38,86.89
87.40,86.72,87.65,86.16
87.37,87.58,87.78,86.91
87.39,88.25,88.31,87.07
87.96,86.37,87.99,86.25
87.18,87.93,88.14,86.85
89.27,89.56,90.44,89.27
89.98,91.34,91.45,89.98
91.61,92.49,95.82,91.06
92.15,93.63,93.78,91.95
93.42,92.38,93.70,92.08
92.10,93.10,93.13,92.10
92.96,93.62,93.99,92.50
93.70,96.55,96.55,93.70
96.00,98.09,98.45,96.00
97.58,96.98,98.63,96.56
98.06,99.38,99.45,97.84
99.79,99.55,100.39,98.95
99.84,99.93,100.77,99.50
100.86,97.54,102.56,96.72
94.76,96.17,97.09,94.24
95.00,96.29,96.36,94.44
99.15,97.72,99.72,96.93
97.00,97.41,98.16,95.78
97.41,99.21,99.92,97.34
98.88,96.19,99.43,96.19
96.94,96.46,97.16,93.86
96.50,94.78,97.64,94.31
94.56,91.88,95.01,91.32
91.50,94.50,94.57,90.74
95.53,97.06,97.31,94.67
97.99,97.40,98.08,96.52
95.78,94.19,96.15,94.07
95.87,92.42,95.87,92.00
92.09,95.89,96.14,91.75
95.62,93.86,96.32,93.50
95.30,95.47,96.30,94.49
95.41,96.71,97.21,95.41
96.74,94.05,97.00,93.94
92.10,89.78,92.78,89.22
