LBIX,Leading Brands Inc - Common Shares,NASDAQ
2.28,2.31,2.31,2.27
2.30,2.29,2.30,2.27
2.27,2.28,2.28,2.27
2.26,2.28,2.31,2.25
2.26,2.25,2.26,2.25
2.24,2.21,2.24,2.21
2.24,2.27,2.29,2.23
2.30,2.31,2.32,2.29
2.31,2.32,2.32,2.23
2.31,2.37,2.37,2.25
2.36,2.32,2.36,2.32
2.30,2.34,2.34,2.30
2.34,2.37,2.37,2.34
2.37,2.37,2.37,2.32
2.38,2.30,2.38,2.30
2.30,2.37,2.39,2.30
2.31,2.37,2.37,2.29
2.35,2.37,2.38,2.30
2.36,2.38,2.38,2.32
2.35,2.38,2.38,2.33
2.33,2.29,2.38,2.17
2.31,2.30,2.31,2.27
2.28,2.26,2.32,2.25
2.29,2.29,2.29,2.23
2.29,2.28,2.29,2.22
2.30,2.24,2.30,2.15
2.16,2.18,2.19,2.16
2.18,2.20,2.20,2.18
2.20,2.20,2.20,2.20
2.18,2.18,2.19,2.15
2.16,2.20,2.21,2.15
2.16,2.18,2.19,2.15
2.15,2.18,2.18,2.15
2.16,2.18,2.18,2.16
2.19,2.18,2.19,2.15
2.19,2.18,2.19,2.16
2.20,2.19,2.21,2.16
2.18,2.18,2.18,2.18
2.17,2.20,2.20,2.16
2.21,2.21,2.22,2.21
2.22,2.26,2.26,2.21
2.28,2.37,2.38,2.28
2.38,2.38,2.38,2.30
2.36,2.33,2.36,2.27
2.27,2.28,2.35,2.25
2.24,2.34,2.34,2.24
2.23,2.34,2.34,2.22
2.33,2.31,2.33,2.24
2.35,2.33,2.37,2.28
2.33,2.28,2.35,2.27
2.26,2.30,2.32,2.23
2.30,2.30,2.30,2.30
2.26,2.27,2.27,2.24
2.24,2.33,2.33,2.22
2.30,2.32,2.33,2.22
2.15,1.96,2.15,1.86
1.96,2.01,2.01,1.86
2.04,2.02,2.04,1.95
2.00,1.93,2.02,1.87
1.93,1.92,1.98,1.91
1.90,2.00,2.00,1.86
1.99,1.93,2.04,1.86
1.95,2.05,2.05,1.95
2.00,2.05,2.05,2.00
2.04,2.02,2.05,2.02
2.02,2.01,2.05,2.01
2.00,2.04,2.04,1.90
2.10,1.95,2.10,1.94
2.10,1.92,2.10,1.91
1.91,2.02,2.02,1.91
2.06,2.06,2.12,2.03
2.08,2.05,2.08,1.99
2.05,2.10,2.10,2.05
2.11,2.11,2.14,2.10
2.14,2.12,2.14,2.09
2.14,2.11,2.15,2.10
2.13,2.20,2.20,2.13
2.22,2.23,2.33,2.22
2.32,2.36,2.37,2.30
2.45,2.51,2.58,2.37
2.51,2.75,2.75,2.51
2.75,2.64,2.80,2.55
2.59,2.52,2.64,2.50
2.50,2.45,2.61,2.45
2.55,2.45,2.55,2.44
2.49,2.41,2.58,2.41
2.39,2.46,2.50,2.33
2.53,2.46,2.57,2.46
2.47,2.70,2.73,2.40
2.73,2.66,2.75,2.57
2.65,2.69,2.74,2.55
2.65,2.54,2.69,2.54
2.60,2.65,2.68,2.50
2.67,2.47,2.68,2.39
2.32,2.51,2.66,2.30
2.49,2.40,2.50,2.40
2.44,2.36,2.46,2.32
2.39,2.40,2.44,2.39
2.44,2.40,2.55,2.40
2.42,2.35,2.44,2.35
2.35,2.40,2.46,2.35
2.44,2.40,2.44,2.38
2.38,2.38,2.38,2.31
2.35,2.35,2.42,2.31
2.32,2.25,2.32,2.23
2.29,2.23,2.29,2.23
2.23,2.24,2.25,2.23
2.24,2.17,2.24,2.17
2.20,2.03,2.28,2.02
2.03,2.05,2.05,1.95
2.12,2.27,2.27,2.03
2.36,2.35,2.38,2.34
2.39,2.46,2.57,2.38
2.51,2.64,2.65,2.51
2.68,2.70,2.70,2.67
2.65,2.60,2.65,2.40
2.60,2.65,2.70,2.60
2.64,2.60,2.65,2.60
2.60,2.51,2.62,2.51
2.51,2.50,2.61,2.50
2.56,2.62,2.70,2.56
2.66,2.85,3.03,2.66
2.99,3.15,3.25,2.94
3.15,3.15,3.24,3.11
3.16,3.20,3.33,3.15
3.11,3.00,3.14,3.00
3.00,3.13,3.15,3.00
3.13,3.28,3.41,3.13
3.30,3.35,3.39,3.27
3.43,3.18,3.45,3.08
3.33,3.25,3.33,3.25
3.30,3.39,3.40,3.26
3.40,3.30,3.40,3.30
3.38,3.54,3.54,3.31
3.60,3.82,3.85,3.60
3.83,3.99,4.06,3.82
4.00,3.95,4.06,3.75
4.00,3.90,4.00,3.90
3.90,3.57,3.95,3.57
3.33,3.33,3.82,3.27
3.25,2.88,3.25,2.85
2.90,2.90,3.19,2.87
2.88,3.09,3.10,2.88
3.01,2.95,3.14,2.93
2.95,3.03,3.12,2.95
3.01,3.01,3.11,3.01
3.49,3.60,4.10,3.49
3.80,3.88,3.99,3.70
3.99,3.80,4.07,3.80
3.96,3.66,3.96,3.58
3.75,3.69,3.75,3.57
3.71,3.89,3.94,3.71
3.81,3.59,3.89,3.55
3.34,3.40,3.59,3.22
3.36,3.47,3.50,3.36
3.48,3.39,3.48,3.35
3.35,3.40,3.40,3.25
3.40,3.50,3.52,3.39
3.42,3.35,3.60,3.35
3.35,3.30,3.35,3.21
3.32,3.40,3.40,3.32
3.45,3.60,3.60,3.45
3.54,3.67,3.71,3.54
3.64,3.39,3.64,3.31
3.40,3.41,3.55,3.40
3.45,3.56,3.75,3.41
3.46,3.42,3.61,3.42
3.42,3.30,3.44,3.30
3.21,3.22,3.32,3.20
3.20,3.12,3.20,3.06
3.24,3.21,3.24,3.15
3.17,3.33,3.39,3.15
3.39,3.38,3.39,3.34
3.35,3.27,3.35,3.16
3.23,3.39,3.39,3.23
3.38,3.33,3.39,3.30
3.30,3.37,3.38,3.30
3.37,3.36,3.37,3.29
3.30,3.16,3.30,3.16
3.16,3.24,3.36,3.16
3.39,3.36,3.39,3.25
3.32,3.32,3.38,3.22
3.32,3.26,3.33,3.21
3.23,3.23,3.29,3.21
3.22,3.19,3.22,2.87
3.10,3.10,3.10,2.97
3.03,3.09,3.09,3.03
3.00,3.09,3.10,2.85
3.08,3.06,3.09,2.91
2.92,3.05,3.05,2.92
3.04,3.05,3.06,2.89
3.05,3.00,3.05,2.90
3.01,2.81,3.01,2.66
2.75,2.69,2.92,2.65
2.61,2.58,2.64,2.51
2.29,2.40,2.45,2.04
2.32,2.38,2.59,2.32
2.49,2.61,2.70,2.41
2.70,2.52,2.70,2.50
2.60,2.63,2.70,2.60
2.70,2.65,2.70,2.65
2.70,2.78,2.81,2.70
2.77,3.06,3.07,2.77
3.75,3.35,3.77,3.31
3.35,3.55,3.85,3.35
3.83,3.71,3.83,3.63
3.82,3.75,3.85,3.74
3.75,3.65,3.75,3.65
3.70,3.75,3.77,3.70
3.79,3.67,3.85,3.52
3.43,3.64,3.75,3.16
3.72,3.70,3.73,3.47
3.67,3.69,3.69,3.67
3.64,3.55,3.64,3.55
3.31,3.23,3.38,3.09
3.18,2.99,3.22,2.99
3.15,3.11,3.15,3.11
3.02,3.02,3.11,2.92
3.03,3.03,3.03,2.93
3.00,2.50,3.00,2.42
2.50,2.50,2.69,2.50
2.63,2.71,2.74,2.50
2.76,2.69,2.76,2.56
2.63,2.52,2.68,2.52
2.52,2.56,2.69,2.52
2.54,2.61,2.67,2.54
2.61,2.68,2.90,2.60
2.74,2.79,2.88,2.72
2.66,2.62,2.66,2.61
2.62,2.62,2.62,2.62
2.61,2.60,2.61,2.60
2.60,2.60,2.60,2.60
2.63,2.66,2.66,2.63
2.68,2.50,2.68,2.42
2.50,2.57,2.69,2.47
2.55,2.51,2.55,2.48
2.51,2.46,2.51,2.40
2.40,2.44,2.55,2.40
2.44,2.44,2.44,2.42
2.42,2.49,2.54,2.42
2.49,2.49,2.49,2.49
2.50,2.46,2.55,2.46
2.48,2.45,2.48,2.42
2.42,2.45,2.45,2.38
2.64,3.37,4.50,2.64
3.37,3.35,3.60,3.31
3.39,3.35,3.39,3.26
3.29,3.40,3.47,3.10
3.44,3.50,3.59,3.43
3.50,3.54,3.62,3.46
3.55,3.47,3.55,3.46
3.41,3.32,3.50,3.21
3.30,3.70,3.85,3.30
3.66,3.65,3.83,3.51
3.38,3.72,3.78,3.38
3.56,3.72,3.74,3.56
3.70,3.81,3.85,3.70
3.56,3.84,3.91,3.55
3.86,3.84,3.88,3.82
3.78,3.90,3.92,3.78
3.75,3.92,3.95,3.65
3.86,3.90,3.93,3.79
3.68,3.85,3.93,3.68
3.78,3.92,3.93,3.78
3.70,3.87,3.92,3.68
3.88,3.92,3.92,3.80
3.83,3.99,3.99,3.83
3.99,4.04,4.07,3.78
3.92,3.77,4.00,3.70
3.75,3.40,3.75,3.25
3.24,3.08,3.30,3.08
3.10,3.39,3.49,3.10
3.29,3.40,3.55,3.27
3.51,3.50,3.51,3.40
3.50,3.47,3.50,3.47
3.40,3.61,3.74,3.40
3.52,3.58,3.69,3.52
3.61,3.54,3.63,3.52
3.60,3.42,3.60,3.39
3.25,3.24,3.41,3.18
3.28,3.27,3.31,3.20
3.22,3.23,3.29,3.22
3.22,3.33,3.33,3.21
3.56,3.42,3.58,3.42
3.23,3.33,3.38,3.18
3.33,3.63,3.72,3.33
3.59,3.71,3.75,3.59
3.71,3.80,3.80,3.71
3.84,3.85,3.95,3.60
3.84,3.86,3.91,3.73
3.78,3.72,3.78,3.72
3.72,3.72,3.72,3.72
3.72,3.72,3.72,3.72
3.52,3.49,3.58,3.49
3.49,3.47,3.68,3.40
3.57,3.55,3.57,3.39
3.58,3.68,3.69,3.54
3.66,3.68,3.68,3.65
3.65,3.71,3.71,3.65
3.65,3.74,3.74,3.65
3.74,3.75,3.75,3.65
3.70,3.65,3.70,3.65
3.60,3.55,3.70,3.39
3.39,3.37,3.59,3.37
3.38,3.36,3.41,3.36
3.42,3.42,3.42,3.42
3.42,3.42,3.42,3.42
3.87,3.36,3.92,3.31
3.37,3.39,3.39,3.34
3.34,3.16,3.37,3.16
3.16,3.01,3.16,2.86
3.07,3.21,3.22,3.06
3.21,3.21,3.21,3.21
3.05,3.14,3.14,3.05
3.20,3.19,3.20,3.07
3.13,3.13,3.13,3.13
3.15,3.12,3.15,3.12
3.12,3.12,3.12,3.12
3.01,2.98,3.09,2.97
2.85,2.79,2.88,2.72
2.74,3.14,3.19,2.65
2.93,3.11,3.18,2.87
3.00,2.96,3.21,2.96
3.05,2.98,3.08,2.95
3.09,3.17,3.17,3.09
3.21,3.25,3.25,3.19
3.25,3.03,3.56,2.75
2.92,2.89,3.03,2.89
2.91,2.95,2.95,2.91
2.94,2.95,3.00,2.92
2.95,2.99,2.99,2.95
3.01,3.01,3.01,2.95
2.99,3.01,3.01,2.99
2.96,3.01,3.01,2.96
2.95,2.98,2.98,2.80
2.96,2.95,2.96,2.80
2.90,2.98,2.98,2.90
2.99,2.95,2.99,2.95
3.00,3.10,3.10,3.00
3.09,3.11,3.14,3.09
3.11,3.11,3.11,3.11
3.10,3.10,3.10,3.10
3.10,3.15,3.30,3.10
3.20,3.35,3.35,3.20
3.10,3.05,3.11,2.75
3.02,3.00,3.02,3.00
2.99,3.23,3.23,2.97
3.01,3.19,3.19,3.01
3.10,3.00,3.10,3.00
3.10,3.10,3.10,3.10
3.35,3.01,3.35,2.75
2.84,3.15,3.26,2.80
3.12,3.12,3.12,3.12
2.97,3.08,3.14,2.86
3.00,3.10,3.10,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
2.92,2.90,2.92,2.87
2.89,2.90,2.91,2.87
2.87,2.90,2.90,2.87
2.90,3.00,3.00,2.90
2.88,2.90,2.90,2.72
2.85,2.85,2.85,2.85
2.35,2.77,2.80,2.35
2.79,2.82,2.82,2.50
2.68,2.74,2.90,2.62
2.72,2.76,2.76,2.70
2.75,2.76,2.77,2.75
2.75,2.72,2.89,2.70
2.91,2.70,2.91,2.66
2.72,2.76,2.99,2.72
2.98,2.82,2.98,2.73
2.97,2.85,2.97,2.80
2.85,2.80,2.99,2.78
2.78,2.80,2.85,2.74
2.85,2.85,2.85,2.85
2.94,2.93,2.97,2.93
2.91,3.11,3.25,2.91
3.10,3.00,3.10,3.00
3.27,3.20,3.29,3.00
3.28,3.30,3.30,3.20
3.25,3.20,3.26,3.04
3.11,3.34,3.34,3.11
3.75,3.25,3.75,3.05
3.16,3.30,3.49,3.16
3.29,3.31,3.49,3.29
3.37,3.29,3.37,3.20
3.30,3.45,3.45,3.29
3.21,3.47,3.66,3.02
3.41,3.50,3.50,3.40
3.06,3.59,3.59,3.06
3.60,3.31,3.60,3.25
3.28,3.45,3.57,3.28
3.30,3.47,3.59,3.30
3.44,3.48,3.48,3.42
3.45,3.45,3.45,3.45
3.45,3.45,3.45,3.45
3.50,3.39,3.62,3.39
3.51,3.33,3.51,3.28
3.38,3.59,3.73,3.38
3.65,3.58,3.65,3.58
3.58,3.58,3.58,3.58
3.58,3.58,3.58,3.58
3.65,3.81,3.81,3.22
3.79,3.80,3.80,3.49
3.78,3.66,3.78,3.65
3.66,3.66,3.66,3.66
3.65,3.61,3.65,3.61
3.65,3.61,3.65,3.61
3.60,3.75,3.75,3.60
3.73,3.80,3.80,3.55
3.80,3.80,3.80,3.80
3.61,3.60,3.61,3.60
3.63,3.83,3.83,3.51
3.84,3.80,3.90,3.80
3.90,3.63,3.90,3.56
3.90,3.75,3.90,3.38
3.70,3.77,3.78,3.64
3.71,3.75,3.75,3.65
3.77,3.95,3.95,3.54
3.47,3.65,3.65,3.47
3.87,3.79,3.87,3.79
3.53,3.68,3.68,3.50
3.51,3.80,3.80,3.50
3.80,3.80,3.80,3.80
3.51,3.65,3.80,3.51
3.56,3.88,3.88,3.56
3.50,3.60,3.85,3.49
3.34,3.60,3.60,3.34
3.58,3.80,3.81,3.58
3.71,3.70,3.78,3.61
3.81,3.83,3.84,3.70
3.48,3.52,3.76,3.48
3.79,3.85,3.85,3.33
3.85,3.80,3.85,3.41
3.81,3.80,3.83,3.80
3.80,3.60,3.85,3.45
3.73,3.75,3.75,3.73
3.45,3.62,3.75,3.42
3.56,3.65,3.65,3.56
3.64,3.63,3.83,3.45
3.63,3.73,3.75,3.63
3.53,3.78,3.78,3.42
3.52,3.80,3.80,3.46
3.79,3.83,3.83,3.79
3.79,3.79,3.79,3.79
3.81,3.47,3.85,3.47
3.72,3.81,3.82,3.40
3.77,3.77,3.77,3.77
3.70,3.60,3.81,3.60
3.44,3.76,3.76,3.44
3.80,3.80,3.80,3.55
3.78,3.78,3.78,3.78
3.78,3.70,4.50,3.61
3.72,3.60,3.80,3.50
3.53,3.67,3.69,3.51
3.65,3.74,3.74,3.60
3.54,3.50,3.74,3.50
3.53,3.60,3.60,3.50
3.51,3.55,3.55,3.45
4.15,4.16,4.47,4.04
4.25,4.29,4.29,4.13
4.21,4.19,4.30,4.19
4.18,4.10,4.30,4.10
4.10,4.10,4.22,4.10
4.13,4.12,4.16,4.10
4.10,4.07,4.23,4.06
4.18,4.08,4.24,4.07
4.08,4.07,4.10,4.06
4.30,4.19,4.30,4.19
4.20,4.12,4.20,4.10
4.20,4.19,4.20,4.10
4.12,4.20,4.20,4.12
4.15,4.19,4.20,4.15
4.14,4.16,4.19,3.92
4.16,4.16,4.16,4.11
3.95,4.14,4.15,3.94
4.14,4.13,4.16,4.11
4.14,4.13,4.18,4.12
4.13,4.18,4.18,4.06
4.15,4.15,4.15,4.15
4.12,4.15,4.15,4.07
4.15,4.15,4.15,4.15
4.14,4.14,4.15,4.07
4.06,4.10,4.10,4.06
4.08,4.08,4.08,4.08
4.06,4.06,4.06,4.06
4.06,4.13,4.14,4.05
3.99,4.00,4.00,3.99
3.99,3.90,3.99,3.85
3.91,3.95,4.00,3.90
3.97,4.08,4.08,3.90
3.82,3.99,3.99,3.82
3.96,3.97,3.99,3.80
3.99,4.01,4.03,3.90
4.03,4.00,4.04,3.95
4.01,3.97,4.06,3.83
3.80,3.94,3.94,3.80
3.94,3.94,3.94,3.94
3.95,4.00,4.05,3.95
3.80,3.99,3.99,3.80
3.95,3.97,3.99,3.81
3.91,3.95,3.99,3.91
3.99,3.92,3.99,3.82
3.94,3.92,4.00,3.80
3.93,3.97,4.04,3.90
4.00,4.08,4.16,3.99
4.08,4.09,4.10,4.00
4.05,4.09,4.09,4.05
4.09,4.14,4.19,4.05
4.14,4.14,4.14,4.14
3.99,4.12,4.14,3.85
4.14,4.13,4.18,4.10
4.10,4.19,4.19,4.01
4.18,4.18,4.18,4.18
4.17,4.20,4.20,4.10
4.15,4.20,4.20,4.15
4.20,4.20,4.20,4.20
4.18,4.02,4.18,4.02
4.00,4.13,4.18,4.00
4.13,4.04,4.19,3.91
4.19,4.16,4.19,4.00
4.17,4.17,4.19,4.11
4.11,4.18,4.18,4.11
4.13,4.13,4.13,4.12
4.17,4.19,4.20,4.16
4.19,4.20,4.20,4.15
4.20,4.19,4.20,4.11
4.15,4.28,4.28,4.15
4.32,4.39,4.45,4.32
4.40,4.41,4.47,4.40
4.44,4.35,4.44,4.34
4.18,4.32,4.40,4.18
4.10,4.25,4.29,4.10
4.29,4.39,4.40,4.05
4.25,4.39,4.39,4.25
4.29,4.41,4.42,4.29
4.35,4.40,4.41,4.35
4.21,4.39,4.39,4.20
4.28,4.35,4.37,4.16
4.26,4.33,4.34,4.26
4.20,4.29,4.32,4.14
4.20,4.20,4.35,4.20
4.20,4.14,4.35,4.05
4.28,4.25,4.28,4.11
4.19,4.21,4.34,4.16
4.23,4.19,4.31,4.10
4.33,4.24,4.34,4.24
4.16,4.25,4.25,4.16
4.25,4.25,4.25,4.25
4.25,4.25,4.25,4.25
4.13,4.20,4.20,4.11
4.20,4.15,4.20,4.15
4.20,4.13,4.25,4.10
4.13,4.20,4.21,4.13
4.22,4.22,4.22,4.22
4.15,4.15,4.15,4.15
4.25,4.18,4.25,4.18
4.05,4.22,4.22,4.05
4.12,4.25,4.26,4.12
4.14,4.25,4.25,4.14
4.15,4.24,4.24,4.13
4.15,4.13,4.16,4.13
4.13,4.15,4.20,4.13
4.16,4.22,4.22,4.16
4.22,4.22,4.22,4.22
4.22,4.22,4.22,4.22
4.19,4.20,4.20,4.19
4.20,4.13,4.20,4.13
4.13,4.25,4.25,4.13
4.22,4.25,4.25,4.22
4.25,4.24,4.25,4.10
4.11,4.20,4.23,4.11
4.23,4.24,4.24,4.22
4.05,4.23,4.23,4.01
4.23,4.23,4.23,4.23
4.23,4.23,4.23,4.23
4.18,4.22,4.22,4.18
4.23,4.23,4.23,4.11
4.20,4.23,4.23,4.13
4.06,4.23,4.24,4.06
4.00,4.23,4.23,4.00
4.23,4.23,4.23,4.23
3.71,4.10,4.23,3.71
4.02,4.24,4.24,4.02
3.97,4.22,4.23,3.97
4.19,4.22,4.22,4.15
4.12,4.24,4.24,4.10
4.24,4.24,4.24,4.24
4.10,4.24,4.24,4.10
4.13,4.20,4.24,4.00
4.20,4.22,4.22,3.95
3.97,4.21,4.22,3.97
4.00,4.21,4.24,4.00
4.12,4.20,4.24,3.99
4.23,4.20,4.23,4.12
4.20,4.20,4.20,4.20
4.05,4.19,4.21,3.93
4.17,4.20,4.24,3.92
4.24,4.20,4.24,4.20
4.16,4.02,4.24,4.00
4.07,4.14,4.19,3.94
4.14,4.14,4.14,4.14
4.03,4.03,4.03,4.03
4.07,4.15,4.20,3.81
3.80,4.15,4.15,3.80
4.03,4.07,4.16,3.89
3.99,3.94,3.99,3.92
3.94,3.94,3.94,3.94
3.99,3.99,3.99,3.99
3.94,4.03,4.03,3.84
3.94,4.09,4.10,3.94
4.03,4.00,4.10,3.91
3.95,3.95,3.95,3.95
3.90,3.99,3.99,3.85
3.84,3.88,4.05,3.76
3.81,3.76,3.98,3.76
3.76,3.76,3.76,3.76
3.85,3.79,3.85,3.64
3.79,3.79,3.79,3.79
3.65,3.70,3.78,3.64
3.65,3.80,3.80,3.65
3.70,3.82,3.82,3.70
3.71,3.81,3.81,3.69
3.68,3.89,3.90,3.68
3.75,3.75,3.76,3.75
3.71,3.72,3.73,3.69
3.71,3.65,3.71,3.64
3.62,3.85,3.88,3.60
3.61,3.82,3.83,3.61
3.82,3.82,3.82,3.82
3.81,3.80,3.81,3.80
3.75,3.89,3.90,3.75
3.85,3.89,3.89,3.85
3.85,3.87,3.87,3.71
3.87,3.87,3.87,3.87
3.74,3.71,3.75,3.71
3.75,3.70,3.75,3.70
3.75,3.75,3.75,3.61
3.64,3.60,3.64,3.53
3.75,3.55,3.75,3.52
3.63,3.63,3.63,3.63
3.55,3.63,3.65,3.37
3.63,3.63,3.63,3.63
3.63,3.63,3.63,3.63
3.55,3.63,3.63,3.55
3.63,3.73,3.78,3.55
3.68,3.68,3.68,3.67
3.68,3.62,3.68,3.53
3.53,3.55,3.63,3.53
3.62,3.56,3.62,3.55
3.56,3.56,3.56,3.56
3.55,3.60,3.64,3.52
3.54,3.54,3.59,3.31
3.57,3.42,3.63,3.29
3.43,3.56,3.59,3.26
3.55,3.55,3.55,3.55
3.36,3.77,3.77,3.35
3.73,3.73,3.73,3.42
3.39,3.70,3.72,3.39
3.72,3.69,3.72,3.66
3.69,3.69,3.69,3.69
3.69,3.47,3.71,3.38
3.84,3.79,3.84,3.40
3.57,3.54,3.79,3.40
3.57,3.60,3.60,3.57
3.61,3.76,3.77,3.41
3.62,3.52,3.73,3.49
3.53,3.54,3.69,3.53
3.63,3.63,3.63,3.53
3.57,3.57,3.57,3.57
3.57,3.72,3.72,3.54
3.75,3.75,3.75,3.75
3.53,3.64,3.64,3.53
3.64,3.64,3.64,3.64
3.79,3.79,3.79,3.79
3.36,3.74,3.74,3.36
3.74,3.75,3.75,3.70
3.71,3.71,3.71,3.70
3.71,3.74,3.74,3.71
3.54,3.72,3.72,3.54
3.73,3.68,3.73,3.68
3.58,3.54,3.58,3.54
3.52,3.52,3.52,3.40
3.46,3.55,3.55,3.46
3.53,3.53,3.53,3.53
3.43,3.54,3.54,3.31
3.43,3.54,3.54,3.43
3.46,3.55,3.55,3.46
3.55,3.55,3.55,3.55
3.47,3.46,3.47,3.46
3.42,3.50,3.55,3.42
3.46,3.49,3.49,3.35
3.36,3.41,3.45,3.31
3.41,3.42,3.42,3.41
3.41,3.53,3.53,3.33
3.53,3.53,3.53,3.53
3.39,3.53,3.53,3.35
3.53,3.53,3.53,3.53
3.35,3.38,3.53,3.35
3.41,3.35,3.41,3.35
3.31,3.35,3.40,3.31
3.31,3.31,3.32,3.31
3.32,3.31,3.34,3.31
3.35,3.30,3.35,3.30
3.41,3.66,3.85,3.41
3.74,3.74,3.74,3.70
3.69,3.85,3.85,3.44
3.76,3.65,3.76,3.65
3.70,3.65,3.70,3.65
3.65,3.65,3.65,3.65
3.52,3.54,3.54,3.50
3.47,3.65,3.65,3.47
3.50,3.61,3.63,3.50
3.50,3.60,3.60,3.50
3.69,4.00,4.34,3.69
4.15,4.19,4.26,4.01
4.32,4.42,4.42,4.03
4.34,4.44,4.45,4.31
4.45,4.50,4.68,4.42
4.50,4.61,4.62,4.49
4.50,4.63,4.63,4.50
4.65,4.31,4.67,4.20
4.21,4.52,4.58,4.20
4.59,4.59,4.59,4.40
4.69,3.88,4.88,3.82
3.88,3.96,4.12,3.60
3.95,3.83,4.00,3.67
3.71,3.73,3.82,3.61
3.59,3.72,3.75,3.59
3.75,3.70,3.83,3.70
3.79,3.70,3.79,3.70
3.78,3.91,3.92,3.55
3.99,3.71,3.99,3.71
3.70,3.62,3.71,3.62
3.74,3.66,3.74,3.58
3.58,3.37,3.58,3.37
3.40,3.40,3.46,3.34
3.36,3.38,3.41,3.36
