GST,Gastar Exploration Inc Common Stock,NASDAQ
4.65,4.75,4.75,4.62
4.79,4.79,4.79,4.73
4.63,4.77,4.85,4.62
4.85,4.72,4.85,4.70
4.75,4.66,4.78,4.65
4.68,4.64,4.75,4.62
4.60,4.29,4.60,4.29
4.48,4.20,4.52,4.08
4.20,4.17,4.23,4.12
4.02,4.16,4.19,4.02
4.20,4.16,4.47,4.11
4.25,4.35,4.39,4.25
4.46,4.35,4.46,4.26
4.43,4.48,4.55,4.40
4.50,4.52,4.55,4.39
4.60,4.56,4.78,4.53
4.59,4.51,4.59,4.44
4.54,4.66,4.80,4.50
4.70,4.66,4.78,4.62
4.68,4.81,4.83,4.63
4.84,4.91,4.94,4.75
4.96,4.86,5.00,4.83
4.96,4.80,4.96,4.79
4.83,4.85,4.92,4.79
4.85,4.84,4.88,4.75
4.85,4.75,4.86,4.70
4.73,4.69,4.85,4.65
4.70,4.71,4.81,4.63
4.75,4.49,4.78,4.46
4.36,4.30,4.47,4.25
4.36,4.49,4.50,4.35
4.41,4.50,4.50,4.39
4.48,4.60,4.64,4.46
4.54,4.44,4.54,4.37
4.45,4.42,4.48,4.33
4.51,4.49,4.51,4.45
4.50,4.49,4.60,4.40
4.52,4.45,4.53,4.39
4.48,4.46,4.50,4.45
4.51,4.49,4.51,4.41
4.47,4.49,4.51,4.40
4.46,4.50,4.55,4.46
4.50,4.40,4.54,4.40
4.41,4.28,4.47,4.20
4.25,4.20,4.42,4.15
4.15,4.14,4.20,4.01
4.12,4.00,4.18,3.95
3.99,3.98,4.05,3.89
3.97,4.11,4.14,3.96
4.10,3.76,4.15,3.69
3.69,3.71,3.78,3.57
3.70,3.59,3.70,3.56
3.55,3.35,3.55,3.31
3.35,3.48,3.67,3.35
3.51,3.63,3.68,3.50
3.68,3.46,3.69,3.45
3.46,3.51,3.64,3.37
3.49,3.40,3.50,3.40
3.38,3.26,3.45,3.25
3.28,3.38,3.41,3.25
3.38,3.36,3.44,3.36
3.40,3.41,3.49,3.39
3.48,3.39,3.49,3.33
3.41,3.20,3.45,3.20
3.22,3.50,3.55,3.07
3.51,3.55,3.65,3.35
3.58,3.38,3.58,3.36
3.40,3.43,3.63,3.38
3.46,3.38,3.50,3.38
3.34,3.35,3.45,3.32
3.35,3.31,3.39,3.29
3.28,3.25,3.37,3.25
3.32,3.34,3.36,3.28
3.26,3.25,3.33,3.25
3.27,3.32,3.42,3.25
3.35,3.36,3.39,3.31
3.39,3.38,3.39,3.31
3.43,3.47,3.49,3.38
3.47,3.47,3.52,3.44
3.44,3.40,3.44,3.33
3.42,3.39,3.46,3.33
3.40,3.35,3.42,3.31
3.35,3.36,3.37,3.34
3.38,3.33,3.38,3.12
3.30,3.43,3.44,3.30
3.44,3.50,3.50,3.37
3.49,3.51,3.52,3.43
3.49,3.54,3.55,3.45
3.56,3.65,3.69,3.50
3.59,3.54,3.65,3.54
3.50,3.45,3.53,3.44
3.41,3.57,3.61,3.40
3.61,3.78,3.80,3.57
3.75,3.87,3.91,3.72
3.90,3.88,4.05,3.88
3.88,3.83,3.88,3.77
3.93,3.94,4.00,3.83
3.95,3.90,3.96,3.90
3.90,4.02,4.05,3.88
4.04,4.08,4.12,3.95
4.05,4.00,4.13,4.00
3.99,4.00,4.04,3.88
3.93,3.90,4.06,3.86
4.15,4.86,4.93,4.15
4.76,4.75,4.94,4.60
4.79,4.65,4.79,4.52
4.62,4.49,4.75,4.48
4.43,4.64,4.65,4.21
4.64,4.15,4.65,4.15
4.37,4.06,4.38,3.85
4.00,3.66,4.08,3.60
4.02,4.20,4.20,3.60
4.12,3.93,4.19,3.78
