CACI,CACI International,NASDAQ
45.22,45.50,45.60,45.02
45.79,45.76,46.42,45.12
45.77,45.72,45.82,45.32
45.98,46.26,46.50,45.87
46.00,46.74,46.77,45.68
46.41,46.29,46.53,45.52
47.06,50.27,50.60,46.77
50.27,50.12,50.47,50.00
50.28,50.93,51.45,50.28
51.66,52.32,52.91,51.58
51.59,50.96,51.70,50.30
51.11,51.91,51.98,50.94
52.13,51.57,52.13,51.42
51.34,51.00,51.60,50.91
51.23,50.57,51.25,50.34
50.58,50.24,50.67,49.37
49.63,50.28,50.29,49.06
49.96,50.14,50.31,49.58
50.20,50.06,50.42,49.60
49.93,48.75,50.28,48.42
48.89,49.62,49.92,48.58
50.07,50.62,50.66,50.01
50.61,50.64,50.80,50.29
50.31,50.94,51.01,50.08
50.36,50.66,50.71,50.01
50.82,51.06,51.08,50.72
50.67,51.14,51.36,50.13
50.74,50.24,50.84,49.56
49.71,50.33,50.36,49.51
51.09,51.66,51.84,50.90
51.72,52.38,52.49,51.05
52.24,52.67,52.91,51.71
52.42,52.98,53.15,52.03
53.21,53.45,53.92,52.86
53.70,53.41,53.82,53.26
53.53,52.26,53.53,52.22
52.24,52.60,52.62,51.66
52.77,53.08,53.34,52.59
52.94,53.03,53.48,52.87
53.31,53.34,53.74,52.88
53.45,53.43,53.72,53.15
53.43,53.00,53.43,52.71
52.82,52.85,53.40,52.56
53.28,52.90,53.35,52.89
53.04,53.04,53.35,52.85
53.08,53.01,53.26,52.65
52.81,53.22,53.27,52.79
53.21,53.09,53.21,52.41
53.24,53.35,53.70,52.64
53.26,53.76,54.11,53.26
53.76,53.40,53.83,53.23
53.88,53.74,54.04,53.29
53.99,52.56,53.99,52.31
52.48,52.42,52.56,52.21
52.35,52.15,52.42,51.94
52.08,51.60,52.09,50.91
51.40,51.99,52.00,51.01
52.21,52.80,52.88,52.09
53.49,53.88,53.95,53.44
53.81,52.46,53.84,52.37
52.47,52.95,52.99,51.96
52.97,52.96,53.11,52.55
52.95,52.88,53.30,52.74
52.62,52.44,52.99,52.17
52.75,51.63,52.75,51.55
51.48,52.65,52.95,51.28
52.75,53.56,53.57,52.39
53.57,54.59,54.68,53.51
54.76,56.04,56.11,54.35
55.91,55.37,56.06,54.85
55.36,55.49,55.78,54.83
55.69,56.36,56.55,55.43
56.06,55.50,56.28,55.26
56.33,58.04,59.29,56.24
58.24,57.08,58.39,56.93
57.25,56.86,57.36,56.58
56.83,57.32,57.64,56.38
57.30,57.62,57.76,57.16
57.19,57.36,57.80,56.85
57.25,57.60,57.73,56.91
57.49,57.47,57.94,57.42
57.28,57.41,57.67,57.09
57.70,58.25,58.37,57.45
58.25,58.60,58.81,58.25
58.63,58.78,59.10,58.35
58.67,57.68,58.67,57.57
57.62,56.51,57.62,56.46
56.57,57.10,57.57,56.10
57.62,58.41,58.55,57.36
58.55,59.32,59.37,58.55
59.22,58.36,59.94,58.03
58.24,58.91,59.18,58.24
59.13,59.84,60.00,59.08
59.82,59.87,60.00,59.43
59.99,59.10,60.00,58.53
59.05,59.71,60.12,58.50
59.79,59.84,60.07,59.42
59.19,58.14,59.34,57.79
58.27,58.26,58.59,57.94
57.77,58.71,58.86,56.94
57.25,58.61,58.87,57.25
58.28,57.96,58.83,57.53
58.74,57.89,58.98,57.86
58.45,58.60,58.94,58.05
59.00,59.46,59.94,59.00
59.68,59.54,60.00,59.30
59.36,59.58,59.65,59.01
59.90,60.18,60.33,59.38
60.25,60.85,61.16,60.00
60.95,61.86,62.75,60.50
61.42,61.27,61.64,60.87
61.54,61.45,61.94,61.17
61.45,61.32,61.83,61.20
61.96,62.33,62.66,60.24
62.04,61.85,62.60,61.25
61.64,60.99,61.64,60.46
61.19,60.96,61.20,60.58
60.92,60.48,61.01,60.47
60.82,60.06,61.00,59.88
60.11,59.63,60.25,59.34
59.51,60.06,60.29,59.14
60.33,60.20,60.76,60.03
59.88,60.20,60.31,59.67
60.02,60.42,60.57,59.99
59.88,58.89,59.90,58.15
58.94,58.79,59.12,58.50
59.60,59.62,59.93,59.25
60.17,60.14,60.18,59.69
60.16,59.88,60.38,59.49
59.91,60.63,60.77,59.85
60.60,60.83,60.85,60.33
60.75,60.77,61.15,60.53
60.97,61.11,61.32,60.55
61.39,60.28,61.39,60.09
60.01,60.11,61.28,59.73
60.17,59.57,60.25,59.35
61.55,60.94,62.20,59.83
61.62,61.14,62.10,60.96
61.18,61.60,61.79,60.98
61.50,63.06,63.36,61.47
62.87,62.73,63.49,62.44
62.56,63.10,63.17,62.49
63.19,62.71,63.49,62.70
62.39,61.71,62.43,61.70
61.23,61.47,61.57,60.77
61.51,62.47,62.73,61.16
62.66,62.34,62.85,61.88
62.13,62.32,62.79,61.88
61.39,61.29,61.79,61.19
61.52,60.74,61.53,60.49
60.48,60.72,60.75,60.22
60.86,61.38,61.61,59.83
62.01,62.56,62.74,62.01
63.14,63.83,63.90,62.48
63.90,62.23,63.92,62.15
62.27,61.30,62.33,61.10
60.51,60.17,60.89,60.12
60.03,60.05,60.30,59.15
60.40,60.55,60.86,59.82
60.03,60.31,60.60,60.03
60.41,60.63,61.10,60.26
60.26,60.06,60.44,59.49
60.04,60.30,60.49,59.76
60.85,61.27,61.65,60.85
60.71,60.41,61.14,60.40
60.35,60.97,61.04,59.98
61.60,61.77,62.58,61.60
61.67,63.05,63.12,61.60
63.90,63.90,64.40,63.43
63.73,63.40,64.21,63.35
62.69,63.06,63.23,61.93
63.31,63.74,63.80,63.10
63.68,63.76,64.27,63.58
62.63,62.64,62.84,61.61
62.67,63.03,63.08,62.31
63.29,63.08,64.21,61.93
63.54,64.94,65.30,63.54
65.17,65.36,65.62,64.94
65.44,65.83,66.41,65.20
66.49,65.70,66.49,65.55
64.67,65.52,65.67,64.67
64.93,64.45,65.37,64.33
64.31,64.08,64.63,64.03
64.38,64.20,64.71,64.00
64.39,63.86,64.68,63.63
63.97,63.13,64.54,62.75
63.10,61.92,63.44,61.38
62.41,62.05,62.89,61.77
62.24,62.37,62.68,61.86
62.65,61.89,62.85,61.69
61.66,61.56,61.98,61.39
60.94,60.90,61.76,60.85
60.90,60.77,60.96,60.46
60.43,59.68,60.71,59.56
59.70,59.46,60.04,59.35
58.90,59.08,59.56,58.63
59.67,55.97,60.00,54.98
55.48,52.62,55.84,52.53
52.69,53.71,53.76,51.08
52.28,52.10,52.85,51.47
52.66,51.59,52.68,50.35
50.34,47.82,51.12,47.07
48.97,49.83,49.83,46.63
48.71,47.36,49.40,47.29
47.62,49.50,50.41,47.62
49.82,49.27,50.27,48.99
49.39,50.21,50.25,49.08
49.79,49.73,50.13,49.37
49.77,48.82,50.56,48.51
49.56,48.81,49.95,47.17
47.93,49.78,50.57,47.93
50.70,50.13,51.02,49.60
50.30,52.16,52.31,49.63
52.37,52.97,53.44,52.14
53.45,52.01,53.70,51.90
51.79,52.42,52.51,51.16
52.85,54.75,54.83,52.76
54.00,55.39,55.70,54.00
55.50,55.06,56.14,54.62
54.20,52.09,54.75,51.72
51.25,49.92,51.25,49.65
48.73,49.98,50.09,48.50
50.65,51.96,52.15,50.52
51.46,50.89,52.26,50.80
50.24,49.76,50.51,49.24
49.07,49.95,50.04,48.70
49.97,50.68,50.90,49.93
50.95,51.32,51.96,50.25
51.66,52.02,52.15,51.30
51.75,52.14,52.60,51.75
51.37,51.28,51.67,50.85
51.33,51.25,52.50,51.06
51.11,48.95,51.80,48.89
47.48,47.05,48.18,46.70
47.05,47.63,48.25,47.01
48.11,49.02,49.08,47.26
50.59,50.84,51.64,49.75
50.81,49.02,51.08,49.02
50.01,50.90,50.90,49.83
50.04,49.94,50.78,49.90
49.48,46.81,49.71,46.78
46.36,49.83,49.98,46.36
49.74,50.29,50.51,49.21
50.05,51.97,52.15,49.90
52.25,50.63,52.28,50.26
51.57,52.44,52.48,51.20
51.94,52.45,52.75,51.69
52.58,53.79,54.50,52.58
53.76,53.22,53.76,52.59
53.62,54.45,54.64,53.62
53.95,52.64,54.01,52.38
52.51,53.79,54.14,52.06
53.85,52.97,53.90,52.68
52.93,53.06,53.27,52.11
53.74,53.08,53.78,52.36
53.04,54.07,54.20,53.04
53.97,53.62,54.43,53.29
54.58,53.21,54.60,52.75
53.97,55.34,55.85,53.97
55.63,55.67,55.90,54.92
54.98,54.89,55.70,54.54
53.01,53.14,54.10,52.87
53.82,54.25,54.64,53.29
59.23,58.04,59.45,57.57
58.34,56.97,58.34,56.69
57.35,57.31,58.04,55.55
56.00,57.11,57.54,55.89
55.60,55.35,56.14,55.22
56.08,56.17,56.28,55.15
56.84,57.18,57.72,56.68
57.05,56.02,57.05,55.90
55.56,56.08,56.46,55.06
55.63,55.19,56.05,54.92
55.33,54.37,55.44,53.93
54.42,54.47,54.79,53.90
53.72,53.36,53.96,52.86
53.29,52.78,53.61,52.56
52.19,52.08,52.49,51.64
51.96,51.97,52.77,51.84
53.19,54.48,54.54,53.10
54.73,55.17,55.26,54.58
55.56,56.38,56.45,55.39
56.11,56.36,56.96,56.05
56.80,56.78,57.22,56.32
57.58,57.05,57.80,56.99
57.26,56.60,57.27,56.28
56.24,57.05,57.29,56.04
56.69,55.98,56.79,55.63
56.22,57.21,57.41,56.06
57.14,56.59,57.26,56.30
56.89,56.07,57.31,55.63
55.57,55.17,55.90,54.87
55.73,55.35,55.95,55.28
56.01,55.36,56.19,55.28
55.70,54.95,56.07,54.71
55.58,56.05,56.23,55.58
55.72,55.75,55.94,54.69
55.98,56.56,56.80,55.98
56.29,56.50,56.78,56.29
56.46,56.93,57.06,56.23
57.02,55.30,57.02,55.01
55.31,55.76,55.86,55.14
55.64,55.92,56.20,55.64
56.29,56.57,57.15,55.90
55.49,56.12,56.91,55.49
55.81,56.00,56.19,55.41
55.88,55.68,56.03,55.48
55.78,55.70,55.78,54.95
56.10,56.45,56.49,55.97
56.69,56.46,56.69,56.15
56.65,56.96,57.08,56.33
56.51,57.20,57.44,56.47
57.45,57.95,58.14,57.39
58.03,58.61,58.65,57.96
58.98,58.98,59.08,58.62
59.00,57.66,59.20,57.55
57.99,58.03,58.17,57.69
57.86,58.24,58.44,57.55
58.50,59.13,59.15,58.07
59.43,59.20,59.45,58.83
58.84,59.15,59.30,58.72
58.79,58.86,59.12,58.60
59.16,58.69,59.22,58.60
58.76,58.93,59.22,58.60
59.78,59.13,60.00,58.05
59.68,59.70,60.38,59.58
59.62,59.04,59.64,58.69
58.92,59.07,59.23,58.79
59.29,59.31,59.37,58.51
59.67,59.43,60.07,59.14
58.83,58.85,59.00,58.35
59.28,59.06,59.71,59.01
59.07,59.34,59.47,59.00
59.41,59.32,60.01,59.10
59.16,59.40,59.62,59.02
59.66,59.21,59.80,59.14
59.69,59.46,59.76,59.05
59.19,59.32,59.70,59.19
59.33,59.51,59.60,58.61
59.34,59.95,60.27,59.33
59.75,60.14,60.55,59.48
59.97,59.56,60.08,59.16
59.37,59.14,59.84,59.05
59.13,59.45,60.10,59.13
59.33,59.07,59.72,59.01
58.87,59.21,59.41,58.66
58.77,58.79,59.21,58.67
58.90,59.03,59.07,58.63
59.45,59.50,59.61,58.84
59.47,60.88,62.20,59.47
60.98,60.86,60.99,60.31
61.08,61.48,61.49,60.77
61.19,61.15,61.43,60.77
61.52,62.06,62.20,61.22
62.20,61.95,62.49,61.90
61.80,62.17,62.70,61.49
61.92,61.51,61.93,61.16
61.74,62.18,62.53,61.49
61.53,61.53,61.72,61.09
61.60,61.90,61.91,61.10
62.37,62.85,63.11,62.25
62.83,62.55,62.98,62.46
62.47,62.44,62.63,61.94
62.00,62.40,62.47,61.80
62.83,62.29,62.86,62.18
62.41,62.85,63.02,61.97
62.94,62.23,63.01,61.83
61.64,61.49,62.02,61.19
61.33,60.94,61.48,60.51
60.06,60.47,60.77,59.98
60.37,59.51,60.46,59.40
59.86,60.02,60.07,59.56
59.94,60.93,61.10,59.88
60.59,60.10,60.70,59.90
60.19,60.47,60.93,60.12
60.93,61.15,61.50,60.90
60.86,61.00,61.23,60.65
60.93,60.86,61.62,60.63
61.51,61.51,61.84,61.05
60.78,61.19,61.43,60.53
61.33,60.87,61.39,60.61
61.38,61.60,61.83,61.01
61.60,61.96,62.23,61.52
61.87,61.70,62.15,61.20
61.51,61.13,61.60,61.00
61.04,61.47,62.04,60.95
60.98,61.42,61.50,60.80
54.25,51.52,54.25,51.25
50.98,49.16,51.68,48.89
49.16,48.45,49.16,47.85
47.98,48.47,48.72,47.87
47.99,48.43,48.59,47.87
48.55,47.74,48.60,47.61
47.20,47.01,47.96,46.97
46.65,46.46,46.90,46.17
46.39,45.95,46.67,45.78
46.16,45.51,46.25,45.47
45.59,45.07,45.64,44.99
45.01,43.68,45.10,43.52
43.71,44.08,44.36,43.17
44.27,43.63,44.67,43.52
43.32,43.84,44.03,42.89
44.84,43.92,44.89,43.67
43.70,43.65,44.19,43.52
44.08,44.20,44.55,44.00
43.65,43.57,43.87,43.49
43.48,42.80,43.48,42.65
42.20,41.70,42.70,41.68
41.74,42.09,42.13,41.29
42.24,44.11,44.26,41.99
44.56,45.00,45.38,44.27
47.89,49.50,50.52,47.12
48.69,48.92,49.64,48.50
49.54,47.77,49.62,47.77
48.04,48.86,48.96,47.61
48.67,48.62,49.54,48.58
50.02,49.98,50.31,49.28
49.97,50.50,50.75,49.95
50.16,50.60,51.18,49.88
50.90,51.41,51.60,50.90
51.40,52.25,52.57,51.40
52.25,51.78,52.76,51.62
52.10,52.71,52.79,51.93
52.32,52.55,52.80,51.96
52.92,52.61,53.06,52.43
52.84,54.00,54.12,52.80
52.94,54.18,54.27,52.94
55.00,55.02,55.30,54.35
55.18,55.99,56.05,55.11
55.83,56.54,56.63,55.83
56.59,56.69,57.30,56.22
56.09,55.93,56.62,55.76
55.97,55.48,56.11,55.23
55.79,55.62,56.45,55.15
55.82,56.27,56.37,55.70
55.77,55.58,55.93,55.16
56.22,56.68,56.93,55.69
56.38,56.28,56.75,56.22
56.61,56.75,56.98,56.22
56.39,56.56,56.96,56.10
56.96,57.04,57.56,56.62
56.71,56.41,56.94,55.95
55.36,55.38,55.81,54.89
55.50,54.59,55.59,54.29
54.89,55.21,55.40,54.31
56.04,55.83,57.50,55.51
56.11,56.60,57.00,55.51
56.61,56.14,57.10,55.71
55.90,56.45,57.21,55.59
56.55,55.33,56.82,55.24
54.64,55.09,55.91,54.29
55.10,55.55,55.84,55.10
55.53,54.90,55.75,54.78
55.07,55.37,56.26,54.80
55.31,55.58,55.91,54.54
55.60,56.27,56.76,55.20
56.04,56.52,56.57,55.83
56.61,56.87,56.89,55.76
56.96,56.55,57.97,56.45
56.56,57.38,57.46,56.37
56.00,53.23,56.62,52.50
52.87,52.16,53.27,52.01
51.91,52.70,53.05,51.91
52.65,52.47,53.71,52.25
52.46,52.44,52.85,52.25
52.31,52.25,52.74,52.09
52.01,52.23,52.43,52.01
52.27,52.33,52.74,52.05
52.25,52.36,52.77,52.20
52.36,52.68,53.00,52.21
52.34,52.04,52.61,52.01
52.27,53.39,53.52,52.27
53.45,53.43,53.63,52.53
53.44,52.73,53.65,52.68
53.07,53.80,54.40,53.02
54.08,54.49,54.55,53.72
54.28,54.19,55.19,53.84
54.13,54.57,54.94,53.87
54.51,55.02,55.06,54.22
54.89,55.68,55.98,54.55
55.90,56.23,56.24,55.66
55.91,55.68,56.20,55.42
55.68,55.42,55.81,55.24
55.40,55.08,55.40,54.79
54.71,54.98,55.23,54.33
55.39,54.23,55.39,54.23
54.08,54.13,54.57,53.75
54.29,53.21,54.49,53.17
52.11,51.38,52.33,50.79
51.43,51.50,51.76,50.89
51.42,51.79,52.21,51.04
52.20,52.38,53.14,51.89
52.48,52.31,52.72,51.97
52.42,52.08,52.71,51.98
51.03,50.04,51.04,49.76
50.89,51.01,51.99,50.09
50.75,49.69,50.75,49.29
49.64,49.26,50.07,49.20
49.30,49.31,49.71,49.25
49.53,49.10,49.82,49.07
49.10,48.65,49.46,48.56
48.77,49.10,49.69,48.77
49.60,49.47,49.95,49.15
49.86,50.13,50.18,49.32
50.15,50.72,50.91,50.13
50.56,49.57,50.73,49.50
49.62,49.60,50.00,49.36
49.12,49.47,49.92,48.92
49.61,48.80,49.73,48.75
49.18,49.20,49.41,48.70
49.34,49.45,50.60,49.25
49.31,50.43,50.91,49.31
50.40,53.88,54.37,50.40
54.21,53.53,54.21,53.13
53.72,53.80,54.07,53.31
53.88,54.36,54.79,53.66
53.66,51.93,53.66,51.59
51.73,51.18,52.09,51.18
51.15,51.57,52.01,50.94
51.95,51.37,51.95,51.19
51.12,51.04,52.12,50.87
50.99,50.37,51.72,50.33
50.37,50.32,50.79,50.02
50.23,50.48,50.78,49.54
51.02,51.49,51.82,50.60
51.37,51.44,51.58,51.08
51.54,51.74,51.75,51.20
51.92,52.20,52.20,51.60
52.07,52.24,52.32,51.64
52.08,52.02,52.65,51.69
52.23,52.71,52.91,51.64
52.83,52.95,53.24,52.60
52.97,51.15,53.01,51.15
51.48,51.44,51.63,50.96
51.38,52.16,52.37,51.28
52.19,52.60,53.09,52.07
52.44,52.97,53.00,51.80
53.09,53.35,53.93,52.94
53.30,53.54,53.61,53.02
53.70,54.25,54.59,53.21
54.49,53.97,54.54,53.88
54.09,54.06,54.45,53.61
54.45,54.38,54.48,53.61
54.42,55.05,55.19,54.39
55.09,56.40,56.41,54.90
56.50,56.36,57.07,56.00
56.22,55.15,56.22,54.78
54.18,54.93,55.10,54.18
54.58,54.94,55.06,54.55
54.95,54.22,54.97,54.20
54.43,54.34,54.54,52.94
54.12,53.63,54.83,53.62
53.69,55.03,55.03,53.67
55.05,56.85,57.03,55.03
56.86,56.36,56.89,56.21
56.66,56.56,56.75,55.94
56.17,57.11,57.36,55.89
57.17,57.24,57.32,56.54
57.37,57.52,58.38,57.28
56.59,55.89,56.61,54.78
55.64,57.01,57.01,55.29
56.99,56.77,57.42,56.50
56.64,56.73,56.79,56.19
56.76,57.00,57.28,56.62
57.28,57.31,57.41,57.13
57.44,58.22,58.30,57.25
58.30,58.04,58.49,57.76
58.00,57.30,58.00,57.28
57.24,57.99,58.04,57.12
58.17,57.27,58.23,56.73
57.20,57.17,57.70,56.98
57.06,56.07,57.10,55.87
55.87,55.27,56.53,54.96
53.80,53.63,55.34,53.61
53.85,54.77,54.91,53.63
54.16,52.73,54.60,52.68
53.04,53.34,53.50,52.94
53.00,53.68,53.69,53.00
53.65,53.45,53.79,53.36
53.64,53.76,53.85,53.50
53.79,52.89,53.79,52.86
52.94,53.35,53.47,52.77
53.33,53.09,53.67,52.74
52.92,52.75,53.36,52.67
52.83,52.79,53.01,52.27
53.00,53.01,53.04,52.73
53.10,52.90,53.30,52.80
52.37,50.30,52.87,50.25
50.50,50.68,51.08,50.02
50.97,50.49,51.58,50.47
50.74,50.28,50.78,50.15
50.28,51.10,51.53,50.23
51.01,50.75,51.43,50.42
50.38,50.79,51.00,49.98
50.35,51.24,51.50,50.35
51.51,52.15,52.49,51.51
52.33,52.49,52.52,51.93
52.48,53.07,53.13,52.28
53.43,53.69,53.80,53.11
53.67,52.93,53.78,52.79
52.76,52.76,53.01,52.32
52.74,53.50,53.60,52.50
53.74,54.91,54.93,53.74
54.96,55.86,55.86,54.74
54.93,55.86,56.21,54.81
55.88,56.02,56.26,55.61
56.19,56.53,56.58,55.94
56.03,56.12,56.75,56.00
56.30,55.89,56.58,55.78
55.96,55.94,56.23,55.56
56.19,56.01,56.64,55.71
55.76,56.88,56.98,55.33
57.00,57.87,57.95,56.41
57.73,57.47,58.09,56.72
57.66,56.76,57.88,56.50
56.72,56.08,57.06,55.72
56.16,55.32,56.18,55.14
54.73,55.10,55.66,54.36
55.07,55.72,55.72,54.73
55.72,55.83,56.09,55.38
55.81,56.90,57.11,55.81
56.75,56.94,57.26,56.70
56.36,56.33,56.75,55.75
55.79,55.72,56.24,55.40
56.06,55.99,56.16,55.51
55.39,55.35,55.60,54.43
55.49,55.15,55.65,54.99
55.22,55.01,55.22,54.59
55.16,55.98,56.18,54.83
56.19,56.63,56.76,55.93
56.43,56.91,57.15,56.43
56.91,56.98,57.31,56.51
56.87,57.00,57.20,56.24
57.11,58.09,58.18,56.78
58.11,58.49,58.49,57.71
58.14,57.25,58.43,57.25
54.05,57.90,58.06,54.05
58.00,61.26,61.84,57.78
61.30,60.19,61.35,59.90
60.00,59.97,60.70,59.65
60.00,61.51,61.51,59.61
62.29,60.82,62.58,60.65
61.05,60.61,61.16,60.19
60.44,60.40,60.95,60.19
60.39,60.92,60.93,60.37
60.93,61.52,61.67,60.55
61.52,61.67,62.47,61.08
61.77,63.27,63.29,61.44
63.25,64.51,65.10,63.06
64.51,64.20,64.83,63.65
64.12,62.88,64.65,62.60
62.16,63.65,63.79,62.09
63.41,63.45,63.47,62.82
64.01,63.86,64.90,63.55
63.69,63.60,63.90,62.74
63.67,64.14,64.45,63.66
63.76,64.14,65.00,63.76
64.25,64.72,64.94,63.80
64.56,64.65,64.89,63.72
64.40,64.22,64.78,64.01
64.21,64.45,64.57,63.87
64.87,65.04,65.20,64.30
65.25,64.72,65.52,64.43
64.30,64.02,64.66,62.89
64.29,62.85,64.40,62.56
62.95,64.30,64.55,62.91
64.35,62.71,64.79,62.30
63.21,63.15,63.50,62.55
63.17,62.60,63.44,62.58
62.47,62.21,62.84,62.07
61.50,60.94,61.78,60.64
61.09,61.41,61.53,60.16
