IJH,iShares Core S&P Mid-Cap ETF,NASDAQ
80.54,80.08,81.07,79.64
80.74,80.27,80.82,79.75
80.03,79.36,80.49,78.94
80.28,81.02,81.24,80.06
80.98,80.48,81.15,80.12
80.87,80.45,80.89,79.88
80.46,80.95,81.23,80.10
80.93,81.16,81.50,80.87
80.92,81.40,81.61,80.22
81.90,82.17,82.65,81.61
82.02,81.87,82.37,81.35
82.47,81.84,82.53,81.28
81.99,82.14,82.31,81.76
81.30,80.92,82.07,80.47
81.23,81.89,82.25,81.17
82.20,81.79,82.74,81.06
82.01,82.36,82.42,81.79
82.88,82.87,83.62,82.76
82.37,82.71,83.25,82.01
82.26,82.73,82.73,81.84
83.20,82.56,83.30,82.16
82.38,82.81,83.04,82.34
83.34,82.75,83.78,82.25
83.56,83.60,83.86,83.09
83.70,83.90,83.99,82.96
85.04,85.43,85.51,84.76
85.44,86.04,86.21,85.38
85.88,86.00,86.10,85.44
86.24,85.10,86.33,84.71
85.15,85.78,85.78,84.49
84.90,85.67,85.85,84.73
84.97,84.30,85.51,84.04
84.81,84.61,85.39,84.53
83.89,83.09,84.13,82.64
83.26,83.55,83.75,83.00
84.45,84.70,85.24,84.43
84.56,84.95,85.09,84.16
84.67,85.62,85.70,84.48
84.63,84.68,84.92,84.23
85.30,86.41,86.41,85.27
85.81,85.97,86.30,85.59
85.39,85.79,85.93,84.69
85.00,85.32,85.72,84.80
86.59,87.03,87.09,86.51
87.10,88.15,88.17,87.08
87.85,88.69,88.85,87.76
88.58,88.73,88.86,88.37
89.64,88.83,89.79,88.74
89.02,88.65,89.34,88.47
89.28,88.94,89.31,88.55
89.22,89.89,90.03,89.07
90.24,89.68,90.24,89.61
89.98,89.59,90.11,89.42
89.55,89.26,90.37,89.20
89.31,90.14,90.14,89.07
90.17,90.42,90.65,89.84
90.50,90.41,90.66,90.00
90.77,91.11,91.16,90.65
91.21,91.39,91.61,91.13
91.11,90.93,91.20,90.79
90.59,90.95,91.01,90.23
91.06,90.73,91.16,90.57
90.98,91.07,91.19,90.90
91.07,91.12,91.46,90.98
91.01,90.69,91.15,90.55
91.31,91.72,92.25,91.26
91.96,90.75,92.04,90.10
90.69,91.32,91.42,90.47
91.49,91.10,91.67,90.95
91.41,90.85,91.69,89.95
90.45,91.42,91.63,89.85
91.75,91.71,92.03,91.37
92.44,92.35,92.49,91.98
92.37,92.16,92.50,91.99
92.17,92.86,92.95,91.98
92.77,93.66,93.67,92.61
93.66,92.29,93.74,92.04
91.91,91.53,92.29,91.08
92.14,91.24,92.14,91.19
91.30,92.01,92.24,91.28
91.62,92.16,92.16,91.32
92.44,92.91,93.30,92.11
92.89,93.34,93.54,92.81
93.42,91.63,93.60,91.46
91.98,92.33,92.89,91.76
93.01,93.70,93.93,92.90
93.55,93.55,94.11,93.48
93.51,93.82,94.00,92.80
93.87,94.38,94.44,93.67
94.75,95.13,95.56,94.68
95.27,95.66,95.66,94.94
95.43,95.46,95.78,95.12
94.99,95.90,95.99,94.92
95.63,96.86,96.91,95.60
96.96,97.27,97.36,96.83
97.01,96.92,97.18,96.75
97.28,97.63,97.83,97.26
97.46,98.05,98.21,97.33
98.27,98.04,98.32,97.76
97.25,95.86,97.61,95.70
95.85,94.47,96.13,93.61
94.52,94.46,95.16,93.51
94.90,96.37,96.40,94.86
96.96,96.54,97.21,96.13
96.89,94.95,96.99,94.67
94.89,95.42,95.99,94.86
96.31,97.39,97.65,96.31
97.54,96.81,97.57,96.20
97.31,95.51,97.32,94.84
95.70,96.75,97.08,95.14
96.49,96.37,96.81,95.86
95.36,94.68,95.44,94.29
94.06,95.29,95.60,94.02
94.64,94.83,95.38,94.13
92.68,94.23,94.83,92.01
93.85,93.24,94.82,92.80
94.65,93.74,94.67,93.60
94.82,94.23,94.87,94.04
95.44,96.14,96.31,95.41
96.14,95.50,96.38,95.39
95.31,95.36,95.69,94.43
95.93,96.29,96.52,95.00
96.40,96.81,97.59,96.13
97.08,96.53,97.35,96.38
96.38,97.28,97.37,95.92
97.78,98.22,98.43,97.65
98.20,98.71,98.82,98.14
99.32,99.43,99.65,99.02
99.67,99.48,99.84,99.20
99.32,99.83,100.35,99.32
100.38,99.97,100.63,99.49
99.96,99.37,100.23,99.08
99.85,98.60,100.01,98.08
98.78,97.89,98.93,97.61
97.38,96.95,97.77,96.76
97.52,97.29,97.73,96.72
96.57,97.24,97.41,96.35
97.39,98.20,98.25,97.15
96.89,96.53,97.00,95.68
96.87,96.93,97.11,96.36
98.40,98.77,98.78,98.24
99.27,99.30,99.38,98.73
99.32,99.33,99.49,98.79
99.62,100.28,100.58,99.59
100.52,100.95,101.00,99.98
100.88,100.04,101.40,100.04
101.17,101.39,101.52,100.83
101.72,100.80,101.75,100.66
100.60,99.76,100.78,99.19
99.94,98.89,100.01,98.45
98.24,98.53,99.48,97.97
99.53,98.76,99.97,98.34
98.68,99.77,99.91,98.63
100.04,100.75,100.98,99.98
100.64,99.75,100.77,99.24
99.24,100.31,100.62,98.75
100.38,99.34,100.52,99.09
98.83,98.44,99.75,98.32
97.76,97.76,98.20,97.08
97.81,99.19,99.33,97.67
99.76,99.40,99.89,98.68
99.13,98.62,99.22,98.12
97.25,97.10,97.57,96.88
97.37,96.78,97.61,96.50
96.52,97.53,97.75,96.40
97.22,98.37,98.50,97.15
98.81,98.95,99.26,98.67
100.01,100.07,100.10,99.13
99.96,97.59,100.08,97.44
97.69,97.44,98.09,96.98
96.06,96.08,97.14,95.98
95.96,94.77,96.13,94.69
95.21,95.09,95.77,94.93
94.80,94.22,94.98,94.13
94.36,94.62,95.00,93.99
94.12,93.20,94.28,92.99
93.30,92.97,93.84,92.56
93.87,94.64,94.95,93.79
93.81,93.20,94.40,92.91
93.19,93.15,93.76,92.28
94.02,93.31,94.04,93.12
93.04,94.10,94.35,93.03
94.69,95.89,96.01,94.48
95.44,95.46,96.35,95.40
94.07,95.18,95.30,93.26
95.36,94.47,95.61,94.27
94.53,94.87,95.20,93.95
95.12,96.37,96.38,95.07
96.79,97.15,97.39,96.17
97.31,97.70,98.13,97.25
97.89,99.37,99.48,97.68
99.62,99.45,99.67,98.87
99.46,100.07,100.16,99.02
100.90,101.10,101.25,100.70
99.92,100.38,100.41,99.53
99.33,98.25,99.59,98.04
97.89,97.90,98.66,97.75
98.37,98.22,99.36,98.05
98.45,96.87,98.97,96.71
97.18,97.47,97.53,96.71
97.19,96.17,97.27,95.61
96.92,98.09,98.14,96.88
98.12,97.90,98.20,97.44
98.32,98.81,99.24,98.07
98.71,99.08,99.23,98.37
97.92,98.27,98.98,97.75
98.11,97.65,98.30,97.49
97.13,94.96,97.17,94.82
94.95,94.48,96.02,94.42
93.21,94.15,94.81,92.71
95.22,93.71,95.53,92.75
93.12,90.87,93.86,90.79
90.89,91.21,91.27,88.65
89.86,85.80,89.91,85.80
86.80,84.37,86.94,82.49
81.46,77.56,82.63,77.47
79.37,82.24,82.50,76.91
80.60,79.63,82.56,79.57
80.10,83.89,84.92,79.88
84.45,84.35,85.05,83.46
85.07,86.58,86.60,85.05
85.36,85.39,86.28,84.53
86.06,84.92,86.45,84.25
82.34,80.37,82.43,79.60
79.14,78.86,81.40,78.73
80.94,78.94,80.98,78.44
79.17,82.11,82.14,78.57
81.74,83.27,83.44,81.38
84.01,81.45,84.28,81.17
80.96,83.62,83.87,79.86
84.69,86.84,86.93,84.65
86.34,87.22,87.82,85.86
87.78,87.56,89.00,86.84
87.74,86.16,88.49,85.95
84.11,83.44,84.96,83.04
80.37,82.88,83.03,80.37
84.32,85.82,85.98,84.06
85.18,84.74,86.28,84.44
83.90,82.45,84.51,81.80
81.18,82.85,82.89,80.88
83.36,84.02,84.40,82.67
84.60,85.57,86.63,83.15
86.56,86.72,86.88,85.31
86.90,86.70,87.47,85.98
84.95,85.53,86.15,84.21
85.88,84.44,86.71,84.44
84.36,81.48,84.74,81.48
78.94,78.55,80.11,77.47
78.28,79.48,79.70,78.09
79.96,80.77,80.91,78.11
82.42,82.15,84.03,81.73
82.51,79.57,82.69,79.44
81.13,80.30,81.33,78.36
78.91,77.99,79.84,77.96
77.42,74.40,78.53,74.32
73.75,77.46,77.53,72.99
77.53,79.05,79.44,76.54
78.72,81.03,81.11,78.48
81.45,79.77,81.64,79.40
81.39,82.67,82.67,81.15
81.89,82.73,83.24,81.81
83.30,83.75,84.76,83.24
83.19,83.92,84.25,82.39
84.90,85.44,85.62,84.24
84.92,83.01,85.05,82.81
83.26,85.17,85.64,82.06
84.87,83.76,85.47,83.50
84.04,84.15,84.30,82.23
85.16,85.91,86.13,84.88
86.15,88.44,88.64,86.15
87.99,86.35,88.01,86.21
87.58,87.40,87.86,85.38
90.32,91.23,91.94,89.35
90.90,90.95,91.41,90.42
89.86,88.65,90.25,88.65
85.61,85.87,87.32,85.00
87.16,87.67,88.08,86.40
88.65,89.70,89.95,87.03
88.86,89.97,90.04,88.08
89.85,89.75,90.24,88.06
90.35,90.72,90.75,88.57
88.39,86.77,88.52,86.55
87.84,87.12,87.94,86.37
88.16,89.17,89.59,88.02
88.75,88.23,89.04,87.75
88.00,89.06,89.55,87.46
88.16,87.93,89.68,87.77
87.66,86.21,87.96,85.82
86.55,86.11,86.65,85.62
84.67,84.33,84.86,83.48
84.18,83.91,84.65,83.33
83.00,81.61,83.07,81.46
81.15,81.26,82.26,81.14
83.77,84.17,84.63,83.40
84.41,84.23,84.83,83.82
87.17,88.44,88.48,86.95
88.12,87.92,89.00,87.81
88.90,88.13,89.42,88.00
89.70,89.38,90.21,88.76
89.34,89.14,89.60,88.58
88.45,88.87,89.23,87.35
88.19,86.62,88.52,86.36
86.88,88.64,88.85,86.78
87.56,87.14,87.58,86.27
87.93,85.41,88.12,84.88
84.80,84.17,85.12,83.89
85.19,84.78,85.19,84.17
85.34,85.56,86.68,85.23
86.19,84.16,86.46,84.00
85.78,87.11,87.27,85.78
86.69,87.22,87.47,85.90
87.21,87.75,88.07,87.10
88.02,88.30,88.30,87.67
87.98,88.43,88.89,87.84
88.43,86.95,88.50,86.87
87.26,88.09,88.22,87.11
87.96,87.61,88.39,87.61
89.60,88.55,89.91,88.27
88.13,88.30,88.67,87.71
87.90,88.98,89.18,87.02
88.89,88.91,89.51,88.27
89.35,89.40,89.59,88.61
90.41,90.63,90.79,90.29
90.34,90.81,90.95,90.26
91.08,91.01,91.12,90.05
90.36,90.57,90.62,89.68
91.31,90.69,91.59,90.55
90.79,92.22,92.22,90.51
92.59,92.98,93.16,92.32
92.96,92.83,93.00,92.57
92.96,92.88,93.63,92.21
92.37,93.28,93.28,92.02
93.16,94.19,94.37,92.68
94.79,93.57,94.83,93.15
93.18,94.10,94.27,93.17
93.32,93.62,93.92,92.64
94.27,93.40,94.35,93.03
94.17,95.29,95.40,94.12
95.49,95.50,95.93,95.21
96.69,97.10,97.15,96.43
96.56,96.91,97.01,96.44
96.70,97.03,97.25,96.27
97.21,97.27,97.64,96.53
97.56,97.37,97.60,96.45
96.41,96.31,96.70,95.93
97.34,97.32,97.57,96.52
96.90,97.28,97.31,96.59
97.81,97.01,97.94,96.63
97.08,98.46,98.56,97.07
99.01,98.41,99.01,98.22
98.60,97.99,98.77,97.58
97.86,97.61,98.29,97.29
97.68,98.40,98.47,97.09
98.54,98.49,98.94,98.29
97.79,98.44,98.89,97.09
98.55,98.29,98.88,97.77
98.43,97.63,98.87,97.48
98.01,98.49,98.88,97.98
98.39,97.73,98.66,97.29
97.54,97.31,97.57,96.82
96.31,95.44,96.37,95.20
95.70,96.38,96.51,95.53
97.06,97.54,97.73,96.47
97.60,98.47,98.90,97.53
98.53,98.12,98.63,97.82
98.70,100.02,100.02,98.44
99.86,99.26,100.10,99.00
99.25,100.18,100.25,99.03
100.18,100.05,100.35,99.90
99.93,100.36,100.93,99.80
99.67,99.63,99.88,99.26
99.81,99.52,100.06,99.27
98.70,98.49,98.93,97.82
98.62,99.18,99.25,97.80
99.82,100.37,100.37,99.69
100.33,99.96,100.50,99.91
99.91,99.42,100.10,98.54
98.76,99.29,99.50,98.16
99.90,99.22,99.96,98.90
99.01,99.72,100.31,98.75
99.52,100.01,100.20,99.16
99.05,98.65,99.22,98.14
98.35,98.24,98.76,98.07
96.76,97.01,97.22,96.46
96.79,94.75,97.05,94.61
95.65,95.85,96.06,95.46
95.85,97.57,97.74,95.84
97.20,96.35,97.34,96.26
96.90,96.41,97.18,95.74
97.10,97.96,98.44,97.04
97.46,97.61,97.97,97.31
97.64,97.30,98.56,96.68
97.74,97.47,98.24,97.42
96.20,96.48,96.49,95.40
96.55,96.71,97.13,96.22
97.78,98.35,98.51,97.66
98.29,99.34,99.59,98.19
99.70,99.79,100.02,98.84
99.79,98.86,99.82,98.78
99.11,99.40,100.55,98.75
98.75,99.61,99.80,98.52
99.46,97.97,99.50,97.69
97.40,96.41,97.42,96.11
96.22,96.84,97.02,96.22
96.13,96.67,96.70,94.85
95.55,96.26,96.68,94.91
97.00,96.35,97.06,96.02
95.64,96.39,97.23,95.60
95.39,95.32,96.01,94.88
95.30,94.87,95.82,94.59
95.16,94.07,95.72,94.03
94.05,91.56,94.09,91.56
91.70,90.42,92.19,90.35
90.72,92.54,92.56,90.26
92.78,92.79,93.54,92.24
91.89,93.31,93.45,91.34
93.42,93.69,93.79,92.57
93.69,93.48,93.90,93.21
94.18,94.67,94.89,93.71
93.74,92.79,93.84,92.64
92.81,92.53,93.10,91.41
90.78,89.71,91.08,89.61
89.82,89.15,90.10,88.22
88.78,90.32,90.44,88.69
91.08,92.28,92.32,90.94
93.58,91.87,93.63,91.80
91.80,92.65,92.75,91.16
93.62,90.90,93.65,90.75
91.25,91.79,91.84,90.54
91.50,90.51,91.93,90.23
90.70,91.17,91.51,90.34
91.40,92.01,92.31,91.19
91.60,92.90,93.00,91.29
93.09,93.60,94.00,92.91
93.66,93.50,94.09,92.90
93.50,90.98,93.61,90.87
91.40,91.43,91.69,90.85
90.23,89.79,90.29,89.36
90.03,90.39,90.71,89.41
90.71,91.25,91.42,90.39
90.50,91.52,91.52,90.08
93.47,94.17,94.17,93.04
94.54,94.73,94.87,93.87
94.77,95.79,95.85,94.74
95.79,95.83,96.13,95.11
94.92,94.72,94.97,94.19
94.58,94.37,94.68,93.89
95.00,93.29,95.12,92.94
93.46,93.04,93.70,92.49
92.40,92.73,93.15,91.58
93.13,94.15,94.27,93.05
93.96,93.61,94.00,93.09
94.11,94.16,94.29,92.75
93.94,94.85,95.15,93.82
95.19,94.90,95.36,94.56
94.13,93.95,94.54,93.86
92.33,92.75,92.98,91.71
92.90,91.41,92.90,90.85
91.73,91.54,92.13,91.09
93.05,92.93,93.35,92.14
93.48,94.82,95.23,93.15
94.92,94.60,95.30,94.28
94.49,93.96,94.88,93.95
94.31,93.15,94.62,93.10
92.25,92.58,93.28,91.89
94.07,94.40,94.78,93.95
94.61,94.91,95.26,94.51
95.53,95.82,96.34,95.41
95.46,95.95,96.14,95.43
95.90,96.13,96.43,95.80
95.75,96.17,96.25,95.48
96.08,96.04,96.27,95.21
96.44,95.92,96.53,95.59
95.82,96.46,96.48,95.69
96.44,97.33,97.50,96.29
97.44,97.77,97.85,97.29
97.69,97.46,97.79,97.07
97.86,97.68,98.42,97.38
97.48,97.43,97.73,96.97
97.35,96.77,97.35,96.52
96.69,97.05,97.32,96.38
97.55,97.03,97.58,96.82
96.96,97.43,97.62,96.75
97.45,97.51,97.75,97.12
96.96,96.75,97.17,96.34
97.55,97.24,97.61,96.32
97.35,98.41,98.60,96.59
98.38,98.19,98.52,97.89
98.78,100.08,100.32,98.74
100.30,100.63,100.90,100.09
100.47,100.20,100.73,100.14
100.23,100.31,100.61,100.05
100.57,100.86,100.86,100.22
100.85,101.78,102.08,100.28
102.16,102.92,103.23,102.05
102.52,101.87,102.65,101.72
101.62,101.21,101.69,100.99
101.40,101.45,101.68,101.03
100.91,100.76,100.93,100.31
101.43,100.75,101.63,100.75
100.41,100.60,100.96,100.24
100.70,98.74,100.73,98.68
98.88,98.03,98.95,97.63
98.37,99.19,99.35,98.14
98.70,98.68,99.16,98.25
99.34,98.32,99.34,97.63
98.63,98.69,98.82,98.22
98.93,98.71,99.17,98.21
99.05,99.61,99.65,98.61
99.99,99.65,100.46,99.37
99.10,99.19,99.54,98.95
99.15,98.30,99.32,98.10
98.30,97.79,98.34,97.58
98.48,98.25,98.85,98.14
98.23,97.49,98.37,97.33
97.89,98.37,98.37,97.23
98.77,99.43,99.43,98.66
99.45,100.22,100.37,99.29
100.02,100.10,100.36,99.68
99.72,98.59,99.80,98.38
98.55,98.51,98.80,97.85
97.44,97.83,98.11,96.64
98.23,97.53,98.40,97.37
98.13,97.75,98.41,96.96
97.79,97.49,98.06,96.79
97.52,97.94,98.04,97.15
98.15,100.30,100.36,97.69
100.66,98.83,100.66,98.80
98.78,99.40,99.47,98.49
99.74,100.27,100.50,99.53
99.14,98.19,99.27,97.67
98.00,96.85,98.34,96.85
96.41,97.05,97.76,96.37
97.27,96.95,97.34,96.78
96.42,96.70,97.48,96.29
96.92,95.11,97.05,94.86
94.93,94.69,95.42,94.12
94.77,95.37,95.45,94.16
96.36,97.30,97.30,96.22
97.04,97.64,97.70,96.91
97.77,98.04,98.04,97.43
98.37,99.13,99.13,98.36
98.81,99.04,99.16,98.44
98.94,98.84,99.34,98.70
98.41,99.50,99.50,97.70
100.06,100.19,100.23,99.50
100.39,100.12,100.39,99.80
100.79,99.95,100.85,99.68
99.95,99.94,100.21,99.41
100.30,100.13,100.47,99.38
100.06,100.34,100.55,99.96
100.66,100.42,100.74,100.09
100.47,101.04,101.09,100.36
101.47,101.48,101.76,101.19
101.83,101.37,102.01,101.17
101.36,100.75,101.63,100.45
100.61,100.52,100.86,100.35
100.66,101.45,101.45,100.58
101.61,102.80,102.84,101.39
102.39,102.09,102.57,101.98
102.22,102.81,102.81,101.92
101.33,102.03,102.11,101.18
101.77,101.75,101.95,101.49
102.00,101.00,102.01,100.87
101.11,100.86,101.26,99.82
100.37,100.15,100.88,100.10
100.15,101.70,101.91,99.81
104.32,104.61,104.61,103.44
104.49,104.65,105.19,104.31
104.99,105.38,105.46,104.51
104.94,105.11,105.25,104.80
105.00,104.81,105.22,104.42
105.16,105.44,105.49,105.05
106.06,105.57,106.06,105.06
105.65,105.50,105.76,105.15
105.43,105.75,105.92,105.37
105.22,106.19,106.29,105.15
106.06,106.01,106.20,105.73
106.36,106.88,107.08,106.32
106.90,107.04,107.21,106.57
107.18,107.97,107.99,107.12
108.00,107.97,108.18,107.81
108.12,108.54,108.92,108.03
109.11,109.53,109.53,108.71
109.74,109.40,109.77,108.87
109.33,109.41,109.41,108.87
109.41,108.70,109.44,108.55
108.68,109.10,109.33,108.61
109.58,110.01,110.20,109.28
109.42,109.00,109.83,108.70
109.52,109.60,109.93,109.24
109.46,110.21,110.28,109.38
110.32,110.11,110.41,109.38
110.30,110.74,110.76,110.26
110.78,110.58,110.78,110.29
110.54,111.06,111.11,110.49
111.16,111.42,111.46,110.86
111.06,111.64,111.73,111.06
111.68,111.47,111.83,111.21
111.63,112.17,112.22,111.61
112.22,110.34,112.24,110.29
110.22,109.23,110.26,108.72
109.81,110.34,110.34,109.62
110.85,108.11,110.89,108.05
108.50,108.77,108.95,107.77
108.76,110.32,110.64,108.68
110.14,110.03,111.00,110.03
109.48,109.79,110.02,108.49
109.35,110.14,110.18,109.13
110.73,111.66,111.74,110.71
111.79,111.78,112.17,111.55
111.85,112.15,112.27,111.80
112.78,113.11,113.17,112.07
112.94,113.26,113.26,112.71
113.04,113.15,113.34,112.68
113.26,113.53,113.68,112.95
113.85,114.40,114.40,113.71
114.28,114.22,114.38,113.83
113.20,113.73,114.29,113.15
114.04,113.55,114.27,112.59
114.23,114.59,114.76,113.93
113.83,113.66,114.54,113.32
114.11,114.06,114.20,113.78
114.01,113.43,114.41,112.87
113.96,114.14,114.18,113.47
113.37,114.33,114.43,113.03
114.38,115.07,115.22,114.28
115.00,113.94,115.16,113.57
114.56,113.45,114.63,113.18
113.81,111.69,113.81,111.40
111.80,112.33,112.35,111.58
110.82,112.23,112.26,110.50
112.43,113.11,113.11,111.77
113.23,113.08,113.55,112.61
113.39,114.66,114.71,113.37
114.51,115.09,115.49,114.51
114.68,114.67,114.99,114.01
114.10,111.00,114.15,110.76
111.87,112.75,112.84,111.50
111.95,110.84,111.95,110.20
111.18,110.29,111.35,109.87
111.10,111.82,112.04,110.42
112.00,112.24,112.50,110.70
112.84,113.46,113.57,112.38
113.47,113.88,113.97,113.24
114.19,114.40,114.96,114.01
114.25,113.94,114.47,113.50
114.33,114.79,114.99,114.10
114.84,115.76,115.79,114.44
115.44,113.70,115.44,113.64
114.21,114.83,114.96,113.93
116.40,116.31,116.89,115.62
116.35,116.90,117.03,116.22
117.19,117.95,117.95,116.94
117.70,118.49,118.51,117.63
118.53,118.08,118.61,117.90
118.30,118.82,118.86,118.09
118.63,118.65,118.92,118.24
118.75,120.00,120.00,118.73
119.76,120.47,120.66,119.64
120.27,119.94,120.82,119.68
120.38,121.04,121.12,120.29
120.86,121.16,121.57,120.81
121.16,121.39,121.70,120.95
121.52,119.32,122.33,118.77
117.97,119.24,119.27,117.69
118.57,118.74,118.79,117.68
120.50,119.64,120.74,119.02
119.00,118.61,119.11,117.67
118.96,119.52,119.80,118.78
119.05,118.33,120.07,118.33
118.56,118.08,118.67,116.94
118.13,117.23,118.74,116.60
116.88,115.58,117.12,115.57
115.62,117.03,117.03,115.36
117.72,118.14,118.24,116.75
118.63,118.20,118.64,117.53
117.00,116.80,117.87,116.17
117.53,115.68,117.68,115.45
115.55,117.76,117.97,115.37
117.70,117.33,118.24,117.03
118.24,118.00,118.42,117.47
118.12,118.99,119.19,118.08
118.71,117.24,119.00,117.23
