KOOL,Cesca Therapeutics Inc. - Common Stock,NASDAQ
1.81,1.71,1.81,1.61
1.66,1.64,1.66,1.35
1.63,1.67,1.68,1.53
1.65,1.62,1.65,1.56
1.61,1.61,1.67,1.52
1.61,1.65,1.67,1.61
1.68,1.70,1.72,1.65
1.66,1.61,1.69,1.59
1.63,1.70,1.70,1.61
1.67,1.61,1.67,1.50
1.58,1.56,1.61,1.55
1.66,1.59,1.66,1.47
1.63,1.60,1.64,1.56
1.59,1.61,1.64,1.57
1.60,1.60,1.62,1.51
1.60,1.61,1.61,1.56
1.62,1.70,1.71,1.61
1.69,1.70,1.75,1.69
1.73,1.68,1.78,1.68
1.67,1.66,1.68,1.61
1.62,1.65,1.65,1.62
1.62,1.58,1.65,1.54
1.63,1.64,1.65,1.56
1.63,1.65,1.65,1.61
1.60,1.63,1.65,1.59
1.60,1.56,1.60,1.56
1.54,1.45,1.54,1.40
1.44,1.44,1.50,1.44
1.45,1.44,1.49,1.41
1.44,1.48,1.50,1.44
1.45,1.43,1.46,1.43
1.41,1.41,1.45,1.40
1.41,1.38,1.43,1.37
1.37,1.29,1.37,1.27
1.30,1.22,1.31,1.19
1.23,1.20,1.34,1.15
1.24,1.27,1.33,1.21
1.32,1.29,1.32,1.29
1.32,1.21,1.32,1.18
1.18,1.24,1.27,1.15
1.23,1.13,1.26,1.12
1.12,1.12,1.13,1.06
1.09,1.10,1.16,1.09
1.14,1.14,1.20,1.12
1.16,1.14,1.25,1.14
1.10,1.21,1.24,1.10
1.22,1.24,1.25,1.22
1.25,1.22,1.25,1.20
1.23,1.21,1.24,1.13
1.24,1.29,1.35,1.20
1.30,1.21,1.30,1.19
1.36,1.27,1.36,1.18
1.29,1.23,1.29,1.23
1.25,1.22,1.27,1.21
1.22,1.22,1.27,1.20
1.21,1.20,1.24,1.14
1.20,1.20,1.23,1.17
1.22,1.21,1.24,1.20
1.24,1.21,1.25,1.15
1.19,1.25,1.25,1.19
1.20,1.29,1.29,1.20
1.22,1.20,1.28,1.18
1.22,1.21,1.23,1.18
1.19,1.20,1.21,1.17
1.19,1.22,1.25,1.16
1.22,1.22,1.22,1.20
1.23,1.20,1.25,1.19
1.15,1.18,1.19,1.14
1.20,1.16,1.24,1.09
1.07,1.00,1.13,0.97
1.01,0.95,1.07,0.94
0.99,1.00,1.00,0.94
1.00,1.00,1.00,0.96
0.98,1.00,1.00,0.90
0.95,0.99,1.00,0.95
0.94,0.96,0.97,0.89
0.99,1.00,1.00,0.95
0.98,0.94,0.99,0.93
0.91,0.90,0.98,0.90
0.94,0.92,0.99,0.91
0.90,0.90,0.93,0.88
0.89,0.88,0.94,0.86
0.85,0.91,0.94,0.85
0.88,0.91,0.93,0.87
0.95,0.89,0.97,0.87
0.87,0.89,0.90,0.87
0.87,0.89,0.89,0.85
0.85,0.81,0.88,0.81
0.83,0.85,0.86,0.82
0.84,0.83,0.88,0.80
0.83,0.82,0.83,0.81
0.80,0.80,0.82,0.79
0.81,0.82,0.82,0.80
0.82,0.82,0.85,0.82
0.83,0.81,0.86,0.80
0.82,0.82,0.85,0.81
0.80,0.83,0.84,0.80
0.83,0.82,0.84,0.80
0.81,0.78,0.83,0.78
0.77,0.72,0.79,0.72
0.75,0.75,0.78,0.74
0.74,0.73,0.76,0.72
0.70,0.71,0.75,0.70
0.71,0.70,0.76,0.70
0.70,0.74,0.76,0.70
0.74,0.84,0.88,0.72
0.87,0.84,0.87,0.83
0.85,0.89,0.95,0.85
0.90,0.91,1.02,0.85
0.99,0.93,0.99,0.90
0.91,0.91,0.93,0.90
0.91,0.93,0.98,0.91
0.94,0.90,0.98,0.90
0.95,0.94,0.97,0.94
0.96,0.95,0.96,0.94
0.98,0.81,0.98,0.81
0.82,0.83,0.90,0.82
0.83,0.89,0.90,0.83
0.90,0.86,0.90,0.81
0.84,0.85,0.90,0.84
0.82,1.02,1.03,0.82
1.00,1.07,1.08,0.98
1.07,1.01,1.07,0.98
1.05,1.04,1.05,0.98
1.01,1.01,1.07,0.96
1.04,1.07,1.07,1.03
1.07,1.15,1.16,1.07
1.15,1.13,1.18,1.10
1.13,1.15,1.17,1.09
1.16,1.15,1.16,1.09
1.07,1.04,1.15,0.91
1.01,1.00,1.05,1.00
1.00,1.05,1.05,1.00
1.05,1.09,1.09,1.05
1.09,1.09,1.09,1.05
1.05,1.06,1.08,1.04
1.06,1.07,1.10,1.00
1.08,1.07,1.08,1.00
1.01,1.06,1.08,1.01
1.02,1.04,1.07,1.02
1.06,1.04,1.06,0.99
1.04,1.05,1.05,1.01
1.03,1.01,1.05,1.00
1.04,1.03,1.05,1.00
1.03,1.02,1.05,1.00
1.01,1.02,1.05,0.99
1.00,0.95,1.00,0.94
0.90,0.94,0.97,0.90
0.96,0.95,0.99,0.93
0.98,0.97,0.98,0.94
0.97,0.95,0.97,0.90
0.96,0.96,0.97,0.92
0.94,0.93,0.96,0.92
0.93,0.93,0.95,0.90
0.95,0.93,0.95,0.92
0.91,0.87,0.94,0.86
0.87,0.87,0.90,0.87
0.89,0.93,0.93,0.87
0.93,0.90,0.93,0.90
0.90,0.83,0.90,0.83
0.84,0.84,0.88,0.84
0.86,0.84,0.88,0.82
0.87,0.87,0.87,0.84
0.87,0.87,0.93,0.82
0.86,0.89,0.89,0.84
0.90,0.86,0.90,0.85
0.85,0.87,0.88,0.84
0.87,0.86,0.87,0.86
0.86,0.94,0.94,0.85
0.94,0.93,0.94,0.87
0.89,0.84,0.92,0.84
0.87,0.91,0.95,0.86
0.90,0.91,0.92,0.89
0.92,0.92,0.92,0.89
0.91,0.89,0.91,0.89
0.93,0.93,0.93,0.89
0.94,0.92,0.94,0.92
0.92,0.93,0.94,0.91
0.94,0.92,0.95,0.92
0.92,0.92,0.92,0.92
0.92,0.95,0.97,0.92
0.93,0.92,0.95,0.92
0.95,0.91,0.95,0.90
0.90,0.94,0.94,0.90
0.93,0.93,0.93,0.90
0.93,0.90,0.99,0.88
0.93,0.93,0.94,0.90
0.90,0.90,0.93,0.89
0.89,0.89,0.89,0.86
0.88,0.83,0.90,0.83
0.86,0.85,0.88,0.82
0.85,0.86,0.86,0.85
0.85,0.85,0.86,0.85
0.85,0.87,0.90,0.85
0.89,0.89,0.89,0.89
0.85,0.85,0.87,0.82
0.81,0.82,0.87,0.81
0.82,0.87,0.87,0.81
0.87,0.85,0.87,0.81
0.81,0.81,0.85,0.80
0.79,0.82,0.84,0.79
0.80,0.82,0.82,0.78
0.79,0.85,0.85,0.79
0.79,0.81,0.84,0.78
0.80,0.81,0.85,0.80
0.80,0.88,0.89,0.80
0.87,0.93,0.94,0.80
0.92,0.87,0.92,0.81
0.81,0.85,0.88,0.81
0.84,0.81,0.84,0.81
0.82,0.82,0.89,0.81
0.82,0.82,0.87,0.82
0.82,0.81,0.82,0.81
0.81,0.81,0.81,0.81
0.81,0.85,0.85,0.81
0.85,0.81,0.85,0.80
0.80,0.80,0.85,0.80
0.80,0.84,0.84,0.80
0.85,0.85,0.85,0.85
0.82,0.87,0.89,0.82
0.86,0.86,0.89,0.86
0.86,0.84,0.88,0.83
0.85,0.90,0.95,0.85
0.95,0.89,0.95,0.87
0.87,0.86,0.88,0.86
0.86,0.89,0.92,0.86
0.89,0.93,0.93,0.89
0.94,0.95,0.97,0.85
0.96,0.90,0.96,0.90
0.88,0.97,1.00,0.88
0.97,0.94,0.97,0.89
0.94,0.89,0.95,0.89
0.87,0.92,0.95,0.87
0.93,0.90,0.93,0.90
0.88,0.92,0.92,0.88
0.87,0.88,0.92,0.87
0.88,0.91,0.91,0.88
0.88,0.90,0.92,0.88
0.88,0.90,0.90,0.88
0.90,0.95,0.95,0.90
0.93,0.90,0.93,0.90
0.90,0.90,0.90,0.90
0.87,0.87,0.87,0.87
0.87,0.90,0.94,0.87
0.90,0.90,0.90,0.90
0.88,0.88,0.90,0.88
0.88,0.88,0.90,0.88
0.87,0.93,0.93,0.86
0.90,0.94,0.97,0.90
1.05,0.97,1.07,0.91
0.90,0.90,0.94,0.88
0.88,0.93,1.11,0.88
0.91,1.00,1.03,0.91
1.00,0.99,1.01,0.93
1.01,0.97,1.06,0.95
1.00,1.02,1.03,0.98
1.00,1.05,1.05,0.94
1.06,1.02,1.08,0.98
1.03,1.00,1.06,0.98
0.99,1.01,1.06,0.99
1.07,1.01,1.07,1.00
1.10,1.15,1.20,1.08
1.43,1.21,1.43,1.15
1.27,1.17,1.27,1.16
1.12,1.19,1.20,1.11
1.18,1.29,1.30,1.15
1.30,1.22,1.30,1.22
1.28,1.21,1.28,1.20
1.20,1.24,1.25,1.19
1.24,1.16,1.24,1.15
1.17,1.19,1.22,1.10
1.15,1.14,1.20,1.14
1.02,1.11,1.23,1.00
1.07,1.08,1.11,1.05
1.04,1.13,1.17,1.04
1.11,1.15,1.15,1.09
1.13,1.11,1.16,1.08
1.07,1.14,1.16,1.06
1.11,1.08,1.14,1.05
1.07,1.08,1.15,1.02
1.08,1.02,1.08,1.01
1.02,1.01,1.04,1.01
1.02,1.07,1.07,1.02
1.04,1.12,1.22,1.01
1.11,1.04,1.11,1.04
1.00,1.00,1.10,1.00
1.05,1.04,1.15,1.01
1.07,1.02,1.09,1.02
1.02,1.02,1.05,1.00
1.01,1.01,1.05,1.00
1.03,1.03,1.09,1.01
1.04,1.01,1.04,1.00
1.01,0.99,1.02,0.98
0.99,1.01,1.03,0.99
1.04,0.95,1.04,0.95
0.99,0.97,1.00,0.96
0.95,0.97,0.98,0.95
0.95,0.93,0.98,0.92
0.93,0.93,0.95,0.91
0.90,0.92,0.93,0.87
0.90,0.90,0.90,0.90
0.90,0.93,0.93,0.88
0.90,0.85,0.90,0.81
0.83,0.80,0.86,0.80
0.80,0.81,0.85,0.80
0.84,0.82,0.84,0.81
0.81,0.96,0.98,0.81
0.91,0.97,0.98,0.88
0.96,0.90,0.97,0.90
0.81,0.80,0.97,0.80
0.81,0.90,0.93,0.81
0.90,0.90,0.90,0.82
0.89,0.86,0.89,0.84
0.84,0.83,0.88,0.83
0.82,0.82,0.83,0.82
0.86,0.83,0.87,0.83
0.82,0.85,0.90,0.82
0.86,0.87,0.87,0.80
0.85,0.85,0.85,0.85
0.85,0.82,0.86,0.82
0.82,0.83,0.85,0.81
0.82,0.76,0.83,0.75
0.75,0.68,0.76,0.67
0.71,0.67,0.71,0.61
0.67,0.69,0.69,0.61
0.69,0.68,0.74,0.65
0.69,0.70,0.71,0.67
0.71,0.70,0.71,0.68
0.69,0.68,0.69,0.64
0.67,0.68,0.70,0.64
0.66,0.68,0.69,0.66
0.66,0.69,0.71,0.66
0.70,0.70,0.70,0.67
0.68,0.71,0.72,0.68
0.67,0.69,0.69,0.67
0.67,0.68,0.70,0.67
0.65,0.69,0.70,0.65
0.68,0.68,0.68,0.65
0.68,0.67,0.68,0.66
0.65,0.72,0.73,0.65
0.68,0.73,0.75,0.68
0.72,0.75,0.75,0.69
0.71,0.78,0.80,0.71
0.75,0.83,0.94,0.75
0.87,0.85,0.87,0.82
0.84,0.87,0.92,0.84
0.90,0.90,0.91,0.85
0.88,0.88,0.90,0.85
0.85,0.89,0.95,0.85
0.86,0.90,0.90,0.85
0.86,0.88,0.88,0.84
0.84,0.86,0.88,0.84
0.85,0.84,0.89,0.84
0.84,0.85,0.89,0.84
0.84,0.87,0.88,0.84
0.85,0.87,0.88,0.85
0.87,0.92,0.93,0.87
0.90,0.85,0.91,0.80
0.87,0.92,0.93,0.87
0.92,0.97,0.97,0.89
0.95,0.94,0.95,0.94
0.93,1.00,1.00,0.93
1.00,0.98,1.00,0.97
0.98,0.97,0.98,0.89
0.94,0.99,0.99,0.94
0.96,0.95,0.98,0.94
0.94,0.93,0.96,0.91
0.92,0.95,0.96,0.92
0.99,0.98,0.99,0.94
0.95,0.95,0.99,0.95
0.95,0.97,0.99,0.95
0.99,0.99,1.00,0.95
0.95,0.98,0.98,0.94
0.95,0.94,0.95,0.93
0.93,0.97,0.97,0.90
0.97,0.94,0.97,0.94
0.89,0.94,0.94,0.89
0.88,0.90,0.93,0.88
0.91,0.94,0.94,0.87
0.93,0.95,0.95,0.91
0.95,0.99,0.99,0.93
0.95,0.98,1.10,0.93
0.89,0.90,0.93,0.88
0.87,0.92,0.93,0.86
0.92,0.91,0.95,0.91
0.91,0.91,0.92,0.91
0.91,0.87,0.91,0.87
0.89,0.91,0.91,0.89
0.94,0.94,0.94,0.91
0.91,0.88,0.91,0.87
0.89,0.90,0.91,0.89
0.88,0.94,0.94,0.88
0.90,0.93,0.93,0.89
0.90,0.91,1.00,0.88
0.90,0.87,0.90,0.86
0.88,0.88,0.90,0.88
0.86,0.90,0.90,0.86
0.92,0.89,0.92,0.87
0.87,0.87,0.88,0.86
0.91,0.85,0.91,0.85
0.84,0.83,0.84,0.82
0.83,0.83,0.88,0.83
0.83,0.86,0.86,0.83
0.83,0.87,0.88,0.83
0.83,0.87,0.88,0.83
0.90,0.86,0.90,0.84
0.84,0.87,0.87,0.84
0.83,0.86,0.86,0.83
0.83,0.86,0.86,0.82
0.82,0.82,0.85,0.82
0.88,0.86,0.88,0.83
0.82,0.91,0.91,0.82
0.88,0.85,0.89,0.85
0.82,0.85,0.86,0.82
0.85,0.89,0.89,0.85
0.83,0.83,0.88,0.83
0.83,0.86,0.87,0.82
0.83,0.87,0.88,0.83
0.85,0.83,0.88,0.82
0.84,0.87,0.87,0.84
0.84,0.85,0.85,0.84
0.85,0.84,0.86,0.82
0.83,0.87,0.88,0.80
0.87,0.82,0.88,0.82
0.83,0.83,0.85,0.83
0.83,0.83,0.83,0.83
0.83,0.83,0.86,0.83
0.79,0.81,0.84,0.79
0.81,0.81,0.82,0.80
0.81,0.83,0.86,0.81
0.83,0.83,0.83,0.83
0.81,0.85,0.85,0.81
0.81,0.85,0.85,0.81
0.81,0.79,0.81,0.76
0.77,0.77,0.80,0.77
0.78,0.78,0.79,0.78
0.80,0.78,0.80,0.77
0.80,0.80,0.80,0.79
0.76,0.79,0.79,0.76
0.78,0.78,0.78,0.77
0.77,0.78,0.79,0.77
0.80,0.82,0.84,0.80
0.84,0.87,0.93,0.83
0.88,0.90,0.95,0.87
0.85,0.95,0.95,0.85
0.86,0.91,0.94,0.86
0.89,0.88,0.90,0.85
0.93,0.91,0.93,0.89
0.86,0.87,0.90,0.78
0.93,0.93,0.93,0.88
0.90,0.90,0.93,0.85
0.89,1.00,1.03,0.89
1.00,1.10,1.15,0.99
1.10,1.15,1.25,1.10
1.19,1.13,1.19,1.10
1.13,1.11,1.13,1.10
1.15,1.17,1.19,1.14
1.15,1.16,1.17,1.13
1.17,1.16,1.18,1.13
1.11,1.15,1.19,1.11
1.19,1.25,1.25,1.17
1.25,1.20,1.25,1.18
1.24,1.24,1.25,1.21
1.25,1.18,1.27,1.17
1.20,1.19,1.23,1.17
1.19,1.23,1.24,1.19
1.24,1.27,1.27,1.22
