SNP,China Petroleum & Chemical Corporation Common Stock,NASDAQ
81.94,80.90,82.08,80.09
80.38,81.58,81.72,80.25
80.10,80.22,80.41,79.41
80.59,80.88,80.97,80.06
80.53,80.38,80.68,79.74
80.49,80.35,81.13,80.25
79.22,79.31,79.57,78.76
78.17,78.56,78.77,77.02
77.20,76.74,78.09,76.46
77.60,77.40,77.61,76.71
77.20,78.91,78.94,77.20
79.24,78.51,79.52,78.00
80.31,80.30,80.77,79.85
79.52,80.33,80.47,79.07
79.70,80.64,80.67,79.33
80.81,80.27,80.81,79.55
80.50,80.36,80.77,79.80
80.79,79.93,81.09,79.25
80.12,80.52,80.68,79.48
82.60,82.95,83.14,81.94
81.52,81.19,81.53,80.58
81.37,81.68,82.02,81.03
81.33,81.57,81.68,80.92
81.13,81.68,81.68,80.40
81.50,81.54,81.84,81.17
79.84,80.31,80.84,79.65
79.08,78.66,79.08,78.26
78.20,78.28,78.77,77.83
78.53,78.78,79.08,78.41
79.18,79.04,79.25,78.58
79.70,79.90,80.31,79.48
79.43,79.33,79.71,78.95
81.20,81.41,82.22,80.33
81.19,81.69,81.69,80.36
81.56,80.17,81.61,80.14
79.45,79.36,79.68,78.67
78.59,79.17,79.59,77.79
78.11,78.83,80.10,78.11
79.14,80.13,80.13,78.35
79.85,79.02,79.94,78.98
79.01,79.21,80.19,79.01
79.76,80.04,80.35,79.29
79.17,79.80,79.91,79.17
80.72,81.02,81.17,80.29
81.60,81.10,81.60,80.67
81.33,81.81,82.21,81.33
82.03,81.53,82.03,81.38
81.55,81.28,81.73,81.19
82.60,83.21,83.21,82.50
83.34,83.57,83.92,82.81
82.61,82.95,82.99,82.03
81.95,82.52,82.52,81.95
83.48,83.46,83.57,82.83
84.84,85.76,85.88,84.71
85.49,85.59,85.86,84.90
85.38,86.10,86.23,85.27
85.45,85.08,85.89,84.75
85.55,87.30,87.40,85.55
87.40,86.85,87.59,86.48
86.70,86.97,87.10,85.79
88.03,88.01,88.12,87.58
88.46,88.28,88.94,87.79
88.90,88.92,89.60,88.84
89.36,89.15,89.80,88.47
89.55,90.67,90.70,89.53
89.03,89.31,89.49,88.80
87.89,87.78,87.94,86.89
87.78,88.75,88.76,87.22
88.95,89.42,89.92,88.75
90.65,91.02,91.37,90.30
94.94,95.17,95.44,94.59
95.41,95.40,96.00,94.67
96.80,96.71,97.00,95.40
96.54,97.22,97.33,96.17
95.03,94.62,96.17,94.36
96.27,97.07,97.69,95.99
95.58,94.85,96.07,94.38
93.27,93.17,93.68,92.96
95.51,96.78,96.98,95.42
98.05,98.81,98.84,97.66
95.75,95.23,95.75,94.29
95.76,95.98,96.75,95.72
94.84,95.31,95.53,94.68
97.03,96.41,97.27,95.94
96.86,97.70,97.70,96.40
99.48,101.30,101.30,98.84
100.60,102.69,102.95,100.60
101.56,101.50,101.91,101.25
101.71,100.31,101.71,99.68
100.16,98.76,100.47,98.37
99.11,100.20,100.20,98.59
101.43,102.57,102.79,101.28
100.32,98.82,100.58,98.24
97.28,96.84,97.99,96.84
95.21,94.02,95.40,93.75
93.07,93.09,94.14,93.01
93.80,94.44,94.87,93.80
94.30,94.82,94.85,93.53
94.75,95.57,96.14,94.20
93.97,92.80,94.26,92.58
95.04,94.17,95.09,93.53
93.33,93.55,94.07,93.01
93.55,95.47,95.60,93.19
92.90,92.84,93.37,91.97
94.50,94.52,94.75,93.72
95.02,96.00,96.29,94.74
93.85,94.46,94.75,93.40
92.46,92.43,92.94,92.12
94.11,93.15,94.23,93.01
92.82,92.21,92.82,91.45
92.36,91.78,92.36,91.09
92.54,93.58,93.66,92.04
95.21,95.38,95.88,94.72
95.64,95.64,96.37,95.34
93.40,92.50,93.79,92.24
92.04,92.13,92.26,91.30
91.38,91.15,91.56,90.73
92.08,91.51,92.33,91.30
93.25,93.94,93.96,93.19
95.08,95.01,95.36,94.62
94.27,94.28,94.50,93.91
93.84,94.30,94.64,93.78
93.00,92.67,93.00,92.06
94.38,94.39,94.83,94.10
94.40,94.33,94.80,93.95
95.19,95.69,95.96,95.01
97.48,97.63,97.87,97.06
99.28,99.31,99.31,98.00
99.43,99.72,99.90,99.12
99.75,98.41,99.75,98.11
99.99,99.04,100.00,97.84
98.28,98.67,98.78,97.32
98.94,99.11,99.18,98.41
100.98,100.94,101.55,100.39
101.92,101.36,101.99,101.17
101.35,101.26,101.50,100.98
100.35,100.62,100.83,99.93
103.14,103.00,103.37,102.38
102.53,102.68,102.92,101.93
102.38,101.64,103.16,101.57
100.73,101.61,101.70,100.34
100.99,101.23,101.52,100.39
103.29,104.40,105.09,102.68
106.00,106.45,106.71,105.71
107.41,104.62,107.49,104.31
109.73,110.22,111.03,109.28
110.71,110.69,111.22,110.29
111.52,110.15,111.91,109.80
110.55,110.21,110.71,109.37
110.91,110.96,110.97,109.54
108.60,108.74,109.45,108.33
110.94,111.89,111.92,110.73
107.06,106.05,107.10,105.45
102.95,104.51,104.74,102.44
104.19,105.60,105.96,104.19
106.02,106.04,106.69,105.80
104.78,105.05,105.33,104.19
106.45,107.49,107.53,105.63
107.34,108.12,108.23,106.85
109.61,109.39,109.75,108.29
103.75,102.79,104.16,101.39
102.98,102.66,103.72,101.73
99.33,99.74,100.06,98.76
100.79,101.39,101.49,100.20
102.62,102.60,102.72,101.83
103.64,102.42,103.76,102.21
99.92,99.91,100.90,99.71
100.42,101.14,101.24,100.17
100.36,99.70,100.60,99.24
100.35,99.24,100.44,98.63
101.75,103.19,104.03,100.91
102.17,102.64,102.91,101.61
101.51,100.83,102.43,100.53
100.10,101.32,101.52,99.57
101.34,102.00,102.17,100.99
97.96,100.78,101.24,97.68
99.49,97.64,99.87,97.00
99.45,98.65,99.69,98.08
96.73,97.18,97.33,96.08
98.19,98.75,98.94,98.01
98.76,98.48,98.94,98.31
98.82,100.09,100.63,98.05
100.01,101.09,101.56,99.46
101.14,101.22,101.43,100.52
99.40,98.56,99.40,98.09
99.05,99.67,99.67,98.61
100.34,100.97,101.35,100.12
99.70,100.58,101.03,99.70
100.75,101.32,101.38,100.63
102.01,101.97,102.14,101.08
101.75,101.86,102.47,101.40
103.42,103.80,104.60,103.36
104.55,104.27,105.00,103.35
105.65,105.02,105.88,104.67
105.88,104.66,105.98,104.10
104.09,103.35,104.75,102.63
105.18,104.13,105.18,103.00
102.89,102.92,103.35,102.38
103.00,102.78,103.11,102.45
101.21,100.80,101.34,99.50
100.87,101.49,101.59,100.85
103.12,102.46,103.30,102.02
102.23,102.96,102.97,102.23
102.95,102.46,103.06,102.30
102.59,101.93,102.93,101.71
101.90,101.18,101.90,99.92
100.89,99.73,100.89,99.33
100.59,100.77,100.84,100.24
100.87,99.87,101.91,99.60
98.68,98.44,99.26,98.08
97.69,96.96,97.98,96.58
96.50,95.97,96.84,95.28
97.52,97.06,98.22,96.22
97.28,97.76,98.09,97.14
97.82,99.11,99.12,97.65
98.32,97.32,98.38,96.49
97.14,98.28,99.14,96.68
97.87,97.45,98.12,96.56
96.97,97.35,98.15,96.79
96.52,96.67,97.16,96.38
96.66,97.47,97.69,96.50
97.79,97.91,98.02,97.04
97.32,97.25,97.65,96.38
95.58,95.55,95.79,94.83
95.48,95.27,95.84,95.03
95.15,95.67,96.12,94.84
96.15,97.02,97.07,95.81
97.90,97.77,98.42,97.49
99.98,99.85,100.01,99.31
99.72,98.02,100.00,98.00
99.11,99.77,99.79,98.48
98.17,99.06,99.44,98.01
98.67,98.14,99.18,98.11
98.24,98.13,98.80,98.01
96.61,96.41,97.21,96.37
97.52,97.38,97.58,96.77
96.33,95.86,96.82,95.65
96.55,95.68,96.56,95.00
96.73,97.05,97.47,96.73
95.03,94.17,95.45,93.48
93.98,93.94,94.48,93.23
93.88,93.42,93.98,93.23
92.29,92.78,92.90,92.17
93.72,93.74,93.92,93.00
93.73,93.50,94.38,93.10
93.18,94.28,94.28,92.20
96.16,95.88,96.48,95.07
97.45,98.39,98.68,97.19
99.80,100.62,100.71,99.58
100.24,100.48,100.95,99.77
100.84,101.44,101.47,100.74
101.19,102.43,102.65,100.74
101.80,101.35,102.13,101.07
101.28,100.54,101.28,100.00
101.66,101.56,101.86,100.96
100.97,100.89,101.19,100.00
99.85,98.44,100.17,98.26
97.63,97.12,98.25,97.10
98.61,98.30,99.16,98.00
98.64,97.71,98.92,97.40
98.21,97.92,98.38,97.38
97.28,96.22,97.45,95.92
97.85,98.01,98.01,96.77
97.91,97.54,98.49,97.35
97.94,98.90,99.39,97.94
99.54,99.45,99.55,98.90
98.33,98.66,99.06,98.08
99.50,99.63,99.81,99.04
99.46,98.21,99.53,97.94
99.30,98.72,99.54,98.43
97.75,99.01,99.40,97.56
100.62,98.50,100.62,97.82
97.64,96.19,97.91,96.19
95.80,95.80,96.00,93.91
93.32,91.45,93.55,91.43
91.45,90.21,94.00,87.66
87.30,85.05,88.95,84.67
83.38,88.19,88.40,83.36
83.73,83.21,85.82,82.50
83.65,86.71,87.13,83.32
85.49,85.12,86.49,84.91
87.32,88.10,88.10,87.19
86.97,87.43,88.35,86.62
87.65,87.66,88.55,87.36
85.19,84.91,85.58,83.44
83.20,84.42,85.33,83.13
85.81,84.53,86.03,84.00
89.00,91.09,91.12,88.21
90.53,91.08,91.49,89.70
92.00,90.23,92.28,89.11
89.32,91.19,91.19,88.16
95.97,97.56,97.62,95.75
96.51,97.20,97.89,96.27
98.56,98.52,99.39,97.85
97.56,97.38,98.67,97.25
95.50,95.48,96.32,94.93
95.45,97.37,97.45,95.18
98.57,98.85,99.35,97.88
96.70,96.39,98.19,96.23
95.23,93.89,95.56,93.12
92.51,93.40,93.76,91.64
93.69,93.57,94.01,92.82
94.59,95.57,96.19,93.15
96.53,96.60,96.88,95.43
97.07,97.22,98.03,96.80
96.21,97.88,98.45,96.17
98.54,97.58,99.29,97.48
97.02,93.50,97.14,93.40
90.21,88.77,90.70,88.00
92.25,93.37,94.66,91.41
92.87,94.58,94.75,92.07
97.25,97.60,98.99,97.15
97.42,95.84,98.06,95.62
97.58,97.74,98.62,96.88
97.39,95.80,97.80,95.65
97.46,95.79,98.48,95.50
95.92,98.43,98.72,93.61
98.00,99.42,99.66,97.16
97.26,98.81,99.11,97.20
96.67,95.28,97.02,95.13
92.69,93.41,94.02,92.33
91.18,91.78,92.67,90.60
93.19,93.86,94.81,92.42
91.87,92.41,92.87,91.08
93.62,94.84,95.06,93.49
92.41,91.93,93.50,91.72
92.00,94.40,94.42,91.17
93.63,92.16,94.00,92.14
91.75,91.43,92.44,90.12
92.45,92.89,93.54,92.32
94.38,95.38,95.50,94.00
95.42,94.05,95.55,93.71
96.50,97.11,97.26,95.28
98.34,101.25,101.89,98.34
96.94,97.11,98.42,96.58
95.66,94.40,95.93,94.24
93.47,93.09,93.79,91.32
96.02,96.84,97.04,95.23
96.18,97.01,97.39,95.20
100.37,101.65,101.79,100.15
102.40,104.66,104.80,102.35
105.97,105.76,105.97,104.73
102.77,101.15,103.05,100.63
104.48,104.18,104.71,102.96
107.02,106.48,107.48,105.13
107.28,106.32,107.28,105.01
105.90,106.14,106.45,105.02
103.05,102.02,104.02,101.83
102.62,101.20,103.58,100.61
102.35,101.81,102.71,101.48
101.85,102.08,102.68,100.80
102.78,102.50,103.52,102.19
102.48,101.80,102.83,101.63
101.71,102.10,102.80,101.50
103.49,103.74,104.30,102.58
102.83,101.99,103.31,101.83
104.32,106.35,106.56,104.32
105.42,105.48,105.75,104.30
106.41,105.55,106.60,105.28
106.00,106.45,107.13,105.53
105.24,104.94,105.62,104.78
104.14,104.80,105.18,103.75
103.69,102.22,104.54,101.87
103.01,103.95,104.66,103.01
102.26,101.81,102.61,100.70
102.25,101.36,103.50,100.64
101.22,101.14,102.17,100.25
101.70,101.20,102.15,100.80
101.99,101.89,102.69,101.07
102.48,101.11,102.76,100.94
103.75,103.88,104.61,103.57
104.70,104.87,105.06,104.03
105.05,106.28,106.62,105.05
106.16,106.79,106.81,106.05
106.45,106.13,106.76,106.00
106.00,105.64,106.37,105.32
105.26,105.30,105.72,104.89
105.20,105.05,105.82,104.95
110.30,111.59,111.82,109.84
109.24,109.90,110.13,108.81
114.02,115.50,116.54,113.54
114.61,113.48,114.65,113.38
114.74,115.77,116.05,114.74
116.99,116.26,117.40,115.95
115.82,115.68,115.98,114.99
114.71,114.19,115.32,113.74
113.74,114.13,114.13,113.04
116.45,116.57,117.12,116.01
117.05,119.14,119.19,116.80
118.59,117.84,118.59,117.33
116.37,117.34,117.40,115.93
117.00,117.71,118.45,117.00
116.85,116.86,117.22,116.33
117.28,118.23,118.35,116.30
118.37,116.80,118.77,116.51
118.26,118.75,118.97,118.06
118.65,119.20,119.50,117.70
121.10,120.15,121.42,119.80
122.46,123.05,124.20,122.46
123.99,123.53,125.24,123.43
125.17,124.95,125.36,124.40
120.77,121.29,121.91,120.44
120.80,120.15,121.54,119.91
121.64,122.70,122.87,121.41
120.55,120.39,120.86,119.73
117.89,118.97,118.97,117.36
119.71,119.26,119.78,118.93
118.27,118.27,118.74,117.79
119.63,119.05,120.00,118.66
118.42,119.50,119.67,118.19
120.88,120.68,121.35,120.27
113.00,111.76,113.11,111.39
112.87,113.58,113.90,112.84
113.47,114.09,114.62,112.82
112.50,113.04,113.81,112.50
110.84,111.80,112.38,110.79
113.31,113.98,114.31,112.64
113.94,113.29,114.50,112.69
113.93,114.06,114.52,113.28
114.53,114.93,115.50,114.45
113.30,113.26,113.64,112.50
111.13,111.36,111.67,110.65
113.65,113.64,114.16,112.86
115.04,115.01,115.32,114.22
115.98,115.51,115.99,115.14
115.22,114.50,115.36,114.07
115.69,116.88,117.09,115.40
114.93,114.22,115.67,113.50
114.28,114.57,114.76,113.78
115.79,115.74,116.11,115.14
117.15,117.71,117.89,116.99
111.32,111.30,112.00,110.60
111.14,111.61,111.89,110.42
110.71,110.41,110.72,109.59
110.67,111.30,111.86,110.07
112.91,113.38,113.95,112.70
113.46,112.40,113.49,112.20
111.34,110.32,111.62,109.58
108.13,109.10,109.22,107.30
109.10,108.72,109.49,108.29
108.41,109.80,110.47,107.86
109.25,109.23,109.67,108.36
107.72,107.71,108.06,106.82
107.45,107.90,108.28,107.09
106.37,107.11,107.52,106.34
106.56,105.34,106.57,104.74
106.00,105.81,106.40,105.51
106.79,107.94,108.70,106.20
106.91,106.36,107.25,105.71
106.81,105.58,106.92,105.03
106.06,106.62,106.96,105.79
106.00,106.07,106.35,105.66
107.35,107.24,107.72,106.19
107.65,107.24,107.71,106.86
104.74,104.75,105.18,103.89
104.81,104.97,105.47,104.49
105.83,105.26,105.96,104.28
105.12,105.14,105.35,104.37
105.81,106.29,106.81,105.50
107.39,105.47,107.39,104.70
105.75,107.38,107.92,105.51
106.84,106.75,107.08,106.25
105.80,105.19,106.00,104.60
104.61,103.92,104.61,103.39
103.48,103.99,104.10,103.46
101.85,102.07,102.38,100.88
101.21,100.43,101.29,99.84
99.99,100.05,100.64,99.84
98.60,98.88,100.15,98.32
97.52,96.85,97.75,96.75
97.25,96.73,97.61,96.40
93.42,93.40,94.68,93.00
93.40,91.93,93.63,91.88
92.43,92.19,92.68,91.66
91.99,92.72,93.03,91.44
92.61,91.21,92.72,90.78
90.75,91.52,91.70,90.37
90.93,90.71,91.66,90.29
90.63,90.85,91.24,90.43
91.62,92.98,93.08,91.34
90.92,89.95,90.92,89.92
89.48,89.26,89.68,88.56
87.50,88.17,88.55,87.44
88.21,88.15,88.22,87.34
88.04,88.61,88.86,87.97
90.31,91.32,91.32,89.95
93.01,91.14,93.01,90.83
90.95,91.20,91.20,90.15
91.90,90.75,91.99,90.61
91.16,92.02,92.19,90.84
91.75,91.08,92.00,90.88
89.23,89.27,89.56,89.03
90.69,90.55,90.74,90.33
90.51,90.38,90.72,90.03
90.98,91.31,91.80,90.78
91.12,90.68,91.23,90.07
90.80,88.40,90.80,88.25
89.16,88.56,89.16,87.82
86.82,86.22,87.33,85.58
86.94,87.16,87.35,86.48
87.60,87.71,87.85,86.90
86.86,87.13,87.38,85.85
89.17,89.19,89.29,88.46
89.39,89.35,89.51,88.68
89.01,89.16,89.35,88.77
87.22,87.00,87.24,86.56
85.68,85.55,85.70,85.09
84.65,84.43,84.65,83.88
83.75,82.69,83.95,82.51
84.32,85.26,85.34,83.93
86.38,86.16,86.66,85.73
87.16,87.82,87.99,86.67
87.06,86.92,87.28,86.36
88.26,88.62,88.85,87.42
87.64,88.21,88.41,87.41
88.97,89.69,89.77,88.95
90.17,89.78,90.24,89.47
87.85,88.64,88.95,87.56
88.35,88.00,88.61,87.19
87.87,87.19,87.94,87.00
87.06,87.04,87.51,86.50
87.74,89.31,89.59,87.51
89.65,89.76,90.10,89.42
90.24,89.97,90.51,89.66
90.96,90.28,90.96,90.20
89.95,89.97,90.61,89.63
90.85,91.44,91.75,90.72
93.50,94.41,94.81,93.50
95.05,95.63,96.24,95.03
94.89,95.18,95.55,94.82
95.27,95.80,96.25,95.27
95.46,96.04,96.05,95.06
95.25,95.20,95.42,94.61
96.06,96.34,96.80,96.05
95.72,96.08,96.32,95.64
95.72,96.01,96.37,95.53
96.69,96.70,96.82,96.45
96.51,96.77,97.05,96.11
95.72,95.79,96.26,95.68
94.23,94.67,94.68,93.85
94.72,94.23,94.80,94.06
92.90,93.30,93.67,92.30
95.44,95.26,95.67,94.94
95.40,94.95,95.53,94.67
95.93,95.56,96.18,95.56
95.14,94.64,95.18,94.58
94.65,94.25,94.65,93.91
91.52,91.38,91.83,91.14
89.12,88.72,89.30,88.50
89.01,89.92,90.21,88.78
90.00,90.14,90.63,90.00
91.41,91.09,92.48,91.02
90.85,91.50,91.65,90.59
91.95,91.88,92.42,91.60
91.57,93.70,94.17,91.50
94.18,95.59,95.70,94.18
93.35,92.37,93.57,92.29
92.45,92.07,92.67,91.98
92.66,92.54,92.73,91.77
92.04,91.80,92.27,91.47
92.53,92.18,92.60,92.14
92.02,91.93,92.17,91.52
92.63,91.56,92.77,91.40
91.06,91.08,91.17,90.30
92.61,93.02,93.17,92.28
92.88,92.42,93.14,91.99
92.50,92.54,93.58,92.50
93.19,93.50,93.59,92.96
93.21,93.09,93.38,92.59
93.16,93.49,93.54,92.80
94.29,94.28,95.11,94.06
95.33,95.24,95.37,94.84
98.43,97.62,98.43,97.29
98.44,98.17,98.44,97.53
100.25,100.22,100.95,100.05
100.80,100.73,101.03,100.29
101.31,101.61,101.75,100.86
101.34,101.71,102.25,101.10
103.75,104.83,105.00,103.67
105.33,105.31,105.94,104.91
106.30,105.36,106.50,105.03
107.34,107.70,108.34,106.49
106.59,105.99,106.73,105.50
105.79,105.12,106.03,104.84
105.85,105.79,106.06,105.31
103.74,103.67,104.47,103.48
105.51,105.21,106.19,104.40
108.35,109.43,109.85,108.20
109.47,108.32,110.12,108.01
107.00,107.45,107.59,106.28
106.75,107.23,107.50,106.26
106.43,106.11,107.06,105.78
105.48,104.50,106.31,104.32
103.68,104.45,104.75,103.27
104.72,104.83,105.22,104.55
101.85,101.45,102.09,101.14
102.71,101.78,102.83,101.53
101.02,100.71,101.71,100.63
101.30,102.03,102.16,100.35
102.94,104.20,104.27,102.94
103.26,103.38,103.38,102.55
104.71,104.85,104.89,104.07
107.61,108.53,108.59,107.16
107.01,106.77,107.07,106.14
105.23,104.52,105.27,104.50
103.50,104.44,104.50,103.04
104.80,104.51,105.00,104.09
105.60,105.90,106.12,105.30
105.28,104.79,105.35,104.26
106.21,106.36,107.13,106.13
108.11,108.84,108.95,107.84
108.43,108.93,109.16,108.43
109.92,109.89,110.21,109.59
110.83,111.46,111.77,110.78
112.60,112.60,112.98,112.38
112.76,112.04,112.97,111.82
112.21,111.70,112.60,111.39
111.63,112.27,112.59,111.63
110.29,110.85,110.99,110.29
111.21,112.15,112.20,111.03
113.50,113.53,113.83,113.13
114.24,115.29,115.31,114.24
112.85,113.11,113.60,112.84
112.54,111.79,112.54,111.78
112.75,112.77,113.80,112.52
112.32,112.10,112.76,111.39
111.76,112.15,112.51,111.74
113.20,114.92,115.07,113.01
117.77,118.26,118.26,117.07
118.06,118.00,118.44,117.71
117.57,118.49,118.49,117.57
116.97,116.97,117.17,116.56
116.86,116.48,116.86,116.27
116.44,117.30,117.46,116.18
118.37,119.21,119.26,118.35
119.15,119.15,119.30,118.82
118.87,119.07,119.07,118.28
118.50,118.55,118.65,118.17
116.56,116.94,117.05,116.56
116.63,117.02,117.25,116.12
117.72,118.68,118.99,117.63
119.62,120.22,120.28,119.59
119.00,118.71,119.05,118.20
119.25,119.54,120.23,118.83
121.83,121.34,122.34,121.05
121.15,120.28,121.24,120.15
120.87,122.67,122.81,120.87
121.43,121.15,121.72,121.08
121.51,121.45,121.60,121.32
121.37,121.30,121.75,120.57
119.79,112.57,119.90,112.31
112.77,113.83,114.11,112.40
113.88,114.83,114.90,113.57
112.03,110.50,112.12,109.95
110.84,111.62,111.65,110.64
111.39,110.69,111.39,110.69
111.03,110.88,111.32,110.68
110.95,111.59,111.66,110.95
110.97,111.20,111.35,110.70
112.20,111.94,112.28,111.77
113.63,113.14,113.74,113.02
113.96,113.31,114.14,113.19
113.03,112.88,113.03,111.72
112.98,112.75,113.03,112.42
113.43,111.56,113.74,111.47
112.13,112.34,112.74,111.61
112.03,113.69,113.75,112.03
113.42,113.56,114.68,113.42
115.70,116.17,116.25,114.74
114.74,114.72,115.09,114.18
115.12,114.92,115.55,114.67
115.55,115.52,115.75,115.14
115.55,114.50,115.55,114.50
115.51,116.08,116.14,114.85
115.59,115.61,116.01,115.04
115.23,114.10,115.26,113.97
113.03,112.64,113.11,112.59
112.78,113.72,113.87,112.78
111.48,113.30,113.30,111.40
111.40,111.47,112.06,111.36
111.96,112.01,112.51,111.51
113.80,114.57,114.83,113.51
112.37,111.64,112.51,111.57
112.44,113.55,113.57,112.03
115.51,115.06,115.55,114.45
115.35,116.54,116.54,115.04
116.58,117.19,117.19,116.18
117.09,116.92,117.29,116.53
116.90,116.54,116.98,116.18
117.29,117.25,117.84,116.87
116.82,115.26,116.90,115.23
115.29,115.40,115.64,114.78
111.77,113.45,113.77,111.77
112.85,113.62,113.81,112.70
114.11,114.39,114.95,113.21
113.87,114.06,115.04,113.43
114.10,114.75,115.17,114.01
113.88,113.44,114.15,112.93
110.37,108.35,110.91,108.13
109.51,110.00,110.07,108.88
107.41,106.86,107.77,106.50
107.62,107.35,108.02,106.93
108.48,108.93,108.95,108.30
109.17,108.93,109.17,108.47
106.88,107.35,107.50,105.90
107.47,108.56,108.65,106.79
108.35,108.80,109.64,107.61
108.88,108.43,109.10,108.13
108.38,109.46,109.64,108.38
109.16,110.56,110.57,108.91
110.26,108.70,110.26,108.62
107.91,108.74,108.83,107.51
108.71,109.12,109.56,108.31
108.86,109.30,109.67,108.71
110.39,110.65,110.87,109.99
111.16,113.09,113.09,110.81
111.89,111.11,111.97,110.48
111.34,111.51,111.60,110.86
111.05,110.38,111.05,110.00
110.33,110.93,111.23,109.96
110.48,110.69,110.82,110.07
109.55,109.78,110.15,109.45
110.09,110.40,110.64,109.52
110.40,111.22,111.33,110.33
111.07,110.69,111.29,110.20
110.55,109.10,111.09,109.02
106.72,107.92,108.29,106.05
105.70,106.09,106.15,105.17
107.04,106.84,107.57,106.35
105.47,104.40,105.55,104.12
104.66,104.72,105.42,104.51
103.66,101.81,103.86,101.81
102.15,103.82,103.93,102.02
102.83,103.11,103.65,102.09
101.91,100.91,102.00,100.72
100.45,100.61,101.06,99.73
96.86,99.33,99.42,96.79
95.17,95.26,96.37,95.01
94.09,94.58,95.03,94.03
95.00,93.15,95.00,93.15
92.65,93.77,94.44,92.65
92.12,92.09,92.90,91.90
94.14,94.06,94.86,93.69
95.02,94.97,95.32,94.74
94.30,91.81,94.31,91.81
