GML,SPDR S&P Emerging Latin America ETF,NASDAQ
76.43,76.67,76.95,75.22
76.29,75.46,76.61,74.38
75.74,76.48,76.73,75.74
76.59,75.75,76.62,75.53
74.96,74.20,74.96,72.85
73.34,73.17,73.93,71.13
74.89,71.50,74.89,70.99
69.45,69.99,70.30,68.13
66.73,67.10,67.61,65.66
65.05,68.97,68.97,65.05
69.37,68.29,69.54,68.10
65.02,67.47,67.47,64.69
68.57,68.47,69.84,67.86
69.47,72.23,72.31,69.47
71.88,71.31,71.88,70.69
71.22,70.58,72.52,70.58
71.29,73.05,73.05,71.14
73.24,72.19,73.24,71.18
71.19,69.62,71.42,69.53
70.29,68.57,70.37,68.57
69.42,70.33,70.35,69.01
70.93,70.38,71.62,70.26
71.84,73.34,73.34,71.84
72.64,73.74,73.74,72.53
74.74,73.59,74.83,73.55
74.80,75.59,75.61,74.25
74.94,75.85,76.17,74.94
76.56,75.32,76.56,75.07
74.46,74.78,75.13,74.30
76.85,75.53,76.85,75.15
75.53,74.48,76.12,74.40
74.40,74.25,74.40,73.02
74.15,72.95,74.15,72.95
73.49,74.39,74.39,73.00
74.81,73.70,74.81,73.60
72.09,70.38,72.09,70.11
70.38,69.46,71.41,69.46
69.65,70.18,70.18,68.43
70.59,71.04,71.27,70.10
72.78,71.34,72.78,70.99
71.38,73.30,73.68,71.38
74.13,73.97,74.41,73.10
74.10,74.95,75.08,74.10
74.36,73.46,74.48,73.26
74.19,74.78,74.92,74.19
74.23,74.60,74.74,74.00
74.08,74.09,74.43,73.47
73.33,72.11,73.33,72.11
73.13,73.06,73.14,72.51
72.48,75.20,75.20,72.48
75.92,74.71,75.92,74.26
76.14,77.41,77.44,76.14
76.90,77.46,77.58,75.93
77.50,77.62,77.79,77.07
78.75,77.59,78.75,77.32
77.09,77.51,78.03,77.07
78.39,77.86,78.52,77.19
77.42,78.56,78.62,77.09
79.53,80.05,80.17,79.53
79.72,79.81,80.29,79.00
80.33,80.18,80.44,79.28
80.02,80.20,80.30,79.50
80.00,79.41,80.13,79.06
80.00,79.59,80.00,79.51
78.67,78.87,79.19,78.23
77.84,76.42,77.84,76.38
75.16,76.84,76.97,75.15
77.40,77.09,77.42,76.84
76.53,77.85,78.06,76.53
78.93,78.66,79.04,78.54
78.36,78.70,78.95,78.36
78.34,77.67,78.34,77.48
77.14,77.70,77.70,76.83
77.93,76.53,77.93,76.35
75.51,75.51,75.89,74.72
74.58,75.16,75.16,73.87
76.08,74.38,76.08,74.25
74.59,76.28,76.46,74.41
76.27,75.07,76.27,74.94
75.21,76.17,76.17,75.21
77.58,78.59,78.59,77.14
79.00,78.90,79.00,78.38
79.99,79.38,80.25,79.03
78.49,78.25,78.97,78.14
79.19,78.90,79.25,78.66
79.52,78.96,79.52,78.75
79.26,79.22,79.36,79.00
80.18,81.13,81.13,80.18
81.18,80.99,81.62,80.77
80.20,81.03,81.03,80.20
80.97,81.12,81.12,80.68
81.19,80.68,81.20,80.26
81.02,81.45,81.49,80.57
81.35,81.30,81.64,80.72
81.38,81.47,81.97,81.17
81.05,81.80,82.65,81.05
82.52,82.11,82.95,81.95
81.80,82.60,83.00,81.80
82.74,83.48,83.53,82.16
83.22,83.67,83.83,83.22
84.45,84.33,84.54,83.68
84.99,85.67,85.85,84.73
85.30,85.43,85.69,84.93
86.40,87.34,87.44,86.02
87.35,86.78,87.45,86.56
87.34,85.46,87.34,85.19
86.06,87.27,87.36,85.80
87.74,87.52,87.78,87.09
87.34,87.49,87.60,86.27
88.20,89.02,89.26,88.20
88.77,88.63,89.09,88.13
89.15,88.54,89.15,87.95
88.08,88.76,88.92,88.07
86.54,85.87,87.14,85.46
86.15,87.06,87.52,86.15
87.00,85.77,87.57,84.99
86.58,85.89,86.58,85.36
86.49,86.68,87.04,86.33
86.10,87.17,87.28,85.15
86.47,85.87,86.52,85.26
86.67,86.57,87.15,86.10
86.83,87.29,87.34,86.57
87.29,88.09,88.33,87.29
88.38,89.40,89.40,88.10
89.06,89.04,89.10,88.30
89.72,91.35,91.35,89.72
91.11,91.08,91.11,90.62
90.25,90.80,90.80,89.78
90.85,88.99,91.12,88.51
89.38,89.30,89.56,88.00
88.56,88.68,88.81,88.17
87.94,86.96,88.32,86.85
87.81,87.33,88.00,87.25
86.00,84.98,86.22,84.51
85.58,85.67,86.14,85.24
87.53,87.70,87.98,86.80
87.57,88.16,88.16,87.00
87.62,87.35,87.81,86.27
85.83,85.10,86.22,84.51
86.38,87.18,87.20,86.14
85.75,85.50,86.11,85.07
85.30,85.78,85.78,84.10
84.97,85.39,86.11,84.54
87.08,87.35,87.54,86.50
87.66,88.27,88.44,87.25
87.74,88.87,88.87,87.35
88.34,88.67,88.90,88.27
89.96,88.03,90.00,88.00
88.15,87.07,88.15,86.80
87.73,86.48,87.75,85.85
86.23,86.75,86.91,85.90
87.60,87.94,88.21,87.29
87.74,87.99,88.32,87.59
87.59,86.65,87.64,86.56
87.13,86.63,87.13,86.32
85.51,85.97,85.97,85.18
85.72,85.62,86.07,85.44
85.83,86.78,87.28,85.83
86.55,87.18,87.18,86.06
86.69,87.23,87.31,86.69
86.78,86.63,86.81,86.40
86.36,86.72,86.77,86.33
86.98,87.94,88.14,86.98
88.42,89.07,89.10,88.42
88.97,89.74,89.80,88.79
90.41,90.53,91.03,90.16
90.22,90.27,90.27,88.96
89.53,90.09,90.39,89.53
89.67,88.97,89.78,88.82
89.23,88.11,89.49,87.57
87.82,87.59,88.00,87.32
88.36,88.16,88.36,87.95
89.00,90.06,90.13,89.00
90.10,89.04,90.33,88.83
88.94,88.93,89.37,88.58
89.33,89.69,89.90,89.31
89.73,88.53,89.77,88.40
87.59,87.55,87.65,86.68
87.96,86.99,88.47,86.82
86.89,87.82,87.93,86.45
87.27,87.08,87.33,86.59
87.47,87.89,88.00,87.45
87.58,86.39,87.90,86.28
86.39,84.30,86.39,83.91
85.15,85.00,85.24,84.54
85.48,87.11,87.16,85.48
86.53,86.10,87.25,85.99
85.86,85.85,86.11,85.08
85.60,85.11,85.76,84.29
84.79,84.58,85.17,84.53
85.06,85.21,85.50,84.89
84.85,83.22,84.85,82.90
83.05,83.45,83.69,82.80
83.39,84.86,85.04,82.99
84.56,85.28,85.61,84.56
85.38,85.02,85.95,84.82
85.77,85.94,86.18,85.51
86.04,86.55,86.80,85.81
86.45,86.99,86.99,86.38
85.62,84.19,86.12,84.19
84.47,84.67,85.12,83.71
85.12,84.62,85.24,84.25
85.50,85.28,85.52,84.71
86.07,86.03,86.35,85.44
86.29,85.09,86.64,84.88
84.79,86.12,86.12,84.79
87.12,87.57,87.58,86.62
87.25,87.34,87.99,86.82
87.68,86.12,87.68,85.78
86.04,86.04,86.41,85.36
86.11,85.73,86.20,85.55
84.70,83.85,84.71,83.63
83.29,84.61,84.90,83.29
84.54,84.99,85.00,83.83
82.16,84.46,84.46,81.80
84.66,82.38,84.66,81.80
83.34,82.17,83.69,82.03
83.60,83.35,83.83,82.85
84.41,84.17,84.57,83.98
84.37,85.09,85.25,84.07
85.74,85.93,86.05,85.08
86.14,86.17,86.48,85.92
86.43,86.14,86.85,85.94
86.36,85.40,86.36,85.31
85.48,86.12,86.53,85.32
87.06,87.77,87.88,86.90
88.09,88.65,88.94,88.09
89.58,89.96,90.23,89.45
90.43,90.29,90.69,89.92
90.54,90.92,91.07,90.14
91.61,89.94,91.61,89.91
90.45,90.38,91.11,90.16
91.00,90.41,91.00,90.16
90.89,89.89,90.89,89.64
89.23,87.99,89.23,87.54
88.59,87.73,88.64,87.07
87.51,87.90,88.20,87.46
87.87,88.39,88.39,87.62
87.23,86.27,87.23,85.71
87.14,87.69,87.86,87.12
88.95,89.16,89.35,88.66
89.54,89.69,90.05,89.26
89.59,89.29,89.59,89.13
89.99,89.85,90.06,89.50
89.98,89.46,89.98,88.52
88.41,88.16,88.59,87.74
87.99,89.36,89.80,87.99
89.25,88.60,89.76,88.60
87.83,86.94,87.84,86.92
86.98,85.00,87.08,85.00
85.00,84.30,85.27,83.71
85.94,85.90,86.53,85.32
85.74,86.11,86.11,85.32
86.64,87.09,87.21,86.55
86.18,85.29,86.18,84.68
84.65,85.34,85.54,84.22
84.88,84.01,84.88,83.36
83.81,83.82,84.97,83.81
83.27,84.46,84.74,83.01
84.94,85.10,85.57,84.57
85.25,84.46,85.54,84.17
84.51,84.71,84.96,83.75
82.88,83.37,83.54,82.18
84.39,84.48,84.72,83.98
84.30,84.69,85.01,83.56
84.93,85.94,85.94,84.60
86.56,86.99,87.32,86.56
87.79,87.89,87.89,87.08
87.58,85.93,87.58,85.75
86.01,86.79,86.97,85.46
86.39,86.88,87.59,86.19
86.54,84.72,86.54,84.39
85.19,85.26,85.71,85.19
84.97,84.54,85.01,84.20
84.57,85.25,85.47,84.53
84.58,83.81,84.58,83.38
83.89,83.44,84.20,83.15
84.19,84.24,84.66,84.13
83.57,83.04,83.71,82.56
82.50,81.60,82.92,81.20
82.00,81.35,82.03,81.20
81.47,82.47,82.74,81.47
82.66,83.59,83.75,82.66
82.96,83.48,84.30,82.96
82.00,82.65,82.70,81.46
82.40,82.58,83.09,82.34
82.50,83.12,83.33,82.49
82.99,84.75,84.91,82.99
85.06,85.87,86.20,85.06
86.80,86.54,86.84,86.16
86.75,87.73,87.96,86.54
88.00,87.38,88.30,87.07
86.87,86.77,86.95,86.23
87.32,86.89,87.78,86.89
86.00,86.07,86.42,85.53
84.48,83.80,84.54,83.59
83.46,83.65,84.51,83.46
83.95,84.67,85.42,83.91
84.68,83.23,84.68,83.23
84.02,83.50,84.02,83.07
82.69,82.12,82.97,82.12
83.40,83.52,83.64,83.04
83.79,83.50,83.86,83.21
84.38,84.66,84.88,83.87
84.76,84.62,85.16,84.46
84.18,84.77,85.26,84.18
84.90,84.55,85.21,84.16
83.50,82.69,83.50,82.05
82.60,83.02,83.43,82.60
82.37,83.03,83.15,81.54
84.24,82.95,84.24,82.35
82.27,80.73,82.27,80.37
80.20,79.37,80.28,78.09
77.22,74.21,77.37,74.21
75.98,74.36,75.98,71.98
71.59,67.69,71.80,66.70
68.85,71.48,71.48,67.60
69.90,69.84,71.51,68.97
71.01,72.89,73.50,70.55
74.24,73.85,74.24,72.91
74.81,75.68,75.93,74.70
74.92,75.06,75.24,74.14
75.89,76.21,76.54,75.45
73.22,72.97,73.37,72.33
72.68,72.64,74.00,72.50
74.23,72.51,74.57,72.51
72.31,73.94,73.94,72.31
73.94,74.26,74.55,73.11
73.90,73.23,73.90,73.06
72.16,73.89,73.89,72.16
74.99,76.07,76.27,74.99
75.83,76.69,77.31,75.50
77.43,77.85,78.29,77.23
78.89,79.22,80.00,78.89
77.40,76.62,77.53,75.85
72.87,74.93,74.93,72.55
76.07,76.78,77.28,75.68
76.70,76.05,76.90,75.85
74.40,73.24,74.40,72.68
71.79,71.94,72.17,70.35
71.73,71.98,72.36,71.47
72.46,72.66,72.92,70.71
73.96,73.53,73.96,73.10
73.63,73.12,73.67,72.68
71.44,71.37,71.56,70.59
71.39,70.53,72.00,70.47
70.54,68.31,70.54,68.26
64.85,63.12,64.85,62.52
63.12,64.29,64.52,63.04
64.81,65.89,65.89,63.16
67.69,67.01,68.26,67.01
67.00,65.20,67.12,65.20
67.00,65.41,67.00,65.00
64.23,63.45,64.63,63.17
63.13,61.81,63.29,61.81
61.12,62.24,62.24,59.85
62.19,63.66,64.04,62.19
64.49,66.19,66.19,64.22
67.18,65.13,67.27,64.81
67.22,67.77,68.01,66.62
67.10,68.51,68.51,67.04
69.35,70.44,70.96,69.35
69.40,69.83,69.98,68.43
70.97,71.12,71.12,70.14
70.02,68.55,70.02,68.55
68.32,70.26,70.34,67.67
69.77,69.34,70.14,69.19
68.55,67.81,69.13,67.17
68.71,69.51,69.97,68.64
69.92,72.27,72.27,69.92
71.52,70.81,71.52,70.54
72.51,72.09,72.51,70.87
75.25,76.32,76.86,74.28
75.71,77.20,77.20,75.70
75.78,74.96,75.91,74.96
71.02,72.04,72.80,71.02
73.75,73.49,74.18,73.14
74.75,74.29,74.75,73.83
73.97,74.06,74.60,73.96
74.48,74.83,74.96,74.13
74.73,75.98,75.98,74.73
73.00,72.17,73.94,71.96
73.86,72.54,73.86,72.36
73.96,74.63,74.86,73.96
74.09,73.83,74.09,73.19
73.24,73.98,74.34,72.98
73.32,72.68,73.60,72.68
72.70,71.70,73.46,71.43
71.53,71.37,71.72,71.01
69.25,69.73,69.98,68.52
69.16,68.85,69.91,68.31
67.55,66.46,67.55,66.33
65.82,65.43,66.55,65.43
67.42,67.88,68.26,67.42
67.62,67.78,68.79,67.54
71.58,71.22,71.58,70.49
71.77,71.63,72.71,71.49
72.97,71.83,73.02,71.73
73.53,73.28,73.58,72.67
73.00,73.11,73.26,72.38
72.51,72.95,73.26,72.41
71.91,70.61,71.91,70.51
71.41,72.33,72.45,71.36
69.86,70.31,70.42,69.39
70.64,69.36,71.28,69.08
68.92,68.08,69.11,68.08
69.40,68.48,69.40,68.32
68.34,67.50,68.34,67.19
67.35,66.15,67.55,66.15
68.39,68.48,68.92,68.00
67.77,68.41,68.80,67.47
68.32,69.46,69.51,68.32
69.80,69.80,69.94,69.13
69.38,69.20,69.67,69.11
68.93,67.71,68.93,67.65
67.70,68.46,68.82,67.70
68.46,68.99,69.36,68.46
70.84,71.77,71.85,70.65
71.06,71.41,71.92,71.06
70.23,70.94,71.05,70.19
70.47,70.37,70.47,70.06
70.72,70.95,71.16,70.32
72.46,72.50,72.96,72.29
72.52,72.89,72.89,72.41
73.35,73.59,73.64,73.11
72.55,72.63,72.69,71.90
74.19,73.76,74.43,73.70
74.22,76.28,76.28,74.16
76.08,76.42,76.83,76.08
76.09,76.53,76.60,75.93
76.72,76.99,77.02,76.47
76.05,76.75,76.88,75.70
76.50,78.13,78.13,75.99
78.20,77.39,78.95,77.38
77.41,77.70,78.00,77.41
76.45,77.36,77.45,75.92
77.39,77.34,77.71,76.75
78.48,78.93,79.46,78.25
79.76,79.96,79.99,79.52
80.42,80.70,80.98,80.32
80.35,80.64,80.91,80.18
80.59,81.21,81.29,80.39
81.47,81.36,81.95,80.98
81.07,81.04,81.43,80.72
79.67,79.47,79.84,79.06
80.65,81.11,81.44,80.42
80.47,79.88,80.65,79.42
80.66,79.31,80.66,79.31
79.40,80.46,80.55,79.00
81.12,80.80,81.12,80.51
81.29,80.83,81.61,80.65
80.85,80.62,80.94,80.41
81.23,80.64,81.23,80.15
81.17,81.11,81.46,81.01
80.75,80.65,81.15,80.55
80.88,81.79,81.95,80.88
82.10,81.22,82.62,81.06
81.63,82.33,82.58,81.63
82.12,82.27,82.38,81.97
82.19,81.31,82.19,81.07
79.50,78.51,79.50,78.01
78.68,79.01,79.01,78.24
80.10,80.31,80.60,79.83
80.36,79.84,80.60,79.84
79.34,78.90,79.34,78.32
79.37,81.00,81.00,79.31
81.04,80.51,81.04,80.13
80.59,80.79,80.79,80.42
80.86,80.78,80.95,80.62
80.32,80.69,81.06,80.32
79.32,79.80,79.80,79.32
79.89,79.91,80.08,79.30
78.69,78.83,78.83,78.57
78.71,79.36,79.36,78.58
79.95,80.87,80.90,79.93
80.34,80.10,80.98,80.08
79.94,79.05,80.31,78.71
78.12,79.01,79.05,77.71
79.33,78.87,79.33,78.73
78.79,80.17,80.17,78.79
79.87,79.26,80.09,79.11
78.38,77.90,78.64,77.89
78.24,78.31,78.47,77.77
76.75,77.47,78.13,76.37
77.36,76.24,77.36,75.68
76.87,76.12,76.92,76.04
77.15,78.10,78.10,77.15
77.45,76.46,77.45,76.46
77.01,76.54,77.30,75.82
77.09,76.91,77.27,76.54
76.14,76.40,76.69,76.14
76.51,76.30,76.51,75.53
76.76,76.81,77.21,76.69
75.50,75.62,75.62,74.59
76.04,75.89,76.15,75.82
76.23,75.73,76.35,75.33
75.49,75.98,76.02,75.22
76.45,76.67,76.77,76.18
76.14,76.08,76.14,75.68
76.05,76.66,77.05,76.05
76.16,76.15,76.47,75.89
76.36,75.60,76.36,75.16
75.40,74.51,75.40,74.21
74.17,75.07,75.07,73.75
73.95,73.38,73.95,72.72
71.57,72.17,72.53,70.98
72.64,72.26,72.87,72.26
72.00,71.51,72.62,71.50
69.98,69.18,70.08,69.18
69.16,67.88,69.44,67.87
69.46,67.60,69.54,67.34
67.09,66.25,67.53,66.25
66.50,65.71,66.50,65.34
65.93,67.25,67.25,65.93
67.01,65.93,67.64,65.63
65.58,65.75,65.78,64.40
66.11,65.37,66.11,64.95
66.12,66.35,66.71,65.82
67.07,67.27,67.60,66.91
65.66,65.84,66.17,65.50
65.50,66.25,66.25,65.05
64.96,64.86,65.64,64.74
65.03,64.75,65.21,64.58
65.23,65.00,65.58,64.80
64.88,66.23,66.46,64.88
67.31,67.00,67.81,66.85
66.04,66.47,66.64,65.70
67.41,65.56,67.41,65.56
65.81,65.93,66.16,65.48
65.72,65.86,66.58,65.72
65.86,66.37,66.37,65.86
66.00,66.22,66.22,65.87
65.89,66.72,66.87,65.89
67.45,68.79,69.06,67.37
68.85,68.59,68.86,68.06
68.01,66.80,68.27,66.75
67.23,66.50,67.23,66.10
65.51,65.15,65.53,64.96
65.34,65.70,65.70,64.90
65.54,65.79,66.27,65.54
65.24,65.83,65.83,64.81
67.79,68.35,68.43,67.79
68.57,69.07,69.07,68.57
69.27,70.20,70.20,69.27
69.49,70.00,70.00,69.37
68.71,68.86,69.04,68.31
68.65,68.49,68.65,68.00
69.42,67.48,69.42,67.48
67.87,67.70,67.99,67.44
66.76,67.23,67.53,66.50
68.11,68.60,68.60,68.11
68.88,68.59,68.88,68.15
68.36,68.97,69.00,68.20
69.06,69.25,69.70,69.06
69.72,69.66,69.95,69.65
69.08,68.71,69.16,68.71
66.79,67.31,67.67,66.42
67.71,67.10,67.71,66.47
67.43,66.90,67.45,66.62
67.77,68.64,68.64,67.56
69.41,70.56,70.79,69.28
70.15,70.47,70.47,70.08
70.00,69.87,70.09,69.87
69.81,69.40,69.81,68.97
68.44,68.57,68.91,68.20
70.36,70.52,70.57,70.17
70.58,71.03,71.31,70.58
71.14,70.63,71.56,70.63
70.43,71.47,71.47,70.43
71.17,71.44,71.44,71.04
71.00,72.11,72.11,70.78
71.50,71.43,71.50,70.97
71.43,70.57,71.54,70.57
70.91,70.74,70.93,70.45
71.14,71.76,71.82,71.00
71.52,71.55,71.83,71.52
71.32,71.69,71.72,71.12
71.97,71.08,72.22,70.69
70.65,70.90,71.26,70.48
70.78,70.06,70.93,70.05
69.96,70.50,70.56,69.76
70.13,69.72,70.23,69.72
69.68,69.74,69.94,69.68
69.23,68.73,69.23,68.65
68.27,68.39,68.52,68.03
68.58,68.61,68.98,68.58
68.57,67.85,68.61,67.85
68.27,68.42,68.54,67.98
69.11,70.01,70.06,69.11
71.17,71.65,71.73,71.17
71.10,70.62,71.17,70.35
71.09,71.19,71.32,71.09
71.16,71.01,71.22,70.64
70.92,72.95,73.01,70.92
74.00,73.83,74.71,73.61
73.31,73.18,73.31,73.18
72.87,73.33,73.35,72.87
73.41,73.22,73.64,72.93
72.67,72.70,72.73,72.21
72.90,72.96,72.96,72.90
72.13,72.41,72.54,72.11
72.29,71.38,72.29,71.38
70.78,71.23,71.35,70.78
71.87,71.87,71.93,71.41
71.02,71.04,71.37,70.78
71.57,71.62,72.00,71.57
71.86,71.71,71.86,71.53
71.76,71.31,71.76,71.18
71.38,71.92,72.27,71.38
72.57,71.95,72.57,71.92
71.67,72.26,72.33,71.67
72.18,71.54,72.32,71.54
71.77,71.01,71.77,70.96
71.74,71.57,71.79,71.57
71.57,71.47,71.80,71.35
72.11,72.13,72.29,71.55
73.00,72.66,73.00,72.50
72.93,73.17,73.32,72.89
72.95,73.20,73.28,72.78
73.14,72.43,73.14,72.32
72.43,72.39,72.53,72.02
70.97,71.09,71.36,70.97
71.31,71.05,71.43,70.97
72.12,71.48,72.12,71.43
71.69,71.40,71.77,71.30
71.41,70.94,71.41,70.63
71.04,71.74,71.76,71.04
72.03,71.45,72.09,71.45
71.24,71.44,71.81,71.22
71.95,72.21,72.55,71.77
71.73,71.54,71.73,71.06
71.14,70.38,71.14,70.24
69.84,70.01,70.29,69.84
70.04,69.85,70.04,69.57
68.95,69.24,69.76,68.89
69.55,68.36,69.55,68.35
68.45,68.20,68.45,67.89
67.88,68.34,68.44,67.88
69.37,69.54,69.72,69.17
69.30,69.71,69.76,69.30
69.33,69.30,69.35,69.01
69.73,70.18,70.18,69.73
70.12,69.93,70.12,69.72
70.26,69.13,70.54,69.12
69.21,69.47,69.54,68.65
69.47,70.06,70.30,69.47
69.54,69.58,69.71,69.17
70.10,69.70,70.25,69.70
70.22,69.51,70.22,69.51
70.25,70.71,70.71,69.70
70.51,70.89,70.94,70.50
71.24,71.27,71.37,70.84
71.18,71.98,71.98,71.18
71.93,72.33,72.56,71.93
72.33,72.55,72.92,72.22
72.91,72.09,72.91,71.96
72.37,72.65,72.79,72.32
72.98,72.94,72.98,72.55
72.76,73.78,73.78,72.70
74.06,74.27,74.48,73.75
73.94,74.22,74.26,73.94
72.34,72.91,73.04,72.34
72.59,72.62,72.96,72.50
73.22,73.14,73.68,73.07
72.84,73.37,73.37,72.82
73.02,73.32,73.47,73.02
72.92,74.30,74.30,72.92
75.22,75.41,75.55,75.15
75.00,75.52,76.09,75.00
75.50,76.02,76.02,75.50
75.64,75.67,75.76,75.47
75.32,74.95,75.32,74.95
75.09,75.64,75.71,75.09
75.87,76.55,76.68,75.60
76.14,75.78,76.14,75.57
76.14,76.04,76.36,75.95
75.97,75.87,75.97,75.65
75.61,75.81,75.90,75.43
76.27,76.28,76.64,76.27
76.21,76.56,76.56,76.06
76.19,76.62,76.75,75.97
76.51,76.35,76.63,76.35
76.92,76.34,76.94,76.20
76.57,76.46,76.75,76.18
76.04,76.18,76.24,75.96
76.38,77.00,77.00,76.34
76.42,76.43,76.69,76.10
76.48,76.59,76.74,76.15
76.84,77.21,77.26,76.84
76.41,76.20,76.47,76.02
76.92,76.33,76.92,76.26
76.10,76.05,76.17,75.74
76.92,75.81,76.92,75.56
76.23,76.07,76.23,75.57
75.64,75.75,75.77,75.51
75.74,75.88,76.00,75.55
75.55,75.70,75.94,75.48
75.01,75.45,75.45,75.00
75.35,75.53,75.68,75.33
75.53,75.73,75.95,75.50
75.50,74.27,75.58,74.13
73.68,73.26,73.68,73.06
74.16,74.06,74.16,73.66
74.05,73.61,74.33,73.52
73.53,73.35,73.53,72.51
73.45,73.91,73.92,73.45
74.14,74.35,74.65,74.12
73.80,74.15,74.15,73.77
73.84,74.02,74.18,73.48
74.89,74.55,74.95,74.54
75.00,75.32,75.53,74.69
75.71,75.95,76.25,75.49
75.90,76.60,76.62,75.90
76.50,76.22,76.50,75.81
76.19,76.13,76.55,75.87
75.95,74.89,75.95,74.89
74.89,74.78,75.27,74.39
75.32,74.15,75.32,74.15
73.42,73.83,73.97,73.39
73.89,73.39,73.96,72.95
73.42,73.27,73.49,73.12
72.96,72.62,73.23,72.57
72.56,72.61,72.85,72.48
72.99,72.59,73.10,72.26
73.43,73.27,73.46,73.20
72.79,73.93,74.04,72.79
74.37,74.22,74.37,73.80
74.01,73.72,74.04,73.57
73.70,73.21,73.73,73.12
72.92,72.59,73.06,72.56
73.26,72.65,73.26,72.46
72.00,73.48,73.48,71.72
73.74,73.29,73.74,73.08
74.00,74.65,75.05,73.62
75.10,75.24,75.71,75.10
75.38,74.81,75.38,74.61
74.38,74.44,74.59,73.64
73.42,72.37,73.42,72.25
72.57,72.65,72.66,72.32
71.79,71.09,71.88,70.74
71.53,71.13,71.53,70.69
71.36,72.05,72.05,71.36
71.42,71.82,71.87,71.42
72.08,72.59,72.80,72.08
72.66,72.84,72.95,72.54
72.91,73.08,73.49,72.91
72.30,72.17,72.30,72.07
72.72,72.60,72.72,72.29
72.18,73.77,73.77,72.18
73.62,72.80,73.62,72.79
73.25,73.14,73.29,73.02
73.81,74.06,74.48,73.81
73.61,73.40,73.61,73.24
73.73,74.29,74.51,73.73
74.42,74.26,74.70,74.02
74.25,73.62,74.50,73.62
73.51,73.10,73.51,72.99
72.99,72.81,73.07,72.70
72.76,72.44,73.09,72.44
72.70,72.48,72.79,72.39
72.50,72.11,72.74,72.11
72.12,72.18,72.18,72.12
72.25,72.28,72.28,72.18
72.00,72.20,72.44,71.65
72.54,71.46,72.99,71.46
71.05,71.51,71.60,70.70
70.78,71.23,71.23,70.78
71.29,70.84,71.55,70.84
70.22,69.56,70.22,69.45
69.00,69.22,69.81,68.82
68.82,68.08,68.82,67.64
68.02,68.51,68.51,67.88
68.74,68.21,68.74,67.70
68.28,67.05,68.32,66.95
67.00,67.13,67.13,66.74
66.66,66.59,67.22,66.50
66.07,66.21,66.24,65.79
64.76,64.69,65.29,64.27
65.12,63.73,65.28,63.63
64.12,65.14,65.14,64.09
65.10,64.58,65.14,64.31
64.66,64.39,64.85,63.93
63.81,63.76,64.34,63.74
64.00,62.05,64.00,61.75
