VOT,Vanguard Mid-Cap Growth ETF - DNQ,NASDAQ
67.60,67.72,67.76,67.42
68.24,68.01,68.26,67.74
68.32,68.11,68.35,67.90
68.00,68.31,68.61,67.95
68.75,68.02,68.82,67.77
68.07,67.79,68.20,67.45
68.30,67.49,68.30,67.14
67.65,66.94,67.68,66.75
66.40,66.26,66.64,65.98
66.72,66.76,66.98,66.31
66.35,66.73,66.75,66.07
66.76,67.27,67.32,66.61
66.37,66.37,66.50,65.75
66.57,66.73,66.75,66.19
67.88,68.08,68.09,67.73
68.52,68.67,68.67,68.19
68.71,68.50,68.79,68.25
68.78,68.93,69.18,68.65
69.05,69.25,69.29,68.48
69.13,69.09,69.31,68.89
69.31,69.43,69.51,69.08
69.58,69.05,69.80,68.94
68.94,68.25,68.95,67.87
68.27,67.62,68.27,67.24
67.21,67.49,68.12,66.98
68.17,67.97,68.74,67.63
67.95,68.65,68.79,67.95
68.92,69.46,69.58,68.78
69.33,68.66,69.39,68.28
68.28,69.04,69.18,67.94
69.02,68.47,69.21,68.34
68.18,67.83,68.75,67.75
67.46,67.41,67.71,66.86
67.50,68.50,68.55,67.42
68.85,68.61,68.90,68.14
68.40,68.26,68.58,67.77
67.14,67.18,67.48,66.95
67.46,67.06,67.71,66.91
66.90,67.70,67.91,66.76
67.57,68.32,68.40,67.52
68.60,68.69,68.88,68.52
69.43,69.22,69.46,68.57
69.11,67.61,69.23,67.57
67.73,67.76,68.17,67.29
66.84,66.90,67.57,66.70
66.71,65.78,66.96,65.78
66.16,66.00,66.51,65.86
65.78,65.29,65.92,65.20
65.37,65.81,66.03,65.22
65.47,64.70,65.55,64.63
64.64,64.23,65.09,63.87
64.87,65.36,65.56,64.87
64.87,64.31,65.28,64.18
64.30,63.96,64.50,63.31
64.64,63.98,64.64,63.82
63.80,64.42,64.53,63.80
64.82,65.98,66.03,64.79
65.68,65.68,66.35,65.67
64.89,65.95,66.01,64.36
66.05,65.19,66.07,65.10
65.21,65.68,65.86,64.75
65.95,66.95,66.96,65.89
67.25,67.39,67.70,66.82
67.51,68.02,68.21,67.51
68.10,68.97,69.07,67.87
69.20,69.24,69.36,68.84
69.15,69.36,69.46,68.80
70.07,70.17,70.39,69.98
69.12,69.60,69.60,68.88
68.86,67.92,68.99,67.74
67.74,67.42,68.06,67.37
67.73,67.85,68.64,67.72
68.04,66.99,68.41,66.79
67.50,67.88,67.90,67.25
67.60,67.06,67.60,66.58
67.49,68.61,68.67,67.49
68.74,68.28,68.74,68.00
68.54,68.84,69.11,68.30
68.83,69.22,69.35,68.66
68.38,68.73,69.14,68.34
68.55,68.29,68.58,68.09
67.89,66.43,67.89,66.29
66.31,66.03,67.00,65.95
65.28,65.93,66.40,64.84
66.97,65.51,66.97,64.86
64.98,63.36,65.59,63.30
63.43,63.82,63.85,61.84
62.93,59.68,62.93,59.68
60.36,58.91,60.65,57.23
56.55,54.25,57.50,54.06
