AVNW,Aviat Networks,NASDAQ
81.00,82.92,83.16,81.00
82.92,84.00,84.36,82.44
82.92,84.60,84.96,82.44
84.96,87.24,87.60,84.96
86.88,88.20,89.04,86.52
87.48,82.92,89.04,82.80
83.28,83.40,84.00,81.48
84.24,84.96,85.20,83.04
84.72,77.76,85.20,77.64
78.12,79.20,82.20,76.92
77.40,75.72,78.48,72.48
74.76,72.60,74.76,72.36
63.00,57.00,63.00,56.64
57.48,55.44,57.48,52.20
58.44,54.84,60.24,54.00
54.12,54.24,55.32,53.64
54.24,55.80,56.04,53.52
55.80,55.56,56.88,54.84
54.84,54.48,55.08,53.52
55.08,53.76,55.44,53.34
54.36,53.04,54.60,52.68
53.04,51.60,53.04,50.28
50.04,51.00,52.56,49.44
49.92,52.68,54.96,49.92
52.80,51.36,53.04,50.64
49.80,51.84,52.20,48.60
52.08,51.72,53.76,51.00
52.08,54.72,54.72,51.84
54.36,52.92,54.96,52.68
52.20,50.64,52.92,50.64
51.00,53.88,53.88,51.00
53.52,52.80,54.00,51.48
51.00,49.08,52.08,49.08
49.20,47.76,49.68,47.28
47.76,46.32,48.60,46.20
46.92,43.80,46.92,43.20
44.76,45.96,47.76,43.92
45.48,46.92,48.00,45.48
47.64,45.60,48.84,45.36
45.96,46.44,46.92,44.52
46.20,46.80,47.64,45.48
47.28,45.48,47.28,45.36
45.60,45.60,45.96,45.00
46.56,45.48,47.04,45.00
45.36,44.76,45.72,44.76
44.88,45.60,45.84,44.40
44.88,45.00,46.44,44.52
44.76,45.84,46.32,44.64
45.60,44.28,45.90,44.16
43.20,42.96,43.92,42.60
43.08,43.56,44.76,42.96
43.56,42.00,43.80,41.88
42.48,42.00,43.32,41.52
42.72,41.52,43.08,40.32
41.52,44.28,44.40,41.28
44.40,45.36,45.72,44.04
44.04,48.48,50.04,44.04
48.48,48.60,49.68,47.88
49.32,48.48,49.32,47.88
49.08,47.16,49.08,46.56
47.16,47.04,47.16,46.32
46.44,45.12,46.44,45.00
46.26,46.08,46.44,45.24
45.66,47.28,47.40,45.42
47.16,46.80,48.00,46.68
47.40,49.20,49.50,47.28
48.84,50.88,51.24,48.60
51.24,51.36,52.80,50.40
51.96,49.92,51.96,49.32
49.56,48.60,51.00,48.36
49.20,48.60,49.32,47.52
47.64,48.48,49.20,47.52
48.72,48.48,49.80,48.48
48.48,48.00,49.44,47.88
48.36,49.20,49.32,47.76
48.84,48.60,49.80,48.60
48.00,48.00,48.60,46.92
48.48,49.68,49.80,47.40
49.32,48.00,49.44,47.88
46.92,45.60,48.24,44.94
45.00,47.52,47.64,45.00
47.16,47.40,48.00,47.16
46.92,48.48,48.84,46.92
49.20,49.32,49.44,48.48
49.08,48.12,49.20,48.00
47.76,49.80,51.96,47.76
49.68,48.60,50.16,48.24
48.84,46.92,49.32,46.92
46.80,46.44,48.12,46.32
46.20,46.08,47.52,45.24
45.24,48.00,49.20,44.40
48.84,50.52,50.88,47.28
50.16,47.76,50.40,47.76
47.88,47.40,48.72,46.92
48.24,48.00,48.84,47.16
48.12,49.44,49.44,47.28
49.92,48.84,49.92,48.72
48.48,47.28,48.53,47.04
47.52,46.80,47.64,46.68
47.52,46.08,48.36,45.60
46.56,46.68,46.80,45.60
47.04,48.60,48.96,46.92
48.60,49.08,49.08,47.64
48.96,50.88,51.12,48.43
50.52,48.48,50.52,48.24
49.20,47.16,49.44,46.44
47.16,48.60,48.60,47.04
48.72,48.96,49.32,48.00
48.60,48.48,49.32,48.12
48.12,48.12,48.90,48.12
48.96,48.36,49.20,48.12
48.60,48.84,49.32,48.60
48.72,48.12,49.20,47.28
48.00,48.96,49.08,48.00
49.44,49.08,49.44,48.47
49.44,49.08,49.56,47.88
48.72,48.00,49.20,48.00
48.60,50.64,50.64,48.12
50.40,49.44,50.64,49.08
50.04,49.44,50.16,49.20
49.44,50.16,50.28,48.58
50.28,48.96,50.28,48.84
48.72,49.20,49.92,48.72
49.44,51.96,54.72,48.96
52.44,55.32,56.04,51.60
56.16,53.28,56.40,52.92
53.40,53.76,53.76,52.20
52.68,51.48,53.64,50.64
51.96,54.36,54.36,51.12
54.60,52.56,55.20,51.96
52.68,53.40,54.00,52.68
53.76,52.92,54.60,52.68
52.32,53.76,54.24,51.93
53.40,53.88,54.24,52.55
54.60,52.44,55.19,52.44
52.32,54.60,54.84,51.96
54.96,53.52,55.68,52.92
54.36,54.84,55.56,53.88
54.72,56.64,56.76,54.72
57.96,56.64,59.04,53.52
56.40,52.56,56.40,52.44
52.08,51.36,53.04,50.16
51.60,50.52,52.32,49.82
50.76,52.68,52.80,50.76
51.84,52.32,52.80,51.12
51.60,52.56,52.92,51.36
50.88,51.36,52.56,50.64
50.76,49.20,51.12,48.24
49.20,49.44,49.80,48.48
49.92,51.12,51.36,49.80
51.36,51.24,51.60,49.92
50.88,49.68,50.88,48.96
49.20,48.96,49.56,48.12
49.32,50.76,50.76,48.72
50.40,50.64,51.12,49.56
50.16,51.72,52.20,49.20
51.24,49.68,51.24,48.84
50.64,51.12,51.72,49.68
51.12,52.20,52.68,50.52
51.72,53.76,54.36,51.36
53.88,56.04,56.04,53.16
56.40,57.12,58.32,56.40
57.00,57.12,58.08,54.60
57.60,60.36,60.36,57.00
60.36,63.00,64.44,59.28
63.12,60.00,63.48,60.00
60.36,60.12,60.60,59.76
55.56,60.60,61.80,55.44
60.60,62.04,62.28,60.12
61.92,61.92,62.64,61.32
61.80,61.32,63.24,61.32
61.68,61.92,62.16,61.20
61.92,62.88,63.84,60.84
62.64,60.84,63.24,60.72
60.48,60.60,60.96,60.01
60.84,59.64,61.08,59.40
59.52,60.72,61.32,59.52
60.48,60.00,61.08,59.52
59.52,60.84,61.32,59.40
61.44,61.56,61.80,60.36
61.92,61.53,62.04,60.72
61.44,63.00,63.00,60.96
63.00,62.76,63.36,62.16
62.76,64.32,64.32,61.75
64.08,63.60,64.20,62.04
64.32,65.52,66.36,61.80
66.12,66.03,67.08,65.28
66.60,65.16,66.60,64.56
65.28,65.16,65.88,64.56
64.92,64.41,65.05,63.84
64.44,62.16,65.40,62.04
61.80,61.32,62.88,61.32
61.56,60.24,62.76,60.12
60.12,61.56,61.68,60.12
60.96,60.96,61.92,60.36
61.32,62.19,62.64,59.88
61.92,63.00,63.24,61.08
63.12,60.72,63.12,60.48
61.08,62.28,63.72,60.71
62.52,65.76,66.60,62.52
65.52,64.32,66.60,64.20
64.08,62.64,64.20,62.64
72.72,74.76,78.00,72.36
75.12,74.52,76.26,72.60
74.40,73.68,75.60,73.32
73.32,72.12,73.68,71.52
71.40,73.32,73.68,69.84
72.72,76.44,76.68,72.12
76.56,75.96,77.52,75.36
75.96,75.00,75.96,73.80
75.60,75.60,76.32,74.52
75.60,75.72,76.20,74.76
76.44,75.12,76.56,74.88
74.04,73.08,74.04,72.48
73.44,70.20,73.68,70.20
70.20,72.12,72.36,70.20
72.36,76.08,76.56,71.40
76.56,73.32,77.40,72.00
74.88,70.32,75.24,69.96
70.20,73.56,73.92,70.20
74.40,73.80,75.24,73.44
74.04,72.36,74.52,70.44
72.48,71.40,72.60,68.88
71.28,71.70,72.00,69.96
71.28,71.04,72.36,69.84
69.84,68.04,69.84,67.68
67.44,69.72,69.72,67.20
68.52,67.44,69.12,67.32
65.52,64.92,65.52,61.20
64.56,64.20,64.80,61.80
65.52,62.16,65.52,61.56
63.00,63.96,64.68,61.81
65.04,65.52,65.52,63.60
65.40,63.00,65.76,62.88
62.76,62.88,63.84,61.68
63.24,63.48,63.84,63.12
63.84,62.28,64.32,62.28
62.40,61.92,63.48,61.92
61.80,62.16,62.40,61.44
62.40,62.40,62.40,61.56
62.04,62.04,62.52,61.68
62.28,61.32,62.40,60.84
61.68,61.08,61.92,60.60
60.84,59.88,61.44,59.64
59.88,61.32,63.12,59.88
61.44,61.56,61.80,61.20
62.04,61.80,62.40,60.96
61.56,62.04,63.00,61.56
61.44,61.56,61.92,60.72
62.16,61.56,62.16,60.48
60.84,60.84,61.92,60.60
60.60,61.80,61.95,60.36
60.72,60.12,60.72,59.40
58.68,59.52,60.60,58.68
60.48,60.72,61.20,60.48
61.32,60.30,61.32,60.12
60.00,60.24,60.84,59.28
60.36,61.32,61.92,60.12
61.56,62.52,62.52,60.96
62.52,61.44,63.45,61.08
61.44,61.44,62.40,61.20
61.56,59.88,61.62,58.92
59.76,59.40,60.48,59.05
59.40,58.20,59.40,58.08
57.96,56.88,58.32,56.76
55.44,55.56,56.64,52.80
55.56,55.68,56.28,54.72
56.04,59.16,59.16,55.94
58.92,55.92,58.92,55.80
55.20,56.64,57.60,55.20
56.64,55.68,58.08,55.44
55.08,54.60,56.04,54.60
54.12,54.00,56.16,53.28
54.24,55.68,56.16,54.24
56.04,55.62,56.40,54.84
55.20,54.96,55.92,54.84
53.88,54.36,55.32,53.52
54.36,55.20,55.92,54.12
54.84,55.44,56.28,54.84
55.32,55.92,56.28,54.60
56.04,55.20,56.16,54.96
55.92,56.04,56.16,54.90
55.80,53.04,55.80,52.80
53.04,56.04,56.40,52.20
54.84,55.08,56.16,54.00
55.20,54.48,55.92,54.48
55.08,53.16,55.08,53.16
52.80,48.96,53.04,48.84
49.08,47.64,49.08,47.52
47.28,45.96,48.48,45.60
45.96,45.60,45.96,43.80
46.20,47.16,47.40,45.96
46.32,45.36,46.92,44.16
45.12,45.72,46.68,45.12
46.20,45.60,46.20,44.22
45.24,45.48,45.60,44.64
45.84,47.28,47.28,45.12
46.80,46.20,46.80,46.20
45.36,46.44,46.68,44.88
46.44,44.40,46.56,44.16
44.52,45.72,45.72,43.80
45.72,46.20,46.32,45.36
46.32,45.96,46.32,45.36
46.32,47.28,47.40,45.96
47.40,47.52,47.76,45.60
47.40,47.76,48.24,46.68
47.52,47.88,48.12,47.04
48.36,48.48,48.84,47.04
47.40,47.04,47.76,47.04
46.20,45.48,47.11,45.24
45.12,45.36,46.20,45.12
45.84,45.60,46.20,45.12
45.60,44.76,46.92,43.32
44.88,45.96,47.04,44.64
46.44,48.84,50.16,45.96
49.20,49.80,50.28,48.84
49.56,49.56,49.80,48.96
49.80,50.52,52.80,49.68
50.64,50.52,50.76,50.04
50.04,49.92,50.52,49.44
49.92,50.16,50.52,49.80
49.68,48.72,50.16,47.76
48.96,48.36,48.96,47.40
47.52,46.44,47.76,46.32
47.04,46.20,47.16,45.60
45.72,44.28,44.64,42.60
44.16,44.16,44.64,42.60
43.32,40.08,43.92,40.08
40.68,39.36,41.52,38.40
37.80,35.40,39.00,35.28
35.04,37.08,37.32,34.32
36.00,35.28,37.14,34.56
35.64,35.88,37.08,35.16
36.24,36.24,38.22,35.40
36.66,36.48,37.79,36.00
36.12,35.76,36.48,35.04
35.88,36.00,37.08,34.80
34.80,33.12,35.04,32.16
32.52,33.48,34.68,32.52
34.80,32.88,34.80,32.64
33.00,35.16,35.16,32.16
35.16,35.64,36.00,34.13
32.64,29.64,33.48,28.80
28.68,30.24,31.68,28.56
30.72,30.24,30.84,29.71
29.88,30.12,30.36,29.28
30.12,31.20,32.28,30.12
31.44,30.00,32.16,29.76
29.16,28.56,29.88,28.32
27.24,27.48,30.48,27.12
28.08,30.24,30.50,27.96
30.00,28.44,31.08,28.44
28.08,29.88,31.32,27.96
29.16,29.88,30.84,27.96
30.36,31.80,32.16,29.88
32.28,33.00,33.36,31.32
33.36,33.00,34.20,32.16
33.24,33.12,34.32,33.00
31.44,32.16,34.08,31.44
32.40,31.20,33.60,30.84
31.08,31.80,32.76,30.96
30.48,30.60,32.16,30.00
30.72,32.16,32.28,30.12
32.40,31.20,32.40,29.76
32.28,32.52,33.48,30.72
32.28,29.76,32.88,29.76
30.72,29.88,31.08,28.80
29.28,28.20,30.72,27.96
27.84,27.36,29.76,27.36
27.00,30.60,30.84,26.88
30.60,30.96,32.04,30.00
31.32,31.92,32.04,30.72
31.68,29.64,32.04,29.28
30.36,29.64,32.04,28.32
29.40,29.52,29.88,28.80
29.64,31.56,31.80,29.40
31.20,30.96,31.44,30.25
31.32,31.32,32.28,30.36
30.72,29.52,30.72,29.28
29.88,30.48,30.84,29.64
30.48,28.08,30.48,28.08
27.96,26.52,28.20,25.32
27.24,26.76,27.48,26.52
25.92,24.72,26.88,24.24
24.48,23.16,24.84,22.80
23.52,25.20,25.44,23.04
25.32,25.80,26.40,24.60
25.56,25.08,26.04,24.72
24.60,24.60,25.92,24.36
23.76,23.52,24.36,23.04
24.24,24.84,25.32,23.76
23.16,27.36,27.72,23.16
26.88,27.36,27.36,26.52
27.36,26.16,27.48,25.56
26.52,26.16,26.64,24.48
25.32,24.96,25.68,24.48
25.56,25.32,25.68,24.24
25.68,26.76,27.00,25.44
22.92,25.32,26.64,22.92
25.08,25.80,25.80,24.78
25.32,24.00,25.92,23.94
24.12,24.00,24.36,23.28
23.88,23.76,23.88,23.16
23.28,22.32,23.52,22.22
22.56,21.36,22.68,21.00
21.12,20.28,21.60,20.28
20.28,19.44,20.76,19.44
20.52,20.40,21.00,19.80
20.52,20.52,21.00,19.80
21.72,21.12,21.72,20.40
20.88,21.00,21.60,20.76
21.48,21.00,21.48,20.28
21.48,22.08,22.20,21.24
21.96,21.36,21.96,21.00
21.36,22.08,23.04,21.12
21.72,20.64,21.72,20.52
20.76,21.00,21.48,20.52
20.52,21.36,21.60,20.52
21.60,20.76,21.84,20.64
20.52,21.36,21.48,20.40
21.60,21.60,21.60,20.88
21.60,20.64,22.20,20.64
21.00,19.68,21.60,19.56
20.16,20.64,21.00,19.80
20.52,21.36,21.60,20.04
21.24,22.80,22.92,20.52
22.80,23.52,23.64,22.56
23.28,22.56,24.12,22.08
22.56,22.20,22.68,21.48
22.44,22.32,22.56,22.20
22.20,21.96,22.44,21.72
22.20,22.20,22.56,21.60
22.20,21.60,22.20,21.60
21.60,21.36,21.60,21.12
21.36,21.24,21.36,20.88
22.68,24.24,25.68,22.44
24.72,24.24,25.32,23.40
24.00,25.44,26.04,23.65
25.56,24.60,25.56,24.12
24.24,24.36,24.72,23.52
24.48,23.88,24.60,23.40
24.00,25.32,25.32,23.76
25.44,26.88,27.00,25.44
26.76,25.92,26.76,25.32
26.16,26.40,26.64,25.44
26.28,27.12,27.48,25.80
27.00,26.76,27.00,25.80
26.88,25.32,26.88,25.20
25.08,25.56,26.04,25.08
25.44,25.44,25.92,24.60
25.80,26.64,26.88,25.56
26.88,28.68,29.28,25.80
29.88,27.48,29.88,26.28
28.20,28.80,29.52,27.66
28.68,28.92,29.88,28.20
28.80,28.68,29.04,28.08
28.80,29.04,29.16,27.72
29.04,28.44,29.71,28.32
28.44,28.20,28.68,27.84
28.68,29.40,29.76,28.32
29.28,30.24,30.48,28.92
30.48,30.60,30.60,29.40
30.60,32.40,32.40,30.12
32.64,33.84,34.20,32.04
34.08,32.04,34.08,31.20
31.20,31.92,32.52,31.20
32.04,32.52,32.88,31.80
32.52,32.52,32.76,32.04
32.16,31.80,33.12,30.96
31.80,32.52,33.00,31.68
32.52,31.56,32.64,31.44
31.80,30.24,31.92,30.12
30.00,28.80,31.08,28.80
28.56,29.76,30.00,28.32
29.64,28.68,29.64,28.20
28.92,28.68,28.92,28.50
29.04,29.88,30.01,28.44
29.88,32.28,32.64,29.64
31.80,32.52,32.64,31.32
32.88,33.00,33.00,31.32
32.88,33.24,33.72,31.44
33.24,33.12,33.72,32.52
33.24,35.64,39.60,32.76
35.40,36.72,37.20,34.44
36.12,34.80,36.60,34.68
35.04,34.32,35.16,33.84
33.84,34.32,34.80,32.76
34.32,36.00,36.24,33.72
36.36,36.60,36.84,35.64
36.60,35.88,37.08,35.88
35.88,35.64,36.00,34.56
35.28,35.88,36.48,35.16
36.36,33.84,36.36,33.84
33.60,34.32,34.32,31.80
33.96,33.24,34.92,33.00
32.76,31.80,33.36,31.68
31.56,32.64,33.72,31.20
31.80,32.16,33.00,31.08
32.16,31.08,32.88,30.72
31.44,31.20,31.68,30.72
31.32,31.32,31.68,30.96
30.96,29.64,31.55,29.64
29.76,30.60,31.20,28.80
31.08,30.60,31.32,30.37
30.36,30.12,31.68,29.28
30.00,30.12,31.44,29.76
30.60,29.76,30.60,29.28
29.28,30.00,30.12,29.28
30.00,30.72,30.84,29.64
31.20,32.16,32.28,30.60
32.04,31.32,32.04,30.12
31.44,30.60,31.44,29.88
30.72,30.60,31.32,30.00
30.72,31.80,32.28,30.48
31.68,31.56,32.16,30.48
35.28,34.20,36.36,34.08
33.84,33.36,34.32,32.88
33.24,34.20,34.68,33.00
33.84,33.60,34.68,33.48
33.00,33.72,34.14,33.00
33.84,33.24,33.96,33.12
32.88,32.52,33.84,32.40
32.16,31.92,32.16,30.96
31.92,31.44,32.88,31.08
31.44,30.96,31.68,30.73
30.96,29.88,31.44,29.64
29.64,29.04,30.12,28.86
29.28,30.00,30.12,28.92
30.00,30.00,30.66,30.00
29.52,30.72,30.96,28.68
30.60,30.12,30.72,29.04
29.88,29.52,31.56,28.80
29.52,30.24,30.72,29.52
29.76,30.12,30.72,28.98
30.12,31.08,31.20,29.28
30.12,28.92,30.72,28.56
29.16,29.40,30.00,28.80
29.16,28.68,29.40,27.96
29.04,30.12,30.36,28.68
30.72,29.04,30.84,28.92
28.92,32.16,32.76,28.80
32.76,32.04,32.76,30.72
32.16,32.64,33.11,31.68
32.52,31.56,33.00,31.44
31.44,33.48,33.60,31.32
33.24,34.56,34.56,32.88
34.32,33.60,34.56,33.12
33.60,33.84,34.56,33.36
34.20,34.32,34.44,33.12
34.32,33.84,34.32,33.60
34.20,35.04,35.16,33.48
34.32,34.68,35.16,33.24
34.68,33.24,34.68,33.06
33.12,33.60,35.04,33.12
33.24,32.76,33.60,32.04
33.48,33.60,34.44,33.24
33.84,33.54,34.20,32.52
33.48,33.48,33.72,32.76
33.36,33.24,33.96,33.24
33.00,32.64,33.60,31.80
32.52,33.36,33.60,32.28
33.48,32.88,33.48,32.52
33.00,32.76,33.12,31.08
32.28,32.88,33.36,31.68
32.88,32.52,33.60,31.92
32.52,32.40,32.64,31.68
32.76,32.16,32.76,31.56
32.16,32.28,32.40,31.92
32.40,31.56,32.40,31.44
31.68,31.20,31.80,30.72
30.36,29.40,30.36,29.16
29.64,28.68,30.36,28.08
28.92,28.80,29.52,28.56
29.28,28.56,30.24,28.20
28.56,26.64,28.56,26.04
26.76,27.36,27.84,26.52
27.36,27.12,27.72,26.16
27.12,26.28,27.84,26.28
26.16,25.32,26.40,24.36
25.44,25.32,26.16,24.96
25.20,25.80,25.80,25.08
26.04,26.28,26.52,25.68
26.28,27.24,27.36,25.56
27.24,27.42,27.48,26.88
27.36,27.12,27.48,26.52
26.88,27.72,27.84,25.80
27.96,27.84,28.20,27.60
27.96,28.20,28.44,27.60
27.48,29.64,30.12,27.36
29.52,30.00,30.00,29.16
30.00,29.88,30.36,29.16
29.88,29.16,31.20,29.16
29.28,29.52,29.64,28.80
29.40,28.32,29.40,27.96
28.08,28.20,28.68,27.48
28.44,27.60,28.56,27.60
27.72,27.84,28.26,27.48
28.08,27.24,28.08,26.88
26.40,26.40,26.88,26.04
26.52,27.36,27.60,26.28
27.48,27.24,27.48,26.76
27.60,27.72,27.96,27.00
27.96,27.48,28.56,27.24
27.72,26.88,27.72,26.52
27.00,26.76,27.00,26.28
26.52,27.12,27.12,26.52
27.12,28.20,28.20,27.12
28.20,31.20,31.80,27.96
31.32,30.84,32.28,30.72
30.48,30.60,31.44,30.36
30.60,29.88,30.72,29.88
30.24,29.64,30.24,29.16
29.28,30.24,30.36,28.32
30.84,30.00,30.84,29.04
29.52,28.92,30.00,28.32
29.04,29.76,30.00,29.04
30.00,29.76,30.48,29.52
30.00,29.16,30.00,28.92
28.92,28.56,29.64,28.32
28.92,28.44,29.40,28.20
28.68,28.44,28.80,28.20
28.56,27.36,28.92,27.36
27.60,27.60,27.96,27.30
27.60,28.20,28.26,27.48
27.96,27.84,27.96,27.48
27.96,27.96,28.20,27.36
27.84,27.60,27.84,27.06
27.72,28.68,29.28,27.48
28.56,28.20,28.56,27.12
28.20,28.32,28.44,27.60
28.56,28.80,29.04,28.20
28.80,28.80,29.58,28.56
28.80,27.96,29.16,27.96
27.84,28.44,28.80,27.60
28.44,29.16,29.40,28.32
28.92,29.40,29.64,28.56
29.52,29.16,29.88,28.68
29.40,28.44,29.40,28.20
28.44,28.92,29.76,28.44
26.40,27.36,28.20,26.40
27.36,27.60,28.20,26.88
33.48,31.80,35.40,31.21
31.92,32.04,33.00,31.80
32.04,32.16,32.88,31.80
31.68,31.08,32.16,30.84
31.20,30.36,31.56,30.36
30.36,30.60,31.08,30.12
30.60,29.64,30.96,29.40
29.28,30.72,31.08,29.28
30.36,30.12,30.96,29.21
30.24,28.32,30.24,27.96
28.20,28.92,29.10,27.84
29.04,29.40,29.64,28.92
28.92,28.32,28.92,27.96
28.56,27.84,29.52,27.72
27.96,28.92,29.16,27.72
28.92,30.48,30.48,28.56
30.48,31.44,32.40,30.48
31.20,32.64,33.00,30.60
33.00,31.08,33.60,30.84
31.56,33.00,33.24,31.56
33.12,33.72,34.20,32.77
33.60,32.64,33.96,31.56
32.76,33.36,33.36,31.92
33.24,32.88,33.30,31.92
33.00,33.12,33.24,32.16
33.24,34.56,34.80,33.12
34.92,35.64,36.36,34.68
35.88,35.16,35.88,34.68
35.28,35.40,35.88,35.16
35.16,35.04,36.00,34.44
35.16,35.52,36.24,35.16
35.64,35.52,36.24,35.28
35.64,36.24,36.47,35.46
36.24,38.88,38.88,36.12
39.12,38.76,39.24,37.20
39.24,36.96,39.36,36.36
37.20,38.16,38.52,37.20
38.28,39.24,40.14,37.68
39.48,39.84,40.44,38.98
39.84,39.48,40.68,38.76
40.08,41.52,42.00,39.00
41.52,42.00,42.00,41.10
42.48,40.68,42.72,40.68
40.08,39.96,40.08,36.00
40.08,39.84,40.08,38.41
40.08,40.20,40.44,38.64
40.08,39.12,40.08,38.40
39.24,39.84,39.96,38.76
46.68,42.72,46.68,42.36
42.72,43.56,43.68,41.64
43.56,44.28,44.40,42.84
44.40,43.44,44.52,42.84
43.44,44.16,44.40,42.36
44.28,45.00,45.18,43.68
45.12,43.92,45.36,43.36
43.80,43.44,43.98,42.96
44.04,43.44,44.40,42.96
43.56,43.44,44.52,43.08
43.68,43.32,43.74,42.36
43.56,44.88,45.00,43.44
39.84,45.00,45.24,38.64
45.60,44.88,45.72,44.04
44.16,43.92,45.84,43.68
44.28,44.28,45.24,44.04
44.04,44.52,44.76,44.04
44.16,44.64,44.76,43.92
44.88,44.64,44.94,44.46
44.76,44.76,44.88,44.40
44.64,44.40,44.76,44.04
44.40,44.16,44.76,44.16
43.92,44.76,46.80,43.92
45.24,45.00,46.08,44.76
45.00,43.68,45.60,41.52
43.56,44.04,45.60,43.44
44.04,44.64,45.12,43.08
44.88,44.40,44.88,43.86
44.64,42.72,45.42,42.48
42.72,43.20,43.44,42.48
42.72,42.72,43.92,42.24
42.60,42.72,43.44,42.12
42.36,43.20,43.38,41.40
42.96,42.24,43.20,41.64
42.24,42.24,42.48,41.64
42.24,42.96,43.68,42.24
42.96,43.56,44.16,42.24
43.68,43.56,44.40,42.84
43.32,42.36,43.56,41.88
42.12,42.00,43.08,41.64
42.12,41.76,42.84,41.52
41.64,42.12,42.60,41.64
42.00,42.36,42.60,41.40
41.88,41.52,42.24,41.16
41.52,41.16,42.12,40.20
41.28,40.80,41.52,40.68
40.44,39.48,40.80,39.24
39.48,40.68,41.16,39.48
40.68,41.16,42.00,40.20
41.40,40.20,41.64,39.24
39.84,40.32,40.44,39.36
40.68,40.44,41.04,39.96
40.32,40.20,40.44,38.64
40.32,39.24,40.44,38.88
39.24,39.12,39.96,38.73
39.24,38.40,39.24,38.04
37.68,38.16,39.48,37.08
37.92,35.40,38.16,34.92
35.40,35.04,36.00,34.80
35.16,36.48,36.72,34.92
36.60,35.28,36.72,34.56
35.52,34.68,36.00,34.20
34.44,33.24,35.40,33.06
33.60,34.20,34.56,33.24
33.84,33.48,33.96,32.40
33.36,33.48,34.31,32.52
33.36,33.60,34.20,32.88
33.72,33.84,34.20,31.92
33.84,36.00,36.00,33.73
35.88,35.64,36.00,35.04
35.64,37.68,37.92,35.64
37.68,37.32,37.80,36.60
37.56,38.52,38.64,37.32
39.24,38.40,39.24,37.56
38.04,35.64,38.76,35.64
33.84,30.84,36.00,30.00
30.96,30.84,31.80,30.24
30.72,31.08,31.56,30.72
30.96,31.44,31.80,30.84
31.44,32.04,32.04,30.96
31.68,31.32,31.92,31.26
31.20,31.44,31.92,31.08
31.44,30.84,31.68,30.72
30.96,32.16,32.28,30.84
32.04,31.80,32.28,31.32
31.80,31.56,31.92,31.32
31.56,31.80,31.80,30.84
31.44,31.92,32.16,30.84
32.04,32.16,32.28,31.68
32.04,31.32,32.88,31.20
31.08,32.28,32.28,30.36
32.28,31.92,32.28,31.20
32.16,32.40,32.88,31.68
32.16,32.76,32.88,32.01
32.76,32.52,32.76,31.92
32.28,31.80,32.52,31.74
31.32,33.24,33.60,30.84
33.12,33.96,34.68,32.76
33.84,34.08,34.56,33.60
34.20,35.04,35.16,33.48
35.28,35.16,35.28,33.72
35.16,34.08,35.16,33.24
33.72,34.68,35.16,33.36
34.80,34.44,35.04,33.84
33.96,35.40,35.64,33.96
35.40,33.72,35.40,33.72
34.08,32.88,34.32,31.92
32.88,33.84,33.84,32.40
33.72,33.84,34.86,33.36
33.48,33.48,33.72,32.76
