NVGN,Novogen Limited - American Depositary Shares each representing twenty five Ordinary Shares,NASDAQ
1.81,1.94,1.94,1.78
1.89,1.87,1.89,1.87
1.88,1.96,2.01,1.88
1.90,1.97,2.00,1.90
1.97,1.99,2.30,1.97
2.02,1.98,2.02,1.98
1.96,1.93,1.99,1.93
1.88,1.97,1.98,1.85
1.91,1.80,1.91,1.75
1.83,1.95,1.98,1.75
1.93,2.20,2.20,1.91
2.24,2.01,2.24,1.92
1.99,1.95,1.99,1.90
1.91,1.89,1.98,1.85
1.92,1.92,1.92,1.70
1.92,1.88,1.99,1.73
1.73,1.92,1.97,1.73
1.76,1.91,1.95,1.76
1.95,1.93,1.96,1.90
1.87,1.86,1.95,1.86
1.90,1.90,1.95,1.90
1.90,1.81,1.91,1.79
1.83,1.82,1.84,1.75
1.82,1.74,1.82,1.74
1.70,1.66,1.74,1.51
1.61,1.77,1.77,1.60
1.70,1.72,1.73,1.69
1.55,1.61,1.70,1.55
1.69,1.71,1.71,1.65
1.59,1.67,1.67,1.59
1.67,1.67,1.67,1.67
1.08,1.07,1.15,0.95
1.07,1.02,1.10,1.00
1.01,0.94,1.01,0.91
0.99,0.92,0.99,0.88
0.94,0.73,0.95,0.71
0.76,0.72,0.78,0.72
0.72,0.71,0.74,0.66
0.70,0.71,0.96,0.70
0.75,0.74,0.76,0.72
0.75,0.75,0.76,0.70
0.70,0.70,0.75,0.70
0.68,0.72,0.72,0.66
0.73,0.71,0.73,0.69
0.70,0.69,0.73,0.66
0.70,0.73,0.73,0.70
0.69,0.69,0.70,0.67
0.67,0.66,0.73,0.66
0.63,0.70,0.71,0.63
0.70,0.68,0.70,0.63
0.61,0.63,0.69,0.60
0.63,0.57,0.64,0.57
0.58,0.63,0.66,0.58
0.58,0.60,0.61,0.58
0.65,0.56,0.65,0.56
0.54,0.52,0.64,0.50
0.53,0.52,0.59,0.51
0.53,0.55,0.59,0.53
0.53,0.51,0.56,0.50
0.53,0.52,0.59,0.51
0.52,0.55,0.55,0.51
0.53,0.54,0.54,0.53
0.54,0.53,0.60,0.53
0.53,0.54,0.54,0.50
0.52,0.52,0.53,0.52
0.53,0.55,0.55,0.50
0.55,0.57,0.57,0.54
0.54,0.52,0.55,0.52
0.53,0.53,0.55,0.53
0.59,0.55,0.59,0.54
0.59,0.57,0.59,0.54
0.57,0.59,0.66,0.56
0.59,0.60,0.63,0.56
0.66,0.66,0.70,0.61
0.64,0.64,0.67,0.62
0.62,0.65,0.66,0.62
0.60,0.60,0.63,0.57
0.60,0.62,0.63,0.56
0.62,0.60,0.62,0.58
0.60,0.60,0.61,0.60
0.56,0.65,0.65,0.56
0.56,0.60,0.62,0.56
0.60,0.60,0.60,0.60
0.57,0.57,0.60,0.56
0.57,0.57,0.60,0.56
0.56,0.56,0.63,0.56
0.56,0.53,0.60,0.53
0.56,0.55,0.56,0.52
0.57,0.51,0.57,0.51
0.55,0.50,0.56,0.48
0.50,0.50,0.53,0.48
0.48,0.48,0.53,0.43
0.48,0.50,0.50,0.44
0.44,0.48,0.49,0.43
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.45
0.41,0.48,0.48,0.41
0.45,0.49,0.50,0.41
0.47,0.49,0.52,0.46
0.47,0.50,0.52,0.46
0.49,0.51,0.51,0.49
0.48,0.52,0.52,0.48
0.45,0.52,0.52,0.45
0.52,0.52,0.52,0.48
0.48,0.51,0.52,0.48
0.51,0.51,0.51,0.51
0.46,0.48,0.51,0.46
0.47,0.51,0.51,0.47
0.49,0.50,0.50,0.49
0.50,0.52,0.52,0.50
0.51,0.57,0.59,0.50
0.57,0.60,0.60,0.57
0.58,0.57,0.60,0.54
0.58,0.59,0.60,0.58
0.58,0.58,0.58,0.58
0.58,0.58,0.58,0.54
0.54,0.54,0.58,0.54
0.54,0.58,0.58,0.54
0.57,0.54,0.57,0.54
0.56,0.54,0.56,0.54
0.54,0.55,0.55,0.54
0.54,0.54,0.57,0.54
0.54,0.54,0.58,0.54
0.55,0.56,0.58,0.55
0.58,0.57,0.58,0.56
0.57,0.56,0.57,0.54
0.56,0.56,0.56,0.56
0.58,0.56,0.58,0.52
0.56,0.56,0.56,0.56
0.53,0.54,0.54,0.50
0.55,0.52,0.55,0.52
0.51,0.51,0.54,0.51
0.54,0.53,0.56,0.53
0.50,0.52,0.56,0.50
0.56,0.51,0.56,0.51
0.51,0.51,0.55,0.51
0.51,0.53,0.53,0.51
0.51,0.50,0.56,0.50
0.50,0.54,0.54,0.50
0.50,0.46,0.51,0.46
0.50,0.50,0.52,0.50
0.45,0.48,0.52,0.45
0.46,0.50,0.50,0.46
0.49,0.45,0.50,0.45
0.50,0.50,0.50,0.50
0.46,0.43,0.50,0.43
0.45,0.52,0.52,0.45
0.53,0.48,0.54,0.48
0.53,0.45,0.55,0.45
0.45,0.45,0.50,0.45
0.45,0.41,0.51,0.41
0.45,0.49,0.50,0.44
0.49,0.50,0.53,0.45
0.48,0.49,0.50,0.46
0.49,0.50,0.50,0.48
0.50,0.55,0.55,0.48
0.52,0.54,0.55,0.50
0.51,0.50,0.52,0.50
0.52,0.50,0.52,0.48
0.51,0.46,0.51,0.46
0.46,0.51,0.51,0.46
0.46,0.48,0.50,0.45
0.50,0.51,0.52,0.50
0.50,0.49,0.52,0.48
0.50,0.49,0.51,0.49
0.49,0.51,0.51,0.49
0.51,0.54,0.54,0.46
0.50,0.50,0.54,0.46
0.50,0.49,0.50,0.45
0.50,0.51,0.51,0.50
0.49,0.51,0.51,0.48
0.48,0.50,0.51,0.48
0.50,0.48,0.50,0.47
0.47,0.45,0.47,0.45
0.45,0.47,0.50,0.44
0.47,0.56,0.56,0.47
0.51,0.56,0.70,0.51
0.53,0.53,0.56,0.51
0.53,0.54,0.58,0.50
0.50,0.51,0.53,0.50
0.59,0.56,0.59,0.53
0.52,0.54,0.55,0.51
0.54,0.54,0.57,0.54
0.57,0.51,0.57,0.49
0.54,0.55,0.55,0.53
0.55,0.60,0.60,0.55
0.60,0.65,0.65,0.58
0.59,0.62,0.65,0.55
0.62,0.56,0.62,0.56
0.56,0.60,0.65,0.56
0.62,0.61,0.62,0.58
0.65,0.65,0.75,0.58
0.69,0.73,0.73,0.64
0.73,1.12,1.25,0.73
1.13,1.45,1.65,1.12
1.50,1.36,1.73,1.26
1.34,1.32,1.40,1.27
1.39,1.25,1.39,1.18
1.25,1.05,1.25,1.01
1.02,1.09,1.22,1.02
1.12,1.01,1.12,1.00
1.12,0.98,1.12,0.93
1.05,0.99,1.05,0.94
0.99,1.00,1.05,0.94
1.00,1.01,1.04,0.95
1.04,1.03,1.04,0.95
1.02,0.97,1.04,0.97
0.97,0.96,0.97,0.94
0.96,0.96,1.01,0.95
1.00,0.96,1.00,0.96
0.96,0.87,0.96,0.86
0.87,0.82,0.92,0.82
0.84,0.88,0.90,0.84
0.87,0.85,0.88,0.82
0.85,0.85,0.86,0.85
0.88,0.75,0.88,0.75
0.76,0.75,0.77,0.75
0.72,0.75,0.87,0.66
0.74,0.74,0.75,0.72
0.71,0.72,0.76,0.70
0.72,0.72,0.74,0.71
0.72,0.75,0.90,0.72
0.75,0.80,0.80,0.75
0.80,0.72,0.80,0.70
0.72,0.70,0.78,0.70
0.71,0.71,0.80,0.71
0.72,0.66,0.75,0.63
0.66,0.70,0.80,0.66
0.68,0.65,0.70,0.64
0.64,0.70,0.75,0.63
0.69,0.75,0.75,0.69
0.73,0.69,0.75,0.69
0.70,0.69,0.74,0.69
0.70,0.75,0.75,0.69
0.76,0.91,1.24,0.76
1.14,1.08,1.15,1.00
1.20,1.09,1.20,1.00
1.08,1.06,1.18,1.05
1.98,2.17,2.97,1.31
2.01,1.75,2.05,1.66
1.69,1.55,1.74,1.47
1.44,1.53,1.55,1.41
1.54,1.43,1.64,1.40
1.40,1.31,1.50,1.31
1.34,1.79,2.14,1.34
1.85,1.72,1.89,1.65
1.70,1.68,1.70,1.51
1.65,1.59,1.68,1.50
1.65,1.59,1.67,1.59
1.67,1.59,1.68,1.50
1.58,1.55,1.59,1.50
1.53,1.57,1.58,1.50
1.51,1.63,1.67,1.51
1.59,1.49,1.59,1.37
1.49,1.50,1.54,1.37
1.50,1.55,1.65,1.50
1.55,1.52,1.58,1.51
1.52,1.59,1.60,1.47
1.57,1.53,1.58,1.53
1.51,1.53,1.59,1.45
1.52,1.56,1.56,1.51
1.53,1.69,1.87,1.53
1.72,1.59,1.78,1.54
1.52,1.53,1.59,1.46
1.52,1.52,1.59,1.37
1.50,1.44,1.52,1.41
1.44,1.44,1.54,1.40
1.44,1.40,1.48,1.31
1.47,1.49,1.51,1.35
1.48,1.36,1.48,1.30
1.31,1.32,1.36,1.30
1.35,1.21,1.35,1.10
1.21,1.19,1.29,1.18
1.20,1.11,1.20,1.11
1.20,1.17,1.22,1.10
1.12,1.24,1.50,1.10
1.23,1.23,1.29,1.20
1.16,1.13,1.21,1.13
1.15,1.01,1.15,1.01
0.99,0.97,1.10,0.96
0.95,1.00,1.00,0.94
1.00,1.00,1.02,0.97
0.98,1.12,1.25,0.98
1.10,1.10,1.12,1.05
1.08,1.08,1.10,1.04
1.05,1.05,1.08,0.99
1.10,1.02,1.10,1.02
1.02,1.05,1.05,0.99
1.01,0.98,1.05,0.98
1.02,0.95,1.02,0.88
0.92,0.88,0.98,0.88
0.85,0.85,0.89,0.80
0.81,0.89,0.90,0.81
0.84,0.81,0.87,0.81
0.82,0.81,0.85,0.80
0.84,0.80,0.84,0.78
0.83,0.80,0.83,0.80
0.83,0.86,0.93,0.80
0.82,0.82,0.87,0.78
0.85,0.82,0.85,0.80
0.82,0.82,0.83,0.82
0.85,0.85,0.87,0.81
0.85,0.85,0.88,0.85
0.85,0.91,0.92,0.84
0.94,0.91,0.94,0.91
0.92,0.91,0.93,0.84
0.88,0.92,0.95,0.84
0.91,0.85,0.91,0.81
0.86,0.84,0.88,0.83
0.84,0.86,0.90,0.83
0.86,0.85,0.86,0.82
0.82,0.83,0.85,0.82
0.83,0.83,0.86,0.82
0.90,0.81,0.90,0.81
0.82,0.80,0.83,0.74
0.80,0.77,0.80,0.75
0.79,0.79,0.80,0.79
0.80,0.78,0.80,0.78
0.78,0.82,0.82,0.78
0.82,0.97,1.04,0.82
1.04,0.86,1.04,0.83
0.85,0.89,0.93,0.81
0.92,1.30,1.65,0.92
1.29,1.05,1.29,1.00
1.01,0.95,1.04,0.93
1.00,0.95,1.09,0.93
1.00,0.91,1.00,0.91
0.92,0.96,0.96,0.91
0.99,0.93,0.99,0.91
0.94,0.91,1.05,0.90
0.90,0.66,0.90,0.66
0.73,0.78,0.78,0.60
0.73,0.70,0.82,0.70
0.77,0.75,0.78,0.71
0.74,0.80,0.80,0.74
0.80,0.82,0.82,0.77
0.95,1.03,1.19,0.94
1.07,0.85,1.07,0.85
0.86,0.82,0.90,0.82
0.85,0.78,0.85,0.77
0.80,0.83,0.87,0.78
0.85,0.85,0.88,0.80
0.83,0.86,0.86,0.81
0.86,0.80,0.86,0.80
0.80,0.81,0.85,0.80
0.88,0.85,0.89,0.80
0.81,0.82,0.83,0.81
0.81,0.80,0.81,0.79
0.77,0.78,0.80,0.77
0.79,0.80,0.80,0.79
0.78,0.77,0.78,0.77
0.77,0.78,0.80,0.77
0.85,0.79,0.95,0.79
0.77,0.76,0.79,0.75
0.75,0.79,0.84,0.75
0.77,0.77,0.81,0.76
0.84,0.77,0.84,0.75
0.75,0.72,0.76,0.71
0.83,0.73,0.83,0.68
0.71,0.68,0.75,0.65
0.66,0.66,0.75,0.66
0.65,0.63,0.69,0.63
0.63,0.61,0.64,0.55
0.59,0.56,0.67,0.50
0.56,0.58,0.58,0.53
0.63,0.62,0.63,0.57
0.63,0.66,0.66,0.59
0.63,0.66,0.66,0.62
0.62,0.62,0.62,0.60
0.62,0.57,0.64,0.53
0.54,0.60,0.61,0.53
0.60,0.58,0.64,0.57
0.60,0.59,0.60,0.56
0.61,0.61,0.62,0.61
0.59,0.60,0.60,0.59
0.59,0.69,0.70,0.59
0.69,0.69,0.69,0.64
0.64,0.65,0.65,0.58
0.69,0.69,0.69,0.69
0.64,0.66,0.72,0.64
0.70,0.72,0.72,0.61
0.66,0.67,0.71,0.60
0.64,0.63,0.65,0.63
0.66,0.65,0.66,0.65
0.65,0.60,0.65,0.59
0.61,0.62,0.62,0.61
0.63,0.62,0.65,0.58
0.62,0.62,0.68,0.58
0.62,0.57,0.62,0.52
0.58,0.52,0.60,0.52
0.46,0.50,0.56,0.46
0.52,0.53,0.55,0.50
0.50,0.55,0.56,0.50
0.56,0.48,0.56,0.47
0.50,0.55,0.55,0.50
0.55,0.54,0.56,0.54
0.54,0.52,0.54,0.48
0.52,0.50,0.52,0.50
0.54,0.51,0.54,0.50
0.52,0.49,0.52,0.47
0.48,0.48,0.53,0.48
0.49,0.50,0.53,0.49
0.46,0.50,0.50,0.46
0.52,0.49,0.52,0.46
0.47,0.47,0.50,0.44
0.50,0.46,0.50,0.44
0.47,0.46,0.50,0.46
0.46,0.46,0.48,0.46
0.48,0.48,0.49,0.46
0.46,0.46,0.49,0.46
0.49,0.47,0.49,0.46
0.44,0.47,0.49,0.44
0.44,0.47,0.48,0.44
0.45,0.44,0.47,0.44
0.46,0.46,0.46,0.40
0.46,0.47,0.47,0.42
0.47,0.46,0.47,0.44
0.43,0.43,0.46,0.43
0.43,0.42,0.43,0.41
0.41,0.41,0.45,0.41
0.45,0.40,0.45,0.40
0.40,0.40,0.43,0.40
0.42,0.41,0.42,0.40
0.44,0.40,0.44,0.40
0.43,0.41,0.53,0.40
0.41,0.43,0.44,0.40
0.46,0.50,0.54,0.46
0.50,0.41,0.50,0.40
0.41,0.43,0.45,0.41
0.41,0.42,0.45,0.40
0.41,0.46,0.55,0.41
0.46,0.40,0.49,0.40
2.86,2.75,3.00,2.75
2.16,2.60,2.70,2.10
2.42,2.55,2.55,2.42
2.48,2.33,2.50,2.32
2.26,2.25,2.26,2.12
2.20,2.20,2.27,2.19
2.21,2.27,2.27,2.21
2.25,2.32,2.33,2.25
2.35,2.41,2.58,2.35
2.41,2.41,2.41,2.41
2.55,2.48,2.55,2.45
2.54,2.34,2.55,2.34
2.45,2.59,2.59,2.45
2.55,2.65,2.79,2.50
2.51,2.33,2.80,2.33
2.54,2.20,2.54,2.20
2.44,2.60,2.75,2.24
2.80,2.70,2.80,2.47
2.64,2.58,2.80,2.47
2.66,2.53,2.66,2.51
2.65,2.53,2.65,2.53
2.62,2.53,2.62,2.52
2.53,2.35,2.59,2.28
2.35,2.32,2.45,2.26
2.55,2.80,2.80,2.35
2.71,2.72,2.75,2.25
2.53,2.60,2.68,2.39
2.42,2.35,2.68,2.25
2.45,2.36,2.68,2.32
2.36,2.49,2.49,2.36
2.50,2.51,2.51,2.25
2.34,2.49,2.51,2.34
2.32,2.52,2.63,2.32
2.52,2.49,2.59,2.25
2.52,2.38,2.61,2.38
2.33,2.30,2.35,2.25
2.30,2.34,2.34,2.30
2.36,2.26,2.44,2.16
2.29,2.22,2.39,2.21
2.24,2.31,2.32,2.24
2.27,2.23,2.28,2.03
2.21,2.18,2.23,2.13
2.17,2.26,2.35,2.13
2.30,2.11,2.30,2.08
2.11,2.11,2.11,2.11
2.12,2.34,2.59,2.12
2.42,2.23,2.42,2.23
2.32,2.26,2.40,2.23
2.37,2.37,2.47,2.37
2.25,2.43,2.43,2.25
2.27,2.31,2.31,2.27
2.32,2.32,2.47,2.31
2.31,2.31,2.37,2.30
2.32,2.31,2.33,2.30
2.32,2.31,2.35,2.30
2.30,2.45,2.45,2.30
2.39,2.38,2.44,2.38
2.38,2.40,2.45,2.31
2.39,2.40,2.44,2.39
2.41,2.40,2.46,2.40
2.42,2.35,2.42,2.35
2.40,2.44,2.44,2.30
2.42,2.40,2.44,2.39
2.44,2.42,2.55,2.42
2.43,2.40,2.43,2.40
2.40,2.40,2.40,2.36
2.40,2.40,2.42,2.34
2.45,2.45,2.45,2.40
2.45,2.45,2.45,2.45
2.46,2.44,2.46,2.43
2.44,2.44,2.44,2.44
2.44,2.41,2.44,2.30
2.39,2.44,2.44,2.39
2.39,2.38,2.43,2.38
2.39,2.40,2.42,2.39
2.39,2.39,2.41,2.30
2.39,2.39,2.41,2.35
2.39,2.39,2.39,2.39
2.41,2.41,2.50,2.31
2.40,2.40,2.50,2.39
2.44,2.40,2.44,2.39
2.40,2.40,2.40,2.40
2.40,2.39,2.40,2.38
2.39,2.39,2.39,2.38
2.38,2.38,2.44,2.38
2.38,2.38,2.43,2.31
2.40,2.37,2.40,2.30
2.37,2.37,2.37,2.37
2.37,2.40,2.40,2.37
2.40,2.37,2.40,2.37
2.40,2.38,2.44,2.38
2.40,2.39,2.40,2.38
2.39,2.31,2.39,2.31
2.31,2.35,2.35,2.31
2.35,2.34,2.36,2.34
2.39,2.33,2.39,2.33
2.39,2.34,2.39,2.34
2.34,2.36,2.36,2.34
2.34,2.34,2.38,2.34
2.34,2.34,2.39,2.34
2.34,2.07,2.34,2.00
2.10,2.00,2.14,2.00
2.04,2.15,2.15,2.02
2.08,2.08,2.08,2.08
2.13,2.02,2.16,2.00
1.95,1.99,1.99,1.95
2.00,1.97,2.05,1.97
1.97,1.97,1.97,1.97
1.97,2.00,2.00,1.97
2.15,2.02,2.17,2.01
2.01,2.00,2.08,2.00
2.03,2.03,2.04,2.01
2.03,2.03,2.03,2.03
2.06,2.01,2.06,2.00
2.02,2.06,2.06,2.02
2.03,2.15,2.15,2.03
2.06,2.13,2.13,2.02
2.02,2.02,2.02,2.02
2.02,2.02,2.02,2.02
2.02,2.18,2.19,2.02
2.18,2.18,2.18,2.18
2.18,2.18,2.18,2.18
2.07,1.95,2.07,1.95
1.95,1.95,1.95,1.95
2.03,2.00,2.03,1.99
2.05,2.05,2.05,2.05
1.99,2.07,2.07,1.99
2.08,1.97,2.08,1.97
2.00,2.00,2.00,2.00
2.07,2.06,2.07,1.95
2.02,2.04,2.07,2.02
2.03,2.01,2.03,2.01
2.00,1.99,2.00,1.99
1.99,1.99,1.99,1.99
1.99,1.99,1.99,1.99
1.99,2.00,2.00,1.99
2.00,1.98,2.00,1.98
1.98,1.98,1.98,1.98
2.02,1.98,2.02,1.98
2.01,1.99,2.01,1.99
1.99,1.98,1.99,1.98
1.99,2.00,2.00,1.99
1.99,1.98,1.99,1.98
2.06,2.10,2.44,2.00
2.10,2.05,2.15,1.97
2.04,2.00,2.04,1.98
2.02,2.01,2.02,2.01
2.08,2.01,2.09,2.01
2.01,2.01,2.01,2.01
2.02,2.01,2.02,1.96
2.01,2.17,2.17,2.01
2.20,2.20,2.20,2.20
2.02,2.09,2.09,1.85
2.04,2.10,2.20,2.04
2.10,2.10,2.10,2.10
2.10,2.06,2.14,1.85
2.06,2.09,2.09,2.06
2.06,2.09,2.09,2.02
2.09,2.09,2.09,2.09
2.09,2.09,2.09,2.09
2.09,2.09,2.09,2.09
2.09,2.09,2.09,2.09
2.02,2.02,2.02,2.02
2.03,2.10,2.16,2.02
2.08,2.00,2.08,2.00
2.00,2.00,2.00,2.00
2.14,2.16,2.20,2.14
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.01,1.91,2.03,1.91
2.16,2.04,2.16,2.02
2.03,2.03,2.03,2.03
2.02,2.02,2.02,2.02
2.05,2.02,2.05,2.02
2.02,2.01,2.02,1.81
2.01,2.01,2.01,2.01
2.01,2.00,2.14,1.93
2.01,2.06,2.06,2.01
2.06,2.06,2.06,2.06
2.06,2.06,2.06,2.06
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.08,2.16,2.16,2.08
2.05,2.01,2.07,1.97
2.00,2.02,2.02,1.98
2.03,2.03,2.03,2.03
2.03,2.03,2.03,1.85
2.03,1.89,2.03,1.86
1.99,1.89,1.99,1.89
1.89,1.89,1.89,1.89
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.89,1.91,1.92,1.86
1.91,1.91,1.91,1.91
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.89,1.90,1.89
1.92,1.88,1.92,1.88
1.88,1.88,1.88,1.88
1.88,1.87,1.88,1.85
1.87,1.87,1.87,1.87
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.89,1.83,2.00,1.72
1.89,1.94,2.00,1.88
1.89,1.89,1.89,1.89
1.89,1.89,1.90,1.89
1.90,1.50,1.90,1.50
1.91,1.99,1.99,1.79
1.90,1.51,1.93,1.47
1.65,2.32,3.30,1.65
2.49,4.05,4.74,2.48
4.03,4.50,5.29,3.66
4.30,4.59,4.59,3.81
4.41,4.57,4.59,4.06
4.42,4.75,5.20,4.27
4.78,4.93,5.15,4.60
4.62,6.29,6.54,4.49
6.24,5.63,6.24,4.91
5.90,6.08,7.15,5.82
6.02,5.72,6.12,5.72
5.70,5.97,6.25,5.50
5.95,5.91,6.04,5.80
6.15,6.18,6.39,6.00
6.98,6.25,6.98,5.56
6.25,5.90,6.29,5.59
5.95,5.68,6.03,5.52
5.68,6.17,6.64,5.50
6.09,6.30,6.43,5.90
5.80,6.20,6.25,5.80
6.10,6.20,6.50,5.89
6.28,7.46,7.60,6.28
7.61,8.89,9.11,7.61
8.89,9.00,9.20,8.29
9.00,10.24,10.45,9.00
10.25,10.04,10.39,8.92
9.76,9.63,10.05,9.19
9.84,8.75,9.84,8.37
8.42,7.14,8.67,6.62
7.00,6.52,7.00,6.30
6.40,7.27,7.84,6.40
7.11,7.15,7.69,6.70
7.00,6.80,7.00,6.63
6.42,6.30,7.00,6.07
5.90,6.23,6.32,5.60
6.00,6.19,6.26,5.57
6.18,6.12,6.19,5.70
6.30,6.20,6.30,5.78
5.87,6.95,6.98,5.86
7.43,6.97,7.94,6.76
6.97,6.52,6.97,6.52
6.60,6.45,6.60,6.30
6.35,6.58,6.60,6.25
6.42,6.47,6.50,6.11
6.65,6.24,6.65,6.17
6.41,6.28,6.41,6.24
6.18,5.89,6.22,5.79
5.82,6.45,6.45,5.82
6.44,6.43,6.45,6.10
6.26,6.47,6.48,5.90
6.47,6.47,6.47,6.47
6.50,6.40,6.51,6.27
6.27,6.30,6.30,6.25
6.02,6.00,6.03,5.81
6.05,5.94,6.05,5.90
6.11,6.10,6.11,6.06
3.15,2.39,3.15,2.02
2.47,2.35,2.48,2.21
2.34,2.20,2.34,2.09
2.07,1.84,2.07,1.75
1.99,1.93,2.03,1.85
1.93,1.97,1.99,1.91
1.99,2.09,2.10,1.97
2.07,2.07,2.07,2.04
2.01,2.04,2.04,2.01
2.04,2.04,2.04,2.01
2.05,2.06,2.09,1.89
2.09,2.15,2.34,2.08
2.21,2.14,2.35,2.10
2.00,2.12,2.12,1.79
2.21,2.09,2.21,2.08
4.87,6.47,7.60,4.18
7.80,8.15,9.70,7.60
10.05,8.15,10.49,7.86
7.71,9.05,10.00,6.81
8.67,8.02,9.27,8.00
7.88,7.54,8.00,7.25
7.35,6.68,7.35,6.52
6.50,6.24,6.98,5.87
6.19,6.47,7.29,5.93
6.80,6.05,6.80,5.87
6.04,5.57,6.30,5.45
5.56,5.82,6.05,5.27
5.96,5.66,6.00,5.65
5.70,6.00,6.35,5.41
6.07,6.07,6.49,6.00
6.04,5.52,6.04,5.40
5.50,5.16,5.51,5.06
5.33,5.20,5.50,5.17
5.27,5.14,5.30,5.05
5.10,4.78,5.10,4.72
4.76,4.46,4.76,4.30
4.71,4.55,4.71,4.36
4.50,4.38,4.50,4.37
4.49,4.41,4.60,4.41
4.45,5.10,5.30,4.26
5.10,4.60,5.25,4.60
4.61,4.70,4.95,4.60
4.69,4.35,4.69,4.23
4.39,4.28,4.57,4.25
4.40,4.32,4.49,4.25
6.49,6.05,6.92,5.51
5.70,4.91,5.70,4.85
4.93,4.99,5.01,4.62
5.29,5.63,6.69,5.27
5.64,5.61,5.97,5.10
5.69,5.54,5.69,5.23
5.54,5.54,5.54,5.54
5.23,5.35,5.79,5.11
5.68,5.36,5.75,5.20
5.36,5.36,5.45,5.19
5.35,5.41,5.41,5.11
5.48,5.25,5.48,5.10
5.25,5.08,5.43,4.69
4.99,4.89,5.00,4.71
4.80,4.80,4.84,4.71
4.84,4.88,4.99,4.83
4.89,4.87,5.23,4.86
4.87,5.00,5.13,4.87
5.03,4.88,5.03,4.85
4.87,4.78,4.87,4.75
4.77,4.58,4.77,4.58
4.50,4.25,4.53,4.20
4.26,4.10,4.34,4.03
4.21,4.30,4.51,4.17
4.34,4.24,4.35,4.15
4.23,4.13,4.23,4.03
4.10,4.02,4.19,3.93
4.18,4.18,4.39,3.96
4.16,4.25,4.47,4.05
4.25,4.29,4.56,4.25
4.27,4.11,4.30,4.05
4.14,4.09,4.21,4.00
4.07,4.04,4.14,4.00
4.04,4.03,4.05,3.85
3.98,4.03,4.05,3.98
4.09,3.92,4.09,3.89
3.91,3.95,4.07,3.90
3.99,3.88,4.03,3.82
3.91,3.89,3.94,3.89
3.98,3.80,3.98,3.80
3.78,3.80,3.80,3.57
3.72,3.60,3.77,3.60
3.68,3.90,4.19,3.66
3.98,5.08,5.50,3.90
5.04,4.41,5.04,4.25
4.36,4.20,4.45,4.15
4.12,3.86,4.19,3.80
4.00,4.00,4.07,3.83
3.99,4.12,4.12,3.81
4.12,4.12,4.41,4.01
4.10,4.36,4.55,4.04
4.29,4.30,4.67,4.28
4.33,4.20,4.34,4.06
