IWN,iShares Russell 2000 Value ETF,NASDAQ
66.95,64.79,67.30,64.51
64.48,63.95,65.24,62.96
62.11,60.49,62.50,60.42
59.25,61.51,61.97,58.94
61.30,60.34,61.72,60.34
58.96,60.42,60.47,58.02
60.71,60.52,62.08,60.26
62.12,63.32,63.42,61.62
63.27,62.57,63.45,61.98
61.75,60.36,62.65,60.36
60.69,62.15,62.15,60.24
62.35,62.74,62.95,61.83
60.93,59.40,61.55,59.21
59.62,58.00,60.04,57.95
58.12,58.01,58.68,56.88
58.61,57.98,59.46,57.67
59.00,60.11,60.11,58.85
59.27,60.90,60.95,59.09
61.84,61.27,62.42,61.11
61.84,62.89,63.10,61.54
62.44,62.63,63.24,62.23
62.95,62.64,63.01,61.89
62.79,62.71,63.16,62.31
63.58,62.09,63.84,61.72
62.27,60.75,62.97,60.66
60.53,60.50,61.21,59.83
60.00,59.48,60.51,59.38
59.64,60.66,60.82,59.18
60.66,60.05,60.93,59.85
58.95,57.79,59.13,57.37
57.61,57.04,58.53,56.91
57.04,56.63,57.41,55.29
56.66,55.68,56.73,55.33
56.67,54.92,57.15,54.60
55.04,56.79,56.87,54.99
57.47,57.73,57.79,56.88
57.73,58.65,58.65,57.52
58.42,58.05,58.84,57.49
58.93,59.92,60.16,58.65
59.73,59.62,59.99,59.14
59.64,59.02,59.71,58.29
58.57,56.90,58.75,56.74
57.04,57.07,57.24,56.00
56.38,58.14,58.21,56.14
58.54,57.00,58.70,56.86
57.83,59.13,59.32,57.70
58.86,60.50,60.56,58.61
60.66,61.74,61.79,60.39
62.23,61.74,62.65,61.61
61.58,60.83,61.94,60.52
61.38,60.76,61.73,59.80
59.96,60.76,61.39,59.74
61.77,61.78,62.12,61.25
61.69,61.27,62.15,60.81
61.60,61.93,62.09,61.42
61.50,61.26,61.86,61.18
60.31,60.91,61.14,59.71
61.29,61.58,61.79,60.91
60.91,60.48,61.19,59.98
59.27,58.08,59.27,57.92
56.79,57.70,58.11,56.79
57.45,57.09,57.68,57.00
56.61,57.51,57.86,56.50
58.15,58.54,58.98,57.82
58.44,58.66,59.14,57.86
58.38,57.00,58.59,56.84
56.78,56.95,56.98,56.02
57.30,56.10,57.61,56.07
55.13,55.60,56.16,54.75
55.00,56.37,56.53,54.87
56.60,55.94,57.04,55.76
56.58,57.36,57.45,55.44
57.16,56.12,57.34,56.10
55.92,56.20,56.76,55.61
57.06,58.26,58.32,56.86
58.25,58.79,58.94,58.05
59.57,59.86,59.96,59.19
59.70,58.61,59.70,58.49
58.72,58.94,59.46,58.72
59.83,59.10,59.97,58.63
59.26,59.26,59.64,58.99
59.91,60.60,60.80,59.80
60.45,60.27,60.84,60.12
60.13,60.53,60.75,59.63
60.46,59.98,60.58,59.57
60.43,60.18,60.48,59.40
60.43,61.85,62.02,59.92
61.86,61.50,62.27,61.38
61.22,60.66,61.68,60.30
59.95,59.60,60.82,59.42
60.49,61.48,61.60,60.32
61.61,61.32,61.67,61.07
61.45,61.91,62.03,60.38
61.75,62.09,62.27,61.51
62.40,61.99,62.89,61.50
62.48,62.26,62.61,61.75
62.20,61.51,62.49,61.08
62.11,63.13,63.28,61.69
63.16,63.22,63.45,62.87
63.55,62.94,63.67,62.55
63.05,63.73,64.08,62.73
63.73,63.75,64.15,63.54
63.53,63.90,64.11,62.94
64.30,64.93,65.42,64.06
64.88,64.92,65.25,64.27
65.32,64.54,65.49,64.26
64.67,65.50,65.50,64.58
64.43,64.17,65.29,63.71
64.40,64.87,65.25,64.28
65.30,64.53,65.69,63.79
64.75,64.66,64.88,64.33
65.03,64.93,65.68,64.82
64.65,64.86,65.31,64.31
64.49,64.54,64.80,63.84
65.02,64.20,65.23,63.98
64.03,64.38,64.69,63.91
64.74,63.96,65.09,63.44
64.64,65.31,65.33,64.40
65.37,65.51,65.60,64.60
66.50,67.30,67.36,66.50
67.29,67.74,68.01,67.29
67.47,67.61,67.76,67.05
67.75,66.63,67.87,66.31
66.67,67.41,67.42,66.19
66.76,67.22,67.43,66.58
66.54,66.03,66.99,66.01
66.44,66.04,66.84,66.04
65.58,64.68,65.72,64.23
64.78,64.89,65.03,64.49
65.56,65.99,66.32,65.56
65.88,66.18,66.28,65.35
65.90,66.22,66.42,65.34
65.42,65.56,65.74,65.13
66.08,66.99,67.00,66.08
66.56,66.59,66.95,66.48
66.19,66.65,66.81,65.54
65.81,66.06,66.43,65.61
67.15,67.46,67.58,67.15
67.43,68.19,68.25,67.39
67.94,68.60,68.82,67.79
68.60,69.05,69.20,68.42
69.80,69.34,69.98,69.26
69.51,69.41,69.75,69.25
69.90,69.63,69.90,69.35
69.87,70.52,70.68,69.62
70.86,70.26,70.94,70.22
70.55,70.23,70.68,70.11
70.13,69.83,70.79,69.73
69.99,70.39,70.67,69.70
70.49,70.37,70.57,69.96
70.59,70.80,71.18,70.46
71.12,71.66,71.74,71.01
71.40,71.41,71.75,71.28
71.57,71.33,71.67,71.20
71.09,71.56,71.70,70.92
71.74,71.53,71.83,71.22
71.69,71.65,71.74,71.54
71.61,71.58,71.91,71.54
71.40,71.09,71.69,71.00
71.82,72.39,72.72,71.64
72.48,71.26,72.71,70.59
71.16,71.95,72.00,71.03
72.08,71.63,72.09,71.34
71.96,71.22,72.08,70.32
70.87,71.42,71.79,70.40
71.70,71.81,72.09,71.38
72.30,72.44,72.53,72.03
72.34,72.24,72.71,71.99
72.15,72.94,73.14,72.13
72.74,73.05,73.10,72.41
72.89,71.22,73.10,71.05
70.89,70.74,71.46,70.45
71.21,70.35,71.21,70.25
70.31,70.89,71.14,70.29
70.62,71.28,71.28,70.36
71.46,72.27,72.49,71.09
72.30,72.49,72.76,71.98
72.46,70.70,72.46,70.65
70.91,71.00,71.57,70.55
71.69,72.59,72.83,71.41
72.38,72.29,72.95,72.28
72.23,72.45,72.54,71.40
72.38,72.29,72.43,71.84
72.41,73.01,73.42,72.26
72.86,73.42,73.45,72.75
73.20,73.15,73.52,72.77
72.56,73.31,73.38,72.56
72.96,74.07,74.09,72.96
74.09,74.37,74.46,74.01
74.11,74.06,74.43,73.90
74.21,74.62,74.71,74.19
74.43,75.17,75.34,74.43
75.33,75.33,75.59,75.04
74.68,73.50,75.10,73.44
73.60,72.45,73.76,72.04
72.48,72.73,73.11,71.95
73.12,74.40,74.42,73.03
74.83,74.62,75.08,74.14
74.98,73.20,74.98,73.03
73.19,73.41,73.74,72.82
74.07,74.89,75.08,74.04
74.94,74.38,74.94,73.65
74.56,73.28,74.71,72.70
73.29,74.47,74.78,72.86
74.46,74.32,74.78,74.06
73.48,72.41,73.48,72.26
71.78,72.55,72.97,71.76
71.96,72.05,72.49,71.36
70.50,71.44,71.93,69.79
71.20,70.59,71.74,70.19
71.67,70.94,71.75,70.94
71.88,71.96,72.08,71.57
72.89,73.60,73.60,72.77
73.55,73.30,73.82,73.09
73.17,73.25,73.48,72.29
73.47,73.34,73.55,72.74
73.72,73.92,74.69,73.37
74.04,73.66,74.31,73.60
73.64,74.20,74.30,73.28
74.54,75.11,75.22,74.40
75.02,75.38,75.50,74.99
75.99,75.73,76.16,75.51
75.87,75.95,76.10,75.77
75.81,76.12,76.68,75.67
76.56,76.50,76.72,76.13
76.47,75.99,76.75,75.79
76.19,75.13,76.35,74.83
75.08,74.36,75.34,74.13
73.95,73.46,74.32,73.41
73.87,73.20,73.96,72.81
72.72,73.59,73.65,72.59
73.61,74.32,74.33,73.38
73.33,73.24,73.33,72.65
73.49,73.14,73.68,72.80
74.31,74.37,74.46,73.98
74.72,74.81,74.86,74.23
74.69,74.80,74.89,74.35
74.88,75.64,76.03,74.86
75.58,76.02,76.15,75.49
75.93,76.37,76.44,75.85
76.45,76.59,76.84,76.18
76.98,75.83,77.00,75.74
75.69,75.18,76.03,74.62
75.19,74.27,75.38,73.89
73.71,73.90,74.87,73.50
74.63,74.02,75.00,73.73
74.02,74.71,74.83,73.84
75.01,75.91,75.95,75.01
75.78,74.62,75.78,74.30
74.11,75.14,75.34,73.83
75.21,74.09,75.44,73.85
73.52,73.25,74.41,73.18
72.62,73.02,73.26,72.59
73.08,73.97,73.97,72.95
74.46,74.11,74.53,73.55
73.87,73.53,74.04,73.18
72.21,72.44,72.84,72.20
72.52,72.11,72.89,71.97
71.83,72.83,73.06,71.83
72.52,73.65,73.69,72.40
73.96,74.19,74.40,73.85
75.12,75.29,75.30,74.47
75.24,73.01,75.24,72.89
73.04,72.92,73.42,72.53
71.82,71.94,72.61,71.70
71.81,70.97,72.10,70.91
71.46,71.10,71.71,71.06
70.77,70.45,71.13,70.34
70.65,70.59,70.99,70.32
70.22,69.54,70.31,69.20
69.70,69.45,70.02,69.04
70.07,70.84,71.09,69.93
70.14,69.68,70.58,69.33
69.72,70.01,70.54,69.22
70.51,70.16,70.84,69.82
69.97,70.84,71.10,69.97
71.40,72.12,72.19,71.22
71.75,71.59,72.48,71.55
70.74,71.47,71.65,69.95
71.61,71.12,71.84,70.77
71.05,71.58,71.72,70.82
71.89,72.46,72.48,71.67
72.73,72.74,72.87,72.19
72.94,73.41,73.57,72.82
73.32,74.48,74.63,73.23
74.31,74.08,74.31,73.67
73.92,74.35,74.45,73.75
74.96,75.48,75.74,74.78
74.60,75.01,75.04,74.38
74.14,73.52,74.41,73.35
73.19,73.29,74.05,73.16
73.65,73.82,74.55,73.51
74.01,72.67,74.21,72.52
72.98,73.05,73.21,72.57
72.72,71.92,72.89,71.48
72.32,73.25,73.34,72.31
73.35,73.28,73.41,72.92
73.53,74.28,74.38,73.45
74.20,74.07,74.25,73.63
73.10,73.27,73.82,73.02
73.17,72.85,73.33,72.62
72.40,70.94,72.42,70.80
70.84,70.78,71.69,70.69
69.84,70.73,71.11,69.53
71.48,70.38,71.72,69.74
69.93,68.34,70.63,68.13
68.16,68.59,68.71,66.66
67.70,64.79,67.77,64.79
65.51,63.73,65.86,62.42
61.57,58.15,63.30,58.15
59.84,62.06,62.14,56.86
60.24,58.72,61.22,58.53
58.97,61.47,62.43,58.70
62.16,61.55,62.62,60.92
62.39,63.41,63.50,62.21
62.47,62.39,63.24,61.79
62.87,62.59,63.38,62.02
60.39,59.34,60.70,58.85
58.16,58.22,60.12,58.05
59.86,58.16,59.86,57.69
58.42,60.60,60.65,57.90
60.59,61.56,61.92,60.16
62.29,60.08,62.58,59.81
59.86,61.26,61.46,58.79
62.02,64.19,64.25,61.90
63.76,64.30,64.80,62.94
64.76,64.29,65.25,63.73
64.37,62.76,65.09,62.45
61.33,60.41,61.82,60.20
58.53,60.17,60.25,58.28
61.16,62.54,62.63,60.90
62.10,61.37,62.85,61.08
60.73,59.66,60.99,59.05
58.74,60.18,60.21,58.59
60.57,61.13,61.27,60.04
61.59,62.12,62.88,60.43
62.74,62.93,62.96,61.78
63.16,63.05,63.51,62.56
61.95,61.81,62.40,61.25
62.00,60.93,62.62,60.87
60.71,58.52,61.18,58.47
56.40,57.06,58.10,56.12
56.68,57.34,57.82,56.47
57.92,58.55,58.59,56.84
59.61,59.66,61.03,59.17
59.67,57.48,59.89,57.35
58.81,58.84,59.07,57.19
57.86,57.03,58.64,57.03
56.72,54.15,57.70,54.07
53.51,57.65,57.69,53.40
57.59,58.19,58.51,56.82
58.12,59.44,59.57,57.66
59.55,57.75,59.76,57.59
58.92,60.27,60.34,58.80
59.71,60.76,60.99,59.58
61.30,61.73,62.32,61.04
61.31,61.48,61.82,60.47
62.17,62.63,62.78,61.51
62.02,60.65,62.12,60.37
60.89,62.52,62.97,59.98
62.43,61.51,62.89,61.18
61.78,61.69,61.78,60.04
62.58,63.09,63.10,62.05
63.30,64.93,65.04,63.19
64.50,63.14,64.50,62.93
64.22,64.10,64.52,62.53
66.60,67.55,67.97,65.80
67.33,67.10,67.84,66.82
66.11,65.28,66.57,65.23
62.93,62.91,64.39,62.50
63.86,64.54,64.65,63.33
65.30,66.07,66.21,63.70
65.29,65.57,65.74,64.74
65.54,65.58,65.82,64.18
66.26,66.56,66.66,64.74
64.61,63.37,65.14,63.27
64.30,63.96,64.53,63.28
64.66,65.53,65.73,64.63
65.26,64.47,65.45,64.03
64.06,65.23,65.61,63.70
64.47,64.35,65.80,64.24
64.09,63.56,64.78,63.20
63.76,63.78,64.10,63.23
62.65,62.29,62.89,61.79
62.16,61.60,62.52,61.38
60.99,59.88,61.11,59.63
59.36,59.01,60.31,59.01
61.11,61.52,61.66,60.82
61.57,61.38,61.87,60.97
63.93,65.15,65.15,63.48
64.92,64.56,65.37,64.45
65.38,64.78,65.82,64.76
65.98,65.81,66.40,65.31
65.88,65.98,66.35,65.35
65.43,66.01,66.31,64.55
65.36,63.83,65.44,63.70
64.04,65.69,66.07,63.81
64.74,64.83,64.98,64.03
65.42,63.64,65.69,63.28
63.11,63.08,63.60,62.73
63.99,63.76,64.11,63.21
64.25,64.30,65.22,63.86
64.82,63.09,65.14,62.97
64.46,65.60,65.68,64.34
65.37,66.11,66.33,64.95
65.99,66.22,66.59,65.83
66.50,66.36,66.55,66.05
66.13,66.57,66.87,65.97
66.59,65.66,66.59,65.23
65.71,66.10,66.26,65.57
66.09,65.64,66.35,65.64
67.30,66.88,67.43,66.63
66.57,66.57,66.76,66.07
66.03,66.86,67.11,65.39
66.89,66.71,67.14,66.13
66.94,66.83,67.02,66.27
67.67,67.78,67.95,67.51
67.58,68.04,68.13,67.39
68.17,68.28,68.35,67.48
67.73,67.85,67.95,67.20
68.40,67.68,68.58,67.55
67.64,68.93,68.95,67.55
69.21,69.16,69.33,68.75
69.09,69.45,69.67,68.96
69.32,69.40,69.97,68.90
68.96,69.78,69.89,68.63
69.79,70.30,70.51,69.40
70.75,70.18,70.80,69.81
69.89,70.52,70.59,69.77
69.90,70.06,70.34,69.55
70.40,70.05,70.65,69.62
70.66,71.44,71.57,70.39
71.67,71.82,72.10,71.35
73.02,73.34,73.60,72.72
72.93,73.04,73.29,72.80
72.91,72.92,73.35,72.58
73.12,73.12,73.68,72.49
73.34,72.74,73.39,72.36
72.02,71.73,72.17,71.60
72.49,72.56,72.71,72.02
72.27,72.20,72.38,71.66
72.65,71.55,72.65,71.34
71.59,72.97,73.07,71.57
73.39,73.10,73.40,73.01
73.17,72.62,73.27,72.29
72.44,71.83,72.71,71.81
71.97,72.79,72.86,71.56
72.87,72.52,72.91,72.39
71.76,72.43,72.74,71.31
72.44,72.21,72.83,71.82
72.44,71.07,72.82,71.07
71.48,71.35,72.25,71.35
71.32,70.34,71.57,70.07
70.05,70.57,70.65,69.73
69.70,69.28,70.11,69.04
69.45,69.92,69.94,69.28
70.39,70.68,70.80,69.66
70.61,71.66,72.09,70.61
71.80,71.58,71.86,71.22
72.13,73.14,73.16,71.88
73.08,72.54,73.27,72.24
72.43,73.20,73.21,72.25
73.33,73.17,73.34,72.82
73.05,73.84,74.40,72.91
73.26,73.21,73.56,72.94
73.39,73.11,73.58,72.93
72.36,72.41,72.64,71.92
72.15,72.79,72.88,71.51
73.64,74.16,74.21,73.54
74.27,73.59,74.40,73.59
73.72,73.46,73.85,72.84
72.98,73.26,73.43,72.35
73.76,72.97,73.76,72.83
72.76,73.95,73.97,72.68
73.90,73.39,74.12,73.08
72.61,72.30,72.71,71.90
71.94,71.90,72.34,71.77
70.68,70.82,71.06,70.44
70.46,69.20,70.70,69.07
69.74,70.13,70.22,69.61
70.27,71.16,71.41,70.15
70.87,70.06,70.92,70.02
70.42,70.44,70.91,69.70
71.10,71.47,72.07,70.92
71.01,70.71,71.24,70.45
70.81,70.40,71.27,69.95
70.90,70.89,71.52,70.79
69.86,69.92,69.98,69.38
69.91,70.61,70.75,69.77
71.59,71.53,72.01,71.21
71.56,72.09,72.22,71.37
72.36,72.70,72.82,71.49
72.70,71.86,72.75,71.86
71.89,71.88,73.08,71.75
71.34,71.92,72.02,71.02
71.87,71.08,71.97,70.72
70.64,69.75,70.69,69.64
69.53,70.00,70.26,69.39
69.50,70.15,70.21,69.24
69.28,69.77,70.16,69.11
70.29,70.14,70.55,69.79
69.61,69.88,70.45,69.57
69.13,69.05,69.54,68.83
69.05,68.93,69.54,68.72
69.12,68.39,69.44,68.35
68.45,67.00,68.57,67.00
67.06,66.39,67.38,66.27
66.60,67.61,67.67,66.20
67.73,67.28,68.19,66.83
66.64,67.59,67.74,66.19
67.62,67.87,67.89,66.89
67.86,67.79,68.08,67.56
68.48,68.66,68.85,67.93
67.99,67.41,68.04,67.38
67.46,67.49,67.93,66.62
65.97,65.69,66.64,65.57
65.90,65.41,66.03,64.92
65.06,66.15,66.18,65.04
66.65,67.69,67.75,66.53
68.75,67.35,68.80,67.35
67.25,68.17,68.25,66.88
69.07,66.69,69.14,66.58
66.90,67.48,67.50,66.33
67.36,66.80,67.90,66.54
66.86,67.68,67.88,66.77
67.89,68.44,68.57,67.61
68.07,68.33,68.74,67.78
68.67,69.60,69.91,68.51
69.56,69.47,69.97,69.05
69.35,67.94,69.51,67.81
68.37,68.67,68.80,67.99
67.55,67.54,67.84,67.25
67.20,67.29,67.60,66.56
67.48,68.35,68.44,67.42
67.80,68.52,68.52,67.42
70.09,70.39,70.45,69.55
70.71,71.05,71.09,70.09
71.19,71.96,72.03,71.04
72.04,71.86,72.19,71.57
71.38,71.23,71.47,70.96
71.14,70.86,71.18,70.61
71.29,70.25,71.49,69.86
70.33,70.09,70.53,69.74
69.59,69.80,70.06,68.92
70.10,70.64,70.92,70.04
70.50,70.41,70.70,70.10
70.85,70.63,70.93,69.73
70.50,70.95,71.31,70.45
71.19,70.62,71.34,70.46
70.06,69.91,70.28,69.72
68.60,68.78,69.10,68.44
69.08,67.88,69.08,67.53
68.22,67.91,68.43,67.70
69.00,68.52,69.14,68.13
68.89,70.15,70.44,68.43
70.24,70.02,70.62,69.78
69.76,69.51,70.34,69.51
69.98,68.36,70.11,68.35
67.50,67.98,68.59,67.22
69.03,69.70,70.05,68.48
69.82,70.20,70.64,69.68
70.72,70.62,71.27,70.49
70.43,70.79,71.07,70.29
70.82,71.03,71.27,70.67
70.73,70.90,70.95,70.52
70.75,70.80,70.90,70.00
71.17,70.54,71.36,70.28
70.36,71.10,71.14,70.32
70.94,71.86,72.02,70.80
71.95,72.44,72.55,71.78
72.32,72.45,72.50,71.87
72.81,72.48,73.59,72.25
72.32,72.02,72.49,71.79
71.96,71.39,71.97,71.15
71.21,71.51,71.79,70.97
71.94,71.70,72.10,71.38
71.67,71.99,72.21,71.57
72.07,72.23,72.54,71.85
71.87,71.51,71.93,71.42
72.09,71.91,72.16,71.18
71.85,72.52,72.73,71.25
72.56,72.56,72.88,72.32
72.95,73.86,74.09,72.91
74.05,74.53,74.63,73.93
74.46,74.20,74.73,74.18
74.22,74.52,74.89,74.19
74.88,74.93,75.00,74.36
75.01,76.05,76.51,74.70
76.22,76.87,77.27,76.21
76.50,76.34,76.69,76.00
76.17,76.10,76.25,75.82
76.24,75.90,76.32,75.86
75.55,75.60,75.79,75.11
76.32,75.93,76.40,75.88
75.32,75.50,75.92,75.22
76.01,74.41,76.02,74.29
74.54,73.97,74.58,73.68
74.35,74.63,74.91,73.88
74.37,73.94,74.49,73.94
74.62,74.26,74.95,73.96
74.63,74.41,74.75,74.02
74.54,74.18,74.78,73.90
74.49,74.80,74.84,73.90
75.09,74.75,75.68,74.55
74.37,74.35,74.54,74.17
74.35,73.59,74.47,73.46
73.59,73.43,73.75,73.21
74.04,73.77,74.28,73.66
73.72,73.00,73.87,72.89
73.20,73.38,73.40,72.62
73.79,73.84,73.97,73.62
73.99,74.69,74.74,73.90
74.68,74.32,74.94,74.30
73.80,73.04,73.83,72.72
72.91,73.13,73.20,72.68
72.44,72.67,72.75,71.87
72.98,72.58,73.09,72.36
73.14,72.85,73.43,72.29
72.83,72.57,73.24,72.07
72.48,72.82,73.06,72.04
73.20,73.79,73.98,73.00
74.08,72.78,74.14,72.75
72.74,73.10,73.24,72.51
73.39,73.77,73.94,73.39
72.79,71.69,72.89,71.44
71.61,70.71,71.93,70.70
70.41,70.81,71.37,70.32
71.01,70.60,71.02,70.49
70.25,70.12,70.87,70.04
70.20,68.80,70.32,68.59
68.58,68.41,68.96,68.00
68.39,69.02,69.14,67.84
69.80,70.50,70.51,69.67
70.40,70.55,70.66,70.00
70.67,70.91,70.94,70.42
71.13,71.70,71.70,71.09
71.42,71.90,71.90,71.36
71.87,71.80,72.32,71.74
71.46,72.35,72.35,70.91
72.97,73.19,73.31,72.69
73.35,73.20,73.38,72.93
73.84,73.25,73.88,72.97
73.20,73.41,73.52,72.83
73.73,73.38,73.79,72.89
73.29,73.54,73.64,73.15
73.89,73.60,73.93,73.30
73.70,73.96,73.98,73.62
74.44,74.61,74.76,74.24
74.89,74.26,74.98,74.13
74.27,73.81,74.43,73.55
73.68,73.87,74.17,73.60
74.10,74.90,74.90,73.96
75.26,75.88,75.92,74.87
75.25,75.28,75.65,74.97
75.35,75.72,75.82,75.12
74.69,75.43,75.43,74.48
75.23,75.02,75.29,74.91
75.27,74.62,75.31,74.61
74.75,74.55,74.84,73.63
74.18,73.98,74.75,73.97
74.12,75.51,75.63,73.86
77.30,77.87,77.87,76.99
77.88,77.68,78.21,77.46
77.97,78.15,78.38,77.73
77.88,77.76,77.94,77.54
77.71,77.70,77.84,77.34
77.89,77.92,78.09,77.78
78.17,78.14,78.25,77.75
78.02,78.01,78.16,77.66
77.83,78.02,78.15,77.77
77.53,78.23,78.35,77.47
78.07,78.08,78.26,77.86
78.46,78.80,78.97,78.35
78.82,79.03,79.04,78.63
79.07,79.68,79.70,78.94
79.66,79.48,79.69,79.39
79.59,79.61,80.03,79.31
79.98,79.91,79.99,79.53
80.12,80.20,80.35,79.52
80.15,80.37,80.42,80.02
80.32,79.46,80.32,79.19
79.41,80.01,80.12,79.30
80.50,80.77,81.04,80.31
80.28,79.73,80.52,79.61
80.12,80.39,80.62,79.98
80.02,80.76,80.78,79.96
80.65,80.50,80.80,80.01
80.65,81.01,81.06,80.59
80.97,81.00,81.02,80.61
81.08,81.51,81.62,80.99
81.64,81.83,81.91,81.44
81.56,82.02,82.16,81.55
82.02,82.07,82.27,81.85
82.26,82.79,82.79,82.26
82.89,81.16,82.91,81.07
81.00,80.39,81.08,79.92
80.85,81.27,81.27,80.79
81.80,79.54,81.82,79.49
79.89,79.96,80.27,79.43
79.96,80.74,81.20,79.90
80.75,80.81,81.38,80.65
80.39,81.16,81.25,79.73
81.00,81.24,81.31,80.47
81.65,82.06,82.25,81.65
82.29,82.26,82.38,82.00
82.32,82.65,82.70,82.19
83.30,83.27,83.40,82.74
82.90,83.21,83.32,82.90
83.01,83.03,83.29,82.79
83.07,83.39,83.51,82.86
83.58,84.33,84.34,83.55
84.27,84.46,84.62,84.07
83.57,83.98,84.26,83.32
84.10,83.66,84.35,83.01
84.05,84.31,84.33,83.97
83.71,83.68,84.15,83.41
84.00,83.79,84.05,83.69
83.79,83.63,84.27,83.13
84.00,83.89,84.12,83.55
83.34,84.00,84.04,83.11
84.01,83.81,84.14,83.76
83.85,82.92,83.98,82.46
83.44,82.43,83.53,82.26
82.68,81.21,82.68,81.06
81.26,81.88,81.91,81.02
80.68,81.83,81.85,80.59
81.99,82.62,82.62,81.46
82.68,82.36,82.89,82.21
82.61,83.77,83.95,82.55
83.77,83.89,84.33,83.68
83.57,83.49,83.79,82.95
83.03,80.27,83.08,80.01
80.97,81.57,81.68,80.64
81.11,80.00,81.11,79.42
80.21,79.82,80.40,79.38
80.19,80.73,80.78,79.48
80.93,80.88,81.07,79.47
81.49,82.23,82.25,81.28
82.26,82.82,82.92,82.05
82.89,83.15,83.63,82.89
82.96,82.60,83.02,82.27
83.04,83.27,83.43,82.75
83.34,83.84,83.86,82.97
83.62,81.77,83.64,81.69
82.28,83.05,83.19,82.11
84.13,84.42,84.99,83.99
84.52,84.99,85.07,84.40
85.11,85.77,85.77,84.78
85.53,85.99,86.05,85.38
85.96,85.63,86.02,85.38
85.72,86.14,86.16,85.62
86.00,85.83,86.17,85.66
86.04,86.80,86.85,85.90
86.65,87.09,87.44,86.48
86.96,86.81,87.33,86.59
87.17,87.68,87.76,87.16
87.51,88.12,88.39,87.51
88.12,88.09,88.34,87.81
88.29,86.60,89.07,86.11
85.76,86.60,86.65,85.54
86.21,86.66,86.71,85.68
87.85,87.69,88.62,87.09
87.19,86.79,87.38,86.07
87.04,87.34,87.60,86.96
86.91,86.32,87.35,86.32
86.63,87.17,87.37,85.81
87.20,86.36,87.70,85.72
86.27,85.21,86.33,85.07
85.16,86.12,86.12,84.65
86.62,86.64,86.83,85.93
87.07,87.19,87.20,86.23
86.18,86.00,86.70,85.50
86.65,85.12,86.70,85.00
85.15,86.84,87.02,84.82
86.75,86.14,87.07,85.80
87.06,86.61,87.19,86.16
86.78,87.66,87.94,86.72
87.68,86.45,87.83,86.43
