GWR,Genesee & Wyoming Inc. Class A Common Stock,NASDAQ
75.49,76.50,76.85,74.87
75.86,76.96,76.96,75.86
76.47,75.98,77.06,75.90
75.85,75.98,76.37,75.45
75.98,76.40,77.90,75.98
76.60,76.42,77.11,76.12
76.40,75.64,76.65,75.27
76.34,75.99,77.05,75.97
75.82,75.69,76.18,74.76
75.87,77.77,77.94,75.83
78.06,79.54,79.79,77.37
79.82,80.01,80.73,79.30
80.59,79.26,80.59,78.40
78.91,75.39,79.06,75.03
74.18,70.48,74.50,70.36
70.80,71.13,72.27,70.34
71.24,69.71,71.64,69.59
69.68,71.20,71.22,68.99
71.59,71.53,71.98,71.00
71.60,70.54,71.74,70.51
70.52,70.05,70.88,69.40
70.28,69.90,70.58,69.60
70.22,70.62,70.76,70.05
70.67,69.81,71.03,69.51
69.89,69.59,70.37,69.04
69.64,69.41,70.24,69.11
70.36,69.03,70.96,68.29
69.79,72.26,72.36,69.54
72.06,71.37,72.36,70.67
71.39,72.54,73.46,70.85
72.10,70.68,72.10,70.60
70.83,70.92,71.80,70.56
71.21,72.27,72.43,71.02
72.12,72.25,72.42,71.36
72.98,73.82,74.55,72.98
