GWR,Genesee & Wyoming Inc. Class A Common Stock,NASDAQ
55.61,54.78,55.97,54.65
53.17,53.86,55.47,52.74
54.54,55.18,55.49,54.41
54.42,54.53,55.21,54.42
54.56,54.21,55.01,53.42
54.81,54.60,55.01,54.33
54.36,55.55,55.65,54.35
55.91,56.94,57.01,55.90
56.47,56.77,57.24,56.34
55.82,56.27,56.33,55.14
56.37,55.48,56.77,55.10
55.51,56.39,56.45,54.77
56.34,57.73,57.74,56.30
57.97,58.06,58.21,57.27
58.06,58.64,59.20,58.00
58.79,60.29,60.44,58.62
60.27,59.32,60.27,59.15
59.16,59.90,60.00,58.92
60.25,60.43,61.00,59.84
59.45,59.61,60.11,59.25
58.80,58.34,58.93,57.80
58.09,58.20,58.82,57.82
58.54,58.69,59.52,58.44
59.01,57.90,59.20,57.44
58.32,58.50,58.65,57.47
58.13,57.56,58.25,56.86
58.17,58.90,59.01,58.12
59.13,58.31,59.13,57.99
58.74,59.42,59.76,58.50
59.40,59.16,59.64,58.78
58.38,59.37,59.73,57.97
59.14,58.23,59.27,57.99
57.79,55.57,57.91,55.50
55.48,55.80,56.85,55.28
52.94,55.04,55.67,52.87
56.05,54.99,56.17,54.14
55.00,55.23,56.00,53.61
55.35,55.23,55.68,53.68
54.27,52.47,54.71,52.46
53.27,51.69,53.27,50.27
49.79,46.48,50.32,45.94
47.77,49.53,49.54,45.31
47.50,46.95,49.04,46.89
46.89,49.63,50.69,46.86
50.32,49.87,50.80,49.19
50.65,51.05,51.21,49.69
50.29,49.16,50.39,48.99
49.53,49.21,50.12,48.60
47.45,45.50,47.45,44.99
44.56,45.19,46.67,44.54
46.54,46.08,46.65,45.21
46.26,48.10,48.11,45.45
48.06,48.75,48.80,47.01
49.16,47.67,49.34,47.34
47.29,48.85,48.90,45.87
49.59,51.29,51.38,49.31
50.89,51.79,52.28,50.62
52.24,51.94,53.05,51.50
52.21,50.75,52.76,50.62
49.20,48.10,49.44,48.01
46.92,47.37,47.58,46.30
49.00,49.77,49.88,48.42
49.44,48.62,49.64,48.36
48.04,46.92,48.25,46.25
46.00,46.91,47.26,45.70
47.13,48.85,48.98,46.66
