IGOV,iShares S&P/Citigroup International Treasury Bond Fund,NASDAQ
101.59,101.64,101.93,101.38
101.38,101.54,101.61,101.28
101.42,101.30,101.67,101.28
101.96,103.01,103.01,101.92
104.23,104.22,104.78,103.86
104.16,104.21,104.34,103.99
104.78,104.46,104.78,104.39
104.64,104.64,105.03,104.64
105.23,105.34,105.57,104.79
105.99,106.11,106.11,105.88
106.27,106.21,106.27,105.61
106.51,106.71,106.71,106.43
106.68,106.43,106.70,106.43
107.49,107.49,107.49,107.28
107.95,108.26,108.46,107.65
108.35,108.07,108.35,107.70
108.38,108.41,108.41,108.12
108.76,108.37,108.76,108.28
108.09,108.20,108.53,108.09
108.78,108.96,109.11,108.74
109.34,109.64,109.64,109.34
109.55,108.74,109.55,108.47
108.61,108.96,108.96,108.37
107.15,107.26,107.61,106.98
108.05,108.20,108.43,108.05
108.09,107.97,108.63,107.71
107.99,107.69,107.99,107.69
108.72,108.38,108.89,108.38
107.76,107.67,107.76,107.38
106.79,106.39,106.79,106.28
107.04,107.39,107.48,107.04
107.32,107.28,107.45,107.15
107.80,107.30,107.80,107.01
107.98,107.97,107.98,107.68
107.86,107.92,108.49,107.26
109.05,108.69,109.05,108.69
107.93,107.91,108.13,107.81
107.20,106.91,107.20,106.90
107.37,106.41,107.37,106.41
105.68,105.61,105.68,104.88
104.91,104.62,105.03,104.42
105.02,104.62,105.30,104.62
104.47,104.02,104.49,104.00
103.75,102.95,103.75,102.65
103.27,103.09,103.49,103.06
103.63,103.14,103.63,103.03
103.62,103.86,103.86,103.33
103.73,103.65,103.75,103.50
103.09,102.78,103.09,102.72
102.25,101.99,102.55,101.99
101.30,100.85,101.30,100.85
100.24,100.04,100.24,99.84
99.47,99.88,100.33,99.47
99.75,99.95,100.25,99.75
99.86,100.77,101.23,99.86
101.86,102.22,102.22,101.64
101.60,102.07,102.07,101.41
102.10,101.46,102.10,101.27
100.80,100.61,100.80,100.47
100.98,100.89,100.98,100.23
100.65,100.76,100.78,100.25
100.63,101.55,101.83,100.63
105.50,101.17,105.50,100.82
105.49,99.94,105.49,99.94
100.35,100.04,100.35,99.80
100.15,100.21,100.25,99.66
100.12,100.14,100.18,99.79
100.36,99.65,100.36,99.65
100.18,100.20,100.21,99.90
99.90,100.45,100.49,99.90
100.53,100.55,100.55,100.45
101.09,100.35,101.09,100.33
100.41,101.07,101.07,100.41
101.28,101.26,101.63,101.08
102.16,102.27,104.77,101.01
102.13,102.30,102.38,101.86
102.36,101.85,102.36,101.60
100.63,100.26,100.73,100.25
100.31,99.63,100.31,99.40
99.40,99.00,99.62,99.00
99.36,99.57,99.64,99.27
99.78,99.65,99.78,99.25
100.06,100.60,100.67,99.72
101.61,101.75,101.98,101.61
101.89,101.88,102.14,101.32
101.72,101.69,103.24,101.44
102.53,102.38,102.53,102.15
102.05,101.52,102.05,101.46
102.50,102.87,103.15,102.22
102.70,103.14,103.34,102.45
102.63,103.29,103.30,102.63
103.18,102.11,103.18,101.94
102.37,102.36,102.59,101.84
102.49,102.58,102.67,101.95
103.28,103.30,103.47,102.90
103.61,104.06,104.12,103.29
104.16,103.75,104.16,103.43
103.42,103.29,103.42,102.84
102.90,102.35,102.95,102.35
102.11,102.50,102.56,101.98
102.67,102.52,102.88,102.51
102.60,102.46,102.81,102.24
101.97,101.85,102.10,101.40
102.90,101.54,102.90,101.12
101.11,100.99,101.28,100.81
101.24,100.78,101.24,100.69
101.07,101.50,101.74,100.89
101.94,102.27,102.34,101.69
102.33,102.31,102.72,102.27
102.75,102.60,102.95,102.33
102.91,103.13,103.28,102.74
103.85,103.79,103.90,103.59
103.53,103.28,103.66,103.26
104.08,103.89,104.08,103.60
103.68,103.19,103.74,103.19
103.92,103.73,104.07,103.73
103.90,103.73,103.90,103.37
103.71,103.94,103.98,103.59
103.92,103.84,103.98,103.75
103.06,103.13,103.13,102.90
103.15,103.14,103.24,102.95
102.72,102.60,102.79,102.32
102.99,103.65,103.65,102.82
104.26,104.58,104.58,104.12
104.63,105.06,105.26,104.34
104.93,105.08,105.08,104.63
106.02,105.70,106.02,105.57
105.71,105.74,106.06,105.55
109.97,106.08,109.97,105.63
105.83,105.90,105.90,105.55
105.48,105.55,105.72,105.25
105.55,105.76,105.92,105.25
105.12,104.61,105.52,104.61
104.73,104.73,104.97,104.63
104.47,104.25,104.64,104.17
104.29,104.12,104.43,103.98
104.54,104.50,104.70,104.35
107.22,104.22,107.22,103.01
104.29,103.99,104.38,103.96
103.80,104.03,104.21,103.59
104.27,104.41,104.48,104.12
105.59,104.30,105.59,103.99
104.74,104.90,104.91,104.53
104.95,104.94,107.35,104.69
105.58,105.32,105.65,105.13
105.30,105.39,105.55,104.96
105.45,105.68,105.69,105.38
106.15,105.41,106.15,105.03
105.14,104.77,105.21,104.54
104.83,105.42,105.44,104.83
106.18,106.12,106.25,105.86
106.80,106.45,106.80,106.45
107.99,106.49,107.99,106.44
107.30,106.90,107.30,106.45
106.63,106.97,106.97,106.33
107.78,108.04,108.07,107.56
108.31,108.60,108.60,108.12
109.50,107.97,109.50,107.97
108.27,108.09,108.50,107.82
108.48,108.20,108.56,108.10
107.98,106.58,107.98,106.58
106.66,105.60,106.88,105.60
105.80,105.91,106.00,105.33
105.86,105.90,106.11,105.60
105.59,105.12,105.59,104.83
105.24,105.69,105.85,104.94
105.83,105.05,105.83,104.92
108.10,105.50,108.10,105.07
105.10,105.42,105.42,104.92
105.27,105.27,105.49,105.15
105.01,105.78,105.78,104.80
105.34,105.14,105.35,104.74
104.10,104.48,104.57,103.85
104.61,104.76,104.80,104.28
104.80,104.80,105.02,103.59
105.81,105.22,105.81,104.97
106.19,106.53,106.57,106.19
106.74,106.50,106.81,106.48
106.97,106.63,107.99,106.44
107.10,107.25,107.37,106.68
108.10,108.16,108.16,107.48
108.17,107.92,108.17,107.74
108.19,108.01,108.26,108.01
107.94,107.71,107.94,107.45
107.23,107.07,107.40,107.03
107.50,106.00,107.50,105.99
106.14,106.58,106.61,105.85
106.34,106.49,106.64,106.34
105.69,105.17,105.73,104.85
104.80,105.11,105.11,104.52
105.79,105.89,105.91,105.48
105.60,105.56,105.68,105.41
106.11,106.05,106.27,106.00
106.20,105.92,106.20,105.56
104.98,105.10,105.25,104.50
105.28,105.06,105.28,104.86
104.51,104.93,105.13,104.48
105.33,105.43,105.64,105.06
105.91,105.95,106.02,105.68
106.49,106.54,106.57,106.15
106.13,106.29,106.49,105.76
107.69,105.94,107.69,105.78
105.30,104.83,105.30,104.81
104.67,104.88,105.15,104.37
105.17,105.00,105.20,104.60
104.30,103.70,104.30,103.50
103.45,104.01,104.17,103.45
104.31,104.73,104.91,104.31
105.00,104.46,105.00,104.36
104.55,104.69,104.89,104.33
104.09,104.03,104.09,103.80
104.73,104.65,104.96,104.34
105.29,105.08,105.29,104.51
105.90,106.33,106.59,105.89
107.16,106.83,107.19,106.83
107.21,107.28,107.36,106.88
107.67,108.18,108.36,107.67
108.36,107.86,108.36,107.44
107.45,107.44,107.81,107.17
107.98,108.16,109.99,107.81
108.31,107.59,109.29,107.08
107.30,107.39,107.57,107.01
108.00,108.01,108.13,107.57
107.72,106.29,107.73,106.29
107.11,107.74,107.76,106.83
107.74,108.37,108.73,107.74
108.52,109.51,109.51,108.15
109.37,109.21,109.51,108.90
108.47,108.74,109.06,108.47
109.17,108.95,109.17,108.72
111.16,110.02,111.16,109.58
109.76,109.85,109.89,109.43
110.70,110.71,110.82,110.44
110.49,110.31,110.53,109.91
110.66,110.60,110.95,110.34
110.55,110.15,110.55,110.15
110.57,110.68,110.68,110.19
110.11,109.96,110.41,109.66
109.93,109.78,109.93,109.33
110.06,110.54,110.70,109.88
110.67,110.56,110.67,110.21
110.43,110.70,110.70,110.18
110.60,109.94,110.60,109.74
111.48,108.37,111.48,107.76
108.57,108.40,109.51,108.12
106.67,106.36,107.12,106.29
107.00,107.09,107.36,106.09
107.12,106.25,107.14,106.19
105.67,104.65,105.67,104.64
104.24,104.20,104.66,103.01
104.26,104.48,104.48,103.90
104.47,104.12,104.47,103.83
104.74,105.06,105.06,104.61
105.13,105.10,105.31,104.80
104.22,104.54,104.54,103.77
104.33,104.60,104.71,104.20
104.57,104.31,105.03,104.10
103.80,104.20,104.28,103.45
104.45,104.43,105.06,104.03
104.63,104.92,104.92,104.24
105.45,105.15,105.46,104.95
105.49,104.82,105.49,104.82
105.56,104.95,105.62,104.91
104.47,104.63,104.91,104.43
103.53,103.44,104.14,103.42
103.04,103.70,103.87,103.04
103.85,103.61,104.10,103.20
103.74,104.18,104.26,103.60
104.31,103.55,104.52,103.55
104.98,104.95,105.03,104.58
104.57,104.91,104.95,104.33
104.99,105.06,105.20,104.60
104.93,105.22,105.30,104.32
105.34,104.82,105.46,104.80
105.10,104.52,105.10,104.25
104.18,104.48,104.71,103.92
104.59,104.13,104.59,103.94
104.16,104.31,104.46,103.00
105.17,105.18,105.20,104.64
105.01,105.37,105.43,104.90
105.34,105.50,105.59,105.17
106.10,105.71,106.10,105.02
107.23,107.13,107.69,106.80
107.24,107.26,107.33,106.94
105.81,104.94,105.81,104.94
103.74,104.36,105.90,103.61
105.50,104.06,105.50,104.06
104.18,104.31,104.55,103.76
104.19,103.88,104.38,103.56
103.96,104.04,104.13,103.43
104.27,104.06,104.45,103.88
103.15,101.99,103.17,101.70
102.24,101.33,102.24,100.87
102.17,102.57,102.69,101.57
101.96,102.05,102.05,101.50
101.15,101.05,101.26,100.49
101.01,100.58,101.01,100.46
101.39,99.59,101.39,99.47
100.18,100.21,100.61,99.99
100.00,100.46,100.46,100.00
100.21,100.50,100.50,99.68
99.06,98.73,99.61,98.73
97.82,97.67,98.03,97.66
98.84,98.19,98.84,97.79
98.40,98.06,98.48,98.03
99.75,99.61,99.75,99.15
99.04,98.59,99.66,98.14
98.85,97.99,98.85,97.91
99.12,98.57,99.21,98.30
98.60,99.13,99.13,98.60
98.87,99.17,99.17,98.61
98.57,97.63,98.57,97.63
97.64,98.38,98.38,97.64
97.65,97.66,97.66,97.50
97.45,97.25,97.56,96.90
97.20,97.09,97.23,96.80
97.45,97.40,97.85,97.25
97.89,97.75,98.25,97.63
98.16,98.23,98.25,97.78
98.80,98.91,99.19,98.51
98.80,98.95,99.12,98.51
98.86,98.57,98.86,98.51
99.03,98.68,99.03,98.53
98.48,98.75,98.79,98.15
98.75,98.06,98.75,97.91
98.29,98.16,98.29,97.98
98.63,99.90,103.38,98.42
100.18,100.34,102.62,99.63
99.67,99.52,99.67,99.50
98.27,98.53,99.99,98.27
98.27,97.75,98.27,97.71
97.36,96.72,98.35,96.50
96.94,96.46,96.94,95.69
96.31,96.65,96.92,96.30
97.68,97.17,97.68,96.80
96.51,96.82,96.84,96.41
96.60,96.83,97.25,96.60
97.60,97.38,97.60,97.11
97.73,97.09,97.73,97.00
96.88,96.81,97.03,96.64
97.59,97.46,97.59,97.00
96.61,97.26,97.26,96.50
96.91,97.40,97.53,96.30
97.89,97.54,97.94,97.52
98.12,98.19,98.28,97.96
98.26,98.48,98.82,97.97
99.24,98.63,99.40,97.87
99.67,99.64,99.67,99.16
99.71,99.95,100.11,99.62
99.45,99.86,99.87,98.93
99.38,99.64,100.17,99.31
100.21,100.53,100.57,99.68
101.15,100.24,101.15,99.89
100.37,100.19,100.42,99.84
99.71,100.21,100.28,99.55
100.68,101.26,101.35,100.52
100.63,100.35,100.89,100.35
100.85,101.41,101.50,100.21
100.46,101.65,101.65,100.46
101.23,101.32,101.52,101.10
101.48,101.76,101.96,101.48
101.53,101.64,101.69,101.22
101.49,102.41,102.41,101.49
102.06,100.94,102.50,100.94
101.02,100.82,101.23,100.61
101.65,101.61,101.89,101.59
102.00,101.11,102.00,101.02
101.05,98.94,101.31,97.94
98.37,98.20,98.37,97.67
98.12,98.45,98.70,98.03
98.35,98.39,98.48,98.10
98.82,98.51,98.96,98.28
99.31,99.50,99.50,99.00
99.04,99.01,99.07,98.20
99.39,99.22,99.39,98.85
98.91,99.31,99.55,98.75
98.71,98.29,98.82,98.03
98.06,98.45,98.70,98.06
98.55,98.79,98.88,98.50
98.93,98.64,99.04,98.22
98.26,98.21,98.57,97.97
98.41,98.49,98.55,97.88
98.05,98.56,98.60,98.05
98.57,98.98,99.30,98.57
99.31,99.63,99.75,99.31
99.61,99.67,99.81,99.55
99.28,99.69,99.90,99.02
99.90,99.25,99.90,99.10
99.93,99.83,100.00,99.45
100.05,100.30,100.51,99.46
100.37,99.54,100.37,99.29
100.55,99.03,100.55,98.55
98.60,98.52,98.74,98.51
96.97,99.38,99.95,96.97
99.63,98.95,99.63,98.85
99.39,99.35,99.68,98.94
99.59,99.97,100.13,99.59
99.47,99.00,99.61,98.95
99.91,99.60,99.91,99.15
99.71,99.40,99.75,99.27
99.77,99.48,99.77,99.00
99.39,99.58,99.63,99.32
99.76,99.95,99.96,99.58
99.49,99.77,99.90,99.49
99.58,99.64,100.17,99.58
100.29,99.88,100.34,99.63
100.42,100.51,100.65,100.26
100.65,100.69,100.90,100.61
100.14,100.95,101.08,100.14
101.32,100.80,101.32,100.67
100.84,100.56,100.85,100.33
100.87,100.68,100.87,100.31
101.20,100.54,101.20,100.18
100.73,100.15,100.73,100.11
100.38,100.05,100.38,99.90
99.65,99.68,99.93,99.55
99.75,99.59,100.04,99.59
100.19,99.80,100.19,99.57
99.58,99.11,99.58,99.11
100.06,98.23,100.06,98.15
98.46,98.20,98.46,98.01
97.91,98.07,98.36,97.91
98.00,98.29,98.56,98.00
98.00,98.47,98.67,97.89
98.42,97.93,98.42,97.70
97.65,97.83,98.12,97.53
98.10,97.45,98.10,97.33
97.68,97.66,97.68,97.26
97.39,97.33,97.88,97.21
97.13,97.15,97.52,97.12
97.44,97.40,97.81,97.23
98.02,96.96,98.19,96.64
96.45,97.25,97.66,96.45
97.46,96.76,97.46,96.72
97.47,97.63,97.66,96.92
97.66,97.21,97.66,97.14
97.03,97.24,97.29,96.70
97.12,96.95,97.26,96.71
96.70,96.59,96.70,96.39
96.83,96.60,96.97,96.58
97.11,97.12,97.17,96.72
97.71,98.11,98.11,97.32
97.73,97.19,97.73,97.12
97.90,98.09,98.25,97.65
98.03,97.76,98.10,97.65
97.84,97.09,97.84,97.09
97.59,97.60,97.61,97.06
97.45,97.15,97.45,97.06
97.17,96.88,97.17,96.70
96.89,96.54,96.99,96.54
97.11,96.61,97.11,96.40
97.90,98.23,98.25,97.90
98.20,98.26,99.00,97.86
98.22,98.34,98.53,98.22
98.31,97.50,98.31,97.18
98.60,97.08,98.60,96.97
97.18,96.99,97.24,96.97
97.19,97.10,97.27,96.97
97.50,97.90,97.90,97.17
97.80,97.80,97.91,97.29
97.82,98.09,98.19,97.82
98.38,98.51,98.55,97.88
98.10,98.73,98.75,97.94
98.67,98.73,98.84,98.44
98.87,98.94,99.05,98.48
98.37,98.43,98.54,98.02
98.63,97.74,98.63,97.48
97.66,97.29,97.66,96.90
96.86,97.67,97.73,96.86
97.78,98.63,99.00,97.78
99.31,98.67,99.31,98.21
99.00,98.72,99.00,98.24
99.24,99.15,99.24,98.52
99.78,98.32,99.78,97.63
98.67,98.26,99.11,97.92
98.85,99.41,99.41,98.67
99.36,99.45,100.00,98.56
98.57,99.15,99.78,98.57
99.74,99.50,99.99,99.30
99.74,99.30,99.74,98.69
99.29,99.48,99.67,99.15
99.22,99.24,99.68,99.17
99.26,99.34,99.34,98.80
98.96,98.80,98.96,98.59
99.12,99.12,99.12,98.87
99.05,98.76,99.11,98.64
98.56,98.89,99.12,98.56
98.51,99.54,99.82,98.51
99.99,100.35,100.41,99.62
100.55,100.58,100.96,100.43
100.70,100.50,100.91,100.39
100.01,100.28,100.76,100.01
100.72,100.70,100.95,100.59
100.85,100.70,100.85,100.25
100.90,100.71,100.90,100.28
101.20,101.24,101.26,100.57
100.63,101.00,101.19,100.63
101.00,101.09,101.14,101.00
100.81,101.20,101.24,100.68
101.91,102.60,102.62,101.91
102.20,102.22,102.40,101.94
102.22,102.99,103.10,102.22
103.32,103.09,103.32,102.94
102.68,103.70,105.80,102.68
104.14,103.74,104.22,103.51
103.79,103.44,103.94,103.31
104.04,103.38,104.04,100.92
103.61,103.49,103.91,103.34
103.40,103.42,103.54,103.08
103.39,103.20,103.57,102.87
102.56,103.15,103.19,102.56
103.21,102.75,103.21,102.44
102.45,102.40,102.87,102.40
102.63,102.78,103.01,102.63
102.99,102.78,103.10,102.43
102.78,102.68,103.30,102.24
103.15,103.11,103.31,103.01
102.85,102.90,102.94,102.71
103.21,103.35,103.63,103.14
103.73,103.50,103.73,103.35
102.99,103.03,103.54,102.99
103.01,102.85,103.20,102.49
102.61,102.75,103.15,102.60
102.81,102.83,103.00,102.77
103.31,103.16,103.70,103.16
103.15,102.95,103.48,102.95
103.67,103.19,103.67,103.06
103.70,103.71,103.95,103.57
103.82,103.72,103.89,103.34
103.62,103.51,103.64,103.12
103.06,103.10,103.53,102.84
102.56,102.95,102.95,102.51
102.84,102.84,102.99,102.51
102.74,102.50,102.74,102.49
102.73,102.71,102.88,102.64
104.50,104.00,104.71,102.55
103.08,102.30,103.12,101.00
101.95,101.42,102.78,101.42
101.73,101.42,101.73,101.36
101.88,101.55,101.93,101.38
101.97,101.96,101.97,101.75
102.79,102.13,102.79,101.66
102.39,101.73,102.39,101.66
100.97,101.59,101.88,100.97
101.70,101.59,101.80,101.50
102.25,101.65,102.25,101.37
101.84,101.66,101.84,101.24
101.62,101.30,101.62,101.08
101.50,101.51,101.95,101.50
101.38,101.75,101.75,101.30
101.67,101.24,101.67,101.13
102.11,102.53,102.55,102.11
102.62,102.64,102.75,102.34
102.55,102.22,102.56,102.21
102.41,102.90,103.05,102.41
102.83,103.05,103.48,102.83
103.12,103.00,103.15,102.81
103.05,103.58,103.63,103.05
103.59,103.78,103.97,103.55
103.76,103.81,103.88,103.66
103.24,103.38,103.62,103.21
102.99,103.18,103.26,102.96
103.13,102.85,103.14,102.85
103.22,103.33,103.35,103.21
103.45,103.62,103.78,103.30
103.41,103.47,103.55,103.31
103.65,103.92,104.01,103.56
103.90,103.86,103.99,103.70
103.98,103.97,104.00,103.74
104.41,104.12,104.41,103.92
104.52,104.24,104.52,103.88
103.25,103.79,104.14,103.25
104.73,103.75,104.73,103.73
103.29,102.90,103.29,102.77
102.56,103.36,103.45,102.56
102.96,103.46,103.48,102.84
103.31,102.93,103.39,102.92
103.31,103.13,103.32,102.71
102.61,101.95,102.64,101.95
101.80,101.60,101.82,101.46
101.93,102.09,102.09,101.69
102.22,102.12,102.26,101.86
101.98,101.72,101.98,101.69
102.42,102.68,102.85,102.10
103.32,102.85,103.32,102.74
103.08,103.18,103.18,102.64
102.70,102.55,103.20,102.50
102.60,102.99,102.99,102.55
102.87,102.75,102.87,102.50
102.67,102.55,102.77,102.41
102.55,102.88,103.00,102.46
102.85,102.79,103.10,102.51
102.68,102.48,102.79,102.45
102.90,102.61,102.95,102.47
102.48,102.09,102.50,102.09
102.40,102.74,102.74,102.40
102.80,102.87,103.00,102.40
103.00,103.09,103.16,102.79
103.23,102.94,103.23,102.57
102.40,102.44,102.98,101.85
102.30,102.44,102.60,102.13
102.20,101.99,102.28,101.90
101.48,101.51,101.82,101.04
101.94,101.65,101.94,101.35
101.54,101.41,101.69,101.14
101.62,101.78,101.88,101.38
101.42,101.66,101.92,101.42
101.65,101.55,101.75,101.35
101.70,101.56,101.70,101.41
101.60,101.65,101.79,101.51
101.54,100.80,101.54,100.68
100.49,100.67,100.94,100.47
100.36,100.42,100.72,100.36
100.70,100.42,100.70,100.05
100.20,100.44,100.67,100.19
100.54,100.77,100.91,100.46
100.97,100.25,100.97,100.25
99.95,100.38,100.38,99.59
100.20,100.18,100.42,99.81
100.40,100.35,100.40,100.07
100.34,99.89,100.34,99.60
99.90,100.37,100.44,99.90
99.53,99.53,99.67,99.09
99.40,99.42,99.73,99.14
99.52,99.46,99.69,99.38
99.16,99.20,99.45,98.90
99.00,99.20,99.56,98.74
99.10,99.91,99.91,99.10
99.54,99.63,99.84,99.36
99.66,99.40,99.75,99.09
99.72,99.50,99.80,99.34
99.76,99.72,100.00,99.65
100.06,100.36,100.42,99.76
100.14,99.70,100.22,99.70
99.50,99.65,99.99,99.44
99.51,99.33,99.70,99.16
99.54,99.69,99.84,99.36
100.23,100.10,100.30,99.61
100.00,100.06,100.17,99.85
100.06,100.32,100.52,100.06
100.50,100.32,100.54,99.85
100.10,100.88,101.10,100.06
101.30,100.50,101.35,100.35
100.42,100.40,100.78,100.38
100.34,100.09,100.51,100.09
100.21,100.52,100.71,100.21
100.52,100.73,100.73,100.38
100.73,100.70,100.77,100.49
100.99,101.28,101.36,100.73
100.90,100.35,100.95,100.33
101.11,100.58,101.18,100.33
100.90,100.38,100.90,100.29
100.40,100.55,100.67,100.35
100.55,100.26,100.69,100.25
100.09,100.35,100.51,100.09
100.49,100.35,100.70,100.23
100.69,100.86,101.13,100.69
101.30,101.49,101.65,101.30
101.62,101.96,102.30,101.62
102.24,102.27,102.50,101.80
101.80,101.79,101.84,101.55
101.55,101.56,101.75,101.41
101.43,101.27,101.43,101.08
101.78,100.98,101.78,100.95
101.49,101.28,101.71,101.01
101.30,100.45,101.30,100.20
100.61,99.24,100.61,98.90
98.88,99.03,99.31,98.88
98.45,98.60,99.19,98.45
98.45,98.16,98.52,97.99
98.09,98.53,98.99,98.04
98.87,98.10,98.88,97.98
98.37,98.55,98.70,98.09
98.31,98.42,98.55,97.91
98.87,97.90,99.45,97.45
98.36,98.26,98.77,97.76
98.59,98.42,98.71,98.31
98.42,97.70,98.42,97.61
97.92,98.16,98.32,97.92
98.64,98.89,98.97,98.36
99.36,98.72,99.36,98.09
99.20,98.66,99.20,97.01
98.15,98.30,98.58,98.08
98.51,98.68,98.93,98.51
99.10,99.99,100.46,98.76
100.00,99.89,100.04,99.46
99.47,99.30,99.61,99.07
99.47,99.97,99.97,99.19
100.20,100.10,100.50,99.93
100.67,100.68,100.97,100.53
100.48,101.38,101.46,100.48
101.36,101.29,101.42,100.85
100.91,101.22,101.27,100.87
