AE,Adams Resources & Energy,NASDAQ
19.75,19.25,19.92,19.25
19.20,19.01,19.27,19.01
19.25,19.35,19.50,19.20
19.20,19.19,19.33,19.10
19.05,18.76,19.20,18.76
18.75,18.90,18.90,18.72
18.75,18.97,19.00,18.75
19.30,18.91,19.35,18.91
19.26,19.11,19.26,18.75
18.80,18.78,19.07,18.75
18.75,17.55,18.88,17.52
17.98,17.51,17.98,17.50
17.74,17.04,17.74,17.04
17.38,17.34,17.75,17.13
17.13,16.86,17.13,16.60
17.10,17.20,17.58,16.85
17.48,17.00,17.75,17.00
17.60,16.25,17.60,16.25
16.51,16.74,16.74,16.42
16.68,16.90,16.95,16.55
16.70,16.47,16.77,16.25
16.12,16.45,16.45,16.12
16.45,16.05,16.50,16.05
16.25,15.75,16.31,15.75
15.75,15.75,15.87,15.25
15.90,16.00,16.25,15.41
16.25,17.20,17.30,16.25
17.29,17.00,17.75,17.00
16.98,17.00,17.25,16.98
17.10,17.74,17.74,17.10
17.75,18.20,18.25,17.72
17.99,17.11,18.25,16.63
17.41,16.71,17.45,16.65
17.00,16.40,17.00,16.40
16.88,16.50,16.88,16.50
16.80,16.55,16.80,16.55
16.93,16.60,16.97,16.55
17.25,17.08,17.25,16.73
16.86,16.92,17.24,16.70
17.25,16.81,17.25,16.80
17.10,16.51,17.10,16.51
16.70,18.44,18.45,16.52
18.70,17.95,18.70,17.75
17.89,18.24,18.24,17.85
17.88,17.75,18.18,17.75
17.75,17.55,17.75,17.12
17.30,17.73,17.75,17.11
17.97,17.87,18.00,17.55
17.75,17.52,17.75,17.52
17.28,18.00,18.24,17.25
18.25,18.00,18.45,17.98
18.49,18.35,18.49,18.26
18.35,18.98,18.98,18.04
18.98,19.60,19.80,18.98
19.55,19.91,19.91,19.55
19.61,19.80,20.05,19.00
19.84,19.55,19.84,19.55
19.55,19.55,19.55,19.28
19.50,19.37,19.50,19.37
19.50,20.39,20.75,19.50
20.72,20.90,21.21,20.28
20.72,20.11,20.72,20.11
20.31,20.30,20.80,20.14
20.15,20.35,20.50,20.00
20.91,20.97,21.01,20.51
20.26,20.63,20.73,20.26
20.50,20.95,21.20,20.50
21.40,21.40,21.49,21.40
21.45,21.20,21.45,21.20
19.30,19.30,19.30,19.30
21.25,21.05,21.25,21.00
21.25,21.00,21.49,20.90
21.06,20.60,21.16,20.46
20.62,20.50,20.62,20.30
20.58,20.51,20.75,20.30
20.60,20.35,20.60,20.35
20.50,20.35,20.76,20.29
20.25,20.32,20.32,19.79
20.29,20.29,20.29,20.29
20.25,19.24,20.25,19.24
19.50,18.40,19.50,18.40
18.27,17.84,18.73,17.84
17.39,18.39,18.50,17.39
18.07,18.46,18.46,18.07
18.43,18.44,18.44,18.43
18.30,17.98,18.30,17.75
17.60,17.59,18.10,17.54
17.30,17.50,17.50,17.00
17.50,17.15,17.51,16.60
17.00,17.15,17.35,17.00
17.17,17.17,17.30,17.17
16.82,16.87,17.10,16.82
17.09,17.00,17.10,16.75
17.14,16.72,17.15,16.72
16.65,16.70,17.00,16.65
16.75,16.95,16.95,16.65
16.80,16.71,16.80,16.71
16.98,16.75,16.98,16.71
16.75,17.13,17.15,16.75
17.25,17.30,17.30,17.24
17.30,17.61,17.80,17.30
17.40,18.25,18.25,17.40
18.25,18.26,18.26,18.00
18.50,18.49,18.50,18.05
18.72,17.35,18.72,17.35
17.67,17.58,17.70,17.30
17.40,17.29,17.89,17.29
17.20,17.10,17.20,16.60
15.82,15.82,15.82,15.82
16.85,17.05,17.57,16.85
17.01,16.90,17.01,16.81
16.60,17.56,17.56,16.00
17.72,18.45,19.08,17.72
18.84,17.75,18.84,17.75
17.99,18.07,18.25,17.86
18.30,18.70,19.00,18.30
18.78,18.77,18.80,18.77
19.25,19.10,19.30,19.00
19.40,19.65,19.65,18.95
19.65,19.92,20.00,19.61
18.15,19.00,19.25,18.15
19.25,19.00,19.25,19.00
19.35,19.34,19.45,19.05
19.10,18.80,19.15,18.80
19.00,18.80,19.00,18.80
19.04,19.00,19.25,18.85
18.98,18.99,19.00,18.80
18.98,19.20,19.25,18.75
18.00,18.00,18.00,18.00
19.25,19.33,20.25,19.10
19.40,19.20,20.19,19.15
19.00,19.05,19.54,19.00
19.20,19.21,19.21,18.86
19.22,19.86,19.86,19.22
19.43,19.60,19.70,19.23
19.60,19.71,19.71,19.37
19.70,19.77,19.98,19.63
19.80,20.15,20.25,19.80
20.50,20.99,21.10,20.50
21.10,20.76,21.10,20.50
20.94,21.40,21.40,20.60
21.85,21.65,22.27,21.60
21.78,21.75,22.20,21.70
22.10,22.60,22.60,22.10
22.50,23.48,24.95,22.30
23.86,23.42,24.72,22.72
23.40,22.80,23.75,22.45
23.04,22.82,23.04,22.82
23.32,23.30,23.45,22.75
23.70,23.59,23.70,23.20
23.65,23.55,24.00,22.90
23.10,22.91,23.10,22.75
23.00,23.25,23.40,22.90
23.72,23.70,24.17,23.26
23.60,23.28,23.60,22.75
22.70,23.15,23.25,22.20
23.40,23.20,23.40,23.00
23.30,23.69,23.75,23.15
23.75,23.70,23.79,23.45
23.70,23.54,24.00,23.20
23.66,23.00,23.66,23.00
22.55,23.10,23.10,22.55
23.19,23.10,23.20,22.85
23.35,23.05,23.50,23.05
23.44,23.00,23.49,23.00
23.50,22.50,23.50,22.50
22.50,21.75,22.50,21.57
21.44,22.32,22.50,21.44
22.65,22.40,23.40,21.85
22.40,22.84,23.25,22.40
22.70,23.15,23.50,22.70
23.14,23.22,23.40,23.01
23.02,23.30,23.77,23.02
23.28,23.01,23.28,23.01
23.23,23.75,23.81,23.19
23.39,24.70,25.00,23.39
24.35,24.15,24.50,23.75
24.38,24.32,24.50,24.11
24.11,24.49,24.75,24.11
24.84,24.10,24.86,24.00
23.73,24.42,24.42,23.23
24.00,24.12,24.12,24.00
24.11,23.65,24.26,23.65
23.88,24.20,24.40,23.54
24.33,24.74,24.75,24.33
24.74,25.72,25.96,24.74
25.28,25.26,25.90,25.20
25.30,25.51,25.80,25.14
25.25,25.11,25.67,24.76
25.49,25.35,25.50,25.00
24.95,24.67,24.96,24.65
23.53,23.53,23.53,23.53
24.50,24.73,24.73,24.50
23.75,23.63,24.20,23.50
23.45,23.94,23.95,22.46
24.00,23.92,24.00,23.60
23.95,24.05,24.25,23.75
24.50,25.01,25.34,24.49
25.50,25.40,25.95,25.35
25.72,25.60,25.88,25.60
25.89,25.72,25.90,25.50
25.90,25.23,25.90,25.08
25.85,25.75,26.00,25.15
25.41,25.70,25.70,25.15
25.60,25.81,25.81,25.48
25.70,25.78,25.90,25.60
25.35,25.95,25.95,25.35
25.95,27.13,27.40,25.57
27.45,27.32,28.92,27.05
28.71,27.45,28.71,27.35
27.85,27.20,27.90,26.55
27.33,27.51,27.70,27.14
27.88,28.15,28.15,27.70
28.35,27.96,28.35,27.76
27.66,28.59,31.30,27.65
28.41,28.51,28.70,27.87
28.75,28.25,28.86,28.25
28.60,28.60,28.60,28.25
28.25,27.53,28.25,27.25
28.00,27.47,28.00,27.26
27.05,26.80,27.25,26.66
27.00,26.52,27.00,26.12
26.10,26.01,26.40,26.00
26.20,26.15,26.21,26.15
26.00,26.00,26.27,26.00
25.75,25.97,25.97,25.50
25.30,24.41,25.39,24.41
24.34,23.62,24.34,23.50
24.15,23.40,24.15,23.40
23.27,24.93,25.25,23.08
25.50,26.00,26.00,25.02
26.50,26.65,27.25,26.00
27.25,27.54,28.00,27.10
27.37,27.07,27.37,26.82
27.08,26.96,27.11,26.78
27.22,27.18,27.45,27.00
27.55,27.18,27.55,27.18
27.11,27.09,27.75,27.09
28.00,28.33,28.50,27.75
28.45,28.79,29.50,28.45
28.90,28.81,29.36,28.50
29.09,29.35,30.00,29.09
29.00,29.38,29.75,29.00
29.28,29.10,29.28,29.10
29.37,28.99,29.40,28.76
28.72,29.00,29.00,28.72
28.53,29.19,29.40,28.51
28.53,28.15,29.40,27.87
28.30,28.30,28.47,27.87
28.50,28.70,28.70,28.50
28.85,28.85,28.85,28.70
28.87,28.87,29.50,28.86
29.21,28.70,29.21,28.70
29.12,29.45,30.00,28.92
29.70,29.59,30.05,29.45
30.49,29.58,30.49,29.58
30.49,29.58,30.50,29.57
29.50,29.56,29.70,29.25
30.30,30.10,30.50,29.85
29.26,29.36,29.60,29.26
29.36,29.42,29.80,29.26
29.61,29.44,29.65,29.37
29.95,29.51,29.95,29.31
29.40,28.90,29.40,28.77
28.85,28.11,28.85,28.11
28.52,27.95,28.52,27.95
27.73,27.27,27.77,27.27
27.54,27.06,27.54,26.99
26.85,26.90,26.99,26.85
26.76,26.74,29.40,26.71
26.29,25.27,26.29,25.27
25.00,24.95,25.00,24.48
24.51,24.79,24.79,24.51
24.50,23.95,24.50,23.60
24.05,23.87,24.06,23.76
23.27,23.76,23.80,23.27
23.74,23.75,23.76,23.55
23.75,24.00,24.10,23.69
24.23,24.49,24.74,23.66
24.96,25.15,25.50,24.96
25.15,26.10,26.44,25.15
26.33,26.35,26.57,26.33
26.35,26.00,26.52,26.00
25.50,25.43,25.67,25.00
25.30,24.42,25.35,23.90
23.80,23.72,24.44,22.51
23.80,24.05,24.05,23.56
24.10,23.85,24.15,23.40
23.99,25.35,25.40,23.28
25.50,25.45,25.50,24.85
25.09,25.20,26.62,25.09
24.85,25.79,25.79,24.79
25.77,25.00,26.70,24.95
24.82,24.71,25.00,24.54
24.86,25.50,25.50,24.76
25.76,25.40,25.76,25.40
25.90,25.20,25.90,24.75
22.93,22.93,22.93,22.93
25.60,25.11,25.60,24.79
25.00,24.79,25.00,24.58
20.33,20.33,20.33,20.33
24.95,24.75,25.00,24.53
25.50,25.34,25.50,25.25
25.38,25.17,25.38,25.00
25.49,25.98,25.98,25.44
25.04,25.19,25.50,24.50
25.00,25.23,25.41,25.00
25.72,25.67,25.90,25.35
25.00,25.16,25.66,25.00
25.50,25.76,25.99,25.28
25.96,26.19,26.37,25.96
25.73,26.19,26.19,25.50
26.40,26.80,27.04,26.40
26.38,26.62,26.70,26.17
26.98,26.85,27.50,26.20
27.23,29.00,29.00,27.20
28.03,28.64,28.64,28.00
29.00,28.60,29.07,28.60
28.77,28.25,28.77,28.05
28.37,27.75,28.37,27.72
27.02,26.51,27.02,26.50
26.58,26.56,27.20,26.47
25.66,25.80,26.92,25.57
25.85,25.14,25.85,23.77
24.74,25.44,25.44,24.67
25.29,25.41,25.43,24.84
24.82,25.48,25.55,24.47
24.71,24.75,25.42,24.01
23.97,22.77,23.98,21.00
22.52,23.20,23.20,22.52
23.39,23.62,23.62,23.19
23.23,25.01,25.42,22.82
25.90,25.75,26.02,25.75
24.77,25.11,25.25,24.11
24.50,24.26,24.66,24.26
24.25,23.74,24.25,23.59
24.30,23.71,24.30,23.50
23.54,22.92,23.54,22.55
18.79,18.79,18.79,18.79
23.16,23.16,23.16,23.16
23.00,22.83,23.00,22.50
23.00,23.15,23.24,22.80
23.20,22.85,23.20,22.71
23.12,23.21,23.78,22.71
19.03,19.03,19.03,19.03
23.23,23.47,23.50,23.20
23.50,23.11,23.92,23.11
23.67,22.70,23.67,22.70
22.72,21.43,22.72,21.00
21.64,22.85,23.52,21.64
22.69,23.41,23.41,22.57
23.24,22.60,23.24,22.15
21.95,22.75,22.75,21.90
22.88,22.71,22.88,22.34
22.99,23.00,23.51,22.99
23.52,23.07,23.59,23.07
23.02,22.86,23.02,22.86
22.13,21.66,22.36,21.63
21.76,22.00,23.12,21.63
21.98,21.68,23.32,21.68
21.52,21.00,21.94,19.90
20.97,20.60,21.10,20.60
20.51,20.73,21.00,20.51
20.98,20.48,21.60,19.23
20.90,19.91,20.90,19.91
20.19,19.65,20.19,19.23
20.07,20.10,20.30,18.73
19.55,19.82,20.01,19.03
19.71,20.13,20.75,18.90
19.60,19.35,21.20,19.15
19.86,19.93,20.12,19.12
19.77,19.50,19.77,19.50
19.40,20.20,20.50,19.40
20.09,19.94,21.06,19.94
20.48,20.21,20.55,19.85
20.25,21.13,21.40,20.25
21.20,20.88,21.72,20.21
21.06,21.15,22.00,20.07
21.62,21.59,23.10,21.58
21.68,21.90,21.98,20.64
21.94,21.75,21.94,21.64
22.00,21.94,23.50,21.94
22.30,22.51,23.20,21.94
21.29,22.00,22.39,21.29
22.75,22.39,22.75,22.05
23.51,23.00,23.75,22.68
23.00,23.50,24.00,22.88
23.99,23.70,23.99,23.10
23.25,22.90,23.58,22.90
23.73,23.45,23.73,23.37
23.38,23.62,24.00,23.38
23.09,20.15,23.65,20.15
20.15,20.63,20.97,20.15
21.47,21.88,22.00,21.43
21.82,20.90,22.20,20.36
21.20,24.00,24.00,21.20
23.85,23.52,24.02,23.00
22.95,24.05,24.05,22.92
23.63,24.91,24.94,23.49
24.53,25.75,26.25,24.53
25.76,25.49,26.25,24.70
25.40,25.08,25.84,25.02
25.08,24.96,25.60,24.00
24.55,25.13,25.47,24.55
24.96,25.25,25.80,24.30
25.14,25.95,25.95,25.14
26.10,27.39,27.50,25.89
26.35,25.53,27.25,24.95
26.42,26.49,27.00,25.10
26.86,27.42,27.42,26.60
27.42,28.00,28.00,26.95
28.00,28.03,28.88,27.41
27.86,27.84,28.62,27.42
27.69,27.70,28.21,26.67
27.65,26.70,27.78,26.52
26.55,26.40,26.91,25.20
26.11,27.30,27.31,26.11
27.96,27.86,27.99,26.79
27.77,27.10,28.42,27.10
27.14,26.71,27.35,26.55
27.18,26.40,28.35,26.40
26.40,26.51,27.13,26.40
26.55,27.00,28.09,26.55
27.20,27.61,28.00,27.00
27.55,27.10,27.55,27.00
27.29,27.71,27.97,27.02
27.53,27.80,28.00,27.53
27.96,27.26,27.96,27.00
27.50,28.00,28.10,27.27
28.34,29.11,29.50,27.68
29.50,29.51,29.92,29.20
29.59,31.30,31.30,29.59
31.00,31.34,31.95,30.55
31.55,32.89,33.00,31.55
33.23,36.58,36.65,32.51
37.47,37.93,37.95,37.02
37.91,37.60,38.20,37.00
37.89,34.31,37.89,34.31
34.45,34.14,35.50,32.75
34.49,36.35,36.89,34.28
36.63,36.44,36.78,35.84
36.50,36.71,37.24,36.50
37.00,37.18,37.18,36.75
38.10,37.88,38.10,37.00
38.00,37.85,38.00,37.28
37.95,38.48,38.60,37.95
39.00,38.81,39.49,38.42
38.80,38.50,38.80,38.49
38.80,38.78,39.53,38.38
39.22,38.13,39.22,38.13
38.36,38.44,38.50,38.33
38.97,38.74,38.97,38.34
39.00,38.49,39.00,38.18
37.98,38.34,39.00,37.98
38.75,38.90,39.00,38.45
38.69,39.75,39.75,38.65
40.02,40.73,41.50,40.02
40.89,40.40,41.30,40.10
40.96,40.95,41.00,40.76
40.90,40.90,41.57,40.34
41.19,40.90,41.19,40.00
40.75,40.49,40.96,38.49
40.93,38.28,40.93,38.26
38.71,38.87,39.15,38.28
38.97,39.72,40.29,38.87
40.00,40.11,40.35,40.00
40.36,41.18,41.45,40.34
41.41,41.89,42.45,41.41
42.11,41.94,42.11,41.29
42.04,41.47,42.50,41.47
41.86,45.70,46.00,41.86
46.15,45.89,46.15,44.50
46.12,44.89,46.18,44.83
45.10,44.90,46.01,44.02
44.68,44.40,45.00,44.12
44.97,44.85,44.99,44.55
45.08,44.75,45.40,44.51
45.38,45.71,46.00,45.20
45.99,46.00,46.00,44.96
46.00,47.62,47.85,45.73
47.50,52.00,52.62,47.50
52.00,55.83,56.33,52.00
55.85,56.79,59.15,55.38
57.91,58.73,58.73,56.96
58.73,58.67,60.43,57.88
58.00,58.90,58.90,57.10
59.00,62.97,62.97,58.92
63.50,65.90,66.13,62.20
66.16,69.89,70.73,66.16
70.74,73.94,75.13,70.00
74.66,64.28,74.66,64.28
64.28,57.18,64.37,56.58
56.94,59.26,62.44,54.63
59.25,58.30,59.25,56.60
56.82,59.45,59.45,55.20
59.30,66.95,67.20,59.25
66.29,71.54,73.95,65.33
72.26,68.00,74.73,67.39
68.50,68.51,71.34,66.96
68.51,69.03,69.90,67.25
69.27,69.15,70.16,68.86
70.11,71.03,71.03,67.60
71.66,70.00,71.92,69.01
70.00,67.29,70.07,67.21
66.99,65.92,66.99,64.58
66.35,59.82,66.36,59.10
59.70,57.35,60.20,56.06
57.29,57.86,58.51,54.91
58.36,61.59,61.87,58.08
61.58,61.50,61.59,59.68
61.28,60.50,61.30,58.52
60.51,60.73,61.73,60.08
60.63,62.61,64.70,59.38
62.33,61.79,62.65,61.05
61.49,59.89,62.83,59.89
59.30,58.90,60.63,58.59
58.01,58.28,59.32,57.57
57.93,57.99,58.38,56.76
56.88,53.83,58.27,52.74
53.66,53.64,55.81,52.15
53.18,44.25,53.18,42.99
44.00,40.27,44.00,39.01
39.60,38.82,40.84,38.09
38.32,37.77,38.74,36.51
36.66,36.07,37.35,35.77
35.70,33.75,36.00,33.01
33.65,34.96,36.88,28.56
35.03,35.88,35.88,33.81
35.93,37.24,37.25,34.90
37.05,37.11,37.68,35.78
36.86,37.18,37.35,36.60
37.18,36.92,37.29,36.14
36.84,34.81,37.25,34.52
34.91,35.45,36.57,33.08
34.72,32.66,36.11,32.64
32.88,33.11,33.38,31.35
32.88,32.81,33.29,31.35
32.83,33.25,34.48,32.80
33.25,31.71,33.25,30.20
31.04,29.50,31.08,28.58
29.50,28.94,30.22,27.85
29.50,29.72,29.88,28.56
30.19,30.14,30.70,29.12
30.57,32.18,32.76,30.00
32.04,33.80,34.38,31.80
33.50,35.52,36.24,33.01
36.01,39.70,39.99,35.98
40.00,39.73,40.49,38.02
39.69,38.20,39.92,37.30
37.67,37.39,37.95,36.07
36.70,37.59,37.96,34.06
37.76,38.60,38.89,37.76
38.93,39.38,39.80,38.32
38.82,39.22,39.88,37.41
41.20,41.92,42.50,40.68
41.53,42.10,42.10,41.40
42.26,43.00,43.00,40.29
43.00,43.02,43.46,42.01
43.20,42.34,43.40,42.00
42.48,42.40,42.80,41.00
43.07,43.54,43.90,42.25
43.68,43.95,44.40,42.63
43.52,42.80,43.90,42.39
43.18,46.45,47.12,42.73
46.44,45.65,47.33,45.17
46.57,44.32,47.00,43.81
44.24,45.89,46.16,43.89
46.44,46.09,47.00,45.30
46.02,42.77,46.02,42.23
42.47,44.58,44.65,40.24
44.42,44.11,44.81,43.40
44.75,44.48,45.00,43.55
44.98,43.20,45.45,42.93
43.59,42.32,43.59,40.07
42.59,41.94,42.59,41.32
42.11,41.56,42.11,40.19
41.64,40.17,41.64,40.17
40.07,39.67,40.72,39.35
40.23,39.90,41.60,39.30
39.47,38.18,39.56,37.68
38.72,38.11,39.50,37.90
37.47,37.22,37.88,37.03
36.97,36.57,37.72,35.75
35.89,36.32,37.00,35.89
36.45,34.38,37.00,33.02
35.75,35.35,36.90,35.01
35.30,35.84,35.84,34.75
36.87,38.29,38.29,36.20
38.30,39.45,39.47,35.39
39.35,39.41,40.49,38.55
39.45,38.06,39.45,37.63
38.54,36.78,38.54,36.65
36.14,35.26,36.22,35.12
35.50,35.62,35.62,34.00
35.70,35.09,35.70,35.01
35.56,35.59,35.86,35.29
35.95,36.00,36.00,35.64
35.67,35.05,35.67,35.00
35.33,35.10,36.20,35.00
35.59,35.65,35.84,35.16
35.97,35.30,35.97,35.00
35.83,36.34,36.37,34.50
36.14,36.07,36.40,36.07
36.00,36.00,36.24,36.00
36.24,36.14,36.24,35.85
35.98,36.70,37.42,35.98
36.67,36.41,36.67,36.22
36.72,36.44,37.05,36.44
36.43,35.15,36.43,35.00
34.80,34.72,35.11,34.12
34.81,33.87,34.81,33.86
34.00,33.60,34.39,33.53
33.90,33.16,33.95,32.90
33.16,32.89,33.16,32.55
32.40,32.15,32.62,32.10
32.00,31.02,32.08,31.02
30.68,30.75,30.94,30.00
30.11,30.50,30.80,30.11
30.55,31.40,31.88,30.53
31.54,31.99,33.76,31.40
32.30,32.58,32.99,32.07
32.74,33.88,34.31,32.74
34.33,35.25,35.25,34.31
34.90,35.21,35.48,34.90
35.71,35.25,35.71,35.25
35.50,34.69,35.50,34.33
35.12,33.48,35.12,33.48
33.76,32.52,34.77,32.36
32.47,33.16,33.16,32.00
33.07,32.98,33.09,32.43
32.72,33.37,33.69,32.55
33.82,32.35,33.89,32.30
32.00,31.77,32.19,31.44
31.50,31.50,31.83,31.45
31.44,31.44,31.66,31.44
31.32,29.87,31.74,29.87
30.41,29.99,31.00,29.15
30.24,30.50,30.50,29.55
30.22,30.42,30.70,30.10
30.73,30.59,30.77,30.51
30.94,30.12,30.94,30.02
29.93,30.25,30.61,29.93
30.50,30.80,30.83,30.50
30.36,29.65,30.56,29.61
30.08,29.50,31.00,29.50
29.33,31.08,31.23,28.10
31.10,31.95,32.69,31.10
31.71,32.03,32.42,31.71
32.30,31.99,32.65,31.99
32.32,32.16,33.16,31.91
32.49,34.59,35.00,32.22
35.00,35.46,35.50,34.71
35.06,35.06,36.20,35.04
35.00,34.33,35.00,34.19
34.30,33.48,34.70,33.15
33.95,33.61,33.95,33.19
33.27,32.83,33.27,32.40
32.41,32.35,32.41,31.77
32.30,32.49,32.51,31.90
32.51,34.89,34.90,32.51
35.00,34.81,35.00,34.27
35.00,34.29,35.00,34.05
34.70,33.71,34.70,33.55
33.41,33.00,33.49,33.00
33.73,33.60,33.96,33.15
33.86,33.61,34.09,33.61
33.60,34.00,34.00,33.33
33.26,33.96,34.10,33.26
33.96,33.08,34.03,32.56
33.10,33.19,33.19,32.77
33.07,33.12,33.12,32.70
33.16,34.15,34.24,33.02
34.00,33.61,34.10,33.61
33.41,34.01,34.01,33.41
34.00,34.00,34.00,33.30
33.50,33.50,33.50,33.00
33.50,33.34,33.96,33.24
33.50,32.60,33.52,31.02
32.40,33.99,34.26,32.37
33.94,35.07,35.74,33.84
36.33,36.36,37.26,36.00
36.60,36.16,36.60,36.16
36.13,35.81,36.59,35.13
36.09,35.09,36.09,35.03
35.32,35.10,35.67,35.10
35.65,35.10,36.35,35.10
35.63,35.53,35.86,35.27
35.57,35.94,36.02,34.52
35.39,37.79,37.91,35.39
37.79,37.10,38.33,37.10
37.50,37.28,37.50,36.45
37.91,36.75,37.91,36.55
36.47,35.96,36.47,35.82
33.75,36.74,36.92,33.75
37.29,36.82,37.36,35.05
37.25,36.94,38.21,36.94
37.32,36.69,37.53,36.41
36.80,36.81,37.25,36.55
36.50,36.95,37.00,36.10
36.94,36.07,36.94,35.97
35.88,35.69,36.09,35.50
36.00,36.82,37.00,35.77
36.93,36.40,37.00,36.37
36.42,36.83,36.94,36.42
36.90,36.44,36.90,36.30
36.46,36.38,37.05,36.26
36.71,36.59,37.72,36.43
36.90,36.81,37.16,36.65
37.00,36.86,37.00,36.62
36.80,37.00,37.39,36.65
37.25,37.55,37.71,37.25
37.25,37.61,37.72,37.25
37.65,38.58,38.58,37.65
42.59,38.00,42.59,38.00
37.88,37.92,38.50,36.40
38.04,37.60,38.89,36.50
38.04,38.52,39.24,38.04
38.65,40.30,40.34,38.51
40.29,40.39,40.62,40.00
40.50,39.81,40.91,39.50
39.35,39.92,39.93,39.14
40.00,39.51,40.62,39.05
39.70,39.25,40.00,38.55
39.58,39.25,39.78,39.00
39.12,40.68,40.88,39.12
41.00,42.84,43.89,41.00
42.67,42.32,43.04,41.80
42.28,41.80,42.70,41.80
41.94,41.25,42.15,41.08
41.37,41.26,41.37,40.54
42.41,45.60,46.60,41.60
46.39,50.90,52.04,45.31
51.06,52.43,52.84,50.00
52.96,55.19,55.72,52.96
55.35,51.03,55.82,50.98
51.03,49.53,51.03,49.25
50.25,50.70,51.56,50.21
51.50,52.50,52.60,51.39
52.61,51.65,52.73,50.16
51.59,51.00,52.30,49.26
51.33,50.47,51.47,49.90
50.84,46.85,51.49,46.60
47.11,43.00,47.11,43.00
43.50,44.41,45.27,43.15
43.39,44.70,45.31,43.00
44.09,45.00,45.26,43.40
44.99,46.02,46.61,44.51
45.74,49.83,49.98,45.74
49.56,48.85,50.99,48.20
49.05,48.85,49.70,47.78
48.70,47.70,48.70,46.71
47.00,47.39,49.15,47.00
47.00,46.01,47.41,45.67
46.56,45.77,47.09,45.77
46.00,47.04,47.99,46.00
47.50,46.72,47.91,46.21
46.79,48.59,48.77,46.79
47.99,48.38,49.27,47.97
48.89,48.84,49.49,48.34
48.69,49.00,49.53,48.25
49.61,49.12,50.16,49.00
49.04,49.69,50.37,48.56
50.09,48.65,50.15,45.84
49.14,48.70,49.21,48.00
49.20,49.30,49.50,48.01
46.00,49.60,49.80,46.00
49.05,49.03,49.61,48.71
49.46,49.29,49.60,48.89
50.43,57.10,57.50,50.39
57.79,57.49,60.49,56.50
58.00,59.60,59.85,56.78
59.33,61.00,61.80,59.16
62.03,61.66,62.45,60.94
61.09,63.00,63.00,61.09
63.00,61.71,63.82,61.68
61.47,62.39,62.40,60.15
62.00,63.29,63.71,61.95
63.40,60.50,63.40,60.32
59.40,59.50,59.69,58.47
58.66,59.96,60.00,58.66
60.81,63.25,63.64,60.81
63.00,63.50,64.30,61.54
64.03,63.25,64.44,62.11
62.62,62.64,63.10,61.46
62.40,62.99,63.94,61.50
63.26,63.00,63.95,61.90
62.89,61.70,62.89,61.17
62.00,60.40,62.01,59.78
61.01,61.17,61.58,59.40
61.50,62.00,63.85,60.90
61.40,60.97,62.00,60.79
61.10,61.03,61.55,60.56
61.43,65.79,66.40,61.25
65.43,64.64,66.50,64.64
65.00,65.50,66.46,64.71
65.50,68.60,68.60,65.50
68.39,69.20,70.80,68.00
69.00,67.00,69.42,66.07
