IDSA,Industrial Services of America,NASDAQ
13.29,12.89,13.30,12.33
12.99,12.84,12.99,12.70
12.82,13.00,13.13,12.67
13.28,13.18,13.30,13.09
13.23,13.85,14.02,13.20
13.85,13.81,13.99,13.60
13.82,13.96,14.00,13.56
14.00,13.93,14.00,13.77
13.93,12.76,13.99,12.64
12.76,12.95,13.15,12.53
13.00,13.99,14.00,12.91
13.98,13.66,13.99,13.56
13.64,13.49,13.76,13.30
13.60,13.43,13.66,13.35
13.49,13.69,13.71,13.45
13.63,13.70,13.81,13.22
13.70,13.47,13.70,13.42
13.47,13.67,13.75,13.31
13.60,13.65,13.87,13.31
13.62,13.55,13.64,13.46
13.55,13.63,13.75,13.50
13.68,13.50,13.70,13.48
13.39,13.50,13.50,13.32
13.50,13.49,13.60,13.40
13.35,12.86,13.35,12.84
12.66,10.75,12.66,10.00
10.80,11.00,11.25,10.67
11.25,11.01,11.25,10.86
11.17,10.75,11.19,10.47
10.74,10.80,10.95,10.61
10.75,10.70,10.80,10.56
10.80,10.84,11.08,10.75
10.95,10.90,11.09,10.85
10.98,10.68,11.02,10.66
10.74,10.63,10.77,10.57
10.70,10.68,10.85,10.61
10.60,10.35,10.75,10.31
10.37,10.38,10.53,10.20
10.33,10.55,10.58,10.24
10.26,10.30,10.30,9.83
10.27,10.17,10.32,9.95
10.33,10.16,10.33,10.05
10.25,10.18,10.51,10.16
10.33,10.48,10.59,10.18
10.74,10.16,10.74,10.16
10.15,10.17,10.38,10.10
10.27,9.96,10.27,9.93
10.04,10.05,10.16,9.98
10.62,11.82,12.27,10.62
11.84,10.89,11.84,10.83
10.90,11.18,11.58,10.89
11.18,11.33,11.38,11.03
11.38,10.95,11.38,10.81
10.93,10.94,10.98,10.77
10.87,10.77,10.88,10.71
10.83,10.71,10.85,10.68
10.69,10.40,10.69,10.25
10.41,10.44,10.45,10.30
10.49,10.18,10.49,10.16
10.18,10.10,10.20,10.05
10.19,10.30,10.41,10.05
10.33,10.34,10.38,10.18
10.50,10.84,10.87,10.33
10.69,10.65,10.69,10.05
10.67,10.80,10.92,10.61
10.97,10.86,11.14,10.80
10.87,11.36,11.38,10.87
11.31,11.30,11.45,11.01
11.31,11.67,11.85,11.15
11.66,11.39,11.66,11.24
11.43,11.60,11.81,11.33
11.67,11.90,12.15,11.67
13.00,11.59,13.02,11.50
11.60,11.35,11.90,11.17
11.35,10.87,11.42,10.61
10.83,10.53,10.85,10.45
10.64,10.60,10.93,10.41
10.63,10.57,10.79,10.32
10.57,10.91,11.03,10.57
10.95,10.70,10.95,10.65
10.57,10.24,10.70,10.20
10.28,10.24,10.35,10.20
10.20,10.39,10.58,10.20
10.42,10.31,10.53,10.27
10.31,10.31,10.38,10.25
10.43,10.38,10.64,10.28
10.35,10.40,10.54,10.19
10.18,10.16,10.36,10.15
10.17,9.93,10.28,9.90
9.93,10.01,10.04,9.90
9.99,10.43,10.50,9.99
10.50,10.44,10.52,10.36
10.55,10.47,10.55,10.40
10.47,10.26,10.48,10.21
10.21,10.27,10.31,10.20
10.25,10.26,10.26,10.18
10.20,9.93,10.20,9.90
10.00,9.78,10.08,9.71
9.76,9.81,9.89,9.69
9.82,9.82,9.95,9.69
9.76,10.05,10.14,9.75
10.15,9.84,10.15,9.79
9.93,9.90,9.94,9.84
9.81,9.51,9.85,9.31
9.51,9.48,9.57,9.45
9.56,9.42,9.56,9.35
9.39,9.56,9.57,9.26
9.63,10.24,10.38,9.63
10.20,9.69,10.33,9.32
9.57,9.78,9.88,9.47
9.88,10.00,10.10,9.83
10.01,10.02,10.08,9.88
10.00,10.02,10.03,9.76
10.00,10.40,10.52,10.00
10.49,10.55,10.55,10.40
10.50,10.80,10.84,10.50
10.77,11.22,11.30,10.61
11.19,10.88,11.27,10.78
10.93,11.22,11.27,10.82
11.20,10.94,11.20,10.90
10.83,10.58,10.93,10.48
10.46,10.59,10.59,10.15
10.57,10.78,11.00,10.49
10.82,10.75,10.95,10.74
10.66,10.69,10.72,10.50
10.72,10.25,10.72,10.19
10.35,10.40,10.50,10.15
10.50,10.40,10.50,10.35
10.42,10.42,10.50,10.35
10.37,10.87,10.95,10.35
10.57,10.72,10.86,10.57
10.62,10.57,10.70,10.57
10.51,10.21,10.61,10.05
10.17,10.40,10.50,10.10
10.14,10.11,10.25,10.05
10.21,10.04,10.32,10.02
10.20,9.88,10.20,9.88
9.91,10.00,10.00,9.76
9.87,9.21,9.88,9.11
9.11,8.99,9.18,8.63
8.80,7.68,8.80,7.58
6.95,6.30,6.99,5.55
6.33,5.77,6.33,5.77
5.86,7.40,7.94,5.77
7.37,6.85,7.91,6.71
6.95,6.83,7.48,6.77
6.71,6.79,6.79,6.61
6.77,6.36,6.99,6.30
6.25,6.25,6.39,6.03
6.19,6.45,6.75,6.19
6.78,6.57,7.00,6.47
6.58,6.55,6.66,6.46
6.65,6.60,6.71,6.50
6.51,6.59,6.64,6.51
6.46,7.06,7.12,6.46
6.95,7.25,7.41,6.95
7.26,7.42,7.56,7.24
7.57,7.55,7.89,7.54
7.68,7.44,7.70,7.44
7.35,7.20,7.36,7.18
6.97,7.42,7.42,6.90
7.49,7.30,7.49,7.25
7.37,7.12,7.37,7.03
7.18,7.03,7.28,6.97
7.02,6.45,7.02,6.32
6.45,6.44,6.55,6.41
6.48,6.50,6.55,6.35
6.59,6.59,6.81,6.41
6.70,6.82,6.82,6.41
6.72,6.50,6.72,6.29
6.50,6.56,6.65,6.36
