ROP,Roper Technologies,NASDAQ
58.33,58.46,58.81,57.29
57.99,57.83,58.08,56.96
58.23,57.87,59.00,57.81
58.28,59.25,59.42,57.70
59.03,58.02,59.37,57.98
57.61,58.08,58.64,57.50
58.90,60.00,60.41,58.85
59.97,60.85,60.86,59.97
61.34,61.96,61.96,61.08
61.57,61.00,61.60,60.86
61.01,62.27,62.46,60.90
62.98,62.42,63.01,62.02
62.48,62.29,62.73,62.09
62.83,64.01,64.34,62.79
64.00,63.71,64.07,63.54
63.48,63.88,64.00,63.00
63.77,63.97,64.02,63.54
64.71,64.06,64.71,63.88
64.22,64.94,65.03,64.19
64.99,65.30,65.60,64.86
65.16,64.00,65.29,63.60
63.35,63.56,64.51,63.11
64.45,65.34,65.54,64.28
65.28,64.57,65.28,64.50
64.87,65.59,65.69,64.03
65.24,65.27,65.59,65.14
65.62,65.18,66.37,64.75
65.74,66.01,66.25,65.23
65.88,64.98,65.88,64.67
65.63,66.77,66.77,65.57
66.80,66.95,67.09,66.57
67.38,66.52,67.42,65.98
66.72,66.32,66.78,65.94
66.37,66.44,66.94,66.20
66.31,66.20,66.51,65.35
66.67,67.33,67.50,66.45
67.27,66.80,67.57,66.21
67.15,67.05,67.51,65.45
67.07,68.07,68.13,66.80
67.10,66.18,67.13,65.92
66.45,67.47,67.62,66.45
67.81,69.18,69.20,67.67
69.19,69.50,69.52,68.87
72.27,70.38,72.91,70.28
70.09,70.43,70.91,69.50
69.80,69.36,70.09,68.66
69.40,69.58,70.08,69.08
69.18,69.43,69.66,68.98
69.90,69.76,70.52,69.26
70.36,70.43,70.76,70.01
70.47,70.26,70.64,69.18
71.00,72.15,72.15,70.38
72.07,71.70,72.07,71.38
71.39,71.39,71.60,71.03
71.50,71.38,71.92,71.05
71.36,72.15,72.17,70.86
71.45,71.46,71.73,71.06
70.85,70.87,71.35,70.41
71.10,71.42,71.79,70.72
70.93,69.79,70.93,69.19
69.71,70.09,70.67,69.60
70.89,71.22,71.89,70.85
71.18,72.04,72.04,70.82
71.57,72.15,72.25,70.95
71.20,71.45,71.50,70.29
71.92,73.46,73.49,71.71
72.69,72.77,73.39,72.29
72.08,72.22,72.49,71.13
71.41,72.41,72.87,71.25
73.73,73.75,74.31,73.30
73.43,74.81,75.09,73.37
74.47,75.29,75.37,74.36
75.22,75.93,76.24,74.94
76.80,76.59,76.80,76.16
76.60,76.47,76.87,76.08
76.86,76.85,77.02,76.41
77.04,77.71,77.75,76.61
77.81,77.33,78.00,77.22
77.41,77.37,78.05,77.09
77.14,77.19,77.91,76.91
77.40,78.43,78.43,76.81
78.42,78.10,78.62,77.63
78.41,77.13,78.41,76.88
77.49,77.86,77.98,77.23
77.92,77.98,78.30,77.86
77.92,76.79,78.00,76.73
76.60,77.69,77.88,76.50
77.71,77.37,77.99,77.22
77.60,77.33,77.60,77.07
77.31,76.85,77.71,76.81
76.76,76.43,76.89,76.32
77.12,77.06,78.11,76.98
77.40,75.94,77.40,75.07
75.61,76.25,76.48,75.49
76.24,75.63,76.27,75.39
75.71,74.87,76.02,73.71
73.83,75.07,75.20,72.37
75.36,75.58,76.08,75.03
76.14,75.40,76.19,75.24
75.38,75.25,75.64,74.92
75.14,75.37,75.53,74.90
75.41,75.67,75.99,75.20
75.56,74.05,75.82,73.79
73.98,73.56,74.11,73.34
74.24,73.92,74.83,73.81
73.86,74.76,74.85,73.67
74.47,74.93,75.00,73.88
75.11,75.99,76.21,75.01
75.92,76.66,76.90,75.74
76.67,75.69,77.34,74.85
78.12,77.69,79.90,77.26
78.34,78.91,79.02,77.42
78.67,79.09,79.32,78.52
79.07,79.11,79.30,78.50
79.00,79.98,80.23,79.00
80.05,80.70,80.83,80.01
80.83,82.11,82.11,80.80
81.71,82.16,82.30,81.45
81.55,83.09,83.17,81.55
82.61,83.74,84.18,82.41
83.82,84.78,84.86,83.60
84.29,84.47,84.75,83.92
84.73,85.02,85.21,84.37
84.80,84.59,84.92,84.45
84.77,85.29,85.36,84.50
84.20,83.49,84.73,83.15
83.58,82.94,83.88,82.34
83.14,82.23,83.28,81.79
82.69,83.21,83.45,82.34
83.67,84.13,84.32,83.40
84.73,83.23,85.00,83.06
83.10,84.71,84.98,83.02
85.19,87.49,87.68,85.19
87.23,85.95,87.41,85.59
86.43,84.87,86.51,83.91
84.92,85.86,86.05,84.38
85.74,86.33,86.52,84.86
85.16,84.36,85.42,84.02
83.52,84.47,84.80,83.06
83.86,83.62,84.35,82.75
80.47,82.96,83.49,80.47
82.83,81.88,83.42,81.21
83.31,82.50,83.55,82.03
84.02,84.15,84.19,83.45
85.14,85.80,86.16,85.14
85.87,85.33,86.00,84.85
85.21,84.74,85.60,83.71
85.21,85.07,85.45,84.33
85.31,85.86,85.99,84.90
85.94,85.17,86.13,85.09
84.74,85.77,85.77,84.02
86.08,85.73,86.22,85.57
85.73,86.46,86.61,85.71
86.69,88.33,88.47,86.45
88.31,88.45,88.76,88.06
88.65,87.60,88.65,87.48
88.09,86.99,88.09,86.45
86.81,86.24,87.35,86.03
86.67,85.44,86.85,84.79
85.52,85.20,85.82,84.71
84.81,84.60,85.11,83.99
85.18,84.77,85.42,84.28
84.15,84.53,84.74,83.51
84.81,84.85,85.58,84.13
83.86,83.34,83.92,82.45
83.42,83.80,84.07,83.19
85.08,85.80,85.93,84.89
86.20,86.37,86.52,85.54
86.36,86.14,86.63,85.75
88.25,87.20,88.56,86.40
86.49,86.40,86.71,85.65
86.40,86.50,87.14,86.11
86.65,86.49,87.15,86.42
86.92,86.18,87.28,86.10
86.01,85.52,86.35,85.07
85.55,83.82,86.00,83.74
83.48,83.98,85.04,82.99
84.95,83.75,85.74,83.20
83.74,83.86,84.14,83.31
84.25,84.86,84.89,84.02
84.85,83.54,84.97,82.97
83.33,84.00,84.32,82.28
83.85,82.67,84.38,82.59
82.27,82.98,83.25,82.00
82.70,82.15,83.06,81.86
82.39,82.99,83.40,82.13
83.57,83.38,83.91,83.08
83.50,83.38,83.68,82.73
82.07,82.07,82.51,81.50
82.39,80.94,82.55,80.80
80.34,82.09,82.46,79.79
81.74,82.37,82.55,81.49
82.78,82.99,83.17,82.48
83.96,83.47,83.96,82.13
83.10,80.17,83.55,80.15
80.20,81.23,81.39,80.11
80.08,79.68,80.90,79.60
79.39,78.90,80.44,78.77
79.27,79.89,80.28,78.66
79.77,79.59,80.22,79.20
79.88,79.46,80.17,79.38
79.13,78.60,79.56,78.45
78.91,78.30,79.09,77.85
79.15,79.86,80.33,79.07
78.93,78.48,79.55,78.26
78.65,78.88,79.70,77.85
79.67,80.02,80.54,79.55
79.61,80.42,80.67,79.61
81.05,82.20,82.29,80.58
81.78,81.92,82.40,81.52
80.81,81.53,82.13,80.16
81.58,81.04,81.79,80.60
80.64,80.88,81.21,80.19
81.30,82.31,82.31,80.86
82.62,82.73,83.23,82.05
83.06,83.30,83.80,82.85
83.47,83.75,83.98,82.92
83.72,83.58,83.97,83.18
83.42,84.10,84.26,83.00
84.90,84.80,85.14,84.44
83.83,83.67,83.84,82.88
82.58,82.13,82.85,81.73
81.94,81.55,82.00,81.15
81.92,82.10,82.73,81.45
82.23,81.06,83.02,80.82
81.50,82.17,82.21,80.87
81.80,81.02,81.84,80.46
81.46,82.10,82.12,81.39
82.33,82.70,83.00,81.94
83.14,83.92,84.17,82.46
83.94,84.46,84.50,83.35
86.08,87.13,87.96,85.91
87.01,86.20,87.41,85.87
85.59,83.23,85.65,83.01
83.24,82.32,83.62,81.93
81.33,81.63,82.26,80.77
82.43,80.28,82.65,79.29
79.67,77.75,80.36,77.69
77.78,79.13,79.36,76.26
78.12,74.62,78.19,74.57
75.47,73.23,76.29,71.93
71.48,67.74,72.14,67.71
69.03,71.20,71.44,66.49
69.74,67.61,70.68,67.47
68.06,71.58,72.53,67.87
72.05,72.63,72.81,70.93
73.09,73.55,73.96,72.73
72.76,71.06,73.14,70.88
71.64,70.63,72.13,70.13
68.44,67.53,68.58,66.85
66.51,65.97,68.46,65.84
67.43,65.91,67.61,65.63
66.18,68.65,68.65,65.69
68.53,70.66,70.78,68.22
70.98,70.65,71.82,69.18
70.40,72.26,72.67,68.87
72.35,74.86,75.02,72.21
74.37,75.53,76.08,73.98
76.01,76.95,77.75,76.01
76.95,75.53,77.85,75.31
73.74,73.46,74.21,73.00
71.12,72.34,72.62,70.45
73.51,74.86,74.90,73.14
74.39,73.41,75.16,73.35
72.58,70.90,73.18,70.39
70.02,71.01,71.03,69.29
71.07,72.89,73.61,70.83
73.40,72.93,73.79,71.52
73.69,76.08,76.11,73.16
76.72,75.97,76.79,75.28
74.46,74.59,75.12,73.74
75.09,73.37,75.43,73.30
73.27,70.93,73.77,70.93
68.65,67.57,69.10,66.76
67.11,69.95,70.53,67.11
70.45,70.44,70.77,68.52
71.89,71.79,72.89,71.23
71.90,71.36,72.69,70.85
73.05,72.12,73.78,70.70
71.02,68.91,72.10,68.90
68.50,66.40,69.03,65.96
65.31,70.01,70.11,64.90
69.94,72.02,72.11,69.18
72.02,73.50,73.52,71.23
73.82,73.12,74.24,72.35
74.53,75.81,75.95,74.15
75.43,76.15,76.58,75.07
76.47,77.49,78.46,76.25
76.52,75.53,76.83,75.12
77.61,77.96,78.50,77.08
77.54,75.11,77.81,74.98
75.19,77.22,77.90,74.98
76.93,76.57,77.90,76.37
76.64,76.32,77.24,75.61
77.54,77.69,77.88,76.26
69.80,78.85,79.46,69.80
78.51,78.50,79.28,76.71
79.58,79.54,79.92,77.94
82.03,82.43,82.80,81.42
81.93,82.89,83.33,81.71
81.48,81.10,82.67,80.71
78.65,78.92,80.10,77.98
80.33,81.01,81.49,79.79
82.09,84.24,84.49,80.89
83.80,83.30,83.80,82.44
82.92,84.17,84.20,82.09
84.66,84.81,85.25,83.48
82.64,81.59,83.19,81.06
82.67,82.55,83.35,81.87
83.75,85.41,85.67,83.75
85.01,85.53,85.95,85.01
85.21,86.70,87.08,85.16
85.71,84.90,86.40,84.74
84.46,82.73,84.86,81.95
83.72,83.28,84.16,82.51
81.77,81.46,82.35,80.66
81.43,81.56,81.98,80.77
80.67,79.50,80.80,79.25
79.32,79.43,80.66,78.95
81.84,82.60,83.29,81.61
82.77,82.83,83.58,82.55
85.86,85.19,86.18,84.24
84.86,84.67,85.76,84.64
85.44,84.53,86.13,84.47
85.52,85.17,85.79,84.56
85.15,84.67,85.40,84.36
84.24,84.22,84.57,82.91
84.09,83.16,84.66,82.92
83.59,84.57,84.83,83.06
83.81,82.95,83.81,81.90
83.29,82.71,84.11,82.35
82.20,81.42,82.29,81.16
82.40,81.99,82.54,81.47
82.80,83.08,84.08,82.40
83.47,82.97,84.26,82.74
84.69,86.95,87.09,84.55
86.83,86.10,87.16,85.26
86.52,87.49,87.80,86.23
87.72,88.20,88.50,87.21
88.12,88.42,88.92,87.29
88.42,86.48,88.67,85.96
86.84,86.99,87.48,86.52
87.14,86.87,87.59,86.66
88.69,88.21,89.13,87.33
87.77,88.02,88.42,87.11
87.61,89.47,89.60,86.68
89.41,89.84,90.29,89.35
89.88,90.40,90.54,88.95
91.44,91.65,91.98,91.32
91.43,92.06,92.44,91.16
91.88,92.62,92.84,91.50
91.85,92.82,92.82,91.81
93.14,92.94,93.77,92.71
92.74,93.62,93.62,91.89
94.00,94.78,95.10,93.82
94.66,94.08,95.09,93.84
94.34,94.15,95.23,93.50
93.43,95.00,95.05,93.43
94.80,95.30,95.50,94.01
95.40,94.25,96.00,93.92
93.98,94.37,95.06,93.57
93.59,94.34,94.52,93.21
94.78,93.39,95.22,93.17
93.63,96.48,96.91,93.63
94.87,93.43,95.88,90.98
95.25,93.86,95.25,93.48
93.42,94.31,94.56,93.20
93.85,94.60,94.75,93.52
94.54,94.43,94.99,93.57
94.19,94.42,94.53,93.37
93.07,93.21,93.31,92.25
93.65,94.29,94.30,93.06
93.77,94.21,94.22,93.31
94.40,93.35,94.61,92.80
93.42,94.52,94.59,93.35
95.04,94.66,95.16,94.13
94.99,95.29,95.53,94.72
95.11,95.00,95.73,94.48
94.86,94.33,95.21,94.24
94.58,94.58,95.35,93.85
93.81,94.50,94.91,92.89
94.49,93.19,94.49,92.73
93.42,91.52,93.97,91.52
91.69,93.40,93.61,91.69
93.33,93.53,93.87,92.92
93.25,93.55,93.82,92.69
92.18,91.65,92.46,91.31
91.91,93.00,93.33,91.67
93.61,94.24,94.44,93.00
94.37,95.05,95.74,94.36
94.92,95.55,95.83,94.92
95.86,97.87,98.00,95.86
98.28,99.15,99.52,97.88
98.99,99.08,99.38,98.39
99.50,99.40,99.79,98.87
99.56,99.44,99.59,98.65
98.96,99.78,99.81,98.15
99.50,99.83,99.99,99.19
99.08,99.30,99.30,98.41
99.44,99.70,99.89,98.77
100.37,100.49,101.06,100.37
100.57,100.71,101.02,100.39
100.49,99.15,100.49,98.20
98.48,98.78,99.10,98.09
99.47,99.16,99.81,98.55
99.18,99.26,99.81,98.53
99.21,99.11,99.33,98.57
98.37,98.26,98.60,97.57
97.97,98.07,98.41,97.68
96.55,96.94,97.38,95.73
96.71,95.24,96.94,95.05
96.16,96.36,97.66,95.32
96.47,98.60,98.74,96.40
98.47,97.69,98.71,97.44
98.29,97.95,98.71,97.50
98.71,99.90,100.66,98.46
99.41,98.84,99.84,98.79
99.02,96.95,99.08,96.26
97.25,98.14,99.69,97.21
97.03,98.85,99.81,97.00
98.24,98.80,99.41,97.71
99.65,101.24,101.45,99.33
100.58,102.12,102.12,100.58
102.41,102.69,102.97,102.12
102.49,101.90,102.54,101.29
102.00,102.79,103.50,100.69
102.06,102.99,103.18,101.65
103.04,102.22,103.47,101.93
101.73,100.73,101.78,99.44
100.76,100.96,101.30,100.47
100.48,101.13,101.49,99.63
99.83,100.83,101.78,99.81
101.86,101.66,101.98,100.84
101.21,101.86,102.16,100.93
100.93,101.00,102.05,100.46
101.08,100.95,101.83,100.44
101.48,100.44,101.85,100.25
100.64,96.86,100.89,96.56
96.65,95.58,97.43,95.31
96.53,98.76,98.81,95.87
99.31,99.36,99.79,98.38
98.51,100.20,100.35,97.23
100.57,100.36,100.95,99.49
100.55,100.34,100.92,99.77
101.46,102.58,102.59,101.03
101.34,101.69,102.40,100.88
101.45,101.22,101.94,100.22
100.13,97.50,100.13,97.44
97.43,95.91,97.84,95.08
95.56,96.84,97.09,95.47
97.82,99.38,99.38,97.34
101.23,99.05,103.33,98.72
99.05,100.16,100.52,98.42
101.16,98.52,101.16,98.43
98.93,100.70,100.79,98.59
100.33,99.31,101.17,98.88
99.50,99.98,100.62,99.01
100.74,100.78,101.07,99.85
100.63,101.43,101.61,99.85
101.78,102.89,103.47,101.44
102.88,101.79,103.05,100.89
102.02,99.11,102.16,98.88
99.33,99.21,99.81,98.27
98.35,96.14,98.35,95.46
96.31,95.60,96.45,94.83
96.35,96.22,96.46,95.73
95.05,95.38,96.08,94.34
97.35,98.58,98.81,97.35
97.20,97.52,98.45,96.67
97.76,98.75,98.90,97.36
98.33,99.07,99.65,98.08
98.14,97.12,98.84,96.33
97.96,97.05,97.96,96.34
97.48,96.30,97.90,95.61
96.17,94.82,96.68,94.32
94.06,94.44,95.00,92.53
94.60,96.19,96.56,94.51
95.72,94.68,95.78,94.44
94.94,94.58,95.52,93.75
94.25,96.28,97.26,94.17
96.63,96.61,97.38,96.50
95.91,97.03,97.68,95.62
95.15,95.81,96.19,94.62
95.66,93.73,95.88,92.88
94.21,93.82,94.63,93.19
95.63,95.87,96.10,94.45
96.10,98.59,98.90,96.10
102.82,99.64,108.89,99.34
99.94,99.45,101.07,98.77
99.70,101.44,102.62,99.47
100.53,102.06,102.14,100.07
103.64,103.54,104.19,103.13
103.57,103.27,104.80,103.16
103.63,103.34,104.13,102.92
103.36,104.14,104.22,102.97
104.09,103.88,104.32,103.64
103.43,104.76,104.77,103.16
104.33,104.98,105.17,103.40
105.13,104.77,105.45,104.43
104.41,105.00,105.40,104.27
104.94,105.80,106.45,104.70
106.20,106.08,106.75,105.88
105.62,105.15,106.10,104.65
105.46,104.19,105.80,104.17
103.75,103.96,104.40,103.27
103.93,104.51,104.84,103.54
104.14,104.18,105.00,103.64
104.22,103.83,104.61,103.73
103.51,103.21,103.84,103.00
103.43,103.17,103.48,102.44
102.40,102.52,102.96,101.99
103.34,102.79,103.66,102.05
102.71,102.49,103.00,101.21
102.70,102.02,102.76,101.33
103.02,104.91,104.95,102.85
105.02,104.85,105.64,104.34
104.80,104.65,105.46,104.52
104.58,104.46,104.81,104.22
103.58,104.07,104.51,103.58
104.37,105.05,105.20,103.47
105.02,105.20,105.93,104.66
105.06,104.85,105.12,104.36
104.84,106.29,106.30,104.50
106.43,109.00,109.33,106.30
108.72,108.79,109.33,107.92
109.21,109.21,109.47,108.48
109.21,111.08,111.32,108.44
111.13,110.14,111.40,110.00
110.27,109.47,110.50,108.64
109.95,110.12,110.40,109.16
109.82,109.89,110.16,109.17
110.19,109.23,110.81,108.66
109.72,109.48,110.00,108.75
109.71,109.26,109.74,108.75
109.69,110.14,110.40,109.36
110.62,111.22,111.52,110.35
110.59,111.03,111.03,109.92
110.99,108.74,110.99,108.60
108.79,108.52,109.09,107.74
109.44,109.70,110.24,108.84
110.02,109.55,110.02,109.22
109.70,110.09,110.21,108.91
110.44,110.83,111.42,110.44
111.11,110.85,111.66,110.35
110.86,110.06,110.87,109.81
109.57,107.81,109.57,107.43
107.72,107.60,108.23,106.68
106.50,106.75,107.05,105.46
107.53,106.31,107.99,106.18
107.41,108.84,109.51,106.35
109.04,108.80,109.50,107.36
108.78,109.17,109.97,107.82
109.16,109.83,110.38,108.92
110.62,110.43,111.52,110.20
110.31,110.38,110.66,109.91
110.69,111.47,111.75,109.84
110.09,109.23,110.76,109.05
109.15,108.25,109.57,107.81
107.94,108.60,109.72,107.94
108.60,108.85,109.30,108.27
103.61,108.00,109.35,102.85
108.10,107.00,108.45,106.92
107.29,107.69,108.26,106.58
108.05,107.88,108.65,107.25
108.82,111.07,111.21,108.52
110.98,112.98,113.17,110.82
112.82,111.86,113.09,111.63
112.36,113.14,113.25,112.05
112.66,111.78,113.21,111.31
111.40,111.07,112.28,110.91
110.89,111.37,111.45,110.00
112.02,111.23,112.12,110.63
111.37,111.53,111.84,109.88
110.98,110.15,112.97,109.90
109.95,109.11,110.26,108.26
109.25,110.54,110.63,108.79
110.22,111.46,111.58,110.12
111.72,111.77,111.99,111.07
111.83,112.23,112.33,111.53
112.44,112.76,113.24,112.06
113.03,112.16,113.42,112.02
112.00,111.30,112.88,111.21
111.66,110.00,111.66,109.99
110.64,110.13,110.64,109.60
110.39,111.23,111.47,110.08
111.14,109.45,111.42,109.38
109.43,110.75,110.76,109.37
109.09,111.03,111.50,108.97
110.56,110.76,110.86,110.38
110.81,109.72,110.97,109.48
109.61,110.07,110.37,109.01
109.27,108.95,110.13,108.94
108.45,111.48,111.50,108.03
113.36,114.48,114.67,113.19
114.25,114.61,115.73,114.00
114.96,115.52,115.88,114.43
115.03,115.04,115.70,114.79
114.62,114.79,115.88,114.45
115.08,115.20,115.44,114.94
115.70,114.47,115.70,113.82
114.73,114.38,115.11,114.18
114.42,114.28,114.79,113.43
113.83,114.32,114.38,113.31
113.80,114.14,114.45,113.26
114.27,115.22,115.50,114.27
115.57,116.36,116.67,115.57
116.38,118.07,118.12,116.22
117.72,117.70,118.13,117.13
117.80,118.60,119.00,117.67
119.09,118.83,119.18,117.85
117.26,118.50,120.67,117.26
118.58,119.20,119.94,118.29
118.57,117.71,118.88,117.48
117.51,117.45,118.06,116.45
118.58,119.29,119.87,117.95
118.49,117.48,118.50,117.28
118.15,118.71,119.12,117.96
118.38,119.34,119.53,118.29
119.35,118.42,119.50,117.82
118.64,119.34,119.70,118.48
119.19,119.12,119.51,118.28
119.15,119.57,120.08,119.15
119.99,119.78,120.36,119.31
119.12,119.86,120.28,119.12
119.99,120.04,120.26,119.62
120.02,121.66,122.16,120.02
121.49,121.60,122.77,120.89
121.10,122.00,122.29,120.95
122.43,124.31,124.66,122.28
124.81,121.30,125.36,121.30
121.93,122.26,122.71,121.23
122.12,124.39,124.66,122.11
124.44,124.61,125.28,124.04
124.21,124.94,125.10,122.62
124.60,125.04,125.08,122.68
125.68,125.75,126.67,125.46
126.24,124.98,126.45,124.98
125.12,125.57,125.82,124.87
126.25,125.86,126.42,125.16
125.87,126.24,126.32,125.50
126.13,124.62,126.14,123.98
124.52,124.66,124.95,124.03
125.00,125.91,126.89,124.60
125.53,124.74,125.53,124.66
123.91,124.48,125.17,123.51
124.79,125.32,125.56,123.88
126.33,126.07,127.34,125.62
124.88,124.42,125.76,124.40
124.82,125.65,125.71,124.71
125.96,124.89,126.25,123.59
125.53,126.11,126.15,125.32
125.18,126.13,126.27,124.44
125.79,127.31,127.42,125.74
127.27,125.92,127.31,125.58
126.93,124.67,126.93,124.17
124.57,123.43,125.63,123.30
123.72,123.94,124.69,123.59
122.31,122.63,122.78,121.72
122.39,123.31,123.39,121.84
123.87,122.79,124.05,122.14
123.07,124.39,124.74,122.43
124.40,124.35,125.17,123.99
123.90,123.36,124.41,123.06
122.77,119.08,122.97,119.00
120.12,121.26,121.30,119.99
120.37,120.54,121.92,118.83
121.17,122.35,124.00,121.17
122.43,122.50,123.35,121.29
122.74,122.49,123.36,122.07
122.99,123.95,124.18,122.35
124.30,123.96,124.70,123.56
124.30,123.66,125.13,123.49
123.82,123.31,123.84,122.39
123.00,118.68,123.00,118.50
118.87,119.65,120.01,118.39
118.97,118.12,119.45,118.01
118.76,118.53,119.12,118.28
119.42,119.77,120.48,119.17
119.64,120.20,120.57,119.46
120.54,121.04,121.41,120.19
120.99,121.08,121.25,120.70
121.36,120.88,121.55,120.52
121.32,121.63,122.10,121.18
121.53,121.00,121.56,120.56
121.01,122.31,122.50,121.01
122.22,122.03,122.31,121.73
121.83,121.27,122.22,121.03
121.49,123.79,123.93,121.49
123.50,123.92,124.63,123.50
123.86,124.80,125.16,123.23
124.71,123.21,125.42,122.86
121.89,123.13,123.37,121.89
120.41,123.06,123.26,120.41
124.21,126.33,126.58,124.12
125.86,124.29,126.09,124.00
124.40,125.25,125.81,124.40
125.01,124.22,126.30,124.16
124.38,125.48,125.50,123.53
125.47,123.96,126.20,123.48
123.46,122.11,124.19,121.79
121.92,122.12,122.27,120.72
122.69,123.75,124.21,122.44
124.28,123.81,124.28,123.28
122.63,121.30,122.81,121.19
122.31,119.57,122.52,119.45
119.38,121.50,121.79,119.10
121.43,120.47,121.80,120.00
121.69,123.53,123.88,121.29
123.58,124.82,125.15,123.39
124.79,123.76,125.51,123.71
122.93,121.27,122.93,120.87
