TDY,Teledyne Technologies Incorporated Common Stock,NASDAQ
37.51,37.87,37.90,37.11
37.50,37.81,38.09,37.30
38.14,37.94,38.75,37.81
38.20,39.22,39.28,37.91
38.91,39.49,39.76,38.57
39.58,39.40,39.82,38.72
39.47,39.41,39.64,39.06
40.06,40.16,40.96,39.82
40.16,40.00,40.67,39.88
40.00,39.81,40.12,39.58
39.60,39.59,40.35,39.52
39.70,40.34,40.53,39.36
40.42,39.97,40.77,39.61
39.18,38.91,39.51,38.69
38.91,38.58,39.50,38.43
38.61,38.20,38.77,37.96
38.42,37.49,38.43,37.28
38.28,36.65,38.28,36.44
36.66,37.36,37.36,36.08
37.80,39.61,39.65,37.80
39.56,39.53,39.59,38.95
39.33,38.75,39.53,38.55
39.34,39.26,39.47,38.81
39.03,39.22,39.67,38.89
39.32,39.36,39.49,38.83
39.13,38.44,39.39,38.30
38.49,38.52,38.67,38.08
37.90,38.69,38.72,37.44
39.06,38.55,39.18,38.20
39.13,40.19,40.26,38.92
39.93,41.21,41.34,39.92
41.48,42.35,42.54,41.07
42.65,42.18,43.00,42.00
42.03,42.07,42.43,41.64
42.39,41.93,42.82,41.35
41.27,41.03,41.85,40.79
41.99,41.98,42.36,41.17
41.64,41.68,42.32,41.11
41.83,42.54,42.79,41.70
42.08,41.57,42.15,41.32
40.96,41.27,41.54,40.18
41.65,41.84,41.92,41.22
41.23,41.02,41.44,40.04
40.15,39.12,40.17,38.92
38.37,38.85,39.12,38.26
38.59,38.42,38.85,38.29
38.33,38.52,38.78,37.81
38.91,39.33,39.75,38.47
39.25,39.58,39.81,38.71
39.34,37.92,39.42,37.74
37.68,37.46,37.88,37.12
37.64,36.91,37.82,36.79
36.41,35.98,36.43,35.85
35.77,36.47,36.69,35.34
36.69,36.45,36.85,35.89
36.85,37.38,37.47,36.15
37.19,36.32,37.26,36.31
36.26,36.18,36.48,35.76
36.75,37.51,37.51,36.54
37.58,37.88,37.92,37.16
38.32,38.50,38.59,37.90
38.29,37.28,38.33,37.15
37.41,37.59,38.15,37.41
38.18,37.33,38.18,36.94
37.56,37.98,38.29,37.41
38.33,38.58,38.93,38.17
38.42,38.25,38.73,38.06
37.96,38.14,38.29,37.59
37.96,37.27,38.12,36.80
37.58,38.23,38.38,36.99
38.23,39.62,39.70,37.86
39.67,39.49,39.93,39.09
39.42,38.84,39.89,38.69
38.54,37.86,39.00,37.81
38.47,39.28,39.28,37.79
39.25,38.76,39.25,38.44
38.99,39.33,39.39,38.30
39.07,39.73,39.83,38.92
40.10,39.82,40.34,39.15
40.23,40.14,40.37,39.80
39.96,39.36,40.13,38.83
39.71,40.65,40.71,39.51
40.60,40.82,41.40,40.60
41.00,40.46,41.00,40.17
40.47,40.75,40.92,39.81
40.73,40.96,41.29,40.53
40.97,41.15,41.30,40.26
41.30,42.03,42.29,41.17
42.00,41.85,42.00,41.37
42.15,41.18,42.37,41.15
41.31,41.88,41.91,40.84
41.23,41.13,41.74,40.86
41.32,41.88,42.06,41.10
42.00,41.81,42.62,41.11
41.86,41.98,42.03,41.43
42.32,41.78,42.50,41.69
41.47,41.92,42.37,41.18
41.49,41.58,41.70,40.80
42.07,41.85,42.36,41.63
41.74,41.57,41.83,41.34
41.87,41.61,42.30,41.22
42.03,41.94,42.44,41.70
41.91,41.45,42.03,40.80
42.15,43.16,43.25,42.02
43.31,42.97,43.44,42.72
42.77,42.41,42.87,42.17
42.53,42.06,42.53,41.83
42.06,42.19,42.27,41.45
41.63,41.01,41.88,40.88
40.60,40.38,40.85,40.38
40.62,40.12,40.86,40.01
39.76,39.46,39.94,39.00
39.50,39.44,39.58,38.94
40.07,40.14,40.40,39.71
40.05,40.50,40.55,40.02
40.30,40.15,40.40,39.43
39.58,40.01,40.17,39.56
40.32,41.08,41.11,40.32
40.80,40.89,41.06,40.51
40.63,40.58,40.76,39.85
40.08,40.22,40.35,39.80
41.28,41.83,41.99,40.86
41.83,41.97,42.06,41.46
41.75,42.35,42.54,41.55
42.28,42.23,42.29,41.82
42.65,42.95,43.47,42.65
43.06,42.56,43.10,42.51
42.89,42.97,43.18,42.45
43.13,43.42,43.59,42.79
43.53,43.50,43.96,43.40
43.60,43.78,43.90,43.41
43.75,44.17,44.56,43.70
44.25,45.03,45.04,44.15
45.00,45.08,45.14,44.30
45.14,44.45,45.25,44.34
44.67,44.15,44.68,43.91
44.26,44.57,44.74,44.21
44.57,44.47,44.72,44.40
44.40,44.49,44.61,44.20
44.50,44.38,44.50,44.05
44.58,44.39,44.67,44.30
44.29,44.27,44.59,44.25
44.24,43.97,44.43,43.90
44.38,44.87,45.09,44.25
45.06,44.39,45.07,44.04
44.25,45.00,45.08,44.22
44.98,44.74,44.98,44.49
44.92,44.71,45.13,44.25
44.48,43.99,44.49,43.59
44.21,43.93,44.22,43.56
44.49,45.34,45.50,44.49
45.41,45.65,45.67,45.23
45.57,46.34,46.37,45.18
46.17,47.31,47.58,46.17
47.20,46.89,47.61,46.73
46.59,46.51,47.08,46.46
46.89,46.46,46.89,46.34
46.34,46.69,46.76,46.34
46.40,46.86,47.05,46.28
46.88,47.61,48.08,46.77
47.43,48.34,48.88,47.21
48.24,47.43,48.38,47.39
47.66,47.31,47.71,46.81
47.58,48.19,48.27,47.04
47.93,48.27,48.56,47.93
48.32,48.00,48.32,47.49
47.85,48.85,49.09,47.66
48.81,49.22,49.41,48.76
49.26,49.68,49.70,48.92
49.40,49.37,49.73,49.03
48.89,49.72,49.89,48.89
49.70,50.54,50.58,49.70
50.51,50.67,50.88,50.48
50.57,50.38,50.92,50.08
50.59,50.76,50.90,50.40
50.63,51.68,51.92,50.55
51.98,52.37,53.35,51.71
51.97,51.31,52.34,51.19
51.38,50.48,51.81,50.41
50.48,51.52,51.76,50.34
51.84,52.57,52.62,51.84
52.78,52.37,52.87,52.29
52.62,50.93,52.71,50.89
50.88,50.95,51.34,50.34
51.44,52.39,52.96,51.26
52.36,51.34,52.36,50.81
51.43,50.54,51.51,50.03
50.60,51.94,52.42,50.39
51.91,52.15,52.31,51.65
51.40,50.36,51.40,50.11
50.00,50.15,50.36,49.51
49.58,49.77,50.21,48.64
48.24,49.43,49.74,48.15
49.18,48.79,49.49,48.50
49.69,49.09,49.91,49.06
49.53,50.11,50.41,49.53
50.68,51.31,51.69,50.58
51.19,51.30,51.44,50.94
51.08,50.93,51.27,50.54
51.30,50.95,51.49,50.80
51.12,50.89,51.50,50.33
50.90,50.57,51.06,50.40
50.48,50.68,50.84,50.33
50.96,51.15,51.29,50.78
50.97,51.71,51.85,50.97
52.00,51.70,52.45,51.48
51.89,51.69,51.89,51.40
51.50,51.53,52.19,51.29
51.83,51.86,52.09,51.74
51.97,51.35,52.42,51.27
51.71,50.24,51.84,50.07
50.20,49.99,50.41,49.85
49.41,49.10,49.83,49.04
49.31,48.22,49.31,47.65
47.77,48.12,48.14,47.24
48.01,48.10,48.46,47.83
47.20,46.82,47.64,46.53
47.09,46.66,47.35,46.40
47.44,47.74,47.99,47.27
47.75,47.70,47.79,47.37
47.57,47.51,47.72,47.10
47.61,47.47,47.87,47.34
48.39,49.51,50.92,48.39
49.50,49.67,49.77,49.22
49.87,50.49,51.14,49.87
50.78,50.28,51.02,50.06
50.10,50.11,50.55,49.41
50.09,49.11,50.20,48.93
48.88,48.87,49.65,48.61
49.47,48.99,49.60,48.93
48.94,49.23,49.45,48.67
49.26,49.92,50.04,49.16
49.64,49.13,49.82,49.00
49.00,49.68,49.95,48.85
49.69,49.00,49.81,48.64
48.62,48.80,49.25,48.02
48.37,48.29,48.70,48.02
48.34,48.99,49.05,48.11
49.38,49.15,49.44,48.59
48.95,48.84,49.25,48.61
47.96,47.96,48.18,47.68
48.03,47.91,48.04,47.45
47.71,48.28,48.51,47.53
48.03,48.27,48.43,47.62
48.52,48.52,48.66,48.24
48.98,49.10,49.20,48.30
48.89,47.62,48.97,47.62
47.69,47.65,47.93,47.36
46.87,46.88,47.42,46.74
46.81,46.76,47.20,46.63
47.14,45.72,47.35,45.66
45.45,44.46,46.00,44.10
44.59,44.11,44.59,43.93
43.87,44.36,44.73,43.82
44.55,44.40,44.60,44.04
45.04,47.12,47.20,44.82
46.64,47.01,47.32,46.30
47.05,47.25,47.63,46.79
47.59,47.37,48.09,47.07
47.21,47.79,48.03,47.21
48.22,48.94,49.04,48.22
48.63,48.64,49.39,48.57
47.94,47.96,48.12,47.30
48.01,47.80,48.30,47.68
47.85,48.76,48.92,47.68
48.94,49.34,49.34,48.57
49.55,49.95,50.10,48.98
50.04,50.36,50.45,49.80
50.50,50.97,51.19,50.43
50.89,50.74,50.89,50.37
50.57,50.81,50.82,50.49
51.34,51.41,51.68,50.81
50.73,50.52,51.00,50.46
48.63,49.39,50.00,48.63
49.51,49.64,49.93,49.21
50.00,50.11,50.50,49.69
50.33,49.21,50.33,48.86
49.52,49.45,49.83,48.83
49.38,48.72,49.38,48.53
49.09,50.18,50.32,49.09
50.50,50.76,51.04,50.41
51.00,51.86,51.98,50.86
51.71,51.88,51.91,51.36
51.27,51.32,51.82,51.15
51.32,50.85,51.42,50.72
50.50,49.32,50.63,49.12
51.55,52.37,53.81,50.51
52.00,54.23,55.00,51.88
54.68,53.67,54.76,52.80
53.25,52.00,54.55,51.89
52.08,52.99,53.36,51.61
52.14,51.70,52.71,51.58
52.19,52.02,53.04,51.28
50.52,48.08,52.00,48.06
48.72,50.25,50.32,45.96
49.08,47.26,49.25,47.10
47.26,49.31,50.07,46.87
49.88,50.49,51.01,48.69
50.88,51.23,51.54,50.65
50.60,50.53,51.27,50.20
50.47,51.26,51.68,50.16
49.80,47.86,49.80,47.38
46.78,47.54,49.12,46.75
48.65,48.35,49.20,47.92
48.66,50.74,50.74,48.16
50.86,52.09,52.28,50.50
52.46,50.97,52.99,50.70
50.65,51.93,52.13,49.66
52.42,53.92,53.98,52.32
53.53,54.44,54.80,53.02
54.85,54.59,55.37,54.01
54.81,53.55,55.46,53.20
52.24,51.19,52.87,51.04
49.54,51.14,51.31,49.31
51.89,52.15,52.31,51.00
51.65,51.26,52.32,51.05
50.69,50.14,50.95,49.68
49.43,50.18,50.59,49.22
50.38,51.07,51.57,50.15
51.59,51.30,51.92,50.11
51.67,52.34,52.34,51.54
52.54,53.00,53.59,52.54
52.11,52.08,52.77,51.66
52.21,51.13,52.59,51.01
50.98,48.06,51.19,48.01
46.60,45.56,47.01,44.86
45.43,47.28,47.77,45.43
47.69,48.06,48.12,46.72
49.15,49.99,51.19,48.82
50.06,49.14,50.25,48.74
50.21,49.83,50.73,48.70
48.92,48.86,50.16,48.81
48.60,46.09,49.64,46.09
45.59,49.61,49.79,45.59
49.59,50.59,50.87,49.30
50.32,52.09,52.13,50.04
52.32,50.82,52.65,50.45
51.97,52.58,52.63,51.28
52.21,52.93,53.24,51.96
53.28,54.52,54.82,53.28
54.33,53.79,54.33,53.22
54.51,54.68,54.87,53.71
54.08,52.62,54.23,52.44
53.00,54.80,55.07,52.66
54.41,53.36,55.10,53.21
53.40,54.20,54.38,52.23
55.19,55.40,55.48,54.65
55.50,57.59,57.64,55.30
57.18,55.98,57.18,55.84
57.04,56.70,57.04,55.54
58.37,58.56,60.91,57.92
58.45,56.01,58.68,55.41
55.00,54.47,55.00,54.16
52.35,52.98,53.65,52.35
53.66,53.30,53.89,52.80
53.89,55.24,55.34,53.35
54.49,54.62,55.07,53.90
54.72,54.96,55.06,53.67
55.36,55.97,56.15,54.03
54.38,53.51,54.79,53.45
54.38,54.08,54.79,53.70
54.71,55.66,55.95,54.71
55.29,54.62,56.06,54.21
54.62,56.36,56.64,54.55
55.66,54.31,55.96,54.23
54.09,53.75,54.53,53.52
53.77,54.20,54.26,53.39
53.11,52.39,53.18,52.17
52.20,52.22,52.80,51.86
51.56,50.25,51.56,50.18
49.80,50.71,51.79,49.80
52.64,53.19,53.26,52.37
53.35,53.06,53.46,52.61
54.86,56.68,56.68,54.05
56.35,54.88,57.05,54.82
55.71,54.90,56.35,54.74
55.48,55.20,55.86,54.66
55.22,55.24,55.74,54.69
54.78,54.81,54.97,53.37
54.37,53.02,54.56,52.92
53.35,54.81,55.28,53.26
54.02,54.22,54.22,53.42
54.74,53.09,55.48,52.78
53.09,52.59,53.40,52.40
53.19,53.05,53.33,52.89
52.73,52.76,53.92,52.63
53.22,52.72,53.78,52.41
53.92,55.71,55.80,53.77
55.44,56.24,56.38,54.88
56.47,56.78,57.24,56.11
57.01,56.65,57.01,56.44
56.32,56.72,57.10,56.00
56.82,55.00,56.82,54.86
55.34,56.20,56.50,55.14
56.03,54.85,56.18,54.83
56.24,55.82,56.66,55.61
55.50,55.79,56.05,54.95
55.53,55.57,55.89,54.74
55.61,55.58,55.84,54.97
55.93,55.22,55.93,54.82
55.95,56.00,56.34,55.78
55.75,55.99,56.14,55.67
56.05,55.86,56.13,55.49
55.13,55.59,56.06,54.93
56.15,55.92,56.44,55.71
55.87,56.67,56.67,55.56
56.73,56.72,56.75,56.41
56.68,56.66,56.80,56.40
56.66,56.51,57.10,56.12
56.03,56.50,56.75,55.84
56.27,57.38,57.71,55.89
56.00,56.18,56.50,55.02
56.15,55.40,56.51,55.04
54.76,55.44,56.40,54.76
55.82,56.76,56.91,55.63
57.33,57.94,58.20,57.23
57.91,57.75,58.00,57.45
58.20,59.31,59.61,58.00
58.93,58.57,58.99,58.45
58.49,59.65,59.90,58.49
59.79,60.22,60.27,59.39
60.39,60.00,60.44,59.90
59.28,59.73,59.88,58.97
60.11,60.09,60.19,59.66
60.00,60.10,60.31,59.64
60.27,60.01,60.27,59.67
60.07,60.90,60.98,59.75
61.00,62.11,62.13,60.75
62.11,60.37,62.29,60.15
60.29,60.88,60.91,60.06
60.81,61.04,61.11,60.34
60.94,60.94,61.47,60.63
60.35,60.65,61.32,59.79
60.55,60.38,61.43,60.09
60.53,59.60,61.20,59.60
59.79,59.54,60.44,59.48
59.48,58.20,59.77,57.52
57.90,57.97,58.26,57.66
57.27,56.61,57.64,56.46
56.98,56.87,57.21,56.52
57.57,57.82,57.91,57.09
57.80,58.76,59.12,57.62
58.61,58.19,58.81,58.04
58.64,58.99,58.99,58.19
58.86,58.80,59.15,58.44
58.87,58.92,59.05,57.97
59.30,60.94,61.49,59.23
60.94,61.39,62.20,60.29
60.96,60.25,60.96,59.86
60.46,60.48,60.82,60.00
59.91,60.44,60.45,59.45
60.48,61.78,61.80,60.31
62.45,63.20,63.20,62.22
63.70,62.76,63.83,62.73
62.67,62.92,63.05,62.29
62.54,62.87,63.08,61.88
63.39,63.05,63.68,62.42
62.68,63.14,63.55,61.99
63.22,62.76,63.26,62.14
62.33,62.02,62.59,61.76
61.66,61.78,62.17,61.49
60.52,60.08,60.57,59.80
59.96,60.09,60.44,59.73
60.68,60.46,60.68,60.16
60.69,62.05,62.45,60.58
61.70,61.74,62.00,61.05
62.15,61.85,62.68,61.52
62.02,62.61,63.29,62.02
62.23,61.72,62.64,61.50
61.92,61.76,62.95,61.25
62.57,62.84,62.89,61.82
61.88,61.51,61.88,60.94
61.45,62.05,62.25,61.07
62.85,64.73,65.08,62.81
64.92,65.07,65.73,64.74
65.31,65.73,66.29,65.12
65.60,64.62,65.64,64.31
64.42,64.37,65.64,64.03
64.16,65.03,65.24,63.64
65.05,64.01,65.32,63.81
63.56,61.88,63.78,61.82
61.67,61.82,62.10,61.39
61.33,61.28,61.46,60.39
60.59,60.82,61.25,60.10
61.42,61.26,61.43,60.72
60.81,61.06,61.41,60.78
60.24,60.89,61.37,60.09
60.90,61.65,62.21,60.79
61.72,61.21,61.97,61.08
61.18,59.67,61.32,59.62
59.61,59.54,60.42,59.29
59.90,60.00,60.51,59.51
60.09,59.90,60.48,59.55
59.33,60.28,60.38,58.99
60.27,60.48,60.60,59.53
60.57,59.84,60.78,59.60
60.14,60.66,60.75,59.72
59.94,59.92,60.31,59.71
59.88,59.58,60.21,59.15
57.89,57.15,58.54,57.14
57.49,57.74,58.05,56.90
57.38,58.51,58.53,57.21
59.26,61.17,61.35,59.11
61.99,61.48,62.74,61.42
61.34,61.96,62.30,61.04
62.66,60.39,62.66,60.31
60.76,61.70,61.81,60.70
61.46,60.70,62.16,60.37
60.72,61.53,61.68,60.56
62.33,62.20,62.83,61.73
61.73,62.09,62.73,61.51
62.50,62.87,63.34,62.19
62.95,62.42,62.98,62.07
62.29,60.98,62.45,60.79
61.40,60.99,61.40,60.72
60.03,60.23,60.46,60.02
60.26,59.39,60.36,59.06
59.53,60.22,60.35,59.49
59.58,59.72,59.99,59.24
61.12,61.65,61.73,61.03
61.93,62.00,62.06,61.40
61.91,62.39,62.39,61.76
62.51,62.84,63.80,62.51
62.07,61.82,62.34,61.57
61.66,62.02,62.24,61.34
62.49,60.97,62.89,60.94
61.12,60.29,61.12,59.99
60.01,59.76,60.41,59.07
59.99,61.66,61.71,59.93
61.64,62.13,62.22,60.84
62.55,62.03,62.85,61.73
62.00,62.66,62.87,61.47
62.63,63.19,63.55,62.63
62.71,62.72,63.53,62.50
61.54,62.00,62.26,61.49
61.63,61.57,62.24,61.04
62.02,61.25,62.25,60.88
63.07,61.66,65.95,60.23
61.62,63.57,63.79,61.33
63.18,61.53,63.19,60.50
61.41,62.30,62.84,61.32
62.45,61.80,62.75,61.64
61.30,62.26,62.69,61.12
63.61,64.23,64.49,62.89
64.00,63.78,64.14,63.58
64.33,64.12,64.84,64.01
63.68,64.06,64.15,63.60
63.88,64.18,64.31,63.60
64.19,64.19,64.50,63.88
64.21,63.84,64.21,63.26
64.01,63.72,64.25,63.42
63.47,64.02,64.24,63.47
63.95,64.81,64.86,63.40
64.58,64.79,64.81,64.37
64.53,64.73,64.80,64.40
64.74,64.73,65.69,64.12
64.70,64.44,65.15,64.18
64.20,64.20,64.50,63.80
63.91,65.19,65.62,63.91
65.45,64.78,65.45,64.66
64.63,64.60,65.07,64.36
64.67,64.51,64.84,64.34
64.27,64.03,64.30,63.63
64.59,64.51,64.96,63.88
64.41,64.45,64.78,63.28
64.69,64.48,65.15,64.43
64.96,65.58,66.14,64.88
65.47,65.52,65.97,65.28
65.59,64.74,65.59,64.70
64.50,64.55,64.99,64.16
64.57,64.50,64.84,64.16
64.49,64.89,65.57,63.79
64.91,64.87,66.22,64.65
64.33,64.83,65.14,64.33
64.74,64.74,65.04,64.39
64.86,64.76,65.00,64.41
64.41,64.49,64.71,64.16
64.82,64.40,64.82,64.11
64.06,64.00,64.82,63.90
64.24,63.41,64.74,63.40
63.52,63.48,63.93,63.11
63.65,63.95,64.07,63.17
63.53,63.39,64.00,63.04
63.62,64.00,64.10,63.41
64.39,64.12,64.50,63.88
64.34,63.92,64.48,63.79
64.20,64.19,64.69,63.75
64.26,64.46,65.46,64.19
64.05,64.70,65.08,64.05
64.68,63.74,64.88,63.55
63.75,63.45,63.76,63.26
63.87,63.70,64.37,63.66
63.78,63.37,64.26,63.16
63.38,63.63,63.74,63.10
63.81,64.33,64.50,63.81
64.39,65.22,65.22,64.30
65.16,65.00,65.47,64.85
64.61,64.53,65.17,64.08
64.47,63.44,64.67,63.10
63.34,62.36,63.52,61.89
62.79,61.77,63.11,61.45
62.96,65.76,65.89,62.96
65.58,63.23,66.11,63.05
62.74,64.03,64.03,62.51
64.24,65.19,65.49,63.67
64.95,63.69,65.24,63.69
63.77,64.69,64.70,63.23
64.20,65.33,66.36,64.20
65.31,63.32,67.03,62.97
63.39,62.45,63.77,62.43
62.01,62.52,63.00,60.66
62.93,61.60,62.93,61.55
61.28,62.00,62.63,61.08
62.00,60.45,62.00,60.31
60.50,60.40,60.92,59.73
60.26,60.72,61.37,59.61
61.36,62.26,62.26,61.13
62.18,62.64,62.70,61.83
62.79,62.50,62.94,62.22
62.60,62.91,62.91,61.99
62.59,63.55,63.55,62.59
63.53,62.99,64.21,62.96
62.61,63.34,63.44,62.16
63.30,63.90,64.29,63.26
64.03,63.00,64.11,62.54
63.49,62.96,63.60,62.10
62.83,62.56,62.88,61.95
62.70,62.58,62.99,61.87
62.49,62.69,62.70,62.00
63.12,62.91,63.14,62.51
62.99,63.81,63.93,62.44
64.22,64.18,64.53,63.71
64.52,62.77,64.54,62.61
62.65,61.91,63.18,61.58
61.83,61.71,62.43,61.42
62.00,62.31,62.69,61.81
62.60,64.34,64.37,62.37
64.31,65.03,65.34,63.36
64.92,65.19,65.60,64.89
64.72,65.20,65.27,64.19
64.85,64.82,65.09,64.33
64.94,64.10,65.04,63.94
64.03,64.43,64.55,63.66
63.91,63.67,64.59,63.59
63.53,65.07,65.21,63.00
66.74,66.66,67.31,65.80
66.58,66.17,67.38,66.03
66.30,66.69,66.81,65.87
66.14,66.32,66.51,65.80
67.16,66.90,67.50,66.33
66.90,67.58,67.77,66.67
68.04,68.15,68.24,67.61
68.31,67.73,68.31,67.46
67.55,67.35,67.86,66.84
66.94,67.96,68.08,66.94
67.62,67.62,67.87,67.25
67.79,67.91,68.05,67.47
67.78,68.00,68.00,67.20
67.84,69.78,69.99,67.84
69.80,69.67,70.15,69.48
70.11,71.79,72.24,69.04
71.92,71.00,72.31,70.81
70.94,70.00,71.00,69.75
69.85,69.90,70.47,69.50
69.61,68.82,69.75,68.64
69.05,68.26,69.05,68.19
68.62,68.95,69.17,68.53
68.53,68.20,68.95,67.97
68.61,68.83,69.03,68.49
68.48,69.01,69.23,68.32
68.79,69.19,69.31,68.68
69.28,69.87,70.29,69.26
69.65,70.01,70.01,69.24
69.91,70.14,70.48,69.86
70.18,70.51,70.51,69.97
70.13,70.47,70.65,70.13
70.72,70.63,70.83,70.19
70.59,71.73,71.76,70.59
71.59,70.87,72.21,70.85
70.70,71.04,71.34,70.40
71.26,71.47,71.62,70.94
71.77,70.85,71.85,70.84
71.05,71.87,71.93,70.85
71.81,72.88,73.28,71.81
72.63,73.58,74.41,72.44
72.62,74.23,74.33,72.45
73.91,73.72,74.17,72.72
74.10,74.80,75.12,74.10
74.79,74.86,75.13,74.37
75.12,75.38,75.45,74.70
76.17,76.49,76.55,75.63
76.28,76.30,76.80,76.14
76.45,76.54,76.77,75.97
76.44,77.30,77.43,76.44
77.32,78.08,78.09,77.32
77.50,78.52,78.53,77.50
77.73,77.29,78.10,77.03
77.42,76.59,77.68,75.88
76.94,77.22,77.51,76.94
76.74,76.65,77.43,76.33
76.77,76.97,77.40,76.75
77.25,76.63,77.56,75.59
76.84,77.57,77.77,76.84
76.92,78.32,78.42,76.74
78.57,78.44,78.71,77.86
78.46,78.04,78.89,76.75
78.33,77.21,78.39,76.98
77.24,76.06,77.89,75.80
76.20,75.94,76.48,75.68
74.58,75.58,75.92,74.54
75.71,77.97,78.05,75.70
77.91,77.02,78.01,76.99
77.36,78.58,78.69,77.36
78.53,78.34,78.89,78.01
77.92,78.33,78.43,77.92
77.91,75.26,77.91,75.08
75.75,77.30,77.39,75.48
76.86,74.64,76.86,74.13
74.76,73.14,74.76,72.49
73.13,73.21,73.60,72.69
73.38,73.96,74.10,72.53
74.57,74.05,74.71,72.96
73.76,75.13,75.54,73.29
75.56,75.45,76.04,75.29
75.42,74.82,75.58,74.50
74.94,75.03,75.20,74.37
75.10,75.06,75.37,74.43
74.95,73.93,75.15,73.84
74.11,74.33,74.57,73.75
75.17,76.34,76.54,75.17
76.36,76.20,76.90,76.09
76.47,77.50,77.54,75.99
77.09,77.79,78.12,77.04
77.27,77.45,78.15,77.27
77.46,77.56,78.00,77.27
77.19,77.02,77.43,76.81
77.14,77.56,78.25,77.14
77.35,77.52,77.73,77.09
77.32,76.80,77.62,76.48
77.30,77.34,77.45,77.10
77.06,77.04,77.46,76.74
77.02,77.11,77.24,76.63
77.04,76.31,77.45,75.78
76.09,76.50,76.69,75.73
76.29,77.02,77.10,75.67
78.04,78.46,79.04,77.85
77.70,77.65,78.20,77.18
77.73,77.95,78.21,77.63
77.45,77.22,78.07,77.22
77.52,77.91,78.21,76.89
77.79,76.59,78.13,76.03
76.27,74.74,76.78,74.58
74.64,74.69,74.93,74.18
75.00,75.56,75.85,74.53
75.82,75.59,75.82,75.26
75.00,75.09,75.39,73.91
75.50,74.28,75.58,73.99
73.77,75.67,75.77,73.36
75.73,74.97,75.79,74.22
75.79,76.06,76.41,75.19
76.10,77.36,77.79,76.07
77.12,76.22,77.42,76.19
