IMNP,Immune Pharmaceuticals Inc. - Common Stock,NASDAQ
0.50,0.44,0.54,0.43
0.43,0.43,0.47,0.43
0.43,0.43,0.45,0.43
0.44,0.45,0.45,0.44
0.44,0.45,0.45,0.44
0.45,0.45,0.45,0.44
0.45,0.44,0.46,0.44
0.45,0.43,0.45,0.43
0.43,0.39,0.43,0.39
0.40,0.40,0.41,0.38
0.40,0.40,0.41,0.40
0.40,0.38,0.42,0.38
0.38,0.33,0.42,0.33
0.35,0.35,0.36,0.34
0.34,0.37,0.38,0.33
0.37,0.37,0.39,0.35
0.37,0.40,0.40,0.37
0.38,0.40,0.42,0.38
0.43,0.45,0.47,0.42
0.75,0.70,0.79,0.58
0.94,0.97,1.09,0.85
0.85,0.83,0.86,0.70
0.78,0.70,0.82,0.65
0.84,0.86,0.90,0.77
0.85,0.84,0.87,0.81
0.80,0.78,0.83,0.77
0.84,0.77,0.84,0.73
0.88,0.82,0.90,0.78
0.82,0.82,0.88,0.82
0.84,0.83,0.86,0.82
0.83,0.85,0.85,0.81
0.90,0.85,0.90,0.82
0.85,0.84,0.86,0.82
0.82,0.85,0.86,0.82
0.86,0.87,0.87,0.85
0.91,0.88,0.91,0.85
0.87,0.87,0.90,0.86
0.90,0.89,0.90,0.86
0.90,0.88,0.90,0.86
0.86,0.85,0.86,0.82
0.82,0.87,0.87,0.80
0.85,0.87,0.87,0.85
0.86,0.87,0.89,0.84
0.87,0.84,0.88,0.84
0.84,0.87,0.89,0.83
0.85,0.87,0.87,0.83
0.86,0.83,0.87,0.82
0.81,0.76,0.81,0.74
0.77,0.76,0.78,0.75
0.78,0.78,0.86,0.76
0.78,0.75,0.78,0.75
0.75,0.77,0.79,0.75
0.76,0.75,0.83,0.75
0.76,0.79,0.83,0.76
0.77,0.75,0.78,0.75
0.75,0.75,0.76,0.75
0.75,0.75,0.77,0.75
0.75,0.75,0.76,0.73
0.76,0.75,0.77,0.75
0.88,0.85,0.93,0.83
0.75,0.72,0.77,0.72
0.79,0.72,0.79,0.71
0.72,0.70,0.73,0.70
0.71,0.69,0.73,0.69
0.68,0.69,0.72,0.68
0.69,0.67,0.72,0.67
0.69,0.66,0.69,0.65
0.66,0.65,0.67,0.64
0.66,0.66,0.69,0.65
0.66,0.60,0.67,0.57
0.63,0.63,0.66,0.62
0.66,0.64,0.66,0.60
0.63,0.61,0.65,0.61
0.62,0.61,0.65,0.61
0.72,0.69,0.74,0.64
0.69,0.70,0.72,0.68
0.76,0.76,0.79,0.75
0.76,0.74,0.76,0.70
0.74,0.68,0.74,0.68
0.74,0.75,0.75,0.72
0.74,0.75,0.76,0.74
0.74,0.70,0.74,0.70
0.71,0.73,0.75,0.71
0.73,0.67,0.73,0.66
0.66,0.67,0.69,0.64
0.68,0.65,0.69,0.64
0.66,0.65,0.68,0.63
0.69,0.60,0.70,0.60
0.64,0.66,0.66,0.60
0.65,0.65,0.67,0.64
0.73,0.74,0.74,0.71
0.74,0.73,0.75,0.73
0.75,0.71,0.75,0.71
0.75,0.69,0.75,0.69
0.69,0.65,0.69,0.65
0.66,0.65,0.69,0.65
0.69,0.72,0.75,0.68
0.74,0.70,0.74,0.68
0.75,0.70,0.75,0.66
0.70,0.69,0.70,0.67
0.70,0.71,0.71,0.67
0.69,0.70,0.72,0.68
0.70,0.68,0.70,0.66
0.69,0.68,0.70,0.66
0.68,0.68,0.70,0.67
0.68,0.65,0.70,0.65
0.66,0.68,0.69,0.66
0.68,0.66,0.68,0.66
0.69,0.70,0.70,0.65
0.65,0.66,0.67,0.65
0.67,0.66,0.67,0.65
0.68,0.67,0.68,0.65
0.65,0.64,0.65,0.64
0.66,0.65,0.69,0.65
0.66,0.67,0.68,0.65
0.67,0.67,0.69,0.67
0.68,0.66,0.70,0.64
0.74,0.74,0.75,0.70
0.73,0.68,0.74,0.66
0.69,0.67,0.70,0.65
0.67,0.67,0.68,0.65
0.70,0.66,0.70,0.65
0.65,0.64,0.68,0.63
0.69,0.63,0.70,0.63
0.69,0.69,0.70,0.66
0.69,0.65,0.69,0.64
0.69,0.69,0.69,0.65
0.67,0.67,0.68,0.65
0.66,0.66,0.66,0.64
0.64,0.65,0.70,0.64
0.64,0.64,0.66,0.64
0.64,0.65,0.70,0.64
0.63,0.63,0.65,0.63
0.64,0.63,0.65,0.63
0.63,0.65,0.65,0.62
0.65,0.63,0.66,0.63
0.64,0.67,0.67,0.64
0.67,0.62,0.67,0.62
0.67,0.64,0.67,0.63
0.65,0.63,0.68,0.62
0.61,0.61,0.64,0.60
0.60,0.58,0.60,0.50
0.62,0.59,0.62,0.57
0.58,0.55,0.58,0.52
0.56,0.54,0.56,0.52
0.55,0.57,0.57,0.54
0.55,0.54,0.63,0.52
0.55,0.52,0.61,0.52
0.53,0.54,0.55,0.52
0.53,0.55,0.55,0.51
0.52,0.50,0.52,0.50
0.51,0.46,0.51,0.46
0.48,0.47,0.49,0.45
0.48,0.48,0.49,0.47
0.49,0.50,0.50,0.46
0.50,0.42,0.50,0.42
0.45,0.45,0.49,0.44
0.50,0.48,0.52,0.47
0.51,0.54,0.57,0.51
0.58,0.53,0.58,0.52
0.53,0.55,0.55,0.52
0.57,0.53,0.57,0.53
0.54,0.54,0.56,0.53
0.56,0.50,0.56,0.46
0.51,0.52,0.56,0.51
0.50,0.50,0.52,0.49
0.52,0.51,0.52,0.50
0.54,0.52,0.56,0.52
0.55,0.52,0.55,0.52
0.55,0.53,0.55,0.52
0.53,0.50,0.53,0.50
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.50
0.53,0.55,0.55,0.51
0.54,0.51,0.54,0.51
0.50,0.50,0.52,0.50
0.50,0.49,0.51,0.49
0.50,0.48,0.52,0.45
0.48,0.47,0.50,0.47
0.50,0.47,0.50,0.47
0.48,0.49,0.49,0.48
0.49,0.52,0.55,0.49
0.50,0.47,0.53,0.46
0.47,0.39,0.47,0.39
0.40,0.37,0.44,0.37
0.41,0.40,0.41,0.37
0.40,0.40,0.45,0.40
0.41,0.41,0.51,0.40
0.42,0.45,0.45,0.40
0.45,0.48,0.50,0.44
0.45,0.44,0.48,0.41
0.45,0.48,0.48,0.43
0.48,0.49,0.51,0.45
0.51,0.46,0.51,0.45
0.47,0.46,0.47,0.40
0.44,0.41,0.50,0.40
0.41,0.44,0.45,0.41
0.45,0.45,0.45,0.40
0.42,0.43,0.44,0.41
0.42,0.44,0.44,0.40
0.43,0.43,0.45,0.40
0.43,0.44,0.45,0.41
0.43,0.41,0.45,0.40
0.44,0.41,0.49,0.40
0.42,0.41,0.46,0.40
0.42,0.38,0.42,0.37
0.38,0.40,0.45,0.38
0.43,0.41,0.43,0.41
0.40,0.40,0.42,0.38
0.38,0.35,0.39,0.34
0.35,0.36,0.38,0.35
0.35,0.36,0.36,0.34
0.37,0.36,0.37,0.36
0.40,0.38,0.40,0.32
0.30,0.40,0.45,0.30
0.41,0.41,0.42,0.34
0.39,0.33,0.39,0.33
0.36,0.33,0.36,0.32
0.34,0.34,0.34,0.32
0.34,0.36,0.40,0.31
0.31,0.36,0.41,0.31
0.31,0.31,0.36,0.31
0.31,0.34,0.34,0.31
0.29,0.35,0.35,0.29
0.29,0.29,0.30,0.29
0.26,0.35,0.35,0.26
0.29,0.33,0.33,0.27
0.33,0.28,0.33,0.28
0.30,0.28,0.30,0.27
0.28,0.28,0.28,0.28
0.27,0.35,0.35,0.27
0.30,0.30,0.30,0.30
0.35,0.34,0.37,0.34
0.30,0.30,0.30,0.27
0.30,0.28,0.30,0.28
0.27,0.32,0.35,0.27
0.32,0.35,0.35,0.32
0.35,0.39,0.41,0.35
0.35,0.37,0.40,0.30
0.36,0.38,0.38,0.34
0.38,0.32,0.38,0.32
0.32,0.32,0.32,0.32
0.39,0.38,0.39,0.36
0.39,0.36,0.39,0.36
0.40,0.36,0.40,0.36
0.37,0.37,0.37,0.37
0.38,0.38,0.40,0.38
0.38,0.38,0.38,0.38
0.40,0.40,0.40,0.40
0.40,0.38,0.40,0.38
0.39,0.33,0.39,0.33
0.33,0.34,0.34,0.33
0.34,0.33,0.34,0.33
0.34,0.36,0.36,0.30
0.30,0.36,0.36,0.30
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.31,0.31,0.31,0.31
0.31,0.31,0.31,0.31
0.40,0.31,0.40,0.31
0.31,0.31,0.32,0.31
0.31,0.30,0.32,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.31,0.28
0.35,0.31,0.35,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.27,0.32,0.27
0.27,0.28,0.30,0.27
0.30,0.26,0.32,0.26
0.26,0.26,0.26,0.26
0.26,0.26,0.26,0.26
0.26,0.26,0.30,0.26
0.26,0.26,0.26,0.26
0.26,0.26,0.26,0.26
0.26,0.27,0.27,0.26
0.26,0.30,0.30,0.26
0.30,0.26,0.30,0.26
0.26,0.26,0.26,0.26
0.26,0.26,0.26,0.26
0.26,0.26,0.26,0.26
0.30,0.35,0.39,0.30
0.35,0.35,0.35,0.28
0.31,0.30,0.32,0.30
0.31,0.27,0.31,0.27
0.27,0.35,0.35,0.27
0.35,0.35,0.35,0.30
0.35,0.35,0.35,0.35
0.30,0.27,0.30,0.27
0.29,0.34,0.34,0.29
0.32,0.39,0.39,0.32
0.32,0.29,0.32,0.27
0.29,0.28,0.29,0.28
0.28,0.30,0.30,0.28
0.30,0.25,0.30,0.25
0.30,0.25,0.30,0.25
0.28,0.29,0.29,0.28
0.28,0.27,0.30,0.27
0.27,0.29,0.30,0.27
0.32,0.33,0.34,0.32
0.33,0.30,0.33,0.27
0.27,0.30,0.30,0.27
0.29,0.27,0.29,0.27
0.27,0.27,0.29,0.27
0.27,0.27,0.28,0.27
0.28,0.28,0.28,0.27
0.28,0.28,0.28,0.27
0.27,0.28,0.28,0.27
0.27,0.26,0.27,0.26
0.27,0.26,0.27,0.26
0.27,0.26,0.28,0.26
0.28,0.27,0.28,0.26
0.27,0.26,0.27,0.26
0.26,0.26,0.26,0.25
0.26,0.26,0.26,0.26
0.26,0.24,0.26,0.23
0.25,0.25,0.25,0.24
0.25,0.24,0.25,0.23
0.20,0.24,0.25,0.20
0.23,0.24,0.25,0.23
0.23,0.24,0.24,0.23
0.23,0.23,0.23,0.23
0.24,0.24,0.24,0.23
0.25,0.24,0.25,0.23
0.24,0.23,0.24,0.23
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.24,0.25,0.25,0.23
0.23,0.25,0.26,0.23
0.24,0.26,0.26,0.24
0.24,0.25,0.26,0.24
0.26,0.25,0.26,0.24
0.25,0.25,0.25,0.24
0.25,0.25,0.25,0.24
0.25,0.25,0.25,0.25
0.24,0.25,0.25,0.24
0.25,0.25,0.25,0.25
0.24,0.25,0.25,0.24
0.25,0.24,0.25,0.24
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.24
0.24,0.23,0.24,0.23
0.24,0.25,0.25,0.22
0.25,0.25,0.25,0.23
0.20,0.24,0.25,0.20
0.20,0.24,0.24,0.20
0.22,0.21,0.22,0.20
0.21,0.21,0.21,0.20
0.21,0.25,0.25,0.21
0.24,0.24,0.24,0.22
0.22,0.22,0.23,0.22
0.20,0.22,0.22,0.20
0.22,0.22,0.22,0.22
0.25,0.23,0.25,0.21
0.21,0.22,0.22,0.21
0.20,0.23,0.23,0.20
0.20,0.22,0.22,0.20
0.23,0.22,0.23,0.21
0.22,0.22,0.22,0.21
0.22,0.22,0.22,0.21
0.21,0.21,0.21,0.21
0.22,0.21,0.22,0.21
0.21,0.21,0.21,0.21
0.21,0.20,0.21,0.20
0.20,0.22,0.22,0.20
0.21,0.22,0.22,0.20
0.21,0.20,0.22,0.20
0.21,0.20,0.22,0.20
0.21,0.20,0.21,0.20
0.22,0.21,0.22,0.20
0.20,0.21,0.21,0.20
0.20,0.21,0.21,0.20
0.21,0.21,0.21,0.21
0.19,0.21,0.21,0.19
0.21,0.20,0.21,0.20
0.19,0.19,0.19,0.19
0.19,0.20,0.20,0.19
0.16,0.19,0.19,0.16
0.18,0.20,0.20,0.18
0.17,0.20,0.20,0.17
0.17,0.19,0.19,0.17
0.19,0.19,0.19,0.19
0.19,0.18,0.19,0.18
0.19,0.19,0.19,0.19
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.17,0.18,0.18,0.17
0.17,0.18,0.18,0.17
0.18,0.18,0.18,0.17
0.18,0.18,0.18,0.18
0.17,0.17,0.17,0.17
0.17,0.17,0.18,0.17
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.18,0.17,0.18,0.17
0.17,0.17,0.17,0.17
0.17,0.16,0.17,0.15
0.15,0.15,0.15,0.15
0.16,0.16,0.16,0.16
0.15,0.17,0.17,0.15
0.15,0.17,0.17,0.15
0.23,0.16,0.23,0.16
0.17,0.16,0.17,0.16
0.16,0.16,0.16,0.15
0.17,0.16,0.17,0.15
0.16,0.16,0.16,0.16
0.14,0.16,0.16,0.14
0.16,0.14,0.16,0.14
0.15,0.15,0.15,0.13
0.11,0.14,0.14,0.11
0.14,0.14,0.14,0.14
0.13,0.15,0.15,0.13
0.16,0.16,0.16,0.16
0.16,0.16,0.16,0.16
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.16,0.16,0.16,0.16
0.13,0.16,0.16,0.13
0.14,0.13,0.14,0.13
0.13,0.14,0.14,0.13
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.15,0.15,0.13
0.14,0.14,0.14,0.14
0.13,0.15,0.15,0.13
0.13,0.14,0.15,0.13
0.14,0.14,0.14,0.14
0.15,0.15,0.15,0.15
0.15,0.14,0.15,0.13
0.15,0.15,0.15,0.15
0.13,0.15,0.15,0.13
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.13
0.13,0.14,0.14,0.13
0.13,0.15,0.15,0.13
0.15,0.13,0.15,0.13
0.15,0.13,0.15,0.13
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.14,0.15,0.15,0.14
0.14,0.15,0.15,0.14
0.15,0.15,0.15,0.13
0.15,0.15,0.15,0.15
0.13,0.14,0.14,0.13
0.14,0.15,0.15,0.14
0.15,0.13,0.15,0.13
0.19,0.14,0.19,0.14
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.11,0.13,0.13,0.11
0.10,0.13,0.13,0.10
0.13,0.12,0.13,0.12
0.12,0.12,0.14,0.12
0.13,0.12,0.13,0.12
0.12,0.13,0.13,0.12
0.13,0.13,0.13,0.12
0.13,0.12,0.14,0.11
0.12,0.12,0.12,0.11
0.11,0.11,0.11,0.11
0.11,0.14,0.14,0.11
0.11,0.11,0.12,0.10
0.11,0.12,0.12,0.11
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.13,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.12,0.11,0.12,0.11
0.11,0.11,0.18,0.10
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.10,0.12,0.12,0.10
0.10,0.12,0.12,0.10
0.11,0.11,0.11,0.11
0.11,0.10,0.11,0.10
0.10,0.10,0.10,0.10
0.10,0.09,0.10,0.09
0.09,0.10,0.10,0.09
0.09,0.10,0.10,0.09
0.09,0.09,0.09,0.09
0.05,0.10,0.10,0.05
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.09,0.09,0.10,0.09
0.09,0.10,0.10,0.09
0.12,0.13,0.13,0.12
0.12,0.13,0.13,0.12
0.11,0.13,0.13,0.11
0.13,0.13,0.14,0.13
0.05,0.10,0.14,0.05
0.03,0.10,0.11,0.03
0.10,0.10,0.10,0.09
0.10,0.10,0.10,0.10
0.10,0.09,0.10,0.08
0.10,0.10,0.10,0.10
0.08,0.09,0.09,0.08
0.08,0.08,0.08,0.08
0.08,0.08,0.09,0.08
0.10,0.10,0.10,0.10
0.10,0.09,0.10,0.08
0.09,0.09,0.09,0.09
0.08,0.09,0.09,0.08
0.09,0.08,0.09,0.08
0.09,0.08,0.09,0.08
0.08,0.08,0.08,0.08
0.08,0.08,0.09,0.07
0.08,0.08,0.09,0.06
0.05,0.08,0.08,0.05
0.07,0.07,0.07,0.06
0.06,0.06,0.08,0.06
0.05,0.06,0.07,0.05
0.06,0.06,0.06,0.06
0.06,0.06,0.07,0.05
0.06,0.06,0.06,0.05
0.07,0.06,0.07,0.05
0.06,0.07,0.07,0.06
0.08,0.07,0.08,0.05
0.07,0.06,0.07,0.05
0.05,0.06,0.06,0.05
0.05,0.06,0.06,0.05
0.06,0.07,0.07,0.06
0.05,0.06,0.06,0.05
0.05,0.06,0.06,0.05
0.08,0.06,0.08,0.05
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.05
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.05
0.07,0.06,0.07,0.06
0.11,0.06,0.11,0.05
0.06,0.07,0.07,0.06
0.06,0.07,0.08,0.06
0.08,0.08,0.08,0.07
0.07,0.08,0.08,0.07
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.09,0.11,0.12,0.09
0.11,0.10,0.11,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.11,0.10,0.11,0.10
0.10,0.10,0.11,0.10
0.10,0.09,0.10,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.10,0.10,0.09
0.08,0.09,0.09,0.08
0.09,0.09,0.10,0.07
0.09,0.09,0.09,0.09
0.08,0.09,0.09,0.08
0.09,0.08,0.09,0.08
0.08,0.07,0.08,0.07
0.08,0.07,0.08,0.07
0.07,0.07,0.07,0.07
0.07,0.08,0.08,0.07
0.06,0.08,0.08,0.06
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.07,0.08,0.08,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08
0.07,0.08,0.08,0.07
0.08,0.08,0.08,0.08
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.07,0.07,0.07,0.07
0.06,0.06,0.06,0.06
0.09,0.07,0.09,0.07
0.09,0.08,0.10,0.08
0.09,0.09,0.09,0.09
0.07,0.07,0.09,0.07
0.09,0.08,0.09,0.07
0.08,0.08,0.08,0.08
0.08,0.07,0.08,0.07
0.06,0.07,0.07,0.06
0.08,0.07,0.08,0.07
0.07,0.07,0.07,0.07
0.06,0.07,0.07,0.06
0.06,0.08,0.09,0.06
0.07,0.08,0.08,0.07
0.07,0.07,0.09,0.07
0.09,0.07,0.09,0.07
0.06,0.07,0.07,0.06
0.07,0.07,0.07,0.07
0.06,0.07,0.07,0.06
0.07,0.07,0.07,0.06
0.07,0.07,0.07,0.07
0.06,0.06,0.07,0.05
0.05,0.06,0.06,0.05
0.06,0.06,0.06,0.06
0.06,0.06,0.06,0.06
0.06,0.06,0.06,0.06
0.06,0.06,0.06,0.06
0.06,0.05,0.06,0.05
0.05,0.05,0.06,0.05
0.05,0.05,0.05,0.05
0.06,0.05,0.06,0.05
0.05,0.06,0.06,0.05
0.05,0.06,0.06,0.05
0.05,0.06,0.06,0.05
0.05,0.06,0.06,0.05
0.06,0.05,0.06,0.05
0.05,0.05,0.05,0.05
0.05,0.06,0.06,0.05
0.05,0.05,0.05,0.05
0.06,0.06,0.06,0.05
0.06,0.06,0.06,0.05
0.06,0.06,0.06,0.05
0.06,0.06,0.06,0.05
0.06,0.06,0.06,0.06
0.06,0.06,0.06,0.05
0.06,0.06,0.06,0.05
0.06,0.06,0.07,0.06
0.06,0.06,0.06,0.06
0.06,0.07,0.07,0.06
0.07,0.06,0.07,0.06
0.06,0.06,0.06,0.06
0.06,0.06,0.06,0.05
0.05,0.06,0.06,0.05
0.06,0.05,0.06,0.05
0.05,0.06,0.06,0.05
0.06,0.06,0.06,0.06
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
0.05,0.06,0.06,0.05
0.06,0.06,0.06,0.05
