JKE,iShares Morningstar Large-Cap Growth ETF,NASDAQ
52.07,51.77,52.15,51.49
52.38,52.01,52.77,51.77
52.22,53.68,53.74,52.17
54.12,54.08,54.14,53.58
54.14,54.53,54.55,54.14
54.41,54.66,54.73,54.36
55.13,55.36,55.57,54.96
55.34,55.60,55.77,55.25
55.53,55.65,55.81,54.93
55.38,54.07,55.38,54.04
54.35,54.43,54.49,54.07
53.71,55.19,55.20,53.69
55.57,54.45,55.57,54.28
55.24,55.65,55.83,55.24
55.42,56.14,56.14,55.34
56.07,56.41,56.42,56.02
56.53,56.26,56.56,55.99
56.17,55.93,56.27,55.84
56.33,55.60,56.37,55.26
55.05,55.61,55.84,55.00
56.27,56.74,56.82,56.15
56.58,56.37,56.59,56.25
56.53,56.91,56.97,56.49
56.55,56.76,56.82,56.54
56.18,56.65,56.65,55.85
56.84,57.03,57.11,56.81
56.52,56.71,56.91,56.24
55.76,55.19,55.76,55.03
54.09,54.62,54.77,53.88
54.48,54.28,54.58,54.27
54.01,54.39,54.62,53.88
55.04,55.15,55.56,54.80
55.09,55.27,55.52,54.92
54.95,54.39,55.10,54.18
54.31,54.24,54.33,53.93
54.48,53.92,54.71,53.92
53.28,52.84,53.36,52.76
52.61,53.20,53.37,52.42
53.49,52.66,53.49,52.66
53.07,53.38,53.43,52.18
53.38,52.74,53.40,52.74
52.51,52.48,52.82,52.27
53.21,53.95,54.07,53.16
54.07,54.52,54.54,54.05
55.11,55.32,55.33,54.91
55.16,54.92,55.32,54.88
55.14,55.34,55.57,55.14
55.95,55.50,55.95,55.47
55.58,55.81,55.85,55.52
56.50,56.64,56.68,56.35
56.54,56.73,57.05,56.49
56.60,57.00,57.09,56.54
56.88,57.18,57.18,56.85
57.59,57.47,57.59,57.26
57.64,58.29,58.42,57.64
58.29,58.15,58.59,57.99
58.00,58.10,58.38,57.92
57.66,57.89,58.39,57.66
58.43,59.02,59.06,58.43
59.07,58.79,59.17,58.79
58.99,58.97,59.08,58.15
58.79,58.86,59.01,58.66
59.09,58.64,59.37,58.40
59.14,58.82,59.25,58.65
58.69,58.25,58.81,58.01
58.80,59.48,59.59,58.80
59.49,59.27,59.54,59.05
59.15,59.28,59.40,59.00
59.30,59.69,59.77,59.07
59.72,59.62,59.93,59.62
59.40,59.96,60.11,59.25
60.37,60.65,60.90,60.37
60.69,60.60,60.86,60.32
61.29,61.61,61.61,60.94
61.64,61.95,61.95,61.61
61.08,60.88,61.37,60.51
60.99,61.38,61.76,60.99
61.77,61.59,62.09,61.23
61.77,61.95,61.95,61.63
62.58,62.27,62.69,62.23
61.92,62.30,62.42,61.83
62.08,62.40,62.40,61.75
62.65,62.45,62.65,61.98
62.43,62.45,62.62,62.38
62.65,62.53,62.92,62.21
63.23,63.25,63.38,63.03
63.37,63.36,63.48,62.89
64.32,64.53,64.53,64.21
64.48,64.53,64.61,64.31
64.35,64.43,64.56,64.20
64.74,64.12,64.83,63.92
64.13,64.39,64.42,63.72
63.41,63.72,63.90,63.16
63.45,62.68,63.57,62.47
62.92,62.48,62.97,62.48
62.03,61.38,62.12,61.20
61.38,61.55,61.82,61.38
62.20,62.61,62.84,62.20
62.53,62.62,62.77,62.33
62.50,62.93,62.93,62.28
62.29,61.92,62.32,61.77
62.43,62.99,63.07,62.43
62.45,62.73,62.80,62.45
62.36,62.56,62.60,61.82
61.88,61.98,62.24,61.64
63.06,63.37,63.49,63.05
63.42,64.00,64.07,63.42
63.75,64.21,64.21,63.75
64.19,64.22,64.29,64.07
64.84,64.29,64.93,64.29
64.23,64.29,64.39,64.00
64.86,64.56,64.86,64.40
64.74,64.94,64.99,64.55
65.12,65.00,65.42,65.00
65.08,65.08,65.37,65.08
65.13,64.83,65.40,64.76
64.88,65.14,65.29,64.70
65.24,65.33,65.46,65.24
65.42,65.58,65.70,65.15
65.74,65.89,65.93,65.68
65.85,65.92,65.93,65.77
65.70,65.57,65.71,65.45
65.36,65.62,65.67,65.23
65.67,65.57,65.68,65.48
65.65,65.81,65.90,65.65
65.80,65.64,65.83,65.55
65.62,65.53,65.62,65.31
66.07,66.15,66.52,66.07
66.30,65.93,66.30,65.60
65.69,66.25,66.34,65.69
66.41,66.43,66.43,66.15
66.38,66.43,66.56,65.84
66.10,66.46,66.46,66.05
66.64,66.63,66.74,66.46
66.95,67.06,67.10,66.87
67.15,67.01,67.20,66.91
67.13,67.49,67.49,66.94
67.32,67.73,67.79,67.32
67.88,66.90,67.88,66.90
66.73,66.60,66.75,66.18
67.02,66.29,67.02,66.29
66.41,66.81,66.89,66.41
66.65,67.00,67.00,66.50
67.23,67.55,67.68,67.09
67.66,67.77,67.91,67.38
67.65,66.33,67.65,66.20
66.32,66.71,66.81,66.13
67.11,67.85,67.95,67.11
67.70,67.73,67.93,67.69
67.64,67.83,67.88,67.30
67.81,68.02,68.06,67.67
68.25,68.57,68.77,68.25
68.66,68.79,68.79,68.41
68.73,68.67,68.94,68.48
68.20,68.64,68.64,67.99
68.58,68.95,69.03,68.55
69.05,69.22,69.26,69.01
69.10,68.99,69.20,68.85
69.22,69.51,69.56,69.22
69.12,69.55,69.62,69.12
69.55,69.63,69.81,69.41
68.72,67.98,69.16,67.88
68.02,67.68,68.13,67.27
67.57,67.75,67.86,67.10
67.99,68.57,68.62,67.99
68.89,68.74,68.95,68.42
69.09,67.66,69.09,67.52
67.47,67.88,68.02,67.47
68.44,69.01,69.10,68.44
69.05,68.67,69.05,68.22
68.94,67.92,68.94,67.60
68.16,68.29,68.45,67.66
68.11,67.99,68.12,67.74
67.25,66.70,67.25,66.63
66.64,67.20,67.30,66.56
66.64,66.79,66.81,66.23
64.68,65.94,66.21,64.68
65.58,64.40,65.74,64.00
65.47,65.23,65.52,65.03
65.97,65.06,65.97,64.96
66.30,66.28,66.40,66.12
66.24,66.12,66.34,66.06
65.96,66.41,66.57,65.66
66.82,67.28,67.32,66.65
67.48,67.32,67.63,67.29
67.37,67.11,67.57,67.09
67.19,67.67,67.70,66.95
68.08,68.11,68.24,67.96
68.08,68.15,68.25,67.96
68.37,68.43,68.81,68.26
68.51,68.35,68.74,68.21
68.50,68.18,68.56,68.15
68.75,68.29,68.75,68.11
68.20,68.18,68.59,67.97
68.41,67.95,68.48,67.79
68.06,67.58,68.18,67.43
67.27,67.06,67.27,66.85
67.41,67.45,67.56,67.14
66.93,67.45,67.45,66.91
67.43,67.30,67.47,67.13
66.57,66.74,66.81,65.94
66.96,67.07,67.07,66.63
68.27,68.33,68.39,68.22
68.77,68.85,68.87,68.63
68.78,68.68,68.82,68.47
68.86,69.26,69.26,68.78
69.38,69.67,69.67,68.94
69.55,69.69,69.74,69.43
69.74,69.76,69.84,69.61
70.00,69.61,70.17,69.51
69.51,69.26,69.57,68.96
69.30,68.89,69.31,68.58
68.66,68.26,68.93,68.01
69.08,68.60,69.19,68.28
68.62,68.92,69.08,68.54
69.32,69.39,69.47,69.06
69.16,68.59,69.28,68.44
68.47,69.07,69.10,68.40
69.04,68.38,69.04,68.38
68.11,67.37,68.36,67.37
67.26,67.55,67.58,66.99
67.56,68.24,68.30,67.56
68.54,68.50,68.64,68.19
68.43,68.19,68.46,68.01
67.02,67.24,67.39,66.93
67.37,67.17,67.37,67.08
66.90,67.50,67.76,66.90
67.51,67.92,68.12,67.39
68.12,68.11,68.30,67.99
68.71,68.84,68.84,68.35
68.97,67.58,68.97,67.58
67.54,67.60,67.79,67.24
66.85,66.82,67.31,66.82
66.63,66.15,66.83,66.09
66.47,66.16,66.52,66.16
65.74,65.70,65.88,65.59
66.09,66.18,66.36,66.09
65.80,65.05,65.91,65.05
65.18,65.00,65.31,64.70
65.55,65.87,66.06,65.55
65.37,64.68,65.57,64.50
64.75,64.56,64.93,64.01
65.21,64.46,65.21,64.46
64.40,64.86,65.01,64.39
65.67,66.14,66.17,65.67
65.88,65.70,66.29,65.70
64.76,65.63,65.63,64.47
65.64,64.64,65.64,64.64
64.64,65.62,65.72,64.64
66.12,66.57,66.63,66.03
67.03,67.34,67.34,66.75
67.76,68.15,68.21,67.76
68.12,69.21,69.22,67.95
69.37,69.50,69.56,69.23
69.52,69.72,69.83,69.30
70.44,70.60,70.77,70.32
69.94,70.32,70.32,69.70
69.61,68.82,69.61,68.82
68.84,68.86,69.21,68.63
68.98,69.21,69.60,68.98
69.04,68.22,69.26,68.04
68.76,69.03,69.11,68.44
68.96,68.77,69.06,68.32
69.42,70.12,70.21,69.42
70.50,69.95,70.50,69.86
70.16,70.74,70.92,70.15
70.71,71.17,71.30,70.64
70.46,71.11,71.40,70.43
70.97,70.78,71.14,70.71
70.26,69.09,70.27,68.85
69.04,69.09,69.85,68.94
68.41,68.67,69.36,68.15
69.56,68.33,69.56,67.72
67.91,66.59,68.26,66.59
66.62,67.25,67.31,65.64
66.30,64.06,66.30,63.88
64.76,63.73,64.81,61.86
61.80,59.76,62.66,59.76
60.90,62.55,62.55,58.75
61.04,60.14,61.55,60.14
60.96,62.83,63.44,60.88
63.29,63.33,63.69,63.03
63.93,64.27,64.32,63.44
63.74,63.61,64.23,63.04
64.11,63.44,64.27,62.96
61.68,60.22,61.68,59.82
59.36,59.39,60.77,59.22
60.00,59.15,60.04,59.15
59.50,61.44,61.45,59.46
61.47,62.30,62.31,61.22
62.48,61.27,62.48,61.10
60.90,62.58,62.72,60.39
63.30,64.25,64.28,63.30
64.05,64.59,64.94,63.70
64.93,64.82,65.57,64.41
64.85,64.16,65.48,64.16
62.72,62.59,63.17,62.38
60.90,62.48,62.48,60.84
63.33,64.17,64.17,63.32
64.00,63.94,64.67,63.66
63.15,62.28,63.37,61.80
61.41,62.71,62.71,61.41
62.87,63.54,63.56,62.85
63.70,64.30,64.92,63.10
65.00,65.38,65.44,64.68
65.61,65.71,66.00,65.40
64.70,65.57,65.88,64.38
65.53,65.37,66.49,65.37
65.41,63.56,65.41,63.56
61.66,61.28,62.17,60.54
60.97,61.62,61.90,60.97
61.80,62.76,62.76,61.03
64.02,63.19,64.17,63.18
63.51,61.97,63.78,61.97
63.03,61.70,63.06,60.81
60.91,60.18,61.23,60.11
59.56,58.48,60.08,58.48
57.77,59.83,59.83,57.31
59.47,60.97,61.01,59.47
61.08,62.42,62.42,61.08
62.53,61.89,62.60,61.84
63.40,64.18,64.18,63.40
63.84,64.66,64.69,63.84
65.07,65.11,65.67,64.97
64.64,65.22,65.34,64.48
66.13,66.50,66.72,66.13
66.46,65.29,66.47,65.16
65.30,66.48,66.65,65.15
66.19,65.18,66.23,65.13
65.15,65.27,65.36,64.44
66.03,65.93,66.38,65.62
66.34,67.16,67.48,66.34
66.59,65.82,66.88,65.82
66.43,65.98,66.50,65.09
67.76,68.43,68.75,67.51
67.98,68.64,68.73,67.98
67.97,67.15,68.06,67.15
65.37,65.31,66.17,65.12
66.22,66.36,66.40,65.77
66.67,67.81,67.84,66.67
67.50,67.40,67.55,66.80
67.32,67.58,67.70,66.99
68.17,68.77,68.77,67.67
67.13,66.22,67.33,66.11
67.10,66.51,67.10,65.90
67.26,67.85,68.00,67.26
67.57,67.36,67.71,67.30
67.10,68.09,68.21,67.10
67.37,66.83,67.98,66.83
66.72,65.39,66.72,65.04
65.67,65.03,65.67,64.96
64.05,63.72,64.05,63.25
63.57,63.81,64.11,63.30
63.16,62.69,63.24,62.43
62.19,62.00,62.68,62.00
63.68,63.97,64.13,63.58
64.35,64.00,64.64,63.95
65.95,66.28,66.28,65.69
66.55,66.63,66.75,66.37
67.24,66.51,67.37,66.51
67.40,67.08,67.62,67.02
67.16,67.16,67.36,66.84
66.35,67.05,67.05,66.35
66.55,65.62,66.74,65.62
65.88,66.74,66.88,65.88
65.62,65.88,65.88,65.30
66.41,65.08,66.53,64.94
64.77,64.08,64.83,63.91
64.69,63.96,64.69,63.96
64.48,64.32,65.06,64.23
64.62,63.75,64.72,63.59
65.17,65.64,65.74,65.17
64.95,65.13,65.19,64.41
65.10,65.44,65.48,65.10
65.75,65.99,65.99,65.47
65.90,66.16,66.32,65.90
66.16,65.33,66.16,65.32
65.48,65.86,65.90,65.42
66.01,65.95,66.03,65.85
67.00,66.80,67.24,66.67
66.69,66.92,67.02,66.52
66.65,67.19,67.21,66.53
67.31,67.19,67.31,66.94
67.38,67.19,67.38,66.92
67.90,67.78,68.06,67.66
67.62,67.72,67.75,67.48
67.80,67.95,67.95,67.45
67.52,67.45,67.52,66.96
68.21,68.01,68.33,67.86
68.01,68.97,69.05,68.01
69.24,69.35,69.51,69.20
69.07,68.82,69.12,68.63
68.88,69.01,69.28,68.68
68.57,68.98,69.03,68.57
69.54,70.09,70.17,69.25
70.26,69.59,70.41,69.45
69.39,69.89,70.00,69.39
69.34,69.80,69.87,69.21
70.34,70.01,70.34,69.56
70.36,70.31,70.70,70.19
70.74,70.66,70.80,70.36
71.50,71.71,71.71,71.49
71.46,71.72,71.72,71.38
71.54,71.90,71.94,71.42
71.91,71.96,72.08,71.58
72.25,72.51,72.68,72.16
71.97,71.98,72.17,71.84
72.58,72.71,72.78,72.38
72.53,72.86,72.86,72.49
73.25,72.46,73.66,72.36
72.47,73.22,73.25,72.21
73.33,73.12,73.35,72.97
73.30,73.36,73.64,73.09
73.29,73.39,73.60,73.29
73.36,73.81,73.88,73.35
74.08,74.18,74.25,74.00
73.77,74.23,74.37,73.52
74.33,74.66,74.67,74.30
74.92,74.32,75.00,74.24
74.63,74.93,74.99,74.51
74.73,74.64,74.90,74.50
74.69,73.99,74.69,73.79
73.14,73.09,73.17,72.75
73.44,73.59,73.66,73.28
74.09,74.54,74.68,74.01
74.72,74.71,75.00,74.71
74.83,74.68,74.91,74.47
75.08,75.97,75.97,74.97
76.11,76.20,76.41,75.88
76.52,76.53,76.61,76.28
76.61,76.61,76.73,76.47
76.81,77.38,77.42,76.73
76.96,77.19,77.23,76.64
77.19,77.14,77.43,77.05
76.55,76.69,76.82,76.39
76.76,76.77,76.88,76.24
77.20,77.83,77.83,77.12
77.79,77.72,77.96,77.65
77.71,77.39,77.80,76.91
76.93,77.18,77.28,76.58
77.35,77.14,77.35,76.92
77.08,78.00,78.20,77.08
78.02,78.14,78.31,77.68
77.53,77.21,77.54,76.85
77.09,77.65,77.65,77.09
76.60,77.02,77.23,76.50
76.91,75.71,77.06,75.71
76.54,76.20,76.63,76.09
76.28,77.17,77.24,76.28
77.08,76.15,77.08,76.15
76.48,75.25,76.49,75.20
75.60,76.80,76.91,75.60
76.71,76.69,77.01,76.50
76.58,75.87,76.93,75.64
76.28,75.50,76.41,75.47
74.89,74.88,74.94,74.30
74.89,74.79,75.04,74.44
76.67,76.80,76.80,76.38
76.76,77.30,77.38,76.71
77.66,77.57,77.82,77.31
77.42,77.05,77.42,76.94
77.23,77.29,78.02,77.07
76.81,77.34,77.42,76.75
77.46,76.61,77.46,76.52
76.13,75.07,76.13,75.07
74.77,75.08,75.30,74.69
74.63,74.75,74.86,73.52
74.03,74.40,74.95,73.69
74.98,74.39,74.99,74.39
74.10,74.21,74.89,74.10
73.56,73.39,73.95,73.36
73.47,73.10,74.08,73.05
73.54,72.74,73.67,72.69
72.81,71.30,72.81,71.30
71.68,70.62,71.93,70.50
70.84,72.65,72.65,70.84
72.91,72.52,73.34,72.27
72.07,73.06,73.08,71.63
73.24,72.65,73.24,72.35
72.76,72.47,72.82,72.47
73.21,73.57,73.83,72.97
72.82,72.75,72.89,72.48
72.01,72.30,72.45,71.88
71.05,70.40,71.28,70.38
70.45,70.77,70.86,69.89
70.51,71.16,71.25,70.51
71.62,72.60,72.61,71.62
73.51,72.86,73.51,72.72
72.29,72.96,72.99,72.07
73.60,72.14,73.60,72.14
72.25,72.68,72.70,71.97
72.45,71.94,72.84,71.89
71.95,72.48,72.62,71.95
73.00,73.31,73.35,72.88
72.98,73.78,73.93,72.92
74.17,74.24,74.39,74.09
74.13,73.89,74.32,73.58
73.96,72.17,73.96,72.17
72.55,72.88,72.90,72.36
72.10,71.73,72.10,71.55
71.90,72.17,72.22,71.73
72.29,72.46,72.59,72.27
72.06,72.10,72.13,71.34
73.35,73.82,73.90,73.10
74.14,74.38,74.38,74.00
74.39,75.00,75.02,74.39
74.85,75.09,75.36,74.84
74.56,74.31,74.56,73.98
74.14,74.27,74.35,74.00
74.71,73.69,74.85,73.48
73.62,73.45,73.62,72.89
72.78,73.15,73.36,72.58
73.57,74.15,74.22,73.55
74.04,73.99,74.39,73.91
74.41,74.44,74.58,73.69
74.32,74.98,75.13,74.32
75.49,75.87,76.04,75.41
75.55,75.00,75.55,75.00
73.86,74.32,74.41,73.43
74.24,73.70,74.36,73.33
73.44,73.24,73.67,72.91
74.33,74.41,74.60,73.88
74.82,75.81,75.94,74.76
75.90,75.85,76.21,75.78
75.79,75.62,76.03,75.62
75.95,75.36,75.95,75.19
74.79,74.99,75.38,74.51
76.09,76.33,76.52,76.09
76.72,76.63,76.84,76.63
76.88,77.01,77.15,76.86
76.62,76.60,76.85,76.49
76.70,76.60,76.72,76.42
76.44,76.60,76.60,76.37
76.65,76.83,76.91,76.52
77.28,77.09,77.29,77.09
76.95,77.14,77.21,76.95
77.23,77.74,77.86,77.13
77.91,78.01,78.07,77.83
78.11,78.08,78.15,77.91
78.31,77.66,78.50,77.52
77.64,77.99,78.16,77.52
77.76,77.33,77.76,77.29
77.17,77.90,77.94,77.13
78.26,77.91,78.26,77.91
77.85,77.97,78.15,77.84
78.09,78.05,78.17,77.87
77.78,77.40,77.78,77.40
77.86,77.89,77.99,77.53
77.80,77.87,78.04,77.29
77.70,77.65,77.94,77.63
78.20,79.09,79.11,78.20
79.23,79.35,79.42,79.20
79.32,78.71,79.34,78.71
78.95,78.82,79.03,78.71
79.13,79.06,79.13,78.75
79.35,80.27,80.51,79.25
80.69,80.74,81.15,80.64
80.76,80.85,80.95,80.76
80.79,80.86,80.96,80.68
80.98,80.96,81.13,80.79
80.55,80.63,80.73,80.43
81.12,80.69,81.12,80.68
80.14,80.31,80.50,79.98
80.29,79.13,80.40,79.13
79.03,78.70,79.08,78.56
78.90,79.58,79.78,78.85
79.32,79.15,79.55,78.92
79.48,79.28,80.07,79.14
79.59,79.37,79.78,78.87
79.56,79.83,79.89,79.26
80.07,80.08,80.17,79.93
80.37,79.68,80.37,79.60
79.39,79.26,79.51,79.11
79.18,78.39,79.18,78.32
78.51,78.09,78.60,78.00
78.68,78.09,78.68,78.06
78.14,78.02,78.39,77.92
78.23,78.51,78.54,77.85
78.81,79.44,79.50,78.72
79.26,79.22,79.43,79.03
78.93,78.32,78.99,78.00
78.19,76.76,78.19,76.72
76.62,77.07,77.07,76.49
76.30,76.04,76.51,75.99
76.51,75.86,76.61,75.75
76.36,75.75,76.39,75.61
75.83,75.88,76.19,75.28
75.98,75.80,76.10,75.56
76.05,76.57,76.78,76.05
77.06,75.94,77.09,75.90
75.80,76.13,76.32,75.68
76.32,76.52,76.86,76.30
75.90,75.04,75.91,74.71
75.23,73.95,75.23,73.95
73.87,74.24,74.81,73.86
74.62,74.32,74.64,74.13
73.89,74.11,74.78,73.89
74.37,73.08,74.37,73.00
73.06,73.01,73.26,72.50
73.08,73.54,73.67,72.45
74.26,75.39,75.43,74.26
75.48,75.46,75.56,74.92
75.64,75.72,75.86,75.54
76.07,76.58,76.59,76.07
76.48,76.79,76.79,76.25
76.77,76.52,76.89,76.44
76.00,77.13,77.13,76.00
77.53,77.67,77.75,77.25
77.48,77.60,77.60,77.29
78.03,77.32,78.10,77.32
77.26,77.07,77.39,76.90
76.96,76.42,76.96,76.17
76.19,76.75,76.89,76.19
77.15,76.70,77.15,76.48
76.50,76.59,76.90,76.50
77.01,77.29,77.69,77.01
77.60,77.09,77.60,77.02
77.01,76.59,77.29,76.42
76.18,75.96,76.33,75.85
76.08,76.99,76.99,76.08
77.13,77.85,77.97,77.11
77.41,76.85,77.41,76.85
76.68,76.99,77.07,76.58
76.05,76.54,76.61,75.94
76.36,76.45,76.53,76.32
76.42,75.73,76.42,75.54
75.74,75.84,75.96,74.92
75.32,74.95,75.63,74.95
74.90,76.50,76.51,74.90
78.10,78.56,78.56,77.81
78.47,78.21,78.75,78.12
78.32,78.32,78.52,78.15
78.10,78.27,78.35,77.94
78.25,78.18,78.36,77.84
78.40,78.28,78.55,78.28
78.66,78.74,78.79,78.19
78.95,78.92,78.97,78.71
78.56,78.35,78.56,78.35
78.07,78.25,78.28,77.96
78.23,78.46,78.63,78.17
78.80,78.82,79.05,78.58
78.62,79.00,79.03,78.46
79.02,79.19,79.19,78.72
79.58,79.70,79.81,79.50
78.77,78.89,79.35,78.70
79.13,79.19,79.32,78.90
79.12,79.12,79.29,78.96
79.02,79.23,79.34,78.88
79.25,78.93,79.28,78.81
78.93,78.84,79.16,78.77
79.39,79.60,79.68,79.22
79.13,78.51,79.13,78.49
78.91,79.48,79.67,78.91
79.33,79.35,79.54,79.14
79.47,79.58,79.59,78.84
79.84,80.23,80.34,79.84
80.16,80.11,80.18,79.99
80.08,79.83,80.12,79.82
80.07,79.93,80.22,79.73
79.71,79.91,80.10,79.70
80.06,79.88,80.14,79.73
80.08,80.32,80.34,80.00
80.18,79.31,80.24,79.31
79.06,78.79,79.07,78.53
79.09,79.58,79.58,79.00
79.93,78.27,80.05,78.27
78.63,78.83,78.88,78.31
78.78,79.63,79.85,78.78
79.60,79.47,80.00,79.47
79.30,79.69,79.76,79.02
79.51,80.03,80.03,79.41
80.38,80.88,81.02,80.38
81.17,80.83,81.21,80.74
80.88,80.92,81.00,80.68
81.16,81.24,81.32,80.78
81.10,81.52,81.52,81.09
81.37,81.11,81.37,80.93
81.02,81.16,81.38,81.02
81.44,81.61,81.67,81.39
81.57,81.41,81.58,81.32
80.69,81.06,81.32,80.61
81.32,80.76,81.33,80.24
81.26,81.41,81.45,81.10
80.84,80.70,81.10,80.66
80.99,81.35,81.37,80.99
81.44,80.97,81.62,80.70
81.20,81.49,81.49,81.20
81.09,81.55,81.57,80.91
81.49,81.71,81.80,81.45
81.73,81.23,81.81,80.66
81.46,81.90,82.12,81.46
82.07,81.20,82.07,81.03
81.35,81.23,81.35,80.96
80.31,80.69,80.72,80.13
80.64,81.26,81.26,80.62
81.49,81.47,81.58,81.08
81.75,82.54,82.64,81.75
82.60,83.03,83.13,82.60
82.69,82.88,82.88,82.37
82.37,80.99,82.39,80.99
81.73,82.36,82.42,81.61
81.48,81.00,81.48,80.68
80.99,80.07,80.99,79.85
79.93,80.39,80.45,79.77
80.70,80.87,80.99,80.17
81.38,81.55,81.68,80.84
81.46,81.55,81.85,81.46
81.78,81.86,82.21,81.78
81.79,81.75,81.91,81.59
82.10,82.55,82.76,81.99
82.52,83.11,83.12,82.50
82.96,82.52,83.06,82.46
82.75,83.43,83.54,82.75
84.43,84.45,84.64,84.40
84.61,84.61,84.70,84.55
84.61,84.90,84.95,84.61
84.83,85.37,85.37,84.83
85.22,85.13,85.56,85.07
85.23,85.48,85.48,85.21
85.35,85.61,85.82,85.35
86.16,86.17,86.32,85.93
85.94,86.30,86.30,85.86
86.23,85.97,86.43,85.88
86.28,86.70,86.70,86.11
86.71,86.60,86.87,86.54
86.61,86.70,87.04,86.61
86.78,85.89,87.43,85.57
84.99,85.62,85.73,84.88
85.10,85.59,85.59,85.03
86.49,86.04,86.78,85.94
85.33,85.37,85.63,85.01
85.41,85.50,85.86,85.41
85.31,84.31,85.73,84.31
84.53,84.73,84.73,83.82
84.76,84.28,85.08,83.91
84.05,83.06,84.27,83.06
83.27,83.63,83.63,82.67
84.34,84.81,84.81,83.99
85.16,84.66,85.16,84.57
83.85,83.86,84.48,83.68
84.35,83.06,84.37,83.01
83.04,84.20,84.26,83.04
84.45,83.71,84.45,83.65
84.38,84.30,84.62,83.97
84.41,84.99,85.07,84.41
84.95,83.85,85.06,83.85
