INGR,Ingredion Incorporated Common Stock,NASDAQ
47.07,46.98,47.51,46.44
46.99,46.77,47.65,46.65
46.72,47.20,47.32,46.42
47.38,47.11,47.49,46.84
47.53,47.27,48.00,47.24
47.34,47.10,47.63,47.06
47.34,47.04,47.37,46.96
47.06,46.98,47.26,46.75
46.94,46.56,47.02,46.30
46.75,46.49,46.97,46.01
46.51,46.28,46.63,46.18
46.34,46.36,46.63,46.21
46.25,46.00,46.35,45.91
46.43,46.45,46.69,46.34
46.46,45.59,46.46,45.38
45.34,45.80,45.99,45.20
45.99,46.27,46.43,45.88
46.40,46.27,46.50,45.67
46.36,46.55,46.89,46.08
46.79,46.68,47.21,46.57
47.20,47.68,47.97,47.11
47.84,47.99,48.12,47.57
47.89,47.82,48.00,47.55
47.88,48.74,48.76,47.68
48.79,48.98,49.53,48.63
48.79,48.76,48.90,47.96
49.03,48.00,49.19,47.94
47.99,48.72,48.87,47.73
48.63,47.84,48.63,47.60
48.20,47.95,48.57,47.84
47.85,48.25,48.40,47.56
48.44,46.91,48.65,46.79
47.18,46.13,47.20,46.09
46.63,46.92,47.42,46.52
46.95,46.41,47.26,46.39
46.42,47.38,47.53,46.06
47.52,48.22,48.75,47.52
48.38,48.22,49.12,48.16
48.07,47.95,48.36,47.55
48.10,48.25,48.31,47.73
47.90,47.73,48.30,47.60
47.53,47.90,48.14,47.39
48.22,48.69,48.73,47.84
48.74,48.05,48.83,47.83
48.07,48.60,48.97,47.95
50.11,50.45,50.83,48.01
50.47,49.70,50.97,49.08
49.10,48.89,49.92,48.72
48.94,46.89,48.95,45.51
46.79,46.47,46.90,46.09
46.87,48.83,48.96,46.78
49.20,48.82,49.59,48.58
49.10,47.12,49.10,47.08
47.15,47.44,47.88,46.55
47.87,48.76,49.19,47.70
48.76,48.64,49.49,48.25
48.87,47.20,49.00,46.94
47.34,47.16,47.55,46.55
47.00,46.98,47.13,46.44
46.68,45.76,46.68,44.51
45.49,46.17,46.35,45.09
45.72,46.03,46.07,44.75
44.53,46.57,47.10,44.53
46.37,45.79,46.50,44.87
46.62,47.16,47.70,46.44
47.81,47.74,48.15,47.52
48.43,49.37,50.00,48.39
49.41,48.25,49.51,47.84
48.29,48.05,48.73,48.05
48.44,49.20,49.26,47.88
49.92,50.31,51.03,49.80
50.31,49.25,50.34,49.18
48.10,49.86,50.07,48.10
50.23,51.21,51.30,50.13
51.25,51.82,52.07,51.25
52.05,52.64,52.64,51.88
52.95,52.16,52.95,51.89
51.91,52.44,52.67,51.90
52.79,52.10,52.84,51.80
52.04,51.65,52.57,51.41
52.15,51.87,52.48,51.59
51.91,50.86,51.91,50.69
50.71,52.58,52.67,50.71
52.75,51.55,52.98,51.40
51.08,51.41,51.59,50.30
51.57,52.29,52.70,50.97
51.45,51.16,51.59,50.77
51.23,52.60,52.84,50.80
53.32,53.64,53.85,53.10
53.95,54.07,54.10,53.19
54.28,53.80,54.30,53.41
54.03,54.21,55.00,53.72
54.32,54.42,54.47,53.77
54.38,54.77,54.91,54.23
55.00,55.10,55.29,54.66
57.40,56.14,57.91,55.58
56.35,55.26,56.62,54.90
55.25,53.85,55.26,53.45
53.52,53.58,54.08,53.20
54.39,53.54,54.76,53.19
53.62,55.07,55.25,53.52
55.38,55.06,55.59,54.95
55.14,54.25,55.16,53.60
54.25,54.60,54.78,53.55
54.85,54.14,55.02,53.83
53.93,53.73,54.38,53.61
53.39,53.08,53.54,52.47
53.28,53.85,53.91,52.83
53.94,53.83,54.50,53.25
53.66,54.52,54.81,53.23
53.77,54.70,54.99,53.30
54.91,55.58,56.51,54.65
55.43,55.22,55.62,54.95
55.00,56.00,56.16,54.93
56.28,56.60,56.74,56.10
57.31,56.73,57.45,56.06
56.70,56.02,57.00,55.88
55.97,56.00,56.26,55.36
55.04,54.88,55.37,54.71
54.79,53.65,55.07,53.60
55.02,54.79,55.54,54.68
54.68,54.17,54.94,54.06
54.21,55.51,55.97,53.73
55.18,54.66,55.51,54.56
54.93,53.94,55.15,53.82
54.45,55.91,55.95,53.97
55.48,54.68,55.48,54.27
54.55,53.12,54.87,52.19
53.50,53.49,54.48,53.45
53.44,53.38,53.80,52.82
53.66,54.62,54.99,53.40
54.20,54.17,55.01,54.08
53.44,54.07,54.14,52.53
54.07,53.56,54.31,53.38
53.67,53.77,54.41,53.39
53.83,55.12,55.17,53.59
55.60,56.30,56.49,55.27
56.25,55.28,56.30,55.00
55.43,56.24,56.34,55.32
56.38,57.14,57.35,56.11
57.00,56.95,57.30,55.69
57.53,57.20,57.64,56.82
56.48,56.93,56.97,55.87
56.13,56.37,56.73,55.90
55.95,55.97,56.70,55.83
56.11,56.65,57.08,55.77
56.68,55.86,57.63,55.80
55.93,56.12,56.21,55.45
56.00,55.29,56.21,54.69
55.78,57.70,57.75,55.42
58.00,57.38,58.00,57.31
57.74,59.36,59.43,57.58
59.50,59.12,59.50,58.56
58.48,58.09,58.96,58.07
58.27,57.44,58.27,57.22
57.25,56.41,57.45,56.28
53.04,51.79,53.56,49.32
50.21,50.89,51.41,50.09
51.80,51.73,52.31,50.90
51.23,51.13,52.32,50.99
51.27,50.53,51.41,50.02
49.88,45.56,50.09,45.50
46.15,46.68,46.93,43.76
44.97,42.44,46.07,42.37
43.38,44.33,44.36,41.17
43.42,43.34,44.49,42.61
43.46,44.58,45.35,43.30
44.99,45.62,45.67,44.49
45.96,47.61,47.73,45.96
47.00,46.77,47.35,46.67
47.16,47.43,47.87,47.13
46.00,45.49,46.07,45.07
45.05,44.87,46.18,44.63
46.01,44.92,46.03,44.76
45.12,46.70,46.82,44.62
46.50,46.05,46.84,45.31
46.36,45.15,46.41,45.00
44.94,45.82,46.39,44.17
46.58,47.42,47.83,46.35
47.32,47.14,48.08,47.04
47.28,46.76,47.42,46.45
46.72,46.80,47.43,46.71
46.09,45.76,46.64,45.63
44.40,44.94,45.19,44.02
46.10,46.95,47.06,46.02
46.89,46.01,47.40,45.99
45.66,44.57,45.71,44.00
43.80,43.57,44.17,42.71
43.75,44.45,44.61,43.40
44.79,45.82,46.29,44.19
46.16,46.05,46.30,45.31
45.89,46.46,46.76,45.24
45.60,45.66,46.04,45.04
45.75,45.01,46.36,44.98
44.86,42.64,44.86,42.63
41.25,39.84,41.29,39.37
39.57,40.00,40.21,39.44
40.21,39.89,40.29,38.96
41.15,41.01,42.33,40.76
41.22,39.50,41.28,39.48
40.08,39.71,40.38,38.97
38.95,39.24,39.93,38.87
39.00,37.74,39.29,37.56
37.34,38.84,38.88,36.65
38.98,39.81,40.12,38.50
39.78,40.92,40.95,39.58
41.08,40.37,41.32,40.30
41.17,41.76,41.87,40.92
41.65,42.20,42.37,41.54
42.65,43.81,44.05,42.63
43.46,43.27,43.51,42.32
43.74,44.45,44.50,43.65
44.11,43.29,44.30,43.11
43.23,45.02,45.38,42.60
44.90,44.26,45.27,44.03
44.17,44.27,44.48,43.24
44.77,45.32,45.51,44.75
45.33,46.01,46.31,45.07
45.72,44.59,45.91,44.54
45.38,45.35,45.71,43.98
49.82,49.00,53.12,48.47
49.64,49.68,50.08,49.15
49.01,48.50,49.07,48.46
47.96,47.77,48.46,46.98
48.55,49.01,49.21,47.90
49.50,51.73,51.95,49.42
51.42,51.24,51.65,50.69
51.02,51.45,51.51,50.77
51.73,52.08,52.33,50.96
50.79,50.14,51.01,50.00
51.03,50.63,51.09,50.00
51.25,51.57,52.22,51.17
51.28,52.35,52.56,51.16
52.09,52.58,52.96,51.70
51.97,52.10,53.03,51.77
52.00,51.56,52.48,50.96
51.56,51.42,51.87,51.15
50.50,51.14,51.45,50.25
51.19,51.04,51.67,50.72
50.41,50.00,50.73,49.57
49.67,49.37,50.27,49.35
51.03,50.57,51.03,50.21
50.76,49.99,50.76,49.94
51.82,51.99,52.36,51.08
52.34,51.74,52.98,51.70
52.24,51.93,52.61,51.56
52.30,51.47,52.35,51.00
51.41,51.76,52.01,51.28
51.44,51.64,51.95,51.01
51.20,50.34,51.28,49.91
50.38,51.43,51.63,50.33
50.82,49.77,50.82,49.30
50.10,49.62,50.46,49.22
49.32,48.50,49.32,48.25
49.00,48.72,49.55,48.43
49.08,48.78,49.47,48.42
49.01,49.47,49.61,48.89
50.45,51.05,51.19,50.44
51.02,51.76,51.94,50.84
51.96,52.34,52.41,51.64
52.49,52.75,52.83,52.22
52.51,52.60,53.25,52.41
52.45,51.68,52.45,51.55
51.68,52.32,52.72,51.68
52.17,52.59,52.76,52.10
53.55,51.45,53.56,51.14
51.14,51.34,51.86,51.14
51.25,52.37,52.45,50.59
52.29,51.80,52.29,51.52
51.97,52.28,52.58,51.53
52.71,52.91,53.46,52.53
52.60,52.84,53.01,52.46
52.85,53.09,53.51,52.62
52.75,53.04,53.06,52.09
53.32,53.24,53.79,53.03
53.21,54.81,54.83,53.11
54.90,54.61,54.94,54.29
54.55,54.85,54.95,54.30
54.82,54.90,55.33,54.51
54.54,54.41,55.02,54.34
54.44,55.50,55.64,53.80
55.65,55.33,56.00,55.06
55.23,55.16,55.40,54.95
54.74,55.28,55.59,54.19
55.52,55.49,55.91,55.13
55.95,56.51,56.56,55.60
56.62,56.29,56.98,55.96
56.72,56.02,56.92,55.98
55.80,56.28,56.59,55.65
56.15,55.95,56.22,55.67
56.13,56.42,56.66,55.93
55.00,57.31,57.60,53.30
55.90,56.88,57.56,55.77
57.35,57.08,58.10,57.05
57.10,57.56,57.57,56.83
57.72,56.80,58.10,56.60
56.66,57.09,57.46,56.56
57.25,57.03,57.49,56.75
57.02,57.27,57.59,56.94
57.19,57.04,57.64,57.00
57.17,57.24,57.40,56.78
57.37,56.87,57.48,56.79
56.40,56.73,57.40,56.34
56.80,56.11,57.04,55.97
56.29,57.35,58.02,56.19
57.62,57.84,58.38,57.54
57.62,57.35,58.23,57.09
57.37,57.41,57.62,57.19
56.82,55.93,57.27,55.69
56.00,56.32,56.67,55.90
56.50,56.44,56.78,56.00
56.54,57.30,57.51,56.34
57.42,56.93,57.72,56.88
56.94,57.00,57.10,56.72
56.84,56.46,56.99,56.43
56.60,56.20,56.60,56.09
56.10,55.98,56.50,55.93
56.04,55.23,56.17,55.19
55.00,55.00,55.17,54.48
55.21,55.89,56.13,55.00
55.56,56.37,56.46,55.42
56.55,56.53,56.78,55.78
57.01,57.23,57.71,56.88
57.36,56.98,57.47,56.91
56.96,56.82,56.96,56.20
56.38,56.83,57.16,56.33
57.21,57.65,57.78,56.76
57.63,58.19,58.87,57.39
58.15,57.95,58.31,57.54
57.54,58.03,58.14,57.26
57.88,58.02,58.11,57.60
57.41,57.33,57.47,56.89
57.35,56.23,57.52,56.11
56.73,55.72,56.94,55.63
55.70,56.15,56.42,55.47
56.03,55.64,56.28,55.55
55.77,55.69,55.98,55.31
55.89,56.90,56.99,55.86
56.52,56.78,56.92,56.26
56.65,57.07,57.41,56.38
57.17,56.79,57.50,56.42
56.22,56.06,56.25,55.48
56.00,55.80,56.66,55.68
56.45,57.28,57.44,56.39
57.10,57.83,58.07,56.75
58.08,58.07,58.24,57.66
57.91,57.06,58.12,56.91
55.80,56.68,57.70,55.74
56.43,56.32,56.56,55.83
56.40,55.75,56.63,55.36
55.61,55.43,55.93,54.81
55.22,54.65,55.42,54.64
54.22,55.05,55.16,53.76
54.64,54.85,55.49,54.17
55.05,55.38,55.60,54.93
55.08,55.11,55.62,54.89
54.71,55.00,55.43,54.49
55.04,54.99,55.08,54.54
55.24,54.21,57.87,54.16
54.15,52.42,54.22,52.42
52.43,51.45,52.57,51.37
51.62,52.02,52.11,50.97
51.99,52.41,52.58,51.82
52.08,51.86,52.12,51.30
51.88,52.29,52.30,51.62
52.51,52.23,52.59,52.04
52.44,52.30,52.85,52.11
51.86,51.28,51.91,51.22
51.38,51.09,51.69,50.67
48.56,50.05,50.51,48.56
47.26,49.51,50.00,47.26
48.91,49.67,49.68,48.77
49.77,50.79,51.05,49.77
51.59,50.79,51.60,50.77
50.40,50.67,51.04,50.23
51.10,49.91,51.30,49.90
49.97,50.13,50.42,49.71
50.22,49.99,50.33,49.88
50.16,50.12,50.55,49.86
50.28,50.06,50.38,49.97
49.69,50.04,50.05,49.55
49.98,50.42,50.81,49.94
50.28,50.16,50.64,49.96
49.97,49.37,50.38,49.33
49.51,49.25,49.86,49.25
48.79,48.29,48.96,48.21
48.32,48.24,48.42,47.88
48.44,48.55,49.08,48.44
48.08,48.65,48.65,47.85
49.45,49.52,49.75,49.25
49.55,49.63,49.73,49.22
49.60,49.92,49.92,49.27
49.61,48.61,49.66,48.58
48.23,48.06,48.35,47.75
47.96,47.08,48.05,46.99
47.01,47.27,47.64,46.89
47.11,46.81,47.27,46.43
46.55,46.16,46.55,45.86
46.31,47.36,47.42,46.31
47.08,45.99,47.14,45.94
46.12,45.59,46.12,45.30
45.45,46.60,46.75,45.42
46.62,47.31,47.48,46.36
46.91,47.32,47.44,46.80
46.65,46.59,47.04,46.16
46.46,46.85,46.92,46.46
46.86,47.23,47.34,46.81
47.86,48.77,48.82,47.83
48.98,50.33,50.33,48.77
50.18,50.29,50.91,50.05
50.30,51.92,51.96,50.30
52.43,51.23,52.99,51.23
50.63,50.50,51.70,50.41
51.14,52.31,52.38,51.06
52.33,52.29,53.19,52.29
52.59,51.75,52.91,51.74
51.71,52.02,52.55,51.50
52.10,52.56,52.67,51.93
52.55,52.43,52.57,51.81
52.76,52.71,52.85,52.39
52.89,52.94,53.04,52.54
52.94,53.44,53.50,52.80
53.52,53.93,53.99,53.30
53.66,54.09,54.30,53.66
53.84,54.25,54.49,53.57
54.39,54.24,54.90,54.12
54.25,54.54,54.83,54.07
54.53,54.05,54.84,53.89
54.09,54.31,54.52,53.88
54.43,53.87,54.46,53.65
53.96,53.97,54.34,53.68
53.95,53.76,54.10,53.69
52.54,53.40,53.65,52.54
53.87,53.83,54.21,53.38
54.01,54.63,54.71,53.78
54.65,54.94,54.94,54.29
55.11,55.72,55.98,55.11
55.61,55.35,55.79,55.29
55.23,55.19,55.55,54.91
55.22,55.15,55.56,55.03
55.22,55.36,55.44,54.95
55.16,55.79,56.15,54.90
55.98,55.51,56.35,55.16
55.52,55.21,55.83,55.15
55.27,55.08,55.37,54.80
55.16,56.09,56.36,55.10
55.67,55.81,55.99,55.33
56.03,55.76,56.57,55.71
55.58,55.51,55.79,55.24
55.67,54.72,55.89,54.72
54.86,54.06,55.06,54.02
54.16,55.04,55.31,54.04
54.90,55.16,55.30,54.41
54.89,54.90,54.99,54.57
55.06,55.93,55.94,55.06
56.03,55.92,56.40,55.73
56.21,56.75,56.85,56.15
56.83,56.94,57.44,56.65
56.89,56.87,57.03,56.63
56.75,55.97,56.79,55.86
55.90,55.32,55.96,55.22
55.57,55.75,56.17,55.53
55.79,55.06,55.79,54.89
55.06,55.10,55.29,54.84
55.22,56.54,56.74,55.22
56.59,57.92,58.13,56.59
57.76,57.49,58.06,57.49
57.39,56.80,57.49,56.52
56.85,56.83,56.92,56.29
55.99,55.50,56.24,55.31
55.52,54.98,55.87,54.62
56.09,59.33,59.48,56.09
59.74,60.84,60.97,59.74
60.85,61.46,61.51,60.25
61.54,62.31,62.60,60.22
60.54,62.31,62.89,60.54
62.20,62.87,63.33,61.53
62.88,63.65,64.08,62.70
63.34,63.47,63.58,62.51
63.44,62.90,63.44,62.44
62.67,63.44,63.85,62.45
63.67,62.99,64.07,62.82
62.96,62.99,63.49,62.39
62.91,62.11,63.24,62.02
62.22,62.11,62.50,61.85
62.32,62.54,63.53,61.94
63.34,62.86,63.42,62.77
62.91,62.39,63.16,62.38
62.83,62.94,63.01,62.08
63.28,63.39,63.48,63.05
63.47,63.41,63.48,62.86
63.70,65.06,65.62,63.65
63.77,64.60,65.00,63.56
64.25,65.07,65.35,63.44
65.00,64.95,65.06,64.30
65.00,64.96,65.20,64.66
64.89,65.43,65.61,64.89
65.87,65.94,66.38,65.74
65.80,65.74,66.12,65.54
65.90,64.88,65.90,64.80
64.96,65.19,65.46,64.89
65.33,64.70,65.33,64.67
64.73,64.23,64.80,64.14
64.15,64.17,64.61,64.05
64.55,64.25,64.55,64.00
64.34,64.32,64.72,63.91
64.53,65.26,65.31,64.26
65.32,65.44,65.76,65.19
65.45,66.59,66.66,65.45
66.57,66.22,66.57,65.27
65.77,65.88,66.43,65.48
65.87,64.39,65.93,64.39
64.33,64.69,65.02,64.26
64.45,63.91,64.68,63.90
63.81,64.43,64.55,63.69
65.51,67.00,67.01,65.49
66.95,66.94,67.13,66.68
66.93,66.78,67.07,66.67
66.78,65.52,67.00,65.45
65.44,65.88,65.99,65.41
66.03,67.40,67.50,66.02
67.93,67.40,67.95,67.08
67.39,67.87,67.90,66.71
67.81,68.32,68.34,67.72
67.98,68.81,69.23,67.96
68.54,68.98,69.14,68.10
69.09,70.26,70.42,69.09
70.28,69.70,70.28,69.34
69.75,69.73,69.96,69.54
69.83,70.28,70.39,69.44
70.16,70.08,70.31,69.84
70.08,70.00,70.32,69.65
67.03,66.75,68.92,66.11
66.57,67.75,68.24,66.01
67.76,66.28,67.91,66.11
66.30,66.07,66.80,65.98
66.50,65.10,66.50,64.64
64.88,63.95,64.98,62.44
64.54,66.07,66.25,64.20
65.76,65.79,66.23,65.30
65.20,64.88,66.10,64.14
64.94,65.30,65.45,64.20
65.30,65.31,65.72,65.10
65.29,64.76,65.36,64.54
64.98,65.09,65.26,64.84
64.98,65.50,65.62,64.83
65.67,65.88,65.95,65.59
66.00,66.83,66.83,65.75
66.84,66.20,67.00,66.18
66.05,65.02,66.13,64.91
65.36,65.11,65.36,64.55
65.04,63.70,65.36,63.70
63.81,64.15,64.38,63.41
64.29,65.67,65.80,64.03
65.73,66.20,66.49,65.41
65.83,66.59,66.85,65.37
66.42,66.26,66.49,65.68
66.56,67.19,67.47,66.35
67.51,68.17,68.35,67.31
68.27,67.58,68.39,67.40
67.91,68.78,68.83,67.00
68.26,66.70,68.31,65.82
66.84,67.20,67.49,66.24
67.56,68.26,68.63,67.34
68.34,69.36,69.79,68.17
69.22,68.20,69.32,67.65
67.56,67.46,68.25,67.35
67.70,68.84,68.88,67.70
69.09,69.91,69.95,68.85
69.42,69.53,70.00,69.28
69.61,70.47,70.49,69.61
70.50,70.88,71.15,70.50
71.03,71.32,71.39,70.96
70.49,72.27,72.42,70.49
72.14,72.32,72.58,71.79
72.11,72.25,72.34,72.07
72.67,73.20,73.48,72.67
73.03,72.89,73.60,72.71
72.75,73.37,73.84,72.71
72.62,73.25,73.26,72.20
73.08,73.99,73.99,73.06
73.95,72.95,73.95,72.32
73.07,73.57,73.58,72.88
73.48,74.01,74.31,73.41
73.85,73.75,74.15,73.61
73.59,71.66,73.59,71.66
72.14,73.33,73.37,71.40
72.64,72.34,72.65,71.67
72.62,72.65,73.10,72.30
72.91,72.89,73.29,72.49
73.32,73.20,73.44,72.46
73.70,73.55,74.00,72.71
73.83,72.51,73.90,72.36
72.96,72.79,73.36,72.66
71.16,71.75,72.60,70.92
71.77,71.51,71.99,71.23
71.62,72.01,72.07,71.59
72.06,70.97,72.53,70.80
71.45,70.25,71.47,68.69
71.14,70.03,71.17,69.25
69.88,69.64,70.00,69.37
70.04,69.78,70.04,69.54
69.48,70.68,71.21,69.42
70.71,70.54,71.24,70.36
70.48,70.46,71.16,69.95
70.20,70.38,70.49,69.88
70.53,71.48,71.50,70.32
71.18,71.86,71.98,70.85
71.83,71.15,72.05,71.08
71.19,72.42,72.43,71.17
72.44,71.72,72.66,71.56
71.63,71.56,71.68,70.67
71.45,70.75,72.09,70.53
70.03,71.72,71.74,69.49
71.67,70.69,71.74,70.38
71.46,70.32,71.56,70.02
70.35,70.36,70.89,69.75
70.28,69.50,70.56,69.23
69.35,68.12,69.54,68.10
68.38,68.24,68.48,66.89
68.48,68.25,68.80,67.50
68.03,67.12,68.03,67.01
67.14,67.10,67.14,65.87
67.94,67.42,68.18,67.01
67.55,68.22,68.24,67.11
67.95,68.39,68.65,67.44
68.74,67.98,68.74,67.86
67.73,68.84,69.02,67.36
68.46,68.37,69.24,68.06
68.82,68.85,69.32,68.57
68.99,69.61,69.69,68.81
69.78,68.12,69.78,68.07
