VB,Vanguard Small-Cap ETF - DNQ,NASDAQ
56.58,56.30,56.77,54.83
56.44,55.70,56.64,55.36
56.52,55.09,57.09,54.72
55.20,57.05,57.09,55.20
57.76,57.86,58.00,57.08
57.91,58.70,58.70,57.66
58.52,58.14,58.88,57.62
59.00,59.84,60.09,58.77
59.73,59.74,60.07,59.28
59.76,59.36,59.88,58.59
58.95,57.39,58.95,57.18
57.45,57.56,57.71,56.58
56.83,58.54,58.61,56.58
58.97,57.63,59.05,57.44
58.50,59.53,59.72,58.47
59.12,60.81,60.89,59.12
60.96,62.10,62.15,60.79
62.70,61.76,62.73,61.56
61.70,60.81,61.89,60.52
61.42,60.64,61.52,59.73
59.75,60.67,61.07,59.57
61.73,61.83,62.00,61.31
61.67,61.28,61.96,60.82
61.45,61.84,61.96,61.31
61.35,61.29,61.76,61.15
60.24,61.02,61.20,59.98
61.40,61.64,61.84,61.10
61.00,60.64,61.26,60.16
59.33,58.41,59.43,58.25
57.33,58.09,58.35,57.12
57.77,57.48,58.04,57.45
57.07,57.86,58.14,56.89
58.55,58.83,59.31,58.21
58.83,59.05,59.52,58.25
58.85,57.62,58.96,57.44
57.41,57.60,57.63,56.75
58.00,56.89,58.24,56.87
55.94,56.22,56.78,55.43
55.75,56.88,57.03,55.48
56.97,56.49,57.57,56.32
57.06,57.91,57.97,55.95
57.69,56.71,57.90,56.70
56.52,56.64,57.19,56.15
57.49,58.73,58.73,57.39
58.74,59.48,59.59,58.62
60.26,60.45,60.68,59.87
60.21,59.39,60.30,59.27
59.51,59.75,60.18,59.51
60.59,59.83,60.75,59.45
60.08,60.05,60.34,59.73
60.70,61.34,61.48,60.63
61.24,61.23,61.69,60.88
61.02,61.51,61.62,60.63
61.45,61.19,61.55,60.77
61.65,61.42,61.65,60.68
61.66,62.84,62.97,61.28
62.90,62.54,63.16,62.42
62.29,61.79,62.73,61.40
61.29,61.12,62.20,60.99
61.98,62.88,62.97,61.92
63.04,62.83,63.12,62.58
62.98,63.41,63.50,61.86
63.23,63.54,63.78,63.09
64.04,63.44,64.35,62.97
64.06,63.74,64.12,63.26
63.62,62.96,63.94,62.51
63.61,64.49,64.67,63.29
64.52,64.26,64.72,63.95
64.72,64.12,64.72,63.69
64.27,64.93,65.19,63.95
64.85,65.01,65.41,64.82
64.78,65.27,65.44,64.17
65.63,66.09,66.56,65.40
66.16,65.98,66.36,65.44
66.52,65.82,66.59,65.43
65.99,66.38,66.38,65.81
65.42,65.06,66.13,64.60
65.44,65.76,66.10,65.19
66.16,65.58,66.51,64.83
65.82,65.98,66.09,65.58
66.49,66.49,67.11,66.37
66.08,66.36,66.76,65.75
65.93,66.16,66.28,65.35
66.72,65.87,66.73,65.59
65.64,66.03,66.37,65.64
66.45,65.77,66.87,65.33
66.65,66.86,66.92,66.10
66.99,67.13,67.15,66.17
68.25,68.66,68.67,68.01
68.75,69.08,69.28,68.58
68.92,69.09,69.21,68.57
69.30,68.23,69.39,67.91
68.37,68.86,68.86,67.64
68.20,68.64,68.89,67.95
68.02,67.54,68.50,67.40
67.88,67.59,68.27,67.53
67.16,66.34,67.22,65.90
66.54,66.60,66.73,66.16
67.33,67.68,68.00,67.33
67.51,67.91,68.04,67.16
67.69,68.30,68.40,67.38
67.53,67.65,67.78,67.17
68.26,69.10,69.10,68.25
68.60,68.67,69.02,68.58
68.34,68.65,68.77,67.58
67.90,68.13,68.55,67.67
69.44,69.60,69.74,69.31
69.68,70.40,70.47,69.60
70.16,70.87,71.06,70.05
70.83,71.21,71.40,70.75
72.12,71.54,72.24,71.45
71.66,71.52,71.94,71.36
72.02,71.75,72.02,71.49
72.01,72.60,72.76,71.82
72.88,72.28,72.99,72.28
72.53,72.24,72.66,72.12
72.17,71.92,72.83,71.84
72.06,72.55,72.66,71.75
72.62,72.77,72.92,72.24
73.05,73.01,73.32,72.64
73.31,73.78,73.84,73.25
73.97,73.87,74.14,73.76
73.94,73.74,74.12,73.67
72.74,73.11,73.19,72.49
73.28,72.91,73.28,72.71
73.08,73.13,73.20,72.95
73.10,73.07,73.41,73.06
73.00,72.63,73.13,72.56
73.38,73.77,74.15,73.22
74.06,72.88,74.06,72.13
72.77,73.59,73.65,72.60
73.70,73.43,73.88,73.23
73.66,73.06,73.87,72.25
72.78,73.49,73.69,72.28
73.90,73.82,74.07,73.46
74.45,74.39,74.49,74.03
74.39,74.33,74.64,74.06
74.30,74.79,74.92,74.13
74.68,75.10,75.12,74.38
75.11,73.44,75.15,73.25
73.08,72.65,73.29,72.32
73.32,72.33,73.32,72.28
72.39,72.87,73.07,72.21
72.49,72.92,72.92,72.14
73.07,73.98,74.16,72.85
73.98,74.31,74.51,73.80
74.34,72.59,74.46,72.56
73.03,73.14,73.65,72.59
73.72,74.60,74.87,73.66
74.45,74.25,74.90,74.25
74.37,74.68,74.77,73.60
74.65,74.95,75.04,74.40
75.02,75.71,76.10,75.02
75.75,76.22,76.22,75.48
76.01,75.92,76.28,75.59
75.47,76.29,76.35,75.38
76.08,77.11,77.14,76.00
77.17,77.55,77.55,77.15
77.34,77.09,77.43,76.95
77.35,77.74,77.85,77.31
77.69,78.29,78.45,77.59
78.52,78.34,78.60,78.01
77.60,76.30,77.90,76.18
76.47,75.01,76.53,74.41
75.05,75.30,75.77,74.49
75.70,76.95,76.96,75.67
77.49,77.18,77.61,76.61
77.50,75.79,77.50,75.50
75.71,76.02,76.43,75.46
76.82,77.60,77.83,76.82
77.71,77.36,77.71,76.67
77.70,76.20,77.70,75.54
76.26,77.20,77.59,75.70
77.11,76.89,77.34,76.64
76.00,75.12,76.15,74.89
74.45,75.39,75.76,74.35
74.50,74.98,75.46,74.27
73.39,74.40,74.94,72.80
74.13,73.56,74.96,73.17
74.60,73.93,74.68,73.88
74.70,74.65,74.84,74.42
75.64,76.31,76.31,75.56
76.49,75.86,76.55,75.72
75.70,76.00,76.22,74.96
76.50,76.63,76.82,75.81
77.01,77.28,77.96,76.73
77.55,77.02,77.69,76.98
77.03,77.66,77.76,76.58
78.10,78.67,78.76,77.99
78.62,78.99,79.03,78.54
79.55,79.34,79.75,79.10
79.68,79.54,79.76,79.38
79.45,79.94,80.45,79.39
80.43,80.02,80.63,79.68
80.08,79.63,80.44,79.43
80.04,78.96,80.12,78.58
78.87,78.24,79.15,77.95
77.76,77.30,78.04,77.16
77.75,77.46,77.86,76.92
76.89,77.69,77.75,76.73
77.75,78.41,78.41,77.42
77.27,77.27,77.33,76.61
77.49,77.40,77.78,76.96
78.73,78.94,78.95,78.42
79.47,79.59,79.60,78.96
79.59,79.49,79.71,79.03
79.71,80.25,80.60,79.57
80.33,80.79,80.85,79.99
80.62,80.91,81.10,80.62
81.02,81.31,81.52,80.92
81.81,80.56,81.85,80.45
80.40,79.56,80.60,79.05
79.66,78.61,79.70,78.18
78.03,78.26,79.31,77.85
79.02,78.65,79.62,78.28
78.61,79.53,79.63,78.49
79.80,80.57,80.61,79.80
80.40,79.31,80.46,78.92
78.86,79.83,80.08,78.40
79.93,78.83,80.07,78.57
78.35,77.79,79.11,77.74
77.19,77.42,77.67,76.87
77.55,78.66,78.70,77.37
79.20,78.80,79.23,78.18
78.67,78.22,78.70,77.72
76.82,76.82,77.23,76.65
77.06,76.56,77.34,76.39
76.37,77.36,77.59,76.28
77.16,78.27,78.31,77.09
78.50,78.74,79.02,78.50
79.64,79.72,79.72,78.84
79.63,77.37,79.63,77.27
77.62,77.25,77.85,76.88
76.03,76.18,76.93,75.93
76.05,74.96,76.27,74.90
75.48,75.22,75.75,75.14
74.97,74.44,75.12,74.33
74.69,74.86,75.22,74.38
74.44,73.70,74.50,73.40
73.93,73.49,74.21,73.06
74.12,75.04,75.25,74.09
74.34,73.81,74.84,73.55
73.83,73.85,74.38,72.97
74.59,73.89,74.60,73.62
73.62,74.53,74.78,73.62
75.12,76.14,76.23,75.04
75.77,75.72,76.58,75.70
74.79,75.81,75.93,74.12
76.11,75.19,76.16,74.99
75.19,75.82,75.96,74.88
76.10,76.98,76.98,75.92
77.20,77.37,77.60,76.69
77.66,78.05,78.28,77.54
78.16,79.28,79.46,77.92
79.43,79.45,79.61,79.02
79.32,79.87,80.00,79.10
80.74,80.94,81.21,80.50
79.93,80.48,80.52,79.66
79.40,78.69,79.88,78.50
78.24,78.29,79.05,78.24
78.80,78.83,79.73,78.65
79.05,77.68,79.39,77.51
77.97,78.15,78.20,77.45
77.79,77.01,77.95,76.52
77.66,78.67,78.73,77.66
78.75,78.59,78.81,78.10
78.88,79.26,79.63,78.73
79.26,79.51,79.67,78.87
78.53,78.66,79.26,78.30
78.55,78.09,78.67,77.90
77.50,75.83,77.63,75.70
75.82,75.47,76.58,75.36
74.46,75.22,75.69,73.83
76.16,74.82,76.57,74.10
74.39,72.50,75.17,72.49
72.47,72.83,72.86,70.68
71.80,68.40,71.86,68.40
69.15,67.13,69.37,65.57
64.95,61.48,66.23,61.40
63.23,65.46,65.52,60.51
63.51,62.70,65.11,62.51
62.97,65.79,66.76,62.72
66.59,66.29,66.97,65.45
67.00,68.16,68.18,66.86
67.49,67.04,67.90,66.40
67.40,66.83,67.93,66.25
64.51,63.02,64.75,62.48
61.77,61.86,63.94,61.64
63.62,61.81,63.68,61.34
62.06,64.57,64.60,61.58
64.47,65.51,65.73,63.99
66.16,63.98,66.40,63.74
63.66,65.50,65.72,62.68
66.38,68.53,68.60,66.38
68.12,68.85,69.33,67.50
69.27,68.94,70.10,68.28
68.95,67.65,69.75,67.34
66.03,65.24,66.61,64.93
62.69,64.90,64.99,62.69
66.01,67.48,67.53,65.83
67.01,66.33,67.85,66.07
65.67,64.42,65.95,63.86
63.50,64.91,65.03,63.39
65.32,66.06,66.27,64.73
66.65,67.16,68.03,65.33
67.83,68.11,68.18,66.87
68.32,68.23,68.68,67.66
66.86,67.19,67.78,66.27
67.46,66.17,68.10,66.17
66.15,63.69,66.46,63.69
61.56,61.58,62.81,60.55
61.59,62.28,62.57,61.19
62.81,63.45,63.51,61.44
64.89,64.69,66.19,64.29
64.57,62.35,64.98,62.25
63.75,63.22,63.96,61.50
62.15,61.37,63.00,61.36
60.73,58.30,61.78,58.19
57.64,61.38,61.46,57.25
61.44,62.50,62.85,60.70
62.39,64.07,64.15,61.99
64.36,62.64,64.44,62.38
63.96,65.24,65.24,63.87
64.74,65.52,65.82,64.50
66.15,66.40,67.15,66.00
66.08,66.34,66.70,65.21
67.21,67.64,67.77,66.51
67.17,65.69,67.18,65.46
65.89,67.39,67.90,64.75
67.16,66.14,67.72,65.96
66.34,66.50,66.56,64.85
67.42,67.83,67.95,66.96
68.28,70.10,70.25,68.12
69.69,68.25,69.69,68.16
69.42,69.36,69.73,67.54
71.96,72.83,73.37,71.18
72.60,72.61,73.27,72.30
71.45,70.75,72.04,70.75
67.99,68.43,69.68,67.79
69.42,69.95,70.09,68.77
70.92,71.67,71.84,69.25
70.87,71.34,71.55,70.28
71.29,71.22,71.62,69.90
71.95,72.11,72.22,70.34
70.08,68.95,70.61,68.84
69.95,69.39,70.02,68.71
70.31,71.15,71.37,70.17
70.89,70.21,71.05,69.84
69.77,70.94,71.28,69.44
70.12,69.75,71.40,69.75
69.78,68.68,70.03,68.27
69.02,68.60,69.04,68.17
67.31,67.16,67.62,66.59
67.03,66.69,67.48,66.30
66.02,64.72,66.10,64.62
64.38,64.10,65.22,64.10
66.42,66.80,67.08,66.14
66.93,66.78,67.25,66.38
69.44,70.44,70.44,68.84
70.12,69.97,70.79,69.83
70.89,70.19,71.25,70.07
71.61,71.30,71.90,70.75
71.40,71.20,71.65,70.64
70.66,71.12,71.46,69.76
70.45,69.05,70.66,68.90
69.22,70.98,71.23,69.18
69.97,69.87,70.01,69.06
70.44,68.49,70.74,68.11
67.75,67.42,68.24,67.14
68.33,68.09,68.36,67.53
68.63,68.70,69.48,68.17
69.13,67.38,69.38,67.30
68.85,70.00,70.06,68.75
69.73,70.20,70.50,69.00
70.65,70.85,71.12,70.51
70.07,70.22,70.29,69.73
70.00,70.40,70.71,69.80
70.43,69.16,70.43,69.05
69.46,69.93,70.11,69.34
69.94,69.67,70.26,69.64
71.22,70.66,71.52,70.42
70.27,70.32,70.54,69.80
69.65,70.78,71.05,69.25
70.80,70.66,71.16,70.17
71.01,70.98,71.11,70.31
71.82,71.88,72.07,71.63
71.64,72.23,72.31,71.55
72.42,72.44,72.50,71.63
71.82,71.94,72.08,71.28
72.62,71.95,72.84,71.84
71.95,73.29,73.30,71.84
73.59,73.79,73.95,73.31
73.68,73.82,74.00,73.56
73.81,73.78,74.39,73.22
73.34,74.15,74.27,73.00
74.11,74.86,75.05,73.80
75.35,74.62,75.43,74.25
74.35,75.19,75.25,74.35
74.49,74.68,74.94,74.08
75.06,74.51,75.30,74.15
75.25,76.07,76.24,75.05
76.31,76.39,76.74,76.10
77.54,77.96,78.13,77.38
77.64,77.74,77.92,77.45
77.64,77.72,78.02,77.26
77.84,77.85,78.26,77.18
78.05,77.66,78.06,77.10
76.89,76.72,77.07,76.50
77.55,77.68,77.77,77.09
77.32,77.38,77.47,76.84
77.83,76.90,77.84,76.66
76.92,78.28,78.33,76.92
78.67,78.23,78.69,78.10
78.42,77.85,78.49,77.45
77.64,77.29,77.94,77.20
77.41,78.24,78.29,77.00
78.32,78.13,78.50,78.01
77.44,78.10,78.42,76.93
78.15,77.93,78.52,77.51
78.09,76.95,78.49,76.95
77.33,77.46,78.11,77.26
77.37,76.43,77.59,76.13
76.21,76.32,76.39,75.68
75.43,74.79,75.57,74.50
75.05,75.53,75.59,74.86
76.04,76.46,76.63,75.49
76.49,77.45,77.89,76.46
77.62,77.22,77.72,76.94
77.75,78.77,78.77,77.54
78.73,78.15,78.89,77.88
78.17,78.89,78.91,77.90
79.05,78.81,79.05,78.54
78.64,79.31,79.88,78.57
78.79,78.62,78.88,78.29
78.79,78.58,79.00,78.31
77.79,77.78,78.08,77.30
77.85,78.40,78.48,77.18
79.33,79.86,79.90,79.21
79.94,79.39,80.10,79.38
79.49,79.03,79.62,78.35
78.49,78.74,78.97,77.88
79.22,78.72,79.37,78.39
78.46,79.47,79.65,78.34
79.36,79.19,79.64,78.76
78.33,77.96,78.56,77.54
77.64,77.65,78.05,77.50
76.28,76.47,76.76,76.10
76.24,74.66,76.40,74.54
75.36,75.60,75.78,75.18
75.68,76.89,77.13,75.68
76.66,75.96,76.66,75.85
76.29,75.97,76.46,75.32
76.66,77.17,77.68,76.45
76.78,76.65,76.96,76.38
76.67,76.32,77.39,75.88
76.72,76.72,77.37,76.68
75.60,75.77,75.86,74.99
75.78,76.11,76.39,75.54
77.13,77.41,77.67,76.95
77.34,78.07,78.22,77.30
78.39,78.72,78.82,77.60
78.61,77.92,78.69,77.82
77.99,78.09,79.27,77.79
77.56,78.29,78.35,77.26
78.18,77.17,78.30,76.83
76.69,75.82,76.70,75.66
75.56,75.98,76.20,75.41
75.41,75.76,75.82,74.55
74.85,75.37,75.74,74.50
75.94,75.58,76.01,75.24
75.03,75.48,76.08,75.00
74.71,74.48,75.05,74.25
74.45,74.26,75.02,74.05
74.58,73.76,74.93,73.69
73.82,71.89,73.82,71.89
72.03,71.23,72.36,71.02
71.44,72.81,72.83,70.96
72.90,72.68,73.44,72.21
71.96,73.10,73.23,71.41
73.10,73.24,73.36,72.33
73.27,73.22,73.55,72.94
73.99,74.24,74.47,73.47
73.61,72.87,73.61,72.74
72.83,72.68,73.06,71.69
71.00,70.42,71.52,70.37
70.59,70.19,70.87,69.43
69.83,71.08,71.10,69.71
71.66,72.84,72.87,71.60
73.99,72.41,74.32,72.40
72.22,73.24,73.34,71.81
74.10,71.70,74.10,71.60
71.92,72.60,72.63,71.33
72.42,71.79,72.85,71.47
71.85,72.55,72.76,71.60
72.61,73.37,73.47,72.43
72.86,73.63,73.80,72.66
74.01,74.81,75.22,73.89
74.88,74.76,75.27,74.26
74.68,72.91,74.78,72.81
73.31,73.64,73.81,72.93
72.60,72.43,72.76,72.16
72.64,72.76,73.11,72.05
72.88,73.77,73.86,72.88
73.22,73.86,73.92,72.78
75.49,76.04,76.10,75.06
76.38,76.77,76.83,75.70
76.87,77.73,77.76,76.82
77.78,77.71,78.00,77.25
77.00,76.83,77.09,76.49
76.69,76.58,76.86,76.26
77.06,75.68,77.22,75.39
75.72,75.39,75.91,74.95
74.87,75.19,75.46,74.10
75.45,76.18,76.38,75.45
76.09,75.89,76.24,75.55
76.33,76.19,76.46,75.14
76.05,76.60,77.00,76.00
77.01,76.43,77.06,76.29
75.90,75.58,75.98,75.45
74.10,74.41,74.72,73.89
74.62,73.52,74.67,73.11
73.90,73.58,74.15,73.27
74.84,74.41,74.93,73.92
74.80,76.12,76.39,74.41
76.12,75.79,76.48,75.54
75.58,75.28,76.20,75.28
75.67,74.27,75.83,74.27
73.45,73.87,74.23,73.39
75.10,75.54,75.85,74.84
75.68,76.07,76.40,75.56
76.65,76.79,77.31,76.48
76.48,76.78,77.05,76.35
76.78,77.08,77.30,76.77
76.83,76.96,77.05,76.52
76.87,76.87,76.87,76.04
77.35,76.67,77.39,76.40
76.51,77.22,77.25,76.48
77.19,77.98,78.13,76.94
78.11,78.47,78.58,77.92
78.36,78.22,78.44,77.86
78.61,78.33,79.23,78.01
78.11,78.04,78.32,77.70
77.96,77.51,77.96,77.30
77.36,77.71,77.95,77.13
78.10,77.82,78.20,77.56
77.79,78.16,78.30,77.65
78.26,78.34,78.61,77.98
77.98,77.67,78.05,77.43
78.33,77.96,78.33,77.30
77.68,78.90,79.14,77.53
78.89,78.86,79.19,78.59
79.33,80.31,80.58,79.22
80.50,80.88,81.05,80.43
80.85,80.52,81.02,80.46
80.57,80.70,81.09,80.49
81.05,81.13,81.20,80.58
81.17,82.02,82.48,80.78
82.35,82.94,83.40,82.26
82.63,82.34,82.79,82.10
82.10,82.03,82.22,81.75
82.26,82.00,82.33,81.81
81.51,81.63,81.73,81.10
82.21,81.78,82.34,81.75
81.37,81.39,81.85,81.17
81.87,80.19,81.87,80.14
80.23,79.70,80.27,79.34
80.05,80.56,80.80,79.70
80.29,80.14,80.54,79.85
80.42,80.24,80.99,79.84
80.74,80.37,80.74,80.03
80.55,80.32,80.80,79.90
80.67,80.95,80.95,80.10
81.28,80.86,81.85,80.66
80.47,80.49,80.70,80.33
80.41,79.53,80.54,79.44
79.55,79.34,79.74,79.10
79.92,79.65,80.23,79.59
79.65,79.05,79.87,78.87
79.21,79.59,79.59,78.72
79.97,80.27,80.33,79.85
80.44,81.02,81.11,80.29
80.97,80.69,81.10,80.58
80.04,79.27,80.20,78.91
79.10,79.15,79.34,78.71
78.35,78.74,78.90,77.85
79.04,78.48,79.15,78.30
79.09,78.73,79.31,78.16
78.64,78.47,79.11,77.90
78.53,78.99,79.02,78.22
79.10,80.17,80.20,78.97
80.58,79.06,80.63,79.01
79.08,79.48,79.57,78.75
79.83,80.18,80.33,79.71
79.17,78.37,79.29,77.97
78.32,77.32,78.50,77.32
76.95,77.41,77.97,76.86
77.64,77.25,77.65,77.11
76.79,76.84,77.60,76.70
77.04,75.48,77.11,75.28
75.25,75.08,75.66,74.48
75.03,75.80,75.87,74.50
76.78,77.30,77.30,76.54
77.26,77.49,77.57,76.90
77.69,77.87,77.89,77.36
78.14,78.73,78.74,78.07
78.74,78.85,78.91,78.27
78.86,78.68,79.24,78.67
78.42,79.26,79.26,77.74
79.84,79.99,80.12,79.48
80.12,79.98,80.24,79.63
80.58,79.79,80.58,79.56
79.94,79.90,80.05,79.30
80.13,79.81,80.20,79.25
79.83,79.97,80.14,79.57
80.27,80.09,80.40,79.77
80.21,80.48,80.51,80.05
81.03,81.10,81.27,80.81
81.30,80.82,81.50,80.64
80.94,80.32,81.07,80.05
80.19,80.21,80.57,79.96
80.55,81.18,81.18,80.37
81.46,82.29,82.38,81.22
82.50,82.35,82.76,82.16
82.43,82.81,82.84,82.19
81.64,82.35,82.35,81.46
80.69,80.52,80.69,80.30
80.64,80.00,80.72,79.98
80.09,79.91,80.22,78.95
79.56,79.34,80.02,79.34
79.47,80.90,81.03,79.25
82.85,83.19,83.21,82.57
83.32,83.14,83.69,82.95
83.51,83.77,83.92,83.19
83.44,83.52,83.64,83.29
83.53,83.36,83.61,83.01
83.59,83.72,83.80,83.44
84.06,83.84,84.14,83.42
83.84,83.77,83.91,83.44
83.65,83.88,83.98,83.58
83.46,84.30,84.40,83.41
84.13,84.12,84.32,83.90
84.54,84.88,85.04,84.45
84.88,85.11,85.15,84.64
85.16,85.72,85.72,84.95
85.77,85.52,85.82,85.48
85.73,85.77,86.29,85.48
86.27,86.42,86.44,85.87
86.63,86.45,86.63,85.97
86.45,86.40,86.46,86.09
86.41,85.53,86.41,85.29
85.44,86.04,86.12,85.33
86.69,86.79,87.07,86.46
86.26,85.95,86.64,85.79
86.49,86.68,86.85,86.23
86.10,87.10,87.10,86.10
87.08,86.96,87.21,86.36
87.19,87.54,87.58,87.07
87.56,87.42,87.58,87.11
87.49,87.77,87.87,87.42
87.99,88.05,88.18,87.69
87.88,88.32,88.42,87.78
88.35,88.17,88.53,88.02
88.45,88.96,88.96,88.45
89.05,87.40,89.05,87.28
87.26,86.48,87.27,85.95
86.96,87.37,87.38,86.86
87.97,85.57,87.97,85.56
85.94,85.99,86.21,85.26
86.00,87.09,87.45,85.99
87.08,87.12,87.72,86.93
86.63,87.24,87.39,85.94
87.15,87.53,87.56,86.67
87.97,88.54,88.67,87.97
88.85,88.78,88.99,88.53
88.82,89.11,89.16,88.75
89.80,89.92,89.93,89.20
89.69,89.99,90.03,89.57
89.90,89.81,90.09,89.56
89.87,90.23,90.35,89.63
90.41,91.03,91.03,90.36
90.87,90.90,91.07,90.66
90.00,90.52,90.83,89.85
90.70,90.14,90.89,89.40
90.74,90.92,91.00,90.51
90.23,90.24,90.83,89.95
90.58,90.46,90.68,90.26
90.77,90.40,91.16,89.90
90.79,90.82,90.93,90.38
90.23,90.98,91.05,89.94
90.95,91.15,91.43,90.89
91.14,90.27,91.33,89.91
90.85,89.83,90.88,89.63
89.94,88.40,90.06,88.10
88.32,89.05,89.05,88.30
87.63,88.88,88.88,87.56
89.05,89.65,89.69,88.53
89.89,89.64,90.08,89.36
89.96,90.94,91.10,89.85
90.93,91.30,91.72,90.86
90.90,90.91,91.19,90.40
90.39,87.84,90.56,87.64
88.65,89.23,89.31,88.27
88.51,87.73,88.63,87.12
87.89,87.22,88.00,86.85
87.67,88.14,88.20,86.99
88.25,88.45,88.63,87.15
89.14,89.57,89.59,88.69
89.34,90.05,90.08,89.30
90.29,90.59,91.03,90.14
90.29,90.27,90.60,89.88
90.60,90.86,91.04,90.40
90.89,91.42,91.42,90.45
91.17,89.69,91.18,89.64
90.21,90.86,90.99,90.00
92.03,92.11,92.66,91.68
92.18,92.72,92.77,92.13
92.86,93.47,93.47,92.60
93.19,93.84,93.84,93.14
93.79,93.50,93.97,93.34
93.65,94.29,94.30,93.55
94.15,94.21,94.47,93.87
94.36,95.34,95.36,94.31
95.17,95.65,95.97,95.10
95.58,95.26,95.95,95.08
95.58,96.29,96.32,95.58
96.16,96.51,96.85,96.12
96.53,96.65,96.85,96.27
96.77,94.98,97.48,94.53
93.78,94.98,95.10,93.56
94.52,94.73,94.87,93.85
96.10,95.83,96.63,95.25
95.24,94.91,95.41,94.14
95.19,95.60,95.82,95.01
95.07,94.71,95.90,94.71
95.00,94.84,95.14,93.62
94.91,94.11,95.35,93.53
93.88,92.81,94.05,92.64
92.74,93.80,93.80,92.35
94.38,94.75,94.90,93.81
94.99,95.02,95.16,94.37
94.07,93.93,94.71,93.38
94.51,93.08,94.65,92.92
93.10,94.76,94.93,92.77
94.73,94.30,95.04,93.96
94.96,94.84,95.21,94.35
95.01,95.78,95.97,94.91
95.79,94.46,95.81,94.44
