ADK,Adcare Health Systems Inc Common Stock (GA),NASDAQ
5.45,5.25,5.48,5.10
5.12,4.88,5.17,4.80
4.86,4.85,4.92,4.80
4.91,5.15,5.15,4.91
5.10,5.25,5.25,5.10
5.30,5.10,5.46,5.10
5.11,5.25,5.25,5.10
5.15,5.26,5.26,5.15
5.30,5.24,5.40,5.24
5.16,5.00,5.16,5.00
5.05,5.00,5.06,4.80
5.00,4.88,5.00,4.80
4.85,4.90,4.90,4.80
4.80,4.77,4.90,4.67
4.70,4.80,4.80,4.65
4.90,4.93,4.94,4.85
4.95,5.15,5.15,4.95
5.20,5.00,5.20,4.92
4.95,4.69,5.00,4.69
4.70,4.69,4.85,4.69
4.80,4.79,4.82,4.66
4.79,4.80,4.84,4.79
4.77,4.80,4.80,4.73
4.85,4.77,4.85,4.76
4.88,5.14,5.35,4.88
5.10,4.84,5.10,4.81
4.55,4.70,4.71,4.55
4.80,4.79,4.80,4.79
4.80,4.80,4.80,4.80
4.80,4.65,4.87,4.65
4.71,4.74,4.82,4.61
4.67,4.60,4.73,4.59
4.65,4.65,4.65,4.65
4.60,4.60,4.70,4.60
4.55,4.56,4.57,4.55
4.50,4.36,4.50,4.36
4.40,4.10,4.40,4.10
4.10,3.93,4.15,3.90
3.82,3.72,4.00,3.70
3.70,3.10,3.70,3.10
3.20,3.01,3.25,3.00
3.09,3.30,3.40,3.08
3.37,3.30,3.39,3.30
3.35,3.50,3.50,3.30
3.50,3.46,3.50,3.35
3.50,3.45,3.59,3.40
3.40,3.40,3.45,3.25
3.39,3.45,3.46,3.39
3.50,3.40,3.55,3.40
3.51,3.43,3.51,3.40
3.45,3.40,3.50,3.40
3.45,3.45,3.45,3.25
3.40,3.41,3.41,3.40
3.55,3.39,3.55,3.39
3.41,3.45,3.45,3.41
3.46,3.45,3.46,3.45
3.46,3.43,3.49,3.20
3.48,3.44,3.48,3.40
3.47,3.50,3.50,3.45
3.50,3.48,3.50,3.47
3.40,3.45,3.55,3.35
3.47,3.52,3.55,3.46
3.46,3.60,4.02,3.46
3.65,3.60,3.65,3.60
3.60,3.59,3.60,3.55
3.58,3.62,3.63,3.58
3.60,3.60,3.60,3.60
3.55,3.45,3.55,3.25
3.40,3.30,3.45,3.30
3.26,3.30,3.32,3.26
3.30,3.27,3.50,3.27
3.32,3.31,3.35,3.31
3.35,3.37,3.44,3.20
3.30,3.25,3.35,3.20
3.22,3.20,3.29,3.17
3.20,3.20,3.20,3.20
3.25,3.20,3.25,3.17
3.20,3.09,3.24,3.09
3.09,3.33,3.65,3.05
3.30,3.23,3.44,3.20
3.30,3.25,3.30,3.15
3.21,3.18,3.35,3.18
3.16,3.30,3.30,3.16
3.35,3.40,3.40,3.35
3.45,3.38,3.55,3.38
3.45,3.40,3.55,3.40
3.40,3.33,3.40,3.33
3.30,3.40,3.40,3.30
3.40,3.38,3.40,3.33
3.35,3.40,3.45,3.35
3.37,3.45,3.50,3.37
3.47,3.45,3.50,3.45
3.46,3.35,3.46,3.35
3.31,3.35,3.37,3.31
3.35,3.05,3.45,3.05
3.12,3.33,3.41,3.12
3.30,3.44,3.45,3.20
3.45,3.37,3.45,3.30
3.44,3.40,3.45,3.37
3.35,3.42,3.45,3.35
3.45,3.30,3.45,3.25
3.05,3.26,3.30,3.05
3.33,3.44,3.44,3.33
3.50,3.45,3.50,3.45
3.45,3.54,3.54,3.45
3.45,3.45,3.52,3.35
3.45,3.53,3.60,3.45
3.63,3.45,3.63,3.45
3.50,3.45,3.55,3.45
3.46,3.45,3.49,3.44
3.50,3.40,3.64,3.40
3.41,3.56,3.65,3.41
3.56,3.63,3.65,3.55
3.64,3.55,3.64,3.45
3.65,3.64,3.65,3.55
3.65,3.58,3.65,3.58
3.49,3.58,3.65,3.49
3.60,3.73,3.73,3.60
3.68,3.74,3.74,3.64
3.70,3.65,3.74,3.65
3.73,3.59,3.73,3.59
3.60,3.59,3.60,3.59
3.55,3.75,3.75,3.55
3.75,3.70,3.75,3.70
3.75,3.92,3.92,3.75
3.88,3.93,4.03,3.87
3.95,3.94,3.97,3.75
3.95,4.03,4.05,3.90
4.05,4.16,4.20,4.01
4.13,4.01,4.13,4.00
4.04,4.43,4.50,4.04
4.50,4.35,4.70,4.25
4.35,4.20,4.35,4.10
4.16,4.19,4.24,4.15
4.23,4.40,4.40,4.21
4.48,4.25,4.48,4.25
4.20,4.00,4.20,3.90
4.60,4.12,4.60,3.89
4.35,4.05,4.40,4.00
4.15,4.00,4.15,4.00
4.06,4.00,4.06,3.95
4.00,3.95,4.00,3.95
3.96,4.02,4.05,3.96
3.91,3.92,4.00,3.80
3.90,3.80,3.95,3.49
3.70,3.70,3.75,3.46
3.75,3.86,4.00,3.75
3.85,3.84,3.90,3.84
3.87,3.85,3.89,3.80
3.92,3.86,3.94,3.85
3.90,3.93,3.94,3.87
3.95,3.81,3.95,3.81
3.81,3.80,3.82,3.80
3.85,3.81,3.85,3.80
3.85,3.79,3.85,3.75
3.80,3.78,3.80,3.75
3.81,3.77,3.81,3.71
3.71,3.76,3.77,3.71
3.70,3.80,3.80,3.67
3.84,3.80,3.85,3.80
3.82,3.88,3.90,3.82
3.80,3.84,3.90,3.53
3.84,3.84,3.88,3.84
3.86,3.83,3.87,3.80
3.84,3.80,3.90,3.78
3.86,3.97,3.97,3.86
3.97,3.97,4.03,3.96
3.98,3.90,4.02,3.90
4.12,3.99,4.12,3.90
3.99,4.00,4.02,3.95
4.02,4.10,4.10,4.02
4.11,4.10,4.15,4.05
4.09,4.09,4.10,4.05
4.09,4.09,4.15,4.08
4.14,4.16,4.24,4.11
4.17,4.22,4.29,4.15
4.25,4.48,4.48,4.20
4.48,4.44,4.48,4.25
4.48,4.48,4.48,4.38
4.50,4.46,4.50,4.40
4.47,4.44,4.48,4.40
4.45,4.50,4.52,4.45
4.51,4.45,4.51,4.45
4.45,4.44,4.45,4.30
4.40,4.48,4.48,4.35
4.49,4.44,4.49,4.38
4.43,4.40,4.45,4.35
4.39,4.38,4.39,4.25
4.45,4.35,4.45,4.30
4.33,4.30,4.35,4.29
4.35,4.35,4.37,4.30
4.38,4.55,4.55,4.38
4.55,4.63,4.75,4.55
4.68,4.55,4.69,4.41
4.52,4.58,5.00,4.45
4.55,4.55,4.55,4.50
4.55,4.55,4.55,4.50
4.57,4.55,4.59,4.50
4.49,4.46,4.55,4.45
4.50,4.51,4.59,4.50
4.51,4.54,4.54,4.50
4.51,4.60,4.89,4.50
4.55,4.65,4.65,4.50
4.63,4.55,4.65,4.55
4.60,4.45,4.65,4.31
4.45,4.60,4.60,4.45
4.59,4.38,4.60,4.36
4.35,4.30,4.50,4.30
4.34,4.32,4.40,4.32
4.36,4.40,4.45,4.36
4.42,4.40,4.50,4.32
4.44,4.40,4.44,4.39
4.45,4.34,4.47,4.34
4.32,4.20,4.32,4.19
4.20,4.20,4.30,4.10
4.19,4.24,4.24,4.15
4.20,4.20,4.24,4.15
4.20,4.20,4.32,4.17
4.23,4.16,4.25,4.12
4.18,4.25,4.25,4.18
4.31,4.20,4.31,4.17
4.25,4.28,4.30,4.22
4.25,4.28,4.28,4.25
4.25,4.44,4.47,4.25
4.44,4.60,4.69,4.25
4.60,4.77,4.87,4.60
4.80,5.03,5.09,4.80
5.05,5.02,5.09,4.90
5.06,5.00,5.08,4.95
5.00,4.95,5.02,4.95
5.00,4.94,5.00,4.88
4.93,4.76,4.99,4.66
4.76,4.83,4.86,4.75
4.85,4.83,4.85,4.80
4.83,4.82,4.83,4.80
4.83,4.95,5.07,4.83
5.00,4.90,5.04,4.89
4.89,4.84,4.90,4.75
4.80,4.85,4.94,4.78
4.76,4.79,4.83,4.75
4.76,4.76,4.78,4.75
4.75,4.84,4.90,4.75
4.80,4.87,4.88,4.75
4.90,4.94,4.95,4.90
4.99,4.91,4.99,4.80
4.89,4.95,5.00,4.85
4.96,4.93,4.96,4.90
4.93,4.92,4.93,4.92
4.99,4.92,5.00,4.85
4.95,4.97,5.00,4.95
5.00,5.03,5.04,4.90
5.03,5.06,5.08,5.00
5.03,5.06,5.08,4.95
5.06,5.05,5.06,4.80
5.00,5.05,5.05,4.95
5.03,5.07,5.08,5.02
4.96,5.08,5.08,4.96
5.10,5.25,5.35,5.08
5.18,5.34,5.34,5.07
5.34,5.65,5.72,5.34
5.70,5.42,5.75,5.25
5.38,5.25,5.39,5.02
5.28,5.48,5.66,5.14
5.46,5.55,5.59,5.35
5.54,5.43,5.65,5.42
5.38,5.39,5.50,5.30
5.45,5.45,5.50,5.42
5.44,5.60,5.65,5.43
5.62,5.45,5.62,5.43
5.49,5.65,5.69,5.49
5.60,5.65,5.72,5.55
5.65,5.68,5.70,5.52
5.68,5.71,5.74,5.67
5.61,5.75,5.80,5.61
5.75,5.90,5.90,5.75
5.93,5.75,5.93,5.75
5.75,5.71,5.80,5.65
5.70,5.75,5.89,5.63
5.76,5.60,5.80,5.56
5.63,5.50,5.69,5.50
5.50,5.50,5.60,5.50
5.51,5.26,5.60,5.12
5.29,5.32,5.40,5.25
5.32,5.22,5.45,5.22
5.20,5.33,5.36,5.11
5.39,5.33,5.42,5.30
5.35,5.48,5.50,5.35
5.49,5.42,5.59,5.34
5.43,5.42,5.49,5.42
5.44,5.41,5.50,5.39
5.60,5.95,5.98,5.60
5.87,6.09,6.13,5.80
6.16,6.25,6.31,6.16
6.24,6.20,6.25,6.15
6.14,6.15,6.25,6.10
6.15,6.22,6.27,6.15
6.22,6.40,6.50,6.20
6.43,6.38,6.43,6.28
6.27,6.36,6.42,6.22
6.41,6.20,6.41,6.20
6.24,6.33,6.42,6.24
6.32,6.26,6.37,6.25
6.31,6.26,6.32,6.20
6.31,6.48,6.48,6.18
6.50,6.51,6.69,6.41
6.52,6.46,6.64,6.40
6.43,6.37,6.50,6.31
6.37,6.35,6.39,6.34
6.39,6.38,6.39,6.30
6.50,6.30,6.50,6.25
6.28,6.21,6.33,6.20
6.20,6.21,6.34,6.20
6.20,6.16,6.20,6.06
5.71,5.87,6.09,5.61
5.77,5.90,6.00,5.77
5.92,5.92,5.99,5.89
5.99,5.79,6.02,5.70
5.82,5.76,5.90,5.70
5.66,5.34,5.69,5.25
5.45,5.52,5.85,5.30
5.52,5.45,5.60,5.42
5.50,5.60,5.60,5.45
5.60,5.72,5.88,5.56
5.83,5.65,5.88,5.65
5.66,5.54,5.70,5.50
5.50,5.45,5.54,5.40
5.05,5.09,5.33,5.00
4.95,5.07,5.14,4.95
5.41,5.23,5.41,5.13
5.24,5.20,5.39,5.06
5.22,5.13,5.38,5.07
5.17,5.00,5.20,5.00
4.98,4.96,5.03,4.89
4.97,5.00,5.04,4.96
5.00,5.03,5.05,4.90
5.01,5.09,5.28,4.93
5.08,4.97,5.09,4.92
4.96,4.80,5.01,4.71
4.73,4.69,4.89,4.52
4.74,4.75,4.85,4.74
4.76,4.53,4.77,4.41
4.56,4.48,4.56,4.35
4.46,4.42,4.52,4.35
4.44,4.46,4.49,4.34
4.49,4.56,4.61,4.45
4.55,4.48,4.63,4.46
4.50,4.53,4.60,4.49
4.54,5.20,5.25,4.46
5.23,5.07,5.23,4.86
5.02,4.92,5.20,4.90
4.88,4.84,4.95,4.65
4.81,4.67,4.87,4.62
4.68,4.75,4.75,4.55
4.74,5.00,5.04,4.71
4.63,4.58,4.75,4.56
4.64,4.40,4.64,4.17
4.38,4.23,4.38,4.15
4.23,3.99,4.23,3.87
3.89,3.92,3.95,3.75
3.90,4.04,4.05,3.84
4.07,4.07,4.17,4.05
4.11,4.05,4.11,3.96
4.08,4.07,4.08,4.02
4.01,3.95,4.01,3.85
3.96,4.08,4.15,3.94
4.06,4.07,4.08,3.95
4.08,4.04,4.08,4.00
4.07,4.01,4.15,4.01
4.00,4.20,4.28,4.00
4.17,4.16,4.20,4.12
4.10,4.23,4.28,4.10
4.25,4.41,4.41,4.25
4.39,4.40,4.46,4.35
4.31,4.30,4.40,4.30
4.34,4.25,4.40,4.20
4.30,4.37,4.42,4.25
4.37,4.38,4.52,4.34
4.34,4.39,4.40,4.26
4.32,4.27,4.50,4.27
4.34,4.28,4.35,4.28
4.25,4.30,4.30,4.25
4.27,4.29,4.29,4.25
4.29,4.18,4.29,4.04
4.18,4.50,4.52,4.15
4.49,4.40,4.59,4.40
4.47,4.51,4.69,4.45
4.53,4.60,4.63,4.52
4.60,4.65,4.71,4.60
4.63,4.58,4.70,4.51
4.53,4.40,4.58,4.37
4.43,4.26,4.50,4.20
4.30,4.32,4.40,4.20
4.20,4.11,4.30,4.11
4.14,4.12,4.24,4.01
4.05,3.88,4.14,3.80
3.83,3.82,3.93,3.82
3.88,3.92,4.00,3.75
3.96,3.87,4.00,3.85
3.95,3.92,4.10,3.85
3.96,3.77,3.96,3.70
3.85,3.85,3.99,3.81
3.92,3.95,3.99,3.80
3.91,4.13,4.20,3.91
4.17,4.36,4.40,4.17
4.30,4.14,4.44,4.14
4.17,4.15,4.25,3.98
4.10,4.05,4.19,4.05
4.05,4.05,4.10,4.01
4.01,4.00,4.05,3.96
4.04,4.05,4.08,3.95
4.05,4.03,4.20,4.03
4.05,3.97,4.05,3.80
4.03,4.08,4.15,3.98
4.13,4.16,4.35,4.13
4.18,4.05,4.25,4.05
4.09,4.00,4.14,3.91
3.97,3.96,4.10,3.93
3.95,3.96,4.09,3.92
3.98,3.91,4.12,3.91
3.92,3.98,4.07,3.90
3.98,4.03,4.03,3.88
4.03,4.10,4.15,4.03
4.07,4.01,4.10,3.98
4.04,4.19,4.20,4.04
4.11,4.25,4.34,4.11
4.36,4.34,4.36,4.21
4.28,4.28,4.37,4.21
4.30,4.29,4.36,4.27
4.30,4.16,4.30,4.15
4.30,4.26,4.38,4.12
4.26,4.29,4.45,4.21
4.33,4.31,4.52,4.16
4.32,4.36,4.52,4.31
4.42,4.43,4.43,4.31
4.43,4.58,4.69,4.39
4.52,4.69,4.75,4.52
4.64,4.78,4.80,4.57
4.80,4.84,4.85,4.71
4.85,4.75,4.86,4.70
4.81,4.81,4.89,4.72
4.85,4.89,4.89,4.76
4.87,4.77,4.90,4.68
4.74,4.71,4.96,4.70
4.75,4.85,4.85,4.56
4.89,4.86,4.89,4.70
4.87,4.80,4.87,4.73
4.76,4.59,4.87,4.51
4.53,4.50,4.70,4.45
4.57,4.63,4.63,4.45
4.55,4.49,4.62,4.40
4.48,4.48,4.55,4.36
4.47,4.50,4.59,4.45
4.50,4.63,4.63,4.23
4.59,4.47,4.59,4.45
4.50,4.46,4.50,4.45
4.46,4.45,4.50,4.45
4.50,4.46,4.50,4.46
4.46,4.45,4.46,4.45
4.45,4.76,4.80,4.40
4.76,4.46,4.76,4.46
4.50,4.53,4.70,4.46
4.60,4.51,4.61,4.14
4.26,4.48,4.48,4.26
4.39,4.33,4.47,4.20
4.39,4.41,4.68,4.12
4.53,4.65,4.65,4.41
4.70,4.30,4.70,4.09
4.24,4.12,4.28,4.09
4.12,4.25,4.25,4.10
4.24,4.12,4.37,4.12
4.12,4.25,4.31,4.12
4.24,4.05,4.25,4.05
4.11,4.04,4.11,4.04
4.07,4.11,4.12,4.07
4.13,3.95,4.13,3.88
3.95,3.99,4.06,3.90
4.01,4.00,4.13,3.90
3.99,3.98,4.02,3.97
3.92,3.76,3.95,3.69
3.86,3.68,3.86,3.60
3.73,3.74,3.80,3.66
3.80,3.80,3.80,3.75
3.77,3.60,3.77,3.60
3.67,3.56,3.75,3.52
3.60,3.52,3.74,3.51
3.57,3.50,3.60,3.50
3.55,3.48,3.56,3.35
3.58,3.51,3.70,3.50
3.61,3.50,3.63,3.47
3.54,3.60,3.61,3.49
3.62,3.58,3.65,3.54
3.60,3.50,3.60,3.49
3.50,3.53,3.58,3.50
3.55,3.53,3.55,3.48
3.58,3.57,3.58,3.52
3.59,3.58,3.60,3.57
3.57,3.61,3.62,3.57
3.64,3.60,3.64,3.57
3.61,3.57,3.61,3.57
3.57,3.73,3.75,3.47
3.80,3.57,3.80,3.50
3.55,3.61,3.63,3.50
3.61,3.64,3.69,3.51
3.62,3.72,3.80,3.56
3.73,3.65,3.78,3.59
3.61,3.62,3.66,3.55
3.65,3.59,3.66,3.51
3.55,3.64,3.77,3.55
3.64,3.68,3.75,3.60
3.71,3.80,3.84,3.68
3.85,3.93,4.63,3.82
3.97,3.92,4.18,3.92
3.97,3.95,4.10,3.95
4.00,3.96,4.04,3.90
3.92,3.86,4.05,3.84
3.86,3.65,3.88,3.56
3.65,3.51,3.67,3.48
3.50,3.51,3.68,3.43
3.54,3.45,3.58,3.42
3.48,3.40,3.54,3.40
3.35,3.36,3.45,3.35
3.35,3.48,3.54,3.35
3.48,3.43,3.50,3.40
3.38,3.40,3.47,3.36
3.35,3.36,3.39,3.29
3.34,3.39,3.40,3.25
3.40,3.42,3.52,3.38
3.49,3.40,3.49,3.34
3.44,3.32,3.46,3.15
3.34,3.56,3.59,3.30
3.53,3.53,3.56,3.48
3.49,3.46,3.49,3.29
3.43,3.38,3.45,3.31
3.38,3.65,3.70,3.37
3.73,3.40,3.79,3.40
3.45,3.45,3.54,3.42
3.43,3.59,3.59,3.43
3.57,3.60,3.60,3.44
3.60,3.63,3.72,3.56
3.70,3.76,3.76,3.53
3.66,3.59,3.70,3.48
3.61,3.63,3.75,3.60
3.67,3.69,3.75,3.62
3.67,3.70,3.70,3.60
3.74,3.67,3.75,3.59
3.70,3.50,3.74,3.39
3.55,3.56,3.61,3.46
3.50,3.59,3.60,3.50
3.54,3.66,3.73,3.52
3.61,3.72,3.76,3.61
3.65,3.71,3.71,3.63
3.75,3.72,3.75,3.64
3.73,3.53,3.76,3.51
3.56,3.48,3.60,3.41
3.50,3.57,3.57,3.48
3.55,3.57,3.60,3.53
3.60,3.60,3.64,3.60
3.58,3.69,3.69,3.51
3.60,3.70,3.75,3.60
3.61,3.53,3.70,3.53
3.58,3.56,3.60,3.45
3.51,3.52,3.75,3.45
3.57,3.47,3.58,3.41
3.51,3.60,3.69,3.43
3.60,3.63,3.63,3.60
3.57,3.74,3.74,3.50
3.72,3.57,3.75,3.55
3.60,3.70,3.76,3.60
3.76,3.80,3.82,3.74
3.80,3.97,4.00,3.79
4.00,3.97,4.00,3.85
4.12,4.02,4.12,3.62
4.00,3.98,4.05,3.97
3.96,4.06,4.06,3.93
4.12,4.00,4.12,4.00
4.06,4.08,4.10,4.03
4.10,4.03,4.10,4.00
4.05,4.20,4.21,4.05
4.20,4.27,4.32,4.20
4.32,4.40,4.40,4.26
4.40,4.41,4.46,4.37
4.40,4.58,4.59,4.35
4.59,4.68,4.68,4.45
4.65,4.70,4.70,4.57
4.67,4.70,4.70,4.58
4.71,4.66,4.75,4.58
4.50,4.70,4.76,4.50
4.64,4.57,4.74,4.35
4.62,4.59,4.70,4.50
4.68,4.64,4.70,4.61
4.67,4.70,4.70,4.61
4.62,4.71,4.76,4.60
4.73,4.79,4.79,4.63
4.79,4.87,4.88,4.75
4.89,4.87,4.95,4.80
4.80,4.80,4.88,4.75
4.80,4.94,4.95,4.80
4.95,4.95,4.99,4.87
4.91,4.78,4.91,4.60
4.70,5.06,5.06,4.60
5.04,4.97,5.09,4.77
4.95,4.90,5.12,4.86
4.98,5.08,5.11,4.82
5.09,5.11,5.19,5.06
5.15,5.10,5.15,5.05
5.14,5.03,5.14,4.92
5.09,5.01,5.09,4.96
5.00,4.85,5.00,4.85
4.85,4.95,4.98,4.60
5.04,5.13,5.18,4.98
4.98,5.10,5.11,4.98
5.10,5.23,5.24,5.06
5.30,5.35,5.44,5.11
5.47,5.30,5.50,5.26
5.25,5.29,5.29,5.14
5.24,5.05,5.27,5.05
5.08,5.16,5.18,5.08
5.07,4.97,5.13,4.85
4.89,4.87,4.98,4.67
4.89,4.50,4.95,4.45
4.55,4.61,4.74,4.50
4.65,4.45,4.71,4.45
4.40,4.62,4.71,4.40
4.67,4.56,4.74,4.56
4.56,4.68,4.72,4.42
4.70,4.43,4.74,4.35
4.43,4.55,4.59,4.35
4.49,4.50,4.57,4.47
4.57,4.74,4.75,4.40
4.75,4.52,4.75,4.42
4.59,4.64,4.65,4.57
4.58,4.40,4.64,4.40
4.49,4.62,4.62,4.46
4.53,4.30,4.57,4.16
4.35,4.42,4.42,4.32
4.46,4.23,4.50,4.20
4.28,4.31,4.35,4.23
4.23,4.23,4.30,4.18
4.30,4.09,4.39,4.00
4.09,3.89,4.23,3.80
3.79,3.93,4.00,3.66
3.96,4.23,4.36,3.96
4.18,4.30,4.30,4.10
4.29,4.26,4.32,4.20
4.30,4.24,4.34,4.21
4.20,4.30,4.34,4.20
4.34,4.59,4.64,4.34
4.62,4.68,4.72,4.59
4.66,4.52,4.66,4.44
4.60,4.60,4.67,4.55
4.57,4.55,4.57,4.46
4.55,4.52,4.55,4.31
4.52,4.36,4.56,4.29
4.40,4.39,4.55,4.30
4.36,4.34,4.45,4.32
4.38,4.49,4.49,4.29
4.44,4.50,4.58,4.35
4.46,4.37,4.50,4.37
4.44,4.40,4.48,4.31
4.45,4.50,4.50,4.37
4.50,4.50,4.54,4.50
4.54,4.50,4.68,4.50
4.57,4.55,4.57,4.50
4.50,4.41,4.51,4.41
4.55,4.40,4.55,4.40
4.33,4.55,4.68,4.32
4.61,4.67,4.70,4.61
4.66,4.61,4.67,4.47
4.61,4.66,4.66,4.61
4.61,4.75,4.77,4.61
4.77,4.90,4.90,4.77
4.85,4.75,4.90,4.75
4.82,4.81,4.87,4.67
4.64,4.78,4.78,4.52
4.69,4.69,4.70,4.61
4.66,4.73,4.78,4.65
4.80,4.76,4.80,4.67
4.72,4.76,4.80,4.66
4.80,4.70,4.80,4.67
4.70,4.76,4.76,4.66
4.70,4.68,4.78,4.61
4.73,4.91,4.91,4.72
4.70,4.91,4.91,4.70
4.81,4.89,4.94,4.80
4.91,4.91,5.04,4.91
4.99,4.99,5.03,4.95
4.99,4.99,4.99,4.91
5.00,5.10,5.10,4.99
5.08,5.12,5.12,4.97
5.05,5.11,5.12,5.01
5.02,4.97,5.10,4.97
5.07,5.01,5.10,4.97
4.97,4.99,5.08,4.91
4.95,4.77,4.96,4.69
4.83,4.96,5.04,4.75
5.00,5.00,5.00,4.86
4.94,4.81,5.05,4.74
4.87,4.82,4.93,4.64
4.78,4.50,4.78,4.30
4.55,4.75,4.75,4.55
4.75,4.60,4.75,4.52
4.56,4.70,4.70,4.56
4.65,4.57,4.69,4.50
4.60,4.57,4.72,4.57
4.55,4.37,4.55,4.35
4.34,4.37,4.40,4.20
4.34,4.36,4.57,4.30
4.35,4.26,4.35,4.26
4.27,4.38,4.42,4.24
4.33,4.42,4.51,4.33
4.42,4.50,4.51,4.42
4.53,4.57,4.70,4.53
4.55,4.60,4.88,4.55
4.66,4.74,4.85,4.66
4.81,4.68,4.90,4.65
4.85,4.64,4.85,4.50
4.58,4.75,4.75,4.58
4.70,4.65,4.72,4.52
4.57,4.17,4.57,4.00
4.17,4.22,4.29,4.10
4.21,4.30,4.30,4.13
4.24,4.25,4.30,4.20
4.30,4.21,4.30,4.21
4.27,4.17,4.29,4.06
4.24,4.19,4.24,4.10
4.15,4.12,4.30,4.06
4.12,3.96,4.12,3.96
4.00,3.90,4.00,3.75
3.77,3.80,3.85,3.68
3.70,4.00,4.06,3.66
4.10,4.24,4.24,3.99
4.24,4.12,4.24,4.12
4.08,4.05,4.12,4.00
4.01,4.01,4.10,3.95
4.02,4.11,4.33,4.00
4.15,4.23,4.25,4.13
4.16,4.23,4.30,4.16
4.24,4.28,4.28,4.23
4.28,4.22,4.32,4.20
4.24,4.28,4.29,4.20
4.37,4.30,4.37,4.21
4.30,4.29,4.30,4.20
4.20,4.30,4.32,3.85
6.25,5.88,6.26,5.76
5.93,5.80,6.02,5.75
5.86,5.72,5.94,5.21
5.64,5.86,5.88,5.64
5.89,5.70,5.89,5.70
5.64,5.56,5.84,5.35
5.56,5.75,5.79,5.56
5.69,5.60,5.75,5.47
5.60,5.80,5.80,5.57
5.64,5.53,5.77,5.53
5.53,5.50,5.53,5.39
5.47,5.33,5.50,5.13
5.26,5.60,5.60,5.26
5.55,5.58,5.69,5.50
5.52,5.59,5.69,5.47
5.51,5.67,5.72,5.51
5.73,5.80,5.83,5.73
5.83,5.78,5.83,5.75
5.79,5.80,5.85,5.75
5.80,5.90,5.93,5.78
5.84,5.80,5.89,5.77
5.55,5.08,5.66,5.01
5.01,4.75,5.05,4.41
4.76,4.85,4.85,4.67
4.77,4.75,4.85,4.74
4.72,4.75,4.75,4.60
4.74,4.74,4.75,4.57
4.74,4.67,4.74,4.63
4.67,4.65,4.78,4.62
4.60,4.60,4.64,4.60
4.58,4.58,4.74,4.58
4.54,4.63,4.81,4.54
4.70,4.58,4.77,4.58
4.56,4.60,4.71,4.55
4.63,4.77,4.77,4.56
4.73,4.60,4.73,4.60
4.60,4.74,4.74,4.60
4.66,4.72,4.72,4.60
4.74,4.77,4.89,4.71
4.80,4.79,4.82,4.75
4.80,4.80,4.89,4.79
4.81,4.73,4.81,4.65
4.69,4.60,4.69,4.60
4.80,4.64,4.80,4.60
