MCD,McDonald's Corporation Common Stock,NASDAQ
70.48,70.34,70.73,69.76
70.58,71.52,71.70,70.58
71.53,70.59,71.71,70.39
70.88,71.42,71.84,70.65
71.15,70.64,71.30,70.30
70.40,70.66,71.06,70.13
70.45,69.42,71.49,67.49
69.02,68.01,69.32,67.42
70.07,70.58,71.05,69.75
70.17,70.48,71.10,70.13
70.73,70.67,70.94,70.15
70.71,70.50,71.30,70.45
70.28,69.59,70.45,69.10
69.82,70.14,70.25,69.35
70.53,70.02,70.81,69.84
69.66,69.40,69.95,68.90
68.54,67.66,69.36,67.63
67.07,67.86,68.04,65.55
67.84,67.66,68.51,67.26
66.59,67.84,67.84,66.20
67.89,66.01,68.06,66.00
66.41,67.20,67.20,66.02
67.24,66.87,67.63,66.75
66.23,66.36,67.31,66.04
66.53,67.77,67.80,66.20
67.80,67.85,68.25,67.44
66.82,66.70,68.09,66.52
66.64,66.75,67.82,66.25
67.16,68.38,68.45,65.81
68.68,68.26,68.90,68.04
68.98,69.37,69.41,68.71
68.86,69.54,69.55,68.75
69.95,69.30,69.98,69.30
69.94,70.40,70.49,69.85
70.06,70.29,70.50,70.01
70.55,70.05,70.58,69.38
70.25,69.88,70.43,69.81
70.27,69.92,70.50,69.77
70.01,68.64,70.37,68.55
68.82,68.63,69.30,68.47
68.43,67.73,68.54,67.61
67.71,67.42,68.29,67.37
67.58,67.33,67.89,67.25
66.61,66.46,66.79,66.09
66.29,65.87,66.84,65.80
66.72,66.71,66.90,65.31
66.75,66.14,67.00,65.96
66.52,66.11,67.10,65.63
66.09,67.31,67.37,66.00
67.80,69.02,69.15,67.55
69.08,69.22,69.33,68.75
68.96,69.94,70.00,68.96
70.44,70.84,71.07,70.12
70.50,70.90,70.98,70.16
70.90,71.33,71.46,70.43
71.16,69.94,71.28,69.86
69.97,69.91,70.38,69.45
69.47,70.87,70.96,69.44
70.93,70.11,71.00,69.65
70.51,71.40,71.54,70.51
70.76,69.90,71.17,68.94
70.04,70.87,70.87,69.90
71.03,70.40,71.03,69.99
70.21,69.77,70.38,69.37
70.20,69.38,70.25,68.90
68.92,69.73,69.98,68.59
70.50,70.25,70.50,69.93
70.21,70.45,70.84,70.06
70.38,70.69,70.95,70.21
70.50,70.45,70.50,69.84
70.16,71.74,71.80,70.02
72.41,72.92,73.34,72.35
72.50,72.84,72.98,71.97
72.01,71.57,72.32,71.50
71.04,72.06,72.15,71.04
71.69,71.89,72.47,71.69
71.76,71.79,72.12,71.54
72.08,73.22,73.64,71.74
73.23,73.25,73.82,72.80
73.15,72.97,73.40,72.45
72.87,73.08,73.20,72.68
73.53,73.34,73.94,73.33
72.75,72.72,73.10,72.19
72.30,73.19,73.45,72.30
73.69,73.16,73.76,73.11
73.47,73.99,74.07,72.86
73.31,72.74,73.47,72.74
72.56,73.06,73.32,72.55
73.92,74.54,74.60,73.72
74.75,75.02,75.06,74.29
74.90,75.09,75.35,74.42
74.97,75.80,75.98,74.93
75.94,76.08,76.26,75.75
74.34,74.37,76.08,73.66
74.19,75.01,75.13,74.18
75.25,74.57,75.34,74.01
74.47,73.94,74.57,73.81
73.72,74.71,74.83,73.71
74.62,74.80,74.90,74.35
74.60,74.32,74.79,74.13
74.32,75.11,75.35,74.30
75.32,75.51,75.75,74.88
75.36,75.13,75.78,75.00
75.16,74.64,75.43,74.58
75.40,75.10,75.44,74.94
75.23,74.76,75.39,74.75
74.96,74.63,74.96,74.22
74.57,74.45,74.75,74.30
74.52,74.51,74.97,73.87
75.04,74.92,75.20,74.54
74.91,74.95,75.13,74.40
75.39,75.82,75.96,75.25
75.79,75.56,75.95,75.40
75.51,75.86,75.99,75.51
75.91,76.10,76.31,75.64
76.01,75.59,76.25,75.27
75.71,75.58,75.82,74.88
75.89,75.75,76.07,75.41
75.77,77.04,77.09,75.67
77.47,77.48,77.77,76.93
77.54,77.32,77.94,77.16
77.08,76.99,77.62,76.68
77.27,77.41,78.14,77.17
78.44,78.44,79.48,78.27
78.05,78.55,78.75,77.85
78.99,78.70,79.25,78.63
78.59,78.76,79.00,78.58
78.46,77.48,78.62,77.00
77.72,77.48,77.77,77.12
77.60,77.77,79.90,77.40
78.06,77.88,78.63,77.37
78.39,78.40,78.76,78.27
78.41,78.50,78.71,77.82
79.12,79.18,79.47,78.84
79.39,79.30,79.39,78.80
78.94,79.31,79.40,78.70
79.19,79.10,79.25,78.71
79.07,79.50,79.58,78.66
79.36,79.70,79.85,79.32
79.30,78.85,79.45,78.14
78.98,79.07,79.38,78.77
78.60,77.42,78.64,77.12
77.43,78.37,78.52,77.43
78.63,79.02,79.48,78.63
79.12,79.64,79.66,78.76
79.37,79.52,79.53,79.06
79.05,79.01,79.20,78.44
79.37,79.48,79.67,79.25
79.24,78.54,79.27,78.54
77.94,78.26,78.47,77.15
77.76,78.30,78.73,77.50
79.14,79.29,79.58,79.10
79.47,79.38,79.65,79.22
79.31,79.76,79.79,79.05
79.69,79.58,79.94,79.40
79.96,80.34,80.94,79.90
78.83,78.74,78.95,78.12
79.20,77.61,79.21,77.45
77.65,77.56,77.84,77.32
77.74,77.11,77.76,77.08
77.05,77.11,77.37,76.91
77.23,76.98,77.45,76.91
77.19,76.71,77.19,76.53
76.71,76.81,76.96,76.62
76.95,76.92,77.06,76.82
77.14,76.86,77.14,76.51
77.04,77.01,77.37,76.91
77.01,76.96,77.11,76.76
76.73,76.43,76.75,76.23
76.44,76.43,76.61,75.94
76.75,76.99,77.50,76.63
76.86,76.76,77.05,76.52
76.71,76.76,76.86,76.34
77.10,76.60,77.59,76.60
75.74,74.31,75.91,74.11
74.68,74.66,74.90,74.31
74.90,74.21,74.94,74.08
74.35,74.37,74.58,73.59
74.25,73.56,74.46,73.52
73.84,73.90,74.49,73.57
74.37,73.60,74.37,73.46
73.44,72.67,73.55,72.46
72.40,74.06,74.12,72.14
74.65,74.68,75.36,74.31
75.10,75.35,75.44,74.75
75.39,75.16,75.74,74.68
75.75,75.01,75.75,74.64
74.25,75.38,75.85,74.15
75.54,75.48,75.68,75.00
75.59,75.17,75.71,75.15
75.43,74.35,75.45,74.34
74.37,73.28,74.73,73.05
73.80,73.67,73.98,73.35
74.22,73.47,74.26,73.20
73.49,73.64,73.76,73.08
73.84,73.83,74.27,73.81
73.73,74.05,74.50,73.64
74.13,73.45,74.35,73.30
74.37,75.36,75.97,74.20
75.50,75.93,75.99,75.18
75.98,75.76,76.32,75.53
75.80,76.14,76.23,75.51
76.07,76.24,76.45,75.83
75.87,76.15,76.34,75.80
76.28,76.02,76.34,75.76
75.91,75.98,76.13,75.70
76.08,76.13,76.32,75.37
75.95,75.70,76.44,75.52
75.97,75.19,76.45,74.59
74.98,75.21,75.33,74.55
74.90,74.44,75.34,74.42
74.51,75.68,75.87,74.51
75.71,74.89,75.91,74.71
74.66,74.69,74.80,73.64
75.26,76.24,76.63,75.17
76.11,76.03,76.60,75.56
76.38,76.29,77.24,75.94
75.73,75.54,76.05,74.97
75.68,75.78,76.00,75.20
75.64,76.68,77.25,75.29
76.36,76.73,77.04,76.00
76.10,75.67,76.41,75.46
74.50,75.12,75.67,74.34
74.74,73.38,74.75,73.17
74.13,73.40,74.19,73.12
73.48,72.99,73.79,72.89
73.50,73.76,74.23,73.38
74.00,73.87,74.30,73.53
73.75,74.53,74.65,73.67
74.60,74.93,75.00,74.49
75.00,75.25,75.75,74.76
75.55,75.00,75.63,75.00
74.87,75.37,75.45,74.87
75.50,75.81,76.04,75.46
75.84,76.09,76.45,75.76
76.30,75.99,76.50,75.87
76.31,76.39,76.50,76.14
76.26,76.60,76.74,75.97
76.78,76.72,76.91,76.46
76.34,76.01,76.74,75.66
76.25,76.04,76.38,75.78
76.16,76.25,76.50,76.00
75.83,76.66,76.96,75.83
76.97,76.89,77.46,76.50
76.72,77.07,77.22,76.45
77.29,77.38,77.54,76.66
76.89,77.00,77.36,76.40
76.88,76.60,77.00,76.43
77.18,78.40,78.41,77.17
77.40,76.91,77.69,76.50
77.15,77.13,77.25,76.54
77.20,76.94,77.34,76.55
77.41,77.87,77.96,77.01
78.00,78.03,78.44,77.52
78.04,78.31,78.59,77.77
78.40,78.64,78.93,78.35
78.63,78.94,79.09,78.51
78.91,79.07,79.31,78.82
78.84,78.60,79.18,78.20
78.83,78.70,79.37,78.65
79.46,79.31,79.82,79.08
79.52,79.71,79.85,79.27
79.68,79.51,79.97,79.17
79.30,80.66,80.71,79.11
80.59,80.74,80.91,80.38
80.44,81.14,81.25,80.44
80.70,80.93,81.29,80.44
80.90,81.50,81.50,80.73
81.60,82.51,82.63,81.37
82.79,82.33,82.85,81.99
81.53,82.50,82.70,81.49
82.65,82.64,83.08,82.41
82.57,82.72,82.99,82.51
82.87,82.43,82.97,82.20
82.13,81.62,82.20,81.27
82.13,81.54,82.25,81.28
81.47,80.98,81.74,80.98
80.95,80.75,81.27,80.46
80.10,80.54,80.95,80.01
80.60,80.70,81.47,80.43
81.05,81.14,82.23,80.96
80.18,81.15,81.50,80.00
81.15,81.26,81.61,80.62
81.21,80.36,81.38,80.28
80.43,80.73,81.32,80.39
81.06,81.47,81.85,80.80
81.22,81.24,81.89,81.11
81.38,81.81,81.93,80.90
82.22,82.52,82.72,81.85
82.32,82.69,82.97,82.11
82.77,82.80,83.07,82.49
82.85,82.65,83.09,82.48
82.06,82.29,82.34,81.40
82.29,81.84,82.65,81.72
81.51,82.32,82.50,81.51
82.46,84.35,84.41,82.42
84.41,84.57,84.66,84.10
84.70,84.32,84.91,84.24
84.16,85.65,85.79,84.15
85.41,85.64,85.99,85.33
85.64,85.86,86.28,85.30
86.00,86.06,86.29,85.66
85.60,85.60,85.90,85.25
85.32,85.35,85.86,85.10
85.20,84.99,86.05,84.97
85.25,84.96,85.76,84.81
86.02,85.81,86.46,85.56
85.88,85.48,86.05,84.92
85.48,85.40,85.93,85.15
85.70,86.21,86.26,85.56
86.22,86.27,86.58,85.90
86.67,86.54,87.04,86.02
88.50,88.56,89.57,88.44
87.96,88.12,89.00,87.78
88.06,88.02,88.45,87.83
87.92,87.09,88.18,87.08
86.99,86.78,87.77,86.67
86.15,86.48,86.85,85.82
87.49,86.39,87.49,85.60
86.04,85.06,86.58,85.03
85.11,85.54,85.81,85.00
85.39,84.28,86.46,84.25
84.71,85.08,85.53,82.75
83.63,82.11,84.94,82.01
83.46,85.96,86.03,82.57
84.93,84.08,85.46,83.61
84.73,86.28,86.97,84.44
86.59,86.50,86.94,85.78
86.82,86.82,86.87,85.76
86.45,86.67,87.19,85.68
87.14,87.50,87.51,86.44
86.56,85.61,87.27,84.68
85.82,87.23,88.43,85.82
88.21,87.76,88.89,87.33
87.76,89.53,89.56,87.75
89.06,90.13,90.15,88.54
90.06,88.71,90.46,88.36
88.65,89.93,90.49,87.83
90.60,90.79,90.82,90.07
90.24,90.78,91.22,90.10
91.06,90.41,91.20,90.02
90.27,90.07,91.09,90.03
89.46,89.09,89.93,89.01
87.42,88.82,88.95,87.07
89.48,89.29,89.48,88.62
89.16,88.61,90.00,88.61
86.29,85.03,86.46,83.65
84.44,86.19,86.20,84.16
86.17,86.12,86.30,85.17
86.30,86.75,87.79,85.44
87.55,88.07,88.24,87.37
88.26,88.29,88.76,88.04
87.61,88.81,89.22,87.54
89.24,89.31,90.56,89.00
89.26,87.52,89.72,87.48
85.84,85.99,86.97,85.10
86.10,87.37,87.85,85.75
87.96,89.34,89.47,86.73
90.24,89.74,91.00,89.40
89.74,88.03,90.38,87.98
89.45,88.78,89.82,87.38
87.99,87.82,90.17,87.81
87.43,86.02,87.78,86.00
85.06,86.48,86.60,83.74
86.67,85.83,86.77,84.90
86.45,87.11,87.25,86.07
87.29,87.20,87.97,86.59
88.05,88.51,88.52,87.61
88.83,89.34,89.89,88.67
89.83,88.36,89.83,88.03
88.39,89.31,89.94,88.28
89.98,89.94,89.98,89.14
89.41,88.66,89.90,88.51
88.95,89.64,90.00,88.21
89.92,89.62,90.63,89.31
90.00,89.01,90.15,88.38
91.22,92.32,92.45,91.09
92.07,92.01,92.31,91.40
91.86,91.77,92.86,91.45
92.38,91.78,92.67,90.87
93.31,93.51,93.84,92.01
93.49,93.29,93.65,92.49
92.78,92.85,93.68,92.78
92.31,91.91,93.39,91.71
92.33,92.53,92.83,91.67
92.83,93.00,93.15,92.28
92.84,93.81,93.83,92.30
93.92,94.62,94.70,93.22
94.96,94.60,95.45,93.84
93.41,92.65,93.96,92.35
93.28,93.26,93.49,92.59
93.93,94.76,94.95,93.86
94.35,94.06,94.80,93.86
93.87,94.47,94.91,93.70
93.91,93.15,94.33,93.07
93.14,92.29,93.55,91.72
92.56,92.74,93.00,92.19
92.03,92.28,92.62,91.22
91.90,92.65,93.14,91.81
92.32,91.87,92.50,91.70
91.87,92.10,92.45,91.80
93.19,93.76,93.99,93.07
93.54,93.46,93.79,93.11
94.85,95.52,95.54,94.64
95.44,95.50,95.88,95.22
96.37,95.70,96.47,95.32
96.42,95.35,96.59,95.08
95.47,96.01,96.27,94.82
95.83,96.45,96.65,95.50
97.03,96.92,98.29,96.72
97.67,98.03,98.43,97.62
97.67,98.48,98.53,97.20
98.74,98.00,98.95,97.76
97.76,97.61,98.46,97.16
98.51,98.14,98.78,97.86
98.54,97.49,98.62,97.08
97.92,97.24,98.37,96.98
98.07,98.82,98.92,97.93
98.98,99.20,99.50,98.70
99.24,98.60,99.35,98.55
98.84,100.15,100.15,98.76
100.17,100.55,100.82,100.00
100.73,99.58,100.75,99.46
99.75,100.81,101.00,99.60
100.43,100.33,100.82,100.06
101.33,98.84,101.59,98.75
99.11,99.39,100.30,98.76
99.47,99.83,100.40,98.68
100.09,100.60,100.77,99.87
100.88,99.64,100.93,99.51
100.24,99.70,100.45,99.35
99.62,99.93,100.11,99.35
100.37,100.57,100.65,100.07
100.18,100.35,100.43,99.61
100.59,100.55,101.20,100.05
100.90,101.56,101.87,100.74
101.77,101.26,101.80,100.70
101.39,101.74,102.22,101.27
101.71,100.95,101.89,100.04
101.02,98.75,101.02,98.41
98.41,99.23,99.51,98.05
99.54,99.18,99.71,98.69
98.57,98.69,98.94,98.35
98.04,98.69,98.81,97.70
99.04,99.05,99.26,98.25
99.46,98.40,99.49,98.36
98.26,98.62,98.82,98.26
99.18,100.01,100.27,99.04
99.96,99.49,100.00,99.34
99.57,100.91,101.18,99.56
101.12,100.05,101.29,99.60
100.06,99.99,100.46,99.70
99.52,99.47,99.66,98.94
99.72,99.65,99.92,99.28
99.51,99.55,99.64,98.95
99.66,98.61,99.75,98.31
98.36,99.26,99.44,98.36
99.66,99.99,100.25,99.41
100.12,100.49,100.75,100.00
100.15,100.66,100.75,100.15
100.81,100.81,101.04,100.40
100.76,100.32,100.76,100.05
100.03,100.36,100.75,99.50
99.77,99.78,100.10,99.50
99.86,99.28,99.88,99.26
99.28,99.25,99.68,99.14
99.27,99.50,99.64,98.96
99.42,99.94,100.35,98.84
99.18,99.89,100.20,99.10
100.00,100.18,100.44,99.54
97.00,96.96,97.65,96.46
97.45,96.84,97.60,96.53
97.05,96.66,97.48,96.58
96.99,96.78,97.29,96.37
96.69,97.29,97.44,96.68
97.15,98.04,98.19,97.15
98.42,97.66,98.55,97.57
97.36,97.73,98.10,97.32
97.46,97.65,97.85,97.07
97.53,96.72,97.82,96.72
96.13,95.80,96.48,95.77
95.91,95.55,95.94,95.13
96.16,96.97,97.03,96.10
97.29,97.34,97.83,97.07
97.52,97.08,97.84,97.06
96.95,97.64,97.70,96.93
97.88,98.10,98.25,97.76
97.82,98.36,98.81,97.68
98.31,99.40,99.41,98.30
98.25,97.48,98.57,97.15
97.13,98.62,98.66,97.07
97.74,98.88,99.50,97.64
98.78,97.67,98.78,97.31
98.29,98.56,98.73,97.50
98.72,97.64,98.75,97.35
97.52,96.97,97.80,96.96
97.09,96.58,97.90,96.32
96.92,97.11,97.58,96.91
97.02,97.34,97.98,97.02
97.16,95.28,97.24,94.13
96.91,95.94,97.77,95.65
95.78,95.19,95.93,94.85
95.01,94.59,95.45,94.15
95.15,95.22,95.24,94.78
94.94,95.83,96.07,94.94
96.23,97.38,97.53,95.80
97.61,97.45,97.75,97.09
97.23,97.20,98.01,97.13
96.90,97.51,97.71,96.90
97.47,97.04,97.58,96.79
96.85,95.87,96.85,95.75
95.73,95.51,96.03,95.20
93.90,93.55,94.87,92.97
92.99,91.93,93.09,91.56
92.70,91.87,92.73,91.73
91.69,91.90,92.60,91.67
91.54,90.88,91.69,90.66
90.99,91.01,91.74,90.85
91.12,91.43,91.69,90.98
91.28,89.62,91.58,89.50
90.21,89.85,91.11,89.69
90.01,91.27,91.32,89.89
91.96,91.34,91.96,91.00
90.97,91.48,91.57,90.67
91.86,91.53,92.11,90.83
91.65,91.05,91.80,90.81
91.41,90.90,91.73,90.26
90.40,90.11,90.52,89.85
89.89,89.34,90.26,89.26
87.47,86.71,88.13,86.50
86.60,86.32,86.78,86.01
86.22,87.08,87.41,86.01
87.92,88.66,88.66,87.44
89.60,88.38,89.78,88.01
86.40,87.75,88.27,85.92
88.98,86.59,89.05,86.59
87.00,87.51,87.59,86.67
86.95,87.97,88.94,86.88
88.49,89.72,89.92,88.12
90.14,90.50,90.76,89.73
90.60,90.24,90.62,89.92
89.97,89.60,90.25,89.21
89.59,88.65,89.67,88.16
89.09,87.64,89.15,87.53
88.19,88.35,88.59,87.98
88.00,88.12,88.33,87.70
88.57,89.10,89.43,88.55
89.26,88.33,89.50,88.04
88.02,88.18,88.26,87.38
89.08,88.53,89.19,88.06
88.41,88.08,88.41,87.65
88.21,88.58,88.73,87.95
88.79,89.30,89.98,88.70
89.22,89.66,89.93,89.11
89.64,89.80,89.95,89.33
90.03,90.25,90.87,89.65
90.68,89.53,90.81,89.00
89.27,91.93,92.50,89.19
92.27,92.29,92.69,92.07
92.15,91.65,92.27,91.50
91.99,91.89,92.35,91.21
91.44,92.22,92.23,91.00
92.59,92.76,93.32,92.05
92.09,91.58,92.29,91.40
89.22,88.94,89.85,88.25
89.16,88.06,89.47,87.62
88.36,88.04,88.46,87.84
89.19,89.00,89.47,88.59
89.34,89.19,89.69,88.65
89.32,89.33,89.67,89.12
89.11,89.36,89.76,88.81
89.49,89.43,89.85,89.30
89.07,89.59,89.69,88.56
90.17,89.59,90.36,89.29
89.77,89.69,90.43,89.50
89.71,89.01,90.12,88.97
86.87,87.53,87.98,86.15
87.58,87.15,87.96,87.09
87.25,88.20,88.23,87.20
88.46,87.90,88.48,87.72
88.07,88.12,88.28,87.92
88.27,87.81,88.39,87.75
87.94,87.46,88.05,87.44
87.68,87.36,87.86,87.28
87.17,88.17,88.22,87.16
88.26,88.52,89.00,88.05
88.63,88.55,88.80,88.26
88.66,88.25,88.95,88.13
88.21,88.92,89.00,88.10
89.13,89.54,89.82,89.01
89.44,89.14,89.75,88.96
89.09,89.65,89.81,89.01
88.84,88.70,89.02,88.60
89.04,89.49,89.86,88.90
89.51,89.05,89.51,88.71
89.30,89.06,89.46,88.85
89.59,90.67,90.79,89.56
91.08,91.02,91.08,90.42
90.95,91.30,91.50,90.90
91.87,91.20,92.10,91.17
91.47,90.82,91.65,90.61
90.54,91.57,91.89,90.54
91.87,91.70,92.12,91.47
91.75,92.14,92.43,91.72
92.04,93.08,93.10,92.00
93.24,92.83,93.45,92.76
92.78,93.15,93.20,92.75
93.63,93.71,93.91,93.39
93.33,93.71,93.92,93.16
93.91,92.86,94.00,92.82
92.89,93.20,93.35,92.88
93.38,93.27,93.63,93.12
92.01,91.75,92.01,90.40
92.11,91.99,92.50,91.89
92.17,90.93,92.23,90.72
91.10,90.35,91.25,90.27
90.90,91.03,91.19,90.59
91.49,91.00,91.56,90.70
90.97,91.54,91.65,90.81
91.46,92.11,92.60,91.42
92.94,92.40,93.37,92.36
92.66,92.36,93.00,92.36
92.57,92.51,92.70,92.35
92.78,93.50,93.74,92.65
93.97,94.09,94.09,93.64
93.96,93.68,94.16,93.25
93.67,92.86,93.75,92.61
90.07,88.72,90.25,88.55
88.86,88.45,89.08,87.85
88.02,87.96,88.38,87.32
88.45,87.28,88.45,87.09
87.78,87.33,87.79,86.97
87.46,86.71,87.56,86.62
87.48,86.80,87.54,86.37
87.00,86.80,87.10,86.40
87.35,86.86,87.90,86.76
86.97,87.46,87.63,86.70
87.74,87.97,88.13,87.63
87.81,86.86,87.98,86.70
86.39,85.13,87.00,84.96
84.47,84.74,85.10,84.05
84.95,84.88,85.30,84.60
84.76,84.64,85.28,84.52
84.85,84.62,85.61,84.18
84.39,84.05,84.74,83.61
84.17,84.12,84.39,83.31
84.54,85.04,85.05,84.37
85.17,85.68,86.17,85.10
86.06,86.01,86.26,85.29
86.77,87.05,87.07,86.56
86.53,86.24,86.67,85.80
86.24,85.92,86.46,85.82
85.91,86.52,86.66,85.69
86.44,86.49,86.98,86.10
86.08,87.04,87.31,85.95
87.42,87.06,87.43,86.76
86.64,87.20,87.38,86.27
87.43,86.97,87.97,86.73
87.11,88.09,88.39,87.10
89.09,88.48,89.14,88.20
89.97,89.41,90.17,89.01
89.76,89.62,89.81,89.00
89.87,89.31,89.99,89.20
89.27,89.17,89.73,88.93
88.84,88.88,89.39,88.50
89.14,89.91,89.93,89.01
89.99,90.52,90.80,89.92
90.73,89.71,90.85,89.70
89.97,90.04,90.12,89.45
89.65,90.18,90.19,89.11
89.59,89.29,89.69,89.10
89.12,88.74,89.37,88.39
88.90,88.72,89.13,87.76
88.24,87.58,88.54,87.47
87.42,88.21,88.25,86.81
89.40,90.12,90.35,89.33
90.31,90.63,90.70,90.16
90.62,89.85,90.79,89.67
89.77,90.91,91.05,89.25
90.54,90.94,90.96,89.97
90.80,90.81,91.24,90.36
91.35,91.40,91.64,91.03
91.94,91.73,91.98,91.05
91.76,91.53,92.12,91.43
91.11,91.51,91.63,90.86
91.13,91.10,91.32,90.91
91.45,91.76,92.10,91.31
92.07,92.26,92.30,91.85
92.15,92.95,93.33,91.81
93.45,93.48,93.75,92.25
93.58,93.31,93.60,93.02
93.31,93.72,93.94,93.28
93.94,94.36,94.58,93.64
94.15,94.92,94.99,94.05
94.88,94.67,95.10,94.43
94.60,95.29,95.29,94.46
95.58,95.95,96.32,95.50
95.40,94.60,95.79,94.50
94.59,94.91,95.54,94.51
94.49,95.07,95.33,94.41
95.03,94.63,95.06,94.07
94.39,94.87,95.48,94.36
94.75,95.17,95.31,94.60
95.05,95.10,95.34,94.81
94.64,94.00,94.75,93.48
93.86,93.56,93.89,93.19
93.81,93.90,94.31,93.21
94.14,93.85,94.49,93.77
93.93,93.91,94.48,93.75
93.44,94.14,94.45,93.30
94.27,95.25,95.25,93.85
95.38,96.14,96.78,95.26
96.35,96.22,96.57,96.05
95.36,95.73,95.95,95.11
95.71,95.90,96.22,95.51
95.68,95.68,95.82,94.96
95.60,95.07,95.67,94.87
95.54,95.81,96.10,95.33
95.95,96.81,96.82,95.93
96.64,97.09,97.16,96.64
98.13,98.71,98.95,98.03
98.46,98.89,98.89,98.28
98.86,98.76,98.87,98.53
98.74,99.38,99.47,98.54
99.36,99.31,99.38,98.90
98.97,99.67,99.70,98.82
98.95,98.57,99.34,98.21
98.78,98.40,98.99,98.20
98.59,98.77,98.90,98.59
98.50,98.53,98.88,98.42
98.52,99.27,99.62,98.52
99.46,98.24,99.60,98.12
98.35,98.50,98.67,98.26
98.19,98.90,99.29,98.18
98.88,99.69,99.78,98.67
99.41,99.05,99.68,98.85
99.40,100.26,100.42,99.03
100.21,99.25,100.50,99.06
99.54,100.63,100.81,99.53
100.17,101.42,101.47,99.81
101.08,101.50,101.50,100.85
101.50,101.06,101.50,100.57
101.12,101.49,101.74,101.01
101.34,101.99,102.47,101.34
101.50,103.59,103.70,101.50
103.14,102.15,103.44,102.13
102.40,103.04,103.05,102.02
102.56,102.54,103.11,102.00
102.08,101.91,102.23,100.10
100.58,99.92,101.44,99.45
99.35,99.32,99.66,98.38
99.27,99.76,100.24,99.21
100.09,101.02,101.24,100.09
101.27,100.94,101.63,100.85
100.83,100.89,100.99,100.40
101.56,102.18,102.52,101.15
102.27,102.14,102.36,101.56
101.98,101.38,102.44,101.33
101.46,102.06,102.34,101.12
102.92,102.92,103.34,102.55
102.76,102.07,102.80,102.05
102.09,102.29,102.52,101.79
102.28,100.95,102.28,100.76
100.78,99.69,101.23,99.46
99.95,100.20,100.20,99.40
100.02,100.38,100.70,99.80
100.48,101.20,101.49,100.44
101.30,101.95,102.03,101.30
101.58,101.12,101.78,100.84
101.10,101.54,101.90,100.80
101.24,101.54,101.94,101.24
101.65,102.14,102.62,101.42
102.18,101.74,102.40,101.41
101.14,101.03,101.51,100.35
100.66,100.29,100.66,99.73
101.06,101.24,101.94,100.88
100.64,99.05,100.64,98.28
98.42,97.07,98.59,96.79
96.89,96.57,97.71,96.56
96.77,97.96,97.99,96.57
98.01,98.37,98.68,97.64
98.13,96.42,98.16,96.12
96.39,96.68,96.83,95.16
97.06,98.28,98.69,97.00
99.80,99.53,100.18,99.12
99.02,98.23,99.49,98.07
98.74,98.24,99.10,98.07
98.10,98.88,99.07,97.87
98.83,98.42,99.42,98.23
99.30,98.74,99.69,98.30
98.98,99.75,100.04,98.95
99.71,98.81,100.07,98.53
