RTM,Guggenheim S&P 500 Equal Weight Materials ETF,NASDAQ
55.43,54.40,55.43,53.99
54.09,54.04,54.81,53.22
53.72,52.67,54.33,35.89
51.68,51.96,53.21,50.77
52.96,54.24,55.83,52.96
54.17,53.85,54.46,53.75
54.01,54.66,54.66,53.93
54.95,54.67,55.05,54.62
53.74,52.83,53.74,52.39
53.65,53.15,53.65,52.00
54.00,52.38,54.07,52.29
51.83,52.12,52.25,51.09
50.39,49.89,50.76,49.55
48.70,50.87,50.89,48.48
51.47,50.15,51.47,50.15
48.48,50.79,50.79,48.34
51.07,50.62,51.53,50.50
51.46,52.34,52.34,51.46
56.51,52.04,56.51,51.62
51.60,50.29,52.09,50.29
50.73,51.52,51.58,50.70
51.90,51.55,51.97,50.96
50.60,49.38,50.87,49.36
49.44,48.60,49.71,48.60
48.30,49.48,49.49,48.30
49.73,49.37,50.68,49.37
50.28,51.31,51.31,50.28
50.98,51.50,51.56,50.98
52.43,52.07,52.75,51.96
52.15,52.63,52.63,52.15
52.88,52.84,53.05,52.63
52.72,52.21,52.72,51.99
52.77,52.50,52.77,52.50
53.24,52.82,53.80,52.82
52.62,51.51,52.83,51.51
51.44,51.76,51.88,51.30
51.69,50.58,51.69,50.40
50.51,50.94,51.23,50.20
50.43,50.67,50.67,50.43
49.13,48.46,49.16,48.24
48.81,47.91,48.90,47.81
47.76,47.79,48.26,47.00
47.68,47.96,47.96,47.41
48.30,47.62,48.72,47.48
47.67,49.38,49.38,47.67
49.75,50.25,50.25,49.57
50.70,51.15,51.16,50.70
50.58,50.52,50.72,50.52
51.25,51.90,52.06,51.25
51.91,51.86,52.07,51.37
51.24,51.76,51.76,51.24
51.35,50.45,51.35,50.40
50.64,50.45,50.64,50.01
49.59,51.85,51.90,49.59
52.37,51.64,52.37,51.50
52.50,52.82,53.17,52.50
53.20,54.13,54.21,53.12
54.31,54.60,54.66,54.08
55.18,53.91,55.18,53.71
53.28,53.46,53.54,53.28
53.50,53.28,53.58,52.88
52.94,53.58,53.58,52.94
54.46,54.89,54.99,54.46
54.65,54.21,54.65,54.19
54.55,54.50,54.55,54.05
54.50,54.50,54.51,54.41
54.62,54.37,54.62,53.89
54.46,54.62,54.63,54.33
53.50,54.07,54.15,53.47
53.00,52.11,53.00,52.06
51.76,52.47,52.47,51.76
52.24,52.26,52.26,52.13
52.25,52.27,52.53,52.25
52.96,53.77,54.02,52.96
53.75,54.01,54.14,53.48
53.69,52.79,53.69,52.61
52.47,52.66,52.66,52.19
53.02,52.44,53.02,52.38
51.34,51.13,51.34,50.74
50.27,50.99,50.99,50.05
51.22,50.90,51.49,50.90
51.22,52.24,52.24,50.77
51.96,51.83,51.97,51.80
51.37,51.59,51.84,51.34
52.40,53.21,53.21,52.40
53.35,53.87,53.87,53.35
54.28,54.61,54.61,54.28
54.58,54.23,54.58,54.19
54.30,54.57,54.85,54.20
55.08,54.47,55.08,54.30
54.90,54.80,54.90,54.72
55.33,55.51,55.69,55.21
55.18,55.67,55.67,55.18
54.98,55.34,55.34,54.92
55.61,55.46,55.61,55.31
54.86,54.41,54.86,54.03
54.43,54.67,54.67,53.94
54.49,54.33,54.50,54.04
54.49,54.40,54.58,54.26
54.00,53.67,54.25,53.65
54.30,55.07,55.07,54.30
55.10,54.85,55.17,54.85
54.18,55.09,55.10,54.18
55.04,54.89,55.10,54.75
55.44,54.73,55.44,54.53
55.30,55.23,55.43,55.04
54.94,54.44,54.94,54.23
55.00,55.85,55.96,55.00
56.00,56.02,56.27,55.85
56.42,55.56,56.42,55.54
56.31,56.64,56.64,56.29
56.66,56.56,56.78,56.56
56.00,56.75,56.80,55.96
57.10,57.52,57.67,57.10
57.44,56.81,57.44,56.71
57.41,57.00,57.43,56.69
57.08,57.27,57.33,56.78
56.47,55.90,56.67,55.84
56.43,57.04,57.23,56.43
57.25,56.78,57.25,56.52
56.77,56.56,56.77,56.51
57.08,57.42,57.58,57.08
56.94,57.07,57.07,56.39
56.68,56.66,56.68,56.02
57.29,56.71,57.29,56.54
56.93,57.38,57.38,56.90
57.91,57.30,57.91,57.30
57.84,57.85,57.85,57.67
58.16,57.68,58.16,57.26
58.72,59.25,59.31,58.72
59.50,59.47,59.92,59.47
59.50,59.71,59.76,59.35
60.02,58.63,60.02,58.60
58.28,58.90,58.93,58.27
58.64,59.31,59.32,58.64
58.88,58.06,58.88,57.88
58.16,57.83,58.34,57.83
56.97,56.53,56.97,56.27
56.43,56.63,56.91,56.22
57.59,57.56,57.88,57.52
57.54,57.68,57.89,57.37
57.63,58.21,58.21,57.50
57.49,57.11,57.49,56.91
57.80,58.14,58.14,57.77
57.75,57.75,57.75,57.53
57.34,57.92,57.92,56.74
57.03,57.92,57.94,57.03
58.99,59.29,59.29,58.99
59.70,60.07,60.10,59.70
60.11,60.75,60.81,60.11
60.40,60.60,60.60,60.40
61.50,60.87,61.50,60.86
60.32,60.15,60.32,59.94
60.84,60.49,60.84,60.19
60.47,60.96,60.96,60.47
61.14,61.16,61.61,61.13
61.57,61.24,61.57,61.24
61.51,60.95,61.51,60.94
60.77,61.58,61.58,60.77
61.58,62.05,62.12,61.54
62.00,62.15,62.18,61.84
62.66,62.77,62.89,62.55
63.02,62.69,63.02,62.53
62.66,62.82,63.01,62.66
62.88,62.83,62.88,62.41
63.00,62.90,63.00,62.85
62.89,63.15,63.20,62.89
63.16,63.20,63.22,63.10
63.06,63.00,63.21,62.96
63.65,63.73,64.19,63.65
64.02,63.30,64.02,62.80
62.95,63.51,63.52,62.95
63.37,63.30,63.61,63.14
63.24,62.88,63.37,62.42
62.73,62.86,62.86,62.00
63.20,63.28,63.28,62.87
63.91,63.90,64.01,63.60
64.02,63.61,64.04,63.61
63.45,63.67,63.73,63.45
64.11,64.24,64.30,64.09
63.55,63.00,63.55,62.97
62.60,62.37,62.60,61.90
63.09,62.23,63.09,62.23
62.59,62.84,63.23,62.59
62.99,63.19,63.19,62.49
63.90,64.85,64.85,63.90
65.00,64.35,65.00,64.25
64.40,63.32,64.40,63.12
63.16,63.93,64.03,63.16
64.50,65.40,65.50,64.50
65.65,65.42,65.72,65.23
65.10,65.70,65.74,64.75
66.10,65.41,66.10,64.99
65.98,66.02,66.31,65.87
66.42,66.20,66.42,65.84
65.89,65.42,66.04,65.40
65.35,65.67,66.10,65.00
65.78,66.23,66.40,65.54
66.36,66.65,66.91,66.36
66.97,66.41,66.97,66.22
66.96,67.15,67.23,66.75
67.42,67.72,67.81,66.92
67.72,67.06,67.72,66.80
66.58,64.74,66.58,64.74
65.04,64.55,65.19,63.25
64.53,64.04,64.70,63.36
64.82,65.00,65.00,64.68
65.02,65.50,65.55,65.00
65.81,64.00,65.81,64.00
64.00,64.20,64.56,63.57
65.20,65.48,65.48,65.03
65.34,64.81,65.34,64.37
65.47,63.75,65.47,63.52
63.49,64.40,64.54,63.18
64.00,63.56,64.00,63.40
62.50,62.52,62.84,62.16
62.20,63.33,63.44,62.07
62.59,63.04,63.54,62.52
61.50,62.84,63.15,60.92
62.53,61.74,62.86,61.02
62.68,62.58,63.23,62.48
63.59,63.16,63.59,63.12
63.85,63.80,63.88,63.42
64.07,63.77,64.07,63.50
63.36,64.41,64.54,63.28
64.46,64.68,64.93,64.42
65.40,65.18,65.65,65.18
65.56,65.26,65.58,65.20
65.24,65.74,65.74,65.24
66.34,66.48,66.51,65.96
66.44,66.51,66.73,66.39
66.94,66.85,67.13,66.71
67.23,67.15,67.40,67.04
67.23,67.97,68.24,67.00
68.45,67.52,68.47,67.43
67.59,67.14,67.59,67.10
67.52,66.62,67.75,66.42
66.53,65.82,66.75,65.76
65.14,65.02,65.44,64.60
65.30,64.68,65.50,64.42
64.90,65.22,65.24,64.65
65.36,65.76,65.87,65.14
64.83,64.88,64.92,64.50
65.42,65.82,65.82,65.21
67.26,66.73,67.26,66.73
66.82,67.01,67.04,66.82
67.15,67.01,67.15,66.64
67.68,67.79,68.10,67.28
68.01,67.71,68.01,67.20
67.67,67.76,68.11,67.50
67.98,67.96,68.08,67.56
68.50,67.40,68.50,67.40
67.40,67.05,67.53,66.55
67.41,66.20,67.41,65.83
66.56,65.61,66.56,65.53
66.35,66.13,66.84,65.83
66.46,66.97,67.11,66.25
67.03,67.64,67.64,66.92
67.15,66.20,67.18,66.20
66.00,66.35,66.60,65.70
66.71,65.37,66.71,65.34
64.99,65.34,66.34,64.89
65.41,64.74,65.41,64.45
64.84,65.92,65.95,64.72
66.45,65.94,66.55,65.70
65.41,65.20,65.78,65.07
64.12,64.51,64.54,64.11
65.12,64.75,65.12,64.56
64.50,65.33,65.63,64.50
65.29,65.69,65.69,65.29
66.18,66.25,66.32,66.06
66.82,66.95,66.95,66.35
67.15,65.00,67.15,64.99
65.25,64.89,65.25,64.88
64.27,63.93,64.38,63.86
63.72,63.24,64.23,63.24
63.73,63.57,64.19,63.57
63.00,63.04,63.39,62.82
63.28,64.02,64.23,63.28
63.33,63.28,63.59,63.28
63.30,62.99,63.67,62.48
63.49,63.99,64.03,63.49
63.34,62.42,63.57,62.25
62.38,61.68,62.46,60.99
62.02,61.52,62.08,61.42
61.30,62.04,62.04,61.30
62.46,63.32,63.44,62.46
63.87,63.48,63.87,63.48
61.94,63.05,63.11,61.61
63.62,62.88,63.63,62.87
62.87,63.14,63.14,62.40
63.59,64.08,64.08,63.59
64.60,65.01,65.19,64.52
65.47,65.89,65.89,65.15
65.49,66.53,66.56,65.49
66.32,66.52,66.62,66.13
66.30,66.47,66.56,66.30
67.04,67.57,67.59,67.04
66.53,66.65,66.72,66.53
65.95,65.44,65.95,65.33
65.42,65.80,65.80,65.42
66.25,66.00,66.59,66.00
66.35,65.16,66.39,65.16
65.40,65.82,65.82,65.40
65.72,64.93,65.73,64.63
65.67,65.88,65.88,65.46
66.05,65.75,66.05,65.38
66.23,66.85,66.85,66.23
66.71,66.51,66.71,66.32
66.05,66.26,66.53,66.05
66.10,65.13,66.10,65.09
64.52,63.48,64.70,63.25
63.30,62.99,63.82,62.96
62.33,62.29,62.63,62.00
63.58,61.80,63.58,61.51
61.38,59.75,61.89,59.75
60.12,59.97,60.12,58.55
58.93,56.08,58.93,56.08
57.37,55.92,57.37,54.62
54.16,52.02,55.04,51.64
52.72,54.28,54.28,52.33
53.72,53.20,54.64,53.20
53.24,55.91,55.91,53.24
56.11,55.80,56.25,55.32
56.23,56.70,56.70,56.00
56.22,55.90,56.30,55.36
56.47,56.00,56.47,56.00
53.91,52.29,53.91,52.29
51.94,51.90,52.98,51.90
53.33,51.97,53.33,51.85
52.15,53.28,53.28,51.87
53.66,54.23,54.25,53.39
54.71,54.02,54.93,54.02
53.29,54.96,54.96,53.29
56.29,56.29,56.29,56.27
56.80,57.69,57.69,56.68
57.79,57.69,57.79,57.35
57.66,56.98,57.66,56.98
56.49,55.52,56.49,55.43
53.72,54.83,54.83,53.72
56.08,56.84,56.84,56.08
56.51,55.84,56.77,55.84
55.00,54.26,55.07,54.12
53.51,53.72,53.72,52.89
53.87,54.78,54.78,53.79
56.08,56.08,56.08,56.08
56.01,56.50,56.50,56.01
56.22,56.57,56.57,56.22
55.53,55.36,55.53,55.20
56.07,55.82,56.34,55.82
55.06,54.19,55.06,54.19
51.10,50.09,51.10,49.19
49.38,49.93,50.46,49.37
50.24,51.26,51.26,50.24
53.51,53.98,53.98,53.51
52.89,51.60,52.89,51.60
50.65,50.08,51.22,50.08
49.59,49.05,49.88,49.02
48.35,47.67,48.85,47.62
46.52,47.29,47.72,45.70
48.81,50.56,50.66,48.64
51.02,51.74,51.74,50.50
52.30,50.86,52.30,50.32
51.90,52.85,52.85,51.90
52.41,52.89,52.89,52.41
53.55,53.91,54.36,53.55
52.91,53.71,53.76,52.91
54.52,54.10,54.53,54.05
54.45,53.20,54.45,53.00
52.52,53.88,53.88,52.52
54.42,53.99,54.44,53.89
53.40,53.24,53.40,52.86
54.42,54.81,54.85,54.26
55.13,56.30,56.30,55.13
55.20,54.95,55.78,54.92
55.20,55.41,55.41,54.52
57.69,58.26,59.01,56.81
59.25,59.29,59.37,58.87
57.66,56.64,57.69,56.64
54.21,55.14,55.86,54.21
56.20,55.91,56.20,55.75
56.56,57.48,57.48,56.56
56.99,57.76,57.91,56.83
58.00,57.81,58.00,56.97
57.37,58.34,58.34,57.37
56.81,55.60,57.06,55.60
56.07,56.18,56.65,56.07
57.49,57.59,57.86,57.49
57.39,57.24,57.39,56.87
57.14,57.84,57.86,56.63
56.94,56.55,57.48,56.55
55.98,54.85,56.39,54.85
55.39,55.35,55.52,54.97
53.65,54.18,54.18,53.38
53.50,53.64,53.64,53.50
52.12,52.26,52.43,52.06
51.90,51.90,51.90,51.90
53.67,53.69,54.00,53.44
53.85,54.03,54.32,53.85
55.48,56.98,57.09,55.48
56.51,56.65,56.83,56.40
57.38,56.60,57.40,56.58
57.63,57.69,57.79,57.52
57.02,57.60,57.82,56.93
56.90,57.74,57.74,56.90
56.62,55.87,56.70,55.86
57.05,57.05,57.05,57.05
55.51,55.40,56.07,55.26
56.57,54.51,56.63,54.51
53.95,54.13,54.53,53.74
54.21,54.28,54.56,54.19
53.92,54.39,54.83,53.92
54.72,53.42,54.72,53.42
54.28,55.41,55.48,54.28
55.53,55.10,55.53,55.10
55.94,56.15,56.15,55.77
56.46,56.44,56.46,56.44
56.90,56.90,56.90,56.90
55.60,55.63,55.63,55.60
55.37,55.91,56.05,55.37
55.94,56.17,56.32,55.94
57.74,58.02,58.02,57.45
57.79,57.89,58.23,57.76
57.56,58.10,58.22,57.49
57.97,58.10,58.20,57.97
58.12,58.21,58.38,57.96
58.69,59.21,59.21,58.69
58.76,59.79,59.91,58.76
59.79,60.60,60.60,59.79
59.50,60.06,60.06,59.50
60.83,60.47,61.01,60.47
61.13,61.15,61.15,61.04
61.12,61.63,61.63,61.12
61.24,61.22,61.34,61.22
61.50,61.33,61.61,61.16
60.90,61.35,61.35,60.68
61.12,62.39,62.42,61.12
62.46,61.85,62.46,61.85
62.13,62.20,62.23,62.00
62.01,61.99,62.86,59.91
62.42,62.02,62.51,61.43
63.10,63.02,63.22,63.02
62.97,62.74,62.97,62.74
63.33,63.76,63.88,63.33
63.50,63.48,63.50,63.28
63.39,63.48,63.54,63.39
63.39,63.41,63.76,63.06
63.72,63.66,63.72,63.52
63.20,62.17,63.20,62.17
62.66,62.67,62.67,62.66
62.19,61.61,62.19,61.57
62.18,61.93,62.18,61.87
62.81,62.96,62.96,62.81
63.13,62.93,63.25,62.88
63.59,62.89,63.65,62.89
63.08,63.06,63.32,62.84
62.85,63.02,63.22,62.85
63.05,63.51,63.51,63.00
62.58,63.45,63.45,62.43
63.17,63.15,63.45,63.00
63.15,62.59,63.15,62.24
62.75,62.79,63.02,62.66
62.61,62.62,62.62,62.61
61.75,61.67,61.75,61.41
60.40,60.20,60.40,60.15
60.52,60.64,60.68,60.52
61.17,61.68,61.72,61.17
62.00,61.69,62.16,61.69
61.43,61.43,61.43,61.43
62.10,62.68,62.68,62.10
62.57,62.46,62.57,62.38
62.73,63.07,63.07,62.68
63.20,63.08,63.20,63.08
63.06,63.10,63.10,63.06
62.90,63.06,63.08,62.90
62.94,62.97,63.06,62.94
62.18,61.75,62.41,61.60
61.90,62.59,62.59,61.78
62.92,63.30,63.30,62.85
63.57,63.44,63.70,63.44
63.44,63.44,63.44,63.44
61.91,62.13,62.13,61.88
62.70,62.75,62.75,62.70
63.67,63.86,63.86,63.67
63.26,62.94,63.26,62.94
62.50,62.43,62.50,62.20
62.34,62.15,62.34,62.15
61.37,61.19,61.37,61.19
60.46,59.87,60.46,59.80
60.74,60.84,61.19,60.59
62.38,62.60,62.60,62.38
62.60,62.60,62.60,62.60
61.82,61.85,61.89,61.82
62.95,63.12,63.18,62.95
62.65,62.64,62.85,62.64
62.39,62.39,62.39,62.39
62.75,62.53,62.75,62.53
61.40,61.46,61.46,61.30
61.49,61.38,61.84,61.38
62.55,62.70,62.70,62.55
62.75,62.96,62.96,62.75
63.00,63.12,63.12,62.98
62.65,62.79,62.89,62.62
63.19,63.57,63.57,63.19
62.88,62.76,62.88,62.52
63.11,62.23,63.11,62.23
60.85,60.86,60.86,60.78
60.56,60.96,60.96,60.56
60.29,60.62,60.62,59.69
59.50,60.70,60.82,59.50
60.19,60.04,60.19,60.04
59.90,59.90,59.90,59.90
59.25,59.15,59.25,59.15
58.80,57.96,58.90,57.95
58.54,57.40,58.54,57.22
56.83,55.62,56.83,55.56
55.97,55.05,55.97,55.05
55.17,56.30,56.30,55.17
57.01,56.26,57.42,56.26
55.84,57.21,57.21,55.60
57.49,57.51,57.51,56.83
57.34,57.32,57.36,57.30
58.09,58.30,58.30,58.09
57.84,57.25,57.84,57.25
56.50,56.54,56.54,56.50
55.44,55.12,55.44,55.12
54.75,54.61,55.16,54.08
55.24,55.55,55.55,55.24
56.47,56.50,56.50,56.47
57.46,57.38,57.46,57.38
56.72,57.34,57.34,56.72
56.88,57.02,57.02,56.88
56.40,56.76,56.76,56.40
57.05,56.47,57.05,56.47
56.74,56.73,56.74,56.54
56.85,57.01,57.01,56.85
57.13,57.37,57.37,57.13
58.51,58.50,58.51,58.50
58.30,58.57,58.57,58.30
58.35,56.99,58.35,56.99
56.79,56.84,56.84,56.78
55.90,55.72,55.90,55.72
56.12,56.24,56.24,55.71
56.86,56.59,56.86,56.59
56.99,56.99,56.99,56.99
58.36,58.18,58.36,58.18
58.24,58.27,58.27,58.20
58.73,59.44,59.71,58.73
59.22,59.22,59.22,59.22
58.53,58.60,58.60,58.53
58.23,58.21,58.23,58.17
58.09,57.56,58.13,57.29
57.26,57.31,57.40,57.21
56.40,57.39,57.39,56.37
57.89,58.32,58.32,57.88
57.77,57.96,57.98,57.77
57.78,58.43,58.43,57.78
58.34,58.74,58.74,58.30
58.86,59.48,59.48,58.86
58.98,59.01,59.01,58.98
57.81,57.81,57.81,57.81
57.58,57.07,57.58,56.66
57.07,57.07,57.07,57.07
56.71,57.07,57.09,56.61
57.27,58.32,58.32,57.27
58.28,58.14,58.37,58.14
58.02,58.27,58.46,58.02
58.15,58.15,58.35,58.15
57.50,56.86,57.50,56.86
57.57,58.24,58.24,57.57
58.61,59.29,59.29,58.61
59.96,59.92,59.96,59.92
60.00,59.95,60.06,59.95
60.38,60.50,60.50,60.38
59.89,60.14,60.20,59.84
60.10,59.66,60.10,59.61
59.79,59.84,59.84,59.78
59.44,59.64,59.64,59.44
60.07,60.71,60.71,60.07
60.62,60.62,60.62,60.62
60.60,60.12,60.60,60.12
60.89,60.80,60.89,60.78
59.89,60.39,60.48,59.89
60.34,60.34,60.34,60.34
59.28,59.31,59.31,59.28
59.30,59.38,59.38,59.30
58.94,59.05,59.05,58.94
59.18,59.24,59.24,59.18
58.67,58.53,58.67,58.48
58.53,58.53,58.53,58.53
58.14,58.33,58.35,58.14
58.47,58.47,58.47,58.47
60.05,60.00,60.05,60.00
60.35,61.12,61.14,60.35
62.01,61.87,62.01,61.87
61.44,61.45,61.45,61.44
61.76,61.80,61.80,61.76
61.77,63.38,63.67,61.72
63.72,64.29,64.43,63.72
64.05,63.27,64.05,63.27
62.62,62.84,62.84,62.62
63.14,63.20,63.20,63.14
62.48,62.98,63.06,62.39
63.37,62.77,63.37,62.77
62.34,62.30,62.36,62.30
62.29,62.11,62.29,62.11
61.04,60.99,61.21,60.56
61.16,61.64,61.68,61.07
61.18,61.38,61.38,61.12
62.16,61.82,62.18,61.77
61.74,61.24,61.74,61.24
61.23,60.95,61.23,60.95
61.66,61.68,61.72,61.66
62.49,62.04,62.51,62.04
62.13,61.86,62.13,61.86
62.18,61.81,62.18,61.81
60.80,60.80,60.80,60.80
61.23,61.29,61.46,61.23
61.29,61.29,61.29,61.29
61.30,61.30,61.30,61.30
62.22,62.66,62.79,62.22
63.43,63.43,63.43,63.43
63.55,63.55,63.55,63.55
62.26,62.20,62.26,62.20
62.48,62.18,62.48,62.18
60.93,61.27,61.27,60.93
61.33,61.37,61.38,61.33
60.96,60.84,60.96,60.45
60.51,60.72,60.72,60.51
60.62,60.53,61.00,60.00
60.45,61.89,61.90,60.45
62.96,61.03,62.96,61.03
60.92,61.32,61.40,60.92
62.12,61.99,62.19,61.99
61.04,61.15,61.15,61.04
60.46,60.46,60.46,60.46
59.81,60.11,60.86,59.68
61.13,61.13,61.13,61.13
59.85,61.10,61.34,59.85
60.50,60.55,60.55,60.49
59.48,59.63,59.92,59.48
59.41,59.67,59.77,59.41
60.90,61.39,61.39,60.90
61.22,61.30,61.38,61.22
61.31,61.56,61.56,61.31
61.91,61.85,61.91,61.85
61.95,61.95,61.95,61.95
62.03,62.03,62.03,61.94
61.58,61.96,61.96,61.58
61.92,62.68,62.68,61.92
62.68,62.68,62.68,62.68
63.13,61.66,63.13,61.65
62.00,61.84,62.00,61.76
61.57,61.65,61.68,61.43
61.67,61.83,61.83,61.60
61.95,62.11,62.12,61.92
62.01,62.59,62.67,62.01
62.47,63.04,63.23,62.47
63.12,63.21,63.21,63.12
63.19,62.56,63.19,62.56
63.23,63.34,63.38,63.23
63.45,63.50,63.50,63.40
64.55,64.35,64.55,64.35
64.36,64.71,64.71,64.36
64.90,64.94,64.94,64.90
62.78,63.89,64.12,62.78
64.00,64.13,64.13,63.90
64.16,64.75,64.93,64.16
63.79,63.85,63.85,63.71
63.82,63.60,63.82,63.60
63.56,64.79,64.90,63.56
66.71,66.50,66.86,66.34
66.91,66.46,66.91,66.41
66.46,66.46,66.46,66.46
66.83,66.99,66.99,66.83
66.96,66.57,66.96,66.57
67.28,67.19,67.34,67.10
67.80,67.39,67.80,66.98
66.88,67.18,67.18,66.88
67.12,67.16,67.18,67.09
66.91,67.31,67.34,66.87
66.76,66.96,66.96,66.76
67.30,67.46,67.46,67.25
68.10,67.97,68.10,67.45
68.24,68.45,68.58,67.90
68.45,68.23,68.55,68.03
66.73,68.17,68.62,66.73
68.35,68.26,68.35,67.89
68.24,67.73,68.24,67.50
68.00,68.14,68.16,67.99
68.44,67.67,68.44,67.67
67.46,67.62,67.90,67.40
68.20,68.43,68.53,67.63
68.46,67.65,68.46,67.65
68.29,68.41,68.41,68.12
68.07,68.24,68.34,68.07
68.31,67.94,68.31,67.78
68.24,68.44,68.44,68.21
68.65,68.38,68.65,68.25
68.17,68.38,68.39,68.17
68.02,68.19,68.33,68.02
68.37,68.10,68.37,67.94
68.49,68.07,68.58,68.07
68.49,68.71,68.79,68.49
68.25,66.36,68.25,66.36
66.31,65.74,66.31,65.38
66.30,66.30,66.30,66.30
66.54,66.09,66.54,66.01
65.01,65.73,65.73,64.87
66.01,66.90,67.04,65.95
66.86,66.86,66.93,66.85
66.57,66.38,66.57,66.10
66.58,66.72,66.78,66.26
67.23,67.17,67.43,66.99
67.62,67.87,67.87,67.62
68.08,68.20,68.21,68.00
68.43,68.80,68.80,68.43
69.08,69.08,69.08,68.68
68.90,68.96,68.96,68.90
68.75,69.01,69.01,68.75
69.85,69.29,69.85,69.12
69.45,69.08,69.45,69.08
69.11,68.53,69.11,68.53
68.74,68.03,68.78,67.77
68.47,68.80,68.93,68.47
68.44,67.87,68.44,67.87
67.79,67.60,67.79,67.45
67.79,67.42,67.79,67.32
67.85,67.66,67.85,67.28
67.01,67.53,67.53,66.61
67.52,67.66,67.66,67.46
67.76,66.73,67.76,66.73
67.08,66.16,67.10,66.11
65.38,65.64,65.64,65.35
65.82,65.74,65.87,65.53
65.11,65.41,65.41,65.05
65.18,65.81,65.81,65.18
66.83,66.86,66.86,66.80
67.00,67.27,67.27,66.55
67.49,67.16,67.60,67.16
67.08,66.25,67.08,65.98
65.10,63.90,65.27,63.90
64.29,64.71,65.02,64.29
64.37,63.76,64.37,63.72
64.12,63.70,64.25,63.59
63.62,64.29,64.34,63.62
64.24,65.24,65.24,64.13
65.30,65.29,65.57,64.67
66.32,66.27,66.32,66.26
66.65,67.48,67.48,66.65
66.97,66.10,66.97,65.91
66.27,66.90,67.01,66.27
66.53,66.79,66.83,66.14
66.79,66.79,66.79,66.79
66.06,66.43,66.48,66.06
67.10,67.69,67.90,67.10
67.58,67.80,67.89,67.58
68.30,68.55,68.55,68.08
69.33,69.24,69.33,69.24
69.85,69.47,69.85,69.22
69.00,69.35,69.35,68.75
69.69,68.70,69.69,68.69
68.84,69.63,69.63,68.84
69.65,69.71,69.72,69.22
70.08,69.90,70.08,69.90
70.66,70.16,70.66,69.78
70.25,70.46,70.83,70.09
70.45,70.50,70.89,70.34
70.50,70.45,70.98,70.45
69.00,69.65,69.84,67.90
68.76,69.17,69.35,68.76
69.84,69.85,70.18,69.67
69.40,69.31,69.44,69.07
69.66,69.87,69.87,69.55
69.48,68.80,69.49,68.80
68.86,68.12,68.90,68.12
69.11,68.69,69.11,68.69
68.00,67.50,68.09,67.50
67.50,67.86,67.86,67.00
67.94,68.18,68.36,67.31
68.22,68.38,68.62,68.22
67.00,67.59,67.74,67.00
67.84,67.10,67.84,67.06
66.47,67.96,67.96,66.47
67.96,67.96,67.96,67.96
68.50,68.43,68.61,68.25
69.00,68.99,69.17,68.47
