SBSA,Spanish Broadcasting System,NASDAQ
4.40,4.42,4.79,4.40
4.49,4.44,4.60,4.43
4.40,4.34,4.40,4.34
4.48,4.23,4.48,4.15
4.04,4.10,4.18,3.75
4.07,4.14,4.17,4.07
4.13,4.03,4.14,3.95
4.00,4.02,4.12,3.97
4.04,4.04,4.08,4.00
4.04,4.05,4.10,4.04
3.96,3.95,4.05,3.55
3.92,3.96,3.99,3.88
3.96,3.96,4.07,3.94
4.00,3.77,4.05,3.70
3.84,3.77,3.94,3.75
3.82,3.78,3.91,3.77
3.76,3.78,3.80,3.72
3.73,3.72,3.83,3.70
3.76,3.59,3.76,3.48
3.63,3.75,3.80,3.63
3.80,3.73,3.80,3.68
3.78,3.82,3.82,3.76
3.84,3.95,4.02,3.78
3.99,3.98,4.04,3.93
4.00,3.99,4.00,3.64
4.00,3.89,4.07,3.80
3.95,3.57,3.95,3.44
3.58,3.72,3.92,3.46
3.79,3.53,3.79,3.53
3.55,3.62,3.74,3.54
3.68,3.62,3.77,3.60
3.65,3.54,3.71,3.50
3.51,3.64,3.71,3.45
3.64,3.42,3.68,3.34
3.40,3.10,3.40,2.90
3.14,3.40,3.40,3.13
3.46,3.37,3.46,3.29
3.31,3.41,3.45,3.31
3.40,3.42,3.51,3.35
3.43,3.31,3.45,3.30
3.32,3.15,3.34,3.15
3.16,3.11,3.32,3.11
3.13,3.17,3.18,3.08
3.25,3.32,3.35,3.12
3.25,3.23,3.27,3.10
3.08,3.18,3.22,3.08
3.08,3.06,3.17,2.84
3.06,3.06,3.12,2.85
3.04,3.23,3.40,3.03
3.26,3.13,3.38,3.09
3.15,3.20,3.25,3.08
3.21,3.02,3.27,3.01
3.01,3.13,3.20,3.00
3.05,3.23,3.25,3.02
3.20,3.34,3.34,3.20
3.41,3.21,3.41,3.14
3.13,3.26,3.28,3.13
3.25,3.17,3.26,3.17
3.15,3.26,3.39,3.11
3.20,3.21,3.22,3.10
3.23,3.25,3.30,3.16
3.30,3.29,3.30,3.25
3.31,3.34,3.35,3.25
3.36,3.38,3.40,3.32
3.35,3.37,3.46,3.35
3.37,3.38,3.40,3.29
3.37,3.36,3.43,3.35
3.37,3.31,3.37,3.13
3.35,3.36,3.40,3.31
3.37,3.37,3.41,3.35
3.38,3.39,3.45,3.35
3.35,3.80,3.84,3.16
3.80,3.70,3.80,3.41
3.70,3.61,3.70,3.30
3.58,3.64,3.64,3.58
3.61,3.68,3.68,3.44
3.66,3.60,3.68,3.43
3.56,3.45,3.56,3.41
3.47,3.54,3.54,3.33
3.53,3.50,3.53,3.09
3.49,3.52,3.52,3.29
3.50,3.59,3.79,3.28
3.55,3.49,3.55,3.35
3.48,3.49,3.54,3.29
3.46,3.42,3.55,3.40
3.50,3.43,3.53,3.40
3.48,3.46,3.56,3.40
3.41,3.47,3.50,3.39
3.40,3.30,3.55,3.30
3.40,3.16,3.49,3.16
3.19,3.00,3.19,2.82
2.97,2.90,2.97,2.90
2.93,2.70,2.93,2.20
2.69,2.70,2.79,2.69
2.70,2.53,2.72,2.53
2.56,2.50,2.56,2.50
2.50,2.65,2.67,2.46
2.56,2.54,2.65,2.38
2.53,2.54,2.61,2.40
2.56,2.69,2.69,2.56
2.65,2.42,2.65,2.41
2.45,2.62,2.62,2.40
2.59,2.59,2.59,2.59
2.50,2.32,2.50,2.32
2.33,2.31,2.33,2.26
2.31,2.47,2.47,2.31
2.38,2.25,2.38,2.25
2.25,2.25,2.34,2.25
2.26,2.29,2.29,2.19
2.26,2.09,2.40,2.06
2.12,2.38,2.43,2.02
2.32,2.37,2.38,2.30
2.28,2.38,2.43,2.28
2.36,2.36,2.47,2.35
2.17,2.50,2.51,2.17
2.40,2.46,2.50,2.37
2.45,2.25,2.45,2.25
2.30,2.36,2.42,2.27
2.36,2.37,2.45,2.35
2.31,2.35,2.36,2.30
2.35,2.50,2.50,2.05
2.50,2.55,2.58,2.50
2.54,2.58,2.61,2.50
2.52,2.60,2.61,2.41
2.58,2.53,2.74,2.53
2.56,2.58,2.59,2.53
2.59,2.65,2.65,2.50
2.60,2.61,2.64,2.56
2.61,2.63,2.63,2.59
2.51,2.60,2.60,2.51
2.61,2.65,2.70,2.53
2.64,2.60,2.64,2.60
2.64,2.63,2.64,2.60
2.64,2.64,2.64,2.55
2.63,2.82,2.87,2.63
2.80,2.98,3.00,2.66
2.94,2.88,2.98,2.85
2.78,2.93,2.93,2.78
2.93,2.91,2.96,2.90
2.92,2.83,2.93,2.81
2.85,2.89,2.93,2.78
2.80,2.85,2.85,2.79
2.88,2.93,2.93,2.82
2.86,2.93,2.93,2.86
2.93,2.89,2.95,2.89
2.86,2.91,2.91,2.85
2.85,2.90,2.90,2.85
2.91,2.91,2.91,2.81
2.86,2.91,2.91,2.86
2.88,2.90,2.90,2.88
2.75,3.16,3.38,2.75
3.09,2.85,3.12,2.82
2.86,2.75,2.86,2.69
2.70,2.76,2.78,2.70
2.74,2.75,2.80,2.72
2.72,2.79,2.79,2.72
2.78,2.78,2.78,2.78
2.77,2.70,2.77,2.70
2.70,2.53,2.70,2.49
2.39,2.55,2.55,2.37
2.40,2.55,2.55,2.40
2.49,2.50,2.61,2.43
2.46,2.46,2.46,2.46
2.48,2.62,2.63,2.48
2.52,2.51,2.52,2.51
2.44,2.55,2.56,2.43
2.42,2.44,2.51,2.40
2.36,2.41,2.43,2.36
2.36,2.40,2.55,2.36
2.45,2.37,2.45,2.32
2.44,2.57,2.57,2.44
2.42,2.51,2.61,2.37
2.45,2.44,2.55,2.40
2.32,2.38,2.50,2.31
2.44,2.60,2.60,2.35
2.48,2.52,2.52,2.48
2.52,2.56,2.63,2.40
2.61,2.65,2.65,2.61
2.56,2.60,2.61,2.56
2.63,2.42,2.64,2.41
2.57,2.58,2.65,2.57
2.63,2.64,2.64,2.63
2.64,2.64,2.64,2.64
2.44,2.44,2.45,2.43
2.44,2.42,2.55,2.42
2.41,2.43,2.61,2.40
2.46,2.46,2.51,2.45
2.50,2.56,2.58,2.50
2.52,2.60,2.60,2.50
2.55,2.60,2.62,2.55
2.61,3.00,3.10,2.60
3.01,2.75,3.10,2.65
2.75,2.81,2.90,2.73
2.89,2.89,2.90,2.80
2.90,2.90,2.90,2.86
2.69,2.79,2.88,2.69
2.67,2.73,2.73,2.65
2.71,2.71,2.71,2.71
2.75,2.91,2.91,2.72
2.90,3.00,3.09,2.89
3.00,2.99,3.10,2.92
2.96,2.91,2.97,2.85
2.92,3.01,3.01,2.92
3.06,3.07,3.10,3.00
3.04,3.40,3.40,3.04
3.40,3.29,3.41,3.06
3.25,3.15,3.25,3.15
3.12,3.07,3.12,3.03
3.08,3.15,3.25,3.06
3.11,3.30,3.36,3.11
3.36,3.25,3.37,3.15
3.25,3.58,3.60,3.16
3.60,3.52,3.64,3.41
3.56,3.73,3.74,3.40
3.75,4.60,4.97,3.75
4.70,4.50,4.70,4.25
4.50,4.10,4.70,4.02
4.15,4.20,4.36,4.07
4.24,4.36,4.39,4.14
4.28,4.20,4.48,4.08
4.20,4.14,4.20,4.06
4.10,4.15,4.20,3.82
4.03,4.09,4.20,3.89
4.10,4.16,4.20,3.96
4.19,4.09,4.20,4.09
4.18,4.11,4.18,4.09
4.12,3.97,4.12,3.97
3.83,3.70,3.83,3.62
3.69,3.82,3.88,3.64
3.87,3.85,3.92,3.84
3.80,3.68,3.80,3.64
3.51,3.53,3.54,3.51
3.44,3.45,3.64,3.44
3.50,3.55,3.64,3.48
3.46,3.56,3.70,3.45
3.64,3.45,3.64,3.45
3.42,3.55,3.59,3.40
3.53,3.53,3.53,3.45
3.45,3.55,3.55,3.45
