FDS,FactSet Research Systems Inc. Common Stock,NASDAQ
109.77,108.37,109.77,108.37
108.01,107.01,108.01,106.23
106.85,106.54,107.00,104.83
105.93,105.88,106.97,105.55
107.01,106.43,108.37,106.41
106.68,109.11,109.40,106.19
109.32,111.44,111.81,109.05
111.07,111.76,111.84,110.82
111.21,111.29,112.40,111.01
111.35,109.50,111.83,109.44
108.81,107.52,109.38,107.38
107.23,106.73,107.23,105.56
106.77,108.07,108.50,106.29
108.73,108.00,108.92,107.11
107.92,108.15,108.83,107.01
106.48,106.15,106.58,105.43
106.61,106.05,106.63,105.11
106.00,107.06,107.29,105.67
105.10,107.61,107.70,105.10
107.96,108.06,108.97,107.76
109.00,110.86,110.91,108.72
110.79,107.71,111.00,107.54
107.96,108.51,108.63,107.15
106.70,107.23,107.74,106.51
107.13,106.29,107.57,106.29
106.68,106.33,107.51,105.65
106.05,104.78,106.05,104.25
105.12,105.81,106.15,104.58
105.33,104.02,105.81,103.56
104.42,104.29,104.85,103.68
100.18,99.90,100.50,97.06
99.13,98.65,99.44,98.20
98.62,97.35,98.63,96.61
98.36,97.97,99.48,97.64
97.63,98.38,99.07,97.49
99.51,100.90,101.07,98.79
100.68,99.81,101.57,99.80
98.57,99.76,99.90,97.73
99.73,98.44,100.04,98.36
98.60,99.32,99.86,97.90
99.50,100.95,101.21,99.22
101.13,102.02,102.51,100.64
102.10,102.32,103.17,102.03
102.48,103.14,103.40,101.64
103.30,102.70,103.55,101.92
102.70,102.99,103.36,102.36
103.91,102.91,104.33,102.81
101.73,101.45,101.98,100.90
100.30,99.52,100.68,99.42
99.26,98.46,99.71,98.30
98.46,98.14,99.54,98.02
98.63,95.15,98.72,95.00
95.34,94.99,95.60,94.50
94.48,93.94,94.62,93.08
94.77,96.30,96.34,94.77
96.56,95.02,96.83,94.89
95.29,96.32,96.54,94.69
96.00,96.10,96.47,95.69
95.17,95.61,96.39,94.76
95.73,94.76,95.73,94.61
94.33,92.03,94.56,91.87
92.32,92.79,93.33,91.58
91.65,92.09,92.98,91.18
93.15,91.43,93.47,90.69
91.00,89.06,92.38,89.04
89.32,89.75,89.93,87.78
88.56,86.44,88.91,86.36
87.35,85.47,87.52,83.72
84.21,78.45,84.31,78.45
80.25,83.86,83.91,78.25
82.05,80.17,82.99,80.16
80.60,83.65,84.44,80.26
84.26,84.55,84.92,83.10
85.37,86.57,86.57,84.32
85.46,85.65,86.47,84.88
86.12,86.08,86.84,84.53
83.63,81.17,83.82,80.34
80.13,79.15,82.35,79.01
81.17,80.16,81.31,79.15
80.56,83.29,83.30,79.81
83.25,83.06,84.43,81.77
83.66,81.95,84.07,81.67
81.47,84.50,84.79,80.48
85.21,87.04,87.07,85.01
86.63,87.80,88.56,86.43
88.47,87.90,90.18,87.14
88.29,86.66,88.75,86.52
84.89,83.99,86.02,83.86
81.70,82.46,82.98,80.93
83.87,85.41,85.45,83.57
84.90,84.81,85.57,84.26
84.16,82.24,84.26,81.65
81.18,83.54,83.56,81.18
83.97,84.73,84.97,83.09
84.99,86.37,87.31,84.03
87.13,87.64,87.71,86.01
87.50,87.25,87.82,86.46
85.62,88.81,89.29,85.21
93.34,90.88,94.99,90.61
91.71,91.33,92.61,90.92
89.42,89.00,90.25,87.61
88.45,90.62,90.73,87.31
91.15,92.06,92.20,89.10
93.31,93.45,94.24,92.56
93.73,91.43,94.23,90.90
93.45,91.99,93.45,89.86
90.71,88.97,91.75,88.90
88.69,86.70,89.73,86.40
86.06,89.95,90.09,85.86
89.85,90.33,90.87,87.93
90.42,92.77,92.84,89.70
92.94,90.47,93.43,90.36
92.31,94.12,94.14,91.50
93.31,93.40,94.30,93.12
94.26,94.32,95.68,94.04
93.79,95.74,96.54,93.54
96.84,95.86,97.15,95.05
95.02,93.70,95.23,93.44
94.00,95.44,95.83,93.01
94.87,93.34,95.50,93.22
93.31,93.53,93.72,91.48
94.23,96.47,96.49,94.01
96.44,98.60,98.71,96.35
97.88,97.05,98.75,96.80
98.76,98.54,98.85,96.20
106.05,101.27,106.06,100.27
100.71,100.68,101.11,99.80
99.27,99.42,101.36,98.69
96.26,94.84,97.76,94.62
96.05,96.99,97.17,95.15
97.92,99.74,100.02,96.97
99.00,98.97,99.52,97.69
98.63,99.08,99.60,97.31
99.49,100.06,100.21,98.09
97.69,95.63,98.24,95.54
96.61,96.98,97.50,95.59
98.11,98.25,98.69,97.36
97.32,96.29,98.07,95.81
96.29,98.06,99.00,95.70
97.18,94.66,98.06,94.54
94.51,92.10,94.97,91.10
92.40,91.17,92.61,90.76
90.01,90.05,90.67,89.46
90.05,89.68,90.53,89.15
88.67,88.06,89.22,87.05
87.95,88.27,88.69,87.55
89.95,90.75,90.89,89.64
90.94,89.42,91.42,89.30
92.77,93.23,93.26,92.03
92.82,92.99,93.83,92.74
93.70,92.60,94.32,91.97
93.70,95.13,95.32,93.31
95.30,94.99,95.42,94.28
94.00,93.51,94.79,92.39
92.99,93.21,94.16,92.71
93.42,95.33,95.52,93.42
94.23,94.75,95.18,93.12
94.03,88.24,95.50,86.55
88.17,87.82,89.28,86.16
88.62,87.39,88.62,86.99
88.08,87.02,88.40,86.30
87.51,86.16,88.08,85.94
87.79,88.77,89.03,87.67
88.27,86.70,88.79,85.45
87.03,87.52,87.60,86.95
87.57,88.41,88.86,87.38
88.22,88.57,89.38,88.14
88.42,87.23,88.75,87.17
87.59,87.88,88.38,86.86
88.06,87.28,88.15,87.25
89.20,88.08,89.73,87.74
87.87,87.23,88.28,87.02
86.93,87.77,88.60,85.96
87.96,86.79,87.96,86.71
86.80,86.39,87.14,85.89
87.21,87.66,88.09,86.79
87.60,88.32,88.65,87.52
88.70,88.74,89.16,88.13
88.05,87.26,88.08,85.78
88.22,88.12,88.96,87.40
88.41,88.74,89.42,88.35
89.25,92.19,92.37,89.06
92.19,92.03,92.44,91.64
91.79,92.00,93.14,91.22
91.80,92.58,93.28,91.55
90.92,91.49,92.07,88.80
92.15,90.42,92.36,90.20
90.32,91.35,91.48,90.05
90.57,89.10,90.57,88.97
89.57,88.32,89.71,87.98
88.34,89.60,90.43,88.34
89.70,89.52,90.13,88.82
90.67,91.04,91.74,90.64
89.96,91.32,91.41,89.28
91.38,93.05,93.19,90.71
92.88,92.75,92.88,91.35
93.00,92.98,93.05,91.70
92.03,91.48,92.38,90.98
92.22,90.16,92.92,89.91
89.68,90.92,90.97,89.53
91.21,89.09,91.31,88.76
89.34,90.40,90.46,89.34
90.29,89.46,90.65,89.35
89.75,88.75,90.04,88.42
88.81,89.83,90.21,88.39
89.98,89.85,91.05,89.30
90.09,88.99,91.02,88.70
88.40,88.90,89.36,87.32
89.32,88.77,89.45,88.18
89.05,87.40,89.27,87.09
88.00,87.76,88.40,87.46
87.84,86.26,88.52,85.92
86.27,86.61,86.81,85.38
85.81,86.17,86.54,85.55
86.17,86.49,87.53,85.81
86.82,88.50,88.59,86.82
88.72,90.14,90.38,88.72
90.05,90.81,91.91,89.94
91.50,98.66,99.99,91.09
98.31,97.77,98.70,96.25
97.63,98.77,99.13,96.72
98.08,99.54,99.54,97.98
99.35,99.34,99.76,98.64
98.70,98.91,99.13,98.01
99.24,99.26,99.44,98.52
98.06,98.43,98.70,97.18
98.68,98.62,98.81,97.33
99.44,100.19,100.19,99.03
99.99,99.81,100.34,99.63
99.75,99.05,99.75,98.25
98.46,98.34,98.61,97.45
98.99,99.04,99.62,97.98
98.97,100.24,100.93,98.28
100.04,100.24,100.93,99.21
99.34,99.25,99.80,98.68
98.93,99.52,99.62,98.79
97.63,98.00,98.51,97.59
98.23,96.71,98.43,96.24
97.72,97.46,98.06,96.78
97.52,98.50,98.69,97.52
97.98,98.78,99.37,97.43
99.16,98.65,99.27,97.88
98.94,101.60,101.97,98.65
101.39,101.56,102.15,101.15
101.82,103.78,104.17,101.23
104.02,103.69,104.13,103.24
101.25,102.28,102.98,100.75
102.36,101.80,103.08,101.34
102.91,103.48,103.91,102.41
102.97,103.97,104.38,102.96
104.54,104.61,105.00,103.63
104.72,104.86,105.14,103.69
104.81,104.82,105.52,104.26
104.32,105.22,105.41,104.08
105.08,104.26,105.49,103.90
103.55,103.53,103.98,102.56
103.54,103.39,103.72,102.87
103.04,104.70,104.90,102.45
103.66,104.38,105.06,103.21
105.00,105.18,105.71,104.51
104.70,108.52,109.07,104.43
107.24,106.33,107.59,106.33
106.25,106.73,107.60,106.05
107.04,107.27,107.78,106.53
107.30,106.09,107.56,106.09
106.28,103.39,106.82,103.29
103.76,104.81,104.81,102.40
105.11,105.67,106.97,104.63
105.35,106.23,106.58,104.69
106.46,107.04,107.79,106.13
107.32,108.01,108.07,106.76
108.38,107.69,109.20,107.01
106.77,105.96,107.12,105.73
106.21,105.43,106.24,104.65
103.64,101.46,103.89,101.32
101.76,102.37,102.54,101.28
102.37,104.27,104.57,101.84
105.05,106.60,106.82,104.88
100.61,105.18,108.00,100.61
105.11,106.00,106.80,105.11
107.09,104.57,107.42,104.49
95.72,91.70,96.83,91.50
92.11,92.56,93.31,91.25
92.51,92.82,94.30,92.10
92.86,93.78,94.06,92.65
93.44,94.67,94.82,93.05
95.42,94.57,95.42,94.19
94.85,94.07,95.36,93.20
94.31,91.50,94.31,91.41
91.78,92.82,92.99,91.63
91.63,91.20,91.82,90.84
91.53,90.94,92.09,90.53
91.33,91.53,92.79,91.09
90.83,90.46,91.01,88.64
91.49,92.94,92.94,90.78
93.21,93.27,94.60,92.39
93.25,93.88,93.94,92.65
93.69,93.69,94.15,92.56
93.01,92.54,93.01,91.38
92.26,91.93,92.54,90.77
92.42,91.20,93.24,90.62
91.22,90.92,91.71,89.65
90.18,88.59,90.20,88.56
89.08,91.21,91.40,89.08
91.30,91.61,91.93,90.40
91.82,91.99,92.71,90.65
91.90,93.78,94.13,91.90
94.00,94.91,95.15,93.43
94.28,93.56,94.36,92.14
92.92,93.00,93.27,90.64
93.13,90.56,93.13,90.01
90.80,90.58,91.71,90.27
91.89,92.40,92.94,91.12
92.93,93.65,94.22,92.56
93.75,93.05,93.86,92.31
93.09,92.96,93.57,91.84
93.19,92.35,93.69,91.81
91.86,90.59,92.68,90.15
92.26,92.70,93.73,92.20
92.98,92.60,93.35,92.21
92.95,94.94,95.99,92.60
95.06,94.47,95.39,94.26
94.62,93.94,94.79,93.69
93.84,92.99,94.30,92.32
93.05,94.07,94.27,92.18
94.48,93.27,94.57,92.99
93.02,93.47,93.92,93.02
93.40,93.91,94.19,93.08
94.15,93.87,94.53,93.63
93.75,94.58,94.84,93.24
95.03,94.99,96.34,94.24
95.00,94.95,95.12,93.92
95.00,94.48,95.05,93.79
94.24,94.19,94.92,93.91
94.17,92.86,94.57,92.53
92.65,92.18,92.86,91.86
92.17,92.69,92.83,91.41
92.61,91.24,92.69,91.21
91.76,92.27,92.61,90.99
92.20,93.95,94.27,91.60
94.28,92.58,94.32,92.37
92.92,93.93,94.06,92.75
93.97,95.17,95.17,93.84
95.33,95.39,95.86,94.88
96.01,100.04,100.22,95.25
100.51,101.44,101.65,100.44
101.68,102.70,103.13,101.33
102.55,103.76,104.81,102.06
103.33,102.99,103.68,102.78
103.00,102.66,103.27,102.21
102.79,102.58,102.99,102.16
101.97,101.04,102.43,100.76
101.98,100.55,102.70,99.99
100.56,102.80,104.73,100.51
99.98,98.49,101.28,97.08
97.24,97.40,98.18,96.50
97.41,97.52,98.30,96.93
97.06,96.42,97.06,95.00
96.43,95.29,96.66,94.65
95.39,93.63,95.39,93.12
93.83,94.36,95.02,93.60
94.50,94.85,94.92,93.62
95.09,95.06,95.73,94.79
94.72,94.80,95.17,94.10
94.60,93.95,95.01,93.64
94.18,94.10,95.86,93.91
94.66,93.75,95.00,93.75
93.71,93.28,95.17,93.01
93.64,92.99,94.06,92.75
93.79,93.41,94.36,93.15
93.02,93.15,93.50,92.03
93.27,92.44,93.40,92.16
92.49,91.07,92.53,90.70
91.36,92.02,92.11,91.02
91.30,92.01,92.11,90.15
92.52,91.86,92.81,91.61
92.34,91.80,92.80,89.93
91.60,90.85,91.98,89.86
91.15,90.55,91.15,90.04
89.86,92.22,92.57,89.84
92.60,90.72,93.00,90.50
90.78,90.55,90.90,89.95
91.04,90.62,91.49,90.49
89.96,89.46,90.31,88.83
89.46,89.30,89.83,89.08
89.40,89.83,90.46,89.33
89.86,88.78,90.33,88.21
88.32,88.56,89.70,87.40
88.43,87.79,88.64,87.70
87.59,90.96,91.29,87.09
91.27,90.67,91.92,88.68
90.95,90.72,91.79,90.19
90.79,91.03,91.06,89.99
91.50,91.07,91.94,90.64
91.55,91.39,91.99,90.82
90.76,93.15,93.25,90.76
93.31,92.76,93.49,91.99
91.99,92.28,92.38,91.11
92.81,92.33,93.72,91.71
92.34,92.39,92.70,91.32
93.01,92.42,93.35,91.85
92.02,91.94,92.52,91.10
91.91,93.36,93.52,91.56
93.08,93.65,94.01,93.08
94.00,93.25,94.27,92.69
93.52,94.00,95.95,92.77
94.40,96.19,96.32,94.36
96.44,94.37,96.50,94.28
94.57,94.05,95.06,93.23
93.83,94.00,94.91,93.66
94.42,96.39,96.40,93.96
90.11,92.19,93.57,90.00
91.82,90.64,92.05,90.37
90.61,90.16,91.25,89.78
89.30,88.63,90.27,88.03
88.39,88.85,89.15,87.25
88.54,87.49,89.11,87.43
87.59,87.45,87.97,86.91
88.57,87.68,89.26,87.18
87.44,88.06,88.51,87.27
89.39,89.72,90.17,88.86
89.85,90.01,90.21,89.41
88.60,89.25,89.80,86.88
88.91,88.91,89.38,88.38
89.04,88.47,89.24,88.31
88.87,88.92,89.05,88.23
89.06,88.43,89.61,88.38
88.50,88.87,89.15,88.06
88.86,89.09,89.11,88.17
88.96,91.06,91.23,88.65
91.06,90.15,91.10,90.01
90.69,91.14,91.30,90.03
91.37,91.39,91.63,90.75
91.40,91.53,91.56,90.42
91.81,92.55,92.73,91.49
92.44,93.45,93.74,92.44
93.85,93.50,94.17,93.15
93.51,93.68,94.17,93.41
93.71,93.86,94.08,93.16
93.78,93.44,94.07,93.34
92.99,92.52,94.13,92.46
93.22,93.59,93.67,92.53
93.56,93.51,93.86,92.82
93.47,93.49,94.11,92.91
93.13,93.64,93.88,92.76
93.47,93.84,93.86,92.52
93.79,93.60,94.11,93.37
93.43,93.16,93.43,92.60
93.25,93.06,93.59,92.73
93.00,93.92,93.92,92.00
93.08,93.10,93.65,92.80
93.38,94.30,94.50,93.22
94.46,97.29,97.40,93.81
97.21,96.97,97.59,96.50
96.69,96.25,97.19,95.85
96.28,97.85,97.90,96.28
98.23,97.53,99.08,97.43
97.49,96.95,97.93,96.47
97.14,98.00,98.80,96.95
98.13,97.29,98.74,97.22
97.17,97.26,97.85,96.30
96.95,97.87,97.87,95.70
98.30,99.09,99.46,98.16
99.22,99.20,99.78,98.85
99.23,99.75,99.77,99.02
100.15,99.37,100.54,98.98
99.45,99.99,100.06,98.95
100.01,100.60,101.04,99.69
100.60,99.37,101.05,99.03
99.62,100.48,100.48,99.62
100.45,99.29,100.58,99.10
99.11,98.03,99.89,97.96
94.99,92.82,96.47,91.88
92.75,92.52,92.96,90.40
92.03,89.91,92.41,89.82
90.19,90.81,91.82,90.02
90.86,90.84,91.86,90.47
90.85,91.76,91.87,90.70
91.29,92.93,93.14,91.29
92.71,92.60,93.36,92.21
92.99,91.69,93.33,90.93
91.65,91.75,92.30,91.26
91.93,90.00,91.93,89.75
90.18,90.07,90.55,89.72
89.18,90.08,90.41,88.67
90.26,90.56,90.64,89.77
91.06,91.36,91.83,90.98
91.28,93.23,93.26,91.28
92.83,92.65,93.37,92.47
92.20,92.23,92.42,91.31
91.65,90.34,92.28,90.29
91.44,91.55,91.60,90.16
91.07,90.34,91.34,89.98
90.77,89.41,91.03,88.93
89.73,90.19,90.82,89.22
90.51,90.87,91.28,89.39
91.46,90.77,92.12,90.71
90.89,90.87,91.10,90.65
91.74,91.47,92.54,91.06
91.57,92.16,92.88,91.57
92.15,92.71,93.05,91.86
92.46,94.07,94.67,92.16
93.92,93.42,94.36,93.21
93.55,94.05,94.14,93.22
94.72,94.23,94.99,94.07
94.14,93.59,94.21,93.26
93.79,94.01,94.14,93.33
94.08,94.70,94.96,93.76
94.74,94.34,94.88,94.04
94.01,94.73,94.77,94.01
94.40,95.87,97.23,94.40
96.40,97.68,98.42,95.85
97.59,97.92,98.35,97.39
97.85,97.35,98.19,97.23
97.80,97.63,97.98,97.34
97.67,97.69,97.97,97.25
97.58,99.03,100.23,97.58
98.91,97.07,99.34,96.78
97.37,100.56,102.39,97.32
99.91,100.32,100.83,99.04
101.13,99.41,101.67,98.76
98.77,98.10,98.77,96.54
98.30,99.10,99.47,97.92
98.92,98.19,99.28,97.95
98.17,98.47,98.82,97.84
98.55,99.13,99.82,98.55
99.07,98.93,99.20,98.35
98.78,100.04,100.11,98.64
100.26,100.76,100.81,99.82
101.00,101.04,101.48,100.73
100.50,100.99,101.69,99.97
101.78,100.19,101.78,99.87
100.17,101.98,102.12,99.54
101.98,100.88,102.06,99.95
101.24,103.76,104.85,101.24
97.00,99.12,101.93,96.87
99.15,99.54,100.53,97.83
