ROIAK,Radio One,NASDAQ
2.84,2.85,2.90,2.71
2.80,2.68,2.80,2.65
2.74,2.80,2.84,2.69
2.81,2.77,2.83,2.68
2.80,2.90,2.91,2.72
2.90,2.81,2.95,2.78
2.78,2.72,2.79,2.71
2.71,2.80,2.86,2.71
2.76,2.82,2.98,2.76
2.81,2.89,2.94,2.81
2.86,2.88,2.93,2.85
2.91,2.91,2.92,2.85
2.90,3.00,3.04,2.87
2.98,2.82,3.00,2.80
2.94,2.79,2.94,2.77
2.77,2.38,2.77,2.28
2.35,2.45,2.58,2.31
2.46,2.33,2.46,2.28
2.37,2.29,2.41,2.25
2.28,2.16,2.33,2.13
2.15,2.19,2.25,2.10
2.13,2.13,2.16,2.12
2.13,1.87,2.16,1.84
1.90,1.83,2.02,1.78
1.83,1.79,1.83,1.72
1.81,1.94,2.01,1.74
1.90,1.90,2.00,1.89
1.90,1.89,1.98,1.89
1.91,1.83,1.93,1.81
1.79,1.71,1.90,1.70
1.72,1.72,1.80,1.66
1.78,1.89,1.89,1.78
1.87,1.90,2.02,1.82
1.92,1.99,2.01,1.84
1.96,2.00,2.05,1.96
1.96,1.92,1.98,1.90
1.93,1.86,1.98,1.84
1.88,1.80,1.88,1.68
1.80,1.84,1.88,1.79
1.86,1.76,1.87,1.76
1.76,1.77,1.77,1.70
1.82,1.71,1.82,1.71
1.72,1.71,1.73,1.69
1.72,1.71,1.74,1.69
1.74,1.77,1.83,1.72
1.76,1.71,1.80,1.71
1.69,1.65,1.70,1.57
1.60,1.66,1.69,1.60
1.69,1.73,1.79,1.66
1.72,1.64,1.74,1.63
1.65,1.65,1.67,1.62
1.66,1.66,1.68,1.62
1.65,1.62,1.67,1.62
1.63,1.60,1.67,1.60
1.63,1.61,1.65,1.61
1.58,1.58,1.62,1.50
1.55,1.57,1.57,1.51
1.55,1.53,1.55,1.45
1.50,1.53,1.54,1.50
1.53,1.47,1.55,1.44
1.49,1.43,1.49,1.43
1.46,1.46,1.49,1.41
1.47,1.40,1.47,1.37
1.40,1.38,1.42,1.35
1.35,1.35,1.40,1.35
1.37,1.19,1.42,1.17
1.12,1.12,1.17,1.01
1.15,1.26,1.26,1.10
1.22,1.21,1.23,1.17
1.23,1.25,1.26,1.21
1.26,1.44,1.50,1.26
1.46,1.56,1.58,1.46
1.53,1.51,1.57,1.51
1.53,1.57,1.60,1.52
1.51,1.44,1.52,1.43
1.41,1.34,1.42,1.32
1.37,1.13,1.37,1.12
1.15,1.26,1.27,1.12
1.27,1.32,1.37,1.27
1.34,1.32,1.36,1.32
1.33,1.24,1.37,1.22
1.26,1.45,1.47,1.26
1.42,1.40,1.46,1.24
1.42,1.43,1.45,1.41
1.44,1.40,1.47,1.36
1.34,1.32,1.38,1.30
1.26,1.30,1.30,1.18
1.31,1.30,1.36,1.28
1.29,1.30,1.34,1.29
1.31,1.24,1.35,1.24
1.24,1.25,1.31,1.18
1.29,1.34,1.34,1.27
1.36,1.37,1.39,1.27
1.40,1.42,1.42,1.37
1.42,1.46,1.46,1.39
1.40,1.35,1.41,1.34
1.35,1.33,1.37,1.30
1.33,1.30,1.36,1.30
1.30,1.29,1.35,1.24
1.25,1.20,1.29,1.16
1.20,1.16,1.20,1.16
1.20,1.19,1.23,1.16
1.19,1.13,1.23,1.11
1.16,1.18,1.26,1.16
1.16,1.19,1.23,1.16
1.15,1.05,1.17,0.97
1.00,0.92,1.00,0.92
0.93,1.05,1.15,0.93
1.08,1.12,1.16,1.08
1.15,1.16,1.19,1.14
1.17,1.19,1.24,1.17
1.21,1.29,1.29,1.21
1.29,1.34,1.37,1.25
1.33,1.29,1.36,1.22
1.29,1.27,1.31,1.22
1.28,1.22,1.28,1.22
1.22,1.23,1.27,1.20
1.22,1.26,1.26,1.22
1.26,1.28,1.29,1.24
1.29,1.34,1.35,1.28
1.38,1.33,1.40,1.33
1.34,1.27,1.35,1.21
1.27,1.22,1.27,1.21
1.27,1.29,1.32,1.26
1.28,1.28,1.38,1.28
1.29,1.28,1.31,1.26
1.22,1.20,1.33,1.20
1.24,1.25,1.25,1.23
1.25,1.25,1.32,1.25
1.27,1.35,1.35,1.26
1.32,1.40,1.48,1.32
1.42,1.47,1.60,1.42
1.43,1.37,1.45,1.33
1.41,1.30,1.41,1.25
1.29,1.29,1.43,1.25
1.29,1.30,1.38,1.28
1.28,1.26,1.40,1.25
1.26,1.26,1.35,1.21
1.32,1.26,1.32,1.24
1.23,1.19,1.25,1.15
1.15,1.18,1.29,1.15
1.18,1.11,1.18,1.11
1.09,1.13,1.17,1.07
1.12,1.15,1.15,1.11
1.23,1.21,1.26,1.15
1.20,1.17,1.20,1.14
1.17,1.13,1.17,1.13
1.14,1.15,1.16,1.11
1.17,1.12,1.17,1.11
1.12,1.13,1.13,1.09
1.12,1.07,1.13,1.07
1.08,1.07,1.09,1.06
1.07,1.09,1.10,1.07
1.09,1.10,1.10,1.06
1.09,1.09,1.09,1.05
1.08,1.04,1.09,1.03
1.02,1.07,1.07,1.01
1.10,1.02,1.10,1.02
1.01,1.03,1.03,0.98
1.04,0.98,1.04,0.95
1.02,0.96,1.03,0.93
0.98,0.99,1.02,0.93
1.01,0.95,1.01,0.95
0.94,0.94,0.96,0.92
0.95,0.91,1.00,0.91
0.91,0.93,0.93,0.91
0.93,0.97,0.97,0.92
0.95,1.00,1.00,0.91
1.04,0.98,1.04,0.94
0.98,0.97,0.98,0.94
0.99,0.94,0.99,0.93
0.94,0.94,0.95,0.93
0.95,0.98,0.98,0.93
1.01,0.95,1.05,0.95
0.95,1.00,1.02,0.94
0.96,0.94,1.01,0.94
0.94,0.94,0.94,0.93
0.95,0.95,0.95,0.93
0.93,0.93,0.96,0.93
0.93,0.99,1.01,0.93
0.99,0.97,1.03,0.96
0.97,1.03,1.12,0.96
1.03,1.18,1.22,0.99
1.18,1.09,1.25,1.09
1.18,1.10,1.18,1.05
1.08,1.11,1.11,1.07
1.15,1.01,1.15,0.99
1.01,1.03,1.04,1.00
1.04,1.06,1.10,1.00
1.09,1.03,1.09,1.03
1.05,1.04,1.09,1.04
1.07,1.06,1.07,1.02
1.04,1.05,1.08,1.03
1.08,1.14,1.25,1.08
1.16,1.21,1.23,1.16
1.22,1.22,1.22,1.16
1.23,1.18,1.23,1.16
1.13,1.15,1.19,1.13
1.15,1.16,1.21,1.14
1.16,1.14,1.19,1.13
1.13,1.16,1.19,1.13
1.20,1.14,1.20,1.14
1.15,1.13,1.20,1.09
1.12,1.06,1.14,1.06
1.06,1.02,1.08,0.97
1.02,0.99,1.02,0.99
0.99,1.00,1.01,0.98
0.99,0.96,1.06,0.96
1.00,0.97,1.02,0.95
0.97,0.96,1.00,0.96
0.96,0.96,1.00,0.95
0.98,0.95,1.00,0.94
0.99,0.95,0.99,0.95
0.95,0.98,0.98,0.94
0.97,1.04,1.04,0.96
1.05,1.02,1.08,1.02
1.03,1.01,1.03,1.00
0.99,1.06,1.07,0.99
1.11,1.03,1.11,1.01
1.04,0.96,1.06,0.96
1.00,1.01,1.02,0.96
0.99,1.00,1.01,0.97
1.02,1.00,1.03,0.99
0.99,0.98,1.00,0.98
0.98,0.99,1.01,0.98
1.02,0.98,1.03,0.98
0.98,0.97,1.03,0.97
0.98,0.98,1.00,0.98
0.97,0.96,1.02,0.96
0.97,0.97,1.01,0.96
0.99,1.03,1.05,0.99
1.01,1.08,1.09,1.01
1.02,1.03,1.03,1.01
1.03,1.06,1.06,1.03
1.02,1.06,1.06,1.01
1.03,0.99,1.03,0.98
1.00,1.05,1.07,0.99
1.06,1.04,1.06,1.04
1.03,1.00,1.04,0.98
0.99,0.99,1.02,0.97
0.98,0.99,1.01,0.98
0.98,1.01,1.02,0.98
0.99,1.00,1.01,0.99
0.99,0.99,1.00,0.99
1.00,1.01,1.02,0.99
0.99,0.99,1.01,0.99
0.99,0.99,1.01,0.99
0.99,1.03,1.04,0.99
1.05,1.10,1.12,1.05
1.08,1.12,1.15,1.08
1.14,1.22,1.22,1.14
1.23,1.16,1.23,1.15
1.20,1.10,1.20,1.01
1.10,1.06,1.10,1.04
1.07,1.07,1.10,1.05
1.06,1.08,1.11,1.06
1.06,1.09,1.09,1.06
1.08,1.09,1.10,1.01
1.07,1.07,1.12,1.03
1.06,1.05,1.06,1.03
1.02,1.03,1.04,1.00
1.06,1.05,1.06,1.02
1.05,1.02,1.06,1.01
1.02,1.00,1.03,1.00
0.99,1.00,1.06,0.99
1.00,1.03,1.09,1.00
1.02,1.02,1.06,1.01
1.02,1.06,1.06,1.02
1.05,1.02,1.06,1.02
1.03,1.02,1.06,1.01
1.01,1.01,1.02,1.00
0.99,1.01,1.02,0.93
0.95,1.01,1.01,0.95
0.96,0.96,1.00,0.95
0.98,0.96,0.98,0.95
0.97,0.98,1.01,0.97
0.98,0.98,1.01,0.98
1.01,0.97,1.01,0.97
1.00,0.99,1.00,0.97
1.00,0.97,1.00,0.97
0.97,0.97,0.98,0.97
0.94,0.94,0.97,0.92
0.97,0.91,1.05,0.85
0.95,0.99,0.99,0.95
0.99,0.95,0.99,0.95
0.96,0.96,0.97,0.96
0.96,0.96,0.98,0.95
0.97,0.97,0.98,0.95
0.93,0.96,0.97,0.93
0.95,0.93,0.95,0.92
0.95,0.90,0.95,0.90
0.91,0.88,0.92,0.87
0.91,0.94,0.95,0.91
0.95,0.92,0.95,0.92
0.92,0.92,0.95,0.91
0.92,0.91,0.95,0.89
0.90,0.95,0.97,0.90
0.93,0.92,1.00,0.91
0.98,0.95,1.00,0.95
0.99,0.98,0.99,0.95
0.95,0.97,0.98,0.93
0.93,0.95,0.95,0.92
0.91,0.92,0.97,0.91
0.91,0.92,0.95,0.91
0.92,0.95,0.95,0.92
0.92,0.93,0.95,0.91
0.93,0.93,0.93,0.92
0.91,0.91,0.94,0.90
0.90,0.92,0.95,0.90
0.92,0.93,0.93,0.92
0.92,0.82,0.92,0.82
0.84,0.87,0.91,0.83
0.83,0.84,0.90,0.82
0.87,0.83,0.87,0.82
0.82,0.82,0.87,0.82
0.85,0.76,0.85,0.75
0.79,0.79,0.79,0.77
0.77,0.73,0.79,0.72
0.72,0.75,0.78,0.72
0.75,0.80,0.80,0.73
0.80,0.79,0.89,0.75
0.80,0.86,0.89,0.80
0.85,0.86,0.86,0.82
0.86,0.82,0.88,0.82
0.84,0.88,0.88,0.83
0.84,0.88,0.89,0.84
0.85,0.88,0.89,0.85
0.90,0.85,0.90,0.85
0.86,0.87,0.90,0.86
0.89,0.86,0.89,0.86
0.87,0.86,0.88,0.81
0.89,0.88,0.89,0.83
0.89,0.86,0.89,0.81
0.87,0.84,0.87,0.79
0.83,0.87,0.87,0.82
0.86,0.85,0.87,0.82
0.84,0.83,0.85,0.83
0.83,0.83,0.85,0.81
0.83,0.83,0.87,0.83
0.84,0.83,0.84,0.83
0.84,0.84,0.85,0.81
0.81,0.85,0.85,0.81
0.82,0.85,0.85,0.82
0.82,0.82,0.85,0.82
0.82,0.85,0.85,0.82
0.82,0.81,0.85,0.81
0.81,0.82,0.85,0.81
0.82,0.84,0.84,0.82
0.85,0.84,0.85,0.82
0.83,0.83,0.85,0.83
0.84,0.85,0.85,0.83
0.85,0.84,0.85,0.84
0.84,0.85,0.85,0.83
0.83,0.83,0.85,0.82
0.83,0.85,0.87,0.83
0.83,0.87,0.87,0.83
0.87,0.87,0.87,0.87
0.87,0.84,0.87,0.84
0.83,0.85,0.85,0.83
0.87,0.87,0.87,0.86
0.87,0.83,0.87,0.83
0.83,0.86,0.86,0.83
0.85,0.84,0.86,0.84
0.83,0.82,0.86,0.82
0.82,0.83,0.85,0.82
0.83,0.85,0.85,0.83
0.82,0.85,0.86,0.82
0.85,0.83,0.85,0.83
0.83,0.83,0.85,0.83
0.85,0.86,0.86,0.82
0.84,0.84,0.84,0.84
0.86,0.83,0.86,0.83
0.82,0.84,0.84,0.82
0.82,0.83,0.85,0.82
0.85,0.84,0.85,0.82
0.81,0.80,0.85,0.76
0.77,0.85,0.85,0.77
0.81,0.86,0.86,0.81
0.82,0.83,0.88,0.82
0.85,0.84,0.86,0.84
0.83,0.87,0.87,0.83
0.87,0.86,0.87,0.83
0.82,0.85,0.85,0.82
0.82,0.85,0.86,0.81
0.83,0.81,0.83,0.81
0.81,0.83,0.83,0.81
0.81,0.79,0.85,0.79
0.83,0.76,0.84,0.75
0.75,0.79,0.80,0.74
0.77,0.76,0.78,0.75
0.76,0.72,0.76,0.72
0.76,0.73,0.76,0.73
0.73,0.75,0.75,0.73
0.73,0.75,0.75,0.73
0.75,0.75,0.75,0.75
0.75,0.74,0.75,0.73
0.74,0.76,0.76,0.73
0.75,0.75,0.75,0.73
0.75,0.73,0.77,0.73
0.76,0.73,0.77,0.73
0.73,0.75,0.77,0.72
0.72,0.77,0.77,0.72
0.74,0.73,0.76,0.72
0.73,0.73,0.74,0.73
0.74,0.74,0.75,0.69
0.72,0.71,0.75,0.71
0.72,0.77,0.77,0.70
0.71,0.74,0.77,0.68
0.70,0.70,0.72,0.68
0.70,0.71,0.72,0.70
0.72,0.72,0.73,0.70
0.73,0.78,0.83,0.73
0.79,0.76,0.80,0.76
0.82,0.78,0.82,0.69
0.75,0.73,0.76,0.73
0.73,0.78,0.79,0.73
0.73,0.78,0.78,0.73
0.80,0.76,0.80,0.72
0.77,0.75,0.82,0.75
0.75,0.75,0.80,0.75
0.78,0.83,0.83,0.76
0.83,0.98,1.06,0.83
0.94,0.92,1.02,0.85
1.02,1.05,1.08,0.97
1.07,1.03,1.07,0.98
1.05,1.10,1.17,1.05
1.15,1.12,1.16,1.11
1.05,1.13,1.14,1.01
1.14,1.12,1.14,1.09
1.14,1.22,1.22,1.13
1.20,1.25,1.28,1.15
1.27,1.26,1.32,1.18
1.22,1.26,1.27,1.21
1.26,1.27,1.27,1.22
1.28,1.26,1.29,1.18
1.18,1.28,1.30,1.17
1.28,1.30,1.32,1.26
1.28,1.38,1.41,1.28
1.36,1.37,1.38,1.36
1.37,1.33,1.38,1.33
1.32,1.33,1.37,1.28
1.31,1.31,1.39,1.18
1.33,1.33,1.35,1.32
1.31,1.30,1.35,1.22
1.30,1.30,1.34,1.27
1.33,1.44,1.45,1.30
1.45,1.64,1.70,1.38
1.58,1.61,1.63,1.55
1.62,1.61,1.65,1.60
1.63,1.67,1.73,1.60
1.64,1.58,1.68,1.58
1.58,1.57,1.68,1.57
1.57,1.47,1.60,1.41
1.45,1.46,1.49,1.45
1.44,1.44,1.49,1.39
1.41,1.44,1.48,1.40
1.45,1.50,1.50,1.40
1.45,1.44,1.45,1.33
1.45,1.42,1.45,1.41
1.44,1.45,1.48,1.41
1.45,1.68,1.69,1.45
1.64,1.60,1.70,1.55
1.59,1.69,1.69,1.59
1.68,1.66,1.73,1.64
1.66,1.78,1.83,1.66
1.80,1.85,1.94,1.80
1.86,1.84,1.86,1.84
1.85,1.81,1.85,1.67
1.83,1.71,1.83,1.67
1.73,1.68,1.73,1.61
1.65,1.67,1.76,1.58
1.70,1.73,1.82,1.70
1.73,1.74,1.82,1.67
1.72,1.70,1.76,1.69
1.70,1.68,1.74,1.68
1.68,1.70,1.76,1.65
1.70,1.73,1.78,1.62
1.70,1.69,1.79,1.69
1.73,1.75,1.78,1.65
1.80,1.77,1.81,1.75
1.78,1.79,1.79,1.71
1.75,1.81,1.81,1.68
1.79,1.74,1.82,1.70
1.74,1.76,1.80,1.70
1.80,1.72,1.80,1.72
1.73,1.73,1.74,1.64
1.74,1.71,1.78,1.70
1.69,1.69,1.69,1.69
1.69,1.62,1.73,1.62
1.60,1.64,1.65,1.60
1.61,1.55,1.69,1.51
1.51,1.53,1.56,1.49
1.55,1.46,1.55,1.42
1.41,1.60,1.60,1.41
1.55,1.55,1.60,1.53
1.49,1.60,1.60,1.49
1.52,1.55,1.57,1.52
1.53,1.55,1.56,1.50
1.55,1.53,1.56,1.50
1.55,1.53,1.56,1.53
1.56,1.52,1.56,1.51
1.53,1.51,1.54,1.51
1.51,1.52,1.55,1.44
1.48,1.45,1.52,1.44
1.42,1.57,1.60,1.42
1.58,1.66,1.69,1.54
1.63,1.90,2.00,1.63
1.90,2.08,2.26,1.88
2.07,2.09,2.19,2.05
2.10,2.12,2.15,2.10
2.15,2.30,2.30,2.14
2.30,2.42,2.44,2.20
2.45,2.39,2.45,2.33
2.38,2.38,2.45,2.30
2.44,2.40,2.44,2.31
2.40,2.37,2.45,2.35
2.37,2.40,2.43,1.81
2.30,2.31,2.39,2.24
2.33,2.33,2.44,2.26
2.34,2.30,2.40,2.29
2.30,2.34,2.39,2.29
2.11,2.33,2.38,2.11
2.33,2.33,2.38,2.28
2.36,2.30,2.36,2.28
2.28,2.26,2.32,2.21
2.28,2.31,2.35,2.21
2.30,2.32,2.43,2.27
2.35,2.37,2.41,2.32
2.35,2.41,2.42,2.35
2.43,2.38,2.45,2.37
2.41,2.39,2.44,2.33
2.38,2.28,2.43,2.26
2.26,2.37,2.40,2.20
2.39,2.40,2.45,2.36
2.40,2.53,2.66,2.38
2.49,2.37,2.49,2.34
