TIF,Tiffany & Co. Common Stock,NASDAQ
43.30,43.61,44.04,42.94
44.08,43.96,44.75,43.81
44.33,44.80,44.82,43.66
44.67,44.35,44.94,43.83
44.50,43.79,44.50,43.11
43.78,44.44,44.86,43.78
45.14,43.99,45.36,43.67
44.06,42.17,44.44,42.11
42.40,42.04,42.46,41.45
41.54,40.74,41.91,40.38
40.83,41.02,41.18,40.25
41.14,40.89,41.27,40.46
40.11,38.58,40.15,38.21
38.57,37.91,39.28,37.73
37.71,38.11,38.35,36.45
38.41,37.20,39.11,36.94
37.98,36.29,37.98,35.81
36.37,38.70,38.80,36.27
39.20,38.88,39.59,38.32
38.88,39.02,39.06,38.37
38.79,38.77,39.07,38.31
39.24,40.17,40.50,39.21
40.08,41.04,41.10,39.60
40.91,40.79,41.04,39.93
40.49,39.18,40.57,39.14
39.36,38.80,39.52,38.47
38.25,39.56,39.70,37.98
40.08,39.21,40.33,39.11
39.79,40.71,40.97,39.78
40.81,41.50,41.58,40.46
41.70,42.09,42.14,41.23
42.19,42.01,42.71,41.67
41.83,41.73,42.22,41.41
42.14,41.51,42.40,40.68
40.81,42.07,42.28,40.13
42.75,43.55,43.95,42.53
43.49,42.25,43.55,41.69
42.38,42.45,42.86,42.19
42.02,43.26,43.40,41.63
42.62,43.34,43.34,42.19
43.36,44.40,44.57,43.36
43.94,44.01,44.20,43.24
43.13,42.48,43.33,42.19
41.70,42.44,42.62,41.25
42.30,41.79,42.60,41.78
41.51,41.68,42.09,41.35
42.23,42.76,43.17,42.14
42.75,43.51,43.82,42.23
43.48,43.21,43.94,42.51
42.73,43.30,43.34,42.19
43.65,43.05,44.12,42.93
42.37,41.98,42.77,41.50
41.64,42.21,42.48,41.19
42.38,42.04,43.06,42.03
42.15,40.71,42.49,39.51
40.69,39.84,40.87,39.78
39.67,39.63,40.66,39.43
40.07,41.13,41.35,40.06
41.36,42.05,42.11,41.30
42.54,42.80,43.15,42.10
42.67,42.08,42.78,41.99
42.11,42.50,42.71,42.03
43.10,42.15,43.10,41.91
42.19,42.50,42.66,42.14
43.00,43.55,43.64,42.97
43.51,43.80,44.54,43.30
43.54,43.87,43.91,43.31
43.34,44.42,44.43,43.33
44.58,44.98,45.06,44.24
45.12,46.18,46.33,44.97
46.24,45.57,46.27,45.00
45.35,45.56,45.90,45.14
43.47,44.69,45.07,43.20
45.39,45.51,45.65,45.21
45.62,45.86,46.12,45.33
46.04,47.11,47.17,45.32
47.01,46.71,47.01,46.50
46.88,46.99,47.20,46.27
47.72,46.97,47.72,46.48
46.77,46.45,46.89,45.92
46.98,47.74,48.00,46.73
47.67,47.46,47.85,47.11
47.80,47.79,48.23,47.15
47.94,48.51,49.05,47.88
48.63,49.26,49.61,48.63
49.01,49.83,50.19,48.67
50.27,49.90,50.56,49.51
49.83,49.44,49.87,48.97
50.01,50.54,50.59,49.53
50.33,50.61,50.83,50.18
49.99,49.40,50.24,49.19
49.42,49.85,50.14,49.38
50.16,50.54,51.45,49.94
50.58,50.48,50.88,50.20
51.00,51.50,51.79,50.99
51.10,52.41,52.88,51.10
51.94,51.59,52.28,50.99
51.85,51.50,52.17,50.85
51.54,53.00,53.00,51.46
53.12,53.48,53.97,52.96
53.74,54.10,54.48,53.71
54.17,53.90,54.29,53.18
54.44,55.87,55.94,54.26
55.97,56.95,57.38,55.80
56.64,56.97,57.04,56.20
57.25,56.84,57.79,56.52
56.80,57.67,57.69,56.36
56.90,57.04,57.78,56.80
57.02,55.66,57.73,55.40
56.13,56.21,57.24,56.09
55.83,54.54,56.90,54.20
54.65,55.66,56.20,54.65
56.59,56.87,57.35,55.54
56.89,58.03,58.07,56.30
57.88,59.22,59.59,57.65
58.50,58.27,59.03,57.25
60.41,61.33,61.58,59.75
61.16,60.60,61.19,60.31
60.48,60.64,60.98,59.89
60.11,62.10,62.67,59.90
62.95,62.75,63.65,62.39
62.90,63.20,63.42,62.50
62.80,63.30,63.39,62.14
63.12,63.07,63.29,62.55
64.07,63.10,64.40,63.04
63.32,62.69,63.46,62.12
63.22,62.57,63.23,62.30
62.63,63.68,63.83,62.60
64.20,63.52,64.28,63.48
63.54,63.17,63.95,62.89
63.33,63.36,64.17,62.95
63.15,64.61,64.81,63.05
64.14,65.16,65.20,64.11
65.30,65.27,65.50,64.50
65.63,65.44,65.76,65.17
65.34,64.20,65.36,63.91
64.03,64.24,64.28,63.58
63.88,63.84,64.11,63.29
63.91,63.30,64.23,63.26
63.32,64.00,64.37,63.32
63.87,63.11,64.16,62.76
63.08,62.27,63.08,62.11
62.28,61.78,62.56,59.68
61.71,60.61,61.71,60.15
60.26,60.52,60.94,60.16
60.53,60.19,60.58,59.49
60.16,59.35,60.83,58.37
58.98,60.94,61.15,58.70
62.81,60.56,62.81,60.00
61.25,60.99,61.45,60.67
60.83,59.88,60.98,59.74
59.74,60.05,60.54,59.47
60.03,59.02,60.17,58.90
59.09,58.22,59.12,58.06
57.75,57.76,58.80,57.20
58.36,57.83,58.52,57.61
57.29,58.13,58.32,57.29
57.76,58.60,58.65,57.21
58.67,59.11,59.74,58.10
59.18,59.12,59.52,58.91
59.10,57.54,59.25,57.35
57.80,58.13,58.50,57.25
58.79,59.01,59.60,58.45
58.79,58.55,59.03,57.96
59.05,60.82,60.91,59.05
62.47,61.96,62.69,61.14
61.73,62.38,62.98,61.73
62.46,62.25,62.70,62.04
61.88,62.79,63.21,61.83
62.62,63.40,63.45,62.34
62.96,64.45,64.49,62.52
64.59,64.72,65.59,64.33
64.34,64.06,64.93,63.68
64.36,63.99,64.93,63.48
63.75,63.86,64.71,63.70
64.00,64.70,64.70,63.84
63.33,62.70,64.60,62.60
62.73,59.96,62.73,58.98
59.98,60.55,61.11,59.62
61.00,61.15,61.84,60.36
61.39,61.55,62.31,61.25
61.77,60.29,62.09,60.23
60.19,60.72,61.35,59.98
61.29,62.12,62.23,60.65
62.05,62.59,62.68,61.77
64.02,62.97,65.19,62.65
63.10,63.70,64.62,62.89
63.64,63.74,63.84,62.95
62.96,61.90,63.11,61.76
61.10,63.19,63.41,60.85
61.45,59.86,61.68,58.88
56.12,57.68,58.09,54.58
57.56,56.27,58.18,55.60
57.08,56.67,57.42,55.77
57.50,57.29,57.69,56.50
61.62,60.22,62.28,59.73
60.00,59.49,60.22,59.24
59.30,59.37,59.95,57.90
59.93,59.60,60.14,58.67
59.93,60.00,60.58,59.49
60.09,58.60,60.27,58.60
58.54,60.74,60.74,58.54
60.84,61.60,61.67,60.50
61.45,61.44,61.83,60.69
61.75,62.52,62.82,61.69
62.39,62.43,62.62,61.70
62.16,63.24,63.77,62.15
63.62,62.62,63.85,62.41
61.99,62.21,63.09,61.17
62.60,61.43,62.71,61.12
61.75,62.05,62.19,61.34
61.57,61.48,62.33,61.29
61.71,62.31,62.37,61.31
61.76,63.16,63.29,61.52
63.34,65.00,65.18,62.99
64.13,63.80,64.47,63.22
63.90,64.10,64.75,63.89
64.95,65.76,65.96,64.78
65.80,66.92,67.26,65.65
66.61,66.85,67.00,66.47
67.05,66.68,67.33,66.38
66.91,68.75,68.85,66.58
68.71,68.46,68.94,68.14
68.56,69.44,69.72,68.23
69.71,68.86,70.26,68.72
68.62,67.97,68.99,67.59
67.89,67.39,68.89,66.94
66.80,68.11,68.85,66.48
68.95,67.66,69.16,67.22
67.76,68.03,68.32,67.14
68.45,69.35,69.76,68.08
68.94,68.25,69.34,67.42
67.97,69.18,69.25,67.38
69.35,68.95,69.54,68.29
68.65,68.91,69.43,68.47
68.47,68.45,69.08,67.77
68.45,70.13,70.17,68.18
70.45,70.26,70.45,69.35
70.00,69.24,70.26,68.78
68.29,68.27,68.90,68.10
68.62,68.86,69.54,68.62
68.13,70.04,70.39,67.57
73.17,76.04,76.88,73.17
76.07,76.50,76.61,75.03
76.80,75.66,77.02,75.17
73.81,73.38,74.79,73.24
73.45,73.58,74.02,72.20
72.51,73.24,74.34,72.06
73.25,72.73,74.00,72.68
73.88,73.40,74.86,73.36
73.42,72.58,73.88,72.30
72.93,72.65,73.28,72.23
72.40,71.41,72.53,70.96
71.50,72.51,72.86,71.50
73.28,74.43,74.59,73.01
73.55,73.04,74.19,72.57
72.79,72.71,72.97,71.72
73.35,73.80,74.09,73.04
73.42,74.99,75.34,73.19
75.27,76.85,76.99,74.88
76.57,76.43,77.92,76.31
74.69,76.27,76.35,74.23
75.58,75.70,76.84,75.37
75.78,76.38,77.00,75.10
76.80,77.93,78.35,76.68
78.18,77.74,78.55,77.14
78.17,78.52,79.00,78.03
78.80,79.40,79.58,77.92
79.36,81.14,81.57,79.07
81.00,81.43,81.97,80.64
82.08,83.05,84.49,81.79
81.86,82.30,82.86,81.65
81.41,80.58,81.99,80.16
80.00,80.50,81.25,80.00
81.17,82.08,83.00,81.03
82.33,81.47,82.93,80.56
82.71,81.88,82.90,80.95
81.38,81.19,81.76,80.64
81.75,83.82,84.06,81.71
84.45,83.44,84.45,82.89
83.91,83.09,84.12,82.78
82.91,82.91,83.60,82.74
82.00,81.72,82.57,81.50
81.83,81.56,82.39,81.27
81.27,79.05,81.40,78.95
79.33,79.42,80.87,79.23
79.11,79.59,79.97,77.92
80.72,79.97,80.81,78.30
79.02,73.38,79.74,73.30
73.72,73.07,73.76,70.96
72.95,68.00,73.75,67.78
68.79,69.14,70.05,66.81
66.54,62.27,67.40,60.63
63.63,66.50,66.51,61.15
64.86,65.41,67.92,63.25
65.70,67.68,68.70,64.75
68.83,68.31,69.78,67.30
68.64,68.20,68.67,66.96
67.01,65.66,67.73,64.93
66.19,64.27,66.24,63.35
62.00,59.21,62.11,58.56
58.05,57.36,60.70,57.21
58.95,59.04,59.83,58.06
59.23,62.72,62.74,58.81
62.56,63.67,63.84,61.54
65.09,63.11,67.34,62.70
66.89,69.01,69.50,65.63
70.05,71.52,71.63,69.50
70.96,71.25,71.92,70.23
71.77,71.96,72.84,70.75
71.95,71.02,73.05,70.80
69.45,68.00,69.49,67.52
65.79,68.65,68.76,65.38
69.92,70.84,70.86,69.61
70.17,70.36,72.00,69.85
69.39,68.49,70.89,67.76
67.65,69.85,69.87,67.14
70.21,72.45,72.74,69.44
72.77,73.99,74.99,71.88
74.50,75.11,75.85,73.37
75.31,75.00,76.29,74.57
73.48,76.07,76.78,73.07
76.54,75.04,77.84,75.02
75.25,72.19,76.26,72.13
68.47,67.47,69.89,66.11
67.14,70.53,71.40,67.14
70.80,69.89,71.78,68.02
71.68,70.85,73.24,70.30
70.61,69.49,71.58,69.34
70.85,64.70,70.89,61.77
63.07,60.82,63.73,60.20
59.80,58.79,62.18,58.66
57.90,61.96,62.25,56.21
62.34,62.58,62.86,60.90
62.03,66.58,67.13,62.03
67.00,66.37,68.25,65.52
67.76,69.92,70.50,67.76
69.26,69.76,69.97,68.55
70.66,71.34,73.51,70.09
70.46,70.35,72.19,69.79
71.63,72.03,72.72,70.45
72.61,70.12,73.36,69.91
70.43,71.29,72.34,68.77
71.32,71.16,72.67,70.70
70.91,72.39,72.66,70.91
73.19,74.60,74.99,72.86
74.57,76.28,76.40,74.14
74.92,74.42,76.12,73.50
75.78,75.49,76.02,73.14
78.00,79.49,80.99,76.73
78.50,78.90,79.64,77.78
77.59,79.73,80.94,77.45
76.27,77.08,77.89,74.86
78.58,78.75,79.00,77.39
79.00,78.54,79.00,75.55
77.54,77.94,78.27,76.08
78.16,77.84,78.52,76.17
78.51,77.79,78.89,76.22
75.70,75.41,76.79,74.50
76.12,75.13,76.33,74.22
76.33,76.85,78.00,75.37
76.66,78.23,78.43,76.34
77.94,77.79,78.32,76.44
77.04,75.79,77.47,75.63
75.83,74.94,76.76,74.31
75.39,75.44,75.69,74.34
73.76,71.87,74.41,70.76
72.11,71.96,73.40,71.71
71.36,69.12,71.56,69.10
68.66,69.50,70.24,68.66
73.80,73.62,74.88,72.49
66.43,67.22,68.41,63.98
69.56,67.04,69.90,65.98
66.26,66.35,68.24,66.10
67.37,67.60,67.98,67.12
68.48,67.89,69.48,67.52
68.07,68.97,69.34,67.78
68.91,69.46,69.89,67.79
68.80,66.93,69.11,66.79
67.05,67.88,68.29,66.57
67.04,67.67,67.72,65.90
67.85,65.19,68.25,64.73
64.96,63.65,64.96,63.25
64.50,63.94,64.66,63.49
63.90,62.61,64.12,62.38
62.55,62.43,63.14,62.22
63.24,63.14,64.14,62.69
63.27,64.65,64.65,62.60
64.91,64.57,65.37,64.18
64.59,65.18,65.19,63.80
65.17,67.45,67.79,64.64
67.56,66.50,67.56,66.40
66.76,67.36,67.60,66.41
67.38,66.26,67.44,66.22
67.57,66.48,67.95,66.18
66.26,66.79,67.22,65.93
66.14,66.68,66.77,65.25
66.70,65.75,66.85,65.59
65.99,66.94,67.31,65.39
60.64,59.94,60.86,58.81
59.40,59.98,60.20,59.12
60.08,59.79,60.20,58.78
58.80,59.10,60.00,58.61
59.64,59.65,60.14,59.31
59.62,60.54,60.55,59.26
60.87,63.08,63.24,60.82
63.03,61.88,63.19,61.49
61.40,63.01,63.27,61.17
62.80,63.28,63.70,62.29
63.02,63.73,64.30,62.49
63.99,63.56,64.25,63.07
63.25,63.49,63.78,62.92
62.71,63.30,63.41,62.46
63.42,63.80,64.15,63.26
64.20,63.94,64.61,63.65
64.27,63.70,64.75,63.52
64.27,65.21,65.69,64.05
65.01,65.16,65.60,64.58
64.58,64.64,65.00,63.68
64.42,64.01,65.39,63.49
64.14,64.18,64.59,63.53
63.65,63.88,64.19,63.29
64.28,64.36,64.89,63.85
63.91,65.57,65.80,63.91
65.89,65.41,66.56,65.29
65.31,65.79,66.24,65.15
66.10,66.28,66.82,65.95
66.44,65.59,66.96,65.36
65.71,64.49,65.79,64.46
64.87,64.48,65.04,64.22
64.69,64.68,65.08,64.32
64.42,64.89,65.36,64.18
65.06,65.24,65.47,64.76
65.42,65.01,65.42,64.73
65.03,66.53,66.88,64.75
66.38,67.47,67.65,66.21
68.17,68.03,68.50,67.29
67.18,67.10,67.32,66.10
67.64,67.84,68.22,67.14
68.11,68.90,69.26,68.00
69.15,68.77,69.50,68.61
69.08,69.14,69.48,68.68
69.41,70.44,70.58,69.32
70.55,70.19,70.89,69.86
70.15,68.95,70.15,68.71
68.88,68.03,68.92,67.55
68.05,68.68,68.89,67.29
72.22,73.27,74.20,71.87
72.78,72.91,73.50,72.57
72.33,72.48,72.89,71.80
72.48,71.45,72.48,70.71
70.49,72.33,72.39,70.33
72.30,71.69,72.53,71.61
71.50,70.07,71.66,69.64
69.65,69.05,69.76,68.93
69.50,69.13,70.16,68.46
69.00,70.02,70.47,68.91
69.82,67.98,70.00,67.88
67.57,68.19,68.34,67.43
67.18,67.58,68.67,67.11
66.55,67.20,67.58,65.77
67.20,65.82,67.45,65.53
66.60,66.76,67.22,66.28
66.68,67.37,67.40,66.57
67.23,66.40,67.62,66.40
66.80,66.66,67.22,66.01
66.67,66.96,67.32,66.15
66.96,66.43,66.96,66.15
66.35,66.15,67.11,65.59
66.41,67.15,67.50,66.37
66.28,67.00,67.13,65.78
66.82,65.93,66.89,65.61
66.80,68.41,68.43,66.59
68.13,68.74,69.00,67.92
69.22,69.47,69.77,68.64
69.61,68.46,69.67,68.11
68.44,68.73,69.41,68.02
68.22,68.53,68.86,67.83
68.76,67.97,68.97,67.65
67.63,65.95,67.67,65.87
65.81,65.71,66.36,65.50
64.99,64.75,64.99,62.91
64.04,64.14,64.56,63.10
64.57,63.63,64.98,63.47
63.16,63.04,63.85,62.99
61.67,61.59,62.50,61.51
61.65,61.25,62.15,61.00
61.44,62.15,63.28,61.37
61.98,60.07,62.17,60.07
60.23,60.64,61.40,60.03
61.02,61.14,61.35,60.15
61.56,61.44,62.85,61.07
61.18,61.80,61.99,60.07
56.29,57.59,57.68,55.75
56.99,56.32,57.56,56.25
56.50,57.37,57.80,56.50
56.94,56.59,57.25,56.07
56.76,55.39,56.82,54.92
54.29,54.34,54.54,53.67
54.70,54.70,55.15,53.46
55.05,55.47,55.85,54.26
56.05,56.59,57.07,56.05
57.23,55.87,57.29,55.19
55.53,55.28,55.53,54.62
55.96,54.32,56.18,54.21
54.61,55.53,55.64,53.82
54.91,54.06,55.22,53.75
53.79,53.54,54.46,53.07
53.84,53.59,53.86,53.42
52.93,53.75,53.99,52.74
53.97,53.70,54.27,53.49
54.01,54.09,54.78,53.61
53.97,52.60,54.09,52.20
52.67,52.26,52.77,51.81
51.73,51.32,51.88,50.58
51.29,51.65,52.13,50.56
51.64,50.29,51.64,49.72
50.14,51.07,51.31,49.95
51.82,52.95,53.40,51.48
53.49,52.89,53.50,52.25
53.17,53.70,54.24,52.68
53.18,54.06,54.71,53.18
53.57,53.45,53.64,53.14
53.27,52.40,53.45,52.07
52.45,51.83,53.15,51.46
51.53,51.61,51.80,50.90
51.08,50.85,51.46,50.52
51.05,52.16,52.46,50.95
52.02,52.55,53.25,51.81
52.60,52.87,53.63,52.18
53.52,55.25,55.58,53.38
55.78,57.18,57.31,55.58
56.71,55.97,56.71,55.54
54.98,55.16,55.32,53.83
55.11,54.71,55.46,54.13
54.99,54.66,55.31,54.29
55.59,56.04,56.28,55.11
56.50,57.43,58.11,56.49
57.37,57.21,57.80,56.57
54.50,54.93,55.50,52.92
55.25,54.77,55.87,54.59
54.47,53.58,54.59,52.76
54.08,54.74,55.12,53.78
55.07,56.33,56.83,55.05
56.70,58.00,58.46,56.70
57.44,58.30,58.53,56.87
58.05,58.62,59.10,58.02
58.48,58.48,58.53,57.76
58.48,58.31,58.72,58.13
58.42,59.18,59.50,58.42
59.03,59.41,59.69,58.94
59.42,59.63,59.86,59.00
60.86,60.66,61.16,60.54
60.67,59.45,60.69,59.23
59.66,59.02,59.99,58.86
58.93,58.62,58.99,58.13
58.47,58.46,58.61,57.93
58.04,58.50,58.55,57.80
61.69,62.71,63.22,61.62
62.36,62.50,62.84,61.80
62.40,62.75,63.00,62.34
62.31,61.72,62.75,61.65
62.04,61.95,62.40,61.64
61.73,60.49,61.95,59.01
59.30,59.31,60.75,59.26
59.92,60.74,61.12,59.61
60.98,62.64,63.06,60.98
62.74,63.04,64.61,62.50
61.79,62.26,62.74,61.60
62.32,62.55,63.00,61.77
63.21,63.98,64.27,61.87
64.22,65.60,65.92,64.22
65.36,65.30,65.72,64.65
64.90,64.08,65.07,63.70
64.37,64.56,64.93,63.93
64.03,64.30,64.77,63.64
64.60,63.51,64.68,63.25
63.05,63.34,63.68,62.90
63.61,61.59,63.77,61.53
61.51,61.18,61.73,60.46
61.56,61.90,62.22,60.77
61.50,61.88,62.08,60.69
62.35,61.50,62.81,61.27
61.72,62.08,62.23,61.07
62.30,62.35,63.27,62.05
62.60,62.97,63.35,62.36
63.40,63.01,64.12,62.69
62.86,62.97,63.59,62.47
62.96,62.11,63.25,61.94
62.25,61.51,62.68,61.36
62.26,62.59,63.62,62.18
62.59,62.21,62.90,61.90
62.39,61.80,62.71,61.52
62.01,64.06,64.56,61.95
64.49,64.92,65.02,64.14
64.64,64.87,65.00,63.95
64.82,64.20,64.96,63.63
63.77,64.01,64.21,63.25
63.31,63.08,63.52,62.27
63.46,63.05,63.89,62.78
63.54,63.04,63.68,62.16
63.18,62.57,63.44,61.85
62.70,63.22,63.68,62.39
63.16,66.27,66.78,63.16
66.51,65.25,66.58,65.15
65.00,65.31,65.84,64.65
65.37,65.36,65.67,64.53
64.71,62.92,64.71,62.59
63.05,61.09,63.43,60.96
60.69,60.99,62.00,60.23
61.27,61.41,61.75,60.90
61.25,61.24,62.22,60.84
61.50,60.31,62.28,60.14
60.35,59.37,60.67,58.88
59.73,59.54,60.25,58.91
60.10,60.93,61.57,60.10
60.97,60.84,61.50,60.47
61.21,61.23,61.70,60.50
61.55,62.07,62.25,61.39
62.13,63.34,63.39,61.94
63.30,62.63,63.78,62.26
62.48,63.73,64.25,62.35
58.50,59.80,60.00,58.18
58.87,58.98,59.49,57.87
58.96,58.16,58.96,57.88
58.03,58.88,59.28,57.84
59.00,58.32,59.26,58.18
58.45,58.62,58.73,58.07
59.08,58.42,59.43,58.13
58.38,57.48,58.73,57.03
57.86,57.85,58.06,57.13
58.07,57.39,58.10,57.17
57.38,57.52,57.99,57.05
57.46,58.09,58.62,57.35
58.14,58.83,59.00,57.98
58.49,59.87,59.91,58.37
59.90,58.99,60.34,58.96
59.00,58.51,59.12,57.74
57.90,58.40,58.48,57.63
58.33,58.32,58.47,58.03
58.22,56.68,58.28,56.60
56.67,57.03,57.09,55.83
56.79,56.44,57.20,55.99
56.30,57.34,57.60,56.11
58.11,58.93,59.35,57.11
60.14,60.28,61.99,58.94
61.01,61.18,61.60,60.56
60.97,61.10,61.36,60.13
61.10,62.60,63.11,60.65
62.54,63.26,63.76,62.41
58.73,60.40,61.50,58.65
60.00,60.28,60.40,59.53
60.61,61.25,61.28,60.30
61.10,63.24,63.42,60.75
62.74,63.76,63.86,62.24
63.40,63.66,63.92,62.94
63.70,63.80,63.90,62.73
63.57,63.14,63.70,62.50
61.65,62.73,63.50,61.62
61.84,62.31,62.87,61.74
63.17,64.17,64.58,63.00
64.24,63.84,64.24,63.47
63.63,64.55,64.72,63.45
64.49,65.18,65.26,64.15
64.81,65.75,66.00,64.78
66.09,64.77,66.39,63.57
61.55,62.17,63.67,61.42
62.42,63.72,63.85,62.13
63.58,63.19,64.14,62.73
63.19,62.70,63.25,62.22
62.90,62.89,63.00,62.47
62.88,63.10,63.30,62.67
63.27,63.60,63.67,63.04
63.72,63.45,63.79,63.17
63.15,63.70,63.90,62.82
63.79,64.78,65.28,63.66
64.78,65.65,65.69,64.45
65.65,64.40,65.65,64.38
64.18,64.28,64.75,63.95
64.52,64.38,64.85,63.85
64.63,64.01,65.35,64.01
64.49,66.01,66.12,64.07
65.91,66.66,66.96,65.24
66.51,67.16,67.50,66.36
66.94,69.04,69.29,66.77
68.66,70.48,70.52,67.66
70.70,70.17,70.74,69.74
70.14,70.06,70.48,69.66
70.47,70.88,71.08,70.06
70.01,70.25,70.71,69.58
70.01,69.11,70.02,68.97
68.82,68.46,69.00,68.22
68.48,68.84,69.05,68.35
68.90,69.09,69.19,68.64
69.00,69.42,69.48,68.55
68.47,68.83,68.96,67.84
68.97,68.50,69.03,67.99
69.23,69.59,69.78,68.57
69.10,67.91,69.37,67.75
70.15,69.23,70.78,68.82
69.51,68.23,69.75,67.86
68.38,68.41,68.86,67.80
67.98,68.42,68.48,67.87
68.31,69.54,69.61,68.27
69.69,70.24,70.72,69.43
70.64,72.00,72.48,70.56
71.42,70.81,71.96,70.19
70.79,70.87,71.11,70.46
69.75,70.61,70.76,69.31
70.53,70.91,71.17,70.40
71.00,71.01,71.23,70.49
71.31,72.33,72.45,71.21
72.62,73.38,74.20,72.27
72.96,72.67,73.29,72.18
72.53,70.31,72.58,70.10
71.08,71.52,71.60,70.67
71.06,70.36,71.48,70.14
70.53,69.47,70.99,68.91
69.66,70.11,70.37,69.58
70.17,71.06,71.25,69.35
72.20,71.81,72.54,71.07
71.92,72.29,72.63,71.74
72.48,72.96,73.66,72.42
72.87,72.93,73.21,72.64
73.02,73.06,73.76,72.69
72.90,73.68,74.08,72.90
73.57,73.57,74.20,73.34
73.89,74.39,74.69,73.73
75.00,75.31,75.85,74.79
75.29,75.55,76.15,75.24
74.73,75.45,75.47,74.14
75.14,76.06,76.29,75.11
76.08,75.81,76.73,75.47
75.83,76.50,76.77,75.67
76.28,76.59,76.92,76.04
76.50,76.68,76.84,76.25
76.58,76.58,76.87,76.28
76.50,76.49,77.33,76.31
76.64,78.00,78.29,76.47
77.90,77.91,78.29,77.53
78.00,78.38,78.59,77.92
78.61,77.32,79.35,77.07
76.40,76.19,76.67,75.79
75.71,76.21,76.40,75.23
80.78,79.22,81.25,78.60
78.83,78.32,78.91,77.51
78.46,78.18,78.46,77.92
78.25,77.78,79.50,77.77
77.74,78.94,78.96,77.62
78.66,78.84,79.42,78.36
78.50,77.83,79.03,77.68
77.64,77.90,77.95,76.74
78.72,79.30,79.46,78.52
79.40,78.67,79.56,78.34
78.02,77.07,78.03,76.85
77.47,76.40,77.86,76.33
76.07,75.34,76.21,74.28
75.46,75.48,76.34,75.25
75.97,75.76,76.41,75.34
75.63,76.59,77.22,75.42
76.72,75.07,76.76,75.00
