RE,Everest Re Group,NASDAQ
72.92,73.70,73.74,72.62
73.34,72.64,74.21,72.54
71.30,72.33,72.48,70.09
72.78,71.78,72.78,71.75
72.93,73.98,74.05,72.53
73.60,72.68,73.93,72.65
72.16,70.96,72.82,70.92
71.40,72.16,72.16,70.96
72.11,71.99,72.30,71.52
71.08,70.01,71.46,69.93
70.11,69.57,70.45,69.36
69.63,70.41,70.42,68.71
70.50,70.01,70.91,69.78
70.83,71.26,71.45,70.83
70.73,71.50,71.50,70.21
71.91,72.21,72.76,71.50
72.39,74.00,74.19,72.15
73.83,73.83,74.08,73.38
74.05,75.21,75.24,74.00
75.22,75.88,76.15,74.92
76.73,75.09,76.73,75.01
75.22,74.02,75.42,74.00
73.95,72.08,74.05,72.05
71.76,71.27,72.11,71.20
71.60,71.76,71.94,70.88
71.72,72.24,72.68,71.49
71.47,70.30,71.47,70.00
70.32,70.72,71.42,70.08
70.86,69.85,70.86,68.96
70.25,69.48,70.45,69.41
70.27,69.24,70.61,68.85
69.45,71.06,71.06,69.44
71.72,72.18,72.22,71.24
71.92,73.22,73.29,71.88
72.98,72.97,73.27,72.49
73.33,74.41,74.54,73.33
74.34,74.53,74.56,73.61
74.75,73.77,74.75,73.24
73.41,71.67,73.48,71.58
71.73,71.74,72.01,71.13
71.17,72.44,72.53,70.72
72.57,71.28,72.77,71.11
72.12,73.42,73.44,72.11
73.22,73.90,74.04,72.98
74.10,74.82,74.99,73.95
74.74,74.24,75.42,74.14
73.65,72.80,74.54,72.66
74.12,76.90,77.46,74.12
76.32,77.62,77.83,75.90
78.72,78.42,79.11,77.93
77.99,77.57,78.16,77.40
78.00,78.20,78.69,77.79
78.14,78.50,78.87,78.01
78.00,79.59,79.65,77.38
79.70,80.26,80.40,79.61
79.88,79.96,80.32,79.32
79.12,78.48,79.31,78.12
77.50,78.94,79.14,77.50
78.94,79.11,79.49,78.54
78.65,79.31,79.44,78.42
79.85,80.57,80.97,79.85
80.44,80.70,81.16,79.75
80.05,79.77,80.66,79.63
79.23,80.59,80.72,79.01
80.82,80.15,81.65,80.15
79.54,80.30,81.02,78.98
79.99,80.94,81.04,79.83
81.32,78.95,81.32,78.73
79.51,81.00,81.00,78.36
80.43,79.88,80.68,79.86
79.44,79.14,79.63,78.68
80.20,80.50,81.17,79.82
80.74,80.50,81.00,80.23
80.85,82.58,82.69,80.58
82.13,80.84,82.34,80.78
81.45,82.13,82.39,81.29
82.91,82.51,82.99,82.16
82.70,82.12,82.70,81.86
82.81,83.24,83.28,82.35
83.11,83.39,83.71,82.71
83.16,84.02,84.21,82.98
83.89,84.68,84.77,83.59
84.77,85.05,85.49,84.52
85.07,84.81,85.19,84.03
84.94,84.38,85.13,84.24
84.28,84.11,84.90,84.11
83.76,83.51,84.53,83.48
84.46,84.66,85.16,84.14
84.86,85.16,85.78,84.12
85.39,86.13,86.36,84.18
85.78,86.01,86.25,85.20
86.60,86.47,87.06,86.04
87.09,85.19,87.15,84.65
85.16,85.18,85.79,84.38
85.99,86.65,86.72,84.63
86.44,85.32,86.71,85.09
85.47,86.00,86.45,85.47
86.23,86.00,86.33,85.47
86.18,81.61,87.11,81.11
81.52,82.72,82.99,80.76
82.79,83.97,85.01,82.55
83.76,84.76,84.79,82.82
84.95,84.22,85.18,84.18
84.35,84.71,84.73,83.85
83.86,82.98,84.58,82.66
83.23,84.43,84.63,83.23
84.53,84.24,85.05,83.85
84.09,84.06,84.60,84.00
84.48,84.53,85.11,84.40
84.47,84.81,85.55,84.38
84.12,84.15,84.59,83.78
84.54,83.56,84.54,83.29
83.40,84.28,84.47,83.10
84.87,84.56,85.94,84.16
85.28,85.47,85.72,85.04
85.52,86.13,86.56,85.45
86.60,88.33,88.42,86.39
88.41,88.82,88.94,88.13
88.37,87.98,88.49,87.56
88.26,87.69,89.11,87.50
87.59,88.38,88.62,87.36
87.65,87.95,88.18,87.09
87.66,86.56,88.28,86.53
86.80,86.31,87.61,85.99
85.91,85.60,86.22,84.97
85.76,85.01,85.80,84.92
85.83,85.82,86.20,85.19
85.58,84.81,85.58,84.65
84.12,84.50,85.15,84.00
83.81,84.20,84.87,83.67
84.85,85.58,85.97,84.47
84.82,84.69,85.41,83.94
84.11,84.12,84.20,82.19
83.42,83.49,83.83,82.72
84.18,84.03,84.65,83.89
84.10,84.19,84.66,83.95
83.82,84.31,84.56,83.72
84.07,84.35,84.67,83.84
85.02,84.85,85.85,84.79
84.84,84.79,85.22,84.43
85.23,85.03,85.23,84.34
85.19,85.81,86.11,85.02
85.97,86.20,86.78,85.87
86.34,86.03,87.10,85.87
85.77,84.88,86.94,84.85
84.97,85.00,85.32,84.23
84.90,84.68,85.00,84.51
84.72,84.36,84.97,84.12
84.38,84.39,84.86,84.27
84.36,85.27,85.79,84.20
84.71,85.10,85.68,84.69
84.94,85.54,85.58,84.51
85.60,85.25,85.83,85.14
85.32,85.05,85.44,84.73
84.94,85.21,85.71,84.93
84.97,84.82,85.46,84.80
85.91,85.20,85.91,84.84
85.41,84.03,85.78,83.79
83.60,83.25,83.72,83.01
83.22,83.29,84.06,82.84
83.31,82.61,83.45,82.14
82.17,82.55,82.92,82.17
82.89,83.37,83.53,82.59
83.63,84.29,84.35,83.53
84.15,83.31,84.25,83.18
83.27,83.40,83.79,83.09
83.49,83.78,83.78,82.94
83.55,83.19,83.87,83.09
82.95,83.48,83.63,82.86
83.80,83.27,83.80,82.70
83.44,84.69,84.84,83.35
84.33,85.75,85.97,84.33
85.85,85.79,86.06,85.47
85.60,86.31,86.54,85.60
85.81,84.88,86.28,84.84
84.84,84.28,85.35,84.28
84.82,85.23,85.70,84.57
84.95,84.91,85.26,84.55
84.95,84.98,85.30,84.76
85.07,85.39,85.52,85.07
85.50,86.12,86.29,85.47
86.23,86.58,86.70,86.23
86.63,85.72,86.63,85.65
84.14,86.41,86.46,83.47
86.43,88.60,89.12,86.43
88.61,87.79,88.69,87.41
87.48,88.18,88.35,87.38
88.26,88.45,89.09,88.10
88.26,89.10,89.41,88.03
88.92,90.58,90.69,88.61
89.43,87.87,89.43,87.40
87.77,86.96,88.21,86.96
87.02,86.38,87.45,85.79
86.94,88.23,88.57,86.70
88.07,88.65,89.36,87.93
88.98,87.58,89.14,87.56
87.72,87.40,88.21,87.26
87.69,88.28,88.68,87.40
88.26,87.20,88.28,87.13
87.30,86.58,87.65,86.48
86.82,88.00,88.32,86.51
87.84,87.69,88.26,86.93
86.70,85.87,86.89,85.78
83.33,83.52,84.85,80.62
81.87,82.30,82.96,81.28
80.75,82.08,82.71,80.32
81.92,81.61,82.73,81.61
82.21,81.83,82.23,81.05
82.23,81.74,82.87,81.74
82.71,82.98,83.07,82.42
82.78,81.68,83.53,81.65
81.43,82.03,82.51,80.70
82.29,82.59,82.91,82.22
82.69,82.95,83.41,82.16
83.03,82.61,83.13,82.61
82.45,83.00,83.12,82.37
83.14,83.43,83.64,82.40
83.46,88.18,88.33,83.46
88.43,90.46,90.66,88.35
92.67,92.45,93.79,91.86
92.10,92.14,93.20,91.01
92.75,93.76,93.83,92.30
93.50,93.62,94.02,92.74
94.03,92.58,94.14,92.25
92.46,92.23,93.09,91.98
91.91,91.14,92.56,90.94
91.88,91.69,92.33,91.12
91.46,91.21,92.47,91.08
91.22,91.14,92.55,90.79
90.53,89.92,90.53,88.94
90.46,89.28,90.47,88.94
90.13,89.53,90.39,89.40
89.93,89.77,90.34,89.40
89.72,90.16,90.31,89.39
90.18,90.53,91.32,90.18
90.53,91.72,91.72,90.29
91.80,92.05,92.77,91.56
91.72,91.12,92.66,91.06
91.51,89.92,91.73,89.82
90.21,91.83,91.83,89.95
91.89,90.82,91.93,90.18
90.54,89.78,90.88,89.42
90.53,89.87,91.12,89.56
89.94,90.26,90.34,89.09
90.45,91.07,91.34,90.37
90.73,89.76,91.12,89.47
89.35,90.77,90.95,89.35
90.58,90.13,91.07,89.61
89.71,90.23,90.45,89.46
89.59,89.86,89.91,89.25
89.84,90.75,91.29,89.69
90.98,89.91,90.98,89.87
89.91,89.79,90.54,89.66
89.81,88.47,89.81,88.47
88.52,87.48,88.52,87.32
87.30,87.99,88.12,86.61
87.65,89.55,89.80,87.65
90.74,89.25,90.74,89.11
89.49,88.97,89.75,88.51
88.78,87.39,90.03,87.24
87.66,88.71,88.81,87.29
87.94,87.56,88.45,87.42
87.47,86.43,87.47,86.27
86.89,85.99,86.89,85.96
86.84,84.92,86.84,84.92
85.02,84.13,85.02,84.02
83.70,83.10,83.88,82.96
83.35,83.41,84.35,83.30
84.09,83.89,84.57,83.53
83.28,82.34,83.35,82.06
82.66,82.17,83.19,81.71
82.86,81.83,82.92,81.83
81.63,82.13,82.85,81.41
82.35,81.53,82.35,81.25
81.42,81.17,81.61,80.93
80.27,80.68,80.86,79.25
80.78,80.55,80.84,79.92
80.29,81.84,82.30,80.29
81.83,81.38,82.06,80.74
81.69,82.46,82.56,81.58
82.45,81.75,82.48,81.50
81.64,81.80,82.22,81.48
81.19,80.72,81.61,80.33
80.57,81.92,82.53,80.52
82.46,83.47,84.39,82.44
82.67,82.98,83.34,82.60
82.22,81.82,82.29,81.49
81.63,82.72,83.65,81.54
83.15,82.82,83.63,82.30
83.21,82.33,83.28,81.97
82.73,81.37,82.79,81.22
81.17,80.39,81.35,79.77
81.02,80.84,81.29,80.59
81.03,80.55,81.21,80.41
80.83,81.71,82.23,80.65
81.64,81.50,81.91,81.16
80.85,81.31,81.83,80.50
81.45,82.17,82.65,81.05
81.75,81.24,82.75,81.24
81.54,83.32,84.73,81.54
82.68,82.12,82.94,82.10
82.92,82.19,83.06,81.00
81.78,82.66,83.74,81.75
82.81,83.39,83.52,81.67
82.59,79.94,82.93,79.89
80.53,78.10,80.59,77.30
76.84,73.50,77.93,73.50
74.83,78.91,78.99,73.35
77.24,76.45,78.35,75.80
76.66,80.81,81.73,76.66
81.15,79.55,81.15,78.48
79.55,82.55,82.61,79.53
81.62,81.83,82.30,81.08
82.39,82.36,83.05,82.03
80.56,79.54,81.29,79.02
78.53,78.64,80.48,78.53
80.31,77.25,80.54,76.97
78.13,77.91,78.15,77.02
77.89,78.48,79.28,77.78
79.34,75.96,79.34,75.39
75.52,77.66,77.98,74.36
78.40,81.01,81.01,78.09
80.52,80.33,80.80,79.56
80.85,80.70,81.61,80.22
80.62,80.70,81.81,80.17
79.30,78.38,80.06,78.36
76.65,77.99,78.75,76.62
78.59,81.56,81.62,78.55
81.10,79.79,81.36,79.32
79.31,78.25,79.58,77.67
77.36,78.36,78.43,76.59
78.39,79.08,79.37,77.79
79.25,78.86,79.61,77.70
79.44,79.78,79.78,78.28
80.00,78.77,80.30,78.65
77.61,78.12,78.60,76.55
78.62,79.42,80.28,78.48
79.71,78.14,80.84,78.14
77.19,76.27,77.54,75.38
75.82,76.96,77.27,75.15
77.53,77.65,77.85,76.20
78.57,79.07,80.32,78.17
79.07,77.60,79.47,77.59
79.01,79.26,79.34,77.59
78.11,79.38,80.43,78.06
78.92,77.75,79.89,77.50
77.19,79.76,79.95,76.23
79.74,79.71,80.04,78.70
79.62,80.42,80.47,78.98
80.68,78.42,80.85,78.30
80.13,80.53,80.54,79.11
80.07,80.10,81.35,79.95
80.75,80.12,80.75,79.36
79.63,78.15,79.63,77.59
78.79,78.62,78.82,77.14
78.23,76.63,78.63,76.49
77.01,79.07,79.43,76.57
78.64,80.78,81.52,78.64
80.90,82.65,82.76,80.26
83.13,85.08,85.13,83.13
85.56,87.08,88.09,85.55
86.59,85.99,87.41,85.81
86.71,85.94,87.26,85.37
89.98,90.83,91.50,88.84
90.48,90.84,91.26,88.35
90.40,89.92,91.39,89.15
88.62,88.61,90.36,87.87
89.75,90.35,90.99,89.39
90.86,91.45,91.80,89.95
90.96,91.51,92.08,90.37
91.60,92.60,92.97,91.49
93.11,92.59,93.31,92.21
91.00,90.57,92.10,90.36
91.42,89.55,91.62,89.36
90.67,90.73,91.09,90.01
90.82,88.54,91.10,88.50
88.53,88.61,89.19,88.12
87.91,86.96,88.49,86.95
86.74,85.98,87.41,85.82
86.44,87.69,88.20,86.10
86.52,86.67,87.46,86.36
86.25,85.21,86.61,85.19
84.83,81.70,85.17,81.62
81.31,83.93,83.95,80.83
87.18,84.88,87.18,83.98
84.85,84.82,85.17,84.43
86.45,87.73,87.74,85.86
87.73,85.38,87.73,85.22
86.11,84.17,86.11,83.94
85.02,84.18,85.38,83.69
83.92,84.94,85.66,83.92
84.21,84.77,84.87,83.25
84.36,83.08,84.65,82.97
83.27,83.24,83.52,82.82
82.62,82.17,82.78,81.78
82.61,80.93,83.49,80.38
80.76,80.62,81.78,80.47
81.47,79.84,81.47,79.64
79.72,79.86,80.63,79.49
79.65,78.49,80.30,78.38
79.43,80.08,80.55,79.43
79.84,81.91,82.07,79.68
81.99,82.05,82.10,81.54
82.00,85.91,86.49,82.00
85.36,85.67,86.45,84.99
85.40,84.95,85.71,84.56
85.21,85.33,85.51,84.88
85.05,84.09,85.45,84.08
85.39,85.16,85.78,84.20
85.10,83.35,85.24,83.31
83.19,83.90,84.11,82.16
84.01,84.04,84.81,84.00
84.09,84.92,85.17,84.09
85.69,86.47,86.57,85.17
85.99,86.24,86.49,85.54
86.40,85.83,86.70,85.19
85.30,84.80,85.80,84.54
85.20,84.32,85.72,83.94
84.66,85.11,85.15,83.19
85.25,85.24,85.29,84.63
84.96,86.37,86.49,84.94
86.39,85.54,87.00,85.49
84.99,85.48,85.93,84.36
85.06,85.46,85.53,84.40
85.92,86.39,86.65,85.70
86.02,85.15,86.05,85.05
85.00,84.75,85.00,84.07
84.85,85.40,85.81,84.55
85.92,88.11,88.35,85.92
88.43,87.61,88.73,87.41
88.42,88.27,88.42,87.25
87.53,87.75,88.05,86.75
87.50,88.13,88.27,87.06
88.10,88.06,88.46,87.26
85.99,88.77,89.39,84.75
88.17,87.18,88.17,86.65
87.74,88.97,89.01,87.49
88.36,88.68,88.82,87.55
88.91,89.63,90.57,88.57
89.35,89.65,90.22,89.25
89.82,90.00,90.20,89.22
90.26,90.61,90.73,89.50
90.34,89.17,90.65,85.99
89.37,89.36,89.92,88.87
89.31,88.94,89.77,88.04
88.67,88.21,88.91,87.52
88.43,87.30,88.43,87.08
87.31,87.85,88.47,86.86
88.58,89.17,89.44,87.65
90.06,89.66,91.41,89.42
89.27,90.30,90.38,89.05
89.83,88.54,89.83,88.54
88.52,89.59,89.73,88.13
89.78,90.35,90.49,89.21
90.28,91.30,91.31,90.26
91.08,91.19,91.44,91.00
91.51,92.87,93.12,91.13
92.94,92.94,93.30,92.50
92.85,93.31,93.48,92.55
93.11,92.58,93.56,92.53
92.69,93.17,93.58,92.33
92.36,93.54,93.87,92.28
93.68,92.78,93.68,92.78
92.34,92.25,92.71,91.99
92.39,92.75,92.87,91.90
93.37,93.87,93.97,93.13
93.76,93.28,93.90,93.27
93.12,93.86,93.88,93.08
93.40,93.33,93.60,92.71
93.87,92.52,93.87,92.51
92.58,93.46,94.00,92.28
93.33,94.04,94.10,92.61
93.19,93.93,94.71,93.19
93.13,93.94,94.16,93.10
92.87,92.88,93.33,92.49
92.91,92.45,93.23,92.43
93.05,93.43,93.93,92.63
93.51,94.29,94.35,93.05
94.33,92.92,94.66,92.92
93.48,93.17,93.97,92.77
93.47,93.25,93.76,92.84
93.01,92.97,93.33,91.97
92.90,94.17,94.84,92.90
94.64,95.40,95.70,94.23
94.47,94.74,94.74,93.82
94.53,94.61,95.15,94.11
95.23,95.43,95.72,94.62
96.51,99.74,100.15,96.51
99.93,99.44,100.30,99.10
99.27,99.10,99.91,98.91
99.78,100.10,100.55,99.20
99.65,99.41,100.08,98.81
99.57,100.54,101.14,99.57
100.17,100.70,101.05,100.02
100.62,101.21,101.25,100.02
100.76,102.29,102.37,100.41
101.84,102.29,103.00,101.30
102.59,102.43,103.00,102.05
102.01,103.19,104.13,101.45
102.74,102.37,103.03,101.75
102.19,101.31,102.77,101.18
101.72,100.24,102.22,100.12
100.26,98.58,100.36,98.19
98.76,98.38,99.17,98.02
98.69,98.27,98.84,97.76
98.60,99.28,99.60,98.17
98.83,99.77,100.00,98.39
99.76,101.69,101.69,99.54
101.04,100.83,102.14,100.57
101.45,101.19,102.13,100.94
100.89,101.22,101.51,100.14
101.05,102.12,102.82,100.19
101.05,101.26,101.86,100.74
101.20,100.94,101.47,100.53
100.72,101.84,101.92,100.72
102.51,103.52,103.53,102.21
104.31,103.34,105.35,100.99
102.78,102.15,103.10,100.78
102.54,102.07,103.45,102.01
102.42,103.13,103.19,101.91
103.13,102.07,103.39,101.85
102.25,103.51,104.06,102.11
103.42,102.00,103.50,101.95
101.70,103.25,103.37,101.27
103.19,104.48,104.68,103.01
104.40,104.48,105.84,104.25
104.43,102.76,105.11,102.46
103.16,103.35,104.26,102.78
103.00,102.47,103.00,101.09
102.44,103.48,103.80,102.24
103.73,104.22,104.74,103.01
104.08,105.13,105.17,103.42
106.44,103.49,106.44,103.25
104.17,104.98,105.74,103.81
105.21,106.18,106.50,104.92
106.35,104.93,106.68,104.78
104.48,104.59,104.93,104.16
104.25,104.33,104.55,103.40
105.03,103.92,105.76,103.64
104.05,102.98,104.08,102.60
102.78,103.98,104.22,102.26
104.10,104.33,105.20,103.94
104.18,104.75,105.12,103.92
105.50,105.40,105.50,103.65
105.18,104.43,105.79,104.06
104.28,103.13,104.68,103.04
102.33,101.85,103.06,101.74
101.40,101.54,101.96,100.36
101.45,100.30,101.62,99.75
100.50,102.08,102.31,100.03
103.50,101.81,103.50,101.19
102.11,103.34,103.63,101.55
103.55,104.48,105.22,103.30
104.21,101.70,104.53,101.50
102.08,101.57,102.21,100.99
101.18,102.79,102.79,100.87
103.49,102.48,104.16,102.44
102.61,102.08,104.75,102.06
102.48,102.70,102.82,102.01
102.48,104.00,104.33,102.16
103.24,103.51,104.90,103.14
103.29,103.60,103.87,102.45
103.22,103.49,103.60,102.59
103.94,103.98,104.75,103.44
103.85,104.22,104.36,103.50
104.07,104.90,105.03,103.72
104.74,104.73,105.16,104.27
104.79,104.74,105.02,103.99
104.73,105.54,106.12,104.29
105.31,103.62,105.57,103.31
103.41,102.83,103.65,101.99
102.93,103.40,103.72,102.30
103.39,102.98,103.95,102.82
103.08,103.85,104.48,102.80
103.85,103.45,104.41,103.23
103.12,103.27,103.63,102.69
103.68,103.66,104.49,103.28
103.86,106.48,106.62,103.63
106.73,106.73,107.00,106.06
107.01,108.69,109.15,107.01
108.69,108.71,109.04,108.02
108.55,108.52,109.06,107.85
108.46,108.75,109.49,108.23
109.03,109.13,109.57,108.53
108.92,110.11,110.43,108.89
110.19,110.89,111.55,110.00
110.56,110.15,110.99,110.08
110.18,109.87,110.38,109.37
109.85,110.32,110.82,109.44
109.65,109.54,110.38,109.34
110.00,108.62,110.00,108.50
108.65,108.93,109.97,108.24
109.23,107.41,109.65,107.36
107.70,107.09,108.33,106.95
107.20,107.13,107.58,106.35
106.60,106.96,107.60,106.00
107.51,108.30,108.59,107.35
108.36,108.21,109.01,107.94
108.30,108.20,109.04,107.93
108.55,109.07,109.24,108.32
109.25,109.15,109.71,108.88
108.97,109.60,109.91,108.53
109.78,109.65,110.21,109.23
109.86,109.51,109.99,109.09
110.25,109.69,110.25,109.61
110.47,109.24,110.47,108.92
109.55,110.67,110.71,109.55
111.00,112.32,112.33,110.78
112.33,111.90,112.56,111.73
112.00,112.78,114.25,111.94
112.66,111.35,112.68,110.70
110.83,111.42,111.84,110.69
110.68,111.06,111.68,110.42
111.30,111.42,111.97,110.79
112.50,114.60,114.60,112.50
114.25,113.54,114.42,112.09
112.49,111.05,112.49,110.83
111.38,109.70,112.50,109.37
110.09,106.95,110.09,106.05
106.67,107.00,107.48,104.43
107.07,107.89,108.02,106.21
107.94,106.54,107.94,105.94
106.58,106.15,107.66,106.11
105.75,105.48,106.41,104.64
105.98,104.43,106.23,104.33
104.28,103.47,105.94,103.41
103.76,103.61,104.96,103.00
103.61,101.72,103.86,101.66
101.96,102.89,102.94,101.74
103.80,103.83,104.94,103.10
103.67,104.51,104.66,103.18
104.41,104.72,104.79,103.55
105.11,105.11,105.25,104.31
104.40,104.83,105.31,103.81
105.02,105.28,105.97,104.27
104.94,107.61,107.67,104.75
107.93,107.33,108.45,106.69
107.20,108.47,108.48,106.99
108.23,106.80,109.37,106.77
106.93,107.37,108.22,106.81
107.61,109.05,109.38,107.45
108.96,109.07,109.68,107.77
109.15,108.70,109.32,108.29
108.81,109.66,109.98,108.00
111.01,108.72,111.01,108.18
109.33,108.55,110.44,108.31
108.60,106.79,108.81,106.73
107.00,105.83,107.48,105.72
106.24,107.09,107.10,106.13
106.93,106.80,107.31,105.88
107.14,108.36,109.23,106.39
109.47,108.68,110.05,108.04
106.90,108.19,108.77,106.76
107.55,108.78,109.25,107.55
108.75,108.79,109.26,108.47
108.66,109.23,109.66,108.50
108.75,108.98,109.67,108.35
108.90,109.95,109.95,108.33
110.50,111.20,111.21,110.40
111.20,112.81,112.90,111.11
112.65,112.78,113.19,112.37
112.25,110.91,112.55,110.31
111.35,111.51,112.61,110.81
111.84,112.11,112.12,111.55
112.74,113.01,113.02,111.71
112.95,113.23,113.25,112.33
112.85,112.94,113.44,112.67
112.34,113.70,113.73,112.34
113.30,112.84,113.74,112.69
113.04,112.47,113.09,112.20
112.63,113.01,113.28,112.27
112.69,114.49,114.50,112.69
113.97,113.36,114.14,113.00
113.68,114.67,114.90,113.53
114.85,114.95,114.95,113.87
115.48,114.56,115.48,113.68
114.45,115.96,116.39,114.15
115.67,115.45,115.90,114.74
115.57,115.81,116.42,115.57
116.38,117.44,117.80,116.23
116.91,117.39,117.80,116.77
117.56,117.60,117.74,116.79
117.17,117.70,117.86,116.50
118.45,118.56,118.63,116.92
118.90,119.24,120.02,118.50
119.46,120.31,120.77,119.46
120.07,121.29,122.32,120.07
121.52,120.78,122.06,119.96
120.54,120.45,121.32,120.06
120.54,121.05,121.20,120.37
121.00,122.76,122.76,121.00
122.72,122.38,123.26,122.25
122.40,124.51,125.87,122.40
124.77,123.94,124.77,123.61
123.50,122.55,124.84,122.49
122.88,124.14,125.05,122.03
124.05,124.99,125.34,123.87
124.99,124.61,126.26,124.53
124.27,124.09,125.66,123.81
123.76,125.23,125.85,123.56
125.75,127.73,128.15,125.55
127.92,127.25,128.32,126.42
127.36,127.25,128.37,126.98
127.80,127.90,128.05,126.90
128.07,127.25,128.34,126.92
127.16,128.07,128.37,127.05
127.99,128.09,128.50,126.99
128.35,128.91,128.91,128.20
128.94,128.90,129.65,128.56
127.75,128.47,128.95,127.72
128.57,128.92,129.60,128.57
129.20,129.72,130.01,128.78
128.90,129.20,130.01,128.68
129.51,130.64,130.82,129.51
130.79,129.97,131.38,129.82
130.53,128.44,130.53,128.01
127.11,128.44,128.68,126.16
128.76,129.86,129.86,127.94
129.44,129.54,130.45,128.94
130.11,128.09,130.11,127.77
128.22,127.49,129.26,126.88
127.77,127.62,128.08,126.66
126.53,126.45,127.20,126.02
126.54,127.41,127.51,126.11
127.80,127.81,128.35,127.41
128.04,128.13,128.15,127.15
128.27,128.69,129.43,128.12
128.62,127.99,129.22,127.84
126.25,123.65,127.74,123.50
124.50,124.67,124.74,123.32
124.44,124.44,124.52,123.31
124.64,124.15,124.96,123.22
124.80,125.85,125.89,124.38
125.76,125.38,126.20,124.57
126.10,128.04,128.58,125.71
128.50,131.38,132.63,128.50
132.05,133.05,133.15,131.16
132.56,132.47,133.82,131.77
132.86,133.61,134.06,130.82
133.82,134.99,135.01,133.16
134.40,133.01,134.60,132.92
133.47,133.29,133.94,130.63
133.51,131.98,134.11,131.34
131.94,133.65,133.80,131.73
134.16,135.73,135.74,133.20
135.35,135.97,136.19,134.61
136.15,135.29,136.35,134.81
135.25,135.81,136.10,135.09
135.69,135.63,135.76,134.89
135.85,135.88,136.13,134.77
135.80,135.57,136.40,135.21
134.66,130.62,134.66,129.73
130.90,131.92,132.15,130.54
131.75,131.89,132.98,131.09
131.74,131.31,132.11,130.79
131.18,129.18,131.56,128.57
128.12,127.64,128.34,127.11
127.39,126.84,127.51,125.87
128.00,126.55,128.00,125.70
126.15,128.21,128.45,125.33
128.31,129.76,129.79,127.80
129.42,129.61,130.61,128.43
130.50,129.00,130.50,127.28
129.50,128.22,129.78,127.81
128.18,126.37,128.19,126.30
126.32,127.69,127.69,125.54
127.99,127.79,128.64,126.81
127.95,128.85,128.85,126.79
126.47,127.28,128.17,125.86
127.77,126.86,128.01,126.40
126.81,129.55,129.66,126.43
128.76,128.46,129.65,128.04
129.32,129.92,130.15,129.08
130.05,130.76,131.13,129.96
130.59,127.81,130.61,127.77
126.91,125.94,127.38,125.82
