SPYV,SPDR S&P 500 Value ETF (based on S&P 500 Value Index--symbol: SVX),NASDAQ
68.51,68.96,68.98,68.51
69.19,69.09,69.29,68.97
69.05,68.53,69.05,68.53
67.59,67.77,67.77,67.58
68.05,67.70,68.05,67.60
67.59,67.94,67.94,67.59
67.58,68.04,68.04,67.58
68.52,68.48,68.56,68.48
68.96,69.00,69.00,68.74
68.27,67.78,68.27,67.65
67.59,67.53,67.60,67.13
66.59,66.88,67.12,66.43
66.71,65.89,66.71,65.87
66.20,66.26,66.42,66.20
65.86,65.65,65.95,65.65
65.73,66.16,66.35,65.70
65.29,65.38,65.67,65.22
65.37,65.49,65.71,65.36
65.98,66.22,66.43,65.98
65.77,65.08,65.77,64.87
65.14,65.16,65.59,64.69
65.69,65.24,65.77,65.23
65.42,65.49,65.50,65.42
66.12,66.38,66.43,66.12
66.47,65.95,66.48,65.95
65.29,64.71,65.29,64.71
65.01,64.92,65.02,64.89
64.98,65.42,65.43,64.98
65.65,65.96,66.00,65.65
66.39,66.58,66.76,66.23
66.71,67.29,67.29,66.71
67.41,68.20,68.25,67.41
68.00,67.97,68.00,67.90
67.78,67.90,67.90,67.78
68.46,68.61,68.61,68.36
67.92,67.94,67.94,67.61
66.78,66.69,66.87,66.56
66.59,66.76,66.81,66.59
66.85,66.70,67.29,66.58
66.85,66.47,67.16,66.46
66.47,66.18,66.47,66.00
65.98,65.75,66.01,65.44
66.16,66.58,66.58,66.07
66.72,66.99,66.99,66.72
67.06,67.96,68.04,67.06
67.65,67.71,67.79,67.62
66.96,67.33,67.57,66.96
67.18,67.11,67.18,66.97
66.17,65.75,66.28,65.75
65.52,65.37,66.14,65.37
64.57,64.82,65.25,64.57
65.83,64.72,65.83,63.12
64.39,62.96,64.40,62.96
62.92,63.10,63.11,62.10
62.28,60.15,62.36,60.15
60.94,60.01,61.04,58.62
58.19,56.05,58.99,56.00
56.69,57.68,57.68,54.80
57.29,55.58,57.42,55.58
56.17,58.53,59.06,56.15
59.08,58.51,59.37,58.44
59.44,59.80,59.80,59.38
59.48,59.60,59.88,59.31
59.48,59.49,59.49,59.48
57.33,56.89,57.40,56.89
56.97,56.35,57.29,56.35
57.81,56.12,57.81,56.12
56.43,57.59,57.88,56.43
58.46,58.40,58.74,57.98
59.40,58.01,59.87,58.01
57.35,58.72,58.80,56.95
59.77,60.30,60.32,59.77
59.88,60.60,60.60,59.88
60.98,60.69,61.15,60.38
60.58,60.44,61.45,60.44
58.91,58.46,59.03,58.46
56.63,57.87,57.87,56.62
59.25,59.48,59.48,59.25
59.37,59.02,59.37,58.87
58.25,57.48,58.25,57.06
57.07,57.07,57.07,56.49
57.87,58.04,58.14,57.87
57.88,59.06,59.06,57.88
59.66,60.00,60.00,59.37
59.76,59.89,59.89,59.76
58.94,59.11,59.11,58.57
59.42,59.66,59.86,59.02
59.04,58.17,59.09,58.14
55.63,55.27,55.78,54.54
55.25,55.52,55.82,55.25
56.30,56.74,56.74,55.62
58.29,58.10,58.83,58.10
57.99,57.25,57.99,57.22
57.58,57.26,57.94,56.51
56.82,56.04,56.98,56.04
55.83,54.29,56.05,54.29
53.54,55.53,55.53,53.25
55.60,55.90,55.99,55.28
56.67,57.20,57.22,56.63
58.12,56.82,58.12,56.78
58.64,58.85,58.85,58.38
58.60,59.00,59.00,58.49
59.40,59.72,60.09,59.38
59.24,59.07,59.24,58.63
60.10,60.13,60.20,59.56
59.93,59.10,59.93,59.10
58.95,60.80,60.80,58.85
60.47,59.99,60.98,59.99
60.00,60.60,60.60,59.91
61.21,61.40,61.59,61.21
61.84,62.32,62.44,61.84
61.93,61.00,61.93,61.00
61.79,61.94,61.94,61.05
63.63,64.49,64.53,63.47
63.86,63.92,63.92,63.77
63.23,63.06,63.23,63.03
60.52,60.52,60.96,60.04
61.36,61.39,61.70,61.14
61.56,62.62,62.68,61.56
62.10,62.19,62.19,61.88
62.02,62.45,62.52,62.02
63.13,63.51,63.52,62.64
62.05,61.05,62.05,61.00
61.82,61.78,61.82,61.25
63.02,62.71,63.05,62.71
61.94,61.96,61.98,61.94
61.77,62.37,62.56,61.77
61.51,61.14,61.90,61.14
61.15,60.31,61.16,60.00
60.42,60.59,60.59,60.41
59.37,59.27,59.43,58.98
58.62,58.84,59.20,58.62
58.24,57.52,58.24,57.52
58.03,57.61,58.03,57.58
59.02,58.92,59.26,58.67
59.22,59.52,59.64,59.00
60.98,62.08,62.11,60.94
61.95,61.82,61.95,61.75
62.47,62.03,62.63,61.98
62.95,62.90,63.12,62.90
62.57,62.89,63.12,62.57
62.48,63.23,63.41,62.32
62.52,61.87,62.52,61.63
62.02,62.66,62.66,62.02
61.83,61.53,61.83,61.39
62.15,60.94,62.15,60.90
60.70,60.54,60.85,60.49
61.23,60.82,61.33,60.78
60.89,60.64,61.18,60.57
60.65,59.63,60.91,59.59
60.60,61.62,61.65,60.60
61.63,61.70,61.70,61.29
62.20,62.75,62.86,62.20
62.93,63.15,63.20,62.93
63.08,63.31,63.44,63.08
63.18,62.47,63.19,62.47
62.58,63.08,63.08,62.58
62.91,62.80,63.10,62.80
64.09,64.05,64.32,63.97
63.70,64.12,64.12,63.67
63.48,64.28,64.34,63.48
64.39,64.16,64.39,64.07
64.27,64.40,64.45,64.17
65.16,65.10,65.29,65.04
65.25,65.26,65.26,65.18
65.65,65.44,65.65,65.20
64.99,64.65,64.99,64.65
65.82,65.07,65.82,65.07
65.16,65.86,65.86,64.89
66.14,66.26,66.42,66.12
66.20,66.50,66.50,66.13
66.52,66.57,66.92,66.52
66.16,66.41,66.43,65.95
66.15,66.77,66.77,66.06
67.12,66.23,67.12,66.21
65.97,66.34,66.34,65.97
65.60,65.88,65.88,65.44
65.97,65.84,65.97,65.75
66.46,66.75,66.97,66.46
66.76,66.77,66.80,66.60
67.49,67.77,67.82,67.49
67.53,67.72,67.77,67.53
67.66,68.04,68.04,67.45
68.04,68.16,68.16,67.86
68.39,68.17,68.39,68.01
67.47,67.43,67.52,67.36
68.06,68.13,68.15,67.80
67.73,67.35,67.79,67.35
68.01,67.68,68.06,67.64
67.74,68.50,68.50,67.72
68.75,68.81,68.81,68.63
69.10,69.10,69.13,69.00
68.68,68.32,68.68,68.32
68.30,68.62,68.62,68.04
68.80,68.66,68.80,68.66
68.20,68.89,68.89,68.04
68.81,69.04,69.06,68.81
69.22,68.60,69.32,68.60
68.98,68.97,69.27,68.97
69.05,68.84,69.10,68.77
68.74,68.37,68.74,68.35
67.56,67.27,67.70,67.15
67.41,67.89,67.94,67.41
68.60,68.52,68.60,68.52
69.17,69.17,69.17,69.17
68.78,68.93,69.00,68.78
69.46,70.30,70.30,69.46
70.41,70.18,70.50,70.16
70.42,70.83,70.84,70.30
70.60,70.52,70.70,70.52
70.67,70.91,71.16,70.67
70.39,70.68,70.79,70.39
70.79,70.61,70.79,70.57
69.88,69.70,70.04,69.70
69.80,70.23,70.23,69.80
70.91,70.87,70.91,70.87
71.18,70.86,71.25,70.86
70.77,70.25,70.77,70.01
69.83,69.69,69.83,69.63
70.29,70.54,70.64,70.29
71.20,71.13,71.20,71.09
70.78,70.51,70.78,70.51
69.83,69.71,69.94,69.59
69.72,69.56,69.75,69.43
68.49,68.77,68.77,68.41
67.33,67.33,67.33,67.33
68.12,67.99,68.12,67.91
68.76,69.03,69.05,68.76
68.54,68.50,68.55,68.34
68.55,68.29,68.67,68.26
68.73,69.33,69.33,68.73
69.02,68.91,69.15,68.91
69.00,68.53,69.12,68.53
68.94,69.05,69.05,68.94
67.91,68.15,68.22,67.77
68.26,68.52,68.64,68.26
69.16,69.16,69.16,69.16
69.44,69.81,69.82,69.44
69.74,69.84,69.93,69.74
69.44,69.55,69.56,69.34
69.53,70.55,70.55,69.37
69.73,69.73,69.78,69.62
69.64,69.14,69.64,69.07
68.80,68.14,68.80,68.14
68.06,68.17,68.32,67.96
67.61,67.63,67.63,67.24
67.18,67.43,67.71,66.75
67.72,67.93,68.03,67.72
67.11,67.26,67.71,67.10
66.50,66.53,66.84,66.50
66.38,65.91,66.64,65.83
66.29,66.13,66.48,66.13
65.46,64.76,65.49,64.76
64.99,64.42,64.99,64.00
64.31,64.71,64.71,64.26
65.15,64.85,65.50,64.85
64.61,64.61,64.71,64.48
64.97,64.97,64.97,64.97
65.23,65.21,65.55,65.21
65.87,66.01,66.01,65.87
65.14,65.12,65.14,64.91
65.12,65.12,65.12,65.12
63.79,63.55,63.79,63.20
62.93,63.15,63.15,62.64
63.34,63.51,63.51,63.33
64.35,65.11,65.11,64.35
65.75,65.48,65.75,65.48
65.67,65.63,65.72,65.63
66.41,65.65,66.41,65.65
64.99,65.62,65.62,64.82
65.51,65.84,65.84,65.48
65.53,65.81,65.92,65.37
66.11,66.41,66.41,66.04
66.17,66.44,66.50,66.16
66.68,67.20,67.35,66.68
66.71,66.70,67.07,66.70
66.84,65.91,66.89,65.91
65.82,66.26,66.26,65.82
65.38,64.91,65.38,64.88
65.11,65.42,65.42,65.11
65.57,65.57,65.57,65.57
65.90,65.18,65.90,65.18
67.13,67.59,67.61,67.13
67.78,67.47,67.78,67.42
67.69,67.87,68.09,67.69
67.77,67.55,67.77,67.42
66.95,67.01,67.01,66.58
65.82,66.60,66.63,65.82
66.60,65.92,66.60,65.92
66.37,66.20,66.37,66.10
65.58,65.95,65.95,65.58
66.41,67.07,67.07,66.41
66.69,67.13,67.13,66.69
67.17,67.57,67.57,66.71
67.35,67.84,67.96,67.34
67.97,67.77,67.97,67.60
67.46,67.21,67.46,67.12
66.24,66.34,66.45,66.13
66.46,65.61,66.48,65.61
66.40,66.05,66.42,65.96
67.07,67.34,67.34,67.06
67.70,68.55,68.55,67.70
68.37,68.43,68.43,68.24
68.24,68.24,68.49,61.87
68.38,68.29,68.57,67.54
67.38,67.38,67.38,67.38
68.55,68.87,69.00,68.51
69.01,69.19,69.35,68.21
69.61,69.46,69.82,69.46
69.35,69.56,69.67,69.35
69.75,69.75,69.79,69.59
69.36,69.54,69.59,69.25
69.78,69.62,69.78,69.44
69.88,69.71,69.88,69.71
69.70,69.66,69.72,69.56
69.77,70.11,70.27,69.73
70.17,70.27,70.27,70.15
70.05,70.32,70.33,69.97
70.56,70.23,70.73,70.23
70.14,70.12,70.14,69.92
69.85,69.43,69.85,69.40
69.34,69.84,69.84,69.34
69.97,69.95,70.00,69.80
69.59,69.78,69.93,69.59
69.93,70.04,70.04,69.88
69.26,69.49,69.49,69.24
69.91,69.70,69.91,69.64
69.58,69.76,69.76,69.23
69.34,69.67,69.76,69.34
69.99,71.00,71.04,69.99
71.46,71.45,71.46,71.45
71.45,71.45,71.45,71.45
71.20,71.57,71.59,71.20
71.90,71.67,71.90,71.54
71.60,72.93,73.06,71.58
73.25,73.17,73.76,73.17
72.86,72.59,72.90,72.59
72.61,72.47,72.69,72.47
72.68,72.90,72.90,72.56
72.33,72.70,72.72,72.33
72.74,72.29,72.74,72.29
71.95,72.21,72.39,71.89
72.36,71.53,72.53,71.51
71.31,71.21,71.31,71.12
71.25,71.78,71.89,71.25
71.32,71.40,71.56,71.32
71.78,71.58,72.16,71.58
71.95,71.70,71.95,71.52
71.70,71.70,71.70,71.70
72.39,72.59,72.59,72.30
73.09,72.60,73.24,72.60
72.70,72.68,72.70,72.51
72.39,72.11,72.63,72.05
71.89,71.61,71.92,71.61
72.15,71.77,72.15,71.66
71.63,71.19,71.63,71.15
71.36,71.63,71.76,71.26
72.60,72.27,72.60,72.27
72.92,73.22,73.22,72.92
72.96,73.14,73.23,72.96
73.08,72.76,73.08,72.76
71.99,71.67,71.99,71.33
70.92,70.87,70.93,70.54
71.26,71.14,71.28,71.08
70.87,70.88,70.88,70.84
70.88,70.70,70.88,70.46
71.24,70.95,71.26,69.96
71.51,71.71,71.71,71.51
72.06,71.59,72.06,71.53
71.00,71.27,71.27,70.88
71.93,72.08,72.08,71.87
70.52,70.11,70.53,70.05
70.16,69.67,70.23,69.61
69.04,69.41,69.51,68.15
69.26,69.23,69.26,69.13
69.12,69.34,69.55,69.12
69.16,68.05,69.22,67.78
68.07,67.95,68.38,67.75
67.63,68.34,68.34,67.51
69.06,69.31,69.40,68.54
69.40,69.66,69.66,69.23
70.13,69.72,70.13,69.57
70.11,70.41,70.47,70.11
70.45,70.39,70.45,70.12
70.44,70.32,70.73,70.16
70.00,70.68,70.68,70.00
71.13,71.02,71.13,70.74
70.96,70.96,71.11,70.74
71.34,70.77,71.34,70.69
70.85,70.68,70.91,70.49
70.64,70.85,70.85,70.64
70.99,71.13,71.17,70.99
71.39,71.55,71.55,71.35
71.62,71.73,71.88,71.62
71.90,72.14,72.30,71.90
72.32,72.20,72.86,72.20
72.27,71.95,72.27,71.88
71.92,71.78,72.37,71.73
72.41,72.72,72.72,72.36
72.71,73.41,73.41,72.70
73.28,73.22,73.50,73.17
73.06,73.61,73.61,72.95
71.99,72.13,72.48,71.95
71.95,71.98,71.98,71.78
72.12,71.69,72.12,71.60
71.68,71.65,71.73,70.89
71.32,70.73,71.41,70.72
70.74,71.79,71.86,70.74
73.33,73.67,73.67,73.13
73.59,73.88,73.89,73.59
73.96,74.05,74.05,73.96
73.89,73.90,73.90,73.59
73.51,73.56,73.56,73.30
73.74,73.64,73.86,73.64
74.05,74.43,74.43,74.05
74.38,74.35,74.38,74.15
74.40,74.25,74.40,74.21
74.11,74.38,74.38,74.11
74.44,74.65,74.68,74.44
74.87,75.13,75.16,74.80
75.16,75.40,75.40,75.06
75.35,75.92,75.92,75.30
75.85,75.89,75.96,75.67
76.00,76.34,76.54,76.00
76.52,76.55,76.57,76.30
76.46,76.58,76.72,76.46
76.67,77.05,77.05,76.67
77.10,76.72,77.10,76.72
76.50,76.66,76.79,76.50
76.94,77.44,77.44,76.94
76.97,76.73,76.97,76.68
77.04,77.40,77.49,77.04
77.04,77.29,77.29,77.03
77.31,77.19,77.31,76.74
77.50,77.39,77.50,77.39
77.44,77.54,77.54,77.43
77.61,77.78,77.95,77.58
78.02,77.80,78.05,77.80
77.64,78.08,78.08,77.64
78.09,77.71,78.09,77.71
78.20,78.26,78.28,78.17
78.33,77.53,78.33,77.48
77.00,77.19,77.23,76.94
77.51,77.45,77.52,77.31
77.99,76.27,78.10,76.27
76.53,76.63,76.63,76.07
76.72,77.65,77.65,76.72
77.64,77.49,78.13,77.49
77.33,77.73,77.81,76.93
77.61,77.95,77.96,77.46
78.55,78.80,78.94,78.55
79.09,79.09,79.09,78.90
79.10,79.22,79.25,79.07
79.52,79.56,79.56,79.25
79.56,79.88,79.88,79.43
79.83,79.73,79.89,79.53
79.81,79.96,79.96,79.69
80.12,80.46,80.46,80.12
79.91,79.96,80.04,79.64
79.22,79.30,79.70,79.06
79.60,79.05,79.77,78.78
79.71,79.69,79.75,79.60
79.32,79.12,79.46,79.12
79.35,79.45,79.45,79.35
79.87,79.27,80.07,79.13
79.61,79.76,79.82,79.54
79.49,79.69,79.86,79.30
79.80,80.01,80.12,79.80
80.24,79.88,80.24,79.69
80.08,80.09,80.40,80.00
79.73,79.36,79.76,79.00
79.45,79.65,79.79,79.44
78.71,79.40,79.40,78.69
79.61,79.96,79.96,79.36
80.09,80.47,80.60,80.03
80.60,81.24,81.30,80.60
81.22,81.41,81.72,81.14
81.16,81.17,81.25,80.83
80.73,79.39,80.78,79.32
79.69,80.21,80.30,79.60
79.78,79.05,79.78,78.81
79.30,78.82,79.30,78.41
79.11,79.30,79.30,78.85
79.52,79.53,79.67,79.01
79.82,80.18,80.37,79.82
80.64,80.60,80.64,80.43
80.98,80.95,81.34,80.95
80.63,80.93,80.93,80.63
80.96,81.42,81.42,80.95
81.26,81.43,81.45,81.26
81.26,80.95,81.26,80.93
81.01,81.35,81.38,80.90
82.09,82.22,82.45,82.09
82.30,82.35,82.44,82.25
82.66,82.86,82.89,82.51
82.84,83.25,83.25,82.84
83.24,83.00,83.24,82.94
82.99,83.01,83.01,82.62
82.96,83.03,83.11,82.92
83.56,84.02,84.02,83.56
83.95,84.28,84.59,83.86
84.55,84.18,84.66,84.09
84.37,85.15,85.17,84.33
85.07,85.19,85.55,85.07
85.40,85.34,85.62,85.14
85.56,84.61,86.06,84.60
83.67,84.46,84.49,83.66
83.93,84.31,84.31,83.85
85.32,84.65,85.45,84.65
84.41,84.61,84.80,84.06
84.46,84.80,85.20,84.46
84.91,84.10,84.91,84.08
83.78,83.96,83.96,83.07
84.03,83.59,84.31,83.45
83.48,82.43,83.48,82.36
82.34,83.05,83.05,81.89
83.77,84.33,84.33,83.77
84.64,84.43,84.64,84.17
83.40,83.54,84.13,83.40
83.97,82.93,83.97,82.81
82.83,84.19,84.21,82.82
84.20,83.70,84.23,83.57
