PRKR,ParkerVision,NASDAQ
0.66,0.65,0.68,0.64
0.66,0.60,0.67,0.60
0.60,0.60,0.63,0.58
0.60,0.60,0.63,0.60
0.60,0.60,0.62,0.60
0.60,0.62,0.63,0.60
0.62,0.67,0.69,0.61
0.67,0.74,0.75,0.62
0.74,0.74,0.74,0.69
0.74,0.71,0.74,0.70
0.74,0.75,0.75,0.72
0.74,0.75,0.75,0.72
0.75,0.72,0.75,0.72
0.72,0.74,0.74,0.67
0.73,0.72,0.74,0.71
0.73,0.74,0.74,0.72
0.70,0.73,0.73,0.69
0.71,0.80,0.81,0.71
0.83,0.78,0.83,0.74
0.76,0.80,0.82,0.72
0.79,0.82,0.85,0.79
0.83,0.86,0.87,0.80
0.88,0.89,0.89,0.86
0.89,0.76,0.95,0.71
0.78,0.77,0.92,0.74
0.79,0.78,0.82,0.78
0.80,0.79,0.81,0.79
0.79,0.76,0.79,0.75
0.76,0.79,0.80,0.76
0.79,0.76,0.80,0.76
0.76,0.73,0.79,0.71
0.73,0.70,0.73,0.66
0.70,0.74,0.74,0.66
0.75,0.75,0.76,0.74
0.74,0.72,0.77,0.72
0.73,0.71,0.73,0.68
0.70,0.63,0.70,0.62
0.65,0.58,0.66,0.58
0.56,0.61,0.63,0.56
0.63,0.60,0.63,0.60
0.62,0.59,0.62,0.59
0.58,0.56,0.63,0.55
0.55,0.56,0.57,0.55
0.56,0.57,0.62,0.56
0.57,0.55,0.59,0.54
0.58,0.51,0.58,0.50
0.51,0.50,0.53,0.50
0.52,0.50,0.52,0.46
0.51,0.51,0.59,0.47
0.61,0.48,0.61,0.48
0.58,0.54,0.58,0.51
0.55,0.58,0.59,0.53
0.59,0.62,0.62,0.58
0.62,0.61,0.62,0.58
0.62,0.60,0.63,0.59
0.60,0.60,0.62,0.59
0.60,0.58,0.61,0.58
0.81,0.97,0.99,0.73
0.97,1.22,1.47,0.95
1.23,1.20,1.33,1.15
1.11,1.15,1.26,1.10
1.15,1.11,1.20,1.08
1.16,1.20,1.27,1.11
1.19,1.21,1.38,1.14
1.26,1.22,1.29,1.20
1.24,1.15,1.28,1.10
1.15,1.12,1.19,1.07
1.10,1.11,1.14,1.05
1.17,1.09,1.17,1.05
1.06,1.03,1.06,0.98
1.05,1.09,1.14,0.98
1.10,1.05,1.12,1.05
1.06,1.02,1.07,1.00
1.00,1.00,1.04,0.97
1.00,0.99,1.00,0.83
0.99,0.91,0.99,0.90
0.90,0.87,0.91,0.80
0.85,0.89,0.89,0.79
0.87,0.84,0.89,0.84
0.89,0.87,0.89,0.84
0.85,0.90,0.91,0.84
0.88,0.90,0.90,0.85
0.89,0.87,0.89,0.84
0.84,0.87,0.87,0.84
0.87,0.87,0.90,0.85
0.87,0.87,0.88,0.85
0.87,0.88,0.94,0.85
0.92,0.90,0.93,0.87
0.87,0.87,0.88,0.85
0.83,0.86,0.87,0.83
0.87,0.83,0.87,0.83
0.83,0.88,0.91,0.83
0.88,0.94,0.97,0.87
0.94,0.96,1.01,0.90
0.93,1.04,1.05,0.93
1.04,1.13,1.13,0.97
1.16,1.18,1.29,1.12
1.25,1.20,1.25,1.15
1.22,1.07,1.22,1.04
1.05,1.00,1.13,1.00
1.00,1.00,1.05,0.98
0.95,0.92,1.00,0.92
0.94,0.97,1.00,0.92
1.01,0.94,1.02,0.92
1.00,0.94,1.00,0.89
0.90,0.92,0.92,0.89
0.91,0.91,0.94,0.89
0.89,0.90,0.94,0.89
0.90,0.91,0.91,0.88
0.89,0.86,0.89,0.84
0.86,0.85,0.86,0.85
0.86,0.89,0.89,0.84
0.89,0.84,0.93,0.80
0.88,0.92,0.99,0.83
0.92,0.90,0.93,0.86
0.94,0.92,0.99,0.88
0.95,0.90,0.95,0.89
0.95,0.90,0.95,0.90
0.92,0.89,0.92,0.88
0.90,0.89,0.90,0.87
0.89,0.87,0.90,0.87
0.90,0.87,0.91,0.87
0.87,0.87,0.90,0.84
0.90,0.83,0.90,0.80
0.86,0.83,0.86,0.83
0.85,0.86,0.86,0.82
0.87,0.85,0.87,0.82
0.84,0.85,0.88,0.83
0.83,0.82,0.87,0.82
0.82,0.83,0.83,0.82
0.81,0.88,0.89,0.81
0.87,0.90,0.93,0.87
0.90,0.93,0.93,0.89
0.93,0.93,0.97,0.91
