ICF,iShares Cohen & Steers REIT ETF,NASDAQ
74.68,75.82,75.83,74.45
76.64,75.39,76.75,75.20
75.34,76.42,76.42,75.23
77.07,74.71,77.10,74.67
74.99,75.37,75.45,74.38
75.08,75.01,75.91,74.67
75.19,76.20,76.46,75.06
76.34,76.66,76.69,75.98
76.20,77.33,77.64,76.14
77.68,77.52,77.98,77.00
77.55,77.44,77.82,77.01
77.67,76.24,77.81,76.12
76.16,75.66,76.20,75.15
74.83,75.22,75.47,74.68
75.42,75.60,75.90,75.06
75.78,75.84,75.98,75.40
75.39,76.58,76.63,75.07
78.00,78.64,78.70,77.69
79.02,79.40,79.46,78.43
79.51,79.83,80.06,79.32
79.72,79.39,79.93,79.19
78.49,79.56,79.74,78.49
78.31,79.74,79.77,78.31
80.13,78.74,80.14,78.35
78.76,78.97,79.10,78.37
78.33,79.19,79.60,78.10
79.42,80.25,80.31,79.33
80.09,80.40,80.59,79.99
80.76,81.16,81.41,80.10
81.01,80.67,81.14,80.36
80.88,79.76,80.94,79.21
79.34,79.29,79.64,79.04
78.45,78.84,79.04,78.31
78.90,78.54,79.17,78.07
78.97,78.66,79.00,78.08
79.66,79.40,79.93,78.90
79.92,80.22,80.69,79.73
80.17,80.50,80.79,80.09
80.49,80.39,80.61,80.16
80.84,80.17,81.32,80.17
79.90,80.35,80.40,79.55
81.50,81.05,81.57,80.85
81.26,80.81,81.52,80.78
80.97,79.82,80.97,79.74
79.63,79.12,79.63,78.86
79.05,78.85,79.52,78.76
78.79,78.96,79.06,78.65
79.00,78.88,79.17,78.55
79.13,78.71,79.21,78.60
78.65,79.08,79.26,78.65
79.08,79.67,79.67,78.75
79.80,79.66,79.80,79.36
79.62,79.32,79.65,78.92
79.55,79.45,79.67,79.34
79.33,79.44,79.50,78.59
79.27,79.31,79.52,78.98
79.12,79.67,79.84,78.98
79.88,79.85,80.02,79.45
79.62,80.12,80.18,79.31
80.05,80.04,80.24,79.90
79.57,79.92,80.05,79.57
80.25,80.15,80.31,79.56
80.11,80.75,80.75,79.60
80.87,80.60,80.87,80.16
81.04,81.28,81.30,80.96
81.46,81.35,81.61,81.22
81.21,80.59,81.39,80.58
80.58,80.83,80.86,80.44
80.97,80.91,81.11,80.61
81.02,81.96,82.05,80.87
82.21,82.32,82.90,82.01
81.77,82.06,82.79,81.76
81.71,81.12,81.90,80.91
81.20,80.75,81.39,80.75
80.52,79.53,80.52,79.27
79.84,79.46,79.84,79.44
78.60,78.67,79.27,78.51
78.72,77.49,78.92,77.45
77.45,77.54,77.98,77.32
77.89,77.96,78.51,77.63
77.64,77.85,78.16,77.34
77.97,77.27,78.14,76.49
77.34,77.82,77.82,77.11
77.92,78.04,78.67,77.88
78.22,77.85,78.61,77.61
77.99,78.02,78.41,77.76
77.62,77.79,77.88,77.52
77.85,77.52,78.22,77.51
77.63,77.85,78.01,77.38
78.20,77.82,78.40,77.80
77.90,77.50,78.27,77.44
77.57,78.03,78.07,77.18
78.33,78.51,78.65,78.26
78.13,78.24,78.40,77.71
78.08,79.10,79.14,78.08
79.03,78.43,79.46,78.39
78.35,77.97,78.40,77.50
77.40,77.10,77.48,76.61
77.25,77.03,77.60,76.81
77.45,76.75,77.78,75.99
76.70,76.23,76.78,75.71
76.24,76.86,76.92,76.17
77.00,77.16,77.51,76.68
77.53,77.77,78.32,77.49
77.66,77.11,77.74,76.68
77.38,77.51,77.65,76.95
77.05,77.26,77.64,76.88
77.24,76.30,77.24,76.28
76.14,76.17,76.82,75.87
76.30,75.98,76.30,75.72
75.63,76.01,76.41,75.17
76.18,74.58,76.18,74.39
74.58,74.25,75.04,73.89
74.28,74.77,74.83,73.94
75.50,75.66,75.90,75.21
75.70,76.01,76.03,75.21
76.09,75.88,76.27,75.51
76.17,76.54,76.54,75.95
76.26,76.59,77.12,75.99
75.94,76.07,76.80,75.34
75.88,75.91,76.05,75.26
76.27,76.19,76.39,75.60
76.24,76.39,76.79,76.20
76.68,76.67,77.15,76.43
76.49,76.86,77.25,76.49
76.73,76.53,76.94,76.31
76.47,77.40,77.42,76.47
77.63,77.66,77.68,77.35
77.65,77.64,77.99,77.49
77.95,77.81,78.04,77.64
77.89,77.70,77.91,77.26
77.51,77.04,77.63,76.79
77.09,77.03,77.26,76.85
77.08,77.45,77.51,77.02
77.49,78.25,78.25,77.45
77.88,77.37,77.88,77.34
77.46,78.45,78.47,77.34
77.60,78.20,78.56,77.60
78.22,78.40,78.62,77.91
78.45,77.90,78.45,77.71
78.02,78.26,78.38,77.37
78.04,77.68,78.45,77.65
77.66,78.54,78.54,77.46
79.79,79.41,79.85,78.84
79.30,79.36,79.68,79.16
79.49,79.69,79.72,79.20
79.50,79.80,79.88,79.41
79.78,79.65,80.00,79.43
79.81,79.92,79.99,79.62
80.00,80.03,80.25,79.69
79.98,79.97,80.21,79.68
79.96,80.17,80.19,79.96
80.00,80.60,80.70,79.91
80.44,80.40,80.49,80.15
80.65,80.59,80.73,80.53
80.72,81.02,81.05,80.49
80.89,81.41,81.41,80.89
81.43,81.45,81.50,81.12
81.67,81.49,81.72,81.25
81.64,82.10,82.10,81.60
82.24,82.23,82.35,81.80
82.19,82.30,82.35,82.06
82.24,81.54,82.25,81.40
81.49,80.80,81.49,80.73
81.28,81.25,81.57,81.01
80.94,80.98,81.32,80.76
81.25,80.90,81.37,80.76
80.59,81.04,81.19,80.44
81.01,80.67,81.15,80.48
80.75,81.37,81.49,80.75
81.37,81.62,81.72,81.37
81.62,82.23,82.23,81.52
82.23,82.14,83.14,81.89
82.05,81.70,82.05,81.63
81.76,81.67,81.79,81.35
81.79,82.35,82.36,81.78
82.36,81.91,82.70,81.91
81.77,81.25,81.96,81.19
81.61,82.06,82.06,81.57
82.54,80.44,82.54,80.44
80.77,80.76,81.14,80.17
80.69,81.25,81.63,80.60
81.16,81.04,81.49,80.96
80.68,81.36,81.39,80.39
81.26,81.96,82.14,81.26
82.30,82.58,82.73,81.95
82.78,82.45,82.93,82.06
82.50,81.91,82.65,81.75
82.16,81.84,82.16,81.34
81.96,82.04,82.04,81.59
81.98,81.81,82.06,81.61
81.91,81.86,82.11,81.55
81.87,82.34,82.44,81.82
82.04,82.28,82.36,81.80
81.72,81.91,82.14,81.61
81.96,81.41,82.01,80.96
81.77,81.75,81.83,81.46
81.49,81.42,82.02,81.40
81.70,81.88,82.03,81.50
81.50,81.33,81.74,81.18
81.58,82.03,82.09,81.58
81.79,82.06,82.11,81.56
82.05,82.45,82.52,81.87
82.50,82.74,82.78,82.07
82.95,83.14,83.38,82.91
83.33,82.93,83.39,82.71
83.17,84.43,84.47,83.16
83.57,84.68,84.73,83.35
84.76,85.50,85.54,84.32
