ATAI,ATA Inc. - American Depositary Shares,NASDAQ
3.52,3.50,3.60,3.50
3.47,3.38,3.50,3.38
3.32,3.31,3.36,3.31
3.52,3.25,3.52,3.15
3.20,3.20,3.20,3.20
3.16,3.30,3.30,3.16
nan,3.30,nan,nan
3.39,3.24,3.39,3.24
3.20,3.19,3.25,3.19
3.34,3.11,3.35,3.01
3.09,2.99,3.09,2.82
2.94,3.00,3.05,2.82
3.01,2.84,3.01,2.83
2.81,2.80,3.07,2.72
2.77,2.80,2.95,2.76
2.76,2.94,2.95,2.76
2.99,3.01,3.01,2.99
3.00,2.91,3.01,2.88
2.87,3.05,3.05,2.87
3.10,2.94,3.10,2.89
2.89,3.00,3.00,2.81
nan,3.00,nan,nan
nan,3.00,nan,nan
2.91,2.96,2.96,2.91
2.87,3.08,3.15,2.87
3.01,3.05,3.10,2.99
2.92,3.00,3.00,2.92
3.00,3.04,3.04,3.00
3.07,3.05,3.25,2.98
3.02,3.03,3.03,3.02
2.99,3.08,3.08,2.98
3.01,3.01,3.01,3.01
2.98,2.98,2.98,2.98
2.99,2.98,3.23,2.98
3.10,2.98,3.14,2.98
3.24,3.00,3.24,3.00
2.99,3.00,3.14,2.99
3.01,3.00,3.13,2.99
2.96,3.10,3.10,2.96
3.03,3.06,3.16,3.03
3.07,3.00,3.19,2.93
2.94,2.96,2.96,2.90
2.92,2.95,2.95,2.91
2.92,2.94,2.94,2.92
2.93,2.93,2.95,2.90
2.91,2.91,2.91,2.84
2.90,2.98,2.98,2.89
2.87,2.92,2.97,2.86
2.90,2.90,3.05,2.90
2.95,2.95,2.99,2.92
2.95,2.85,2.95,2.85
2.86,2.85,2.95,2.85
2.90,2.90,2.90,2.90
2.95,2.85,2.99,2.85
2.90,2.90,2.95,2.90
2.95,2.94,2.95,2.86
2.93,2.97,2.97,2.90
2.95,2.95,3.03,2.90
2.91,2.97,2.99,2.85
2.95,2.85,2.97,2.85
2.88,2.85,2.89,2.85
2.88,2.85,2.90,2.85
2.90,2.85,3.09,2.85
N/A,N/A,N/A,N/A
2.91,2.81,2.98,2.81
2.80,2.80,2.97,2.80
2.80,2.85,3.00,2.80
2.86,2.85,3.00,2.85
2.90,2.90,3.00,2.90
2.91,2.90,2.95,2.90
2.99,2.90,2.99,2.90
N/A,N/A,N/A,N/A
2.90,2.97,2.98,2.90
2.91,2.94,2.94,2.90
2.90,2.93,2.98,2.90
2.90,2.96,2.96,2.90
2.88,3.03,3.07,2.88
3.02,3.01,3.02,3.01
N/A,N/A,N/A,N/A
3.01,3.05,3.05,3.01
3.07,3.05,3.07,3.05
3.00,2.96,3.00,2.95
2.96,3.07,3.07,2.96
3.10,3.14,3.14,3.10
3.14,3.14,3.14,3.14
3.13,3.13,3.13,3.12
3.14,3.13,3.14,3.13
3.21,3.29,3.29,3.21
N/A,N/A,N/A,N/A
3.50,3.25,3.50,3.25
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
3.21,3.42,3.42,3.21
3.45,3.45,3.55,3.40
3.50,3.48,3.50,3.22
3.35,3.21,3.35,3.17
3.21,3.28,3.28,3.21
3.49,3.46,3.50,3.22
3.45,3.57,3.61,3.45
3.52,3.56,3.56,3.21
N/A,N/A,N/A,N/A
3.36,3.53,3.53,3.36
3.44,3.44,3.50,3.35
3.36,3.31,3.36,3.31
3.35,3.87,4.19,3.35
3.95,4.01,4.05,3.95
4.01,4.00,4.01,3.95
3.95,3.90,4.00,3.85
3.76,3.75,3.76,3.75
3.65,3.54,3.65,3.49
3.54,3.55,3.55,3.46
3.52,3.52,3.52,3.35
3.65,3.65,3.65,3.65
N/A,N/A,N/A,N/A
3.66,3.68,3.68,3.66
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
3.67,3.75,3.75,3.67
3.80,4.01,4.01,3.80
4.11,4.00,4.11,4.00
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
3.97,4.00,4.00,3.91
N/A,N/A,N/A,N/A
3.81,3.81,3.81,3.81
3.99,4.00,4.00,3.96
3.90,3.81,3.90,3.81
3.85,3.92,3.95,3.80
3.83,3.66,3.83,3.61
3.65,3.67,3.67,3.65
N/A,N/A,N/A,N/A
3.69,3.70,3.70,3.65
3.68,3.87,3.87,3.68
3.86,3.81,3.86,3.81
3.79,3.79,3.79,3.79
3.71,3.71,3.71,3.71
3.73,3.71,3.73,3.71
3.69,3.69,3.69,3.69
3.73,3.65,3.73,3.65
3.67,3.65,3.67,3.65
3.67,3.70,3.76,3.67
3.66,3.74,3.74,3.65
3.78,3.70,3.82,3.66
3.75,3.84,3.90,3.74
3.80,3.85,3.85,3.80
3.83,3.83,3.83,3.83
3.80,3.80,3.80,3.80
3.85,3.86,3.86,3.85
3.89,3.75,3.89,3.75
3.96,3.98,3.98,3.96
4.00,3.95,4.15,3.95
3.85,4.04,4.04,3.85
3.98,4.04,4.04,3.98
4.01,4.00,4.01,3.99
4.08,4.19,4.19,4.08
4.23,4.23,4.23,4.23
4.20,4.19,4.20,4.18
4.19,4.12,4.29,4.11
4.09,4.04,4.09,3.95
4.11,4.19,4.19,4.11
4.20,4.09,4.20,4.09
4.17,4.19,4.20,4.17
4.16,4.18,4.25,4.16
4.20,4.06,4.20,4.02
4.19,4.16,4.19,3.93
4.05,4.05,4.19,4.05
4.11,4.19,4.19,4.05
4.19,4.10,4.19,4.10
4.18,4.19,4.19,4.18
4.18,4.25,4.25,4.17
4.06,4.25,4.25,4.06
4.26,4.38,4.38,4.26
4.38,4.40,4.40,4.37
4.49,4.54,4.54,4.47
4.80,5.00,5.00,4.70
5.00,4.98,5.00,4.90
4.89,5.50,5.50,4.89
5.74,7.14,7.71,5.74
7.34,8.00,8.00,7.12
8.05,8.00,8.65,7.77
8.00,7.83,8.00,7.60
7.90,7.88,8.02,7.84
7.59,7.61,8.09,7.50
7.76,7.69,7.80,7.51
7.51,7.74,7.75,7.51
7.74,7.75,7.75,7.62
7.69,7.70,7.70,7.50
7.51,7.95,7.98,7.50
7.59,7.77,7.92,7.59
7.65,7.69,7.70,7.50
7.71,8.10,8.25,7.69
8.41,8.09,8.60,7.84
8.10,7.99,8.10,7.68
8.00,7.91,8.00,7.80
8.00,7.91,8.00,7.86
7.84,7.99,7.99,7.84
7.99,7.94,8.00,7.94
8.00,7.93,8.00,7.93
7.91,7.91,8.10,7.90
7.99,7.99,8.00,7.90
7.90,7.81,8.00,7.45
7.99,8.00,8.07,7.96
7.90,7.99,7.99,7.90
7.94,8.00,8.00,7.90
7.95,7.96,7.98,7.95
7.83,7.78,7.83,7.61
7.77,7.98,7.98,7.77
8.00,7.85,8.00,7.70
7.78,7.85,7.86,7.78
7.85,7.85,7.86,7.85
8.00,7.97,8.00,7.85
7.93,7.92,8.00,7.91
8.00,7.87,8.10,7.80
7.99,7.87,7.99,7.66
7.44,7.58,7.73,7.40
7.49,7.00,7.56,6.80
7.00,7.06,7.11,6.80
7.12,8.00,8.04,7.12
8.00,7.88,8.19,7.88
7.89,7.80,7.89,7.80
7.80,7.91,7.98,7.80
8.00,8.18,8.57,7.98
8.15,8.00,8.15,7.87
8.00,8.03,8.05,7.91
8.18,8.00,8.18,7.84
7.83,8.00,8.00,7.81
7.99,8.22,8.23,7.99
8.23,8.46,8.66,8.23
8.64,8.50,8.65,8.31
8.60,8.84,8.94,8.60
8.76,8.82,8.90,8.50
8.90,9.22,9.49,8.85
9.48,10.01,10.13,9.28
10.05,10.50,10.71,9.89
10.51,10.32,10.94,10.05
10.45,10.37,10.77,10.30
10.35,10.34,10.95,10.31
10.35,9.98,10.35,9.51
10.03,10.62,10.62,10.03
10.68,10.52,10.79,10.50
10.53,11.25,11.33,10.53
11.03,11.08,11.33,11.01
11.11,11.36,11.48,11.11
11.80,12.62,13.09,11.55
12.75,12.34,12.75,11.75
12.74,12.22,12.74,11.90
12.20,11.85,12.25,11.69
11.63,11.57,11.78,11.54
11.60,10.98,11.60,10.86
11.00,10.80,11.09,10.46
11.01,10.63,11.24,10.54
10.35,10.50,10.52,10.15
10.50,10.55,10.69,10.50
10.66,10.54,10.91,10.51
10.75,10.39,10.76,10.39
10.39,10.34,10.51,10.25
10.01,10.31,10.40,10.00
10.31,10.26,10.33,10.00
10.26,10.25,10.26,10.20
10.25,10.06,10.26,10.06
10.07,9.59,10.17,9.50
9.69,9.20,9.69,9.05
9.00,9.36,9.40,9.00
9.39,9.75,9.75,9.29
9.67,10.00,10.05,9.57
10.00,10.38,10.40,10.00
10.40,10.55,11.81,10.40
10.62,10.67,11.25,10.62
11.23,11.18,11.23,10.70
11.18,11.02,11.18,10.83
11.40,11.18,11.40,10.68
11.18,10.74,11.18,10.71
10.78,10.79,11.10,10.75
10.67,10.75,10.75,10.67
11.00,10.67,11.00,10.67
10.67,10.67,10.76,10.67
11.20,11.20,11.20,10.93
11.29,10.84,11.50,10.81
10.82,10.30,10.82,10.11
10.41,10.16,10.41,10.16
10.26,10.00,10.26,9.66
10.00,9.86,10.36,9.54
9.63,9.32,9.70,9.08
9.31,9.15,9.31,9.00
9.01,9.16,9.51,9.01
9.59,9.91,10.27,9.59
9.98,9.98,10.27,9.98
9.91,9.94,10.32,9.91
9.95,10.15,10.80,9.92
9.10,9.51,9.85,9.00
8.34,8.50,8.62,8.00
8.82,9.00,9.10,8.82
9.04,9.50,9.63,9.00
9.63,10.00,10.00,9.62
10.00,10.00,10.16,9.95
9.64,9.30,9.78,9.17
9.48,9.19,9.55,9.15
9.35,9.26,9.35,9.20
8.98,8.83,9.00,8.68
8.74,9.00,9.02,8.67
9.07,8.40,9.07,8.01
8.56,8.38,8.79,8.33
8.42,8.50,8.59,8.42
N/A,N/A,N/A,N/A
8.95,8.99,9.10,8.89
8.97,9.00,9.19,8.56
8.63,9.09,9.09,8.63
8.91,9.52,9.55,8.78
9.16,9.46,9.57,9.16
9.29,9.47,9.53,9.22
9.49,9.45,9.65,9.27
9.68,9.70,9.86,9.68
9.70,9.77,9.86,9.70
9.61,9.25,9.61,9.24
9.13,9.27,9.27,8.91
9.27,9.27,9.27,9.13
9.08,9.34,9.37,9.08
9.99,9.20,9.99,9.20
9.84,9.41,9.98,9.30
9.48,9.91,10.00,9.36
9.79,9.62,9.88,9.51
9.74,9.33,9.74,9.22
9.46,9.02,9.73,8.69
9.00,8.98,9.28,8.98
9.00,8.85,9.00,8.80
9.00,9.00,9.00,8.80
9.00,8.92,9.32,8.54
9.08,8.94,9.10,8.82
8.99,9.00,9.02,8.98
8.88,8.55,8.90,8.48
8.56,8.50,8.81,8.00
8.93,8.96,9.00,8.93
N/A,N/A,N/A,N/A
9.00,8.99,9.00,8.99
8.50,8.61,8.80,8.47
8.69,8.46,8.69,8.10
8.61,8.55,8.74,8.53
8.73,8.95,9.16,8.73
9.01,9.01,9.16,8.95
8.63,8.90,8.90,8.60
9.00,8.94,9.00,8.79
9.10,8.76,9.16,8.76
N/A,N/A,N/A,N/A
8.73,8.95,9.02,8.73
8.76,9.48,9.48,8.62
9.47,9.42,9.47,8.94
9.50,9.05,9.50,9.05
9.50,9.00,9.50,9.00
9.25,9.30,9.30,9.23
9.30,9.86,9.90,9.30
9.59,9.75,9.75,9.37
9.88,9.77,10.25,9.75
9.44,9.93,10.00,9.18
9.96,9.94,9.98,9.73
9.95,9.83,9.95,9.50
9.99,9.99,9.99,9.72
9.73,9.76,10.15,9.73
9.99,9.81,10.30,9.81
9.87,9.75,9.87,9.75
nan,9.95,nan,nan
9.75,9.85,9.85,9.75
9.80,9.75,9.80,9.74
9.70,9.75,9.75,9.70
9.70,9.70,9.71,9.70
9.60,9.32,9.60,9.22
9.47,9.85,9.85,9.14
9.42,9.40,9.45,9.40
9.49,9.67,9.70,9.40
9.44,9.41,9.51,9.40
9.41,9.74,9.79,9.41
9.74,9.43,9.80,9.43
9.41,9.49,9.62,9.41
9.49,9.48,9.56,9.48
9.52,9.52,9.54,9.52
9.59,9.59,9.60,9.55
9.55,9.55,9.67,9.55
9.62,9.40,9.67,9.40
9.09,9.00,9.10,8.56
8.99,9.00,9.00,8.70
9.16,8.90,9.20,8.90
8.92,8.45,8.92,8.45
8.41,8.85,9.00,8.22
9.00,9.00,9.00,8.80
9.04,8.98,9.04,8.98
8.01,9.00,9.01,8.00
7.96,8.40,8.50,7.96
8.50,8.77,8.81,8.03
8.64,8.59,8.64,8.28
8.50,8.00,8.50,8.00
7.56,7.56,8.05,7.54
8.00,7.69,8.00,7.53
7.51,7.50,7.51,7.31
7.15,7.39,7.50,7.15
7.25,7.39,7.59,7.25
7.36,7.36,7.36,7.36
7.37,7.39,7.40,7.36
7.40,7.45,7.49,7.36
7.40,7.56,7.59,7.40
7.54,7.60,7.60,7.54
7.59,7.58,7.59,7.57
7.55,7.59,7.59,7.55
7.46,7.07,7.46,7.03
7.05,6.75,7.10,6.73
6.59,6.29,6.59,6.25
6.20,6.21,6.21,6.20
6.07,6.25,6.29,6.03
6.25,6.18,6.25,6.10
6.28,6.30,6.30,6.28
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.32,6.59,6.63,6.32
6.64,6.63,6.80,6.63
6.66,6.65,6.91,6.65
N/A,N/A,N/A,N/A
6.73,7.00,7.10,6.73
6.93,7.15,7.15,6.93
N/A,N/A,N/A,N/A
7.16,7.24,7.24,7.05
7.20,7.17,7.24,7.14
7.24,7.00,7.24,6.85
6.97,6.84,6.97,6.79
6.92,6.84,7.00,6.84
6.84,7.00,7.14,6.80
7.00,7.00,7.00,6.97
nan,6.97,nan,nan
7.00,7.00,7.00,7.00
7.00,7.15,7.15,6.93
7.29,7.45,7.45,7.29
7.48,7.26,7.48,7.07
7.04,7.24,7.26,7.00
5.64,6.20,6.90,5.52
6.23,6.20,6.28,6.01
6.20,5.91,6.20,5.84
5.99,6.02,6.02,5.87
5.91,5.99,6.08,5.90
5.90,5.76,5.90,5.49
5.90,5.90,5.94,5.78
5.86,6.29,6.34,5.86
6.18,6.06,6.39,6.01
6.10,6.21,6.32,6.10
6.30,6.30,6.31,6.30
6.30,6.30,6.36,6.30
6.35,6.31,6.89,6.31
6.31,6.51,6.56,6.31
6.43,6.30,6.61,6.30
6.34,6.35,6.36,6.30
6.31,6.31,6.31,6.30
6.34,6.33,7.00,6.31
6.35,6.89,6.89,6.35
6.81,6.61,6.81,6.45
6.58,6.51,6.58,6.48
6.30,6.35,6.39,6.30
6.40,6.50,6.98,6.35
6.36,6.95,6.95,6.35
6.86,7.45,7.45,6.86
7.43,7.43,7.43,7.20
7.04,6.63,7.11,6.45
6.66,6.83,7.43,6.66
6.80,6.36,6.82,6.30
6.47,6.96,6.96,6.36
6.97,7.38,7.38,6.95
7.15,6.98,7.25,6.89
6.90,6.91,6.92,6.90
6.91,6.69,7.04,6.60
6.69,6.44,6.70,6.40
6.63,6.70,6.70,6.44
6.44,6.44,6.44,6.44
6.51,6.40,6.51,6.27
6.36,6.35,6.40,6.35
6.40,6.50,6.54,6.40
6.58,6.51,6.60,6.51
6.58,6.49,6.76,6.49
6.53,6.96,6.96,6.52
6.84,6.30,6.84,6.30
6.38,7.00,7.00,6.30
6.63,6.92,6.92,6.63
6.81,6.83,6.83,6.41
nan,6.80,nan,nan
6.75,6.58,6.75,6.20
6.75,6.45,6.75,6.31
nan,6.45,nan,nan
6.50,6.50,6.50,6.50
nan,6.50,nan,nan
6.51,6.50,6.51,6.50
6.72,6.75,6.75,6.72
6.75,6.75,6.75,6.75
6.76,6.80,6.80,6.75
nan,6.76,nan,nan
6.81,6.81,6.81,6.81
nan,6.81,nan,nan
6.53,6.80,6.95,6.05
6.50,6.35,6.50,6.35
6.30,6.24,6.30,6.23
6.23,6.15,6.23,6.15
nan,6.15,nan,nan
6.13,5.36,6.13,5.35
5.36,5.40,5.40,5.36
5.40,5.60,5.60,5.13
5.42,5.70,5.70,5.42
5.71,5.65,5.71,5.31
5.60,5.40,5.60,5.39
5.41,5.00,5.42,5.00
5.01,5.10,5.10,5.00
5.10,4.76,5.10,4.76
4.76,4.76,4.76,4.62
4.83,4.35,5.07,4.10
4.35,3.18,4.36,3.09
3.39,3.68,3.90,3.35
3.55,3.75,3.90,3.55
3.76,3.75,3.77,3.75
3.77,3.75,3.89,3.75
3.90,4.16,4.39,3.76
4.32,4.11,4.49,4.10
4.16,4.16,4.16,4.16
4.18,4.10,4.18,4.10
4.10,4.11,4.12,4.10
4.19,4.25,4.34,4.19
4.19,4.35,4.40,4.17
4.21,4.18,4.26,4.11
4.26,4.20,4.36,4.19
4.13,4.14,4.38,4.11
4.23,4.10,4.23,4.10
4.15,4.22,4.50,4.15
4.36,4.30,4.50,4.30
4.19,4.26,4.47,4.06
4.06,4.22,4.22,4.06
4.26,4.40,4.68,4.17
4.39,4.20,4.49,4.18
4.32,4.20,4.36,4.20
4.34,4.06,4.69,4.02
4.04,3.65,4.31,3.54
3.67,3.86,4.00,3.50
3.71,3.67,3.84,3.65
3.80,3.82,3.87,3.80
3.71,3.70,4.00,3.70
3.71,3.83,3.95,3.71
3.71,4.01,4.01,3.71
nan,4.06,nan,nan
4.01,4.21,4.58,4.01
4.30,4.33,4.33,4.10
4.10,4.22,4.33,4.10
4.21,4.68,4.71,4.10
4.28,4.40,4.64,4.27
4.41,4.43,4.43,4.41
4.58,4.39,4.58,4.25
4.55,4.54,4.58,4.51
4.74,4.75,4.75,4.51
4.81,4.86,4.88,4.75
4.88,4.78,4.88,4.78
4.69,4.72,5.21,4.58
4.66,4.62,4.75,4.62
4.58,4.55,4.58,4.31
4.50,4.40,4.50,4.40
4.10,4.39,4.39,4.03
4.14,4.35,4.37,4.14
4.38,4.38,4.40,4.38
4.44,4.36,4.46,4.36
4.43,4.40,4.60,4.38
4.36,4.36,4.38,4.35
4.36,4.35,4.40,4.35
4.55,4.36,4.55,4.36
4.36,4.36,4.42,4.36
4.36,4.36,4.38,4.36
4.39,4.50,4.50,4.39
4.38,4.40,4.42,4.38
4.44,4.44,4.44,4.44
4.42,4.42,4.42,4.42
4.48,4.40,4.50,4.39
4.36,4.38,4.41,4.36
4.40,4.38,4.40,4.38
4.36,4.52,4.65,4.36
4.43,4.42,4.43,4.41
4.47,4.43,4.47,4.43
4.40,4.60,4.64,4.40
4.64,4.72,4.97,4.60
4.79,4.77,4.79,4.77
4.85,4.79,4.85,4.79
4.85,4.80,4.96,4.66
4.82,5.01,5.26,4.60
4.90,5.45,5.50,4.90
5.48,5.55,5.55,5.48
5.50,5.50,5.53,5.50
5.60,5.45,5.65,5.45
5.57,5.57,5.57,5.39
5.40,5.21,5.42,5.20
5.10,4.92,5.10,4.92
4.80,4.75,4.80,4.75
4.61,4.68,4.74,4.60
4.76,5.04,5.10,4.73
4.98,5.11,5.11,4.98
5.16,5.17,5.24,5.16
5.04,4.98,5.16,4.98
4.90,4.72,5.29,4.72
4.54,4.55,4.60,4.54
4.63,4.83,5.18,4.63
5.17,5.05,5.17,5.05
5.13,5.13,5.13,5.13
5.14,5.14,5.14,5.14
5.14,5.08,5.14,4.85
4.96,4.96,4.96,4.96
4.96,4.68,5.48,4.61
4.68,4.74,4.75,4.66
4.69,4.75,5.03,4.69
4.61,4.85,4.99,4.61
4.73,4.78,4.80,4.60
5.05,4.81,5.51,4.81
4.78,4.76,4.96,4.75
4.78,4.77,4.78,4.72
4.74,4.65,4.74,4.65
4.65,4.75,4.80,4.64
nan,4.75,nan,nan
4.65,4.62,4.65,4.48
4.62,4.41,4.62,4.41
4.42,4.56,4.61,4.42
4.62,4.50,4.62,4.41
4.52,4.37,4.66,4.37
4.41,4.56,4.56,4.41
4.38,4.35,4.40,4.35
4.42,4.32,4.55,4.26
4.18,4.17,4.25,4.16
4.23,4.18,4.28,4.13
4.12,4.18,4.18,4.10
4.14,4.17,4.17,4.07
4.18,3.94,4.19,3.86
3.99,3.89,3.99,3.87
3.99,3.89,4.00,3.88
3.90,3.93,3.93,3.70
3.99,3.72,3.99,3.71
3.80,3.73,4.08,3.72
3.93,4.10,4.14,3.93
3.80,3.87,3.88,3.76
3.93,4.04,4.25,3.77
4.07,4.50,4.60,4.00
4.34,4.96,5.06,4.26
4.90,4.80,4.99,4.80
4.80,4.90,4.97,4.79
4.61,5.60,5.69,4.61
5.58,5.51,5.58,5.50
5.44,5.86,6.01,5.36
5.82,6.24,6.35,5.66
6.29,6.49,6.50,6.29
6.58,6.97,6.99,6.49
6.66,6.00,6.66,5.84
5.98,6.03,6.38,5.98
6.10,6.08,6.13,6.00
6.05,5.96,6.05,5.96
5.98,6.03,6.03,5.98
6.13,5.97,6.19,5.97
6.00,6.00,6.00,5.94
6.00,5.93,6.00,5.93
5.89,5.88,5.89,5.88
5.64,5.80,5.90,5.64
5.71,5.79,5.80,5.71
5.65,5.55,5.65,5.52
5.69,5.69,5.69,5.69
5.68,5.68,5.68,5.68
5.69,5.81,5.81,5.69
N/A,N/A,N/A,N/A
5.60,5.54,5.72,5.40
5.60,5.57,5.60,5.50
5.52,5.48,5.52,5.48
5.45,5.45,5.45,5.45
5.43,5.71,5.71,5.40
N/A,N/A,N/A,N/A
5.65,5.69,5.70,5.62
5.65,5.18,5.65,5.16
5.22,4.97,5.22,4.72
4.93,5.37,5.37,4.93
5.02,5.00,5.02,4.92
5.00,4.84,5.00,4.71
4.61,4.31,4.99,4.00
4.30,4.30,4.41,4.30
4.30,4.23,4.30,4.15
4.28,4.26,4.35,4.25
4.15,4.10,4.28,4.03
4.13,4.13,4.13,4.13
4.15,4.05,4.15,4.05
4.08,4.03,4.15,4.03
4.03,4.03,4.15,4.03
4.06,4.10,4.14,4.05
4.02,4.05,4.23,4.00
4.06,4.06,4.09,4.05
4.05,4.05,4.05,4.05
4.22,4.10,4.66,4.00
3.90,4.02,4.19,3.90
4.09,4.07,4.09,4.07
3.90,3.90,3.90,3.90
4.05,4.00,4.07,3.93
3.93,4.00,4.04,3.93
3.92,3.92,3.92,3.92
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
4.05,3.93,4.05,3.93
3.98,4.03,4.03,3.98
N/A,N/A,N/A,N/A
4.06,4.00,4.07,4.00
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
4.01,3.98,4.01,3.98
N/A,N/A,N/A,N/A
4.05,4.00,4.25,4.00
N/A,N/A,N/A,N/A
4.06,3.98,4.06,3.97
4.13,4.00,4.13,4.00
3.98,3.98,3.98,3.98
N/A,N/A,N/A,N/A
3.98,3.98,3.98,3.98
3.98,3.96,4.01,3.96
4.01,3.97,4.01,3.97
N/A,N/A,N/A,N/A
4.11,4.00,4.11,4.00
4.11,4.11,4.11,4.10
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
3.97,4.03,4.03,3.97
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
3.97,3.97,3.97,3.97
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
4.08,4.08,4.08,4.08
N/A,N/A,N/A,N/A
3.95,3.95,3.96,3.90
3.96,3.96,4.02,3.96
N/A,N/A,N/A,N/A
3.99,4.00,4.00,3.99
3.98,3.98,3.98,3.98
N/A,N/A,N/A,N/A
3.96,4.05,4.05,3.96
N/A,N/A,N/A,N/A
4.00,4.00,4.00,4.00
3.95,4.26,4.27,3.95
4.20,4.12,4.20,4.12
N/A,N/A,N/A,N/A
4.07,3.96,4.07,3.96
N/A,N/A,N/A,N/A
4.11,4.21,4.25,4.11
3.97,3.97,3.97,3.97
4.01,4.05,4.05,4.01
4.30,4.30,4.80,4.13
4.64,4.55,4.80,4.53
4.71,4.50,4.71,4.25
4.23,4.40,4.51,4.07
4.55,4.41,4.55,4.28
4.29,4.33,4.60,4.17
4.37,4.23,4.38,4.20
4.30,4.32,4.46,4.30
N/A,N/A,N/A,N/A
4.42,4.45,4.49,4.42
4.48,4.41,4.50,4.40
4.50,4.50,4.50,4.50
4.49,4.49,4.49,4.28
N/A,N/A,N/A,N/A
4.28,4.29,4.30,4.28
4.31,4.45,4.50,4.28
4.39,4.15,4.45,4.08
4.15,4.15,4.15,4.15
4.25,4.25,4.25,4.25
N/A,N/A,N/A,N/A
4.25,4.25,4.30,4.25
4.17,4.40,4.43,4.17
