GNVC,GenVec,NASDAQ
2.61,2.63,2.69,2.49
2.62,2.58,2.62,2.57
2.64,2.53,2.64,2.33
2.50,2.42,2.50,2.38
2.41,2.44,2.50,2.41
2.41,2.37,2.43,2.36
2.35,2.33,2.38,2.27
2.33,2.35,2.42,2.32
2.33,2.39,2.39,2.33
2.38,2.29,2.43,2.29
2.32,2.33,2.39,2.32
2.36,2.40,2.41,2.31
2.44,2.42,2.48,2.37
2.36,2.44,2.46,2.35
2.40,2.39,2.50,2.38
2.36,2.40,2.45,2.33
2.40,2.45,2.50,2.40
2.42,2.49,2.49,2.41
2.47,2.46,2.50,2.40
2.44,2.44,2.49,2.35
2.45,2.35,2.45,2.35
2.35,2.38,2.50,2.35
2.36,2.37,2.44,2.35
2.37,2.41,2.44,2.37
2.59,2.61,2.78,2.52
2.52,2.45,2.55,2.37
2.46,2.37,2.51,2.35
2.39,2.43,2.43,2.35
2.40,2.43,2.48,2.36
2.43,2.45,2.54,2.36
2.39,2.46,2.50,2.36
2.45,2.60,2.60,2.45
2.59,2.68,2.68,2.57
2.59,2.64,2.67,2.56
2.62,2.65,2.65,2.59
2.65,2.59,2.65,2.58
2.60,2.60,2.63,2.55
2.60,2.61,2.63,2.60
2.63,2.62,2.67,2.60
2.61,2.63,2.64,2.58
2.61,2.64,2.64,2.60
2.62,2.65,2.65,2.62
2.63,2.67,2.69,2.63
2.66,2.70,2.72,2.66
2.68,2.69,2.74,2.66
2.69,2.75,2.75,2.69
2.72,2.70,2.74,2.62
2.69,2.66,2.73,2.66
2.65,2.65,2.72,2.50
2.64,2.56,2.69,2.56
2.53,2.60,2.70,2.53
2.62,2.58,2.62,2.50
2.52,2.59,2.59,2.52
2.54,2.59,2.59,2.54
2.57,2.60,2.61,2.57
2.60,2.67,2.72,2.60
2.65,2.57,2.68,2.53
2.59,2.54,2.60,2.54
2.52,2.51,2.59,2.35
2.47,2.51,2.54,2.47
2.47,2.56,2.61,2.47
2.52,2.56,2.56,2.52
2.53,2.64,2.64,2.53
2.63,2.65,2.72,2.59
2.62,2.61,2.68,2.49
2.58,2.68,2.68,2.56
2.62,2.62,2.65,2.62
2.61,2.63,2.66,2.60
2.63,2.61,2.67,2.61
2.66,2.66,2.66,2.59
2.64,2.68,2.68,2.63
2.70,2.73,2.74,2.66
2.73,2.68,2.76,2.66
2.66,2.63,2.71,2.60
2.61,2.63,2.65,2.59
2.64,2.59,2.66,2.59
2.60,2.68,2.74,2.60
2.66,2.68,2.69,2.63
2.65,2.62,2.66,2.55
2.59,2.61,2.63,2.56
2.59,2.64,2.65,2.55
2.60,2.63,2.72,2.60
2.62,2.64,2.64,2.55
2.59,2.60,2.65,2.57
2.58,2.63,2.64,2.56
2.64,2.69,2.69,2.63
2.65,2.74,2.74,2.65
2.67,2.70,2.74,2.65
2.74,2.74,2.74,2.68
2.71,2.79,2.79,2.71
2.76,2.88,3.00,2.73
2.98,2.80,2.98,2.77
2.79,2.78,2.87,2.73
2.77,2.71,2.86,2.64
2.70,2.72,2.85,2.67
2.72,2.69,2.72,2.66
2.66,2.64,2.66,2.59
2.63,2.63,2.64,2.59
2.58,2.55,2.58,2.55
2.55,2.60,2.61,2.55
2.60,2.52,2.60,2.40
2.46,2.45,2.50,2.44
2.44,2.51,2.58,2.44
2.53,2.46,2.59,2.46
2.46,2.47,2.59,2.45
2.48,2.54,2.60,2.42
2.51,2.51,2.58,2.51
2.48,2.50,2.51,2.48
2.46,2.52,2.52,2.46
2.50,2.48,2.57,2.48
2.46,2.48,2.50,2.40
2.40,2.49,2.49,2.40
2.40,2.34,2.40,2.26
2.33,2.33,2.38,2.33
2.34,2.37,2.40,2.33
2.73,2.57,2.78,2.39
2.55,2.48,2.58,2.41
2.46,2.41,2.46,2.37
2.38,2.32,2.49,2.24
2.35,2.30,2.39,2.30
2.30,2.40,2.40,2.30
2.35,2.31,2.35,2.26
2.29,2.30,2.30,2.27
2.30,2.32,2.35,2.28
2.32,2.32,2.32,2.32
2.34,2.33,2.34,2.30
2.31,2.37,2.40,2.31
2.36,2.31,2.36,2.30
2.30,2.27,2.33,2.27
2.31,2.32,2.40,2.26
2.31,2.34,2.35,2.30
2.35,2.38,2.40,2.32
2.40,2.31,2.44,2.31
2.32,2.39,2.40,2.32
2.36,2.38,2.38,2.33
2.33,2.39,2.39,2.32
2.34,2.39,2.39,2.32
2.37,2.38,2.38,2.32
2.39,2.38,2.39,2.31
2.36,2.30,2.36,2.25
2.27,2.29,2.29,2.25
2.25,2.28,2.29,2.25
2.26,2.25,2.26,2.23
2.27,2.15,2.27,2.15
2.15,2.17,2.18,2.10
2.17,2.17,2.18,2.17
2.17,2.13,2.17,2.11
2.11,2.06,2.11,1.98
2.05,1.95,2.05,1.90
1.98,1.94,1.98,1.90
1.92,1.97,2.00,1.91
1.90,1.89,1.94,1.83
1.93,2.00,2.00,1.86
1.99,2.02,2.06,1.99
1.98,2.10,2.10,1.98
1.98,2.13,2.15,1.98
2.00,2.13,2.16,2.00
2.10,2.18,2.22,2.10
2.05,2.08,2.10,2.02
2.16,2.12,2.16,2.00
2.16,2.04,2.16,2.04
2.02,2.04,2.09,2.02
1.98,1.89,2.05,1.88
1.89,1.94,1.99,1.82
1.94,1.87,1.94,1.84
1.95,1.97,1.98,1.85
1.92,1.93,1.99,1.86
1.90,1.89,1.92,1.83
1.85,1.78,1.85,1.76
1.75,1.65,1.77,1.63
1.62,1.73,1.73,1.60
1.69,1.71,1.72,1.60
1.71,1.70,1.78,1.64
1.70,1.60,1.74,1.45
1.55,1.50,1.57,1.50
1.50,1.46,1.54,1.45
1.48,1.44,1.50,1.34
1.40,1.40,1.44,1.38
1.43,1.42,1.47,1.40
1.42,1.43,1.47,1.42
1.46,1.56,1.61,1.44
1.59,1.63,1.74,1.58
1.68,1.71,1.72,1.57
1.67,1.62,1.67,1.61
1.60,1.69,1.69,1.50
1.63,1.58,1.64,1.58
1.61,1.59,1.63,1.58
1.58,1.59,1.63,1.52
1.58,1.64,1.68,1.58
1.61,1.69,1.69,1.61
1.60,1.64,1.73,1.60
1.65,1.69,1.72,1.58
1.68,1.66,1.68,1.60
1.62,1.65,1.65,1.60
1.60,1.58,1.70,1.58
1.61,1.71,1.86,1.60
1.72,1.66,1.80,1.62
1.69,1.69,1.76,1.68
1.65,1.66,1.66,1.62
1.63,1.67,1.67,1.62
1.67,1.67,1.67,1.63
1.66,1.62,1.66,1.60
1.65,1.55,1.66,1.55
1.55,1.56,1.69,1.50
1.57,1.62,1.62,1.50
1.60,1.60,1.72,1.60
1.61,1.57,1.61,1.54
1.54,1.56,1.60,1.52
1.56,1.59,1.60,1.55
1.59,1.58,1.64,1.56
1.58,1.55,1.58,1.53
1.52,1.56,1.58,1.45
1.55,1.52,1.55,1.48
1.53,1.47,1.53,1.45
1.50,1.41,1.50,1.40
1.40,1.44,1.48,1.36
1.45,1.49,1.49,1.36
1.61,1.54,1.61,1.37
1.49,1.43,1.49,1.43
1.41,1.43,1.46,1.40
1.44,1.48,1.50,1.40
1.45,1.41,1.46,1.40
1.40,1.40,1.50,1.34
1.35,1.36,1.42,1.35
1.40,1.29,1.40,1.29
1.37,1.30,1.37,1.28
1.26,1.28,1.37,1.19
1.24,1.20,1.30,1.20
1.21,1.25,1.29,1.21
1.28,1.25,1.28,1.22
1.25,1.22,1.26,1.20
1.22,1.26,1.30,1.22
1.26,1.28,1.30,1.20
1.27,1.22,1.30,1.20
1.21,1.21,1.24,1.20
1.20,1.22,1.29,1.20
1.20,1.26,1.28,1.20
1.26,1.29,1.29,1.26
1.27,1.30,1.33,1.27
1.27,1.41,1.43,1.27
1.40,1.37,1.40,1.27
1.35,1.35,1.37,1.30
1.32,1.27,1.33,1.27
1.28,1.31,1.33,1.27
1.30,1.30,1.39,1.30
1.28,1.38,1.38,1.27
1.39,1.31,1.39,1.25
1.58,1.70,2.05,1.49
1.71,1.59,1.74,1.49
1.62,1.50,1.62,1.49
1.49,1.51,1.51,1.39
1.43,1.51,1.55,1.42
1.48,1.50,1.52,1.47
1.46,1.40,1.46,1.40
1.40,1.33,1.40,1.28
1.36,1.31,1.40,1.30
1.30,1.34,1.41,1.30
1.41,1.40,1.42,1.38
1.43,1.42,1.46,1.34
1.46,1.45,1.53,1.45
1.49,1.51,1.56,1.46
1.52,1.49,1.54,1.43
1.50,1.44,1.50,1.43
1.48,1.47,1.50,1.46
1.50,1.52,1.52,1.47
1.54,1.50,1.55,1.44
1.51,1.50,1.52,1.48
1.50,1.46,1.53,1.45
1.47,1.52,1.52,1.47
1.48,1.58,1.58,1.47
1.55,1.56,1.58,1.52
1.59,1.65,1.66,1.59
1.67,1.75,1.82,1.62
1.80,1.76,1.80,1.73
1.80,1.70,1.80,1.69
1.69,1.73,1.75,1.65
1.73,1.72,1.73,1.70
1.71,1.61,1.71,1.59
1.70,1.71,1.73,1.59
1.82,1.79,1.82,1.69
1.83,1.82,1.84,1.75
1.82,1.80,1.83,1.79
1.80,1.76,1.80,1.73
1.79,1.79,1.81,1.73
1.80,1.80,1.85,1.71
1.83,1.90,1.95,1.80
1.99,2.00,2.07,1.92
1.98,2.00,2.14,1.97
2.01,1.95,2.05,1.92
1.95,1.92,2.00,1.92
2.10,1.72,2.20,1.66
1.73,1.71,1.80,1.70
1.75,1.70,1.79,1.65
1.73,1.63,1.75,1.61
1.68,1.63,1.68,1.61
1.70,1.64,1.70,1.61
1.63,1.67,1.72,1.63
1.70,1.67,1.70,1.62
1.66,1.66,1.66,1.64
1.66,1.64,1.68,1.64
1.68,1.61,1.68,1.61
1.61,1.62,1.68,1.61
1.61,1.62,1.72,1.61
1.61,1.60,1.68,1.52
1.59,1.61,1.65,1.58
1.59,1.59,1.62,1.58
1.60,1.59,1.62,1.59
1.59,1.68,1.68,1.59
1.59,1.60,1.67,1.59
1.63,1.61,1.65,1.53
1.64,1.62,1.64,1.56
1.64,1.60,1.64,1.60
1.66,1.54,1.67,1.52
1.51,1.59,1.59,1.50
1.59,1.59,1.64,1.51
1.60,1.53,1.60,1.51
1.51,1.51,1.57,1.50
1.50,1.49,1.55,1.48
1.47,1.40,1.47,1.36
1.42,1.38,1.43,1.38
1.38,1.40,1.43,1.38
1.40,1.37,1.40,1.35
1.35,1.38,1.41,1.35
1.38,1.41,1.42,1.38
1.41,1.39,1.45,1.38
1.45,1.21,1.45,1.02
1.20,1.21,1.27,1.18
1.22,1.15,1.22,1.15
1.17,1.18,1.21,1.14
1.17,1.19,1.23,1.16
1.20,1.18,1.20,1.15
1.18,1.16,1.18,1.15
1.18,1.17,1.20,1.15
1.23,1.17,1.23,1.16
1.19,1.13,1.19,1.08
1.13,1.15,1.15,1.13
1.15,1.14,1.15,1.13
1.13,1.14,1.19,1.11
1.13,1.22,1.23,1.13
1.24,1.13,1.24,1.12
1.14,1.17,1.18,1.14
1.20,1.20,1.22,1.12
1.20,1.17,1.24,1.17
1.17,1.17,1.17,1.15
1.17,1.18,1.19,1.17
1.22,1.21,1.22,1.17
1.23,1.20,1.24,1.17
1.21,0.80,1.21,0.70
0.80,0.72,0.81,0.71
0.71,0.65,0.75,0.63
0.65,0.69,0.73,0.63
0.70,0.66,0.70,0.66
0.63,0.71,0.72,0.63
0.74,0.70,0.77,0.70
0.69,0.70,0.73,0.68
0.69,0.70,0.70,0.68
0.69,0.72,0.73,0.69
0.47,0.47,0.56,0.40
0.42,0.46,0.46,0.42
0.44,0.40,0.45,0.39
0.40,0.42,0.42,0.39
0.42,0.40,0.42,0.39
0.40,0.40,0.41,0.39
0.41,0.40,0.41,0.39
0.39,0.40,0.41,0.39
0.40,0.40,0.41,0.40
0.41,0.40,0.41,0.39
0.40,0.44,0.45,0.40
0.47,0.45,0.48,0.42
0.45,0.44,0.45,0.43
0.43,0.43,0.44,0.42
0.43,0.41,0.43,0.40
0.40,0.42,0.42,0.39
0.42,0.42,0.42,0.40
0.40,0.43,0.43,0.38
