KOSS,Koss Corporation - Common Stock,NASDAQ
6.24,6.14,6.24,6.14
5.87,5.95,5.95,5.87
6.14,6.25,6.25,6.14
6.25,5.97,6.25,5.97
6.25,6.25,6.25,6.20
6.21,6.13,6.25,5.97
6.20,6.25,6.25,5.92
6.25,6.53,6.69,6.25
6.54,5.82,6.71,5.66
5.99,5.85,5.99,5.85
5.98,5.90,5.99,5.90
6.07,6.02,6.07,6.02
6.02,6.02,6.02,6.02
6.04,6.02,6.04,6.02
5.76,5.95,5.99,5.76
5.98,6.00,6.04,5.94
6.03,6.18,6.19,6.00
6.22,6.02,6.22,6.02
6.07,6.04,6.07,6.00
6.14,6.19,6.19,6.13
6.15,6.15,6.15,6.15
6.00,6.02,6.02,6.00
5.81,5.82,5.84,5.81
5.82,5.82,5.82,5.82
5.85,5.85,5.85,5.84
5.98,5.75,6.00,5.75
5.95,5.73,5.95,5.70
5.80,5.80,5.80,5.80
5.86,5.89,5.89,5.86
5.89,5.89,5.89,5.89
5.89,5.72,5.89,5.31
5.62,5.56,5.62,5.56
5.49,5.51,5.74,5.45
5.53,5.50,5.53,5.48
5.54,5.73,5.89,5.53
6.27,5.40,6.27,5.40
5.44,5.66,5.70,5.44
5.81,5.55,5.82,5.55
5.47,5.52,5.61,5.47
6.15,5.47,6.15,5.40
5.45,5.42,5.70,5.42
5.45,5.46,5.58,5.45
5.69,5.50,5.72,5.50
5.45,5.45,5.45,5.45
5.40,5.45,5.50,5.40
5.73,5.46,5.73,5.45
5.30,5.33,5.40,5.30
5.33,5.25,5.33,5.20
5.13,5.25,5.30,5.13
5.00,5.11,5.12,5.00
5.12,5.03,5.12,5.03
5.09,5.20,5.25,5.09
5.11,5.15,5.20,5.11
5.20,5.03,5.29,5.03
5.03,5.10,5.10,5.03
5.10,5.21,5.21,5.03
5.25,5.27,5.27,5.25
5.28,5.30,5.30,5.18
5.33,5.19,5.33,5.15
5.25,5.26,5.26,5.25
5.30,5.29,5.30,5.25
5.30,5.14,5.30,5.10
5.04,5.05,5.14,5.04
5.11,5.24,5.25,5.10
5.15,5.15,5.15,5.15
5.05,5.24,5.24,5.05
5.27,5.25,5.27,5.25
5.30,5.25,5.30,5.25
5.25,5.09,5.25,5.09
5.03,5.24,5.24,5.03
5.15,5.13,5.15,5.13
5.14,5.16,5.16,5.10
5.03,5.20,5.22,5.03
5.10,5.08,5.24,5.08
5.20,5.20,5.20,5.19
5.11,5.11,5.11,5.11
5.15,5.11,5.20,5.11
5.15,5.15,5.20,5.10
5.15,5.15,5.20,5.15
5.18,5.20,5.20,5.18
5.20,5.20,5.20,5.20
5.15,5.20,5.20,5.15
5.12,5.15,5.15,5.12
5.15,5.04,5.15,5.04
5.06,5.04,5.09,5.04
5.03,5.00,5.05,5.00
5.00,5.16,5.19,4.92
5.10,5.28,5.28,5.00
5.28,5.20,5.29,5.15
5.25,5.05,5.25,5.04
5.07,4.99,5.30,4.95
5.01,5.00,5.23,4.99
5.04,5.12,5.22,5.00
5.25,5.36,5.84,5.14
5.23,5.51,5.51,5.23
5.43,5.75,5.82,5.41
5.75,5.84,5.85,5.42
5.53,5.75,5.84,5.43
5.77,5.77,5.82,5.70
5.74,5.80,5.80,5.64
5.80,5.74,5.80,5.74
5.80,5.78,5.80,5.69
5.75,5.66,5.75,5.56
5.83,5.78,5.90,5.56
5.80,5.85,5.90,5.80
5.75,5.68,5.85,5.68
5.61,5.69,5.79,5.60
5.79,5.77,5.85,5.77
5.75,5.59,5.75,5.51
5.53,5.59,5.59,5.47
5.47,5.60,5.60,5.47
5.59,5.59,5.60,5.50
5.59,5.59,5.59,5.50
5.65,5.75,5.75,5.65
5.50,5.66,5.78,5.50
5.52,5.55,5.55,5.50
5.51,5.79,5.93,5.50
5.89,5.85,5.90,5.75
5.86,5.86,5.86,5.86
5.88,5.85,5.90,5.85
5.77,5.93,5.93,5.75
5.93,5.90,5.95,5.75
5.88,5.66,5.88,5.62
5.58,5.60,5.60,5.58
5.50,5.76,5.88,5.50
5.53,5.73,5.73,5.53
5.84,5.84,5.84,5.84
5.85,5.65,5.87,5.57
5.58,5.52,5.80,5.52
5.58,5.53,5.58,5.51
5.53,5.55,5.70,5.53
5.54,5.67,5.74,5.54
5.59,5.56,5.70,5.56
5.56,5.56,5.56,5.56
5.58,5.50,5.58,5.47
5.40,5.40,5.40,5.30
5.63,5.31,5.63,5.31
5.31,5.50,5.51,5.31
5.32,5.32,5.56,5.32
5.33,5.33,5.33,5.33
5.35,5.62,5.62,5.35
5.62,5.62,5.62,5.62
5.54,5.41,5.54,5.36
5.57,5.60,5.62,5.54
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
5.42,5.58,5.58,5.42
5.56,5.62,5.62,5.56
5.41,5.62,5.62,5.41
5.62,5.62,5.62,5.62
5.41,5.67,5.73,5.41
5.46,5.46,5.46,5.46
5.46,5.46,5.46,5.46
5.41,5.41,5.41,5.41
5.49,5.38,5.57,5.38
5.38,5.54,5.59,5.21
5.50,5.27,5.50,5.26
5.27,5.24,5.27,5.22
5.09,5.09,5.09,5.09
5.12,5.35,5.64,5.10
5.68,5.57,5.68,5.37
5.51,5.50,5.51,5.50
5.45,5.38,5.45,5.38
