IGM,iShares North American Tech ETF,NASDAQ
52.47,52.96,53.06,52.26
53.07,53.27,53.33,52.88
52.78,52.62,52.90,52.24
51.80,51.19,51.80,51.00
50.09,50.26,50.46,49.78
50.15,50.00,50.42,49.99
49.68,50.15,50.41,49.59
50.57,50.76,51.16,50.49
50.70,51.01,51.30,50.57
50.82,50.37,50.98,50.16
50.26,50.37,50.51,50.04
50.63,49.88,50.72,49.88
49.34,49.05,49.57,48.91
48.75,49.40,49.53,48.57
49.60,48.89,49.67,48.79
49.21,49.48,49.53,48.25
49.29,48.83,49.57,48.83
48.66,48.47,48.98,48.26
49.23,49.92,50.06,49.17
49.93,50.43,50.43,49.88
50.98,51.28,51.28,50.80
51.01,50.72,51.22,50.71
50.84,50.95,51.11,50.75
51.51,51.06,51.51,51.00
51.19,51.05,51.19,50.74
51.54,52.16,52.26,51.54
52.05,52.46,52.87,52.05
52.47,52.72,52.80,52.29
52.65,53.05,53.07,52.63
53.47,53.25,53.47,53.05
53.40,54.07,54.14,53.40
54.10,53.93,54.38,53.82
53.76,53.63,53.95,53.32
53.28,53.66,54.20,53.27
54.23,54.87,54.89,54.23
55.00,54.81,55.22,54.75
54.94,54.90,55.03,54.00
54.75,54.92,55.10,54.73
55.21,54.72,55.36,54.34
55.12,54.59,55.12,54.44
54.45,53.96,54.49,53.68
54.48,55.20,55.30,54.48
55.08,54.66,55.27,54.29
54.99,54.85,54.99,54.43
54.88,55.21,55.32,54.48
55.21,55.22,55.51,55.08
55.10,55.62,55.74,54.85
55.99,56.16,56.38,55.85
56.28,56.12,56.39,55.84
56.75,57.09,57.10,56.29
57.11,57.15,57.27,56.92
56.24,56.26,56.76,55.87
56.39,56.71,57.01,56.30
57.14,56.81,57.22,56.33
56.88,57.26,57.29,56.85
57.42,57.55,57.89,57.42
57.33,57.62,57.73,57.03
57.33,57.94,57.98,57.30
58.14,57.94,58.14,57.52
57.99,58.07,58.35,57.99
58.25,58.16,58.65,57.88
58.51,58.66,58.79,58.51
58.68,59.03,59.05,58.47
59.75,59.92,60.05,59.64
60.01,60.01,60.06,59.79
59.94,60.08,60.24,59.90
60.26,59.89,60.54,59.68
59.86,60.11,60.16,59.48
58.70,59.11,59.20,58.34
58.81,58.38,59.24,58.00
58.60,58.05,58.60,58.04
57.65,57.07,57.81,56.87
57.14,57.05,57.46,57.00
57.62,58.11,58.36,57.62
58.07,58.31,58.37,57.97
58.14,58.77,58.78,58.05
58.32,57.92,58.32,57.60
58.41,59.05,59.09,58.41
58.51,58.74,58.98,58.51
58.40,58.47,58.63,57.89
57.91,57.77,58.05,57.64
58.62,58.99,59.25,58.62
59.08,59.69,59.76,59.08
59.45,59.96,60.01,59.45
59.98,60.00,60.12,59.90
60.70,60.01,60.70,60.00
60.17,60.46,60.46,59.94
60.82,60.48,60.82,60.39
60.65,60.80,60.88,60.51
61.10,60.52,61.10,60.52
60.59,60.46,60.77,60.32
60.33,60.16,60.73,60.06
60.21,60.46,60.63,60.14
60.55,60.64,60.80,60.51
60.62,60.45,60.65,60.16
60.69,60.84,60.88,60.65
60.85,60.78,60.90,60.71
60.74,60.66,60.80,60.59
60.54,60.78,60.88,60.31
60.85,60.71,60.88,60.61
60.86,60.81,60.97,60.74
60.77,60.72,60.81,60.69
60.58,60.45,60.68,60.31
60.98,61.28,61.60,60.86
61.43,61.32,61.51,60.90
61.18,61.78,61.80,61.18
61.95,62.31,62.33,61.79
62.33,62.11,62.41,61.51
61.96,62.27,62.39,61.78
62.52,62.43,62.55,62.20
62.74,62.98,62.98,62.59
62.95,62.94,63.10,62.78
62.99,63.54,63.54,62.90
63.23,63.84,63.87,63.14
63.82,63.22,63.85,63.01
62.82,62.67,62.89,62.05
63.08,62.24,63.08,62.23
62.39,63.09,63.09,62.20
62.93,63.18,63.22,62.69
63.37,63.54,63.75,63.17
63.74,64.01,64.20,63.64
64.05,62.45,64.05,62.20
62.46,62.81,62.85,62.18
63.29,63.98,64.12,63.27
63.94,64.21,64.40,63.91
64.20,64.29,64.43,63.67
64.45,64.81,64.84,64.36
65.03,65.20,65.49,64.90
65.36,65.55,65.55,65.06
65.23,65.37,65.55,65.21
64.73,65.19,65.27,64.59
65.05,65.47,65.55,65.05
65.60,65.67,65.79,65.49
65.64,65.29,65.64,65.17
65.58,65.76,65.87,65.50
65.60,65.97,66.07,65.56
66.09,65.91,66.14,65.74
65.07,64.16,65.30,64.07
63.88,63.16,63.93,62.64
63.17,63.48,63.67,62.88
63.81,64.32,64.43,63.81
64.61,64.29,64.72,63.97
64.50,63.21,64.56,63.03
63.19,63.52,64.01,63.19
64.15,64.62,64.78,64.15
64.74,64.18,64.74,63.87
64.47,63.20,64.47,62.75
63.22,63.66,63.90,62.90
63.47,63.17,63.47,62.95
62.43,61.88,62.43,61.78
61.67,62.24,62.50,61.59
61.92,61.95,62.20,61.58
60.29,61.12,61.43,59.89
60.74,59.69,61.05,59.36
60.48,60.07,60.76,60.07
60.90,60.17,60.90,60.15
61.15,61.39,61.66,61.03
61.52,61.19,61.52,61.10
61.08,61.65,61.77,60.82
62.03,62.66,62.72,61.80
62.82,62.68,63.09,62.67
62.94,62.36,62.94,62.36
62.28,62.79,62.79,62.09
63.19,63.06,63.23,62.93
62.97,62.98,63.15,62.94
63.42,62.91,63.42,62.74
62.99,62.64,63.00,62.40
62.73,62.67,63.08,62.62
63.14,63.03,63.22,62.67
63.02,63.01,63.33,62.60
63.23,62.72,63.27,62.50
62.80,62.54,62.89,62.34
62.29,61.93,62.29,61.74
62.34,62.43,62.64,62.19
62.01,62.24,62.25,61.73
62.08,62.07,62.22,61.90
61.49,61.52,61.56,60.79
61.60,61.69,61.73,61.34
62.86,63.25,63.29,62.68
63.79,63.82,63.82,63.50
63.78,63.90,64.00,63.71
64.11,64.30,64.56,63.96
64.48,64.80,64.85,64.21
64.67,64.82,64.91,64.60
64.82,64.92,64.95,64.59
65.19,64.62,65.19,64.56
64.61,64.26,64.61,63.88
64.35,64.10,64.42,63.58
63.88,63.83,64.43,63.62
64.47,64.05,64.82,63.86
64.11,64.33,64.50,63.97
64.56,64.90,64.98,64.42
64.77,64.40,65.00,64.00
64.11,64.81,64.89,63.93
64.68,64.02,64.69,64.02
63.76,62.97,63.92,62.84
62.60,62.86,62.87,62.14
62.89,63.50,63.58,62.89
63.67,63.56,63.73,63.16
63.50,63.21,63.60,63.17
62.11,62.18,62.35,62.00
62.32,61.83,62.32,61.83
61.64,62.17,62.42,61.64
61.94,62.61,62.73,61.94
62.66,62.91,62.99,62.66
63.47,63.84,63.84,63.21
63.69,62.40,63.79,62.40
62.51,62.48,62.74,62.30
61.80,61.53,62.13,61.47
61.40,61.03,61.62,60.98
61.27,60.93,61.40,60.90
60.76,60.32,60.76,60.22
60.34,60.48,60.65,60.26
60.18,59.56,60.27,59.50
59.67,59.44,59.75,59.39
59.98,60.19,60.44,59.98
59.80,59.13,60.05,58.96
59.09,58.81,59.30,58.32
59.29,58.58,59.29,58.52
58.37,58.80,58.92,58.37
59.09,60.09,60.15,58.92
59.83,59.65,60.13,59.64
59.03,60.14,60.14,58.77
59.94,59.06,59.94,59.01
59.07,59.97,60.19,59.07
60.16,60.56,60.71,60.16
61.00,61.19,61.22,60.59
61.42,62.06,62.10,61.42
62.07,63.13,63.13,61.93
63.07,63.24,63.27,62.91
63.32,63.53,63.53,63.19
63.95,64.41,64.57,63.95
63.90,64.10,64.10,63.45
63.30,62.87,63.61,62.66
62.74,62.14,62.74,62.14
62.50,62.32,63.03,62.19
62.59,61.63,62.85,61.53
62.26,62.41,62.42,61.93
62.07,62.00,62.38,61.52
62.62,63.72,63.77,62.62
64.03,63.32,64.03,63.22
63.32,63.57,63.83,62.82
63.63,64.28,64.40,63.63
63.70,64.07,64.37,63.60
64.11,64.27,64.55,63.97
63.82,62.45,63.82,62.33
62.41,62.48,63.22,62.22
61.91,62.01,62.69,61.54
62.76,61.71,62.87,60.98
61.46,60.25,61.83,60.25
60.36,61.06,61.11,59.46
60.17,58.20,60.27,58.20
58.59,57.80,58.84,55.99
55.86,54.38,56.81,54.38
55.07,56.70,56.70,53.43
55.55,54.61,56.37,54.56
55.20,56.92,57.54,55.19
57.44,57.38,57.74,56.79
57.71,58.41,58.44,57.71
57.95,57.73,58.21,57.20
57.80,57.16,58.03,56.83
55.56,54.02,55.56,53.51
53.17,52.57,54.36,52.56
53.77,52.87,53.77,52.70
53.31,55.12,55.12,53.31
55.01,55.54,55.61,54.64
55.58,54.63,55.79,54.63
54.44,55.97,56.07,54.08
56.64,57.74,57.74,56.64
57.43,58.05,58.21,57.13
58.39,58.05,58.78,57.80
58.10,57.35,58.70,57.35
56.27,55.95,56.40,55.71
54.40,55.63,55.68,54.30
56.64,57.24,57.24,56.54
56.93,56.91,57.87,56.91
56.49,55.59,56.72,55.27
55.01,56.32,56.32,55.01
56.54,57.04,57.10,56.23
57.37,58.04,58.48,57.07
58.69,58.97,59.08,58.22
59.22,59.46,59.46,58.89
58.67,59.33,59.51,58.18
59.61,58.87,60.04,58.87
59.11,58.04,59.86,58.04
56.29,56.15,56.96,55.30
55.68,56.72,56.89,55.65
56.95,57.48,57.48,56.04
58.46,58.01,59.10,57.83
58.46,57.24,58.63,57.20
58.17,56.91,58.22,55.98
55.96,55.35,56.61,55.35
54.94,53.87,55.72,53.87
53.32,55.25,55.30,53.05
55.18,56.63,56.79,54.82
56.61,57.75,57.77,56.37
57.73,57.43,58.00,57.18
58.52,59.29,59.29,58.43
59.20,59.59,59.81,59.01
60.18,60.05,60.63,60.05
59.86,60.62,60.67,59.82
61.52,61.87,61.89,61.24
61.60,60.73,61.64,60.41
60.51,61.37,61.55,59.88
61.08,60.07,61.08,59.95
60.00,59.80,60.01,58.98
60.35,60.61,60.83,60.10
60.89,61.90,62.09,60.84
61.68,60.78,61.68,60.69
61.22,60.77,61.22,59.67
62.36,62.91,63.17,62.07
62.51,63.09,63.18,62.51
62.46,61.83,62.58,61.83
60.45,60.11,60.65,59.96
60.90,60.88,61.08,60.40
61.34,62.45,62.47,60.84
62.04,62.17,62.33,61.47
62.05,62.47,62.48,61.35
63.00,63.20,63.23,62.35
61.85,60.95,61.85,60.73
61.61,60.94,61.61,60.39
61.64,62.35,62.53,61.51
62.21,62.03,62.61,61.90
61.98,62.77,63.06,61.79
62.37,61.82,63.03,61.75
61.68,60.37,61.68,60.00
60.22,59.86,60.33,59.86
59.05,58.71,59.09,58.09
58.52,58.49,58.75,58.06
57.97,57.04,57.97,56.97
56.87,56.66,57.44,56.66
57.96,58.63,58.69,57.96
58.68,58.18,58.87,58.05
59.77,60.60,60.60,59.73
60.43,60.89,61.07,60.43
61.39,60.89,61.58,60.84
61.68,61.64,62.09,61.36
61.62,61.52,61.73,61.35
61.31,61.54,61.77,60.72
61.25,60.48,61.62,60.44
60.64,61.60,61.68,60.64
61.01,60.69,61.01,60.21
60.95,59.85,61.25,59.72
59.15,58.82,59.36,58.54
59.36,58.70,59.38,58.66
59.03,58.82,59.54,58.70
59.01,58.03,59.12,57.96
58.91,59.88,59.93,58.91
59.59,58.62,59.59,57.94
58.64,59.25,59.28,58.64
59.42,59.79,59.79,59.23
59.61,59.84,60.10,59.61
59.71,59.07,59.75,59.02
59.14,59.66,59.67,59.14
59.71,59.41,59.72,59.41
60.51,60.29,60.80,60.22
60.22,60.35,60.40,59.81
60.32,60.74,60.81,60.10
60.43,60.84,60.88,60.43
61.02,60.76,61.02,60.49
61.38,61.04,61.54,61.00
60.88,61.25,61.31,60.85
61.32,61.55,61.55,60.92
61.09,61.08,61.10,60.65
61.61,61.43,61.83,61.29
61.60,62.62,62.67,61.60
62.97,63.23,63.42,62.97
63.15,63.39,63.41,63.15
63.39,63.41,63.85,63.06
63.25,63.58,63.74,63.18
64.00,64.03,64.14,63.47
64.24,63.71,64.50,63.51
63.75,63.89,64.04,63.64
63.48,63.90,63.97,63.24
64.19,64.09,64.23,63.63
64.35,64.64,64.95,64.21
64.90,64.98,65.23,64.80
65.52,66.02,66.13,65.52
65.82,65.86,65.88,65.55
65.81,66.06,66.15,65.49
66.15,66.46,66.46,65.94
66.60,66.91,66.94,66.35
66.42,66.26,66.44,66.12
66.68,66.65,66.83,66.30
66.53,66.86,66.86,66.36
67.08,66.49,67.48,66.46
66.55,67.51,67.59,66.46
67.68,67.49,67.68,67.33
67.59,67.47,67.90,67.21
67.35,67.16,67.52,67.11
67.18,67.54,67.60,66.78
67.73,67.83,67.97,67.67
67.41,67.90,68.06,67.11
68.07,68.37,68.40,68.07
68.42,67.85,68.53,67.78
68.08,68.26,68.46,68.00
68.29,68.14,68.42,67.86
68.01,67.49,68.01,67.26
66.83,66.72,66.83,66.43
66.89,67.21,67.31,66.89
67.71,67.98,68.01,67.52
68.15,68.22,68.38,68.10
68.28,68.22,68.32,67.95
68.61,69.50,69.50,68.61
69.52,69.69,70.00,69.36
69.83,69.93,70.09,69.67
70.13,70.11,70.17,69.83
70.03,70.45,70.64,69.93
70.02,70.33,70.36,69.78
70.45,70.46,70.73,70.27
70.01,70.18,70.31,69.88
70.35,70.38,70.46,69.91
70.55,71.32,71.36,70.55
71.49,71.35,71.72,71.31
71.44,71.02,71.53,70.69
70.75,71.03,71.11,70.50
71.34,70.83,71.35,70.59
70.80,71.45,71.53,70.54
71.46,71.23,71.63,70.86
70.63,70.09,70.63,69.67
69.86,70.26,70.31,69.79
69.41,69.73,69.98,69.27
69.59,68.54,69.95,68.44
69.22,69.03,69.39,68.88
69.27,70.11,70.17,69.27
69.89,69.13,69.89,69.12
69.47,68.49,69.48,68.23
68.86,69.89,70.03,68.86
69.48,69.39,69.72,69.22
69.08,68.72,69.91,68.45
69.03,68.40,69.21,68.39
67.78,67.83,67.85,67.26
67.76,67.42,67.83,67.20
68.57,69.25,69.25,68.57
69.51,69.80,69.95,69.37
70.18,70.21,70.48,69.83
70.06,69.87,70.09,69.75
69.85,70.03,70.72,69.85
69.58,70.08,70.10,69.46
70.15,69.36,70.15,69.18
68.77,67.76,68.77,67.73
67.35,67.56,67.88,67.34
67.05,67.14,67.26,66.24
66.37,67.16,67.38,66.07
67.33,66.47,67.33,66.37
66.27,66.55,67.18,66.27
65.98,65.95,66.33,65.84
66.18,65.80,66.66,65.70
65.83,65.21,66.15,65.19
65.24,64.06,65.30,64.06
64.34,63.11,64.34,62.99
63.18,64.78,64.78,63.07
64.92,64.60,65.11,64.27
64.00,64.67,64.76,63.37
64.85,64.02,64.85,63.70
64.04,63.98,64.22,63.91
64.58,64.81,65.18,64.34
64.20,64.18,64.30,63.88
64.04,63.79,64.04,63.25
62.64,61.95,62.76,61.94
62.06,62.26,62.44,61.47
62.06,62.79,62.89,62.06
63.30,64.43,64.43,63.30
65.11,64.10,65.11,64.06
64.08,64.72,64.72,63.86
65.20,63.59,65.20,63.59
63.81,64.28,64.28,63.49
64.08,63.67,64.33,63.61
63.80,63.90,64.05,63.38
64.16,64.93,64.93,64.16
64.55,65.30,65.47,64.55
65.52,65.82,66.09,65.52
65.90,65.92,66.22,65.51
65.94,64.20,65.96,64.04
64.33,64.94,64.96,64.30
64.27,63.51,64.27,63.37
63.67,63.78,63.94,63.35
63.90,64.17,64.38,63.90
63.57,63.51,63.69,62.80
64.81,65.56,65.58,64.67
65.83,65.72,65.83,65.24
65.80,66.27,66.30,65.72
66.15,66.32,66.63,65.89
65.82,64.96,65.82,64.48
64.90,64.54,64.92,64.22
64.79,63.72,64.96,63.50
63.72,63.42,63.72,62.85
62.86,62.68,62.94,62.34
62.84,63.58,63.70,62.84
63.49,63.22,63.60,63.21
63.65,63.43,63.71,62.68
63.39,64.76,64.97,63.39
65.31,65.74,65.97,65.31
65.70,64.91,65.70,64.91
63.75,64.16,64.26,63.33
64.07,63.41,64.07,63.03
63.37,63.31,63.81,63.13
64.26,64.40,64.70,63.97
64.97,66.00,66.15,64.93
66.18,65.82,66.49,65.71
65.85,65.70,66.12,65.70
65.99,65.39,65.99,65.25
64.91,65.12,65.69,64.67
65.91,66.55,66.71,65.91
66.73,67.11,67.27,66.73
67.34,67.74,68.04,67.34
67.63,67.72,67.82,67.46
67.77,67.92,68.01,67.62
67.64,67.91,67.92,67.50
67.94,68.04,68.08,67.64
68.35,67.83,68.35,67.72
67.79,68.05,68.16,67.79
68.47,69.12,69.28,68.38
69.20,69.42,69.47,69.20
69.40,69.35,69.40,69.02
69.50,69.06,69.80,68.88
68.79,69.03,69.21,68.65
68.80,68.43,68.82,68.23
68.18,68.75,68.87,68.18
68.99,68.69,68.99,68.63
68.58,68.74,68.92,68.50
68.76,68.92,69.03,68.56
68.53,68.04,68.53,68.03
68.53,68.74,68.79,67.90
68.56,68.52,68.72,67.90
68.44,68.45,68.70,68.31
68.86,70.14,70.19,68.86
70.01,70.24,70.25,70.00
70.11,69.49,70.12,69.49
69.44,69.74,69.95,69.44
69.89,69.88,70.10,69.67
69.85,70.71,71.00,69.85
71.02,71.34,71.66,71.02
71.40,71.19,71.40,70.96
70.95,71.11,71.25,70.95
71.17,71.14,71.33,71.08
70.88,70.92,70.92,70.60
71.25,70.87,71.29,70.81
70.35,70.38,70.48,70.12
70.47,69.20,70.48,69.20
69.12,68.62,69.12,68.29
68.89,69.69,69.79,68.81
69.56,69.25,69.75,69.19
69.55,69.18,69.92,69.02
69.41,69.30,69.46,68.84
69.47,69.54,69.69,69.28
69.51,69.72,69.79,69.11
70.10,69.47,70.20,69.42
68.99,68.96,69.26,68.83
68.41,67.92,68.49,67.74
67.77,67.30,67.77,67.24
67.73,67.35,68.00,67.35
67.37,67.35,67.60,67.15
67.54,67.88,67.92,67.25
67.99,68.74,68.82,67.98
68.18,68.30,68.49,67.96
68.15,67.35,68.34,67.05
67.26,66.09,67.26,65.91
65.98,66.19,66.23,65.71
65.46,65.78,66.02,65.33
65.94,65.18,66.02,65.10
65.49,65.14,65.69,64.97
65.61,65.60,65.64,64.85
65.67,65.35,65.67,65.16
65.55,66.62,66.62,65.51
66.87,65.93,66.87,65.91
65.93,66.30,66.45,65.87
66.55,66.80,67.13,66.50
66.17,65.22,66.19,65.22
65.44,64.49,65.60,64.49
64.47,64.68,65.32,64.47
64.90,64.55,64.90,64.37
64.01,64.11,64.68,63.95
64.49,63.40,64.54,63.33
63.42,63.27,63.68,63.07
63.36,63.49,63.65,62.56
64.13,64.78,64.83,64.13
64.65,64.55,64.72,64.14
64.59,64.98,65.00,64.59
65.36,65.73,65.73,65.26
65.86,66.06,66.06,65.56
66.07,66.05,66.32,65.83
65.60,66.47,66.51,65.45
66.70,66.82,66.98,66.53
66.83,66.73,66.83,66.50
67.17,66.52,67.26,66.52
66.51,66.66,66.74,66.22
66.63,66.37,66.73,65.95
66.38,66.85,66.99,66.38
67.04,66.67,67.05,66.51
66.57,66.90,67.11,66.57
67.20,67.75,67.99,67.20
68.05,67.54,68.05,67.49
67.52,67.20,67.80,66.91
66.87,66.78,67.04,66.65
66.86,67.47,67.63,66.86
67.98,68.77,68.80,67.80
68.73,68.35,68.78,68.31
68.31,68.35,68.51,67.90
67.58,67.72,67.84,67.15
67.62,67.51,67.66,67.38
67.60,67.17,67.79,66.91
67.11,67.11,67.11,66.13
66.47,66.36,66.85,66.36
66.13,67.46,67.53,65.98
68.95,69.45,69.50,68.83
69.57,69.07,69.75,69.04
69.24,69.17,69.25,68.90
68.97,69.07,69.22,68.87
69.07,68.78,69.18,68.46
69.09,69.12,69.23,68.93
69.58,69.42,69.61,68.87
69.51,69.77,69.83,69.45
69.53,69.60,69.70,69.37
69.35,69.51,69.51,69.09
69.44,69.62,69.79,69.31
69.96,69.95,70.17,69.86
69.67,69.77,69.80,69.45
69.83,69.82,69.83,69.45
70.50,70.55,70.71,70.49
70.02,70.32,70.82,70.02
70.53,70.83,71.04,70.51
70.85,70.78,71.10,70.77
70.49,70.45,70.58,70.09
70.63,70.26,70.74,70.19
70.37,70.30,70.65,70.26
70.84,71.09,71.20,70.65
70.83,70.11,70.95,70.11
70.48,71.00,71.20,70.31
70.81,70.91,71.09,70.66
70.88,70.72,70.90,70.13
71.08,71.39,71.49,71.05
71.50,71.40,71.50,71.17
71.33,71.20,71.50,71.20
71.34,71.28,71.47,71.08
71.03,71.46,71.55,70.99
71.59,71.38,71.69,71.25
71.55,71.93,71.95,71.50
71.98,70.87,72.00,70.84
70.68,70.12,70.68,69.82
70.55,70.94,70.94,70.45
71.33,69.92,71.47,69.92
70.11,70.19,70.26,69.69
70.25,70.96,71.27,70.10
70.93,70.83,71.35,70.83
70.58,71.04,71.11,70.22
70.90,71.41,71.41,70.77
71.79,72.34,72.49,71.79
72.55,72.49,72.61,72.32
72.62,72.66,72.75,72.46
72.89,72.79,72.89,72.56
72.69,72.84,72.89,72.50
72.76,72.70,72.85,72.41
72.73,72.74,72.89,72.45
72.95,73.13,73.25,72.95
73.02,72.73,73.02,72.58
72.08,72.43,72.75,71.94
72.65,72.23,72.78,71.70
72.61,72.77,72.82,72.52
72.08,71.81,72.19,71.64
72.05,72.18,72.26,71.95
72.32,71.83,72.39,71.53
72.11,72.30,72.30,72.08
71.88,72.31,72.39,71.75
72.17,72.62,72.67,72.15
72.65,71.97,72.65,71.81
72.20,72.11,72.40,72.00
72.25,71.45,72.29,71.33
71.42,71.45,71.45,71.01
70.33,70.75,70.75,70.12
70.66,70.93,70.93,70.44
71.18,71.57,71.75,70.93
71.72,72.90,72.95,71.72
72.53,72.64,72.71,72.37
72.29,72.27,72.34,71.71
71.96,70.89,72.11,70.89
71.40,71.95,71.95,71.24
71.18,70.49,71.18,70.27
70.60,69.51,70.60,69.24
69.34,69.40,69.72,68.92
69.70,69.95,70.15,69.31
70.41,71.01,71.22,70.41
70.76,71.48,71.50,70.76
71.42,71.64,72.03,71.42
71.57,71.36,71.57,71.07
71.50,72.21,72.40,71.50
72.32,72.97,72.97,72.13
72.81,72.27,72.89,72.23
72.50,73.30,73.37,72.39
73.88,74.23,74.37,73.88
74.28,74.50,74.55,74.28
74.59,74.37,74.63,74.17
74.29,74.96,74.96,74.20
74.77,74.77,75.24,74.65
74.95,75.22,75.26,74.83
75.15,75.14,75.28,74.99
75.15,75.56,75.70,75.15
75.48,75.86,75.87,75.41
76.14,76.12,76.68,76.00
76.45,77.06,77.06,76.38
76.93,77.11,77.36,76.89
77.01,77.01,77.21,76.77
77.07,75.95,77.42,75.64
75.33,75.89,76.13,75.18
75.49,75.67,75.73,75.33
76.70,76.47,76.99,76.17
76.07,76.25,76.48,75.80
76.32,76.99,77.27,76.32
76.72,76.47,77.34,76.47
76.49,76.60,76.60,75.86
76.81,76.22,77.03,75.98
75.99,75.47,75.99,75.31
75.46,75.62,75.79,74.75
75.83,76.52,76.52,75.76
76.64,76.61,76.84,76.52
75.93,75.69,76.46,75.67
76.13,75.13,76.18,74.99
74.93,76.04,76.13,74.91
75.96,75.55,76.17,75.42
76.06,76.39,76.80,76.05
76.61,77.03,77.17,76.61
77.09,76.31,77.18,76.31
75.60,74.64,75.77,74.45
