CIDM,Cinedigm Corp - Class A Common Stock,NASDAQ
1.42,1.49,1.50,1.42
1.50,1.50,1.52,1.45
1.50,1.48,1.51,1.47
1.50,1.45,1.52,1.45
1.47,1.49,1.52,1.46
1.50,1.49,1.50,1.45
1.50,1.45,1.50,1.45
1.45,1.46,1.52,1.41
1.46,1.50,1.54,1.46
1.48,1.50,1.50,1.45
1.45,1.46,1.50,1.45
1.48,1.47,1.52,1.43
1.45,1.40,1.52,1.40
1.40,1.45,1.49,1.40
1.44,1.49,1.49,1.43
1.47,1.50,1.52,1.45
1.50,1.47,1.54,1.45
1.45,1.49,1.50,1.42
1.47,1.55,1.57,1.44
1.53,1.54,1.57,1.51
1.54,1.56,1.58,1.54
1.56,1.68,1.68,1.55
1.66,1.66,1.71,1.64
1.72,1.72,1.85,1.70
1.71,1.75,1.79,1.71
1.74,1.74,1.75,1.67
1.71,1.69,1.71,1.67
1.66,1.58,1.67,1.56
1.57,1.57,1.63,1.57
1.63,1.57,1.63,1.55
1.60,1.60,1.69,1.57
1.59,1.55,1.59,1.55
1.55,1.56,1.60,1.51
1.56,1.55,1.58,1.52
1.55,1.53,1.55,1.50
1.54,1.51,1.54,1.44
1.49,1.50,1.53,1.46
1.50,1.49,1.51,1.45
1.46,1.52,1.59,1.44
1.47,1.55,1.55,1.44
1.53,1.53,1.60,1.51
1.51,1.55,1.55,1.51
1.55,1.60,1.60,1.55
1.58,1.53,1.58,1.53
1.55,1.51,1.58,1.51
1.52,1.58,1.64,1.51
1.59,1.64,1.65,1.55
1.53,1.56,1.60,1.53
1.59,1.57,1.59,1.51
1.57,1.54,1.57,1.51
1.58,1.67,1.70,1.57
1.70,1.81,1.85,1.70
1.80,1.81,1.82,1.70
1.82,1.81,1.88,1.77
1.82,1.73,1.85,1.73
1.72,1.76,1.79,1.72
1.72,1.72,1.75,1.71
1.72,1.68,1.80,1.65
1.67,1.67,1.72,1.65
1.69,1.66,1.70,1.66
1.69,1.60,1.69,1.60
1.63,1.63,1.67,1.62
1.66,1.55,1.66,1.51
1.55,1.54,1.57,1.53
1.53,1.54,1.54,1.51
1.52,1.51,1.55,1.50
1.53,1.49,1.55,1.35
1.49,1.44,1.51,1.44
1.47,1.46,1.47,1.42
1.40,1.60,1.60,1.40
1.62,1.54,1.65,1.54
1.52,1.49,1.55,1.49
1.49,1.55,1.55,1.41
1.55,1.65,1.65,1.49
1.65,1.74,1.85,1.60
1.74,1.87,1.87,1.73
1.79,1.75,1.85,1.75
1.78,1.82,1.83,1.75
1.81,1.88,2.08,1.79
1.92,1.88,1.95,1.83
1.90,1.85,1.91,1.84
1.85,1.90,1.97,1.85
1.90,1.83,1.91,1.80
1.84,1.77,1.87,1.75
1.80,1.72,1.80,1.72
1.72,1.69,1.75,1.66
1.68,1.75,1.77,1.68
1.78,1.76,1.79,1.72
1.75,1.98,1.98,1.75
1.99,1.88,1.99,1.85
1.86,1.78,1.90,1.78
1.79,1.77,1.80,1.75
1.75,1.86,1.88,1.73
1.83,2.00,2.06,1.79
1.97,1.99,2.03,1.88
1.98,1.91,1.98,1.85
1.87,1.88,1.88,1.83
1.90,2.30,2.49,1.90
2.35,2.41,2.60,2.25
2.42,2.44,2.50,2.22
2.49,2.40,2.49,2.34
2.36,2.38,2.44,2.28
2.35,2.38,2.40,2.29
2.38,2.23,2.38,2.20
2.28,2.27,2.30,2.20
2.23,2.26,2.29,2.23
2.30,2.31,2.40,2.25
2.32,2.28,2.35,2.20
2.29,2.25,2.29,2.16
2.21,2.26,2.30,2.21
2.25,2.23,2.27,2.22
2.19,2.16,2.22,2.16
2.15,2.17,2.21,2.12
2.16,2.15,2.19,2.14
2.14,2.09,2.16,2.04
2.09,2.03,2.14,2.00
2.02,2.05,2.07,1.90
2.08,2.25,2.30,2.08
2.22,2.27,2.30,2.16
2.24,2.19,2.27,2.19
2.15,2.10,2.15,1.85
2.06,2.07,2.14,2.00
2.05,2.09,2.09,2.03
2.06,2.02,2.06,1.94
2.00,1.90,2.02,1.89
1.90,1.80,1.91,1.75
1.85,1.88,1.89,1.80
1.85,1.86,1.89,1.85
1.86,1.76,1.90,1.76
1.80,1.78,1.80,1.73
1.75,1.73,1.75,1.67
1.75,1.90,1.90,1.65
1.93,1.83,1.93,1.79
1.79,1.78,1.81,1.74
1.81,1.84,1.93,1.81
1.81,1.82,1.88,1.80
1.82,1.80,1.86,1.80
1.82,1.87,1.87,1.79
1.87,1.78,1.87,1.77
1.82,1.82,1.85,1.80
1.86,1.86,1.93,1.84
1.84,1.85,1.94,1.83
1.83,1.84,1.90,1.78
1.82,1.80,1.83,1.75
1.84,1.76,1.84,1.72
1.78,1.79,1.83,1.71
1.80,1.69,1.85,1.69
1.71,1.72,1.77,1.68
1.74,1.78,1.83,1.73
1.75,1.80,1.87,1.74
1.81,1.83,1.90,1.81
1.83,1.75,1.83,1.75
1.74,1.84,1.87,1.71
1.83,1.82,1.83,1.79
1.84,1.88,2.03,1.84
1.83,1.80,1.98,1.78
1.82,1.79,1.84,1.77
1.78,1.75,1.80,1.75
1.80,1.71,1.80,1.66
1.74,1.73,1.75,1.67
1.75,1.72,1.78,1.70
1.75,1.76,1.80,1.72
1.73,1.80,1.86,1.71
1.84,1.82,1.85,1.75
1.78,1.73,1.81,1.72
1.88,1.74,1.90,1.71
1.71,1.73,1.83,1.70
1.75,1.77,1.82,1.74
1.76,1.71,1.75,1.68
1.71,1.71,1.75,1.65
1.72,1.56,1.73,1.56
1.56,1.59,1.64,1.48
1.59,1.50,1.61,1.45
1.51,1.38,1.51,1.37
1.40,1.50,1.50,1.25
1.45,1.48,1.64,1.42
1.30,1.49,1.62,1.30
1.49,1.47,1.53,1.36
1.46,1.51,1.57,1.44
1.53,1.49,1.60,1.47
1.48,1.46,1.52,1.43
1.47,1.37,1.47,1.32
1.38,1.36,1.43,1.36
1.39,1.36,1.42,1.22
1.38,1.29,1.40,1.22
1.29,1.39,1.39,1.26
1.47,1.35,1.47,1.27
1.48,1.37,1.48,1.35
1.40,1.40,1.52,1.37
1.37,1.43,1.48,1.37
1.40,1.43,1.52,1.40
1.45,1.43,1.47,1.37
1.40,1.35,1.46,1.35
1.52,1.36,1.52,1.35
1.47,1.41,1.47,1.31
1.40,1.27,1.46,1.27
1.27,1.32,1.40,1.27
1.35,1.39,1.39,1.27
1.38,1.38,1.38,1.33
1.39,1.45,1.47,1.37
1.28,1.40,1.47,1.28
1.38,1.39,1.39,1.32
1.36,1.38,1.44,1.35
1.34,1.37,1.38,1.34
1.37,1.32,1.37,1.25
1.25,1.21,1.27,1.15
1.18,1.17,1.22,1.10
1.22,1.26,1.26,1.21
1.22,1.16,1.22,1.16
1.21,1.20,1.26,1.10
1.20,1.19,1.25,1.17
1.12,1.15,1.17,1.09
1.10,1.18,1.20,1.09
1.20,1.17,1.22,1.14
1.17,1.16,1.24,1.08
1.13,1.21,1.22,1.12
1.23,1.25,1.30,1.18
1.24,1.23,1.24,1.16
1.21,1.24,1.30,1.18
1.20,1.19,1.24,1.15
1.15,1.18,1.20,1.11
1.18,1.13,1.19,1.10
1.19,1.13,1.20,1.10
1.20,1.14,1.20,1.10
1.11,1.12,1.17,1.03
1.17,1.18,1.20,1.15
1.18,1.22,1.24,1.15
1.22,1.21,1.25,1.21
1.18,1.23,1.24,1.18
1.25,1.33,1.33,1.20
1.33,1.39,1.40,1.32
1.36,1.32,1.39,1.27
1.30,1.26,1.38,1.22
1.25,1.22,1.27,1.16
1.22,1.22,1.27,1.18
1.20,1.25,1.25,1.20
1.21,1.25,1.28,1.21
1.29,1.33,1.34,1.27
1.28,1.32,1.32,1.25
1.27,1.36,1.36,1.22
1.45,1.49,1.61,1.36
1.49,1.52,1.54,1.43
1.51,1.57,1.57,1.48
1.57,1.74,1.74,1.56
1.73,1.66,1.73,1.65
1.71,1.70,1.71,1.63
1.65,1.62,1.70,1.51
1.69,1.63,1.69,1.57
1.58,1.50,1.63,1.48
1.49,1.48,1.50,1.46
1.59,1.44,1.60,1.40
1.44,1.44,1.45,1.41
1.58,1.41,1.58,1.40
1.46,1.50,1.50,1.44
1.51,1.44,1.51,1.44
1.44,1.45,1.50,1.37
1.40,1.47,1.47,1.40
1.45,1.44,1.46,1.42
1.42,1.43,1.46,1.40
1.44,1.43,1.45,1.42
1.42,1.45,1.45,1.41
1.45,1.44,1.47,1.37
1.39,1.41,1.44,1.34
1.40,1.37,1.44,1.36
1.38,1.36,1.40,1.35
1.37,1.33,1.39,1.32
1.34,1.46,1.51,1.30
1.43,1.45,1.49,1.41
1.42,1.43,1.47,1.40
1.44,1.41,1.51,1.41
1.42,1.43,1.44,1.38
1.42,1.46,1.52,1.40
1.41,1.40,1.43,1.37
1.41,1.37,1.45,1.34
1.38,1.42,1.46,1.35
1.42,1.41,1.44,1.34
1.42,1.40,1.46,1.39
1.50,1.50,1.50,1.50
1.41,1.36,1.41,1.36
1.40,1.37,1.47,1.37
1.38,1.41,1.49,1.38
1.38,1.42,1.43,1.37
1.40,1.40,1.44,1.39
1.45,1.39,1.50,1.37
1.40,1.40,1.48,1.39
1.44,1.49,1.49,1.36
1.47,1.40,1.47,1.38
1.40,1.50,1.50,1.37
1.46,1.47,1.47,1.41
1.46,1.48,1.50,1.46
1.53,1.52,1.60,1.52
1.53,1.57,1.66,1.53
1.56,1.53,1.60,1.53
1.54,1.56,1.65,1.47
1.56,1.77,1.83,1.56
1.82,1.87,1.90,1.77
1.89,1.95,2.05,1.88
2.00,2.00,2.10,1.85
1.95,2.03,2.13,1.95
2.10,2.20,2.20,2.09
2.20,2.06,2.20,2.05
1.94,1.92,1.94,1.67
1.76,1.90,1.90,1.75
1.90,1.91,1.94,1.88
1.91,1.91,1.91,1.86
1.88,1.85,1.89,1.85
1.86,1.86,1.86,1.80
1.82,1.77,1.86,1.77
1.77,1.90,1.90,1.75
1.86,1.87,1.92,1.86
1.89,1.91,1.91,1.87
1.89,1.79,1.89,1.77
1.79,1.77,1.85,1.72
1.73,1.74,1.78,1.70
1.72,1.70,1.78,1.65
1.69,1.65,1.71,1.60
1.64,1.66,1.72,1.63
1.66,1.61,1.67,1.60
1.64,1.66,1.73,1.62
1.65,1.67,1.70,1.65
1.67,1.70,1.73,1.67
1.74,1.75,1.77,1.70
1.73,1.77,1.82,1.70
1.80,1.77,1.83,1.77
1.77,1.77,1.85,1.77
1.77,1.77,1.83,1.68
1.76,1.72,1.76,1.71
1.72,1.71,1.75,1.70
1.75,1.68,1.75,1.68
1.68,1.68,1.72,1.68
1.72,1.80,1.81,1.65
1.79,1.82,1.84,1.69
1.82,1.75,1.82,1.71
1.68,1.74,1.75,1.68
1.71,1.68,1.75,1.68
1.65,1.69,1.74,1.65
1.71,1.72,1.76,1.69
1.73,1.70,1.78,1.70
1.71,1.73,1.73,1.65
1.74,1.71,1.80,1.68
1.75,1.66,1.75,1.61
1.67,1.63,1.67,1.54
1.62,1.61,1.66,1.53
1.60,1.65,1.72,1.56
1.72,1.60,1.74,1.55
1.58,1.63,1.63,1.55
1.54,1.55,1.56,1.54
1.54,1.48,1.55,1.43
1.48,1.43,1.59,1.43
1.52,1.51,1.55,1.45
1.51,1.56,1.56,1.50
1.53,1.55,1.55,1.51
1.56,1.52,1.56,1.51
1.51,1.53,1.60,1.51
1.53,1.56,1.58,1.52
1.55,1.59,1.59,1.52
1.60,1.56,1.60,1.53
1.53,1.49,1.54,1.48
1.50,1.56,1.56,1.49
1.53,1.48,1.53,1.45
1.43,1.52,1.53,1.40
1.51,1.56,1.60,1.50
1.56,1.65,1.70,1.51
1.60,1.65,1.66,1.59
1.63,1.63,1.65,1.60
1.58,1.68,1.68,1.52
1.69,1.69,1.70,1.57
1.70,1.58,1.70,1.57
1.54,1.61,1.67,1.54
1.55,1.57,1.60,1.53
1.54,1.56,1.58,1.53
1.55,1.52,1.60,1.50
1.50,1.50,1.54,1.47
1.51,1.53,1.54,1.49
1.55,1.59,1.59,1.50
1.56,1.60,1.60,1.56
1.60,1.59,1.61,1.57
1.57,1.57,1.57,1.50
1.54,1.50,1.55,1.46
1.50,1.48,1.55,1.48
1.50,1.51,1.53,1.46
1.54,1.46,1.54,1.46
1.60,1.59,1.60,1.46
1.56,1.50,1.59,1.48
1.51,1.55,1.57,1.49
1.50,1.47,1.53,1.47
1.50,1.55,1.60,1.47
1.60,1.49,1.60,1.46
1.55,1.38,1.56,1.32
1.32,1.45,1.48,1.32
1.48,1.46,1.48,1.44
1.47,1.38,1.47,1.35
1.37,1.34,1.38,1.34
1.32,1.41,1.41,1.32
1.36,1.42,1.42,1.35
1.38,1.36,1.40,1.32
1.37,1.41,1.43,1.35
1.43,1.37,1.44,1.33
1.38,1.50,1.50,1.38
1.47,1.44,1.52,1.41
1.44,1.41,1.44,1.41
1.41,1.45,1.51,1.41
1.43,1.45,1.45,1.41
1.44,1.43,1.45,1.43
1.43,1.40,1.43,1.40
1.42,1.40,1.45,1.35
1.40,1.42,1.43,1.36
1.44,1.44,1.45,1.40
1.45,1.45,1.45,1.40
1.40,1.45,1.45,1.40
1.45,1.39,1.50,1.37
1.44,1.49,1.49,1.42
1.46,1.49,1.49,1.43
1.45,1.43,1.46,1.43
1.44,1.45,1.49,1.33
1.44,1.42,1.44,1.42
1.41,1.38,1.49,1.35
1.37,1.37,1.42,1.32
1.35,1.35,1.38,1.32
1.32,1.40,1.40,1.32
1.38,1.34,1.38,1.33
1.32,1.34,1.34,1.32
1.32,1.32,1.34,1.25
1.31,1.30,1.33,1.23
1.27,1.30,1.30,1.25
1.29,1.28,1.30,1.22
1.25,1.28,1.33,1.25
1.30,1.30,1.34,1.25
1.27,1.26,1.33,1.25
1.30,1.22,1.30,1.17
1.22,1.15,1.23,1.15
1.15,1.11,1.25,1.11
1.15,1.14,1.15,1.11
1.14,1.25,1.25,1.14
1.22,1.25,1.28,1.16
1.21,1.29,1.29,1.16
1.26,1.27,1.29,1.24
1.26,1.25,1.26,1.23
1.26,1.26,1.29,1.26
1.26,1.30,1.31,1.26
1.27,1.31,1.34,1.27
1.30,1.30,1.31,1.30
1.34,1.33,1.38,1.28
1.35,1.34,1.35,1.32
1.32,1.26,1.32,1.25
1.26,1.32,1.32,1.26
1.31,1.28,1.38,1.28
1.27,1.30,1.38,1.24
1.33,1.30,1.34,1.21
1.23,1.33,1.33,1.23
1.30,1.29,1.35,1.29
1.27,1.28,1.33,1.24
1.30,1.29,1.31,1.29
1.30,1.26,1.30,1.25
1.25,1.27,1.27,1.25
1.23,1.25,1.27,1.23
1.27,1.34,1.34,1.27
1.32,1.30,1.35,1.30
1.32,1.30,1.32,1.27
1.27,1.25,1.30,1.25
1.28,1.25,1.28,1.25
1.31,1.35,1.35,1.26
1.27,1.33,1.36,1.27
1.30,1.26,1.30,1.26
1.25,1.25,1.35,1.25
1.25,1.27,1.31,1.25
1.30,1.30,1.30,1.25
1.30,1.30,1.30,1.29
1.33,1.31,1.33,1.31
1.30,1.28,1.31,1.22
1.31,1.30,1.33,1.25
1.30,1.30,1.38,1.25
1.35,1.33,1.35,1.30
1.38,1.35,1.44,1.28
1.35,1.35,1.36,1.31
1.35,1.39,1.40,1.35
1.42,1.42,1.42,1.38
1.40,1.42,1.42,1.40
1.38,1.49,1.55,1.38
1.53,1.54,1.57,1.45
1.58,1.55,1.58,1.47
1.47,1.53,1.53,1.44
1.45,1.47,1.49,1.42
1.50,1.49,1.54,1.47
1.50,1.51,1.52,1.41
1.49,1.48,1.53,1.41
1.49,1.54,1.56,1.48
1.47,1.52,1.58,1.45
1.56,1.46,1.56,1.42
1.42,1.43,1.45,1.40
1.41,1.42,1.45,1.40
1.40,1.45,1.49,1.40
1.45,1.41,1.48,1.41
1.42,1.48,1.48,1.42
1.40,1.45,1.48,1.40
1.42,1.49,1.49,1.41
1.43,1.46,1.48,1.43
1.43,1.45,1.45,1.43
N/A,N/A,N/A,N/A
1.49,1.42,1.49,1.42
1.44,1.42,1.44,1.40
1.42,1.41,1.42,1.40
1.40,1.37,1.41,1.37
1.39,1.44,1.46,1.39
1.36,1.45,1.45,1.35
1.40,1.42,1.45,1.33
1.40,1.46,1.46,1.35
1.40,1.45,1.45,1.40
1.45,1.54,1.54,1.45
1.46,1.54,1.54,1.46
1.55,1.47,1.56,1.46
1.40,1.45,1.46,1.38
1.46,1.37,1.46,1.25
1.33,1.41,1.41,1.31
1.38,1.33,1.38,1.30
1.32,1.34,1.37,1.32
1.33,1.35,1.45,1.33
1.33,1.33,1.35,1.33
1.32,1.34,1.34,1.32
1.27,1.38,1.38,1.27
1.30,1.40,1.42,1.27
1.37,1.37,1.40,1.33
1.35,1.38,1.41,1.35
1.38,1.40,1.42,1.35
1.38,1.35,1.40,1.30
1.38,1.39,1.42,1.37
1.41,1.44,1.46,1.40
1.42,1.39,1.48,1.32
1.35,1.38,1.40,1.35
1.41,1.40,1.41,1.40
1.42,1.37,1.42,1.33
1.38,1.39,1.46,1.38
1.43,1.41,1.45,1.36
1.42,1.36,1.42,1.36
1.40,1.39,1.44,1.39
1.44,1.40,1.45,1.40
1.38,1.39,1.46,1.38
1.42,1.46,1.53,1.40
1.48,1.36,1.55,1.36
1.44,1.38,1.54,1.38
1.38,1.36,1.41,1.36
1.40,1.47,1.53,1.40
N/A,N/A,N/A,N/A
1.44,1.52,1.52,1.43
1.52,1.58,1.59,1.43
1.59,1.60,1.65,1.55
1.60,1.59,1.65,1.58
1.63,1.59,1.63,1.52
1.52,1.51,1.60,1.46
1.54,1.54,1.55,1.54
1.49,1.55,1.55,1.48
1.56,1.54,1.56,1.50
1.53,1.59,1.60,1.53
1.54,1.55,1.60,1.50
1.55,1.60,1.60,1.50
1.57,1.52,1.57,1.50
1.50,1.56,1.57,1.48
1.59,1.50,1.60,1.43
1.46,1.48,1.51,1.46
1.46,1.45,1.51,1.42
1.45,1.43,1.47,1.43
1.44,1.37,1.45,1.37
1.42,1.35,1.43,1.35
1.37,1.37,1.38,1.33
1.39,1.50,1.59,1.34
1.55,1.50,1.60,1.45
1.55,1.49,1.58,1.45
1.48,1.59,1.60,1.46
1.59,1.52,1.59,1.52
1.55,1.58,1.58,1.46
1.56,1.53,1.60,1.49
1.50,1.56,1.60,1.49
1.60,1.62,1.64,1.53
1.63,1.65,1.65,1.56
1.65,1.71,1.73,1.62
1.71,1.63,1.71,1.63
1.66,1.57,1.69,1.54
1.59,1.57,1.59,1.55
1.55,1.52,1.58,1.52
1.52,1.53,1.58,1.48
1.56,1.56,1.58,1.53
1.59,1.59,1.61,1.50
1.60,1.56,1.62,1.51
1.56,1.56,1.61,1.56
1.59,1.50,1.61,1.50
1.52,1.52,1.54,1.50
1.55,1.58,1.62,1.47
1.50,1.51,1.56,1.48
1.50,1.50,1.55,1.43
1.50,1.47,1.53,1.45
1.50,1.50,1.54,1.45
1.52,1.46,1.55,1.46
1.50,1.48,1.50,1.46
1.48,1.48,1.50,1.48
1.48,1.45,1.51,1.41
1.44,1.44,1.48,1.43
1.44,1.40,1.49,1.40
1.40,1.42,1.45,1.40
1.43,1.47,1.47,1.38
1.49,1.43,1.51,1.37
1.43,1.48,1.48,1.43
1.50,1.42,1.50,1.42
1.45,1.45,1.45,1.42
1.47,1.49,1.50,1.40
1.48,1.45,1.48,1.43
1.45,1.47,1.48,1.43
1.44,1.46,1.47,1.42
1.48,1.48,1.48,1.42
1.48,1.54,1.54,1.46
1.52,1.49,1.52,1.45
1.50,1.48,1.50,1.47
1.50,1.50,1.50,1.46
1.50,1.46,1.55,1.46
1.47,1.50,1.57,1.47
1.44,1.41,1.48,1.40
1.40,1.44,1.47,1.39
1.46,1.41,1.46,1.39
1.39,1.44,1.46,1.39
1.50,1.41,1.50,1.38
1.39,1.43,1.45,1.39
1.42,1.43,1.45,1.42
1.43,1.44,1.50,1.40
1.45,1.50,1.50,1.45
1.49,1.47,1.49,1.47
1.47,1.50,1.55,1.47
1.51,1.53,1.57,1.51
1.55,1.50,1.57,1.50
1.49,1.54,1.55,1.49
1.52,1.52,1.55,1.52
1.54,1.53,1.56,1.52
1.56,1.54,1.57,1.52
1.51,1.51,1.57,1.50
1.52,1.50,1.56,1.49
1.49,1.52,1.52,1.48
1.53,1.59,1.59,1.48
1.59,1.63,1.66,1.58
1.63,1.57,1.63,1.56
1.56,1.53,1.58,1.51
1.51,1.50,1.56,1.50
1.55,1.53,1.58,1.50
1.50,1.56,1.59,1.50
