RZG,Guggenheim S&P Smallcap 600 Pure Growth ETF,NASDAQ
41.37,40.49,41.37,27.33
39.55,39.15,40.00,38.73
42.08,40.66,42.08,40.50
40.85,41.39,41.56,40.85
41.58,42.51,42.51,41.58
42.29,42.20,42.60,42.20
41.33,40.82,41.33,40.82
41.44,41.10,41.46,40.66
41.88,40.79,42.16,40.78
40.55,40.51,40.72,40.18
39.00,38.74,39.25,38.74
38.21,39.01,39.27,38.21
39.00,39.06,39.31,39.00
38.06,38.56,38.56,37.47
38.92,38.72,39.51,38.62
39.47,39.87,39.87,39.47
40.05,39.58,40.05,39.51
39.29,38.64,39.35,38.63
38.69,39.59,39.60,38.69
39.82,40.19,40.24,39.75
39.15,38.44,39.52,38.40
38.46,37.54,38.69,37.51
37.34,37.00,37.37,36.95
37.50,37.47,37.98,37.39
38.02,38.24,38.25,37.80
38.87,38.94,38.95,38.87
39.56,39.35,39.88,39.33
39.76,40.25,40.25,39.76
39.66,40.05,40.29,39.66
40.21,39.91,40.21,39.91
40.33,40.05,40.35,40.04
40.70,39.45,40.76,39.45
39.75,39.90,39.90,39.65
38.90,39.12,39.12,38.58
38.66,38.26,38.66,38.24
38.26,38.83,39.02,38.26
38.72,38.65,38.72,38.65
38.00,37.50,38.00,37.04
37.29,37.29,37.94,37.29
37.00,36.98,37.00,35.98
36.76,36.47,36.76,36.40
37.30,36.06,37.41,35.96
36.34,37.12,37.12,36.32
37.46,37.47,37.47,37.46
37.80,38.15,38.15,37.80
37.98,37.92,37.99,37.92
38.44,38.95,38.95,38.44
38.83,38.96,38.96,38.72
38.63,38.35,38.63,38.21
38.18,37.35,38.18,37.25
36.83,37.37,37.37,36.83
37.09,38.01,38.01,37.09
38.12,37.50,38.12,37.50
38.26,38.44,38.44,38.25
38.49,38.84,38.84,38.45
40.00,40.00,40.09,40.00
40.56,39.96,40.56,39.87
40.02,39.28,40.02,39.28
39.63,39.35,39.63,38.77
39.29,39.20,39.29,39.16
39.57,39.74,39.74,39.57
39.26,39.63,39.63,39.26
39.33,39.42,39.42,39.33
39.00,39.00,39.00,38.96
38.60,38.88,38.92,38.38
39.23,39.41,39.41,39.07
39.06,39.03,39.06,38.81
37.95,37.35,37.99,37.35
37.32,37.32,37.32,37.32
36.85,36.86,36.86,36.85
36.49,36.83,37.13,36.49
37.23,37.81,37.88,37.23
37.74,37.86,37.86,37.47
37.77,37.06,37.78,36.94
36.47,36.85,36.85,36.47
36.85,36.85,36.85,36.85
35.94,36.09,36.09,35.59
36.18,36.67,36.67,36.08
36.95,36.42,37.09,36.39
36.80,36.96,36.96,36.65
37.29,36.82,37.33,36.82
36.34,36.69,36.75,36.34
37.31,37.78,37.78,37.01
37.71,38.17,38.17,37.71
38.81,38.67,38.94,38.65
38.59,38.53,38.59,38.53
38.71,38.60,38.71,38.60
38.90,38.32,38.90,38.32
38.42,38.39,38.42,38.39
38.66,38.98,38.98,38.66
39.41,39.27,39.41,39.25
39.00,39.53,39.53,39.00
39.13,39.13,39.26,39.02
39.58,39.52,39.58,39.09
39.84,40.45,40.45,39.84
40.45,40.42,40.70,40.41
39.95,39.80,39.95,39.80
40.01,40.22,40.22,40.01
40.56,40.74,40.74,40.56
40.90,40.91,40.91,40.90
40.73,40.86,40.86,40.24
41.22,41.25,41.48,41.19
41.60,41.18,41.60,40.70
41.29,41.25,41.29,40.98
41.08,40.71,41.23,40.51
41.55,41.74,41.81,41.55
41.82,41.23,41.82,41.23
41.37,41.39,41.39,41.37
42.00,42.00,42.00,42.00
41.95,41.96,41.96,41.95
41.81,42.43,42.43,41.68
42.76,43.02,43.16,42.74
42.96,42.93,43.07,42.93
43.41,43.17,43.42,43.15
43.33,43.34,43.34,43.10
42.57,42.00,43.06,42.00
42.74,42.80,42.80,42.74
42.91,42.10,43.05,42.10
42.47,42.86,42.86,42.47
43.63,43.42,43.63,43.31
43.41,43.42,43.57,43.41
43.11,42.94,43.11,42.94
43.42,42.88,43.42,42.88
43.40,43.45,43.51,43.40
43.59,43.04,43.59,43.04
43.49,43.70,43.72,43.49
43.87,43.84,43.93,43.04
44.50,44.65,44.66,44.50
45.34,45.13,45.34,44.91
45.10,45.30,45.30,44.94
45.54,44.96,45.54,44.85
45.05,45.35,45.35,44.67
44.93,45.21,45.35,44.91
44.86,44.63,44.92,44.47
44.79,44.75,44.79,44.75
44.17,43.58,44.17,43.45
43.78,43.69,43.83,43.69
44.57,44.81,44.81,44.57
44.40,44.95,44.95,44.40
45.17,45.23,45.28,44.77
44.74,44.93,44.93,44.68
44.93,44.93,44.93,44.93
45.88,45.88,45.88,45.88
45.85,45.86,45.87,45.17
45.36,45.65,45.65,45.36
46.50,46.47,46.71,46.47
46.63,46.88,46.88,46.54
46.68,47.33,47.39,46.68
47.32,47.76,47.76,47.20
48.57,48.06,48.57,48.06
48.05,47.96,48.10,47.96
47.90,48.03,48.08,47.82
48.05,48.50,48.55,48.03
49.00,48.26,49.00,48.26
48.24,48.04,48.27,47.93
48.03,47.87,48.39,47.87
48.05,48.28,48.30,47.73
48.35,48.33,48.37,47.94
48.82,48.37,48.82,48.34
48.58,48.68,48.82,48.50
48.90,48.42,48.90,48.42
48.44,48.52,48.64,48.44
48.50,48.59,48.66,48.22
48.28,48.26,48.38,48.20
48.33,48.37,48.40,48.31
48.48,48.50,48.58,48.38
48.41,47.88,48.41,47.83
48.18,48.90,49.00,48.18
48.95,47.98,48.95,47.60
47.94,48.60,48.66,47.92
48.56,48.44,48.71,48.36
48.55,48.23,48.76,47.76
48.26,48.38,48.47,47.77
48.84,48.61,48.87,48.51
49.13,48.95,49.13,48.80
48.90,48.75,49.02,48.75
48.83,49.09,49.10,48.79
49.12,48.96,49.12,48.71
48.94,47.86,48.96,47.86
47.76,47.38,47.76,47.36
47.66,47.22,47.66,47.22
47.08,47.36,47.40,47.08
47.01,47.18,47.18,46.90
47.31,48.20,48.31,47.31
48.19,48.61,48.61,48.19
47.55,47.48,47.67,47.48
47.65,47.80,47.98,47.22
48.34,48.72,48.80,48.30
48.56,48.62,48.90,48.53
48.59,48.70,48.76,48.39
48.73,48.96,49.02,48.73
49.65,49.52,49.69,49.51
49.34,49.72,49.75,49.29
49.67,49.48,49.73,49.29
49.32,49.81,49.87,49.32
49.81,50.35,50.40,49.80
50.52,50.69,50.78,50.36
50.61,50.34,50.61,50.34
50.44,50.69,50.69,50.44
50.77,51.26,51.27,50.77
51.22,51.09,51.36,50.95
50.95,49.83,50.95,49.72
49.50,48.78,49.50,48.43
48.79,49.05,49.14,48.39
49.33,50.07,50.07,49.31
50.51,49.99,50.53,49.77
50.37,49.26,50.37,49.26
49.16,49.38,49.42,49.04
49.74,50.39,50.55,49.74
50.45,50.20,50.45,50.20
50.63,49.73,50.63,49.37
49.32,50.28,50.55,49.32
50.29,50.23,50.37,50.04
49.07,49.30,49.34,48.98
48.81,49.21,49.22,48.81
48.47,48.92,49.18,48.47
47.88,48.67,48.73,47.38
48.26,48.02,48.74,48.02
48.39,48.15,48.44,48.15
48.44,48.49,48.49,48.28
49.49,49.50,49.62,49.44
49.75,49.30,49.75,49.30
49.25,49.47,49.47,48.86
49.99,49.95,50.15,49.87
50.32,50.43,50.86,50.25
50.57,50.33,50.68,50.33
50.64,50.87,50.93,50.64
51.26,51.57,51.62,51.26
51.62,51.85,51.85,51.50
52.18,51.93,52.37,51.89
52.13,52.16,52.39,51.95
52.12,52.56,52.80,52.12
52.87,52.54,52.87,52.32
52.45,52.31,52.56,52.23
52.36,51.57,52.42,51.41
51.77,51.25,51.82,51.25
51.04,50.81,51.04,50.80
50.81,50.88,51.01,50.53
50.69,51.03,51.03,50.69
51.01,51.81,51.81,51.01
50.82,50.88,51.03,50.68
51.05,50.98,51.20,50.69
51.85,51.90,52.01,51.79
52.35,52.49,52.49,52.28
52.66,52.48,52.66,52.29
52.82,53.20,53.34,52.79
53.20,53.53,53.53,52.98
53.53,53.83,53.84,53.50
53.92,54.25,54.35,53.92
54.28,53.59,54.36,53.59
53.43,52.51,53.53,52.38
53.25,52.16,53.25,51.88
52.30,52.07,52.63,52.07
52.80,52.51,52.81,52.37
52.30,52.90,52.90,52.30
53.13,53.76,53.76,53.13
53.80,52.88,53.80,52.75
52.67,53.57,53.68,52.53
53.79,52.98,53.79,52.95
52.70,51.96,52.91,51.96
51.74,51.88,51.99,51.73
52.00,52.50,52.50,52.00
52.97,52.82,52.97,52.32
52.58,52.55,52.76,52.40
51.66,51.80,51.86,51.38
51.74,51.22,51.74,51.21
51.07,51.79,51.79,51.07
52.02,52.68,52.68,52.02
52.92,52.92,52.92,52.92
53.25,53.75,53.75,53.23
53.92,52.25,53.92,52.25
52.31,52.03,52.38,51.84
51.42,51.15,51.65,51.15
50.84,50.22,50.99,50.22
50.63,50.80,50.83,50.51
50.23,50.05,50.31,49.94
49.97,50.34,50.43,49.97
49.91,49.48,49.98,49.33
49.69,49.38,49.82,49.36
49.77,50.35,50.47,49.77
49.88,49.72,50.40,49.72
49.74,49.01,50.13,49.01
50.14,49.47,50.17,49.47
49.46,49.96,49.96,49.46
50.27,51.24,51.24,50.27
50.91,50.84,51.47,50.84
49.95,51.07,51.27,49.95
51.47,51.11,51.47,50.78
51.40,51.65,51.65,51.40
51.81,52.56,52.56,51.61
52.81,52.42,52.81,52.31
52.64,53.05,53.15,52.64
53.00,53.70,53.80,52.86
53.85,54.01,54.13,53.63
54.00,54.10,54.19,53.87
54.77,54.90,55.17,54.52
54.36,54.63,54.63,53.99
53.98,53.52,54.32,53.37
53.27,53.12,53.68,53.11
53.36,53.59,54.15,53.36
53.74,52.65,53.74,52.65
52.83,52.77,52.95,52.49
52.45,52.17,52.60,51.73
52.59,53.45,53.45,52.59
52.89,52.97,53.06,52.72
53.14,53.31,53.58,53.09
53.26,53.38,53.56,53.07
52.07,52.86,53.24,52.07
52.81,52.44,52.90,52.42
52.20,50.84,52.20,50.77
50.81,50.83,51.61,50.81
50.18,50.76,51.05,49.57
51.61,50.37,51.64,49.88
50.09,49.12,50.71,49.05
49.12,49.71,49.74,48.00
48.53,46.90,48.97,46.90
47.31,46.09,47.32,45.01
44.72,42.44,45.71,42.44
43.87,44.96,44.96,41.66
43.81,43.21,44.74,43.21
44.01,45.37,45.94,43.47
45.98,45.87,45.98,45.18
46.58,46.97,46.97,46.01
46.17,45.91,46.33,45.52
46.14,45.64,46.37,45.21
44.19,42.88,44.19,42.68
42.10,42.22,43.20,42.00
43.56,42.24,43.56,41.96
42.66,44.55,44.55,42.24
44.47,44.94,45.21,43.98
44.54,43.70,45.25,43.67
43.52,44.74,44.95,43.16
45.39,46.76,46.76,45.39
46.69,47.23,47.33,46.65
47.36,46.94,48.01,46.56
46.71,46.19,47.65,46.00
45.17,44.73,45.65,44.68
43.14,44.66,44.66,43.14
45.48,46.24,46.24,45.48
46.02,45.57,46.59,45.39
44.90,44.25,45.15,43.85
43.49,44.38,44.52,43.49
45.11,45.41,45.41,44.49
45.90,46.23,46.85,45.10
46.63,46.82,46.82,45.88
46.99,46.91,46.99,46.63
46.03,46.41,46.79,45.69
46.58,45.59,46.86,45.59
45.44,44.29,45.98,44.29
42.97,43.03,43.75,42.47
42.81,43.85,43.85,42.81
43.91,44.55,44.55,43.40
45.43,45.53,46.52,45.27
45.61,44.05,45.81,44.05
44.87,44.42,45.20,43.40
43.81,43.11,44.33,43.11
42.72,40.90,43.16,40.90
40.39,43.20,43.20,40.25
43.66,44.29,44.56,43.20
44.30,45.26,45.26,44.27
45.43,44.39,45.54,44.36
45.18,45.68,46.06,45.18
45.77,46.35,46.49,45.77
46.83,47.12,47.45,46.83
46.78,47.23,47.45,46.50
47.86,48.22,48.29,47.50
47.92,46.71,47.92,46.71
46.83,47.53,47.73,46.06
47.28,46.41,47.55,46.40
46.18,46.44,46.44,45.35
47.04,47.38,47.39,46.81
47.75,49.40,49.45,47.75
48.94,47.87,49.04,47.80
48.63,48.91,49.12,47.50
50.66,51.03,51.50,50.09
51.10,51.15,51.41,50.81
50.98,50.00,50.98,50.00
49.75,48.23,49.75,47.81
49.64,49.30,49.64,48.68
50.26,50.59,50.64,48.80
49.93,50.34,50.42,49.68
50.51,50.25,50.51,49.41
50.70,50.89,50.89,49.71
49.51,48.76,49.76,48.70
49.46,48.91,49.46,48.44
49.44,50.09,50.27,49.28
50.03,49.70,50.05,49.41
49.42,50.43,50.51,49.22
49.76,49.32,50.45,49.24
49.37,48.72,49.54,48.62
48.81,48.58,48.90,48.39
47.72,47.63,47.80,47.25
47.89,47.42,47.96,47.37
46.97,46.20,47.10,46.10
45.84,45.61,46.33,45.56
47.43,47.65,47.66,47.17
47.54,47.42,47.68,47.19
49.23,49.84,49.84,49.05
49.79,49.69,50.25,49.63
50.41,49.94,50.58,49.82
50.49,50.42,50.94,50.30
50.19,50.45,50.55,50.11
50.20,50.47,50.58,49.47
50.35,49.10,50.35,49.10
49.52,50.84,50.84,49.47
49.96,49.92,49.96,49.60
50.81,49.02,50.81,49.02
48.84,48.41,48.86,48.10
49.09,48.97,49.09,48.72
49.25,49.37,49.85,49.25
49.77,48.78,49.89,48.78
49.64,50.37,50.37,49.64
50.22,50.01,50.30,49.42
50.53,50.40,50.64,50.23
50.50,50.57,50.62,50.27
50.40,50.90,51.12,50.40
50.99,50.00,50.99,49.99
50.29,50.55,50.61,50.29
50.52,50.21,50.65,50.21
51.25,50.53,51.38,50.42
50.22,50.05,50.28,49.85
49.54,50.27,50.40,49.34
50.05,50.17,50.44,49.90
50.36,50.23,50.36,49.85
50.89,50.75,50.89,50.59
50.78,51.00,51.05,50.78
51.17,51.23,51.26,50.78
50.82,50.94,50.95,50.58
51.42,51.21,51.51,51.09
51.09,51.82,51.86,51.09
52.22,52.21,52.42,52.01
52.17,52.38,52.42,52.17
52.39,52.22,52.63,52.00
51.91,52.49,52.51,51.89
52.28,52.80,52.97,52.28
53.02,52.67,53.05,52.52
52.54,53.11,53.17,52.53
52.87,52.67,53.08,52.48
52.76,52.75,52.85,52.48
52.92,53.82,53.84,52.89
53.85,54.17,54.38,53.85
55.13,55.35,55.47,55.09
55.14,54.98,55.14,54.85
55.14,55.05,55.37,54.96
55.38,55.11,55.39,54.77
55.14,54.80,55.14,54.44
54.21,54.17,54.31,54.04
54.77,54.73,54.77,54.43
54.51,54.19,54.53,54.19
54.83,54.14,54.83,54.00
54.36,55.01,55.01,54.36
55.26,55.05,55.33,54.92
55.17,54.66,55.19,54.41
54.64,54.56,54.81,54.52
54.74,55.25,55.26,54.31
55.24,54.99,55.24,54.91
54.60,55.09,55.20,54.60
55.05,54.91,55.26,54.69
54.98,54.09,54.98,54.09
54.29,54.29,54.77,54.29
54.13,53.43,54.33,53.17
53.21,53.46,53.48,53.05
53.13,52.69,53.13,52.56
52.78,53.06,53.10,52.71
53.39,53.80,53.80,53.07
53.88,54.42,54.68,53.83
54.63,54.44,54.63,54.22
54.99,55.45,55.45,54.73
55.38,54.98,55.53,54.80
54.94,55.44,55.44,54.83
55.35,55.05,55.35,54.92
55.08,55.60,55.73,54.84
55.03,54.91,55.11,54.59
54.97,55.01,55.24,54.83
54.74,54.69,54.80,54.44
54.62,55.26,55.27,54.61
56.36,56.47,56.55,56.33
56.50,56.09,56.59,56.06
56.00,55.47,56.00,55.20
55.06,55.36,55.41,54.83
55.49,55.42,55.56,55.10
55.04,55.78,55.85,54.95
55.71,55.53,55.90,55.38
54.91,54.78,54.98,54.43
54.55,54.85,54.85,54.48
53.56,53.81,54.04,53.56
53.65,52.67,53.66,52.62
53.10,53.35,53.42,52.96
53.50,53.99,54.22,53.50
54.02,53.57,54.02,53.53
53.88,53.47,53.88,53.06
53.86,54.31,54.77,53.86
53.80,53.96,54.05,53.78
54.12,53.58,54.42,53.41
54.03,53.71,54.07,53.65
52.96,52.77,52.96,52.37
52.91,52.85,53.07,52.66
53.70,53.89,53.89,53.67
53.93,54.62,54.70,53.93
54.83,55.23,55.29,54.66
55.11,54.72,55.11,54.70
54.93,55.19,55.85,54.93
54.43,55.22,55.22,54.43
54.89,54.34,54.89,54.24
53.93,53.61,53.93,53.50
53.30,53.47,53.75,53.16
53.16,53.38,53.45,52.76
52.92,53.19,53.30,52.92
53.59,53.46,53.75,53.17
53.40,53.34,53.65,53.33
52.89,53.04,53.22,52.76
52.86,52.77,53.38,52.76
52.96,52.58,53.17,52.58
52.50,51.59,52.52,51.59
51.65,51.40,51.85,50.94
51.33,51.87,52.00,50.81
52.17,51.55,52.17,51.55
51.15,52.05,52.09,50.97
52.05,51.69,52.05,51.37
51.89,52.02,52.08,51.76
52.59,52.55,52.60,51.98
52.08,51.87,52.08,51.86
51.81,51.78,51.87,51.36
50.65,50.25,50.95,50.19
50.40,50.34,50.49,49.94
50.18,51.00,51.00,50.18
51.59,52.25,52.25,51.45
53.36,52.17,53.36,52.17
51.92,52.47,52.47,51.91
52.13,51.85,52.20,51.85
51.49,52.00,52.00,51.28
51.86,51.44,52.07,51.44
51.26,51.48,51.83,51.14
51.90,52.27,52.27,51.78
52.00,52.65,52.76,51.89
52.97,53.56,53.72,52.97
53.45,53.41,53.58,53.22
53.26,52.14,53.38,52.14
52.32,53.01,53.01,52.32
52.17,52.15,52.19,52.05
52.35,52.36,52.42,52.15
52.60,52.61,52.61,52.60
52.71,52.08,52.71,52.08
53.64,54.28,54.63,53.58
54.31,54.13,54.57,53.96
54.70,55.21,55.24,54.62
55.21,55.18,55.49,55.00
54.83,54.32,54.83,54.23
54.30,54.22,54.33,54.15
54.34,53.52,54.34,53.51
53.67,53.44,53.67,53.07
52.83,53.16,53.25,52.83
53.80,53.72,53.83,53.61
53.25,53.42,53.64,53.25
53.59,53.36,53.59,52.96
53.35,53.91,54.17,53.35
54.21,54.05,54.33,53.90
53.66,53.24,53.68,53.15
52.29,52.76,52.79,52.03
52.07,51.78,52.07,51.78
52.27,52.06,52.48,52.06
52.54,52.38,52.54,52.20
52.46,53.61,53.61,52.46
53.64,53.23,53.80,53.14
52.97,53.30,53.80,52.97
53.51,52.40,53.51,52.40
52.00,52.17,52.18,52.00
52.95,53.33,53.60,52.95
53.77,53.81,54.04,53.76
53.99,54.27,54.53,53.99
53.98,54.20,54.39,53.98
54.18,54.37,54.40,54.11
54.09,54.13,54.17,53.97
54.04,53.94,54.04,53.44
54.29,53.70,54.29,53.58
53.98,54.21,54.22,53.97
54.16,54.80,54.83,54.15
54.86,55.18,55.18,54.77
54.99,54.76,54.99,54.52
54.96,54.74,55.35,54.74
54.57,54.67,54.78,54.43
54.55,54.36,54.55,54.12
54.26,54.56,54.69,54.26
54.78,54.58,54.78,54.50
54.68,54.98,55.05,54.66
55.14,55.25,55.42,54.93
54.87,54.78,54.87,54.70
54.95,54.83,54.95,54.59
54.91,55.61,55.63,54.53
55.50,55.59,55.78,55.38
56.49,56.59,56.82,56.47
56.75,56.72,56.91,56.72
56.75,56.68,56.75,56.60
56.74,56.70,56.99,56.70
56.65,56.84,56.93,56.57
56.83,57.55,57.61,56.66
57.58,58.02,58.22,57.58
57.77,57.67,57.78,57.49
57.80,57.70,57.80,57.54
57.45,57.42,57.58,57.41
57.12,57.05,57.14,56.82
58.09,57.19,58.09,57.19
56.87,56.63,57.01,56.57
57.08,56.31,57.08,56.31
56.10,55.64,56.10,55.52
55.87,56.41,56.55,55.87
56.31,56.16,56.40,56.11
56.40,56.56,56.68,56.37
56.30,56.26,56.33,56.08
56.09,56.13,56.16,56.09
56.06,56.12,56.16,55.60
56.55,55.85,56.55,55.85
55.67,55.61,55.67,55.28
55.69,54.90,55.69,54.90
54.98,54.64,54.99,54.64
55.13,55.04,55.35,54.92
55.01,54.78,55.13,54.61
54.90,55.00,55.03,54.61
55.35,55.47,55.59,55.34
55.72,55.69,55.82,55.40
55.65,55.43,55.65,55.43
55.14,54.26,55.14,54.07
54.13,54.14,54.34,54.06
53.88,54.12,54.25,53.51
54.31,53.77,54.31,53.70
54.10,53.84,54.10,53.77
53.90,53.76,53.99,53.50
53.80,54.25,54.25,53.52
54.56,54.89,54.89,54.52
55.03,53.94,55.03,53.94
53.99,54.21,54.30,53.94
54.87,54.89,54.95,54.83
54.23,53.73,54.23,53.43
53.51,52.82,53.51,52.82
52.49,52.78,53.15,52.19
52.80,52.76,52.92,52.65
52.50,52.45,52.81,52.45
52.41,51.56,52.41,51.50
51.43,51.30,51.44,50.29
51.21,51.74,51.74,50.86
52.19,52.69,52.69,52.14
52.51,52.54,52.69,52.45
52.80,52.98,52.99,52.73
53.24,53.41,53.42,53.24
53.38,53.48,53.48,53.28
53.68,53.75,53.91,53.47
53.47,53.95,53.95,53.37
54.46,54.42,54.62,54.38
54.45,54.15,54.45,54.08
54.51,54.17,54.51,54.05
54.17,54.16,54.31,53.77
54.30,54.09,54.30,53.74
53.96,54.22,54.30,53.96
54.22,54.04,54.22,53.98
54.19,54.07,54.34,54.07
54.47,54.75,54.94,54.36
54.98,54.91,55.00,54.86
54.58,54.13,54.67,54.04
54.01,53.96,54.16,53.96
54.15,54.47,54.61,53.90
54.82,55.59,55.61,54.82
55.60,55.69,55.86,55.49
55.59,55.78,55.97,55.59
54.89,55.29,55.29,54.36
55.12,55.18,55.34,55.12
54.89,54.78,55.03,54.76
54.91,54.72,54.91,53.99
54.57,54.61,54.95,54.56
55.20,55.82,55.82,55.20
56.95,57.54,57.54,56.95
57.54,57.40,57.65,57.26
57.51,57.77,57.77,57.51
57.49,57.55,57.59,57.30
57.54,57.62,57.64,57.25
57.75,58.13,58.21,57.75
58.53,58.42,58.53,57.97
58.42,58.36,58.42,58.23
58.28,58.06,58.29,58.05
58.03,58.41,58.41,57.97
58.38,58.28,58.38,58.14
58.72,59.03,59.03,58.72
58.93,59.13,59.14,58.93
59.28,59.47,59.50,59.05
59.41,59.30,59.46,59.27
59.29,59.75,60.00,59.29
60.05,60.13,60.30,59.89
60.45,60.07,60.45,59.88
59.98,59.73,59.98,59.63
59.90,58.87,59.90,58.87
58.92,59.28,59.42,58.92
59.55,60.16,60.16,59.53
59.70,59.28,59.86,59.22
59.62,59.70,59.86,59.62
59.36,59.81,59.90,59.36
60.07,60.03,60.11,59.69
60.03,60.32,60.40,60.03
60.31,60.15,60.31,59.95
60.46,60.48,60.60,60.46
60.54,60.46,60.69,60.37
60.58,60.84,60.94,60.58
60.84,60.77,60.87,60.77
60.68,60.98,60.99,60.65
61.10,60.24,61.10,60.17
59.63,58.79,59.69,58.64
59.26,59.45,59.46,59.26
59.45,58.65,59.45,58.65
58.51,58.53,58.58,58.22
58.23,59.17,59.50,58.23
59.30,59.34,59.52,59.27
58.78,59.65,59.74,58.78
59.12,59.67,59.67,59.12
60.03,60.34,60.38,60.02
60.46,60.42,60.61,60.42
60.58,60.88,60.88,60.53
61.38,61.50,61.50,61.00
61.40,61.37,61.44,61.30
61.14,61.08,61.28,61.08
61.05,61.31,61.42,61.05
61.33,61.82,61.82,61.33
61.85,61.80,61.85,61.63
61.14,61.11,61.40,61.03
61.15,60.89,61.43,60.63
61.21,61.45,61.49,61.21
61.12,61.10,61.28,61.09
61.28,61.26,61.38,61.12
61.30,61.19,61.30,60.93
61.45,61.25,61.48,61.18
60.92,61.37,61.37,60.92
61.37,61.55,61.87,61.37
61.31,60.44,61.31,60.44
61.01,60.56,61.13,60.56
60.25,59.14,60.25,59.06
59.08,59.46,59.46,59.08
58.87,59.38,59.38,58.38
59.60,59.48,59.65,59.16
59.78,59.61,59.78,59.46
60.49,60.49,60.49,60.49
60.92,60.67,60.92,60.57
60.32,60.30,60.33,60.00
59.78,58.06,59.78,57.98
58.55,59.22,59.22,58.54
58.59,58.31,58.60,57.68
58.24,57.62,58.24,57.55
57.33,58.28,58.51,57.33
57.68,58.41,58.48,57.68
58.79,59.32,59.32,58.71
59.48,59.61,59.61,59.45
59.66,60.19,60.40,59.66
59.95,59.78,59.95,59.58
60.09,60.33,60.33,60.09
60.33,60.41,60.65,60.04
59.96,59.11,59.96,59.11
60.14,60.17,60.32,60.09
61.07,61.68,62.02,61.07
61.78,61.93,62.03,61.68
61.99,62.39,62.39,61.88
62.40,62.55,62.55,62.20
62.60,62.71,62.71,62.60
62.86,63.40,63.40,62.82
63.12,63.16,63.39,63.12
63.58,63.95,63.95,63.58
63.98,64.02,64.35,63.98
64.00,63.84,64.17,63.71
64.24,64.59,64.67,64.16
64.75,64.85,64.89,64.75
64.95,65.00,65.23,64.86
65.18,63.92,65.51,63.58
63.36,63.73,63.74,63.01
63.44,63.75,63.80,63.16
64.62,64.89,65.25,64.10
64.61,64.29,64.62,64.22
64.47,64.86,64.96,64.47
64.63,64.25,64.87,64.25
64.18,64.52,64.52,63.51
64.84,64.00,65.01,63.64
63.78,63.05,63.78,63.05
63.04,63.13,63.22,63.00
64.03,64.23,64.23,64.03
64.22,64.78,64.80,64.20
64.24,64.31,64.52,63.52
64.63,63.60,64.63,63.60
63.83,64.62,64.62,63.77
64.40,63.85,64.43,63.82
64.32,64.35,64.56,64.16
64.58,65.03,65.07,64.58
