QRHC,Quest Resource Holding Corporation. - Common Stock,NASDAQ
0.34,0.36,0.36,0.34
0.40,0.33,0.42,0.33
0.33,0.33,0.33,0.33
0.38,0.38,0.40,0.29
0.30,0.34,0.34,0.30
0.34,0.34,0.37,0.30
0.36,0.30,0.38,0.30
0.37,0.35,0.37,0.32
0.35,0.35,0.35,0.35
0.35,0.36,0.36,0.35
0.37,0.38,0.38,0.37
0.38,0.38,0.38,0.38
0.32,0.30,0.32,0.30
0.36,0.30,0.36,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.25,0.25,0.26,0.21
0.20,0.28,0.28,0.20
0.28,0.28,0.28,0.28
0.28,0.28,0.28,0.28
0.28,0.28,0.28,0.28
0.27,0.22,0.27,0.22
0.25,0.25,0.25,0.25
0.23,0.22,0.23,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.23,0.17,0.23,0.17
0.24,0.24,0.24,0.24
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.20,0.20,0.20,0.20
0.24,0.30,0.30,0.24
0.16,0.28,0.29,0.16
0.17,0.28,0.28,0.17
0.17,0.17,0.17,0.17
0.16,0.27,0.27,0.16
0.27,0.27,0.27,0.27
0.19,0.19,0.19,0.14
0.19,0.21,0.21,0.19
0.16,0.16,0.18,0.16
0.16,0.14,0.16,0.14
0.18,0.22,0.22,0.18
0.11,0.19,0.19,0.11
0.19,0.19,0.19,0.19
0.16,0.16,0.16,0.16
0.22,0.22,0.22,0.22
0.22,0.22,0.25,0.22
0.22,0.25,0.25,0.22
0.28,0.33,0.33,0.28
0.33,0.33,0.33,0.33
0.21,0.32,0.32,0.21
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.27,0.30,0.30,0.22
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.22
0.30,0.30,0.30,0.30
0.23,0.23,0.23,0.23
0.18,0.25,0.25,0.18
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.14,0.14,0.14,0.14
0.14,0.18,0.18,0.12
0.20,0.20,0.20,0.20
0.14,0.20,0.20,0.14
0.20,0.20,0.20,0.20
0.15,0.15,0.15,0.15
0.15,0.20,0.20,0.15
0.20,0.20,0.20,0.20
0.19,0.25,0.25,0.19
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.29,0.29,0.25
0.30,0.32,0.32,0.30
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.17,0.14,0.18,0.14
0.14,0.17,0.27,0.14
0.20,0.20,0.20,0.20
0.32,0.32,0.32,0.20
0.32,0.32,0.32,0.32
0.30,0.20,0.30,0.20
0.22,0.29,0.29,0.22
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.20,0.20,0.20,0.20
0.20,0.20,0.20,0.20
0.20,0.20,0.20,0.20
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.30,0.30,0.30,0.30
0.20,0.30,0.30,0.20
0.20,0.20,0.20,0.20
0.20,0.30,0.30,0.20
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.32,0.32,0.30
0.32,0.32,0.32,0.32
0.33,0.33,0.33,0.33
0.33,0.33,0.33,0.33
0.34,0.35,0.35,0.30
0.30,0.30,0.30,0.30
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.37,0.37,0.35
0.36,0.36,0.36,0.36
0.31,0.36,0.36,0.31
0.36,0.36,0.36,0.36
0.37,0.36,0.37,0.36
0.35,0.37,0.37,0.35
0.37,0.37,0.37,0.37
0.35,0.35,0.35,0.35
0.31,0.35,0.35,0.31
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.31,0.31,0.31,0.31
0.31,0.32,0.35,0.26
0.32,0.31,0.35,0.30
0.30,0.29,0.30,0.29
0.32,0.26,0.32,0.26
0.27,0.27,0.27,0.27
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.25
0.30,0.35,0.35,0.25
0.35,0.35,0.35,0.35
0.30,0.35,0.35,0.30
0.28,0.30,0.30,0.28
0.30,0.33,0.33,0.26
0.33,0.33,0.33,0.33
0.33,0.33,0.33,0.33
0.28,0.32,0.32,0.28
0.29,0.32,0.32,0.29
0.31,0.37,0.37,0.30
0.37,0.37,0.37,0.36
0.35,0.35,0.35,0.35
0.37,0.45,0.45,0.35
0.45,0.45,0.45,0.45
0.35,0.47,0.47,0.29
0.55,0.47,0.55,0.47
0.47,0.47,0.47,0.47
0.45,0.47,0.47,0.45
0.46,0.46,0.46,0.46
0.47,0.46,0.49,0.46
0.45,0.54,0.55,0.45
0.54,0.54,0.54,0.54
0.47,0.55,0.55,0.47
0.47,0.50,0.52,0.45
0.50,0.52,0.52,0.50
0.50,0.49,0.50,0.45
0.49,0.52,0.52,0.49
0.45,0.51,0.52,0.40
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.42,0.49,0.49,0.42
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.45,0.45,0.45,0.45
0.40,0.49,0.49,0.40
0.50,0.55,0.55,0.50
0.55,0.55,0.55,0.55
0.52,0.52,0.52,0.52
0.55,0.55,0.55,0.55
0.55,0.59,0.59,0.55
0.60,0.65,0.65,0.51
0.65,0.60,0.65,0.60
0.60,0.60,0.60,0.60
0.53,0.70,0.70,0.53
0.65,0.70,0.75,0.57
0.70,0.70,0.70,0.70
0.55,0.72,0.73,0.51
0.72,0.72,0.72,0.72
0.36,0.65,0.65,0.36
0.65,0.65,0.65,0.65
0.65,0.54,0.65,0.54
0.65,0.60,0.65,0.60
0.60,0.65,0.65,0.60
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.35,0.34,0.40,0.34
0.37,0.34,0.37,0.34
0.37,0.35,0.37,0.35
0.35,0.75,0.75,0.33
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.30,0.53,0.53,0.30
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.35,0.44,0.45,0.33
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.55,0.55,0.40
0.54,0.55,0.55,0.54
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.30,0.42,0.43,0.30
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.25,0.25,0.25,0.25
0.39,0.39,0.39,0.39
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.25,0.35,0.35,0.25
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.24,0.34,0.39,0.24
0.40,0.40,0.40,0.40
0.51,0.40,0.51,0.40
0.25,0.35,0.35,0.25
0.35,0.38,0.38,0.35
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.40,0.40,0.35
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.15,0.15,0.25,0.15
0.20,0.25,0.25,0.18
0.24,0.24,0.24,0.24
0.20,0.24,0.24,0.13
0.24,0.24,0.24,0.24
0.15,0.22,0.22,0.12
0.22,0.22,0.25,0.22
0.24,0.27,0.27,0.22
0.29,0.29,0.30,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.29,0.22,0.29,0.22
0.28,0.23,0.29,0.17
0.24,0.29,0.29,0.18
0.25,0.35,0.35,0.25
0.35,0.35,0.35,0.35
0.30,0.35,0.35,0.30
0.35,0.35,0.35,0.35
0.16,0.29,0.29,0.16
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.27,0.30,0.30,0.27
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.31,0.31,0.31,0.29
0.21,0.21,0.21,0.21
0.29,0.28,0.29,0.28
0.25,0.25,0.25,0.25
0.20,0.25,0.25,0.20
0.25,0.25,0.25,0.25
0.27,0.25,0.27,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.28,0.29,0.25
0.18,0.18,0.18,0.18
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.26,0.26,0.26,0.26
0.25,0.25,0.29,0.25
0.25,0.28,0.29,0.25
0.28,0.29,0.29,0.28
0.29,0.34,0.34,0.29
0.29,0.40,0.40,0.29
0.20,0.44,0.44,0.20
0.44,0.44,0.44,0.40
0.44,0.44,0.44,0.44
0.44,0.70,0.70,0.44
0.59,0.54,0.59,0.54
0.54,0.54,0.54,0.54
0.42,0.55,0.55,0.42
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.50,0.50,0.50,0.50
0.49,0.46,0.49,0.30
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.34,0.40,0.40,0.34
0.40,0.40,0.40,0.40
0.39,0.47,0.49,0.39
0.22,0.20,0.23,0.20
0.40,0.40,0.40,0.40
0.20,0.40,0.40,0.20
0.40,0.40,0.40,0.40
0.30,0.38,0.38,0.20
0.38,0.38,0.38,0.38
0.20,0.35,0.35,0.20
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.20,0.32,0.32,0.20
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.20,0.33,0.33,0.20
0.33,0.33,0.33,0.33
0.20,0.33,0.33,0.20
0.20,0.30,0.30,0.20
0.20,0.15,0.20,0.15
0.30,0.29,0.30,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.30,0.33,0.29
0.30,0.30,0.30,0.30
0.30,0.33,0.33,0.30
0.33,0.30,0.38,0.30
0.32,0.38,0.38,0.32
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.37
0.38,0.44,0.44,0.38
0.44,0.44,0.44,0.44
0.41,0.41,0.41,0.41
0.35,0.44,0.44,0.30
0.39,0.48,0.48,0.39
0.44,0.46,0.46,0.44
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.26,0.45,0.45,0.26
0.42,0.44,0.44,0.41
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.50,0.50,0.50,0.50
0.50,0.52,0.52,0.40
0.52,0.52,0.52,0.52
0.35,0.49,0.49,0.35
0.49,0.49,0.49,0.49
0.30,0.33,0.33,0.30
0.27,0.33,0.33,0.27
0.30,0.30,0.38,0.30
0.30,0.30,0.30,0.30
0.35,0.38,0.38,0.30
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.38,0.38,0.30
0.30,0.38,0.38,0.30
0.38,0.38,0.38,0.38
0.29,0.29,0.29,0.29
0.38,0.44,0.44,0.30
0.44,0.44,0.44,0.44
0.30,0.39,0.39,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.38,0.38,0.29
0.27,0.35,0.35,0.27
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.27,0.26,0.27,0.26
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.20,0.25,0.25,0.19
0.25,0.25,0.25,0.25
0.24,0.30,0.30,0.23
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.18,0.29,0.29,0.18
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.30,0.30,0.29
0.30,0.30,0.30,0.30
0.18,0.29,0.29,0.18
0.25,0.29,0.29,0.25
0.29,0.29,0.29,0.29
0.30,0.33,0.33,0.30
0.25,0.33,0.33,0.25
0.33,0.34,0.35,0.31
0.34,0.34,0.34,0.34
0.32,0.22,0.33,0.18
0.23,0.32,0.32,0.23
0.32,0.32,0.32,0.32
0.18,0.32,0.32,0.18
0.32,0.32,0.32,0.32
0.18,0.32,0.32,0.18
0.19,0.19,0.19,0.19
0.22,0.30,0.30,0.22
0.18,0.31,0.31,0.18
0.18,0.18,0.18,0.18
0.18,0.31,0.31,0.18
0.20,0.31,0.31,0.20
0.31,0.31,0.31,0.31
0.30,0.37,0.37,0.30
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.38,0.38,0.38,0.38
0.38,0.39,0.39,0.38
0.40,0.40,0.40,0.40
0.40,0.37,0.42,0.37
0.42,0.59,0.59,0.37
0.59,0.51,0.59,0.35
0.51,0.53,0.53,0.46
0.66,0.66,0.66,0.66
0.45,0.66,0.66,0.45
0.65,0.67,0.67,0.65
0.51,0.62,0.65,0.37
0.38,0.54,0.54,0.38
0.50,0.50,0.50,0.50
0.38,0.45,0.45,0.38
0.38,0.41,0.43,0.37
0.43,0.41,0.43,0.37
0.41,0.41,0.41,0.41
0.38,0.40,0.45,0.38
0.45,0.45,0.45,0.45
0.42,0.51,0.51,0.42
0.40,0.50,0.50,0.40
0.50,0.50,0.50,0.50
0.41,0.55,0.55,0.35
0.45,0.45,0.45,0.45
0.53,0.45,0.55,0.35
0.45,0.55,0.55,0.45
0.50,0.50,0.50,0.35
0.35,0.45,0.45,0.34
0.44,0.44,0.44,0.44
0.45,0.45,0.45,0.45
0.40,0.45,0.45,0.40
0.45,0.40,0.45,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.35,0.55,0.55,0.35
0.55,0.55,0.55,0.48
0.55,0.54,0.55,0.40
0.55,0.55,0.55,0.50
0.50,0.50,0.50,0.50
0.47,0.55,0.55,0.47
0.45,0.56,0.56,0.45
0.56,0.57,0.57,0.49
0.57,0.60,0.60,0.45
0.53,0.55,0.55,0.53
0.55,0.59,0.59,0.45
0.59,0.57,0.59,0.55
0.57,0.56,0.57,0.46
0.59,0.59,0.59,0.47
0.59,0.59,0.59,0.58
0.55,0.59,0.59,0.55
0.55,0.60,0.60,0.50
0.60,0.63,0.63,0.60
0.62,0.62,0.62,0.62
0.59,0.55,0.60,0.55
0.59,0.59,0.59,0.59
0.58,0.63,0.63,0.55
0.60,0.63,0.63,0.55
0.55,0.60,0.60,0.55
0.55,0.58,0.58,0.50
0.60,0.62,0.62,0.58
0.62,0.65,0.65,0.55
0.60,0.60,0.60,0.60
0.60,0.65,0.65,0.60
0.65,0.65,0.67,0.61
0.65,0.66,0.67,0.64
0.64,0.65,0.67,0.64
0.65,0.65,0.65,0.60
0.49,0.64,0.65,0.45
0.64,0.64,0.64,0.63
0.63,0.68,0.68,0.58
0.63,0.69,0.69,0.63
0.69,0.74,0.77,0.69
0.74,0.74,0.79,0.73
0.76,0.76,0.76,0.72
0.73,0.74,0.75,0.70
0.70,0.70,0.72,0.65
0.69,0.72,0.72,0.60
0.60,0.60,0.64,0.60
0.51,0.63,0.63,0.51
0.62,0.63,0.63,0.62
0.60,0.64,0.64,0.60
0.52,0.63,0.64,0.52
0.55,0.64,0.64,0.55
0.55,0.64,0.64,0.46
0.58,0.63,0.63,0.51
0.64,0.62,0.64,0.51
0.61,0.64,0.64,0.61
0.52,0.64,0.64,0.52
0.63,0.68,0.68,0.56
0.67,0.62,0.67,0.62
0.61,0.61,0.61,0.53
0.54,0.68,0.68,0.54
0.66,0.63,0.66,0.60
0.55,0.63,0.63,0.55
0.63,0.60,0.63,0.60
0.58,0.63,0.63,0.54
0.60,0.57,0.63,0.50
0.58,0.58,0.58,0.58
0.63,0.66,0.66,0.50
0.53,0.65,0.66,0.53
0.55,0.60,0.60,0.50
0.50,0.50,0.59,0.50
0.50,0.58,0.58,0.47
0.58,0.60,0.60,0.47
0.52,0.50,0.55,0.46
0.50,0.53,0.53,0.46
0.50,0.50,0.50,0.46
0.46,0.41,0.50,0.39
0.41,0.49,0.49,0.41
0.42,0.42,0.44,0.40
0.42,0.40,0.45,0.40
0.40,0.45,0.45,0.40
0.48,0.42,0.48,0.42
0.42,0.45,0.47,0.40
0.45,0.40,0.45,0.40
0.45,0.48,0.48,0.40
0.48,0.52,0.52,0.44
0.53,0.48,0.57,0.45
0.48,0.48,0.50,0.41
0.45,0.46,0.47,0.40
0.43,0.46,0.46,0.41
0.51,0.46,0.51,0.45
0.41,0.46,0.46,0.41
0.46,0.52,0.55,0.41
0.53,0.49,0.53,0.44
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.46,0.51,0.51,0.46
0.47,0.46,0.50,0.46
0.44,0.42,0.47,0.42
0.40,0.45,0.45,0.40
0.39,0.43,0.43,0.39
0.39,0.41,0.43,0.39
0.42,0.40,0.42,0.31
0.38,0.44,0.44,0.33
0.45,0.43,0.45,0.40
0.34,0.40,0.40,0.32
0.40,0.40,0.40,0.32
0.40,0.41,0.42,0.33
0.35,0.39,0.41,0.30
0.34,0.38,0.38,0.32
0.37,0.40,0.40,0.37
0.33,0.39,0.40,0.33
0.33,0.39,0.39,0.32
0.27,0.35,0.39,0.27
0.37,0.39,0.39,0.36
0.39,0.40,0.40,0.39
0.36,0.40,0.40,0.36
0.35,0.40,0.40,0.35
0.40,0.40,0.40,0.35
0.35,0.35,0.36,0.35
0.33,0.40,0.40,0.33
0.39,0.39,0.39,0.36
0.39,0.39,0.39,0.39
0.34,0.32,0.37,0.32
0.35,0.35,0.35,0.32
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.37,0.35,0.37,0.33
0.38,0.39,0.39,0.38
0.39,0.39,0.39,0.39
0.32,0.37,0.37,0.32
0.34,0.39,0.40,0.34
0.35,0.39,0.39,0.35
2.00,2.00,2.50,2.00
1.99,2.29,2.29,1.99
2.06,2.30,2.30,2.06
2.30,2.30,2.30,2.30
2.15,2.10,2.15,2.10
2.10,2.10,2.10,2.10
2.10,2.68,2.68,2.05
2.68,2.68,2.68,2.68
2.35,2.39,2.39,2.30
2.39,2.39,2.39,2.39
2.39,2.39,2.39,2.39
2.10,2.38,2.38,2.10
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.65,2.68,2.35
2.68,2.90,2.93,2.68
2.90,3.20,3.20,2.90
2.90,3.37,3.37,2.90
3.00,3.30,3.40,2.90
3.05,3.14,3.15,3.05
3.10,3.10,3.10,2.90
2.90,2.98,2.98,2.90
2.75,2.71,2.75,2.71
2.70,2.79,2.90,1.67
2.51,2.69,2.69,2.51
2.26,3.02,3.02,2.25
2.46,3.06,3.06,2.31
2.34,2.99,2.99,2.33
2.33,2.90,2.90,2.33
2.34,2.84,2.89,2.34
2.41,2.90,2.90,2.34
2.65,2.65,2.65,2.65
2.89,2.89,2.89,2.89
2.65,2.75,2.75,2.34
2.75,2.75,2.75,2.75
2.50,2.90,2.90,2.50
2.90,2.95,2.95,2.90
2.91,2.91,2.91,2.91
2.50,2.89,2.89,2.45
2.89,2.75,2.89,2.75
2.75,2.75,2.75,2.75
2.85,2.90,2.90,2.85
2.89,2.90,2.98,2.89
2.90,3.00,3.20,2.89
3.14,3.12,3.14,3.11
3.12,3.25,3.25,2.94
3.10,3.15,3.20,3.08
3.15,3.49,3.49,3.15
3.39,3.25,3.39,3.25
3.20,3.16,3.23,3.16
3.16,2.90,3.35,2.90
3.20,2.68,3.20,2.38
2.77,2.50,2.77,2.50
2.50,2.35,2.50,2.35
2.55,2.62,2.62,2.55
2.32,2.62,2.62,2.32
2.68,2.68,2.68,2.68
2.68,2.68,2.68,2.68
2.75,2.75,2.75,2.75
2.74,3.04,3.04,2.74
3.00,3.00,3.00,3.00
2.85,3.07,3.07,2.85
3.05,3.08,3.08,2.88
3.00,3.00,3.00,3.00
3.00,2.97,3.00,2.97
2.88,3.03,3.03,2.88
3.03,3.03,3.03,3.03
2.72,2.65,2.72,2.60
2.65,2.75,2.75,2.65
2.75,2.88,3.03,2.75
2.60,2.89,2.89,2.59
2.50,2.83,2.83,2.50
2.83,2.83,2.83,2.83
2.50,2.50,2.60,2.50
2.50,2.50,2.50,2.50
2.75,2.90,2.90,2.75
2.79,2.83,2.90,2.60
2.83,2.90,2.90,2.75
2.85,2.95,2.95,2.77
2.90,2.77,2.95,2.77
2.90,2.88,2.98,2.80
2.88,2.88,2.99,2.88
2.84,2.95,2.97,2.79
2.76,2.71,2.76,2.71
2.76,2.75,2.76,2.75
2.70,2.57,2.80,2.57
2.56,2.73,2.78,2.50
2.42,2.73,2.75,2.42
2.70,2.75,2.75,2.70
2.70,2.80,2.80,2.70
2.80,3.00,3.03,2.75
2.90,3.02,3.03,2.90
3.03,3.05,3.20,2.90
3.20,3.05,3.20,2.90
2.95,2.89,3.03,2.70
2.90,3.19,3.19,2.75
3.08,3.15,3.15,3.00
3.10,3.00,3.19,3.00
3.05,3.15,3.20,3.05
3.05,3.22,3.22,3.00
3.10,3.25,3.25,3.10
3.25,3.20,3.25,3.15
3.20,3.00,3.20,3.00
3.00,3.19,3.19,2.90
3.19,3.06,3.19,3.03
3.06,3.10,3.15,3.00
3.14,3.00,3.14,3.00
3.00,3.00,3.08,2.95
3.00,3.05,3.06,2.88
2.90,3.02,3.02,2.90
2.90,2.85,2.99,2.77
2.98,2.78,3.10,2.78
2.79,2.79,2.79,2.79
2.75,2.90,3.04,2.75
2.75,2.85,2.85,2.65
2.65,2.79,3.15,2.65
2.79,2.58,2.79,2.55
2.58,2.69,2.69,2.56
2.67,2.65,2.67,2.65
2.55,2.69,2.69,2.50
2.50,2.63,2.63,2.50
2.67,2.67,2.67,2.67
2.65,2.65,2.65,2.65
2.65,2.65,2.65,2.65
2.54,2.50,2.54,2.50
2.54,2.55,2.55,2.40
2.10,2.43,2.58,2.10
2.30,2.43,2.43,2.30
2.16,2.40,2.40,2.16
2.37,2.40,2.40,2.37
2.40,2.40,2.40,2.40
2.31,2.69,2.69,2.25
2.69,2.90,2.95,2.20
2.29,2.29,2.29,2.29
2.27,2.60,2.60,2.27
2.50,2.59,2.59,2.30
2.22,2.49,2.49,2.22
2.22,2.50,2.50,2.10
2.50,2.50,2.50,2.50
2.25,2.50,2.50,2.20
2.25,2.44,2.44,2.14
2.20,2.30,2.30,2.20
2.21,2.43,2.44,2.21
2.43,2.60,2.80,2.35
2.80,2.90,2.90,2.60
2.89,2.95,3.00,2.75
2.67,2.99,2.99,2.67
