AGEN,Agenus Inc. - Common Stock,NASDAQ
5.70,5.40,5.70,5.28
5.40,5.40,5.40,5.30
5.30,5.46,5.52,5.30
5.46,5.34,5.49,5.34
5.34,5.55,5.58,5.28
5.52,5.40,5.64,5.40
5.40,5.34,5.46,5.24
5.40,5.58,5.58,5.35
5.64,5.46,5.64,5.34
5.45,5.34,5.45,5.34
5.34,5.34,5.52,5.34
5.34,5.48,5.52,5.34
5.46,5.34,5.52,5.34
5.37,5.49,5.51,5.37
5.43,5.46,5.52,5.43
5.44,5.51,5.51,5.44
5.46,5.41,5.52,5.38
5.40,5.40,5.51,5.37
5.45,6.18,6.18,5.41
6.18,6.12,6.54,5.82
6.12,5.94,6.12,5.64
5.88,6.06,6.36,5.76
6.24,6.36,6.72,6.00
6.36,6.18,6.42,6.18
6.18,6.06,6.42,6.06
6.10,6.06,6.24,6.00
6.06,6.36,6.36,6.00
6.36,6.30,6.36,6.06
6.30,6.66,6.96,6.12
6.84,6.36,6.84,6.36
6.36,6.12,6.42,6.06
6.06,6.02,6.24,5.82
6.00,6.18,6.18,5.94
6.18,6.18,6.18,6.06
6.12,6.24,6.24,5.94
6.06,6.09,6.24,6.06
6.18,6.06,6.18,5.97
6.06,5.76,6.12,5.73
5.70,5.61,5.77,5.61
5.61,5.64,5.70,5.58
5.77,5.70,5.94,5.59
5.88,5.70,5.88,5.60
5.70,5.70,5.88,5.70
5.70,5.70,5.88,5.64
5.71,5.53,5.82,5.53
5.52,5.54,5.64,5.52
5.55,5.58,5.64,5.16
5.58,5.55,5.64,5.55
5.58,5.52,5.64,5.46
5.46,5.69,5.71,5.46
5.67,5.61,5.67,5.52
5.61,5.64,5.64,5.49
5.58,5.64,5.64,5.53
5.64,5.55,5.64,5.52
5.52,5.55,5.64,5.52
5.58,5.52,5.82,5.52
5.64,5.58,5.76,5.58
5.64,5.58,5.70,5.48
5.58,5.64,5.64,5.41
5.58,5.70,6.00,5.46
5.58,5.88,6.00,5.54
5.88,5.55,5.88,5.52
5.55,5.58,5.70,5.55
5.61,5.56,5.70,5.47
5.52,5.46,5.70,5.46
5.52,5.59,5.70,5.49
5.58,5.55,5.64,5.55
5.58,5.67,5.70,5.53
5.64,5.64,5.70,5.52
5.64,5.63,5.64,5.54
5.64,5.76,5.94,5.62
5.70,5.88,6.12,5.70
5.85,5.70,5.94,5.64
5.76,5.82,5.94,5.73
5.70,5.58,5.70,5.52
5.52,5.51,5.54,5.35
5.46,5.34,5.52,5.34
5.34,5.29,5.40,5.28
5.82,5.64,5.82,5.47
5.64,5.52,5.65,5.52
5.52,5.67,5.70,5.52
5.53,5.58,5.69,5.46
5.53,5.48,5.58,5.46
5.46,5.46,5.63,5.40
5.46,5.46,5.70,5.41
5.46,5.58,5.58,5.40
5.52,5.46,5.58,5.46
5.40,5.46,5.51,5.28
5.46,5.41,5.52,5.40
5.40,5.58,5.58,5.40
5.58,5.49,5.58,5.46
5.58,5.41,5.58,5.35
5.46,5.70,5.88,5.46
5.64,5.64,5.76,5.52
5.58,5.76,5.82,5.55
5.76,5.58,5.76,5.43
5.52,5.52,5.64,5.46
5.52,5.50,5.64,5.46
5.46,5.52,5.58,5.40
5.46,5.34,5.52,5.28
5.34,5.46,5.52,5.34
5.47,5.60,5.81,5.47
5.64,5.64,5.64,5.52
5.70,5.55,5.75,5.46
5.52,5.52,5.64,5.47
5.49,5.76,5.94,5.49
5.70,5.64,5.79,5.54
5.58,5.70,5.82,5.52
5.58,5.67,5.76,5.55
5.61,5.63,5.91,5.61
5.64,5.50,5.73,5.22
5.41,5.34,5.51,5.31
5.52,5.46,5.64,5.34
5.46,5.63,5.93,5.46
5.55,5.82,5.82,5.52
5.82,5.70,5.82,5.68
5.70,5.64,5.76,5.61
5.76,5.59,5.88,5.58
5.58,5.64,5.82,5.58
5.70,5.67,5.70,5.52
5.64,5.64,5.76,5.55
5.94,5.88,6.24,5.71
5.94,5.70,5.99,5.54
5.70,5.64,5.81,5.58
5.65,5.52,5.70,5.47
5.58,5.52,5.64,5.52
5.58,5.52,5.64,5.49
5.58,5.55,5.61,5.49
5.63,5.52,5.63,5.47
5.58,5.64,5.82,5.53
5.70,5.81,5.82,5.60
5.76,6.06,6.72,5.65
5.58,5.37,6.24,5.34
5.52,5.16,5.58,5.13
5.28,5.04,5.33,4.98
5.16,4.92,5.16,4.83
4.92,4.86,5.03,4.81
4.86,4.74,5.10,4.62
4.92,5.04,5.04,4.82
5.04,4.91,5.15,4.74
4.91,4.86,4.92,4.76
4.92,4.68,4.92,4.68
4.76,4.73,4.80,4.71
4.74,4.91,4.91,4.74
4.89,4.80,4.92,4.74
4.86,4.80,4.92,4.68
4.80,4.62,4.91,4.62
4.74,4.79,4.80,4.63
4.74,4.80,4.80,4.68
4.86,4.71,4.92,4.70
4.74,4.68,4.74,4.63
4.68,4.86,4.86,4.68
4.81,4.99,5.10,4.80
5.04,4.92,5.10,4.83
4.92,4.92,5.09,4.80
4.92,4.95,5.03,4.82
4.86,4.80,4.94,4.74
4.79,4.59,4.79,4.56
4.73,4.68,4.77,4.62
4.68,4.59,4.80,4.56
4.58,4.62,4.67,4.58
4.50,4.68,4.68,4.50
4.62,4.68,4.79,4.52
4.68,4.62,4.74,4.57
4.56,4.73,4.80,4.52
4.80,4.89,4.92,4.62
4.74,4.74,4.81,4.68
4.71,4.74,4.80,4.62
4.62,4.62,4.80,4.56
4.62,4.68,4.80,4.56
4.62,4.59,4.92,4.50
4.97,4.71,4.97,4.58
4.68,4.32,4.62,4.28
4.32,4.32,4.62,4.26
4.20,3.90,4.26,3.84
3.90,3.54,3.96,3.30
3.54,3.27,3.60,3.18
3.36,3.42,3.54,3.30
3.48,3.00,3.60,2.88
3.00,3.36,3.60,3.00
3.36,3.24,3.47,3.18
3.32,3.36,3.56,3.30
3.31,3.30,3.42,3.06
3.48,3.44,3.56,3.30
3.36,3.18,3.39,3.09
3.18,3.00,3.42,3.00
3.05,3.12,3.30,3.05
3.06,3.06,3.18,2.94
3.18,3.03,3.18,3.00
3.06,3.06,3.12,3.00
3.12,3.06,3.12,2.76
3.15,3.06,3.18,3.00
3.00,3.18,3.18,3.00
3.18,3.12,3.21,3.01
3.12,3.14,3.18,3.00
3.06,2.94,3.30,2.88
3.24,2.97,3.24,2.90
3.18,3.12,3.18,2.84
3.18,3.12,3.18,3.03
3.12,3.15,3.15,3.01
2.94,3.30,3.54,2.94
3.42,3.36,3.54,3.14
3.41,3.36,3.42,3.30
3.30,3.30,3.48,3.30
3.24,3.31,3.60,3.24
3.30,3.72,4.02,3.30
3.90,3.95,4.14,3.80
4.08,3.49,4.08,3.48
3.36,3.42,3.60,3.24
3.42,3.36,3.48,3.26
3.66,3.66,4.05,3.60
3.66,3.60,3.87,3.60
3.84,3.41,3.84,3.38
3.38,3.36,3.60,3.20
3.30,2.82,3.59,2.76
2.82,2.64,2.93,2.20
2.58,2.62,2.64,2.50
3.02,2.97,3.10,2.78
3.09,2.96,3.10,2.78
2.62,2.98,3.05,2.62
3.06,3.00,3.15,2.91
2.85,2.93,2.93,2.78
2.61,2.85,2.90,2.61
2.80,2.86,2.88,2.70
2.88,2.82,2.88,2.73
2.76,2.72,2.85,2.68
2.69,3.30,4.43,2.65
3.26,2.95,3.35,2.95
2.95,2.98,2.98,2.82
2.99,2.91,3.02,2.85
2.99,2.89,2.99,2.82
2.88,2.82,2.89,2.76
2.88,2.70,2.88,2.70
2.80,2.78,2.82,2.66
2.72,2.80,2.81,2.71
2.73,2.74,2.83,2.72
2.71,2.76,2.76,2.65
2.78,2.71,2.80,2.63
2.77,2.70,2.77,2.60
2.70,2.64,2.75,2.64
2.65,2.60,2.65,2.52
2.60,2.59,2.62,2.53
2.55,2.52,2.56,2.49
2.48,2.54,2.57,2.45
2.54,2.49,2.54,2.48
2.50,2.55,2.61,2.42
2.50,2.70,2.70,2.48
2.67,2.66,2.72,2.62
2.66,2.64,2.68,2.61
2.69,2.59,2.69,2.57
2.53,2.57,2.59,2.46
2.60,2.57,2.62,2.54
2.63,2.56,2.63,2.52
2.53,2.46,2.53,2.43
2.50,2.40,2.50,2.35
2.37,2.36,2.39,2.35
2.36,2.42,2.47,2.36
2.44,2.48,2.53,2.40
2.50,2.43,2.50,2.40
2.45,2.45,2.45,2.41
2.45,2.44,2.47,2.40
2.43,2.45,2.45,2.40
2.45,2.30,2.45,2.30
2.32,2.37,2.40,2.31
2.37,2.32,2.37,2.28
2.30,2.29,2.33,2.28
2.26,2.20,2.32,2.19
2.20,2.20,2.22,2.06
2.19,2.20,2.24,2.16
2.22,2.19,2.30,2.15
2.20,2.27,2.27,2.20
2.26,2.23,2.28,2.15
2.20,2.22,2.23,2.14
2.19,2.21,2.24,2.15
2.16,2.20,2.20,2.10
2.13,2.09,2.13,2.06
2.09,2.04,2.15,1.92
2.04,2.00,2.05,1.92
2.03,2.17,2.29,2.00
2.16,2.10,2.16,2.06
2.17,2.15,2.29,2.10
2.25,2.40,2.43,2.25
2.40,2.37,2.45,2.35
2.37,2.36,2.40,2.33
2.36,2.47,2.54,2.36
2.48,2.50,2.58,2.45
2.45,2.42,2.50,2.32
2.50,2.49,2.56,2.48
2.52,2.49,2.53,2.42
2.48,2.46,2.50,2.46
2.44,2.47,2.48,2.42
2.46,2.44,2.46,2.41
2.42,2.43,2.44,2.34
2.40,2.53,2.54,2.40
2.54,2.76,2.83,2.52
2.80,2.79,2.83,2.74
2.80,2.81,2.88,2.72
2.81,2.78,2.85,2.70
2.82,2.87,2.88,2.78
2.87,2.88,2.88,2.81
2.87,2.87,2.90,2.76
2.86,2.90,2.93,2.83
2.88,2.93,2.94,2.88
2.94,3.47,3.49,2.93
3.60,3.67,3.72,3.54
3.67,3.49,3.67,3.45
3.52,3.46,3.58,3.42
3.49,3.30,3.51,3.26
3.30,3.16,3.30,3.13
3.13,3.08,3.20,3.01
3.08,2.98,3.10,2.90
3.00,2.89,3.02,2.84
2.85,3.00,3.08,2.85
3.00,2.90,3.00,2.86
2.95,3.22,3.28,2.95
3.28,3.28,3.35,3.20
3.25,3.25,3.30,3.14
3.25,3.19,3.28,3.18
3.02,3.23,3.25,3.02
3.21,3.23,3.32,3.21
3.49,3.21,3.49,3.00
3.21,3.76,3.85,3.20
3.96,4.49,4.72,3.90
4.58,4.26,4.92,4.01
4.26,4.40,4.43,4.10
4.56,4.85,4.90,4.35
4.88,5.05,5.07,4.75
5.05,5.45,5.74,5.01
5.49,5.31,5.54,5.06
5.31,5.25,5.31,5.10
5.32,6.27,6.29,5.23
6.27,5.92,6.28,5.60
5.94,5.93,6.03,5.83
5.95,5.84,5.95,5.74
5.79,5.64,5.88,5.43
5.68,6.16,6.20,5.46
6.13,5.72,6.13,5.66
5.70,5.96,6.00,5.68
6.26,6.76,6.82,6.09
6.81,6.60,6.85,6.50
6.75,7.04,7.41,6.70
6.99,7.01,7.15,6.70
6.94,6.61,6.94,6.53
6.59,6.45,6.59,6.25
6.37,6.34,6.45,6.21
6.31,6.11,6.57,6.03
6.19,6.45,6.48,6.11
6.51,6.42,6.53,6.35
6.38,6.67,6.71,6.17
6.74,6.55,6.75,6.37
6.57,6.26,6.75,6.22
6.24,6.22,6.30,6.01
6.28,6.32,6.50,6.18
6.35,6.27,6.44,6.18
6.24,6.22,6.25,6.15
6.24,6.32,6.34,6.10
6.47,6.28,6.50,6.16
6.29,6.43,6.43,6.21
6.45,6.10,6.45,6.03
6.05,6.25,6.28,5.98
6.26,6.26,6.29,6.17
6.18,6.45,6.47,6.14
6.34,6.28,6.42,6.20
6.24,6.27,6.35,6.16
6.22,6.19,6.23,6.08
6.14,5.71,6.19,5.39
5.67,5.71,5.81,5.67
5.75,5.49,5.75,5.45
5.45,5.73,5.91,5.09
5.66,6.32,6.45,5.66
6.32,6.04,6.39,5.97
6.04,5.87,6.10,5.77
5.88,5.78,6.06,5.73
5.79,5.45,5.80,5.40
5.46,5.60,5.69,5.36
5.58,5.54,5.72,5.47
5.46,5.28,5.60,5.08
5.28,5.14,5.40,5.11
5.10,5.20,5.25,5.10
5.26,5.30,5.40,5.20
5.28,4.87,5.28,4.80
4.89,5.22,5.28,4.80
5.15,5.07,5.15,4.89
5.04,5.04,5.14,4.89
5.00,5.23,5.27,4.97
5.34,5.61,5.61,5.26
5.63,5.64,5.75,5.43
5.64,5.88,5.99,5.43
5.90,5.54,5.94,5.41
5.57,5.45,5.64,5.32
5.45,5.32,5.45,5.18
5.18,5.34,5.36,5.16
5.34,5.29,5.35,4.95
5.24,5.26,5.35,5.20
5.26,5.26,5.36,5.10
5.25,5.04,5.25,4.76
5.01,5.06,5.34,4.93
5.06,5.00,5.17,4.98
4.95,5.07,5.09,4.83
5.06,5.04,5.10,4.98
5.03,5.20,5.28,5.00
5.15,5.09,5.20,5.00
5.15,5.24,5.26,5.15
5.10,5.38,5.40,5.10
5.38,5.34,5.38,5.30
5.29,5.34,5.37,5.29
5.28,5.38,5.47,5.27
5.36,5.34,5.37,5.25
5.35,5.36,5.44,5.29
5.39,5.30,5.39,5.22
5.24,5.34,5.39,5.07
5.34,5.15,5.34,5.08
5.15,5.10,5.16,5.04
5.11,5.08,5.15,5.05
5.08,5.07,5.10,4.96
5.09,5.09,5.24,4.97
5.05,5.04,5.13,4.89
4.99,4.93,5.04,4.91
4.96,4.57,4.96,4.56
4.61,4.55,4.61,4.51
4.60,4.61,4.77,4.53
4.63,4.84,4.88,4.63
4.88,4.94,5.01,4.82
4.95,4.83,5.02,4.82
4.83,4.82,5.01,4.82
4.80,4.68,4.93,4.66
4.70,4.77,4.93,4.61
4.79,4.83,4.98,4.79
4.84,4.80,4.86,4.78
4.79,4.64,4.86,4.62
4.65,4.60,4.68,4.56
4.57,4.32,4.59,4.30
4.33,4.49,4.52,4.32
4.53,4.49,4.57,4.48
4.48,4.55,4.56,4.44
4.56,4.73,4.73,4.53
4.71,4.78,4.80,4.63
4.75,4.65,4.75,4.62
4.62,4.54,4.70,4.47
4.55,4.58,4.64,4.49
4.56,4.60,4.61,4.50
4.57,4.69,4.72,4.55
4.68,4.46,4.69,4.40
4.47,4.64,4.66,4.47
4.64,4.75,4.78,4.62
4.72,4.71,4.77,4.62
4.76,4.59,4.76,4.53
4.62,4.69,4.77,4.37
4.68,4.79,4.82,4.57
4.81,4.96,5.02,4.80
4.98,5.00,5.03,4.95
4.99,5.01,5.06,4.96
5.00,5.04,5.11,5.00
5.07,4.98,5.08,4.96
4.97,4.88,5.04,4.72
4.88,4.55,4.90,4.41
4.57,4.50,4.58,4.48
4.50,4.49,4.60,4.40
4.47,4.51,4.52,4.47
4.48,4.49,4.52,4.48
4.51,4.68,4.73,4.48
4.65,4.75,4.77,4.60
4.76,4.78,4.86,4.74
4.81,4.56,4.82,4.55
4.61,4.60,4.68,4.50
4.57,4.61,4.64,4.52
4.64,4.57,4.69,4.53
4.60,4.62,4.78,4.59
4.64,4.66,4.72,4.60
4.70,4.64,4.75,4.58
4.64,4.70,4.85,4.58
4.77,4.79,4.95,4.75
4.77,4.72,4.80,4.70
4.74,4.62,4.76,4.60
4.66,4.76,4.76,4.66
4.75,4.58,4.78,4.54
4.59,4.63,4.65,4.50
4.64,4.64,4.67,4.60
4.67,4.71,4.71,4.63
4.71,4.63,4.71,4.63
4.63,4.42,4.63,4.38
4.40,4.43,4.49,4.38
4.41,4.42,4.44,4.35
4.45,4.43,4.47,4.37
4.46,4.65,4.65,4.46
4.67,4.42,4.74,4.40
4.40,4.47,4.52,4.35
4.49,4.48,4.60,4.40
4.51,4.47,4.59,4.42
4.48,4.55,4.56,4.43
4.59,4.58,4.62,4.52
4.48,4.40,4.50,4.38
4.40,4.25,4.40,4.07
4.40,4.18,4.52,4.14
4.17,3.97,4.31,3.96
3.93,3.69,3.99,3.68
3.71,3.59,3.77,3.54
3.59,3.45,3.64,3.40
3.43,3.52,3.57,3.39
3.55,3.59,3.67,3.53
3.57,3.64,3.73,3.51
3.62,3.62,3.64,3.51
3.64,3.69,3.71,3.62
3.69,3.65,3.71,3.37
3.66,3.81,3.87,3.51
3.80,3.90,3.99,3.76
3.95,4.13,4.31,3.95
4.16,4.33,4.38,4.15
4.35,4.19,4.40,4.11
4.21,4.30,4.33,4.06
4.36,4.26,4.40,4.20
4.28,4.34,4.40,4.16
4.35,4.16,4.35,4.12
4.13,4.00,4.14,3.90
4.00,4.00,4.02,3.88
4.00,3.88,4.00,3.88
3.88,3.88,3.93,3.82
3.86,3.91,3.91,3.80
3.94,3.96,3.97,3.83
3.98,4.04,4.05,3.94
4.03,3.94,4.09,3.82
3.93,3.88,3.96,3.64
3.84,3.91,3.91,3.66
3.90,3.83,3.90,3.70
3.85,3.83,4.00,3.78
3.82,3.78,3.82,3.56
3.77,3.72,3.78,3.70
3.79,4.10,4.13,3.70
4.20,4.24,4.27,3.71
4.24,4.15,4.29,4.10
4.20,4.18,4.22,4.10
4.15,4.12,4.35,4.10
4.09,4.09,4.18,3.81
4.14,3.99,4.17,3.89
4.00,4.09,4.25,4.00
4.12,4.02,4.24,3.96
4.02,4.04,4.08,3.99
4.05,4.08,4.10,4.02
4.07,4.06,4.08,4.05
4.09,4.10,4.20,4.06
4.10,4.14,4.14,4.10
4.16,4.23,4.24,4.13
4.18,4.34,4.39,4.17
4.36,4.20,4.38,4.18
4.23,4.17,4.23,4.13
4.17,4.35,4.35,4.17
4.35,4.38,4.48,4.30
4.36,4.36,4.45,4.35
4.37,4.55,4.58,4.37
4.55,4.58,4.66,4.50
4.54,4.48,4.58,4.43
4.52,4.61,4.67,4.44
4.62,4.86,4.95,4.62
4.90,4.88,4.93,4.76
4.90,4.70,4.90,4.63
4.71,4.72,4.77,4.64
4.79,4.54,4.79,4.42
4.54,4.35,4.59,4.31
4.35,4.37,4.57,4.32
4.41,4.36,4.41,4.33
4.35,4.56,4.58,4.26
4.55,4.32,4.63,4.32
4.34,4.26,4.39,4.23
4.29,4.35,4.45,4.29
4.37,4.11,4.37,4.11
4.13,4.17,4.20,4.10
4.16,4.11,4.23,4.10
4.13,4.28,4.35,4.13
4.21,4.30,4.31,4.15
4.29,4.40,4.40,4.29
4.45,4.46,4.56,4.34
4.46,4.45,4.53,4.41
4.44,4.47,4.50,4.33
4.53,4.41,4.53,4.32
4.36,4.43,4.46,4.22
4.40,4.37,4.50,4.34
4.42,4.39,4.45,4.35
4.38,4.39,4.39,4.32
4.40,4.35,4.43,4.32
4.28,4.21,4.31,4.12
4.24,4.16,4.31,4.14
4.18,4.15,4.20,4.12
4.10,3.97,4.15,3.95
3.98,3.92,4.04,3.79
3.92,4.00,4.05,3.92
4.04,3.98,4.05,3.90
3.93,3.98,4.02,3.91
3.99,3.89,3.99,3.88
3.91,3.84,3.96,3.80
3.96,3.97,4.00,3.88
3.97,3.83,4.00,3.82
3.86,3.91,3.94,3.84
3.85,3.83,3.89,3.70
3.83,4.11,4.24,3.81
4.18,4.17,4.32,4.12
4.20,4.56,4.80,4.20
4.58,4.68,4.79,4.58
4.61,4.51,4.63,4.38
4.49,4.46,4.59,4.40
4.49,4.46,4.53,4.37
4.40,4.26,4.48,4.23
4.25,4.09,4.27,4.05
4.08,4.30,4.35,4.07
4.33,4.37,4.42,4.30
4.42,4.60,4.61,4.40
4.60,4.58,4.70,4.42
4.63,4.65,4.73,4.52
4.67,4.63,4.68,4.60
4.77,4.93,4.95,4.70
4.95,4.86,5.10,4.65
4.90,4.78,5.40,4.75
4.79,4.37,4.79,4.35
4.43,4.48,4.54,4.40
4.50,4.36,4.50,4.30
4.35,4.08,4.36,3.95
4.04,4.40,4.40,4.03
4.44,4.34,4.53,4.33
4.36,4.39,4.39,4.19
4.39,4.38,4.45,4.26
4.38,4.40,4.47,4.38
4.37,4.21,4.43,4.17
4.21,4.26,4.33,4.18
4.26,4.25,4.29,4.16
4.24,4.14,4.25,4.09
4.11,4.01,4.16,4.00
4.01,4.03,4.23,4.00
4.00,4.12,4.14,4.00
4.10,4.07,4.19,4.05
4.15,4.10,4.15,4.01
4.08,4.06,4.11,4.02
4.07,4.11,4.19,4.07
4.07,4.03,4.12,4.00
4.05,4.12,4.12,3.82
4.13,3.94,4.14,3.92
3.92,3.76,3.93,3.72
3.77,3.73,3.83,3.65
3.77,3.70,3.80,3.65
3.71,3.73,3.82,3.66
3.70,3.65,3.84,3.65
3.68,3.61,3.74,3.60
3.62,3.61,3.76,3.55
3.62,3.70,3.72,3.57
3.74,3.75,3.85,3.70
3.77,3.78,4.20,3.67
3.84,3.98,4.05,3.71
