SLB,Schlumberger N.V. Common Stock,NASDAQ
60.33,58.26,60.56,58.19
58.23,58.33,58.74,57.44
58.04,57.14,58.31,56.87
57.36,58.22,58.50,56.65
57.85,57.34,58.29,57.07
56.12,55.08,56.58,54.85
55.34,55.34,56.62,55.02
55.29,55.26,55.80,53.61
55.26,54.96,56.16,54.22
56.15,55.54,56.73,54.70
55.68,57.54,57.55,55.40
58.36,58.54,58.54,57.02
58.60,58.56,58.86,57.85
58.42,58.25,58.96,57.60
59.10,58.62,59.70,58.56
58.40,58.89,59.52,57.93
58.92,58.67,58.92,57.42
58.50,56.68,58.51,56.60
57.77,59.15,59.68,57.34
58.49,61.04,61.33,58.02
61.25,59.59,61.50,58.91
60.50,61.30,61.87,60.27
59.08,59.35,60.00,58.20
59.65,58.85,59.65,57.84
59.25,58.93,59.25,57.58
58.92,59.73,60.07,58.61
60.15,59.81,60.98,58.71
58.91,59.66,60.00,58.72
60.96,62.74,63.37,60.89
61.84,62.86,63.37,61.84
62.87,62.92,63.72,62.35
62.63,63.26,63.28,61.94
62.76,62.34,63.29,61.43
62.84,62.75,63.19,62.44
61.90,62.15,62.53,61.16
60.98,60.06,61.08,59.63
58.73,59.30,59.89,58.63
59.00,58.76,59.84,58.72
58.51,59.37,59.83,58.40
60.00,60.31,60.99,59.64
60.07,59.18,60.17,58.72
59.05,57.82,59.15,57.37
57.15,56.46,57.43,55.82
55.63,55.82,56.73,55.50
54.86,54.77,56.36,54.67
54.71,54.69,54.92,53.95
55.19,53.46,55.42,53.42
53.92,55.76,55.94,53.44
55.61,54.17,55.92,54.10
53.91,53.33,54.01,52.91
54.10,55.18,55.41,53.90
55.53,56.42,56.47,55.08
57.17,57.37,57.90,56.79
57.43,57.13,57.51,56.61
57.28,58.34,58.90,57.13
59.15,58.53,59.38,58.36
59.14,59.31,59.78,58.74
59.93,60.15,60.45,59.72
59.98,58.85,59.99,58.04
58.52,58.19,59.43,57.28
58.00,58.18,58.55,57.70
58.67,58.10,58.87,58.09
58.21,58.84,59.13,57.77
58.85,59.29,59.81,58.66
59.40,58.98,59.93,58.79
58.11,58.11,58.84,57.80
59.12,60.64,61.06,58.91
61.03,59.86,61.07,59.67
59.97,60.29,60.44,59.39
60.37,61.52,62.17,60.11
62.21,61.61,62.96,61.29
62.37,62.43,62.85,61.80
62.28,61.20,63.00,60.57
62.14,62.96,63.20,61.87
62.81,63.13,63.92,62.73
63.68,62.99,63.68,62.42
62.74,63.56,63.79,61.60
63.39,63.50,64.09,62.87
63.16,62.66,63.23,61.97
63.49,64.62,64.98,63.26
64.73,64.26,64.98,63.70
64.71,64.50,64.88,63.52
63.90,64.51,65.66,63.53
63.62,63.14,63.88,62.36
63.44,64.29,64.75,63.11
64.50,64.31,64.95,63.50
66.07,67.77,68.20,66.01
68.53,68.53,69.91,68.49
68.44,69.11,69.59,68.21
68.24,69.24,69.35,67.60
69.59,69.78,69.98,68.54
69.49,69.89,70.23,69.03
70.44,70.17,70.46,69.54
70.87,71.47,72.08,70.61
71.70,72.21,72.21,70.95
73.84,75.80,75.84,73.64
75.45,75.66,76.33,74.66
75.39,74.84,75.66,74.24
75.10,73.92,76.30,73.50
73.83,74.65,74.76,73.23
73.99,75.02,75.14,73.52
73.59,74.11,74.90,73.24
74.31,74.30,74.78,73.80
72.95,73.18,74.32,72.50
72.74,74.40,74.77,72.58
75.18,75.50,75.98,75.00
75.49,76.43,76.47,74.28
75.90,76.40,76.40,74.63
75.42,75.44,75.48,73.83
75.74,77.15,77.20,75.70
76.13,75.98,77.35,75.98
75.90,77.00,77.16,75.06
75.44,77.34,77.79,74.73
78.30,80.85,81.20,78.30
80.56,80.74,81.12,80.28
79.67,82.74,83.00,79.67
82.74,82.86,83.21,81.30
83.89,81.00,84.11,80.72
81.18,80.90,81.84,80.30
82.03,81.24,82.42,80.51
81.02,81.54,81.84,80.92
82.31,82.43,83.85,82.20
82.43,81.33,82.59,81.01
80.60,80.72,81.78,80.55
80.58,81.13,81.18,79.71
81.01,81.34,81.69,80.71
81.54,82.18,82.40,81.39
82.32,82.44,82.73,81.74
82.78,82.81,83.16,82.23
82.55,82.52,83.00,82.25
81.85,82.42,82.64,81.70
82.19,82.21,82.94,82.19
82.27,83.63,84.00,82.27
83.71,83.36,84.00,82.83
83.32,83.50,83.82,83.00
84.00,83.65,84.55,83.37
83.81,81.63,84.23,80.65
80.94,82.59,82.70,80.60
82.60,80.53,82.68,79.74
80.56,81.56,82.25,80.29
80.93,80.68,81.47,80.17
81.41,82.26,82.46,81.39
82.93,84.45,84.49,82.88
84.30,84.60,85.30,83.90
84.58,86.91,86.96,84.11
86.59,86.76,86.90,85.94
87.08,86.26,87.70,85.78
84.59,85.28,85.33,82.44
87.40,83.48,87.56,82.84
84.00,84.25,84.76,82.00
84.26,83.25,84.54,82.23
83.99,87.45,87.75,83.83
87.35,85.98,87.87,85.51
87.40,86.67,87.49,85.71
86.41,88.99,89.00,86.11
89.48,89.64,90.42,88.90
89.44,89.08,89.81,88.43
89.40,89.43,89.54,87.72
89.59,89.33,89.97,88.16
89.62,89.83,91.24,89.10
89.37,89.06,89.69,87.60
88.39,88.49,89.64,87.25
88.59,90.63,90.70,88.30
89.99,90.37,91.61,89.65
90.21,92.24,92.34,90.21
92.09,92.34,92.66,91.15
92.36,94.01,94.50,91.78
92.46,94.37,94.92,92.46
94.75,95.04,95.15,93.65
95.00,92.91,95.64,91.41
92.20,92.90,94.61,92.03
91.85,89.65,92.61,89.52
90.63,92.85,92.98,90.25
93.13,93.42,93.61,91.82
94.49,91.50,95.00,91.40
90.86,90.99,91.43,89.52
92.35,92.85,93.01,91.53
92.64,91.40,92.98,90.45
91.78,90.25,92.33,89.92
91.30,89.85,91.36,89.53
89.43,88.55,89.98,88.03
86.62,84.61,86.90,84.39
83.67,86.24,86.88,83.65
85.37,85.36,85.81,83.64
82.15,84.80,85.49,82.07
84.07,83.10,84.86,81.93
84.81,87.05,87.50,84.12
87.76,85.93,88.15,85.32
87.14,89.73,89.74,87.14
89.32,88.77,89.73,88.27
88.72,88.50,89.02,87.63
88.86,88.10,88.99,86.71
87.73,86.89,87.92,86.38
86.52,90.43,91.35,86.27
90.75,94.36,94.69,90.16
94.83,93.65,94.83,92.52
94.26,93.26,95.29,93.15
94.10,93.70,95.00,93.22
94.33,92.77,94.86,92.64
92.59,92.87,94.18,92.39
93.61,91.94,93.90,90.89
92.14,91.62,92.40,90.71
92.70,90.85,92.76,90.41
90.98,88.80,91.88,88.40
87.79,86.24,88.18,85.55
86.86,85.79,87.28,85.65
85.14,86.02,86.35,84.72
86.70,86.66,87.18,85.19
85.11,84.75,85.40,83.60
84.64,86.13,86.25,84.46
87.62,87.89,88.08,87.10
89.41,89.78,91.16,88.97
89.56,88.05,89.78,87.60
88.19,89.47,89.74,88.02
89.84,89.38,90.13,87.33
88.10,89.11,89.74,87.96
88.81,89.75,90.00,87.95
89.94,87.79,90.92,86.90
87.21,85.85,87.93,85.19
85.89,84.79,85.89,83.81
83.01,82.84,85.40,81.74
84.09,82.66,85.13,81.96
83.40,83.59,84.03,82.67
84.03,84.49,85.24,83.48
84.27,82.25,84.27,80.83
82.19,83.52,84.07,81.33
83.68,82.71,84.25,81.72
82.20,82.19,83.66,81.85
81.41,82.06,82.66,80.85
82.49,83.75,84.41,82.25
84.15,83.58,84.60,82.85
83.33,83.50,84.32,82.30
81.86,82.08,82.42,81.38
82.82,83.28,84.52,82.82
82.78,84.09,84.77,82.78
84.00,85.19,85.43,83.85
85.49,84.71,86.48,84.56
86.07,85.72,86.34,84.84
85.73,83.19,86.14,82.86
83.31,84.29,84.75,82.90
82.87,85.04,86.15,82.67
85.22,83.06,85.48,82.81
84.21,82.88,84.59,82.84
82.90,83.73,84.59,82.89
84.18,85.84,86.52,84.11
85.20,83.66,85.52,83.57
83.77,82.70,84.49,81.66
84.25,84.50,85.15,83.95
83.54,82.66,85.24,82.04
82.76,82.25,83.41,81.40
82.94,81.79,82.94,81.33
81.37,82.13,82.73,80.91
82.48,83.50,84.18,82.38
83.09,83.58,84.79,82.89
81.04,83.07,83.21,80.25
83.12,80.92,83.20,80.64
80.31,80.64,81.27,79.55
81.48,84.35,84.61,81.36
84.82,85.21,86.40,84.00
85.50,86.40,86.79,85.50
85.89,87.60,87.74,85.25
87.37,88.35,88.73,87.15
88.50,89.11,89.27,87.85
89.99,90.40,90.89,89.30
88.38,89.96,90.29,88.22
88.14,88.07,88.90,87.46
87.39,86.84,87.97,86.68
86.74,87.00,88.65,86.54
87.23,85.92,87.63,85.76
86.64,87.99,88.20,86.47
88.04,87.21,88.04,86.70
88.14,88.70,88.99,87.66
89.55,88.41,89.55,88.11
88.98,90.96,91.02,88.97
93.17,93.81,94.44,92.25
92.75,94.70,95.53,92.71
94.54,93.93,94.96,93.66
93.12,91.68,93.79,91.35
91.52,91.40,92.73,91.36
90.04,90.37,91.54,89.80
91.86,90.21,92.22,89.19
89.21,87.62,90.90,87.53
87.50,87.19,87.66,84.32
85.28,80.79,85.54,80.61
82.50,80.88,82.85,77.24
77.27,73.67,79.34,73.11
75.56,77.63,77.78,72.82
77.60,73.81,78.00,73.48
74.91,77.53,78.80,72.80
78.81,77.99,79.08,77.01
78.91,80.07,80.64,78.88
79.09,78.63,80.26,77.69
80.19,79.52,81.33,78.90
76.50,74.41,77.27,73.46
73.00,73.12,75.66,72.36
75.38,72.49,75.49,72.26
72.96,76.13,76.17,72.13
75.80,76.23,76.40,74.35
76.70,73.11,77.23,72.77
73.05,74.84,75.41,72.10
76.41,77.25,77.37,75.54
76.79,77.33,78.02,75.69
77.91,78.12,79.29,77.44
78.19,76.50,79.54,76.42
74.51,74.42,75.35,73.37
71.95,74.32,74.50,71.35
75.65,76.79,76.89,75.40
75.35,75.47,76.74,75.13
73.87,71.80,74.12,71.33
70.79,72.38,72.41,69.94
72.21,72.13,72.79,70.62
72.70,72.93,73.89,70.34
74.31,74.22,74.59,72.84
74.95,72.84,75.25,72.16
70.40,70.76,71.29,69.25
71.36,69.29,71.45,69.28
69.38,65.15,69.45,65.12
62.54,61.22,63.20,59.88
60.55,61.20,62.22,60.23
61.77,63.27,63.39,58.77
64.85,63.42,66.18,62.77
63.59,60.33,63.95,60.10
62.19,61.33,62.68,60.03
60.00,59.73,61.25,59.38
58.90,57.72,59.95,57.72
56.12,59.11,59.32,54.79
59.27,61.58,62.10,58.25
62.51,63.89,64.25,61.02
63.95,62.64,64.08,61.92
64.61,65.79,66.08,64.61
65.46,66.82,68.04,65.25
67.36,67.31,68.62,66.82
67.00,67.20,67.58,65.74
68.64,70.94,70.99,68.53
69.74,67.52,69.93,67.17
67.54,69.91,70.40,66.60
69.83,67.90,70.93,67.73
68.00,67.99,68.81,66.50
68.64,67.38,69.28,66.52
67.78,69.88,69.95,67.40
70.32,68.03,70.52,67.78
69.34,69.84,70.34,67.31
72.76,75.77,76.56,72.76
74.95,75.96,76.93,74.64
74.99,73.47,75.49,73.11
69.81,71.13,72.43,69.00
72.89,72.74,72.98,71.40
73.81,75.93,76.20,73.13
74.75,74.97,76.73,73.92
75.02,75.33,76.47,73.97
75.94,76.83,77.05,74.72
74.40,73.09,74.69,72.86
74.34,74.05,74.88,72.82
75.22,76.54,77.15,74.37
75.51,75.62,76.63,75.00
75.30,75.97,76.63,74.51
75.35,74.77,76.87,74.69
74.68,71.71,74.97,70.89
72.76,71.32,72.76,70.16
69.94,70.18,70.65,68.65
69.79,68.95,70.49,68.60
67.95,66.50,68.36,66.18
66.11,66.37,67.81,66.06
68.49,69.22,69.87,68.44
69.84,70.43,71.33,69.07
73.18,75.33,75.50,73.04
75.16,74.87,76.05,74.25
75.90,75.01,76.72,74.84
76.29,77.15,77.39,75.93
76.86,76.65,77.65,75.93
75.79,75.09,76.10,74.34
74.24,71.95,75.35,71.65
72.14,74.15,74.56,72.04
72.85,71.92,72.99,70.58
72.58,70.41,73.76,70.01
69.18,67.00,69.51,66.82
68.08,66.33,68.48,66.18
67.13,66.91,67.95,65.81
67.42,65.07,67.42,64.95
66.70,68.17,68.58,66.69
68.39,67.71,68.62,66.36
68.40,67.93,68.40,66.72
68.25,69.14,69.14,68.01
69.06,68.60,69.56,68.60
68.59,67.04,69.00,66.79
67.07,67.41,67.74,67.00
67.24,68.31,68.54,67.14
70.40,70.09,70.89,69.60
70.13,69.56,70.44,69.23
68.98,68.07,69.07,67.14
68.50,67.78,68.73,67.36
68.27,68.82,68.96,67.88
70.46,70.75,71.06,70.25
70.59,70.16,70.60,69.41
70.58,69.70,71.49,68.19
69.01,67.99,69.15,67.72
69.37,67.64,69.74,67.40
67.14,70.63,70.66,67.12
71.22,72.86,73.00,71.22
73.80,73.80,75.75,72.60
74.22,74.16,74.80,73.09
73.17,74.59,74.59,72.87
74.14,76.19,76.52,73.10
77.04,75.98,77.75,75.80
75.85,76.66,77.49,75.85
75.47,76.27,76.28,74.45
76.95,75.17,76.95,74.95
76.35,76.12,77.15,75.11
76.25,77.31,77.45,75.97
78.31,78.66,78.70,77.71
78.20,79.64,79.74,77.75
79.34,79.50,79.69,78.00
79.82,78.41,79.87,77.97
78.81,78.64,78.94,77.73
77.69,77.17,78.04,76.62
78.09,78.03,78.41,77.12
77.71,77.80,77.98,76.95
78.16,77.36,78.17,76.74
77.12,78.06,78.29,76.50
78.58,77.74,78.67,77.58
78.93,78.58,79.77,78.26
78.55,80.00,80.78,78.55
80.40,79.59,80.40,78.56
80.10,79.85,80.50,79.60
79.22,79.11,79.67,78.05
79.10,78.78,79.54,78.22
78.81,77.61,79.42,77.40
78.14,78.37,78.89,77.40
78.00,77.19,78.32,76.73
76.81,75.69,76.88,75.03
73.86,73.79,74.08,72.73
74.39,74.70,74.93,73.91
75.21,75.82,76.34,75.02
75.99,75.84,76.76,75.51
75.65,74.02,75.76,73.75
74.40,74.77,74.90,73.52
74.66,74.02,74.80,73.53
74.17,74.92,75.06,73.26
75.32,76.76,77.04,75.07
76.75,77.10,77.43,76.60
76.24,75.71,76.24,75.24
75.17,74.01,75.17,73.67
73.02,71.98,73.11,71.12
72.33,73.18,73.51,71.56
73.61,72.40,73.84,71.97
72.33,69.96,72.36,69.93
69.61,69.78,70.70,68.60
69.33,69.14,70.46,68.33
69.88,69.93,70.42,68.80
69.60,69.84,71.09,69.10
70.50,69.73,70.65,68.99
68.81,68.69,69.59,68.24
68.54,68.42,69.40,68.28
67.49,67.59,68.65,67.25
67.36,67.26,68.06,66.45
68.74,68.12,68.90,68.00
68.46,70.34,70.42,68.13
69.91,68.38,70.20,68.32
68.75,67.44,69.08,67.36
68.63,69.35,69.66,68.50
69.37,69.93,70.81,69.27
70.12,69.80,71.25,69.37
72.73,71.70,74.52,71.61
70.77,71.19,72.25,69.89
71.50,72.71,73.50,71.19
73.65,74.46,74.92,73.15
73.86,74.25,74.72,73.27
74.54,73.95,74.73,73.50
73.34,74.14,74.28,73.34
74.16,75.13,76.19,73.79
74.46,74.17,74.68,73.83
74.20,72.61,74.29,72.18
71.89,69.96,71.89,69.45
69.81,70.60,71.10,69.35
69.92,70.39,70.60,68.37
69.24,69.64,70.59,68.74
70.50,69.44,71.18,69.20
68.84,68.80,70.15,68.66
67.82,67.25,67.82,66.85
67.38,65.52,67.62,65.28
65.76,64.81,67.00,64.20
64.54,64.75,65.65,64.15
64.91,64.06,65.80,63.88
64.82,66.76,66.86,64.21
67.07,66.40,67.77,65.84
65.63,67.18,67.26,64.89
67.58,65.85,67.65,65.11
65.52,65.41,66.33,65.11
66.06,67.24,68.13,66.02
66.07,64.18,66.08,63.80
63.81,63.25,64.01,61.23
61.63,62.07,62.70,60.87
62.10,62.21,62.29,60.75
61.92,62.24,63.28,61.54
63.19,64.59,64.75,62.93
65.77,64.43,66.50,64.10
63.95,64.54,64.70,62.84
65.50,64.07,65.73,63.92
64.46,64.93,65.14,63.79
64.47,63.95,65.56,63.49
64.13,65.38,65.59,63.84
66.14,66.46,66.77,65.51
65.49,66.54,66.70,65.39
67.11,67.15,67.69,66.60
66.83,65.54,67.23,65.00
65.20,62.56,65.47,62.43
62.83,61.56,63.07,61.20
60.75,60.06,60.93,59.68
60.17,59.67,60.45,59.12
60.10,61.47,61.80,60.01
61.48,62.72,62.88,61.21
64.42,64.91,65.48,64.02
64.86,64.94,66.01,64.48
65.82,67.34,67.38,65.58
67.05,66.10,67.14,65.85
65.09,65.17,66.10,64.57
64.83,65.82,66.29,64.49
66.05,64.97,66.36,64.50
65.18,65.66,66.15,64.90
64.82,65.39,65.74,64.19
65.44,66.72,66.93,65.42
66.27,66.30,66.79,65.54
66.95,67.79,67.95,66.08
67.44,68.76,69.18,67.26
68.87,68.64,69.39,68.27
69.92,69.33,70.44,68.80
68.37,69.55,69.79,67.52
69.50,67.94,69.65,67.04
68.22,68.25,68.86,67.46
70.01,71.31,71.67,69.34
71.77,72.96,73.47,71.18
72.82,72.54,72.86,72.09
72.16,71.26,72.76,71.01
71.41,71.68,72.48,70.26
70.45,70.83,71.54,69.85
72.50,72.39,72.84,71.71
72.67,72.40,72.88,72.04
72.83,73.61,74.22,72.66
72.93,73.66,73.85,72.78
73.46,74.33,74.40,73.10
74.04,75.35,75.47,73.77
75.13,75.20,75.40,74.60
75.41,74.47,75.68,74.15
74.39,73.87,74.50,73.30
74.02,74.98,75.11,73.56
74.96,74.78,75.11,74.53
74.49,74.34,74.83,74.10
74.60,74.35,74.99,74.14
74.00,74.82,74.97,73.83
74.71,74.19,74.87,73.85
74.00,74.59,74.75,73.72
74.68,74.85,75.43,74.33
74.41,74.38,74.78,73.98
74.40,72.96,74.40,72.87
72.50,71.60,72.50,71.47
72.10,72.38,72.79,71.73
72.12,71.42,72.34,70.72
71.32,71.25,72.10,70.67
71.87,72.46,73.63,71.86
72.68,73.17,73.65,72.58
73.05,72.69,73.80,72.68
72.81,73.66,73.71,72.61
74.36,74.32,74.73,74.05
74.51,75.67,75.96,74.24
77.78,77.60,78.47,77.25
77.29,77.14,78.27,76.81
76.86,76.23,76.87,75.31
76.13,74.71,76.30,74.30
74.32,75.23,75.29,73.75
75.95,75.02,76.00,74.50
74.02,74.26,74.80,74.00
74.56,72.69,74.56,72.59
72.34,72.05,72.58,71.71
72.49,73.24,73.53,72.02
73.32,72.33,73.32,71.99
72.99,72.58,73.68,72.36
72.89,72.26,73.20,71.92
72.25,71.19,72.53,70.72
71.66,71.67,71.96,71.21
72.40,71.49,72.59,71.28
70.93,71.61,71.75,70.70
71.61,71.73,72.42,71.57
71.66,71.08,71.75,70.87
72.22,72.42,72.84,72.00
72.75,72.19,72.91,71.66
72.21,72.76,73.01,71.53
73.19,73.52,74.00,73.15
73.53,74.55,74.76,73.05
74.55,74.80,75.09,74.05
75.47,74.00,75.70,73.75
73.63,73.16,74.20,72.25
71.92,71.26,71.96,70.98
71.67,70.09,71.79,69.75
71.00,70.74,71.33,70.01
70.74,70.10,71.04,69.90
70.30,69.53,70.85,69.06
69.77,70.15,70.25,68.60
70.60,68.77,70.85,68.59
68.65,69.95,70.18,68.63
70.26,71.15,71.36,70.03
69.98,70.13,70.56,69.32
69.95,67.77,70.29,67.70
67.50,68.37,69.46,67.32
68.47,68.48,69.46,68.10
67.71,69.07,70.00,67.50
69.34,67.83,69.47,67.62
67.80,69.16,69.45,67.69
69.33,68.22,69.34,66.85
68.95,70.69,70.70,68.84
70.43,70.02,70.64,69.64
70.33,70.21,70.50,69.73
70.76,71.18,71.21,70.29
70.21,70.43,70.57,69.93
70.10,69.87,70.37,69.55
69.47,70.73,70.80,68.91
70.96,70.60,71.35,70.39
70.54,71.62,71.89,70.42
72.00,71.02,72.49,70.87
70.92,71.22,71.97,70.74
71.47,71.32,72.11,71.17
71.11,71.50,71.61,70.71
71.80,71.83,72.00,71.28
71.72,72.00,72.30,71.55
72.35,72.60,72.80,71.98
73.13,72.79,73.51,72.49
72.04,72.56,72.99,72.04
69.90,68.91,70.00,67.60
69.23,69.68,69.92,69.02
69.46,71.35,71.78,69.30
71.74,70.66,72.00,70.61
70.14,71.10,71.53,70.00
70.22,69.69,70.55,68.92
69.55,69.28,69.89,68.95
69.74,69.10,69.89,68.92
69.09,69.17,69.29,68.26
68.58,67.96,68.74,67.88
67.87,69.30,69.35,67.64
70.80,71.40,71.41,70.12
71.25,70.92,72.00,70.66
71.33,72.01,72.22,71.04
71.53,72.21,72.23,71.42
71.94,72.51,72.60,71.50
72.76,72.20,72.97,72.01
72.70,73.25,73.25,72.54
73.19,73.75,73.80,73.06
73.39,72.77,73.77,72.54
72.47,72.59,72.86,72.19
72.53,73.22,73.63,72.53
73.46,73.37,73.96,72.54
73.95,76.50,76.73,73.50
76.57,78.00,78.04,76.57
77.79,78.17,78.62,77.36
78.16,78.02,78.87,77.76
78.63,79.51,79.80,78.10
79.73,79.28,79.81,79.10
79.04,79.95,79.99,78.78
79.83,78.60,79.90,78.46
78.44,78.05,78.79,77.55
78.94,79.70,79.83,78.40
79.11,79.45,79.85,78.88
79.82,80.16,80.43,79.50
79.42,78.73,79.57,77.76
78.86,78.00,79.21,77.82
78.24,79.07,79.07,78.13
78.56,77.93,78.85,77.81
78.51,78.53,78.65,78.02
78.49,78.63,78.73,78.25
78.51,81.56,82.00,78.14
81.03,80.03,81.22,79.50
80.09,79.99,80.55,79.57
80.07,78.53,80.20,78.47
77.97,77.43,77.97,76.55
77.93,77.79,78.15,76.87
78.36,75.83,78.95,75.74
76.34,76.33,76.77,74.99
76.21,77.90,78.18,75.98
77.82,77.85,78.58,77.47
77.35,77.64,77.92,76.92
77.49,76.50,77.59,75.72
77.24,76.95,77.60,76.28
77.54,77.16,77.77,76.45
77.20,77.82,78.00,77.10
78.02,77.96,78.44,77.24
77.57,77.78,77.86,77.12
77.98,77.44,78.37,77.01
77.71,77.39,77.83,77.24
77.84,78.75,78.93,77.58
78.48,79.40,79.74,78.48
77.33,76.34,77.79,76.11
76.63,73.98,76.63,73.01
74.18,73.79,74.25,73.41
73.32,73.44,74.01,73.25
73.84,74.37,74.39,73.56
74.72,73.86,74.95,73.36
74.41,74.42,74.52,73.83
73.89,75.10,75.27,73.55
74.97,74.89,75.64,74.50
75.08,74.02,75.23,73.36
74.48,74.81,75.22,74.01
74.82,74.01,75.15,73.51
73.91,73.94,74.32,73.41
73.09,74.35,74.49,72.70
74.30,74.96,75.10,74.10
75.11,75.43,75.78,74.53
75.47,76.99,77.30,75.45
77.19,77.14,77.56,76.52
76.62,75.66,76.75,74.89
74.61,71.89,74.61,71.60
72.76,73.29,73.44,71.76
72.39,70.97,72.39,70.20
71.40,71.00,71.66,70.19
73.70,69.95,73.70,69.08
71.01,71.23,71.57,69.76
71.64,71.94,71.99,70.83
72.41,73.17,73.71,72.06
73.25,73.44,74.07,72.80
73.32,73.34,73.77,72.63
73.56,74.03,74.28,72.94
74.17,74.43,74.62,73.34
73.93,73.79,74.18,73.34
73.82,74.25,74.58,73.46
75.04,75.72,76.40,75.01
75.72,76.16,76.42,75.48
76.59,76.89,77.45,76.41
76.87,77.59,77.69,76.53
77.48,77.25,77.66,76.74
76.94,76.82,77.04,75.83
76.74,77.04,77.41,76.60
76.73,76.86,77.27,76.58
75.59,75.68,76.23,74.96
75.76,75.27,76.17,75.07
75.90,75.74,76.17,74.88
75.56,77.42,77.49,75.42
77.39,77.08,77.84,76.67
76.95,75.58,77.79,75.11
74.44,75.38,75.45,73.82
74.67,74.66,74.88,73.66
75.87,75.40,76.18,75.25
74.82,74.98,75.32,74.28
74.58,74.81,75.20,73.95
74.39,73.03,74.51,73.02
73.19,73.25,73.53,72.74
73.14,72.85,73.56,72.57
72.60,72.18,73.11,72.10
72.12,73.30,73.30,71.80
74.04,73.93,74.35,73.29
74.11,73.30,74.39,73.11
72.37,71.44,72.61,71.31
72.14,70.95,72.19,70.88
71.11,72.46,72.57,71.00
72.51,71.60,72.68,71.55
72.40,73.10,73.43,72.40
73.18,74.16,74.60,73.06
74.26,73.40,74.79,73.40
