VMW,Vmware,NASDAQ
78.52,79.29,79.53,77.87
79.75,79.25,79.84,78.51
79.74,81.91,82.18,79.56
80.82,80.88,81.67,80.40
80.00,80.43,81.44,79.00
80.97,81.16,81.41,80.33
80.55,80.12,80.63,78.90
79.17,76.93,79.19,75.20
72.69,74.07,75.82,71.60
74.34,76.38,77.11,74.34
76.89,77.16,77.50,76.32
78.11,78.07,79.30,77.61
78.39,77.97,79.00,77.25
78.05,78.06,79.28,77.67
78.45,81.79,81.95,78.06
82.19,81.35,83.63,80.82
79.42,79.17,80.70,78.41
78.24,77.72,78.77,76.10
78.40,78.15,79.99,77.76
78.69,79.27,79.49,76.85
78.86,78.36,81.09,78.25
78.50,78.42,79.37,77.31
80.13,81.58,81.71,80.13
81.53,82.75,83.60,81.06
83.27,84.43,84.94,82.80
83.76,82.93,84.60,82.76
83.24,84.23,84.75,82.97
84.98,84.54,85.99,84.16
84.96,84.90,85.77,83.81
84.47,84.20,85.72,83.75
83.30,86.44,87.16,83.11
86.03,85.75,86.54,85.36
85.69,84.76,85.96,84.32
85.26,84.81,85.49,83.90
85.68,87.43,87.65,85.07
87.87,86.46,87.91,86.00
86.40,86.51,87.44,85.10
85.79,85.40,87.86,85.22
86.23,87.72,89.18,86.18
88.24,87.51,89.03,87.26
88.37,87.70,88.63,86.07
87.60,87.80,88.86,86.91
88.39,84.94,88.40,84.61
85.60,85.51,86.37,84.49
85.47,82.43,85.47,81.76
83.66,85.22,85.45,83.00
85.01,77.56,85.43,76.13
77.68,77.39,77.68,73.25
77.26,79.19,79.50,75.58
79.19,75.40,79.50,75.29
74.81,77.92,78.47,73.76
78.99,78.24,79.23,77.13
79.81,80.15,82.03,78.90
80.44,77.63,80.63,76.95
79.12,78.35,79.12,76.16
73.30,73.12,75.06,71.04
73.73,73.39,74.81,73.15
73.69,75.42,75.74,73.64
75.71,75.90,76.00,73.70
76.43,77.24,78.49,76.05
77.01,75.42,77.01,75.24
75.96,78.25,78.61,75.75
78.91,76.57,79.00,75.41
76.50,76.46,77.77,76.25
77.26,76.63,77.64,75.82
77.31,77.66,78.42,76.92
78.02,78.74,78.78,76.21
79.68,77.28,80.45,76.75
77.70,77.50,78.33,76.35
78.33,80.34,81.35,77.94
80.66,80.80,81.69,79.75
80.44,83.15,83.27,79.32
80.09,83.27,83.27,80.00
82.25,80.99,84.03,80.50
81.11,78.74,81.22,78.04
78.03,76.62,78.95,75.87
76.51,75.51,77.65,74.06
77.11,78.95,79.65,76.96
79.70,80.90,80.99,79.08
80.98,82.14,82.43,80.50
80.83,79.09,81.83,78.86
80.62,81.61,82.07,79.52
81.00,81.12,81.75,80.27
80.76,81.37,81.57,79.61
80.04,81.52,82.00,79.19
82.54,83.96,84.74,82.36
84.30,84.83,85.00,83.80
83.91,85.76,85.99,83.85
85.25,86.05,86.32,84.22
86.40,84.74,87.00,84.60
84.57,87.76,87.85,84.53
87.92,87.83,88.89,86.94
88.14,88.80,89.08,87.86
89.31,89.58,91.95,89.11
89.48,87.57,90.28,87.43
87.35,86.12,88.49,84.62
85.99,88.01,88.40,85.63
88.27,88.70,89.47,87.90
89.53,88.69,89.53,87.30
88.70,89.12,89.55,88.00
89.08,88.38,89.11,87.56
88.12,88.95,89.00,88.00
88.50,91.02,91.50,88.05
90.93,90.16,91.90,89.10
90.29,89.80,90.57,89.27
89.40,89.75,90.65,89.29
89.92,88.91,89.92,88.23
89.50,92.97,94.19,89.50
93.44,93.17,93.78,90.55
92.39,94.41,95.40,92.14
94.49,94.54,95.10,93.26
94.50,94.79,95.44,92.68
93.65,95.70,96.00,93.65
96.19,95.69,96.50,94.60
96.26,95.16,96.26,94.79
95.41,95.50,96.00,94.50
95.82,97.00,97.30,95.67
96.68,96.79,97.61,96.03
96.46,92.86,97.10,92.42
88.88,89.31,89.80,85.91
90.08,90.66,91.08,89.04
90.72,87.73,90.82,87.56
84.00,84.28,85.37,82.12
84.43,85.56,86.20,84.37
86.03,86.34,87.95,85.74
87.20,85.79,88.36,84.12
86.37,85.52,86.37,84.65
85.93,86.71,87.51,85.76
86.79,88.82,89.55,86.46
88.83,88.53,89.64,87.12
88.72,88.50,89.00,87.39
88.93,88.66,90.54,88.60
87.69,88.00,88.37,87.48
87.77,88.59,89.34,87.30
87.65,89.80,90.05,87.50
89.44,89.06,90.49,88.91
89.11,90.87,91.00,89.06
90.72,88.87,91.68,88.30
89.43,90.76,90.77,87.78
90.40,89.85,91.00,89.63
89.95,88.74,90.14,88.45
87.87,84.53,87.87,84.23
84.24,82.72,84.49,81.35
82.37,84.62,85.89,82.08
86.12,85.59,87.30,84.87
86.23,83.65,86.29,83.00
83.77,81.67,83.87,81.13
81.53,83.32,84.30,81.33
84.32,85.20,85.56,84.18
85.35,85.20,85.79,84.00
85.21,82.30,86.09,81.75
82.30,82.63,83.48,81.88
82.29,84.30,85.06,82.11
82.90,82.28,83.03,80.43
81.66,83.02,83.37,81.50
81.92,80.47,83.07,79.81
77.67,78.75,79.79,76.60
78.75,78.00,80.08,77.23
79.39,77.02,79.39,76.86
77.91,74.81,77.91,74.04
75.65,76.45,77.47,74.10
78.03,76.75,78.25,76.01
76.69,76.74,77.13,75.56
78.21,81.43,81.65,78.08
81.84,81.04,81.95,80.18
81.10,78.84,81.33,78.71
78.50,80.18,80.29,77.96
81.41,82.48,82.64,80.33
82.13,81.54,82.49,81.15
81.93,81.25,82.67,81.11
81.40,78.89,81.50,78.50
78.58,78.54,79.59,77.82
79.00,79.08,79.49,77.76
78.87,80.58,80.70,78.68
80.95,82.77,83.38,80.60
82.82,82.90,84.07,82.41
82.51,84.91,84.95,81.30
85.64,87.29,87.80,85.31
86.57,86.35,87.35,85.42
86.05,85.99,87.09,85.50
84.56,86.50,86.76,84.33
86.58,85.97,86.95,84.06
95.04,97.90,98.85,92.00
95.89,96.81,97.79,95.43
96.22,97.85,99.19,96.00
98.00,95.26,98.28,94.25
95.68,95.67,96.13,93.30
95.26,95.77,96.91,94.15
95.79,95.43,96.10,95.01
95.75,93.31,96.39,92.72
93.30,91.48,93.48,90.13
91.36,91.81,93.04,89.23
90.86,91.64,93.90,90.86
92.52,92.98,94.05,91.86
92.77,93.47,94.04,92.00
93.84,93.09,94.13,92.50
93.10,92.64,93.74,91.66
92.43,94.91,95.10,91.75
94.75,93.94,96.00,93.75
92.97,89.45,93.50,89.14
89.07,90.76,91.64,88.67
90.92,92.83,93.79,90.25
93.07,93.89,94.14,92.09
95.09,95.57,96.86,94.50
93.78,93.85,94.48,92.66
94.85,94.65,95.73,94.11
94.31,96.96,97.46,93.88
96.90,97.87,98.68,96.15
98.44,97.30,98.55,96.29
98.36,97.32,98.71,96.20
97.09,95.92,102.74,95.75
96.18,97.71,98.49,95.46
96.00,94.99,97.81,94.26
94.50,93.15,95.90,92.82
93.44,94.14,95.00,92.08
93.64,92.31,94.04,91.26
92.85,94.60,95.06,92.72
94.24,93.46,95.41,93.00
93.37,92.82,94.77,92.26
93.90,94.91,96.52,93.65
93.81,91.31,95.17,91.16
91.31,90.46,91.84,88.76
91.77,90.79,92.52,90.42
90.37,91.05,91.74,90.07
91.80,94.52,94.63,91.22
94.30,94.27,96.34,94.03
92.79,95.96,96.02,92.33
95.35,94.24,95.91,93.65
94.06,97.60,97.99,93.08
97.53,97.18,99.99,96.75
97.55,96.82,97.67,95.90
97.25,100.23,101.10,97.02
100.03,99.90,100.34,98.10
100.00,101.27,101.30,99.18
100.96,103.93,104.29,100.25
104.85,102.98,105.47,101.68
101.74,105.00,105.09,101.39
103.19,102.13,104.79,100.91
103.03,100.40,103.24,99.80
102.11,100.28,103.67,100.16
101.32,100.55,103.42,99.52
102.00,102.67,102.67,100.40
101.84,100.78,103.50,100.54
103.37,106.02,106.21,102.50
109.71,105.91,111.43,105.06
103.91,104.90,106.83,102.83
104.41,106.72,107.45,103.58
104.65,107.75,108.12,104.51
107.11,106.11,107.59,104.62
105.02,100.91,105.04,100.82
101.15,101.50,103.31,100.00
100.23,100.34,101.30,98.80
102.30,99.95,102.59,98.00
99.28,95.07,99.35,95.01
95.77,97.00,97.13,92.93
95.09,88.88,95.09,88.78
90.61,87.28,91.24,85.00
80.37,83.96,85.98,79.00
85.61,88.17,88.21,81.91
86.42,85.31,88.92,85.28
86.73,90.25,91.22,85.82
91.27,90.66,91.59,88.46
93.52,94.68,94.85,92.64
94.55,92.32,94.87,90.68
92.09,88.18,92.30,86.72
83.48,79.17,83.93,76.76
78.34,76.76,81.68,76.70
79.54,77.83,79.89,77.38
78.74,82.00,82.00,77.74
81.75,83.05,83.11,79.87
82.55,80.18,83.63,79.95
80.89,84.77,84.96,80.09
85.98,88.50,88.52,85.74
88.20,90.71,91.88,88.01
92.37,94.36,95.55,92.37
93.43,92.18,94.83,91.72
89.93,88.08,90.31,87.34
84.44,88.27,88.54,84.16
90.37,92.03,92.09,88.80
90.55,90.36,93.45,89.81
89.62,87.99,89.96,86.71
86.23,89.91,89.95,86.03
89.90,90.91,91.34,89.00
91.23,93.48,95.06,90.75
94.71,94.70,94.74,91.91
94.62,93.59,94.89,92.37
91.31,91.80,92.16,89.00
92.99,88.81,93.33,88.54
88.89,88.14,92.00,88.05
84.53,83.00,86.12,81.68
82.59,85.60,85.83,82.42
85.79,88.12,88.14,83.50
90.24,86.47,91.24,86.16
86.65,84.22,86.95,84.17
85.85,83.06,86.24,81.00
81.54,80.38,83.55,80.00
79.53,78.89,81.27,78.51
77.65,81.55,81.92,77.50
81.55,85.43,86.08,81.01
85.82,89.16,89.24,84.70
89.23,87.67,90.00,86.76
89.96,89.65,91.00,88.05
87.97,90.28,90.75,87.25
90.89,89.38,91.69,88.03
89.30,90.61,90.95,88.85
92.00,93.08,94.26,91.76
93.05,89.52,94.43,88.69
91.38,96.86,97.67,88.85
94.37,93.80,96.50,93.30
93.50,95.19,96.49,92.76
96.26,95.82,97.26,94.51
95.21,97.69,98.00,95.11
96.12,95.70,97.70,95.55
96.67,96.73,97.37,94.00
98.56,99.40,100.45,98.22
97.80,100.08,100.45,97.50
98.73,97.75,99.30,97.41
94.69,96.07,97.31,94.06
97.72,97.19,98.35,96.00
98.64,100.19,100.48,96.35
99.24,100.32,100.82,98.55
99.35,99.59,100.45,97.85
100.00,100.77,100.99,98.60
97.13,96.91,99.23,96.53
98.07,97.19,98.50,95.41
98.49,100.67,100.80,98.06
99.76,102.59,104.38,99.75
101.57,103.25,104.00,101.29
101.43,101.11,103.95,100.88
100.75,97.84,100.91,96.55
97.34,93.85,97.50,93.66
92.80,94.76,95.51,91.20
94.31,92.50,95.04,91.31
91.72,90.76,92.31,89.84
90.58,89.37,91.12,89.35
92.43,93.99,94.00,92.01
93.39,92.06,94.43,91.62
94.92,96.68,97.37,94.57
96.34,96.70,97.63,96.07
97.11,95.24,97.91,95.00
96.99,97.09,99.00,96.16
97.47,96.98,98.46,96.62
96.70,96.96,97.42,95.05
96.73,95.04,97.00,94.90
95.22,96.43,97.58,95.07
94.94,94.06,94.95,93.21
94.90,90.95,95.61,90.31
90.39,87.72,90.39,86.00
88.93,85.13,88.93,84.53
86.22,85.82,86.43,84.70
86.12,84.34,86.59,84.06
85.66,85.32,85.66,83.59
81.56,76.85,82.08,74.69
78.75,81.16,81.76,77.71
82.58,83.67,84.09,82.25
84.91,85.12,87.00,84.80
85.25,83.18,85.64,83.02
83.86,84.37,84.75,82.49
83.98,83.19,84.27,83.00
84.70,82.27,85.87,82.07
81.64,81.67,82.55,80.16
81.76,82.31,82.84,81.52
82.96,83.31,84.33,82.47
83.45,84.95,85.17,82.94
86.01,85.30,86.80,85.10
85.42,87.92,88.20,85.30
87.70,87.88,88.75,87.17
84.89,85.46,85.56,83.25
86.45,84.00,87.00,83.51
84.10,85.46,85.79,82.80
87.77,87.81,88.00,86.61
88.09,88.12,88.47,86.55
88.42,86.00,88.86,85.10
90.32,92.66,93.44,90.00
92.78,92.15,93.34,91.20
92.51,91.93,94.50,91.61
90.70,92.27,92.75,90.37
90.84,91.17,92.25,90.06
91.61,91.27,92.13,90.40
91.48,93.13,93.59,90.52
93.13,93.77,94.88,92.75
94.51,95.58,95.70,94.27
94.31,94.91,96.20,94.20
94.39,95.55,96.30,94.26
95.27,94.21,95.55,93.40
94.30,95.28,95.45,94.14
94.00,94.48,95.19,93.71
95.36,96.73,97.00,94.87
96.73,97.51,98.00,96.41
98.08,97.52,98.94,97.00
97.21,99.27,99.43,96.98
99.26,99.11,99.91,98.49
98.97,98.09,99.88,97.57
97.75,98.54,99.02,97.51
98.28,99.62,99.85,97.35
100.57,100.52,101.76,99.70
99.39,100.46,101.00,98.42
100.34,100.19,101.56,99.24
100.14,98.89,101.19,98.75
100.29,101.97,101.98,99.31
100.88,100.89,101.99,100.64
100.16,99.81,101.08,98.80
98.66,98.13,98.80,97.30
98.51,100.01,100.60,98.35
100.51,100.61,101.49,100.14
100.59,100.52,101.32,100.11
100.25,99.96,100.67,99.60
100.52,105.08,105.30,100.35
104.72,105.49,105.86,103.80
105.34,108.90,109.01,105.08
108.84,107.11,109.36,106.75
106.43,106.80,107.50,105.69
106.00,106.47,106.67,104.16
106.97,109.45,109.95,106.88
108.12,108.66,109.53,107.80
108.30,108.84,108.97,107.20
109.11,110.35,110.75,109.11
110.42,108.55,110.71,108.46
110.00,108.59,111.00,107.50
109.07,112.46,112.79,108.91
112.96,112.37,113.76,110.80
111.30,114.40,115.19,111.00
114.00,114.53,115.00,113.17
113.40,112.97,114.41,111.84
112.23,113.75,113.95,111.77
111.48,112.51,113.14,111.04
112.83,110.37,114.46,109.95
105.49,107.61,109.50,103.00
107.48,109.07,109.48,107.48
109.83,112.48,113.44,109.20
113.00,109.00,113.37,108.20
109.80,110.49,110.87,109.34
111.46,111.29,112.48,109.75
113.78,113.75,118.79,112.53
113.76,111.24,115.00,110.98
109.53,107.52,109.63,106.98
107.84,103.48,107.90,102.66
105.24,106.69,107.00,104.47
106.88,110.92,111.40,106.73
111.06,112.41,112.86,110.35
111.21,111.72,112.92,110.83
111.97,112.63,113.88,110.86
111.40,114.62,115.00,111.22
114.77,112.46,114.96,111.36
111.43,108.02,111.47,107.72
106.83,107.60,109.46,106.72
107.06,105.07,107.38,101.60
102.98,105.33,106.72,102.92
105.71,101.18,106.49,100.62
100.77,102.32,103.95,99.91
101.12,100.67,102.41,100.46
100.67,101.76,103.97,100.50
101.91,99.58,103.11,98.89
99.53,98.95,101.79,98.46
99.77,97.90,100.62,97.39
98.77,101.37,101.63,96.30
101.37,100.89,103.05,99.99
99.59,101.52,101.98,98.28
100.20,95.43,100.58,92.86
95.35,94.02,96.47,93.37
95.22,94.89,95.75,93.37
93.80,94.71,95.40,92.30
94.50,93.01,94.65,91.55
91.43,89.46,91.98,88.94
88.99,88.33,90.82,87.17
88.08,90.68,91.63,87.84
91.63,93.90,94.69,91.57
95.00,92.25,95.00,92.08
91.86,93.80,94.01,91.66
94.26,90.49,94.75,90.31
91.17,90.86,91.83,89.60
90.60,88.78,90.91,88.43
88.99,88.60,88.99,87.30
88.30,91.02,91.39,87.84
90.30,92.07,93.41,88.58
93.33,93.34,94.55,92.70
93.65,93.47,94.21,92.23
91.11,88.78,91.86,88.55
89.69,92.45,92.61,89.21
91.80,88.43,92.23,86.97
88.61,88.22,89.52,87.17
88.54,88.67,89.52,87.81
87.46,84.06,87.75,82.56
87.22,91.04,91.08,87.15
89.98,90.51,91.31,89.15
91.36,91.85,91.91,90.60
91.81,90.21,92.45,90.21
85.25,83.97,86.94,83.21
85.54,83.08,86.50,82.35
84.22,82.42,85.40,82.09
82.23,81.78,83.25,80.47
81.55,83.65,84.27,80.13
83.75,85.38,86.09,83.75
85.49,84.41,85.78,84.13
84.03,80.29,84.20,79.46
85.70,89.98,90.81,85.32
88.78,92.76,93.61,88.45
91.92,89.80,91.96,88.92
86.99,89.23,89.44,85.74
86.05,88.89,90.81,85.95
89.11,87.69,90.28,87.29
89.46,92.41,92.85,89.17
92.02,95.70,96.33,91.01
94.02,92.37,95.21,92.20
93.03,90.76,93.46,90.44
90.39,89.00,90.93,88.18
87.85,87.59,90.09,86.66
90.00,93.05,93.14,88.88
92.75,93.14,94.28,92.18
93.50,94.42,95.18,93.38
94.39,93.57,94.77,92.93
93.40,97.74,98.23,93.33
96.75,97.41,98.16,95.92
96.70,96.36,97.60,95.25
97.00,94.07,97.04,93.81
93.90,94.60,95.51,93.68
95.98,98.05,98.92,95.75
98.55,97.76,98.95,96.97
97.70,96.12,97.70,95.32
96.67,95.15,97.30,94.82
95.00,95.07,95.80,94.05
94.51,91.24,94.72,90.85
90.75,92.21,92.99,89.63
92.92,92.32,93.25,91.31
92.27,90.82,92.32,90.23
90.90,90.62,91.56,88.80
90.16,88.51,90.16,88.07
89.67,89.04,90.00,87.90
88.55,87.94,88.96,86.62
88.27,89.09,89.35,87.54
90.02,94.02,94.14,89.81
94.29,94.29,95.10,93.06
94.00,93.75,94.64,93.13
93.75,96.48,96.70,93.32
96.44,97.60,98.31,95.90
97.40,99.31,99.80,96.67
99.70,102.27,103.02,99.50
101.51,100.54,102.83,100.31
100.21,99.55,100.49,98.92
99.56,99.25,99.94,98.38
98.95,99.75,99.76,97.60
100.29,100.68,101.45,99.90
98.81,97.29,99.35,97.13
97.68,96.15,98.36,96.01
95.42,94.21,95.55,92.75
94.64,97.18,97.99,94.26
96.87,96.74,97.90,95.83
95.11,93.49,97.95,93.25
94.46,95.19,96.94,94.16
95.40,96.62,96.80,95.26
94.67,97.33,97.43,94.60
97.83,97.33,99.12,96.90
96.55,96.41,97.83,95.89
94.81,91.08,94.82,90.85
92.03,90.32,92.17,90.10
91.47,88.99,91.59,88.20
88.52,87.30,89.10,86.32
88.26,87.93,89.90,87.22
89.22,90.76,90.92,88.00
89.08,87.29,89.44,86.81
87.73,85.56,87.74,85.46
85.45,83.65,86.29,83.12
84.07,83.36,84.44,82.59
81.88,83.72,83.97,81.50
86.50,85.67,88.57,83.74
85.87,86.36,86.51,83.84
86.35,85.01,87.10,84.09
85.10,84.77,85.44,83.88
85.29,88.02,88.52,84.99
88.35,88.74,88.93,88.00
88.74,89.62,90.13,88.08
89.36,92.91,94.20,89.17
90.54,90.19,91.18,89.15
90.23,87.76,90.79,87.72
87.09,87.59,89.89,86.51
88.19,87.12,88.53,86.75
85.81,86.60,87.44,85.25
88.10,84.86,88.78,84.60
85.04,84.77,85.25,83.66
85.52,85.81,86.10,84.00
87.31,86.45,87.38,85.90
86.59,86.01,87.00,85.17
86.43,88.06,88.63,86.39
88.76,89.71,90.00,88.63
88.85,90.30,90.45,88.46
90.43,89.56,92.45,89.23
89.09,92.68,92.82,88.46
93.47,91.71,94.55,91.01
91.48,90.95,91.96,90.00
90.32,91.78,92.34,90.22
90.98,91.47,91.71,90.48
90.37,90.34,90.73,88.05
90.33,91.77,92.10,89.84
91.77,91.80,92.60,91.31
90.82,92.60,92.93,90.62
93.31,94.28,95.16,93.31
94.58,91.75,94.62,91.62
91.90,91.15,92.63,90.61
91.10,92.51,92.90,91.10
92.76,94.24,94.30,92.59
94.20,95.50,96.07,94.16
97.17,96.82,99.55,96.35
95.77,96.61,96.92,95.05
94.58,95.51,95.89,94.23
95.14,95.83,96.50,93.00
95.82,94.83,97.00,94.10
95.19,94.61,95.50,92.69
93.93,92.85,94.29,92.75
92.58,94.14,94.32,92.25
95.76,94.93,97.31,92.40
94.71,91.94,94.79,91.41
92.38,93.21,93.55,91.15
92.80,92.02,93.24,91.16
92.03,92.75,93.11,91.00
92.77,94.87,94.88,92.77
95.76,95.94,96.74,94.91
95.30,95.62,96.24,94.68
94.24,97.11,97.12,94.24
95.86,97.71,97.94,95.80
97.22,95.25,98.56,95.09
95.74,95.36,96.06,94.82
95.72,93.81,95.72,93.43
93.65,92.78,93.82,91.90
93.87,94.42,95.30,93.35
94.80,95.70,97.49,94.32
96.57,99.00,99.00,96.55
97.76,98.32,99.10,97.66
78.90,77.14,80.00,76.33
78.66,77.65,79.67,77.15
78.45,76.48,79.09,76.25
77.02,78.79,79.07,76.79
78.35,77.95,79.01,77.52
78.11,78.34,79.02,77.60
78.05,78.90,78.96,77.90
78.92,79.05,79.50,78.00
79.05,79.19,79.59,78.62
79.25,77.04,79.34,77.02
76.95,76.70,77.52,75.79
76.59,74.28,76.87,73.73
73.96,73.38,74.15,73.25
73.38,74.95,74.96,73.01
74.95,73.66,75.23,73.35
73.61,71.34,74.03,71.23
71.18,71.25,71.79,70.05
71.98,72.38,72.46,71.50
73.10,70.37,73.28,70.28
71.09,71.79,72.23,70.43
71.88,72.82,73.55,71.80
72.44,71.83,73.36,71.83
71.86,73.55,73.76,71.34
73.29,73.57,73.99,72.79
74.01,74.87,75.15,73.88
75.21,74.31,75.60,74.29
74.56,73.88,74.92,73.58
74.37,74.56,75.00,73.91
75.02,75.40,75.84,74.65
75.08,75.29,76.18,74.33
75.44,81.37,82.82,75.37
82.21,85.10,85.25,81.69
84.56,83.85,85.91,83.71
82.47,82.77,83.70,82.11
83.15,80.67,83.36,80.00
81.00,81.31,82.50,80.95
80.13,81.05,81.51,79.78
80.93,80.15,81.42,78.39
80.53,76.50,80.57,75.51
77.18,76.09,77.50,75.68
77.48,78.56,79.86,76.33
78.06,78.88,79.13,77.55
78.53,78.12,79.07,77.59
78.44,77.65,79.19,77.60
78.00,76.13,78.23,75.40
76.29,76.67,77.62,75.98
74.50,76.91,77.05,74.33
76.83,76.36,77.10,75.77
76.28,76.73,77.38,75.50
76.75,77.95,78.74,76.53
77.56,77.18,78.15,76.53
77.12,76.67,77.21,74.82
76.21,76.71,78.75,76.01
77.38,78.45,78.56,75.59
77.72,76.54,78.04,76.22
77.06,74.39,77.13,74.01
74.57,72.46,74.58,70.53
71.66,73.79,74.24,71.64
74.16,75.70,76.38,73.71
71.24,71.23,72.77,70.50
70.72,72.07,73.16,70.30
72.47,71.46,72.75,70.80
71.74,71.24,72.23,71.21
71.84,70.50,71.99,70.07
70.56,70.45,71.36,70.07
70.33,71.40,71.60,70.09
72.42,74.50,74.70,72.08
73.98,76.76,78.70,73.98
76.53,76.52,77.15,75.98
76.24,76.94,77.20,75.28
76.30,75.38,76.75,74.87
75.77,76.90,77.18,75.57
76.58,76.77,77.75,75.95
76.81,77.39,78.13,76.43
77.15,77.14,77.76,76.50
77.99,78.88,79.71,77.90
79.07,78.95,79.27,78.51
78.60,76.76,78.92,75.75
77.00,76.22,77.09,76.11
76.68,73.60,77.31,73.42
72.23,72.38,73.00,72.00
71.99,72.29,72.71,70.87
73.31,73.23,73.92,72.55
72.86,72.42,73.00,71.59
72.65,71.50,73.47,69.60
71.50,71.12,72.76,70.97
70.38,69.40,70.50,67.93
69.00,68.62,69.55,68.21
67.76,66.93,68.82,66.46
69.25,71.83,71.85,68.51
69.41,71.27,71.83,69.16
71.40,70.29,71.53,69.81
69.73,70.82,71.99,69.51
71.68,70.54,72.26,70.16
70.52,70.54,71.12,69.56
70.62,69.73,71.45,69.67
70.06,69.92,70.84,69.30
69.91,70.26,70.60,69.86
70.45,71.00,71.79,69.69
70.73,69.83,70.73,69.69
69.53,67.70,69.90,67.18
