HMNY,Helios and Matheson Analytics Inc - Common Stock,NASDAQ
0.80,0.80,0.80,0.80
0.70,0.70,0.70,0.69
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.68,0.76,0.76,0.68
0.68,0.75,0.75,0.68
0.75,0.75,0.75,0.75
0.68,0.74,0.74,0.68
0.68,0.70,0.70,0.68
0.74,0.75,0.75,0.74
0.75,0.74,0.75,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
0.75,0.82,1.19,0.75
0.83,0.80,0.83,0.80
0.80,0.71,0.80,0.71
0.64,0.71,0.71,0.64
0.80,0.80,0.80,0.77
0.80,0.80,0.80,0.80
0.83,0.80,0.83,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.70,0.75,0.75,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.64,0.70,0.59
0.64,0.64,0.64,0.64
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.70,0.70,0.70,0.68
0.66,0.68,0.68,0.63
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
0.55,0.73,0.73,0.55
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.60,0.87,0.92,0.60
0.76,0.90,1.00,0.76
0.95,0.95,1.00,0.95
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.70,0.80,0.80,0.70
0.79,0.70,0.79,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.80,0.70
0.70,0.72,0.72,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.65,0.65,0.74,0.65
0.65,0.62,0.85,0.62
0.83,0.70,0.85,0.64
0.70,0.64,0.70,0.64
0.85,0.66,0.85,0.65
0.66,0.66,0.66,0.66
0.66,0.66,0.66,0.66
0.84,0.95,1.00,0.78
0.97,0.92,0.97,0.80
0.95,0.99,0.99,0.95
1.00,1.00,1.00,0.99
0.90,0.90,0.90,0.80
0.99,0.98,1.02,0.91
0.98,0.98,0.98,0.98
1.06,1.27,1.38,1.05
1.30,1.15,1.30,1.15
1.23,1.15,1.23,1.10
1.26,1.19,1.26,1.04
1.12,1.12,1.12,1.12
1.12,1.12,1.12,1.12
1.15,1.14,1.15,1.13
1.13,1.10,1.13,1.10
1.09,1.09,1.09,1.09
1.09,1.09,1.09,1.09
1.05,1.05,1.05,1.05
1.03,1.03,1.03,1.03
1.03,1.03,1.03,1.03
1.03,1.03,1.03,1.03
1.01,0.88,1.01,0.84
1.02,1.04,1.13,0.91
1.04,0.86,1.07,0.85
1.09,0.95,1.09,0.84
0.95,0.95,0.95,0.95
0.95,0.99,1.06,0.95
1.03,1.07,1.07,1.03
0.91,0.91,0.91,0.90
1.09,0.93,1.09,0.89
0.93,0.93,0.93,0.93
0.97,0.97,0.98,0.96
0.97,0.97,0.97,0.97
0.97,0.97,0.97,0.97
0.91,0.92,0.92,0.84
0.92,0.92,0.92,0.92
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
0.82,0.94,0.94,0.78
0.82,0.82,0.82,0.82
0.81,0.81,0.81,0.81
0.81,0.81,0.81,0.81
0.81,0.81,0.81,0.81
0.81,0.81,0.81,0.81
0.94,0.94,0.94,0.94
0.77,0.77,0.77,0.77
0.75,0.75,0.75,0.75
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.71,0.69,0.71,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.92,0.92,0.92,0.92
0.92,0.97,0.99,0.92
0.97,0.97,0.97,0.97
0.97,0.97,0.97,0.97
0.80,0.88,0.88,0.75
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.75,0.94,0.94,0.75
0.75,0.98,0.98,0.75
0.98,0.98,0.98,0.98
0.80,0.83,0.88,0.77
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.76,0.76,0.76,0.76
0.78,0.78,0.82,0.78
0.78,0.78,0.78,0.78
0.79,0.78,0.79,0.78
0.89,0.91,0.91,0.89
0.91,0.91,0.91,0.91
0.91,0.91,0.91,0.91
0.84,0.84,0.84,0.84
0.82,0.82,0.82,0.82
0.78,0.82,0.82,0.78
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.74,0.74,0.74,0.74
0.73,0.94,0.94,0.73
0.93,0.88,0.93,0.88
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.73,0.92,0.92,0.73
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.73,0.93,0.93,0.73
0.73,0.82,0.82,0.73
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.74,0.80,0.80,0.74
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.73,0.74,0.74,0.73
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
1.86,1.86,1.86,1.86
1.86,1.86,1.86,1.86
3.15,3.20,3.25,1.75
3.20,3.20,3.20,3.20
3.32,3.32,3.32,3.32
3.32,3.32,3.32,3.32
1.46,2.71,2.71,1.39
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.23,2.19,2.23,2.17
2.17,2.17,2.17,2.17
2.17,2.17,2.17,2.17
2.22,2.20,2.25,2.20
2.20,2.20,2.20,2.20
2.11,2.11,2.11,1.78
2.11,2.11,2.11,2.11
2.01,2.01,2.01,2.01
2.01,2.01,2.01,2.01
1.81,1.81,1.81,1.81
1.81,1.81,1.81,1.81
1.81,1.81,1.81,1.81
1.72,1.72,1.72,1.72
1.72,1.72,1.72,1.72
1.72,1.72,1.72,1.72
1.72,1.72,1.72,1.72
1.56,1.72,1.72,1.55
1.22,1.30,1.64,0.64
1.30,1.56,1.70,1.30
1.68,1.60,1.68,1.60
1.60,1.60,1.60,1.60
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.45,1.70,1.70,1.45
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.46,1.80,1.80,1.46
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.09,1.09,1.09,1.09
1.80,1.13,1.80,1.13
1.17,1.17,1.17,1.17
1.17,1.17,1.17,1.17
1.17,1.17,1.17,1.17
1.06,1.00,1.06,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,0.74,1.00,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
2.00,0.82,2.00,0.80
0.82,0.82,0.82,0.82
1.78,1.14,1.79,1.14
1.60,1.20,1.75,1.15
1.07,0.92,1.07,0.90
0.82,0.86,1.44,0.82
0.87,0.87,0.87,0.87
0.87,0.87,0.87,0.87
0.91,1.20,1.20,0.91
2.00,1.16,2.00,1.06
1.45,2.17,2.49,1.45
2.29,1.98,2.30,1.43
1.56,1.51,1.56,1.50
1.50,1.51,1.95,1.50
1.95,1.49,1.95,1.34
1.87,1.80,1.87,1.34
1.27,1.74,1.74,1.27
1.70,1.50,1.70,1.50
1.23,1.54,1.59,1.23
1.30,1.33,1.49,1.21
1.07,1.38,1.45,1.07
1.10,1.12,1.19,1.10
1.12,1.11,1.21,1.06
1.11,1.11,1.11,1.11
1.11,1.11,1.11,1.11
1.20,1.25,1.65,1.20
1.65,2.07,2.25,1.65
2.07,1.65,2.07,1.55
1.57,1.55,1.88,1.55
1.56,1.43,1.56,1.41
1.42,1.48,1.48,1.42
1.54,1.68,1.68,1.40
1.43,1.70,1.70,1.40
1.37,1.42,1.70,1.35
1.42,1.42,1.42,1.42
1.35,1.22,1.35,1.22
1.31,1.28,1.31,1.20
1.31,3.22,3.75,1.31
2.71,2.33,3.90,2.33
2.26,2.04,2.59,1.82
2.10,1.75,2.10,1.61
2.00,1.65,2.00,1.65
1.69,1.86,1.94,1.64
1.99,1.91,2.00,1.60
2.00,1.95,2.00,1.91
1.91,1.91,2.10,1.91
1.91,1.91,2.00,1.91
1.92,2.01,2.32,1.91
2.01,2.01,2.01,2.01
2.01,2.01,2.01,2.01
1.91,1.91,1.93,1.91
1.91,1.95,1.95,1.91
1.92,2.01,2.01,1.77
2.01,1.98,2.25,1.90
1.98,1.98,1.98,1.98
2.34,2.05,2.44,2.05
2.10,2.10,2.10,2.10
1.90,1.90,1.90,1.90
1.90,2.06,2.07,1.90
2.06,2.06,2.06,2.06
1.85,1.81,1.85,1.81
1.89,1.86,1.89,1.86
2.36,1.86,2.36,1.86
1.86,1.86,1.86,1.86
1.86,1.86,1.86,1.86
1.86,1.86,1.86,1.86
2.05,2.05,2.05,2.05
1.86,2.15,2.20,1.86
2.17,2.30,2.33,2.17
1.95,1.97,1.97,1.95
1.97,1.97,1.97,1.97
1.97,1.97,1.97,1.97
1.97,1.97,1.97,1.97
1.95,1.95,1.95,1.95
1.96,1.96,1.96,1.96
1.96,1.96,1.96,1.96
1.71,2.05,2.05,1.71
2.05,2.05,2.05,2.05
2.03,2.49,2.60,2.03
2.93,2.50,3.00,2.50
2.48,2.80,2.90,2.45
2.47,2.47,2.48,2.46
2.46,2.51,2.51,2.46
2.60,2.45,2.60,2.45
2.45,2.45,2.45,2.45
2.45,2.47,2.50,2.45
2.51,2.97,2.97,2.47
3.10,2.90,3.10,2.90
2.45,2.50,2.80,2.40
2.50,2.50,2.50,2.50
2.51,2.63,2.63,2.51
2.51,2.51,2.51,2.51
2.51,2.51,2.51,2.51
2.51,2.51,2.51,2.51
2.63,2.63,2.63,2.63
2.22,2.72,2.72,2.22
2.65,2.85,2.88,2.60
5.30,4.63,7.00,4.36
5.00,4.02,5.00,3.95
3.56,4.15,4.46,3.56
4.23,4.14,4.47,3.80
3.86,3.92,4.00,3.82
3.97,4.00,4.26,3.37
3.50,4.00,4.00,3.50
3.94,3.99,4.00,3.76
4.12,4.03,4.12,3.75
4.14,4.14,4.14,3.75
3.82,4.01,4.27,3.77
4.07,4.07,4.07,4.07
4.08,3.82,4.25,3.77
3.86,4.12,4.12,3.77
4.14,3.90,4.14,3.84
4.14,3.89,4.70,3.86
4.18,3.77,4.18,3.77
4.49,3.82,4.49,3.77
3.82,3.82,3.82,3.82
4.39,4.22,4.39,4.22
4.14,4.37,4.39,4.14
4.20,4.15,4.20,4.15
4.46,3.98,4.46,3.81
4.10,3.46,4.10,3.45
3.03,3.72,3.72,3.03
3.72,3.72,3.72,3.72
3.70,3.21,3.70,3.21
3.47,3.47,3.47,3.47
3.20,3.24,3.72,3.01
3.26,3.37,3.69,3.25
3.20,3.25,3.40,3.20
3.25,3.25,3.35,3.25
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.26,3.26,3.26,3.26
3.26,3.26,3.26,3.26
3.26,3.26,3.26,3.26
3.22,3.22,3.22,3.22
3.22,3.00,3.22,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.40,3.30,3.72,3.30
3.28,3.30,3.30,3.28
3.20,2.71,3.20,2.61
2.62,2.70,3.10,2.55
2.35,2.30,2.35,2.30
2.40,2.65,2.99,2.40
2.40,2.27,2.40,2.11
2.12,2.12,2.12,2.12
2.20,2.40,2.49,2.20
2.46,2.20,2.71,2.10
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.20,2.00,2.21,2.00
1.97,1.97,1.97,1.97
1.97,1.97,1.97,1.97
1.97,1.97,1.97,1.97
2.17,2.17,2.17,2.17
2.18,2.18,2.33,2.00
2.13,2.20,2.20,2.10
2.11,2.71,2.71,2.10
3.30,2.68,3.30,2.25
2.91,2.91,2.91,2.91
2.84,2.84,2.84,2.84
2.80,2.70,2.85,2.70
2.70,2.97,2.97,2.70
2.94,2.94,2.94,2.94
2.94,2.94,2.94,2.94
2.38,2.32,2.89,2.25
2.37,2.37,2.37,2.37
2.37,2.37,2.37,2.37
2.31,2.53,3.23,2.31
2.53,2.53,2.53,2.53
2.98,3.48,3.75,2.50
4.00,2.92,4.12,2.92
3.12,2.99,3.12,2.90
2.96,3.65,3.65,2.70
3.03,3.65,3.65,3.03
3.21,3.21,3.21,3.21
3.25,3.38,3.38,3.23
3.70,3.48,3.70,2.70
3.46,3.47,3.51,3.26
3.26,3.68,3.68,3.26
3.62,3.61,3.64,3.28
3.26,3.64,3.64,3.26
3.26,3.49,3.49,3.26
3.25,3.25,3.25,3.25
3.47,3.00,3.47,3.00
3.02,3.44,3.44,3.02
3.35,3.00,3.35,3.00
3.15,3.15,3.15,3.15
3.15,2.82,3.15,2.82
2.86,2.60,2.87,2.50
2.94,2.36,2.94,2.31
2.37,2.36,2.37,2.36
2.33,2.36,2.36,2.33
2.29,2.32,2.32,2.29
2.32,2.32,2.32,2.32
2.20,2.62,2.62,2.20
2.66,2.86,2.94,2.66
2.77,2.77,2.77,2.77
2.50,2.54,2.54,2.50
2.53,2.85,2.95,2.53
3.14,2.63,3.14,2.53
2.63,2.63,2.63,2.63
2.63,2.63,2.63,2.63
2.63,2.63,2.63,2.63
2.63,2.63,2.63,2.63
2.30,2.30,2.30,2.30
2.70,2.99,3.15,2.47
2.55,2.60,2.97,2.55
2.76,2.65,2.76,2.65
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.42,2.50,2.39
2.20,2.16,2.20,2.16
2.36,2.36,2.36,2.36
2.26,2.20,2.26,2.20
2.67,2.67,2.67,2.67
2.24,2.24,2.24,2.24
2.49,2.41,2.49,2.41
2.73,2.41,2.73,2.04
2.33,2.33,2.33,2.33
2.33,2.33,2.33,2.33
2.16,2.18,2.18,2.16
2.52,2.49,2.52,2.45
2.43,2.10,2.48,1.81
2.28,2.09,2.29,2.09
2.37,2.14,2.37,2.14
2.10,2.10,2.10,2.10
2.25,2.10,2.25,2.10
2.10,2.10,2.10,2.10
2.34,2.45,2.45,2.34
2.45,2.45,2.45,2.45
2.11,2.30,2.30,2.07
2.11,2.00,2.11,2.00
2.30,2.30,2.30,2.25
2.30,2.30,2.30,2.30
2.15,2.15,2.15,2.15
2.11,2.14,2.14,2.10
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.11,2.11,2.11,2.11
2.11,2.11,2.11,2.11
2.13,2.13,2.13,2.13
2.13,2.13,2.13,2.13
2.10,2.05,2.10,2.05
2.05,2.05,2.05,2.05
2.04,2.04,2.04,2.04
2.04,2.04,2.04,2.04
2.03,2.03,2.03,2.03
2.03,2.03,2.03,2.03
2.03,2.03,2.03,2.03
2.03,2.03,2.03,2.03
2.03,2.03,2.03,2.03
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.06,2.05,2.06,2.05
2.24,2.24,2.24,2.24
2.24,2.58,3.00,2.23
2.24,2.47,2.62,2.24
2.78,2.35,2.78,2.35
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.36,2.30,2.40,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.28,2.28,2.28,2.28
2.28,2.28,2.28,2.28
2.28,2.27,2.28,2.27
2.27,2.27,2.27,2.27
2.33,2.35,2.35,2.33
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.40,2.53,2.53,2.39
2.53,2.45,2.63,2.45
2.45,2.59,2.59,2.40
2.73,2.72,2.73,2.40
2.47,2.72,2.72,2.45
2.40,2.70,2.70,2.40
2.51,2.61,2.74,2.46
2.61,2.50,2.78,2.50
2.45,2.73,2.74,2.45
2.69,2.70,2.70,2.60
2.70,2.70,2.70,2.70
2.70,2.52,2.70,2.50
2.79,2.83,2.95,2.59
2.82,2.90,2.95,2.82
2.90,2.90,2.90,2.90
2.55,2.55,2.55,2.55
2.75,2.89,2.89,2.70
2.89,3.00,3.00,2.89
2.95,3.08,3.24,2.95
3.13,3.13,3.13,3.13
3.14,3.69,3.90,3.13
3.72,3.20,3.72,3.20
3.01,3.31,3.80,2.98
3.35,3.11,3.76,3.05
3.12,3.12,3.12,3.12
3.12,3.12,3.12,3.12
3.12,3.12,3.12,3.12
3.23,3.24,3.24,3.23
3.24,3.24,3.24,3.24
3.11,3.20,3.20,3.05
3.07,3.06,3.07,3.06
3.06,3.06,3.06,3.06
3.23,4.33,4.77,3.23
4.43,3.85,4.43,3.78
4.05,3.67,4.09,3.67
3.70,3.60,3.70,3.60
3.50,3.74,3.74,3.28
3.74,3.61,3.80,3.33
3.79,3.35,3.79,3.35
3.40,3.25,3.40,3.01
3.11,3.49,3.49,2.97
2.98,3.01,3.10,2.98
3.03,3.25,3.40,3.03
3.25,3.25,3.25,3.25
3.10,3.10,3.10,3.10
3.33,3.33,3.33,3.33
3.35,3.35,3.35,3.35
3.12,3.15,3.16,3.10
3.15,3.15,3.15,3.15
3.15,3.15,3.15,3.15
3.15,3.17,3.19,3.15
3.17,3.17,3.17,3.17
3.25,3.25,3.25,3.25
3.23,3.23,3.23,3.23
3.23,3.23,3.23,3.23
3.08,3.10,3.10,3.08
3.15,3.10,3.16,3.10
3.10,3.02,3.18,3.02
3.06,3.20,3.20,3.06
3.20,3.28,3.28,3.20
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.15,3.15,3.15,3.15
3.17,3.17,3.17,3.17
3.17,3.17,3.17,3.17
3.15,3.16,3.16,3.15
3.16,3.16,3.16,3.16
3.16,3.16,3.16,3.16
3.00,3.00,3.00,3.00
3.06,3.27,3.27,3.00
3.27,3.27,3.27,3.27
3.26,3.26,3.26,3.26
3.26,3.26,3.26,3.26
3.24,3.24,3.24,3.24
3.24,3.24,3.24,3.24
3.24,3.01,3.30,3.01
3.30,3.30,3.30,3.30
3.36,3.49,3.50,3.35
3.29,3.50,3.50,3.29
3.50,3.40,3.50,3.40
3.40,3.40,3.40,3.40
3.40,3.40,3.40,3.40
3.22,3.05,3.22,2.99
3.10,3.02,3.10,3.02
3.10,3.40,3.40,3.10
3.54,3.41,3.55,3.41
3.50,3.37,3.50,3.37
3.40,3.50,3.50,3.40
3.53,3.60,3.60,3.50
3.70,3.69,3.70,3.35
3.42,3.40,3.42,3.40
3.44,3.30,3.44,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.52,3.50,3.52,3.50
3.50,3.50,3.50,3.49
3.41,3.41,3.41,3.41
3.37,3.58,3.58,3.34
3.58,3.58,3.58,3.58
3.25,3.40,3.49,3.20
3.40,3.40,3.40,3.40
3.28,3.29,3.29,3.20
3.28,3.30,3.60,3.28
3.43,3.34,3.49,3.25
3.40,3.80,3.97,3.39
3.62,4.24,4.24,3.50
4.21,4.74,5.24,4.09
5.03,4.00,5.03,4.00
4.03,4.04,4.04,3.65
3.85,3.98,3.98,3.85
4.43,3.72,4.43,3.72
3.71,3.60,3.71,3.60
3.60,3.60,3.60,3.60
3.60,3.60,3.60,3.60
3.61,3.65,3.65,3.60
3.65,4.00,4.00,3.65
4.00,4.00,4.00,4.00
3.73,4.15,4.30,3.73
4.15,4.15,4.15,4.15
4.15,4.15,4.15,4.15
4.37,3.86,4.37,3.76
3.88,4.01,4.01,3.87
4.01,4.01,4.01,4.01
4.01,4.01,4.01,4.01
4.01,4.01,4.01,4.01
4.17,4.15,4.17,4.15
4.15,4.15,4.15,4.15
4.15,3.85,4.15,3.80
3.99,3.99,3.99,3.99
3.95,3.95,3.95,3.95
3.73,3.92,4.14,3.61
3.92,3.92,3.92,3.92
3.92,3.92,3.92,3.92
3.92,3.92,3.92,3.92
4.08,4.14,4.15,4.08
