SSYS,Stratasys,NASDAQ
21.14,21.67,21.80,20.99
21.78,21.57,22.11,21.50
21.50,21.23,22.00,21.19
21.13,22.01,22.06,20.89
22.17,22.73,23.22,22.17
23.10,23.25,23.28,22.41
23.12,22.49,23.49,22.48
22.42,22.71,22.98,22.23
23.11,24.00,24.05,23.11
23.84,23.96,24.15,23.79
24.31,24.28,24.32,23.95
24.22,23.81,24.22,23.69
23.82,23.18,23.82,23.02
23.49,22.61,23.49,22.46
22.66,22.20,23.06,21.96
22.44,22.70,22.94,22.09
22.69,23.27,23.49,22.69
23.27,23.31,23.48,22.89
23.31,23.28,23.60,22.92
23.61,23.76,24.08,23.06
23.92,25.00,25.05,23.61
24.92,24.81,24.95,24.37
24.70,24.82,24.94,24.54
24.61,24.65,25.00,24.46
24.96,26.51,26.60,24.96
26.59,26.63,26.99,26.28
26.79,26.07,26.89,25.47
25.89,26.50,26.54,25.73
26.64,27.72,27.84,26.43
27.87,27.56,28.19,27.32
27.36,26.86,27.58,26.48
27.26,28.14,28.19,27.07
27.99,27.34,28.01,27.07
27.63,27.28,27.76,26.81
27.29,27.79,27.93,27.11
28.12,28.43,28.73,27.56
28.26,27.74,28.42,27.45
27.90,28.26,28.40,27.57
28.25,28.81,28.95,28.25
29.20,28.28,29.20,27.93
28.32,29.00,29.30,28.20
28.47,27.76,28.77,27.30
28.00,27.99,28.52,27.68
28.23,27.78,28.74,27.27
27.78,28.24,28.54,27.58
28.57,28.39,29.05,28.12
30.00,33.46,34.64,30.00
33.09,32.00,33.23,31.94
32.09,30.99,32.21,30.87
30.76,31.32,31.70,30.51
31.41,31.25,31.75,30.51
31.80,31.94,32.20,31.32
31.97,32.08,32.60,31.45
32.61,32.10,32.96,31.91
31.99,31.65,32.24,31.50
31.37,31.94,32.30,31.20
31.90,32.21,32.50,31.61
32.39,32.72,32.98,32.29
32.26,32.65,32.99,31.32
32.60,33.00,33.56,32.46
33.12,33.06,33.38,32.84
32.67,32.05,33.35,31.50
32.05,31.72,32.21,31.49
32.11,33.22,33.60,31.90
33.28,33.36,33.55,33.02
33.15,33.36,33.50,32.52
32.99,33.69,33.99,32.99
33.99,34.04,34.15,33.72
33.72,33.96,34.20,33.71
33.70,34.19,34.36,33.69
33.84,33.82,34.01,33.35
34.40,34.46,34.87,34.22
34.50,33.67,34.60,33.42
33.42,33.50,34.07,33.07
33.32,33.50,33.78,33.32
33.90,33.50,34.00,33.33
33.67,33.16,33.76,32.90
33.45,33.24,33.45,32.85
33.38,33.24,33.58,33.02
33.48,32.70,33.48,32.70
32.66,32.07,32.70,31.67
32.07,32.13,32.75,32.04
32.16,32.16,32.47,32.05
32.28,32.76,32.96,31.39
32.92,33.29,33.74,32.53
33.48,34.03,34.05,33.40
33.93,33.69,34.02,33.39
33.61,33.79,34.34,33.58
33.84,33.57,33.84,33.40
33.71,33.23,33.71,33.10
33.24,32.39,33.24,32.37
32.32,32.97,33.08,32.32
32.77,32.64,33.24,32.59
33.01,34.11,34.20,32.99
34.24,33.60,34.41,33.11
33.52,34.09,34.21,33.01
34.05,34.49,34.49,34.05
34.49,35.33,35.43,34.49
35.26,35.61,35.69,34.27
35.70,36.27,37.00,35.70
36.60,36.92,37.08,36.49
36.99,35.68,36.99,35.14
35.72,35.43,36.36,35.13
35.18,35.60,35.62,34.58
35.63,34.78,35.85,34.64
34.52,33.82,34.55,33.57
33.98,33.24,33.98,33.16
33.18,33.49,34.06,32.83
33.25,33.25,33.47,32.70
33.45,34.06,34.15,32.81
34.13,33.61,34.13,32.63
33.66,32.50,33.78,32.15
32.66,33.03,33.24,31.79
33.18,33.58,34.09,32.97
33.40,34.16,34.41,33.40
34.02,34.23,34.39,33.22
34.14,34.23,34.54,33.56
34.22,34.82,35.44,34.04
34.74,36.10,36.15,34.50
37.50,41.08,41.09,37.50
40.91,42.81,42.98,40.74
41.76,44.34,44.56,41.00
44.63,45.30,45.37,44.50
45.42,44.48,45.78,44.02
44.88,45.45,45.58,44.39
45.48,47.70,47.82,45.46
48.00,46.00,48.00,45.61
45.74,44.51,45.74,44.05
44.40,43.01,44.72,42.83
43.07,43.75,44.20,42.50
43.79,44.73,44.73,43.08
45.15,45.38,46.00,44.64
45.61,44.71,46.45,44.51
44.82,44.84,45.45,43.86
45.32,49.01,49.37,45.09
49.23,48.11,49.62,47.16
48.54,46.07,49.10,46.01
46.21,49.59,49.98,45.68
49.49,46.60,49.49,46.41
45.83,45.26,45.83,43.71
45.22,45.50,46.06,44.70
45.01,45.58,47.08,44.89
43.80,45.87,46.64,43.80
45.74,44.90,46.65,44.16
45.64,46.08,46.50,45.00
46.64,46.10,46.90,45.82
46.66,48.82,48.91,46.07
48.84,46.14,49.38,45.72
46.22,46.00,46.50,45.12
46.41,46.47,46.88,45.86
46.82,46.50,47.06,46.42
46.76,45.35,46.97,45.27
45.34,46.13,46.45,44.91
46.49,47.27,47.60,46.08
47.61,47.00,47.94,46.67
47.36,50.89,51.40,47.09
51.04,50.73,51.47,50.29
50.71,52.46,53.39,50.57
53.06,52.11,54.20,51.41
52.14,52.50,53.77,50.74
52.59,49.77,53.50,49.70
50.36,48.31,51.23,47.09
47.74,47.71,48.52,46.26
48.42,49.36,49.61,48.01
48.65,49.73,50.07,48.22
49.71,50.04,50.62,48.94
49.05,48.53,49.27,47.25
48.93,49.75,49.87,48.61
50.67,51.99,52.17,50.36
52.69,53.48,53.90,51.40
53.49,53.77,53.95,52.76
53.84,54.02,54.68,53.49
53.98,55.43,55.66,53.48
55.01,53.72,55.01,53.01
53.85,53.85,54.05,52.28
54.15,51.11,54.71,50.71
51.07,49.50,51.18,48.77
49.44,42.39,50.04,42.02
42.76,43.30,45.32,42.50
43.88,41.61,44.60,41.59
41.75,43.33,43.50,41.75
43.56,42.91,43.77,42.62
42.77,42.58,43.05,42.15
42.38,42.76,43.21,41.84
42.59,40.45,42.69,40.36
40.29,39.58,40.92,39.58
39.12,39.26,39.55,38.20
39.52,39.51,40.23,39.37
39.95,36.37,39.95,35.86
36.45,35.87,37.05,35.85
35.60,33.83,35.74,33.46
34.06,34.00,34.65,33.46
33.91,34.58,35.12,33.91
34.38,34.65,35.00,34.02
34.65,34.91,35.02,34.53
35.04,35.20,35.72,34.79
35.14,33.62,35.25,33.42
33.77,34.49,34.72,33.64
33.57,34.03,34.53,33.57
34.62,34.05,34.94,33.92
34.34,33.24,34.42,32.99
33.01,32.19,33.66,32.08
32.46,32.82,33.73,32.00
32.54,31.84,33.12,31.77
32.01,32.14,32.38,31.49
32.44,32.46,33.25,32.40
31.99,30.94,32.12,30.93
31.08,30.21,31.57,30.16
30.62,30.66,30.91,30.10
30.50,30.29,31.04,30.15
30.66,31.86,32.29,30.53
31.75,31.78,32.21,31.37
31.25,32.99,33.09,30.90
33.02,31.82,33.83,31.54
31.82,32.25,32.78,31.56
32.33,32.62,32.81,32.10
32.89,32.84,33.10,32.01
32.97,33.70,34.11,32.90
33.77,34.67,35.14,33.66
34.88,36.16,36.23,34.83
36.17,36.39,36.44,35.09
36.79,37.07,37.80,36.54
36.22,36.85,36.97,35.88
36.25,36.04,36.69,35.64
35.78,35.42,36.03,34.75
35.57,35.73,36.80,35.08
35.73,34.46,37.08,34.41
34.82,35.48,35.90,34.13
35.35,35.34,35.71,34.82
35.77,37.98,38.00,35.77
38.54,38.05,38.54,37.24
38.13,38.01,38.70,37.67
38.06,39.34,39.65,38.01
38.80,38.77,39.66,38.47
38.96,37.97,38.96,37.24
35.01,28.11,35.41,27.85
28.18,26.47,28.18,26.44
26.00,25.50,26.38,24.70
25.85,25.70,26.16,25.00
25.34,25.50,25.81,25.27
25.74,27.22,27.47,25.30
26.66,25.61,27.09,25.61
26.20,25.07,27.11,23.81
23.94,23.98,26.01,23.01
24.65,25.46,25.54,23.12
24.78,23.08,25.05,23.02
23.12,25.21,25.63,22.95
25.62,25.58,26.49,24.67
25.88,25.95,26.35,25.38
25.61,24.56,25.76,23.92
24.66,25.27,25.50,24.53
24.17,22.12,24.18,22.12
21.67,21.26,22.67,21.05
22.20,21.51,22.20,21.24
21.71,23.56,23.61,21.54
23.53,23.51,23.90,22.18
23.73,22.76,23.73,22.62
22.51,23.42,23.91,21.93
23.84,24.19,24.46,23.80
24.03,24.00,24.36,23.35
24.13,23.14,24.48,22.86
23.20,22.38,23.59,22.24
21.75,21.47,22.30,21.35
20.61,21.08,21.19,20.09
21.72,24.59,24.65,21.72
24.23,23.44,24.48,22.92
23.09,23.11,24.05,22.76
22.62,23.46,23.60,22.62
23.60,23.56,24.08,23.32
23.82,24.51,25.01,23.51
24.71,25.03,25.13,24.24
24.26,23.01,24.26,22.45
22.50,21.78,22.62,21.42
21.82,21.09,22.06,21.03
21.11,20.03,21.39,20.00
19.54,19.33,19.99,18.84
19.25,20.21,20.46,19.04
20.43,20.25,21.14,19.60
20.96,21.46,22.00,20.82
21.54,19.77,21.54,19.76
20.43,20.38,20.74,19.53
19.97,18.54,20.06,18.51
18.36,18.00,19.80,17.95
17.88,20.53,20.63,17.88
20.52,21.17,21.52,19.90
21.15,22.19,22.47,21.15
22.32,21.65,23.21,21.42
22.21,22.72,22.96,21.86
22.73,24.36,24.75,22.73
24.70,24.31,24.75,23.98
24.11,23.47,24.13,23.12
23.97,24.26,24.40,23.38
23.97,22.75,24.33,22.62
22.76,23.70,24.03,22.07
23.69,22.59,23.87,22.49
22.57,22.90,23.00,21.55
23.53,23.84,24.43,23.38
24.06,25.36,25.45,24.06
25.10,24.43,25.47,24.16
28.49,28.59,29.00,26.36
30.00,29.76,31.30,29.59
29.68,29.39,30.92,29.33
29.05,28.04,29.38,28.03
27.05,27.49,28.03,25.80
28.06,28.35,28.64,27.54
28.95,30.26,30.49,27.83
29.83,29.58,29.87,28.74
29.54,29.20,29.54,28.31
29.61,30.44,30.64,28.96
29.30,28.01,29.59,28.00
28.64,28.85,29.16,28.00
29.40,29.58,30.15,29.27
29.40,28.81,29.61,28.43
28.60,30.20,30.48,28.35
29.63,29.56,30.73,29.50
29.47,29.15,29.74,28.59
29.40,28.96,29.55,28.56
28.16,28.13,28.48,27.80
28.12,27.94,28.62,27.82
27.63,26.81,27.69,26.57
26.65,26.18,27.21,26.18
27.55,28.11,28.63,27.36
28.19,28.35,28.72,27.76
30.00,30.72,30.90,29.74
30.63,29.87,31.18,29.84
30.50,30.63,31.06,30.20
31.36,31.84,32.21,30.72
31.85,30.47,31.99,30.16
30.21,30.07,30.43,29.40
29.68,29.13,30.33,28.99
29.17,30.80,31.01,29.17
30.42,31.55,31.60,30.10
31.72,30.30,32.18,30.06
30.15,28.66,30.29,28.55
29.26,28.90,29.50,28.48
29.16,29.71,30.21,28.75
30.06,29.38,30.91,29.25
30.28,31.08,31.59,29.93
31.17,30.29,31.17,29.49
30.50,30.86,31.63,30.50
30.94,30.52,30.94,30.30
30.47,31.04,31.27,30.26
31.04,30.14,31.11,30.03
30.38,30.86,31.02,30.37
30.78,30.41,31.05,30.36
31.47,31.09,32.05,30.85
30.88,30.37,30.99,29.74
30.48,33.14,33.54,30.35
33.21,33.93,34.42,32.81
34.00,35.15,35.36,33.96
35.71,36.23,36.77,35.67
35.87,36.99,37.02,35.80
37.09,37.18,37.46,36.42
36.83,37.09,37.23,36.17
37.46,36.31,37.94,36.15
36.40,36.50,37.30,36.00
36.89,38.06,38.18,36.89
37.93,38.31,38.51,37.77
38.27,37.34,38.50,37.18
36.98,36.27,37.20,35.92
36.41,35.95,36.80,35.07
36.30,36.37,36.63,35.90
36.10,36.76,36.80,35.84
36.26,36.39,36.64,35.85
36.83,36.75,37.00,36.12
37.09,38.63,38.88,37.07
38.79,39.32,39.55,38.01
40.08,40.87,41.75,40.02
40.74,40.57,41.18,39.71
39.97,38.06,39.97,36.40
38.34,37.73,39.22,37.20
37.80,37.31,37.96,36.55
36.84,36.15,36.98,35.45
36.78,37.36,37.50,36.32
37.15,37.46,37.50,36.63
37.64,37.36,38.46,36.92
37.25,38.02,38.18,36.86
38.32,37.86,38.32,37.63
37.97,36.54,38.28,36.42
36.28,36.19,36.98,35.76
36.50,38.85,38.95,36.45
38.96,38.64,39.43,38.50
38.18,39.27,39.92,37.79
39.29,38.55,39.67,37.93
38.64,36.84,38.86,36.83
36.92,36.45,38.25,36.34
36.57,35.68,37.17,35.03
35.52,34.54,36.35,34.24
33.92,33.68,34.10,32.87
33.77,35.01,35.28,33.77
35.53,35.38,35.60,34.69
35.50,35.77,36.64,35.29
35.93,35.63,36.07,35.35
36.11,36.53,36.59,35.69
36.39,36.60,36.80,36.38
36.76,37.45,37.59,36.16
37.56,36.95,37.89,36.81
36.98,37.40,38.41,36.71
37.06,36.88,37.22,36.21
37.05,36.51,37.38,36.36
36.05,36.08,36.34,35.32
36.18,36.56,36.65,35.45
37.05,36.93,37.34,36.50
36.93,36.90,37.69,36.88
36.94,36.63,37.33,36.33
36.38,36.91,37.03,35.89
37.29,36.52,37.29,36.24
37.18,37.59,38.28,36.75
37.94,37.75,38.12,37.24
37.36,36.23,37.72,35.89
35.98,35.76,36.04,35.58
35.18,35.11,35.59,34.55
35.18,33.69,35.18,33.52
34.20,34.38,34.56,34.02
34.59,36.05,36.41,34.50
35.80,35.98,36.34,34.79
41.29,41.21,45.48,40.29
42.39,42.87,44.16,41.64
42.76,43.66,44.18,42.28
44.05,50.73,50.95,43.49
51.52,47.85,53.39,47.61
47.82,47.87,48.92,46.62
48.08,49.80,50.70,47.59
50.78,50.88,52.24,50.34
50.89,51.08,51.90,50.60
51.45,51.98,53.30,50.83
52.11,51.21,52.50,51.08
51.23,52.24,53.04,51.07
52.58,52.31,53.12,51.52
52.63,51.40,52.63,50.33
51.15,50.56,51.30,50.24
50.42,51.61,52.39,50.00
51.24,50.64,51.66,49.21
50.98,49.61,50.99,46.71
52.25,50.30,52.28,49.79
49.50,49.46,50.75,49.33
48.99,50.36,51.83,48.68
50.06,49.42,51.11,48.84
49.67,48.74,50.30,48.56
48.57,48.19,49.49,47.62
48.24,46.87,48.95,46.78
47.44,48.90,49.21,46.92
48.97,51.52,52.07,48.89
50.56,54.49,54.96,50.53
54.10,52.12,54.48,51.15
51.52,48.97,51.57,47.59
49.87,48.66,50.19,48.29
48.19,48.34,48.97,47.75
48.31,47.52,48.31,46.41
46.25,44.10,46.25,44.01
44.22,43.86,44.73,43.17
43.93,44.61,44.79,42.71
44.75,47.12,47.19,44.74
47.96,45.78,48.30,45.57
45.55,46.89,47.76,44.78
49.00,46.28,49.00,46.19
46.46,45.98,46.46,44.95
45.67,44.80,46.37,44.53
44.60,44.55,45.83,44.00
44.65,46.49,46.69,44.65
46.55,47.87,48.48,46.51
48.05,48.00,50.73,47.79
48.11,47.03,48.25,46.24
46.94,44.65,47.04,44.31
44.95,45.48,46.39,44.50
44.60,43.87,45.18,43.68
43.79,44.96,45.33,43.79
45.18,47.38,50.51,45.18
47.00,47.14,47.47,45.58
48.67,49.50,49.69,47.43
50.00,49.50,50.48,48.03
49.93,51.24,52.00,49.11
51.65,54.00,54.37,51.51
53.79,52.32,53.89,51.70
52.41,52.77,53.09,51.70
53.22,50.79,54.00,50.53
50.82,48.40,51.45,47.82
47.57,47.39,48.16,45.98
47.52,47.54,48.47,46.83
47.46,51.35,51.70,47.26
51.62,51.94,52.29,50.09
51.94,58.57,58.72,51.31
58.81,54.82,58.87,54.08
54.50,56.64,57.73,54.00
55.50,55.71,56.70,52.62
56.21,54.61,56.98,53.60
55.26,55.73,55.90,54.00
53.02,56.66,57.33,52.79
57.32,61.66,62.75,57.32
62.04,62.26,63.95,61.07
62.00,61.28,62.39,60.15
61.74,59.62,64.34,58.09
59.22,61.72,61.86,58.35
62.19,63.64,64.80,62.06
64.66,66.64,67.71,63.91
66.99,67.07,69.63,66.99
66.78,66.73,67.68,66.40
66.50,66.63,67.25,65.68
66.48,67.20,67.41,66.14
67.50,67.18,67.92,65.68
67.20,64.86,67.32,64.20
64.80,64.95,65.97,64.35
64.76,65.49,65.65,64.31
65.50,68.54,68.59,65.34
68.81,71.98,72.42,68.75
72.25,68.57,73.32,67.30
68.42,66.96,68.53,66.22
67.20,67.52,68.42,66.60
67.02,62.58,67.32,61.52
63.04,62.00,63.39,60.77
62.00,65.93,66.00,62.00
66.37,69.24,70.00,66.22
68.81,65.50,68.99,65.50
66.55,64.66,67.00,64.30
65.00,66.05,66.82,64.51
65.89,64.86,66.72,64.00
65.59,63.99,65.74,63.62
64.41,62.93,64.50,61.28
63.00,63.68,65.00,62.57
63.96,62.30,63.97,61.24
62.30,64.73,64.81,59.32
63.99,63.55,64.90,62.75
64.00,64.36,66.70,63.62
65.05,63.65,65.23,62.80
63.28,58.84,63.59,58.41
58.55,58.73,60.80,56.66
58.11,58.52,58.69,56.38
59.11,58.68,59.85,58.27
58.01,57.22,58.13,55.75
57.54,56.63,59.66,56.58
56.60,54.48,56.97,53.53
54.66,56.75,57.27,53.59
56.11,54.40,56.42,54.00
55.05,54.66,56.27,54.30
54.91,56.55,56.69,53.84
58.30,60.20,61.32,58.00
61.34,62.03,62.05,60.18
62.01,62.38,64.28,61.62
62.33,60.35,62.50,59.44
60.33,59.08,60.92,58.83
58.91,60.07,60.11,58.35
60.58,59.49,61.20,58.91
59.22,62.74,62.80,59.15
62.82,63.88,63.99,61.05
64.20,64.51,65.31,64.03
64.44,63.97,65.06,63.44
64.01,63.70,64.37,63.08
63.05,62.06,63.31,60.88
62.05,62.53,62.94,61.62
61.62,61.89,62.38,60.61
61.74,61.65,62.21,60.32
63.66,66.49,66.97,63.49
66.51,68.32,68.47,66.00
68.69,66.67,69.08,66.33
67.30,67.59,68.34,66.71
67.79,59.20,68.00,59.03
60.42,62.17,62.47,57.77
62.14,62.56,63.59,61.92
61.56,62.24,62.75,59.02
62.19,64.32,65.50,61.75
63.88,65.71,66.54,62.79
65.84,64.85,66.42,63.92
66.12,65.23,66.34,64.73
65.40,63.60,65.64,63.36
63.51,61.92,64.32,61.50
61.76,63.44,63.60,59.68
64.76,66.57,66.93,64.39
66.54,66.54,66.83,66.04
66.64,69.57,69.90,66.59
70.00,70.78,71.74,69.60
71.50,75.97,76.48,71.14
75.93,75.65,77.15,74.38
75.42,78.30,78.73,74.68
78.93,77.03,79.25,76.72
77.18,74.95,78.22,73.37
76.00,70.05,76.00,70.02
66.25,69.00,69.80,65.62
68.85,68.23,69.00,68.00
67.81,70.62,71.73,67.59
71.00,72.89,73.25,70.50
72.89,72.31,74.16,72.06
72.17,72.00,72.99,71.73
72.57,71.72,72.57,70.18
71.23,70.46,71.99,69.43
69.64,68.31,70.39,67.48
69.89,70.99,71.20,69.22
72.94,75.27,75.96,72.21
76.51,77.32,78.70,75.63
78.20,79.22,79.45,76.60
76.82,79.50,79.50,76.00
79.39,80.75,81.16,78.81
81.37,77.36,81.99,77.14
77.30,75.19,77.54,74.50
74.52,77.90,79.15,73.88
78.96,80.15,80.47,77.68
83.48,81.41,84.40,81.26
81.65,81.91,82.27,81.02
82.29,82.25,82.48,80.90
83.35,85.02,85.87,83.00
85.20,84.36,85.65,81.20
84.36,86.70,87.85,83.67
87.00,83.58,87.00,81.90
84.31,84.32,85.82,84.03
85.49,83.20,86.00,81.78
82.84,84.49,84.77,82.10
84.42,84.49,84.89,84.00
85.23,85.95,87.24,85.00
86.15,89.69,89.82,85.41
91.73,89.53,92.30,89.31
90.40,86.51,90.49,85.40
86.40,85.30,87.69,83.33
85.61,87.11,88.85,85.61
87.19,78.47,87.70,77.63
77.22,79.24,81.39,76.40
80.60,77.25,81.05,76.58
77.25,78.48,79.47,74.09
79.15,80.76,82.11,78.14
81.00,79.34,82.00,77.89
79.80,80.57,82.35,79.55
81.29,83.40,83.62,79.75
83.30,82.34,83.39,79.74
82.59,81.58,84.10,81.49
82.00,80.66,82.46,80.16
80.50,75.52,81.62,75.26
76.27,75.81,77.57,73.52
75.50,71.20,75.50,69.25
71.00,68.62,71.77,68.00
69.00,69.50,70.28,67.32
69.50,68.31,70.70,68.05
67.91,66.15,67.91,64.74
66.55,67.35,68.01,66.10
63.16,63.80,66.68,60.79
64.05,62.50,64.35,60.20
62.50,63.94,65.25,62.00
63.88,63.11,64.00,61.15
61.98,64.26,64.80,61.62
70.00,68.82,72.69,67.53
70.11,68.16,74.17,67.89
68.04,66.99,68.79,65.29
66.91,68.90,70.45,66.34
69.33,69.95,70.76,67.54
69.76,69.52,70.25,68.59
69.26,68.59,70.49,68.30
68.18,71.20,71.79,68.01
71.34,73.25,73.38,70.41
72.97,69.61,73.00,69.47
68.49,69.70,70.25,67.03
69.76,68.64,70.65,68.26
68.99,70.62,71.49,68.68
69.95,72.31,72.55,69.79
72.90,74.80,76.61,72.55
75.58,73.12,76.47,71.82
73.43,73.10,74.72,72.53
72.46,73.52,74.46,71.28
74.57,74.22,74.94,73.49
74.93,74.15,75.79,73.86
75.00,72.39,75.49,72.12
72.37,70.02,73.05,69.23
69.63,70.72,70.89,69.37
69.43,69.45,70.75,69.27
69.25,68.33,70.24,67.92
69.54,73.04,73.98,69.14
73.30,78.38,78.96,73.24
77.43,77.55,81.45,77.11
77.09,77.23,78.81,75.15
77.03,73.92,78.50,73.61
75.03,75.76,76.48,74.26
74.51,73.97,74.97,71.72
75.00,70.52,75.17,70.00
70.25,70.70,71.98,69.96
70.96,71.31,71.66,69.60
71.67,75.50,75.66,71.67
75.92,76.11,77.40,75.88
75.81,76.61,77.20,75.62
76.14,75.97,76.78,74.50
76.65,79.00,79.75,76.00
79.47,83.05,83.40,78.32
82.82,79.80,82.99,78.74
80.53,81.76,82.29,80.10
83.86,83.53,84.99,83.03
84.20,83.09,86.97,82.74
83.82,83.00,83.92,80.70
83.17,83.07,84.50,82.58
83.19,82.20,84.30,82.01
83.20,83.39,85.41,83.00
85.41,85.34,86.48,80.40
87.24,90.27,94.90,87.10
89.38,90.90,92.77,88.10
88.20,86.38,90.73,85.68
87.23,88.01,89.22,86.40
87.73,91.30,92.87,87.73
92.42,90.39,92.90,88.68
90.45,83.92,90.68,81.59
82.56,85.93,86.44,81.64
85.47,85.10,86.40,83.27
87.96,87.58,88.99,86.55
87.00,87.24,89.00,85.63
87.32,88.49,89.73,87.26
88.19,84.05,90.40,83.90
83.35,80.15,83.40,75.56
80.15,77.58,81.00,77.00
76.75,76.51,77.71,74.54
77.50,79.59,79.69,76.67
79.62,78.48,81.00,78.17
80.11,82.65,84.38,79.31
82.18,82.56,84.37,81.01
83.04,81.81,83.97,81.02
81.63,83.24,83.46,81.00
83.47,84.16,86.40,83.42
85.84,86.98,87.00,85.10
87.47,86.12,87.88,85.40
86.13,84.60,86.13,83.79
85.91,85.60,87.99,84.05
